,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,492.50M,492.50M,2.60M,190.80M,193.40M,10.20M,9.30M,,203.60M,1.20M,391.40M,172.10M,27.50M,144.60M,,,3.50M,144.60M,144.60M,21.10M,217.50M,0.34,,,0.34,0.34,0.34,,,0.34,0.34,418.00M,420.20M,0.18
2020-06,495.20M,495.20M,2.50M,191.90M,194.40M,10.20M,8.80M,,204.60M,2.70M,405.60M,110.40M,20.50M,89.90M,,,3.50M,89.90M,89.90M,20.80M,162.40M,0.21,,,0.21,0.21,0.21,,,0.21,0.21,417.90M,420.10M,0.18
2020-03,519.80M,519.80M,3.80M,199.30M,203.10M,10.70M,9.80M,,213.80M,8.80M,396.00M,166.20M,35.80M,130.40M,,,3.50M,130.40M,130.40M,21.90M,269.30M,0.3,,,0.3,0.3,0.3,,,0.3,0.3,427.20M,429.80M,0.1775
2019-12,506.90M,506.90M,4.50M,195.10M,199.60M,9.80M,9.60M,,209.40M,9.70M,382.70M,173.90M,36.50M,137.40M,,,3.60M,137.40M,137.40M,22.50M,288.00M,0.31,,,0.31,0.31,0.31,,,0.31,0.31,422.20M,425.40M,0.1775
2019-09,454.70M,454.70M,4.40M,180.20M,184.60M,8.00M,9.90M,,192.60M,5.50M,348.70M,165.50M,30.40M,135.10M,,,3.50M,135.10M,135.10M,17.80M,287.70M,0.34,,,0.34,0.34,0.33,,,0.33,0.33,391.70M,394.50M,0.1775
2019-06,454.40M,454.40M,4.20M,183.70M,187.90M,8.00M,9.90M,,195.90M,7.30M,348.10M,168.40M,35.20M,133.20M,,,3.50M,133.20M,133.20M,17.70M,293.10M,0.33,,,0.33,0.33,0.33,,,0.33,0.33,391.30M,394.60M,0.1775
2019-03,427.40M,427.40M,3.30M,178.30M,181.60M,6.70M,9.40M,,188.30M,2.80M,332.80M,144.60M,30.00M,114.60M,,,3.50M,114.60M,114.60M,16.20M,252.30M,0.3,,,0.3,0.3,0.3,,,0.3,0.3,370.70M,374.10M,0.175
2018-12,421.40M,421.40M,5.10M,175.00M,180.10M,6.90M,9.80M,,187.00M,-3.50M,332.60M,148.80M,15.80M,133.00M,,,3.60M,133.00M,133.00M,16.40M,248.00M,0.35,,,0.35,0.35,0.35,,,0.35,0.35,370.60M,373.30M,0.175
2018-09,398.70M,398.70M,3.90M,160.80M,164.70M,4.90M,8.90M,,169.60M,2.80M,306.40M,149.20M,32.20M,117.00M,,,3.50M,117.00M,117.00M,13.70M,232.80M,0.33,,,0.33,0.33,0.33,,,0.33,0.33,341.40M,345.00M,0.175
2018-06,396.10M,396.10M,4.20M,159.80M,164.00M,4.90M,8.70M,,168.90M,4.00M,301.20M,141.00M,30.80M,110.20M,,,3.50M,110.20M,110.20M,13.80M,215.20M,0.31,,,0.31,0.31,0.31,,,0.31,0.31,340.70M,344.50M,0.175
2018-03,386.10M,386.10M,2.60M,166.30M,168.90M,5.10M,9.00M,,174.00M,1.50M,295.80M,137.30M,29.40M,107.90M,,,3.50M,107.90M,107.90M,14.20M,200.60M,0.31,,,0.31,0.31,0.3,,,0.3,0.3,339.80M,344.00M,0.1725
2017-12,379.70M,379.70M,3.90M,159.70M,163.60M,7.90M,8.90M,,171.50M,-4.60M,292.40M,132.40M,26.10M,106.30M,,,3.60M,106.30M,106.30M,17.70M,190.70M,0.3,,,0.3,0.3,0.3,,,0.3,0.3,338.40M,342.80M,0.1725
2017-09,373.90M,373.90M,3.10M,154.00M,157.10M,7.90M,8.80M,,165.00M,1.90M,284.60M,129.80M,39.00M,90.80M,,,3.50M,90.80M,90.80M,17.80M,184.40M,0.26,,,0.26,0.26,0.26,,,0.26,0.26,336.90M,338.80M,0.1725
2017-06,366.50M,366.50M,3.10M,156.80M,159.90M,7.90M,8.70M,,167.80M,2.50M,274.90M,102.10M,32.80M,69.30M,,,3.50M,69.30M,69.30M,18.00M,149.20M,0.2,,,0.2,0.2,0.19,,,0.19,0.19,336.60M,338.50M,0.1725
2017-03,333.30M,333.30M,2.50M,151.90M,154.40M,6.30M,8.80M,,160.70M,-14.90M,248.60M,102.80M,32.00M,70.80M,,,3.50M,70.80M,70.80M,15.60M,144.70M,0.22,,,0.22,0.22,0.22,,,0.22,0.22,308.80M,311.10M,0.17
2016-12,331.00M,331.00M,3.10M,149.50M,152.60M,6.20M,8.30M,,158.80M,-2.20M,246.80M,106.10M,30.20M,75.90M,,,,75.90M,75.90M,15.50M,145.60M,0.24,,,0.24,0.24,0.24,,,0.24,0.24,305.20M,307.60M,0.17
2016-09,336.10M,336.10M,3.00M,140.30M,143.30M,5.80M,9.70M,,149.10M,3.70M,245.30M,106.30M,32.60M,73.70M,,,,73.70M,73.70M,15.00M,145.50M,0.24,,,0.24,0.24,0.24,,,0.24,0.24,302.90M,303.30M,0.17
2016-06,325.40M,325.40M,2.80M,134.60M,137.40M,5.80M,9.10M,,143.20M,3.70M,240.00M,102.50M,34.00M,68.50M,,,,68.50M,68.50M,15.00M,141.00M,0.23,,,0.23,0.23,0.23,,,0.23,0.23,302.50M,302.50M,0.17
2016-03,322.40M,322.40M,2.30M,136.80M,139.10M,5.80M,9.20M,,144.90M,3.40M,240.10M,94.60M,31.70M,62.90M,,,,62.90M,62.90M,15.00M,132.50M,0.21,,,0.21,0.21,0.21,,,0.21,0.21,301.90M,301.90M,0.1675
2015-12,323.00M,323.00M,3.00M,137.10M,140.10M,6.10M,9.40M,,146.20M,3.60M,238.80M,105.40M,34.60M,70.80M,,,,70.80M,70.80M,16.00M,140.80M,0.23,,,0.23,0.23,0.23,,,0.23,0.23,301.30M,301.30M,0.1675
2015-09,321.90M,321.90M,3.20M,136.80M,140.00M,5.90M,9.20M,,145.90M,3.40M,234.80M,101.50M,33.10M,68.40M,,,,68.40M,68.40M,15.70M,136.60M,0.23,,,0.23,0.23,0.23,,,0.23,0.23,301.00M,301.00M,0.1675
2015-06,313.20M,313.20M,3.50M,132.30M,135.80M,6.00M,9.20M,,141.80M,2.20M,230.40M,93.90M,32.20M,61.70M,,,,61.70M,61.70M,15.90M,128.00M,0.2,,,0.2,0.2,0.2,,,0.2,0.2,300.10M,300.10M,0.1675
2015-03,317.10M,317.10M,2.30M,138.20M,140.50M,5.90M,9.30M,,146.40M,5.30M,228.10M,89.70M,30.50M,59.20M,,,,59.20M,59.20M,15.60M,121.90M,0.2,,,0.2,0.2,0.2,,,0.2,0.2,299.10M,299.10M,0.165
2014-12,314.90M,314.90M,3.70M,135.80M,139.50M,6.20M,8.90M,,145.70M,5.90M,228.10M,97.30M,32.60M,64.70M,,,,64.70M,64.70M,16.20M,128.80M,0.22,,,0.22,0.22,0.22,,,0.22,0.22,298.50M,298.90M,0.165
