,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,25.53B,25.53B,8.565B,16.97B,1.512B,8.059B,9.571B,2.122B,1.198B,,,1.22B,,-1.22B,,12.89B,4.076B,,1.22B,-1.22B,-86.00M,-1.22B,2.77B,739.00M,2.031B,-12.00M,,2.019B,1.887B,7.31B,,2020-09,0.44,,,0.44,,2020-09,,,0.4115,0.44,,2020-09,4.577B,4.628B,0.23,,2020-09,AOR,
2020-06,23.72B,23.72B,6.817B,16.90B,1.341B,7.646B,8.987B,2.099B,1.165B,,,1.112B,,-1.112B,,12.25B,4.647B,,1.112B,-1.112B,420.00M,-1.112B,3.955B,946.00M,3.009B,-21.00M,,2.988B,2.897B,8.331B,,2020-06,0.65,,,0.65,,2020-06,,,0.6302,0.65,,2020-06,4.57B,4.607B,0.23,,2020-06,AOR,
2020-03,26.61B,26.61B,8.301B,18.31B,1.938B,8.254B,10.19B,2.107B,1.157B,,,1.212B,,-1.212B,,13.46B,4.852B,,1.212B,-1.212B,-716.00M,-1.212B,2.924B,700.00M,2.224B,-77.00M,,2.147B,2.184B,7.40B,,2020-03,0.47,,,0.47,,2020-03,,,0.4679,0.46,,2020-03,4.562B,4.617B,0.23,,2020-03,AOR,
2019-12,28.40B,28.40B,9.30B,19.10B,1.943B,8.731B,10.67B,2.102B,1.075B,,,1.113B,,-1.113B,,13.85B,5.247B,,1.113B,-1.113B,-73.00M,-1.113B,4.061B,861.00M,3.20B,-38.00M,,3.162B,3.054B,8.351B,,2019-12,0.6945,,,0.6945,,2019-12,,,0.6566,0.68,,2019-12,4.56B,4.622B,0.21,,2019-12,AOR,
2019-09,26.83B,26.83B,8.316B,18.51B,1.901B,8.09B,9.991B,2.124B,1.056B,,,1.167B,,-1.167B,,13.17B,5.34B,,1.167B,-1.167B,-110.00M,-1.167B,4.063B,775.00M,3.288B,-71.00M,,3.217B,3.019B,8.41B,,2019-09,0.71,,,0.71,,2019-09,,,0.6571,0.70,,2019-09,4.551B,4.619B,0.21,,2019-09,AOR,Restated
2019-06,26.86B,26.86B,8.255B,18.60B,1.885B,8.086B,9.971B,2.197B,1.079B,,,1.137B,,-1.137B,,13.25B,5.356B,,1.137B,-1.137B,-55.00M,-1.137B,4.164B,961.00M,3.203B,-78.00M,,3.125B,3.012B,8.577B,,2019-06,0.69,,,0.69,,2019-06,,,0.6555,0.68,,2019-06,4.547B,4.607B,0.21,,2019-06,AOR,Restated
2019-03,26.86B,26.86B,8.569B,18.29B,1.888B,7.90B,9.788B,2.24B,1.08B,,,1.15B,,-1.15B,,13.11B,5.182B,,1.15B,-1.15B,676.00M,-1.15B,4.708B,1.076B,3.632B,-79.00M,,3.553B,3.234B,9.178B,,2019-03,0.78,,,0.78,,2019-03,,,0.7005,0.77,,2019-03,4.534B,4.594B,0.21,,2019-03,AOR,Restated
2018-12,27.85B,27.85B,9.252B,18.59B,2.112B,8.771B,10.88B,2.211B,986.00M,,,1.129B,,-1.129B,0.00,14.08B,4.514B,,1.129B,-1.129B,-317.00M,-1.129B,3.068B,486.00M,2.582B,-71.00M,,2.511B,2.519B,7.394B,,2018-12,0.5548,,,0.5548,,2018-12,,,0.5516,0.55,,2018-12,4.539B,4.595B,0.19,,2018-12,AOR,Restated
2018-09,22.14B,22.14B,6.711B,15.42B,1.667B,6.444B,8.111B,2.038B,580.00M,,,830.00M,,-830.00M,-141.00M,10.59B,4.836B,,830.00M,-830.00M,-111.00M,-830.00M,3.895B,999.00M,2.896B,-10.00M,,2.886B,2.912B,7.343B,,2018-09,0.63,,,0.63,,2018-09,,,0.6256,0.62,,2018-09,4.564B,4.619B,0.19,,2018-09,AOR,Restated
2018-06,21.74B,21.74B,6.30B,15.44B,1.653B,6.365B,8.018B,2.021B,582.00M,,,806.00M,,-806.00M,-200.00M,10.42B,5.014B,,806.00M,-806.00M,77.00M,-806.00M,4.285B,1.077B,3.208B,8.00M,,3.216B,3.210B,7.694B,,2018-06,0.70,,,0.70,,2018-06,,,0.6887,0.69,,2018-06,4.598B,4.643B,0.19,,2018-06,AOR,Restated
