,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,117.00M,,-11.00M,,-11.00M,,82.00M,82.00M,7.00M,17.00M,3.00M,195.00M,-9.00M,-350.00M,2.00M,,-553.00M,-715.00M,,-500.00M,-41.00M,,,-1.125B,77.00M,,-1.089B,1.246B,,1.246B,53.00M,-66.00M,-13.00M,-84.00M,-84.00M,,1.149B,1.268B,-440.00M,30.00M,858.00M,,53.00M,1.296B,-50.00M,-66.00M,36.00M,55.00M
2017-12,-573.00M,,0.00,2.00M,2.00M,,89.00M,89.00M,1.001B,17.00M,3.00M,-141.00M,37.00M,338.00M,43.00M,,-55.00M,222.00M,,761.00M,-21.00M,,,-21.00M,9.00M,,-33.00M,-3.00M,,-3.00M,21.00M,-125.00M,-104.00M,-77.00M,-77.00M,-1.00M,-185.00M,717.00M,543.00M,8.00M,1.268B,,21.00M,3.00M,-6.00M,-125.00M,39.00M,30.00M
2017-09,212.00M,,-1.00M,21.00M,20.00M,,88.00M,88.00M,36.00M,16.00M,8.00M,-170.00M,29.00M,162.00M,-121.00M,,-10.00M,-110.00M,,270.00M,-85.00M,,,-243.00M,102.00M,,-226.00M,-9.00M,,-9.00M,33.00M,-100.00M,-67.00M,-76.00M,-76.00M,0.00,-152.00M,805.00M,-108.00M,20.00M,717.00M,,33.00M,0.00,-9.00M,-100.00M,36.00M,58.00M
2017-06,132.00M,,1.00M,16.00M,17.00M,,86.00M,86.00M,40.00M,16.00M,6.00M,-117.00M,-43.00M,-33.00M,38.00M,,31.00M,-124.00M,,173.00M,-53.00M,,,-34.00M,19.00M,,-68.00M,2.00M,,2.00M,6.00M,-80.00M,-74.00M,-77.00M,-77.00M,-2.00M,-151.00M,829.00M,-46.00M,22.00M,805.00M,,6.00M,7.00M,-5.00M,-80.00M,26.00M,34.00M
2017-03,78.00M,,-3.00M,9.00M,6.00M,,80.00M,80.00M,23.00M,17.00M,15.00M,368.00M,-69.00M,-307.00M,-59.00M,,-10.00M,-77.00M,,142.00M,-68.00M,,,-106.00M,53.00M,,-121.00M,-1.00M,,-1.00M,22.00M,-178.00M,-156.00M,-77.00M,-77.00M,,-234.00M,1.03B,-213.00M,12.00M,829.00M,,22.00M,0.00,-1.00M,-178.00M,21.00M,54.00M
2016-12,244.00M,,-7.00M,26.00M,21.00M,,75.00M,75.00M,70.00M,16.00M,11.00M,-251.00M,6.00M,465.00M,-83.00M,,-61.00M,76.00M,,513.00M,-60.00M,5.00M,5.00M,-259.00M,33.00M,,-281.00M,-683.00M,,-683.00M,13.00M,-114.00M,-101.00M,-67.00M,-67.00M,,-851.00M,1.687B,-619.00M,-38.00M,1.03B,,13.00M,0.00,-683.00M,-114.00M,4.00M,39.00M
2016-09,193.00M,,-7.00M,0.00,-7.00M,,76.00M,76.00M,72.00M,17.00M,8.00M,-82.00M,2.00M,138.00M,-37.00M,,-32.00M,-11.00M,,348.00M,-68.00M,22.00M,22.00M,-95.00M,84.00M,,-57.00M,-1.00M,,-1.00M,40.00M,-109.00M,-69.00M,-70.00M,-70.00M,,-140.00M,1.545B,151.00M,-9.00M,1.687B,,40.00M,0.00,-1.00M,-109.00M,8.00M,58.00M
2016-06,108.00M,,-1.00M,0.00,-1.00M,,82.00M,82.00M,36.00M,18.00M,24.00M,50.00M,2.00M,1.00M,-22.00M,,-7.00M,24.00M,,291.00M,-92.00M,46.00M,46.00M,-67.00M,72.00M,,-41.00M,-1.00M,,-1.00M,0.00,-555.00M,-555.00M,-72.00M,-72.00M,,-628.00M,1.94B,-378.00M,-17.00M,1.545B,,0.00,0.00,-1.00M,-555.00M,2.00M,35.00M
2016-03,17.00M,,21.00M,0.00,21.00M,,62.00M,62.00M,35.00M,17.00M,11.00M,277.00M,-4.00M,-363.00M,-43.00M,,-17.00M,-150.00M,,13.00M,-51.00M,,,-1.053B,481.00M,,-623.00M,672.00M,,672.00M,40.00M,-64.00M,-24.00M,-71.00M,-71.00M,,577.00M,1.98B,-33.00M,-7.00M,1.94B,,40.00M,673.00M,-1.00M,-64.00M,52.00M,59.00M
2015-12,278.00M,,-47.00M,0.00,-47.00M,,37.00M,37.00M,33.00M,20.00M,9.00M,-146.00M,37.00M,178.00M,54.00M,,-39.00M,84.00M,,414.00M,-44.00M,1.00M,1.00M,-436.00M,80.00M,,-399.00M,-6.00M,,-6.00M,15.00M,-181.00M,-166.00M,-59.00M,-59.00M,4.00M,-227.00M,2.20B,-212.00M,-8.00M,1.98B,,15.00M,-5.00M,-1.00M,-181.00M,19.00M,33.00M
2015-09,126.00M,,-10.00M,0.00,-10.00M,,32.00M,32.00M,72.00M,18.00M,38.00M,-88.00M,4.00M,96.00M,10.00M,,3.00M,25.00M,,301.00M,-50.00M,1.00M,1.00M,-57.00M,39.00M,,-67.00M,975.00M,,975.00M,32.00M,-2.057B,-2.025B,-70.00M,-70.00M,0.00,-1.12B,3.112B,-886.00M,-26.00M,2.20B,,32.00M,976.00M,-1.00M,-2.057B,15.00M,49.00M
2015-06,151.00M,,-4.00M,-32.00M,-36.00M,,40.00M,40.00M,32.00M,19.00M,4.00M,-54.00M,19.00M,-1.00M,2.00M,,-26.00M,-60.00M,,150.00M,-48.00M,0.00,0.00,-19.00M,23.00M,,-44.00M,-1.00M,,-1.00M,-4.00M,-286.00M,-290.00M,-73.00M,-73.00M,0.00,-364.00M,3.353B,-258.00M,17.00M,3.112B,,-4.00M,0.00,-1.00M,-286.00M,32.00M,31.00M
2015-03,88.00M,,-46.00M,,-46.00M,,41.00M,41.00M,23.00M,21.00M,1.00M,309.00M,-44.00M,-247.00M,26.00M,,-16.00M,28.00M,,156.00M,-33.00M,1.00M,1.00M,-74.00M,88.00M,,-18.00M,-1.00M,,-1.00M,41.00M,-653.00M,-612.00M,-75.00M,-75.00M,1.00M,-687.00M,3.954B,-549.00M,-52.00M,3.353B,,41.00M,0.00,-1.00M,-653.00M,39.00M,50.00M
2014-12,-926.00M,0.00,-1.00M,1.883B,1.882B,,42.00M,42.00M,-626.00M,20.00M,96.00M,-264.00M,-17.00M,98.00M,-38.00M,,-825.00M,-1.046B,32.00M,-620.00M,-51.00M,3.00M,3.00M,-26.00M,3.38B,,3.208B,-4.00M,,-4.00M,-7.00M,-1.423B,-1.43B,-82.00M,-82.00M,27.00M,-1.419B,2.845B,1.169B,-60.00M,3.954B,,-7.00M,0.00,-4.00M,-1.423B,69.00M,36.00M
2014-09,67.00M,0.00,0.00,0.00,37.00M,,45.00M,45.00M,63.00M,20.00M,3.00M,12.00M,-5.00M,129.00M,-85.00M,,-401.00M,-350.00M,-26.00M,-141.00M,-48.00M,6.00M,6.00M,-10.00M,2.00M,,-56.00M,912.00M,,912.00M,9.00M,-650.00M,-641.00M,-78.00M,-78.00M,-29.00M,198.00M,2.876B,1.00M,-32.00M,2.845B,,9.00M,1.371B,-459.00M,-650.00M,5.00M,25.00M
2014-06,78.00M,0.00,3.00M,0.00,3.00M,,46.00M,46.00M,-16.00M,26.00M,-2.00M,30.00M,29.00M,-124.00M,60.00M,,-12.00M,-17.00M,55.00M,173.00M,-41.00M,0.00,0.00,-7.00M,10.00M,,-19.00M,-1.00M,,-1.00M,71.00M,-416.00M,-345.00M,-79.00M,-79.00M,75.00M,-424.00M,3.141B,-270.00M,5.00M,2.876B,,71.00M,0.00,-1.00M,-416.00M,29.00M,49.00M
2014-03,85.00M,-21.00M,-7.00M,,-28.00M,,40.00M,40.00M,22.00M,28.00M,-3.00M,160.00M,-12.00M,-175.00M,16.00M,,-121.00M,-132.00M,34.00M,46.00M,-41.00M,24.00M,24.00M,-4.00M,11.00M,,-18.00M,3.00M,,3.00M,14.00M,-57.00M,-43.00M,-79.00M,-79.00M,31.00M,-114.00M,3.225B,-86.00M,2.00M,3.141B,,14.00M,4.00M,-1.00M,-57.00M,2.00M,18.00M
2013-12,293.00M,0.00,-3.00M,,-3.00M,,42.00M,42.00M,-25.00M,29.00M,-3.00M,-55.00M,1.00M,269.00M,39.00M,,-7.00M,247.00M,161.00M,741.00M,-59.00M,51.00M,51.00M,-37.00M,1.18B,,984.00M,-1.00M,,-1.00M,57.00M,-362.00M,-305.00M,-80.00M,-80.00M,156.00M,-238.00M,1.721B,1.487B,17.00M,3.225B,,57.00M,0.00,-1.00M,-362.00M,15.00M,48.00M
2013-09,262.00M,0.00,-27.00M,,-27.00M,,40.00M,40.00M,-116.00M,29.00M,-4.00M,-59.00M,-23.00M,-22.00M,34.00M,,-39.00M,-109.00M,76.00M,151.00M,-31.00M,0.00,0.00,-12.00M,617.00M,,497.00M,-1.00M,,-1.00M,9.00M,-425.00M,-416.00M,-69.00M,-69.00M,79.00M,-406.00M,1.457B,242.00M,22.00M,1.721B,,9.00M,0.00,-1.00M,-425.00M,163.00M,16.00M
2013-06,192.00M,0.00,0.00,,0.00,,24.00M,24.00M,-182.00M,17.00M,-6.00M,-122.00M,19.00M,-62.00M,52.00M,,-1.00M,-114.00M,152.00M,83.00M,-33.00M,15.00M,15.00M,-4.00M,491.00M,,332.00M,-1.00M,,-1.00M,59.00M,-550.00M,-491.00M,-71.00M,-71.00M,146.00M,-434.00M,1.47B,-19.00M,6.00M,1.457B,,59.00M,0.00,-1.00M,-550.00M,4.00M,52.00M
2013-03,192.00M,0.00,-7.00M,,-7.00M,,52.00M,52.00M,-11.00M,45.00M,-1.00M,200.00M,-5.00M,-417.00M,-75.00M,,-4.00M,-301.00M,,-31.00M,-46.00M,0.00,0.00,-4.00M,-94.00M,,-144.00M,592.00M,,592.00M,40.00M,-357.00M,-317.00M,-72.00M,-72.00M,9.00M,212.00M,1.468B,37.00M,-35.00M,1.47B,,40.00M,593.00M,-1.00M,-357.00M,64.00M,6.00M
2012-12,128.00M,,13.00M,,13.00M,,0.00,0.00,-89.00M,7.00M,134.00M,-108.00M,49.00M,177.00M,35.00M,,-30.00M,123.00M,394.00M,564.00M,-30.00M,31.00M,31.00M,22.00M,-395.00M,,-545.00M,-1.00M,,-1.00M,54.00M,-326.00M,-272.00M,-73.00M,-73.00M,231.00M,-343.00M,1.779B,-324.00M,13.00M,1.468B,,54.00M,0.00,-1.00M,-326.00M,23.00M,48.00M
2012-09,206.00M,,-19.00M,,-19.00M,,45.00M,45.00M,110.00M,44.00M,13.00M,-73.00M,-43.00M,100.00M,-70.00M,,-131.00M,-217.00M,0.00,182.00M,-39.00M,0.00,0.00,-7.00M,202.00M,,156.00M,-1.00M,,-1.00M,16.00M,-308.00M,-292.00M,-63.00M,-63.00M,0.00,-356.00M,1.772B,-18.00M,25.00M,1.779B,,16.00M,0.00,-1.00M,-308.00M,13.00M,7.00M
2012-06,177.00M,,-3.00M,,3.00M,,53.00M,53.00M,66.00M,52.00M,-2.00M,121.00M,-17.00M,-134.00M,23.00M,,-89.00M,-96.00M,0.00,253.00M,-52.00M,9.00M,9.00M,-24.00M,101.00M,,34.00M,337.00M,,337.00M,33.00M,-439.00M,-406.00M,-64.00M,-64.00M,-62.00M,-195.00M,1.72B,92.00M,-40.00M,1.772B,,33.00M,747.00M,-410.00M,-439.00M,53.00M,46.00M
2012-03,159.00M,,-17.00M,,-17.00M,,53.00M,53.00M,27.00M,43.00M,1.00M,141.00M,9.00M,-249.00M,-100.00M,,2.00M,-197.00M,2.00M,71.00M,-49.00M,,,92.00M,1.109B,,1.152B,-1.00M,,-1.00M,30.00M,-1.365B,-1.335B,-70.00M,-70.00M,-5.00M,-1.40B,1.881B,-177.00M,16.00M,1.72B,,30.00M,0.00,-1.00M,-1.365B,38.00M,8.00M
2011-12,177.00M,,-2.00M,,-2.00M,,93.00M,93.00M,33.00M,45.00M,-5.00M,-332.00M,24.00M,39.00M,67.00M,,-95.00M,-297.00M,-39.00M,5.00M,-83.00M,0.00,0.00,-6.00M,1.343B,,1.254B,-602.00M,,-602.00M,44.00M,-366.00M,-322.00M,,-72.00M,-185.00M,-1.143B,1.785B,116.00M,-20.00M,1.881B,,44.00M,0.00,-602.00M,-366.00M,50.00M,56.00M
2011-09,155.00M,,-2.00M,,-2.00M,,92.00M,92.00M,40.00M,45.00M,-6.00M,-6.00M,-26.00M,108.00M,-15.00M,,92.00M,153.00M,21.00M,498.00M,-43.00M,2.00M,2.00M,-24.00M,-55.00M,,-120.00M,-1.00M,,-1.00M,20.00M,-744.00M,-724.00M,,0.00,-15.00M,-761.00M,2.203B,-383.00M,-35.00M,1.785B,,20.00M,0.00,-1.00M,-744.00M,18.00M,5.00M
2011-06,48.00M,,-19.00M,,80.00M,,90.00M,90.00M,104.00M,39.00M,53.00M,-87.00M,-2.00M,-117.00M,22.00M,,-136.00M,-320.00M,-145.00M,-51.00M,-33.00M,3.00M,3.00M,-2.00M,57.00M,,23.00M,-616.00M,,-616.00M,58.00M,0.00,58.00M,,0.00,-128.00M,-558.00M,2.764B,-586.00M,51.00M,2.203B,,58.00M,0.00,-616.00M,0.00,23.00M,89.00M
2011-03,361.00M,,,,-18.00M,,91.00M,91.00M,-114.00M,39.00M,-8.00M,175.00M,-10.00M,-221.00M,-13.00M,,-49.00M,-118.00M,189.00M,422.00M,-27.00M,1.00M,1.00M,0.00,1.293B,,1.261B,0.00,,0.00,70.00M,0.00,70.00M,,0.00,-2.991B,-3.13B,4.208B,-1.447B,-23.00M,2.764B,,70.00M,,0.00,0.00,16.00M,16.00M
2010-12,178.00M,,-5.00M,,-5.00M,,96.00M,96.00M,-14.00M,36.00M,-14.00M,-3.00M,-21.00M,151.00M,5.00M,,-77.00M,55.00M,322.00M,654.00M,-81.00M,0.00,0.00,-16.00M,449.00M,,169.00M,-527.00M,0.00,-527.00M,27.00M,0.00,27.00M,,,153.00M,-500.00M,3.848B,323.00M,37.00M,4.208B,,27.00M,,-527.00M,0.00,164.00M,98.00M
2010-09,-20.00M,,-44.00M,,-4.00M,,85.00M,85.00M,143.00M,39.00M,-23.00M,-48.00M,-54.00M,326.00M,-63.00M,,-72.00M,89.00M,280.00M,589.00M,-37.00M,0.00,0.00,-240.00M,533.00M,,184.00M,-3.00M,0.00,-3.00M,84.00M,0.00,84.00M,,,113.00M,81.00M,2.893B,854.00M,101.00M,3.848B,,84.00M,,-3.00M,0.00,61.00M,12.00M
2010-06,7.00M,,,,-21.00M,,85.00M,85.00M,237.00M,36.00M,-5.00M,-227.00M,-21.00M,53.00M,80.00M,,-121.00M,-236.00M,143.00M,246.00M,-37.00M,0.00,0.00,218.00M,-151.00M,,-9.00M,-480.00M,-1.00M,-481.00M,5.00M,,5.00M,,,133.00M,-476.00M,3.188B,-239.00M,-56.00M,2.893B,,5.00M,,-481.00M,,-10.00M,110.00M
2010-03,96.00M,,,,-7.00M,,87.00M,87.00M,18.00M,33.00M,-32.00M,195.00M,-15.00M,-197.00M,-70.00M,,-49.00M,-136.00M,424.00M,483.00M,-37.00M,27.00M,27.00M,15.00M,-120.00M,,-164.00M,-1.00M,-4.00M,-5.00M,63.00M,,63.00M,,,398.00M,58.00M,2.869B,377.00M,-58.00M,3.188B,,63.00M,,-5.00M,,44.00M,20.00M
2009-12,50.00M,,21.00M,,-53.00M,,155.00M,155.00M,164.00M,64.00M,-10.00M,-33.00M,211.00M,93.00M,-46.00M,,87.00M,312.00M,195.00M,877.00M,-60.00M,15.00M,15.00M,29.00M,-1.007B,,-1.063B,-2.00M,-15.00M,-17.00M,6.00M,,6.00M,,0.00,160.00M,-11.00M,3.05B,-242.00M,61.00M,2.869B,-45.00M,6.00M,,-17.00M,,50.00M,104.00M
2009-09,-141.00M,,-21.00M,,-11.00M,,105.00M,105.00M,-79.00M,49.00M,3.00M,327.00M,65.00M,-302.00M,49.00M,,22.00M,161.00M,529.00M,616.00M,-7.00M,2.00M,2.00M,71.00M,-564.00M,,-529.00M,-1.00M,-17.00M,-18.00M,54.00M,,54.00M,,0.00,543.00M,36.00M,2.881B,168.00M,1.00M,3.05B,45.00M,54.00M,,-18.00M,,-65.00M,83.00M
2009-06,35.00M,,,,-30.00M,-190.00M,192.00M,192.00M,162.00M,74.00M,-9.00M,1.00M,408.00M,-848.00M,290.00M,,-125.00M,-274.00M,,150.00M,-66.00M,3.00M,3.00M,83.00M,-675.00M,,-655.00M,0.00,-23.00M,-23.00M,0.00,,0.00,,0.00,6.00M,-17.00M,3.265B,-522.00M,138.00M,2.881B,,0.00,,-23.00M,,123.00M,105.00M
2009-03,-288.00M,,,,-47.00M,190.00M,190.00M,190.00M,-197.00M,76.00M,4.00M,-204.00M,582.00M,-1.355B,217.00M,,8.00M,-752.00M,,-1.014B,-71.00M,3.00M,3.00M,122.00M,1.525B,,1.579B,-129.00M,-31.00M,-160.00M,56.00M,,56.00M,,-114.00M,,-218.00M,3.064B,347.00M,-146.00M,3.265B,,56.00M,,-160.00M,,51.00M,28.00M
2008-12,-3.656B,,65.00M,,-17.00M,831.00M,207.00M,207.00M,2.195B,60.00M,1.92B,847.00M,-8.00M,-1.107B,660.00M,,-900.00M,-508.00M,,201.00M,-117.00M,12.00M,12.00M,-189.00M,423.00M,-83.00M,46.00M,-104.00M,-13.00M,-117.00M,59.00M,0.00,59.00M,,-113.00M,94.00M,-77.00M,2.974B,170.00M,-80.00M,3.064B,,59.00M,,-124.00M,0.00,120.00M,105.00M
2008-09,-391.00M,,-65.00M,,-7.00M,-416.00M,208.00M,208.00M,-27.00M,54.00M,480.00M,171.00M,-183.00M,271.00M,76.00M,,-472.00M,-137.00M,,180.00M,-156.00M,116.00M,116.00M,103.00M,45.00M,83.00M,191.00M,0.00,44.00M,44.00M,4.00M,0.00,4.00M,,-113.00M,-18.00M,-83.00M,2.757B,288.00M,-71.00M,2.974B,,4.00M,,44.00M,0.00,69.00M,17.00M
2008-06,-3.00M,,,,-39.00M,212.00M,212.00M,212.00M,-192.00M,88.00M,117.00M,246.00M,183.00M,-159.00M,-104.00M,,-145.00M,21.00M,,204.00M,-120.00M,0.00,0.00,17.00M,107.00M,,4.00M,0.00,-27.00M,-27.00M,76.00M,0.00,76.00M,,-113.00M,-6.00M,-70.00M,2.693B,138.00M,-74.00M,2.757B,,76.00M,,-27.00M,0.00,57.00M,111.00M
2008-03,-190.00M,,,,-19.00M,204.00M,204.00M,204.00M,-278.00M,78.00M,-1.00M,627.00M,-46.00M,-636.00M,-166.00M,,84.00M,-137.00M,,-343.00M,-111.00M,5.00M,5.00M,-120.00M,779.00M,,553.00M,-114.00M,-54.00M,-168.00M,6.00M,-138.00M,-132.00M,,-114.00M,-1.00M,-415.00M,2.752B,-205.00M,146.00M,2.693B,,6.00M,,-168.00M,-138.00M,161.00M,19.00M
2007-12,100.00M,,,,-41.00M,,221.00M,221.00M,-195.00M,,132.00M,-216.00M,100.00M,805.00M,-338.00M,,-109.00M,242.00M,11.00M,470.00M,-134.00M,43.00M,-91.00M,-85.00M,522.00M,,346.00M,,,116.00M,151.00M,-557.00M,-406.00M,,-114.00M,12.00M,-392.00M,2.315B,424.00M,13.00M,2.752B,,151.00M,,,-557.00M,,
2007-09,60.00M,,,,-5.00M,,236.00M,236.00M,-177.00M,,107.00M,338.00M,25.00M,305.00M,-557.00M,,30.00M,141.00M,-20.00M,342.00M,-123.00M,50.00M,-73.00M,-246.00M,-178.00M,,-497.00M,,,-254.00M,77.00M,-118.00M,-41.00M,,-115.00M,-54.00M,-402.00M,2.77B,-557.00M,102.00M,2.315B,,77.00M,,,-118.00M,,
2007-06,-28.00M,,,,-5.00M,,227.00M,227.00M,-194.00M,,104.00M,1.321B,285.00M,-1.942B,128.00M,,79.00M,-129.00M,-10.00M,-35.00M,-178.00M,19.00M,-159.00M,-106.00M,704.00M,,439.00M,,,29.00M,166.00M,0.00,166.00M,,-120.00M,9.00M,22.00M,2.737B,426.00M,3.00M,2.77B,,166.00M,,,0.00,,
2007-03,-181.00M,,,,1.00M,,219.00M,219.00M,-181.00M,,185.00M,1.095B,146.00M,-1.471B,62.00M,,170.00M,2.00M,-37.00M,8.00M,-92.00M,54.00M,-38.00M,-4.131B,6.26B,,2.091B,,,-104.00M,46.00M,-2.36B,-2.314B,,-119.00M,8.00M,-2.529B,3.212B,-430.00M,-45.00M,2.737B,,46.00M,,,-2.36B,,
2006-12,623.00M,,,,125.00M,,155.00M,155.00M,-26.00M,,16.00M,-321.00M,-446.00M,851.00M,-80.00M,,-93.00M,-89.00M,-94.00M,710.00M,-259.00M,28.00M,-231.00M,1.955B,-1.774B,,-50.00M,,,-10.00M,203.00M,-700.00M,-497.00M,,-121.00M,16.00M,-601.00M,3.015B,59.00M,138.00M,3.212B,,203.00M,,,-700.00M,,
2006-09,968.00M,,,,-10.00M,,142.00M,142.00M,290.00M,,254.00M,-678.00M,14.00M,1.261B,-242.00M,,-168.00M,187.00M,-241.00M,1.59B,-141.00M,2.00M,-139.00M,-773.00M,97.00M,,-815.00M,,,19.00M,379.00M,-1.473B,-1.094B,,-123.00M,83.00M,-1.157B,3.401B,-382.00M,-4.00M,3.015B,,379.00M,,,-1.473B,,
