,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-03,658.83M,658.83M,474.09M,184.74M,,,,-0.813M,,,68.11M,134.72M,50.02M,,,-0.813M,,-54.76M,-28.30M,-24.54M,,-1.921M,,-26.46M,-25.98M,116.63M,66.61M,50.02M,-0.065,0.0,-0.0638,-0.065,-0.065,0.0,-0.0638,-0.065,397.21M,397.21M,
2001-12,-52.73M,-52.73M,,,,,,,,,,,1.687B,,,,,,,-22.91M,,,,39.13M,-15.87M,1.757B,70.09M,1.687B,-0.0561,0.1385,-0.0561,0.0824,-0.0561,0.1385,-0.0561,0.0824,387.42M,390.90M,
2001-09,852.17M,852.17M,525.29M,326.88M,,,,23.17M,,,69.94M,128.64M,198.24M,,,23.17M,,198.91M,57.33M,144.96M,,-3.38M,,141.58M,125.09M,256.95M,58.71M,198.24M,0.355,0.0,0.3135,0.355,0.355,0.0,0.3137,0.355,397.07M,398.87M,
2001-06,661.30M,661.30M,479.28M,182.02M,,,,11.86M,,,44.66M,90.26M,91.76M,,,11.86M,,56.86M,7.746M,51.71M,,-2.599M,,49.11M,38.87M,137.36M,45.60M,91.76M,0.125,0.0,0.0992,0.125,0.125,0.0,0.0994,0.125,397.03M,400.55M,
2001-03,624.26M,624.26M,423.86M,200.40M,,,,2.082M,,,54.19M,92.28M,108.12M,,,2.082M,,40.06M,4.877M,37.24M,,-2.059M,,35.18M,33.35M,146.21M,38.09M,108.12M,0.095,0.0,0.09,0.095,0.095,0.0,0.0901,0.095,367.85M,371.76M,
2000-12,470.48M,470.48M,219.86M,250.61M,,,,3.047M,,,,81.05M,169.56M,,,3.047M,,14.23M,4.232M,2.84M,,6.318M,,42.00M,7.857M,205.24M,35.68M,169.56M,-0.0548,0.0806,-0.0614,0.0259,-0.0548,0.0806,-0.0614,0.0259,322.23M,324.48M,
2000-09,533.16M,533.16M,319.44M,213.72M,,,,0.346M,,,41.73M,78.15M,135.57M,,,0.346M,,143.23M,54.62M,91.68M,,-3.077M,,88.60M,88.39M,171.99M,36.42M,135.57M,0.245,0.0,0.2444,0.245,0.245,0.0,0.2444,0.245,360.00M,365.37M,
2000-06,473.84M,473.84M,305.91M,167.93M,,,,0.034M,,,31.11M,61.97M,105.96M,,,0.034M,,70.02M,26.44M,45.86M,,-2.283M,,43.58M,43.56M,136.82M,30.86M,105.96M,0.14,0.0,0.1399,0.14,0.14,0.0,0.1399,0.14,311.06M,312.38M,
2000-03,332.67M,332.67M,214.92M,117.75M,,,,1.531M,,,25.18M,45.17M,72.58M,,,1.531M,,10.35M,1.607M,10.54M,,-1.798M,,8.746M,7.453M,92.57M,19.99M,72.58M,0.03,0.0,0.0256,0.03,0.03,0.0,0.0256,0.03,295.21M,295.21M,
1999-12,216.44M,216.44M,121.69M,94.75M,,,,11.92M,,,,43.99M,50.76M,,,11.92M,,26.00M,-2.192M,26.65M,,3.993M,,28.19M,21.03M,64.10M,-60.71M,50.76M,0.0955,,0.0712,0.0955,0.0955,,0.0712,0.0955,295.21M,295.21M,
1999-09,170.41M,170.41M,79.15M,91.26M,,,,2.196M,,,20.65M,33.31M,57.95M,,,2.196M,,29.00M,1.395M,27.99M,,-0.382M,,27.61M,25.52M,70.61M,12.66M,57.95M,0.095,0.0,0.0879,0.095,0.095,0.0,0.0879,0.095,295.21M,295.21M,
1999-06,66.66M,66.66M,41.12M,25.54M,,,,2.574M,,,16.29M,22.58M,2.956M,,,2.574M,,-10.95M,-13.29M,3.032M,,-0.691M,,2.341M,0.7966M,9.247M,6.291M,2.956M,0.01,0.0,0.0048,0.01,0.01,0.0,0.0048,0.01,295.21M,295.21M,
