,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2007-01,30.39M,,,0.378M,8.799M,8.799M,-0.672M,,,,0.694M,-13.65M,,0.741M,1.681M,-2.775M,-18.40M,0.443M,-31.96M,,7.626M,2007-01,-16.25M,2.813M,-13.44M,,-8.83M,,-22.27M,,,,,8.477M,,8.477M,,3.833M,12.31M,,2007-01,126.64M,-0.258M,124.05M,,2007-01,,,,,,,2007-01,
2006-10,30.34M,,,2.254M,8.74M,8.74M,-1.342M,,,,0.843M,1.685M,,0.19M,-3.665M,0.752M,14.48M,-0.296M,13.15M,,53.99M,2006-10,-21.10M,3.013M,-18.09M,,-38.33M,,-56.42M,,,,,1.577M,,1.577M,,0.576M,2.153M,,2006-10,126.59M,0.333M,126.64M,,2006-10,,,,,,,2006-10,
2006-07,31.57M,,,4.656M,8.536M,8.536M,-0.866M,,,,0.729M,10.82M,,-0.61M,-1.55M,3.523M,-6.639M,0.343M,5.885M,-0.983M,49.53M,2006-07,-35.31M,8.957M,-26.35M,,-20.78M,,-49.31M,,,,,1.564M,0.00,1.564M,,1.095M,2.659M,,2006-07,124.01M,-0.304M,126.59M,,2006-07,,,0.00,,,,2006-07,
2006-04,34.71M,,,-22.02M,8.103M,8.103M,1.698M,,,,3.591M,9.966M,,0.779M,4.301M,6.899M,-1.737M,0.605M,20.81M,19.50M,66.39M,2006-04,-41.31M,0.22M,-41.09M,,-31.33M,31.40M,-41.00M,,,,,1.558M,0.00,1.558M,,0.365M,1.923M,,2006-04,96.83M,-0.129M,124.01M,,2006-04,,,0.00,,,,2006-04,
2006-01,7.854M,,,24.76M,7.708M,7.708M,-3.547M,,,,-1.037M,-30.41M,,1.329M,2.095M,-8.842M,-6.718M,2.101M,-40.44M,0.361M,-4.341M,2006-01,-14.20M,0.127M,-14.07M,,47.22M,-31.40M,1.733M,,,,,2.229M,-8.873M,-6.644M,,0.338M,-6.306M,,2006-01,105.77M,-0.026M,96.83M,,2006-01,,,-8.873M,,,,2006-01,
2005-10,22.81M,,,0.04M,7.109M,7.109M,-1.405M,,,,1.037M,-3.306M,,-0.035M,-0.475M,-3.839M,10.76M,-2.101M,1.008M,-0.237M,30.36M,2005-10,-26.87M,0.252M,-26.62M,,-152.72M,,-179.34M,,,,,1.71M,,1.71M,,0.519M,2.229M,,2005-10,252.55M,-0.033M,105.77M,,2005-10,,,,,,,2005-10,
2005-07,24.99M,,,-0.739M,6.212M,6.212M,-7.351M,,,,,3.763M,,0.404M,6.525M,-0.477M,-2.207M,,8.008M,1.16M,32.28M,2005-07,-28.07M,0.129M,-27.94M,2.858M,0.00,,-25.14M,,,,,1.492M,,1.492M,,,1.492M,,2005-07,243.90M,0.013M,252.55M,,2005-07,,,,,,,2005-07,
2005-04,30.90M,,,0.321M,9.22M,9.22M,0.651M,,,,,6.554M,,-1.964M,2.101M,4.343M,4.68M,,15.71M,0.045M,56.86M,2005-04,-16.90M,0.637M,-16.26M,-3.362M,207.18M,,187.58M,,,,-0.866M,0.527M,,0.527M,,-0.267M,-0.606M,,2005-04,0.00,0.071M,243.90M,,2005-04,,,,,,,2005-04,
2005-01,23.55M,,,-0.391M,7.429M,7.429M,-1.993M,,,,,-10.78M,,0.585M,6.38M,-2.167M,-5.267M,,-11.25M,-0.045M,17.30M,2005-01,-13.37M,1.092M,-12.28M,,-10.95M,,-23.25M,,,,0.866M,1.005M,,1.005M,,0.267M,2.138M,,2005-01,3.816M,0.00,0.00,,2005-01,,,,,,,2005-01,
2004-10,22.67M,,,-0.54M,7.605M,7.605M,3.073M,,,,,-8.296M,,-0.408M,-2.169M,-2.944M,10.57M,,-3.25M,,29.56M,2004-10,-11.91M,3.791M,-8.118M,,-23.62M,,-31.74M,,,,,0.211M,,0.211M,,,0.211M,,2004-10,5.72M,0.07M,3.816M,,2004-10,,,,,,,2004-10,
2004-07,21.45M,,,-1.022M,6.516M,6.516M,-2.552M,,,,,2.191M,,1.437M,-3.474M,0.669M,-3.375M,,-2.552M,,23.53M,2004-07,-14.63M,3.139M,-11.49M,-0.027M,-12.25M,0.058M,-26.34M,,,,,3.12M,0.00,3.12M,,,3.12M,,2004-07,5.289M,0.123M,5.72M,,2004-07,,,0.00,,,,2004-07,
2004-04,25.16M,,,1.953M,7.652M,7.652M,-1.62M,,,,,10.52M,,-0.446M,7.308M,3.06M,6.421M,,26.87M,,60.02M,2004-04,-9.497M,7.431M,-2.066M,-0.84M,-62.62M,0.84M,-64.69M,,,,0.088M,2.737M,0.00,2.737M,,-0.699M,2.126M,,2004-04,7.853M,-0.013M,5.289M,,2004-04,,,0.00,,,,2004-04,
2004-01,17.37M,,,-1.901M,8.081M,8.081M,4.727M,,,,,-16.03M,,-0.1723M,1.115M,-2.418M,-3.337M,,-20.84M,,7.436M,2004-01,-30.27M,9.097M,-21.18M,0.154M,13.63M,-1.304M,-8.697M,,,,-0.0018M,0.3874M,0.0001M,0.3875M,,0.699M,1.085M,,2004-01,119.46M,-0.0796M,7.853M,,2004-01,,,0.0001M,,,,2004-01,
2003-10,15.24M,,,0.033M,7.400M,7.400M,-0.677M,,,,,-7.231M,,-0.4247M,0.506M,-1.709M,10.99M,,2.132M,,24.13M,2003-10,-11.26M,0.1004M,-11.16M,-0.154M,,0.4645M,-10.85M,,,,-0.0862M,0.1826M,-10.72M,-10.54M,,,-10.63M,,2003-10,116.75M,0.0646M,119.46M,,2003-10,,,-10.72M,,,,2003-10,
2003-07,13.34M,,,-0.3302M,7.153M,7.153M,1.322M,,,,,-3.717M,,1.913M,2.978M,-2.452M,-6.651M,,-7.929M,,13.55M,2003-07,-8.806M,0.1346M,-8.672M,-6.019M,,6.211M,16.34M,,,,0.2447M,0.5327M,0.0003M,0.533M,,,-2.707M,,2003-07,110.90M,,5.391M,,2003-07,,,0.0003M,,,,2003-07,
2003-04,15.42M,,,-0.0614M,6.398M,6.398M,3.366M,,,,,15.26M,,0.8679M,1.593M,2.110M,0.0341M,,19.87M,,44.99M,2003-04,-7.774M,0.1669M,-7.607M,6.171M,,-6.211M,-7.647M,,,,-0.0853M,0.0797M,-20.45M,-20.37M,,,-20.45M,,2003-04,94.00M,,110.90M,,2003-04,,,-20.45M,,,,2003-04,
2003-01,13.76M,,,-0.0037M,6.363M,6.363M,1.190M,,,,,-16.84M,,1.010M,1.270M,-3.180M,-3.429M,,-21.17M,,0.1382M,2003-01,-33.17M,0.1191M,-33.05M,-6.444M,,6.169M,-33.33M,,,,-0.0804M,1.594M,,1.594M,,,1.513M,,2003-01,125.68M,,94.00M,,2003-01,,,,,,,2003-01,
2002-10,14.71M,,,-0.1587M,5.631M,5.631M,1.328M,,,,,-2.153M,,-4.017M,0.3254M,-0.7254M,5.130M,,-1.440M,,20.07M,2002-10,-20.97M,0.3884M,-20.58M,-0.3113M,,-6.169M,-27.06M,,,,-0.079M,0.0639M,,0.0639M,,,-0.0151M,,2002-10,132.69M,,125.68M,,2002-10,,,,,,,2002-10,
2002-07,15.54M,,,0.1808M,4.907M,4.907M,1.818M,,,,,-0.0839M,,1.672M,-2.094M,0.3912M,-3.288M,,-3.403M,,19.04M,2002-07,-22.13M,0.6026M,-21.53M,-8.426M,,1.522M,-28.43M,,,,-0.0777M,-1.857M,,-1.857M,,,-1.935M,,2002-07,144.02M,,132.69M,,2002-07,,,,,,,2002-07,
2002-04,16.60M,,,-0.2434M,4.241M,4.241M,-1.501M,,,,,12.95M,,-0.2992M,5.283M,3.900M,2.296M,,24.13M,,43.22M,2002-04,-26.11M,0.5969M,-25.51M,2.002M,,-1.522M,-25.03M,,,,-0.0763M,2.468M,,2.468M,,,2.391M,,2002-04,123.44M,,144.02M,,2002-04,,,,,,,2002-04,
2002-01,12.50M,,,-0.082M,3.687M,3.687M,2.495M,,,,,-9.575M,,1.481M,-0.6777M,-3.121M,-4.146M,,-16.04M,,2.556M,2002-01,-20.29M,0.2843M,-20.00M,-1.522M,,1.230M,-20.30M,,,,-0.0752M,127.91M,,127.91M,,,127.83M,,2002-01,13.35M,,123.44M,,2002-01,,,,,,,2002-01,
2001-10,12.76M,,,-0.1259M,3.474M,3.474M,,,,,,-2.112M,,-4.193M,2.614M,-0.3408M,5.101M,,1.069M,,17.17M,2001-10,-17.41M,0.2046M,-17.20M,-0.6149M,,-1.530M,-19.35M,,,,-0.0737M,0.3486M,,0.3486M,,,0.2749M,,2001-10,15.25M,,13.35M,,2001-10,,,,,,,2001-10,
2001-07,12.93M,,,-0.1312M,3.917M,3.917M,,,,,,-2.284M,,1.611M,-1.021M,-2.454M,-0.801M,,-4.949M,,12.54M,2001-07,-8.186M,0.2749M,-7.911M,-4.690M,,4.233M,-8.368M,,,,-7.573M,0.5428M,,0.5428M,,,-7.030M,,2001-07,18.10M,,15.25M,,2001-07,,,,,,,2001-07,
2001-04,11.49M,,,0.1938M,3.603M,3.603M,,,,,,6.296M,,2.007M,3.159M,2.602M,1.654M,,15.72M,,31.00M,2001-04,-14.48M,0.3145M,-14.17M,1.944M,,-4.233M,-16.45M,,,,-0.0888M,1.123M,,1.123M,,,1.034M,,2001-04,2.522M,,18.10M,,2001-04,,,,,,,2001-04,
2001-01,9.349M,,,-0.1057M,3.460M,3.460M,,,,,,-12.61M,,-1.359M,0.3854M,-3.511M,4.125M,,-12.97M,,-0.271M,2001-01,-12.65M,0.4481M,-12.20M,-2.353M,,-0.15M,-14.70M,,,,-0.1599M,1.978M,,1.978M,,,1.818M,,2001-01,15.68M,,2.522M,,2001-01,,,,,,,2001-01,
2000-10,8.919M,,,-0.2122M,3.370M,3.370M,,,,,,-3.112M,,-3.682M,2.601M,-0.7708M,6.516M,,1.551M,,13.63M,2000-10,-10.62M,0.4803M,-10.14M,,,,-10.14M,,,,-0.0211M,0.0439M,,0.0439M,,,0.0228M,,2000-10,12.16M,,15.68M,,2000-10,,,,,,,2000-10,
2000-07,8.162M,,,0.1178M,3.073M,3.073M,,,,,,-3.469M,,,-2.487M,-2.733M,-0.2604M,,-8.950M,,3.716M,2000-07,-9.136M,0.2571M,-8.879M,,,-6.174M,-15.05M,,,,0.9738M,1.933M,,1.933M,,,2.907M,,2000-07,20.60M,,12.16M,,2000-07,,,,,,,2000-07,
2000-04,8.367M,,,-0.0748M,2.906M,2.906M,,,,,0.10M,2.442M,,,2.598M,0.8056M,-0.1648M,,5.681M,,16.98M,2000-04,-9.786M,0.0262M,-9.760M,,,-2.316M,-12.08M,,,,-0.0394M,0.4838M,,0.4838M,,-0.10M,0.3444M,,2000-04,15.30M,,20.60M,,2000-04,,,,,,,2000-04,
2000-01,6.60M,,,-0.20M,2.70M,2.70M,,,,,0.00,-8.60M,,,2.00M,-3.40M,-0.90M,,-10.90M,,-1.80M,2000-01,-6.90M,0.20M,-6.70M,,,-9.70M,-16.40M,,,,-0.10M,0.50M,,0.50M,,0.10M,0.50M,,2000-01,33.00M,,15.30M,,2000-01,,,,,,,2000-01,
1999-10,6.30M,,,,2.80M,2.80M,,,,,-0.10M,-4.30M,,,1.70M,-2.00M,2.90M,,-1.70M,,7.30M,1999-10,-11.20M,,-11.20M,,,,-11.20M,,,,-0.10M,,,,,,-0.10M,,1999-10,37.00M,,33.00M,,1999-10,,,,,,,1999-10,
1999-07,6.70M,,,-0.20M,2.60M,2.60M,,,,,0.10M,-1.20M,,,0.10M,0.30M,-0.30M,,-1.10M,,7.40M,1999-07,-6.20M,0.00,-6.20M,,0.00,-2.60M,-8.80M,,,,-0.10M,0.50M,,0.50M,,-0.10M,0.30M,,1999-07,0.00,,37.00M,,1999-07,,,,,,,1999-07,
1999-04,6.30M,,,0.20M,2.50M,2.50M,,,,,-0.20M,4.50M,,,4.60M,1.10M,-0.60M,,9.60M,,18.40M,1999-04,-3.80M,0.00,-3.80M,,0.80M,-0.20M,-3.20M,,,,-0.20M,0.20M,,0.20M,,0.10M,0.10M,,1999-04,0.00,,0.00,,1999-04,,,,,,,1999-04,
1999-01,4.80M,,,-0.10M,2.40M,2.40M,,,,,0.10M,-6.40M,,,-1.00M,-1.80M,-0.20M,,-9.40M,,-2.20M,1999-01,-6.30M,0.10M,-6.20M,,8.10M,0.00,1.90M,,,,-0.10M,0.40M,,0.40M,,,0.30M,,1999-01,22.80M,,0.00,,1999-01,,,,,,,1999-01,
1998-10,4.20M,,,-0.10M,2.30M,2.30M,,,,,,-1.50M,,,0.40M,-0.50M,2.30M,,0.70M,,7.10M,1998-10,-4.40M,0.20M,-4.20M,,4.20M,-0.10M,-0.10M,,,,-0.20M,0.30M,,0.30M,,,0.10M,,1998-10,15.70M,,22.80M,,1998-10,,,,,,,1998-10,
1998-07,4.30M,,,0.20M,2.00M,2.00M,,,,,,-0.80M,-0.20M,,-3.60M,1.70M,-0.80M,,-3.70M,,2.70M,1998-07,-3.30M,0.10M,-3.20M,,,-8.70M,-25.00M,,,,0.00,1.40M,,1.40M,,,1.40M,,1998-07,0.00,,0.00,,1998-07,,,,,,,1998-07,
