,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-11,3.424B,3.424B,428.00M,2.996B,941.00M,243.00M,1.184B,558.00M,39.00M,,27.00M,6.00M,-21.00M,,1.781B,1.215B,6.00M,27.00M,-21.00M,3.00M,-21.00M,1.197B,-1.053B,2.25B,2.25B,2.247B,1.414B,190.00M,1.224B,,4.69,,4.684,4.69,,4.64,,4.634,4.64,,480.10M,482.60M,0.00,,AOR,
2020-08,3.225B,3.225B,427.00M,2.798B,892.00M,230.00M,1.122B,566.00M,41.00M,,28.00M,7.00M,-21.00M,,1.729B,1.069B,7.00M,28.00M,-21.00M,12.00M,-21.00M,1.06B,105.00M,955.00M,955.00M,945.10M,1.279B,191.00M,1.088B,,1.99,,1.969,1.99,,1.97,,1.950,1.97,,480.20M,484.90M,0.00,,AOR,
2020-05,3.128B,3.128B,415.00M,2.713B,901.00M,224.00M,1.125B,532.00M,40.00M,,28.00M,11.00M,-17.00M,,1.697B,1.016B,11.00M,28.00M,-17.00M,1.00M,-17.00M,1.00B,-100.00M,1.10B,1.10B,1.099B,1.216B,188.00M,1.028B,,2.28,,2.278,2.28,,2.27,,2.268,2.27,,481.50M,484.80M,0.00,,AOR,
2020-02,3.091B,3.091B,452.00M,2.639B,857.00M,271.00M,1.128B,532.00M,42.00M,,33.00M,19.00M,-14.00M,,1.702B,937.00M,19.00M,33.00M,-14.00M,-4.00M,-14.00M,919.00M,-36.00M,955.00M,955.00M,957.92M,1.14B,188.00M,952.00M,,1.98,,1.986,1.98,,1.96,,1.966,1.96,,482.00M,488.00M,0.00,,AOR,
2019-11,2.992B,2.992B,452.00M,2.54B,801.00M,227.00M,1.028B,500.00M,42.00M,,36.00M,18.00M,-18.00M,,1.57B,970.00M,18.00M,36.00M,-18.00M,5.00M,-18.00M,957.00M,106.00M,851.00M,851.00M,846.55M,1.184B,191.00M,993.00M,,1.76,,1.751,1.76,,1.74,,1.731,1.74,,482.70M,490.50M,0.00,,AOR,Restated
2019-08,2.834B,2.834B,416.00M,2.418B,812.00M,219.00M,1.031B,490.00M,43.00M,,40.00M,18.00M,-22.00M,,1.564B,854.00M,18.00M,40.00M,-22.00M,3.00M,-22.00M,835.00M,42.00M,793.00M,793.00M,790.15M,1.068B,193.00M,875.00M,,1.63,,1.624,1.63,,1.61,,1.604,1.61,,485.80M,491.00M,0.00,,AOR,Restated
2019-05,2.744B,2.744B,407.00M,2.337B,849.00M,219.00M,1.068B,476.00M,43.00M,,40.00M,16.00M,-24.00M,,1.587B,750.00M,16.00M,40.00M,-24.00M,-15.00M,-24.00M,711.00M,78.00M,633.00M,633.00M,646.35M,938.00M,187.00M,751.00M,,1.30,,1.327,1.30,,1.29,,1.317,1.29,,487.50M,492.20M,0.00,,AOR,Restated
2019-02,2.601B,2.601B,397.00M,2.204B,781.00M,216.00M,997.00M,465.00M,47.00M,,41.00M,16.00M,-25.00M,,1.509B,695.00M,16.00M,41.00M,-25.00M,32.00M,-25.00M,702.00M,28.00M,674.00M,674.00M,643.28M,929.00M,186.00M,743.00M,,1.38,,1.317,1.38,,1.36,,1.298,1.36,,488.00M,494.00M,0.00,,AOR,Restated
2018-11,2.465B,2.465B,359.26M,2.105B,723.74M,212.46M,936.20M,416.15M,32.83M,,27.63M,23.04M,-4.593M,,1.385B,720.18M,23.04M,27.63M,-4.593M,-16.24M,-4.593M,699.34M,20.88M,678.47M,678.47M,694.01M,833.20M,106.23M,726.97M,,1.39,,1.422,1.39,,1.37,,1.401,1.37,,489.99M,496.24M,0.00,,AOR,Restated
2018-08,2.291B,2.291B,295.49M,1.996B,670.08M,184.06M,854.15M,398.96M,23.87M,,21.11M,21.56M,0.454M,,1.277B,718.61M,21.56M,21.11M,0.454M,-17.70M,0.454M,701.36M,35.07M,666.29M,666.29M,683.15M,809.36M,86.89M,722.46M,,1.36,,1.394,1.36,,1.34,,1.374,1.34,,490.02M,496.87M,0.00,,AOR,Restated
