,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.077B,,1.077B,1.409B,,1.409B,386.00M,381.00M,,,,3.253B,,,,,,44.28B,-26.20B,18.09B,,,,,452.00M,,18.54B,21.79B,,2018-03,749.00M,991.00M,1.74B,42.00M,,400.00M,,400.00M,,114.00M,2.342B,1.819B,7.936B,7.936B,528.00M,528.00M,1.367B,,297.00M,10.58B,12.92B,,-1.943B,12.07B,2.887B,,,7.502B,,2018-03,AOR,Restated
2017-12,1.668B,,1.668B,1.345B,,1.345B,368.00M,344.00M,,,,3.725B,,,,1.785B,,44.14B,-26.38B,17.76B,,,,,438.00M,,18.20B,21.92B,,2017-12,696.00M,1.019B,1.715B,43.00M,,550.00M,,550.00M,,141.00M,2.564B,1.792B,7.934B,7.934B,545.00M,545.00M,1.375B,,296.00M,10.57B,13.13B,,-2.088B,12.13B,2.887B,,,7.416B,,2017-12,AOR,Restated
2017-09,1.846B,,1.846B,1.145B,,1.145B,396.00M,286.00M,96.00M,,,3.769B,,,,,,42.75B,-25.10B,17.66B,,,,,411.00M,,18.07B,21.84B,,2017-09,651.00M,872.00M,1.523B,35.00M,,550.00M,,550.00M,,258.00M,2.465B,1.831B,7.933B,7.933B,948.00M,948.00M,1.366B,,281.00M,10.99B,13.46B,,-2.544B,12.19B,2.887B,,,7.011B,,2017-09,AOR,Restated
2017-06,1.667B,,1.667B,1.015B,,1.015B,416.00M,318.00M,,,,4.647B,,,,,,42.17B,-24.62B,17.55B,,,,,404.00M,,17.96B,22.60B,,2017-06,610.00M,830.00M,1.44B,35.00M,,150.00M,,150.00M,,1.172B,2.873B,1.811B,8.329B,8.329B,1.058B,1.058B,1.366B,,266.00M,11.46B,14.34B,,-2.607B,12.25B,2.887B,,,6.899B,,2017-06,AOR,Restated
2017-03,1.521B,,1.521B,1.171B,,1.171B,454.00M,280.00M,,,,3.426B,,,,,,47.13B,-28.35B,18.78B,,,,,404.00M,,19.18B,22.61B,,2017-03,614.00M,803.00M,1.417B,56.00M,,150.00M,,150.00M,,219.00M,1.898B,2.46B,8.327B,8.327B,1.789B,1.789B,1.438B,,313.00M,12.89B,14.79B,,-3.179B,12.30B,2.887B,,,6.385B,,2017-03,AOR,Restated
2016-12,1.377B,,1.377B,1.128B,,1.128B,476.00M,260.00M,,,,3.241B,,,,,,46.75B,-27.88B,18.87B,,,,,411.00M,,19.28B,22.52B,,2016-12,607.00M,718.00M,1.325B,66.00M,,,,,,251.00M,1.843B,2.432B,8.544B,8.544B,1.71B,1.71B,1.441B,,311.00M,13.00B,14.84B,,-3.385B,12.36B,2.887B,,,6.238B,,2016-12,AOR,Restated
2016-09,1.23B,,1.23B,1.064B,,1.064B,513.00M,465.00M,,,,3.272B,,,,,,46.64B,-27.18B,19.46B,,,,,415.00M,,19.88B,23.15B,,2016-09,623.00M,721.00M,1.344B,36.00M,,1.00M,,1.00M,,100.00M,1.628B,2.742B,8.721B,8.721B,1.783B,1.783B,1.48B,,326.00M,13.57B,15.20B,,-3.203B,12.42B,2.888B,,,6.469B,,2016-09,AOR,Restated
2016-06,1.201B,,1.201B,1.016B,,1.016B,530.00M,545.00M,,,,3.292B,,,,,,46.71B,-26.57B,20.14B,,,,,911.00M,,21.05B,24.35B,,2016-06,598.00M,741.00M,1.339B,36.00M,,1.00M,,1.00M,,95.00M,1.57B,2.706B,8.719B,8.719B,2.308B,2.308B,1.554B,,347.00M,14.08B,15.65B,,-2.596B,12.49B,2.888B,,,7.142B,,2016-06,AOR,Restated
2016-03,1.004B,,1.004B,1.12B,,1.12B,547.00M,551.00M,,,,3.222B,,,,,,94.33B,-80.78B,13.54B,,,,,915.00M,,14.46B,17.68B,,2016-03,652.00M,770.00M,1.422B,36.00M,,1.00M,,1.00M,,64.00M,1.598B,2.586B,8.718B,8.718B,891.00M,891.00M,1.536B,,332.00M,12.53B,14.12B,,-7.642B,12.41B,2.888B,,,2.018B,,2016-03,AOR,Restated
2015-12,1.467B,,1.467B,1.253B,,1.253B,570.00M,462.00M,,,,3.752B,,,,1.786B,,46.84B,-26.00B,20.84B,,,,,910.00M,,21.75B,25.50B,,2015-12,665.00M,920.00M,1.585B,36.00M,,1.00M,,1.00M,,53.00M,1.841B,2.562B,8.716B,8.716B,2.529B,2.529B,1.602B,,362.00M,14.17B,16.01B,,-1.98B,12.62B,2.889B,,,7.888B,,2015-12,AOR,Restated
2015-09,1.655B,,1.655B,1.332B,,1.332B,667.00M,262.00M,,84.00M,,4.079B,,,,,,96.12B,-73.74B,22.38B,,,,,1.356B,,23.73B,27.81B,,2015-09,955.00M,914.00M,1.869B,28.00M,,,,,,112.00M,2.167B,2.567B,8.777B,8.777B,1.997B,1.997B,2.163B,,332.00M,13.67B,15.84B,,60.00M,12.50B,2.889B,,,9.809B,,2015-09,AOR,Restated
2015-06,2.95B,,2.95B,1.589B,,1.589B,629.00M,241.00M,,84.00M,,5.493B,,,,,,95.24B,-66.93B,28.32B,,,,,1.504B,,29.82B,35.31B,,2015-06,1.062B,977.00M,2.039B,28.00M,,,,,,166.00M,2.383B,2.534B,9.676B,9.676B,2.644B,2.644B,2.211B,,320.00M,15.17B,17.56B,,5.809B,12.48B,2.889B,,,15.54B,,2015-06,AOR,Restated
2015-03,229.00M,,229.00M,1.767B,,1.767B,666.00M,671.00M,,769.00M,,5.906B,,,,,,105.02B,-63.79B,41.23B,87.00M,,87.00M,,1.427B,,42.74B,48.65B,,2015-03,1.037B,1.449B,2.486B,47.00M,,2.598B,,2.598B,,235.00M,5.493B,3.094B,9.675B,9.675B,6.611B,6.611B,2.194B,,372.00M,19.75B,25.24B,,11.50B,12.46B,2.889B,,,21.21B,,2015-03,AOR,Restated
2014-12,769.00M,,769.00M,2.024B,,2.024B,708.00M,517.00M,,769.00M,,6.415B,,,,,,103.46B,-55.38B,48.08B,,,,,1.461B,,49.54B,55.95B,,2014-12,1.264B,1.929B,3.193B,37.00M,,,,,,230.00M,3.664B,3.048B,11.24B,11.24B,9.499B,9.499B,2.20B,,359.00M,24.15B,27.82B,,16.25B,12.44B,2.89B,,,25.94B,,2014-12,AOR,Restated
2014-09,510.00M,,510.00M,2.287B,,2.287B,713.00M,842.00M,74.00M,,,4.426B,,,,,,103.87B,-50.84B,53.04B,1.369B,,1.369B,,1.689B,471.00M,56.56B,60.99B,,2014-09,1.66B,1.969B,3.629B,177.00M,20.00M,20.00M,,20.00M,,264.00M,4.307B,3.096B,10.90B,10.90B,9.298B,9.298B,2.168B,,401.00M,23.70B,28.00B,,21.16B,12.38B,2.857B,,,30.82B,,2014-09,AOR,Restated
2014-06,524.00M,,524.00M,2.407B,,2.407B,794.00M,623.00M,778.00M,,,5.126B,,,,,,100.51B,-48.04B,52.47B,1.369B,,1.369B,,1.617B,589.00M,56.04B,61.17B,,2014-06,1.821B,1.908B,3.729B,178.00M,1.00M,1.00M,,1.00M,,495.00M,4.57B,3.05B,9.674B,9.674B,8.566B,8.566B,2.137B,,419.00M,21.71B,26.28B,,22.58B,12.32B,2.29B,,,32.76B,,2014-06,AOR,Restated
2014-03,1.643B,,1.643B,2.479B,,2.479B,727.00M,614.00M,,,,5.463B,,,,,,99.34B,-46.58B,52.75B,1.369B,,1.369B,,1.537B,,55.66B,61.12B,,2014-03,1.673B,1.888B,3.561B,182.00M,,,,,,479.00M,4.356B,2.996B,9.673B,9.673B,8.517B,8.517B,2.095B,,402.00M,21.59B,25.94B,,22.17B,12.28B,1.511B,,,33.08B,,2014-03,AOR,Restated
2013-12,1.906B,,1.906B,2.952B,,2.952B,891.00M,483.00M,,134.00M,,6.366B,,,,1.679B,,100.43B,-48.01B,52.42B,1.369B,,1.369B,,1.481B,,55.27B,61.64B,,2013-12,1.864B,1.933B,3.797B,121.00M,53.00M,53.00M,,53.00M,,487.00M,4.70B,3.101B,9.672B,9.672B,8.364B,8.364B,1.997B,,407.00M,21.54B,26.24B,,22.03B,12.25B,1.027B,,,33.40B,,2013-12,AOR,Restated
2013-09,1.251B,,1.251B,3.086B,,3.086B,889.00M,787.00M,,,,6.016B,,,,,,97.30B,-45.84B,51.46B,1.369B,,1.369B,,1.392B,,54.22B,60.24B,,2013-09,1.634B,2.126B,3.76B,139.00M,57.00M,57.00M,,57.00M,,389.00M,4.523B,3.123B,10.87B,10.87B,8.297B,8.297B,,,447.00M,22.74B,27.26B,,21.94B,11.19B,280.00M,,,32.98B,,2013-09,AOR,Restated
2013-06,184.00M,,184.00M,2.914B,,2.914B,973.00M,600.00M,,,,4.758B,,,,,,99.49B,-43.67B,55.82B,1.369B,,1.369B,,1.402B,,58.59B,63.35B,,2013-06,1.912B,1.984B,3.896B,475.00M,478.00M,478.00M,,478.00M,,173.00M,5.158B,4.278B,12.30B,12.30B,8.496B,8.496B,,,400.00M,25.47B,30.63B,,21.72B,9.928B,280.00M,1.227B,,32.72B,,2013-06,AOR,Restated
2013-03,248.00M,,248.00M,3.106B,,3.106B,885.00M,593.00M,,,,4.848B,,,,,,96.58B,-42.29B,54.29B,1.369B,,1.369B,,1.286B,,56.94B,61.79B,,2013-03,1.74B,1.936B,3.676B,468.00M,994.00M,994.00M,,994.00M,,325.00M,5.562B,4.197B,11.48B,11.48B,8.163B,8.163B,,,398.00M,24.24B,29.80B,,20.78B,9.897B,30.00M,1.227B,,31.99B,,2013-03,AOR,Restated
2012-12,160.00M,,160.00M,3.086B,,3.086B,908.00M,777.00M,,,,4.962B,,,,,,94.15B,-40.87B,53.28B,1.289B,,1.289B,,1.206B,,55.78B,60.74B,,2012-12,1.442B,2.163B,3.605B,478.00M,990.00M,990.00M,,990.00M,,265.00M,5.536B,4.10B,11.36B,11.36B,8.024B,8.024B,0.00,,391.00M,23.87B,29.41B,,20.16B,9.859B,30.00M,1.227B,,31.33B,,2012-12,AOR,Restated
2012-09,318.00M,,318.00M,2.976B,,2.976B,774.00M,872.00M,,,,5.044B,,,,,,90.63B,-39.46B,51.16B,1.114B,,1.114B,,1.488B,,53.77B,58.81B,,2012-09,1.582B,2.001B,3.583B,434.00M,964.00M,964.00M,,964.00M,,242.00M,5.39B,3.794B,10.67B,10.67B,7.602B,7.602B,,,640.00M,22.71B,28.10B,,19.58B,9.783B,30.00M,1.227B,,30.71B,,2012-09,AOR,Restated
2012-06,361.00M,0.00,361.00M,,,2.625B,745.00M,676.00M,,,,4.639B,,,5.623B,870.00M,,87.58B,-37.44B,50.14B,1.114B,,1.114B,,1.329B,,52.58B,57.22B,,2012-06,1.713B,2.057B,3.77B,447.00M,568.00M,568.00M,,568.00M,,206.00M,5.121B,3.739B,9.67B,9.67B,7.383B,7.383B,,,631.00M,21.42B,26.54B,,19.48B,9.736B,30.00M,1.227B,,30.67B,,2012-06,AOR,Restated
2012-03,245.00M,0.00,245.00M,,,3.163B,607.00M,655.00M,,,,4.954B,,,5.438B,733.00M,,81.34B,-35.51B,45.83B,1.114B,,1.114B,,1.34B,,48.28B,53.24B,,2012-03,1.704B,1.627B,3.331B,448.00M,429.00M,429.00M,,429.00M,,392.00M,4.698B,3.482B,7.444B,7.444B,7.217B,7.217B,,,681.00M,18.82B,23.52B,,19.21B,9.107B,31.00M,1.227B,,29.72B,,2012-03,AOR,Restated
2011-12,295.00M,,295.00M,3.079B,,3.079B,655.00M,470.00M,,,,4.803B,,,,,,79.22B,-33.77B,45.45B,1.114B,,1.114B,,686.00M,,47.25B,52.05B,,2011-12,1.865B,1.786B,3.651B,447.00M,431.00M,431.00M,,431.00M,,254.00M,4.963B,3.44B,6.785B,6.785B,7.197B,7.197B,,,673.00M,18.10B,23.06B,,18.50B,9.066B,32.00M,1.227B,,28.99B,,2011-12,AOR,Restated
2011-09,586.00M,,586.00M,,,2.56B,566.00M,864.00M,,,,4.576B,,,4.684B,675.00M,,73.76B,-32.62B,41.14B,1.032B,,1.032B,,738.00M,,42.91B,47.48B,,2011-09,1.119B,1.487B,2.606B,327.00M,417.00M,417.00M,,417.00M,,531.00M,4.024B,2.603B,6.785B,6.785B,5.535B,5.535B,,,632.00M,15.56B,19.58B,,17.39B,9.017B,32.00M,1.227B,,27.90B,,2011-09,AOR,Restated
2011-06,1.107B,,1.107B,,,2.495B,633.00M,665.00M,,,,4.90B,,,4.481B,637.00M,,71.40B,-31.56B,39.84B,1.032B,,1.032B,,759.00M,,41.63B,46.53B,,2011-06,1.295B,1.543B,2.838B,360.00M,448.00M,448.00M,,448.00M,,703.00M,4.484B,2.535B,7.404B,7.404B,4.698B,4.698B,,,741.00M,15.38B,19.86B,,16.46B,8.969B,33.00M,1.227B,,26.67B,,2011-06,AOR,Restated
2011-03,356.00M,,356.00M,,,2.49B,593.00M,562.00M,,,,4.001B,,,4.337B,65.24B,,69.58B,-30.53B,39.05B,1.032B,,1.032B,,787.00M,,40.86B,44.87B,,2011-03,906.00M,1.59B,2.496B,373.00M,,30.00M,,30.00M,491.00M,436.00M,3.957B,2.482B,8.13B,8.13B,4.265B,4.265B,,,834.00M,15.71B,19.67B,,15.28B,8.928B,33.00M,1.227B,,25.20B,,2011-03,AOR,Restated
2010-12,134.00M,0.00,134.00M,,,2.134B,564.00M,481.00M,,,,3.48B,,,4.212B,582.00M,,67.75B,-29.60B,38.15B,1.032B,,1.032B,,762.00M,,39.94B,43.42B,,2010-12,779.00M,1.816B,2.595B,407.00M,46.00M,46.00M,,46.00M,,476.00M,3.524B,2.465B,8.095B,8.095B,4.249B,4.249B,,,715.00M,15.52B,19.05B,,14.22B,8.864B,36.00M,1.227B,,24.38B,,2010-12,AOR,Restated
2010-09,1.211B,0.00,1.211B,,,1.757B,528.72M,535.30M,,,,4.250B,,,3.592B,543.85M,,57.03B,-28.68B,28.35B,189.25M,,189.25M,,642.52M,3.50B,32.68B,36.93B,,2010-09,598.04M,1.130B,1.728B,153.30M,135.37M,135.37M,,135.37M,,384.84M,2.527B,1.949B,6.381B,6.381B,3.582B,3.582B,,,545.26M,12.46B,14.98B,,13.61B,6.870B,41.46M,1.227B,,21.95B,,2010-09,AOR,Restated
2010-06,1.805B,,1.805B,,,1.648B,508.70M,544.94M,,,,4.507B,,,3.446B,49.57B,,53.02B,-27.89B,25.12B,189.25M,,189.25M,,612.76M,,25.93B,30.43B,,2010-06,485.60M,987.98M,1.474B,147.37M,,116.20M,,116.20M,,368.42M,2.203B,1.875B,4.896B,4.896B,3.247B,3.247B,,,535.88M,10.55B,12.76B,,12.90B,4.749B,212.28M,,,17.68B,,2010-06,AOR,Restated
2010-03,2.126B,,2.126B,,,1.818B,497.75M,596.73M,,,,5.038B,,,3.304B,47.27B,,50.57B,-27.16B,23.40B,189.25M,,189.25M,,595.80M,,24.19B,29.23B,,2010-03,536.61M,1.108B,1.645B,,,113.63M,,113.63M,,482.19M,2.241B,,4.951B,4.951B,3.016B,5.278B,,,,10.23B,12.47B,,12.09B,4.708B,215.57M,,,16.76B,,2010-03,AOR,Restated
2009-12,2.048B,,2.048B,,,1.546B,533.00M,459.00M,,,,4.586B,,,3.189B,493.00M,,49.43B,-26.53B,22.90B,189.00M,,189.00M,,510.00M,,23.60B,28.19B,,2009-12,397.00M,1.013B,1.41B,147.00M,117.00M,117.00M,,117.00M,,567.00M,2.393B,1.637B,4.95B,4.95B,2.765B,2.765B,,,662.00M,10.01B,12.41B,,11.44B,4.634B,217.00M,,,15.78B,,2009-12,AOR,Restated
2009-09,1.357B,0.00,1.357B,,,1.591B,539.44M,502.82M,,,29.17M,4.020B,,,3.088B,45.37B,,48.46B,-25.91B,22.55B,189.25M,,189.25M,,471.01M,,23.21B,27.23B,,2009-09,442.21M,974.16M,1.416B,,,39.67M,,39.67M,,530.90M,1.987B,,5.010B,5.010B,2.644B,4.873B,,,,9.883B,11.87B,,10.90B,4.662B,219.47M,,,15.36B,,2009-09,AOR,Restated
2009-06,771.56M,0.00,771.56M,,,1.537B,571.61M,537.35M,,,67.92M,3.485B,,,3.049B,44.53B,,47.58B,-25.29B,22.29B,189.25M,,189.25M,,437.28M,,22.92B,26.40B,,2009-06,467.44M,964.94M,1.432B,,,12.66M,,12.66M,,363.32M,1.808B,,4.955B,4.955B,2.503B,4.680B,,,,9.635B,11.44B,,10.51B,4.626B,223.26M,,,14.96B,,2009-06,AOR,Restated
2009-03,589.69M,789.14M,1.379B,1.291B,,1.291B,522.43M,431.72M,,,,3.803B,,,2.997B,460.08M,,46.45B,-24.72B,21.73B,189.25M,,189.25M,,568.69M,,22.49B,26.29B,,2009-03,405.30M,1.195B,1.600B,306.45M,,17.88M,,17.88M,,47.87M,2.036B,1.559B,4.894B,4.894B,2.477B,2.477B,,,585.26M,9.515B,11.55B,,10.12B,4.496B,225.93M,98.39M,,14.74B,,2009-03,AOR,Restated
2008-12,1.181B,792.00M,1.973B,,,1.357B,498.57M,621.98M,,,,4.451B,,,2.884B,42.39B,,45.28B,-21.32B,23.96B,189.25M,,189.25M,,573.86M,13.88M,24.74B,29.19B,,2008-12,548.94M,1.133B,1.682B,339.16M,,112.60M,,112.60M,,274.44M,2.520B,1.556B,4.809B,4.809B,3.167B,3.167B,,,626.17M,10.16B,12.68B,,11.93B,4.473B,228.30M,98.39M,,16.51B,,2008-12,,Restated
2008-09,1.645B,,1.645B,1.680B,,1.680B,479.72M,271.56M,,,96.37M,4.172B,40.37B,2.627B,,441.34M,,43.44B,-15.32B,28.12B,189.25M,,189.25M,,,512.07M,28.82B,32.99B,,2008-09,702.14M,1.237B,1.940B,,,140.51M,,140.51M,,836.15M,2.916B,,3.917B,3.917B,,,,,7.396B,11.31B,14.23B,,14.93B,4.446B,228.98M,98.39M,,18.76B,,2008-09,,Restated
2008-06,1.008B,,1.008B,2.266B,,2.266B,468.35M,207.65M,,,205.55M,4.156B,38.77B,2.452B,,432.94M,,41.66B,-14.72B,26.93B,189.25M,,189.25M,,,597.31M,27.72B,31.88B,,2008-06,894.41M,1.436B,2.330B,,,133.79M,,133.79M,,1.660B,4.124B,,3.912B,3.912B,,,,,7.326B,11.24B,15.36B,,13.79B,4.420B,229.67M,98.39M,,16.51B,,2008-06,,Restated
2008-03,383.04M,,383.04M,1.972B,,1.972B,490.42M,94.00M,,,113.32M,3.053B,37.25B,2.287B,,421.68M,,39.96B,-14.10B,25.87B,189.25M,,189.25M,,,708.33M,26.76B,29.82B,,2008-03,683.58M,1.185B,1.868B,,,227.59M,,227.59M,,904.72M,3.000B,,3.912B,3.912B,,,,,6.824B,10.74B,13.74B,,12.39B,4.369B,236.07M,98.39M,,16.08B,,2008-03,,Restated
2007-12,125.82M,,125.82M,1.937B,,1.937B,461.21M,94.51M,,,133.73M,2.752B,36.09B,2.206B,,416.15M,,38.71B,-13.48B,25.23B,189.25M,,189.25M,,,461.56M,25.88B,28.63B,,2007-12,617.94M,1.037B,1.654B,,,215.07M,,215.07M,,795.47M,2.665B,,4.012B,4.012B,,,,,6.580B,10.59B,13.26B,,11.46B,4.367B,238.26M,98.39M,-108.75M,15.38B,,2007-12,,
2007-09,111.42M,,111.42M,1.701B,,1.701B,418.75M,170.11M,,,152.48M,2.554B,34.89B,,,2.421B,,37.31B,-12.85B,24.46B,189.25M,,189.25M,,,452.49M,25.10B,27.65B,,2007-09,655.48M,887.14M,1.543B,,,849.29M,,849.29M,,534.88M,2.927B,,4.011B,4.011B,,,,,6.040B,10.05B,12.98B,,10.44B,4.342B,240.42M,98.39M,,14.67B,,2007-09,,
2007-06,188.64M,,188.64M,1.687B,,1.687B,406.02M,141.52M,,,117.49M,2.541B,33.73B,1.928B,,381.94M,,36.04B,-12.25B,23.79B,189.25M,,189.25M,,,412.49M,24.39B,26.93B,,2007-06,607.66M,1.012B,1.620B,,,975.76M,,975.76M,,540.79M,3.137B,,4.011B,4.011B,,,,,5.679B,9.690B,12.83B,,9.875B,4.321B,243.07M,98.39M,,14.11B,,2007-06,,
2007-03,116.47M,,116.47M,1.616B,,1.616B,373.71M,160.19M,,,105.33M,2.372B,32.58B,1.822B,,365.22M,,34.77B,-11.66B,23.11B,189.25M,,189.25M,,,386.28M,23.68B,26.05B,,2007-03,636.02M,878.92M,1.515B,,,1.501B,,1.501B,,575.97M,3.592B,,3.512B,3.512B,3.408B,3.408B,,,2.094B,9.014B,12.61B,,9.292B,4.292B,253.81M,98.39M,,13.45B,,2007-03,,
