,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,18.09B,18.09B,8.156B,9.935B,6.924B,,,,264.00M,,-264.00M,6.924B,3.011B,,264.00M,-264.00M,86.00M,-264.00M,2.833B,526.00M,2.307B,,,-16.00M,,3.706B,609.00M,3.097B,,2020-09,,1.66,1.66,,2020-09,,1.65,1.65,1.384B,1.39B,1.022,,2020-09,AOR,
2020-06,15.94B,15.94B,7.088B,8.857B,6.538B,,,,235.00M,,-235.00M,6.538B,2.319B,,235.00M,-235.00M,84.00M,-235.00M,2.168B,510.00M,1.658B,,,-12.00M,,2.992B,589.00M,2.403B,,2020-06,,1.19,1.19,,2020-06,,1.18,1.18,1.387B,1.393B,1.022,,2020-06,AOR,
2020-03,13.88B,13.88B,6.127B,7.754B,5.83B,,,,290.00M,,-290.00M,5.83B,1.924B,,290.00M,-290.00M,77.00M,-290.00M,1.711B,360.00M,1.351B,,,-13.00M,,2.534B,533.00M,2.001B,,2020-03,,0.96,0.96,,2020-03,,0.96,0.96,1.39B,1.396B,0.955,,2020-03,AOR,
2019-12,20.64B,20.64B,9.346B,11.29B,8.595B,,,,484.00M,,-284.00M,8.595B,2.699B,,484.00M,-284.00M,-207.00M,-284.00M,2.208B,430.00M,1.778B,,,-12.00M,,3.49B,798.00M,2.692B,,2019-12,,1.270,1.270,,2019-12,,1.26,1.26,1.393B,1.401B,0.955,,2019-12,AOR,
2019-09,17.19B,17.19B,7.694B,9.494B,6.639B,,,,224.00M,,-224.00M,6.639B,2.855B,,224.00M,-224.00M,38.00M,-224.00M,2.669B,559.00M,2.11B,,,-10.00M,,3.471B,578.00M,2.893B,,2019-09,,1.50,1.50,,2019-09,,1.49,1.49,1.397B,1.405B,0.955,,2019-09,AOR,Restated
2019-06,16.45B,16.45B,7.404B,9.045B,6.316B,,,,223.00M,,-223.00M,6.316B,2.729B,,223.00M,-223.00M,61.00M,-223.00M,2.567B,524.00M,2.043B,,,-8.00M,,3.348B,558.00M,2.79B,,2019-06,,1.45,1.45,,2019-06,,1.44,1.44,1.401B,1.409B,0.955,,2019-06,AOR,Restated
2019-03,12.88B,12.88B,5.688B,7.196B,5.188B,,,,204.00M,,-204.00M,5.188B,2.008B,,204.00M,-204.00M,64.00M,-204.00M,1.868B,446.00M,1.422B,,,-9.00M,,2.57B,498.00M,2.072B,,2019-03,,1.01,1.01,,2019-03,,1.00,1.00,1.406B,1.413B,0.9275,,2019-03,AOR,Restated
2018-12,19.52B,19.52B,8.936B,10.59B,8.157B,,,,621.00M,58.00M,-563.00M,8.157B,2.431B,58.00M,621.00M,-563.00M,67.00M,-563.00M,1.935B,-4.932B,6.867B,,,-13.00M,,3.319B,763.00M,2.556B,,2018-12,,4.864,4.864,,2018-12,,4.83,4.83,1.409B,1.419B,0.9275,,2018-12,AOR,Restated
2018-09,16.48B,16.48B,7.527B,8.958B,6.114B,,,,302.00M,81.00M,-221.00M,6.114B,2.844B,81.00M,302.00M,-221.00M,74.00M,-221.00M,2.697B,188.00M,2.509B,,,-11.00M,,3.565B,566.00M,2.999B,,2018-09,,1.77,1.77,,2018-09,,1.75,1.75,1.414B,1.424B,0.9275,,2018-09,AOR,Restated
2018-06,16.09B,16.09B,7.263B,8.827B,5.799B,,,,308.00M,98.00M,-210.00M,5.799B,3.028B,98.00M,308.00M,-210.00M,82.00M,-210.00M,2.90B,1.07B,1.83B,,,-10.00M,,3.782B,574.00M,3.208B,,2018-06,,1.28,1.28,,2018-06,,1.28,1.28,1.417B,1.426B,0.9275,,2018-06,AOR,Restated
2018-03,12.56B,12.56B,5.655B,6.907B,5.10B,,,,294.00M,69.00M,-225.00M,5.10B,1.807B,69.00M,294.00M,-225.00M,75.00M,-225.00M,1.657B,304.00M,1.353B,,,-10.00M,,2.447B,496.00M,1.951B,,2018-03,,0.94,0.94,,2018-03,,0.94,0.94,1.42B,1.43B,0.805,,2018-03,AOR,Restated
2017-12,19.53B,19.53B,9.079B,10.45B,7.877B,,,,365.00M,103.00M,-262.00M,7.877B,2.57B,103.00M,365.00M,-262.00M,23.00M,-262.00M,2.331B,3.026B,-695.00M,,,-15.00M,,3.461B,765.00M,2.696B,,2017-12,,-0.50,-0.50,,2017-12,,-0.50,-0.50,1.419B,1.432B,0.805,,2017-12,AOR,Restated
2017-09,16.24B,16.24B,7.368B,8.872B,5.948B,,,,269.00M,52.00M,-217.00M,5.948B,2.924B,52.00M,269.00M,-217.00M,69.00M,-217.00M,2.776B,620.00M,2.156B,,,-12.00M,,3.618B,573.00M,3.045B,,2017-09,,1.50,1.50,,2017-09,,1.49,1.49,1.425B,1.438B,0.805,,2017-09,AOR,Restated
2017-06,15.71B,15.71B,7.059B,8.651B,5.732B,,,,265.00M,49.00M,-216.00M,5.732B,2.919B,49.00M,265.00M,-216.00M,71.00M,-216.00M,2.774B,656.00M,2.118B,,,-13.00M,,3.593B,554.00M,3.039B,,2017-06,,1.47,1.47,,2017-06,,1.46,1.46,1.428B,1.441B,0.805,,2017-06,AOR,Restated
2017-03,12.05B,12.05B,5.29B,6.759B,4.896B,,,,252.00M,40.00M,-212.00M,4.896B,1.863B,40.00M,252.00M,-212.00M,70.00M,-212.00M,1.721B,392.00M,1.329B,,,-11.00M,,2.45B,477.00M,1.973B,,2017-03,,0.92,0.92,,2017-03,,0.91,0.91,1.428B,1.44B,0.7525,,2017-03,AOR,Restated
2016-12,19.52B,19.52B,8.957B,10.56B,8.207B,,,,594.00M,44.00M,-550.00M,8.158B,2.40B,44.00M,594.00M,-550.00M,,-550.00M,1.831B,414.00M,1.417B,,,-16.00M,,3.182B,757.00M,2.425B,,2016-12,,0.9811,0.9811,,2016-12,,0.97,0.97,1.427B,1.44B,0.7525,,2016-12,AOR,Restated
2016-09,16.03B,16.03B,7.284B,8.743B,5.904B,18.00M,,,247.00M,30.00M,-217.00M,5.922B,2.821B,30.00M,247.00M,-217.00M,,-217.00M,2.604B,600.00M,2.004B,,,-12.00M,,3.418B,567.00M,2.851B,,2016-09,,1.38,1.38,,2016-09,,1.37,1.37,1.438B,1.452B,0.7525,,2016-09,AOR,Restated
2016-06,15.40B,15.40B,6.83B,8.565B,5.584B,17.00M,,,255.00M,22.00M,-233.00M,5.601B,2.964B,22.00M,255.00M,-233.00M,,-233.00M,2.731B,718.00M,2.013B,,,-8.00M,,3.549B,563.00M,2.986B,,2016-06,,1.39,1.39,,2016-06,,1.38,1.38,1.443B,1.456B,0.7525,,2016-06,AOR,Restated
2016-03,11.86B,11.86B,5.151B,6.711B,5.078B,14.00M,,,246.00M,14.00M,-232.00M,5.092B,1.619B,14.00M,246.00M,-232.00M,,-232.00M,1.387B,442.00M,945.00M,,,-14.00M,,2.114B,481.00M,1.633B,,2016-03,,0.64,0.64,,2016-03,,0.64,0.64,1.446B,1.459B,0.7025,,2016-03,AOR,Restated
2015-12,18.58B,18.58B,8.487B,10.10B,7.911B,,0.00,0.00,317.00M,28.00M,-289.00M,7.858B,2.24B,28.00M,317.00M,-289.00M,0.00,-289.00M,1.951B,218.00M,1.733B,,,-15.00M,0.00,3.04B,772.00M,2.268B,,2015-12,,1.186,1.186,,2015-12,,1.17,1.17,1.451B,1.464B,0.7025,,2015-12,AOR,Restated
2015-09,16.33B,16.33B,7.49B,8.841B,6.048B,18.00M,1.359B,-1.359B,225.00M,2.00M,-223.00M,6.066B,2.775B,2.00M,225.00M,-223.00M,-1.359B,-223.00M,1.193B,650.00M,543.00M,,,-10.00M,1.00M,1.987B,569.00M,1.418B,,2015-09,,0.9158,0.36,,2015-09,,0.9098,0.36,1.467B,1.483B,0.7025,,2015-09,AOR,Restated
2015-06,15.92B,15.92B,7.251B,8.672B,5.753B,19.00M,,,217.00M,14.00M,-203.00M,5.772B,2.90B,14.00M,217.00M,-203.00M,,-203.00M,2.697B,703.00M,1.994B,,,-14.00M,,3.493B,579.00M,2.914B,,2015-06,,1.34,1.34,,2015-06,,1.33,1.33,1.476B,1.491B,0.7025,,2015-06,AOR,Restated
2015-03,12.22B,12.22B,5.503B,6.714B,4.901B,16.00M,,,211.00M,15.00M,-196.00M,4.917B,1.797B,15.00M,211.00M,-196.00M,,-196.00M,1.601B,370.00M,1.231B,,,-10.00M,,2.308B,496.00M,1.812B,,2015-03,,0.82,0.82,,2015-03,,0.81,0.81,1.484B,1.503B,0.655,,2015-03,AOR,Restated
2014-12,19.95B,19.95B,9.718B,10.23B,8.172B,27.00M,0.00,0.00,284.00M,34.00M,-250.00M,8.199B,2.031B,34.00M,284.00M,-250.00M,,-250.00M,1.781B,455.00M,1.326B,,,-15.00M,,2.896B,831.00M,2.065B,,2014-12,,0.8810,0.8810,,2014-12,,0.87,0.87,1.491B,1.512B,0.655,,2014-12,AOR,Restated
2014-09,17.22B,17.22B,7.995B,9.223B,6.354B,22.00M,0.00,0.00,215.00M,23.00M,-192.00M,6.376B,2.847B,23.00M,215.00M,-192.00M,,-192.00M,2.655B,637.00M,2.018B,,,-10.00M,,3.502B,632.00M,2.87B,,2014-09,,1.33,1.33,,2014-09,,1.32,1.32,1.507B,1.525B,0.655,,2014-09,AOR,Restated
2014-06,16.89B,16.89B,7.778B,9.116B,6.198B,22.00M,,,209.00M,18.00M,-191.00M,6.22B,2.896B,18.00M,209.00M,-191.00M,,-191.00M,2.705B,718.00M,1.987B,,,-9.00M,,3.544B,630.00M,2.914B,,2014-06,,1.30,1.30,,2014-06,,1.29,1.29,1.515B,1.532B,0.655,,2014-06,AOR,Restated
2014-03,12.62B,12.62B,5.747B,6.876B,5.048B,21.00M,,,201.00M,10.00M,-191.00M,5.069B,1.807B,10.00M,201.00M,-191.00M,,-191.00M,1.616B,389.00M,1.227B,,,-11.00M,,2.349B,532.00M,1.817B,,2014-03,,0.80,0.80,,2014-03,,0.79,0.79,1.524B,1.54B,0.5675,,2014-03,AOR,Restated
2013-12,20.12B,20.12B,9.565B,10.55B,8.12B,35.00M,,,269.00M,35.00M,-234.00M,8.155B,2.398B,35.00M,269.00M,-234.00M,,-234.00M,2.164B,410.00M,1.754B,,,-12.00M,0.00,3.281B,848.00M,2.433B,,2013-12,,1.139,1.139,,2013-12,,1.12,1.12,1.529B,1.548B,0.5675,,2013-12,AOR,Restated
2013-09,16.91B,16.91B,7.946B,8.963B,6.158B,25.00M,,,220.00M,17.00M,-203.00M,6.183B,2.78B,17.00M,220.00M,-203.00M,,-203.00M,2.577B,654.00M,1.923B,,,-10.00M,,3.427B,630.00M,2.797B,,2013-09,,1.24,1.24,,2013-09,,1.23,1.23,1.542B,1.561B,0.5675,,2013-09,AOR,Restated
2013-06,16.81B,16.81B,7.898B,8.909B,6.013B,27.00M,,,208.00M,18.00M,-190.00M,6.04B,2.869B,18.00M,208.00M,-190.00M,,-190.00M,2.679B,654.00M,2.025B,,,-15.00M,1.00M,3.521B,634.00M,2.887B,,2013-06,,1.30,1.30,,2013-06,,1.28,1.28,1.548B,1.567B,0.5675,,2013-06,AOR,Restated
2013-03,12.58B,12.58B,5.834B,6.747B,5.066B,23.00M,,,214.00M,27.00M,-187.00M,5.089B,1.658B,27.00M,214.00M,-187.00M,,-187.00M,1.471B,386.00M,1.085B,,,-10.00M,,2.236B,551.00M,1.685B,,2013-03,,0.69,0.69,,2013-03,,0.69,0.69,1.544B,1.563B,0.5375,,2013-03,AOR,Restated
2012-12,19.95B,19.95B,9.654B,10.30B,8.05B,37.00M,,,288.00M,44.00M,-244.00M,8.087B,2.213B,44.00M,288.00M,-244.00M,,-244.00M,1.969B,302.00M,1.667B,,,-6.00M,0.00,3.109B,852.00M,2.257B,,2012-12,,1.076,1.076,,2012-12,,1.06,1.06,1.542B,1.56B,0.5375,,2012-12,AOR,Restated
2012-09,16.65B,16.65B,7.833B,8.819B,5.992B,27.00M,,,204.00M,23.00M,-181.00M,6.019B,2.80B,23.00M,204.00M,-181.00M,,-181.00M,2.619B,706.00M,1.913B,,,-11.00M,,3.459B,636.00M,2.823B,,2012-09,,1.22,1.22,,2012-09,,1.21,1.21,1.556B,1.575B,0.5375,,2012-09,AOR,Restated
2012-06,16.46B,16.46B,7.915B,8.543B,6.136B,30.00M,,,209.00M,1.00M,-208.00M,6.166B,2.377B,1.00M,209.00M,-208.00M,,-208.00M,2.169B,668.00M,1.501B,,,-13.00M,1.00M,3.024B,646.00M,2.378B,,2012-06,,0.95,0.95,,2012-06,,0.94,0.94,1.563B,1.581B,0.5375,,2012-06,AOR,Restated
2012-03,12.43B,12.43B,5.889B,6.539B,4.792B,25.00M,,,198.00M,23.00M,-175.00M,4.817B,1.722B,23.00M,198.00M,-175.00M,,-175.00M,1.547B,414.00M,1.133B,,,-6.00M,,2.30B,555.00M,1.745B,,2012-03,,0.72,0.72,,2012-03,,0.71,0.71,1.568B,1.584B,0.515,,2012-03,AOR,Restated
2011-12,20.16B,20.16B,9.731B,10.43B,8.15B,30.00M,,,272.00M,24.00M,-248.00M,8.18B,2.247B,24.00M,272.00M,-248.00M,,-248.00M,1.999B,597.00M,1.402B,,,13.00M,0.00,3.131B,860.00M,2.271B,,2011-12,,0.8978,0.8978,,2011-12,,0.89,0.89,1.561B,1.579B,0.515,,2011-12,AOR,Restated
2011-09,17.58B,17.58B,8.452B,9.13B,6.186B,38.00M,,,209.00M,,-209.00M,6.224B,2.906B,,209.00M,-209.00M,,-209.00M,2.697B,686.00M,2.011B,,,-11.00M,,3.596B,690.00M,2.906B,,2011-09,,1.27,1.27,,2011-09,,1.25,1.25,1.578B,1.599B,0.515,,2011-09,AOR,Restated
2011-06,16.83B,16.83B,7.963B,8.864B,6.07B,40.00M,,,199.00M,20.00M,-179.00M,6.11B,2.754B,20.00M,199.00M,-179.00M,,-179.00M,2.575B,670.00M,1.905B,,,-20.00M,1.00M,3.438B,664.00M,2.774B,,2011-06,,1.19,1.19,,2011-06,,1.17,1.17,1.583B,1.605B,0.515,,2011-06,AOR,Restated
2011-03,11.94B,11.94B,5.447B,6.49B,4.739B,25.00M,,,180.00M,17.00M,-163.00M,4.764B,1.726B,17.00M,180.00M,-163.00M,,-163.00M,1.563B,419.00M,1.144B,,,-1.00M,,2.266B,523.00M,1.743B,,2011-03,,0.72,0.72,,2011-03,,0.71,0.71,1.583B,1.605B,0.48,,2011-03,AOR,Restated
2010-12,18.16B,18.16B,8.359B,9.796B,7.526B,39.00M,,,408.00M,42.00M,-366.00M,7.565B,2.231B,42.00M,408.00M,-366.00M,7.00M,-366.00M,1.872B,511.00M,1.361B,,,4.00M,0.00,3.027B,747.00M,2.28B,,2010-12,,0.86,0.86,,2010-12,,0.85,0.85,1.581B,1.602B,0.48,,2010-12,AOR,Restated
2010-09,15.51B,15.51B,7.008B,8.506B,5.676B,30.00M,,,169.00M,18.00M,-151.00M,5.706B,2.80B,18.00M,169.00M,-151.00M,10.00M,-151.00M,2.659B,729.00M,1.93B,,,-8.00M,,3.439B,611.00M,2.828B,,2010-09,,1.21,1.21,,2010-09,,1.19,1.19,1.588B,1.612B,0.48,,2010-09,AOR,Restated
2010-06,14.80B,14.80B,6.745B,8.056B,5.563B,32.00M,,,172.00M,2.00M,-170.00M,5.595B,2.461B,2.00M,172.00M,-170.00M,9.00M,-170.00M,2.30B,687.00M,1.613B,,,-10.00M,1.00M,3.065B,593.00M,2.472B,,2010-06,,1.00,1.00,,2010-06,,0.98,0.98,1.608B,1.634B,0.48,,2010-06,AOR,Restated
2010-03,9.368B,9.368B,4.463B,4.905B,4.049B,16.00M,,,154.00M,6.00M,-148.00M,4.065B,840.00M,6.00M,154.00M,-148.00M,709.00M,-148.00M,1.401B,-33.00M,1.434B,,,-4.00M,,1.931B,376.00M,1.555B,,2010-03,,0.90,0.90,,2010-03,,0.89,0.89,1.582B,1.606B,0.45,,2010-03,AOR,Restated
2009-12,13.30B,13.30B,6.293B,7.004B,4.949B,21.00M,,,112.00M,23.00M,-89.00M,4.97B,2.034B,23.00M,112.00M,-89.00M,75.00M,-89.00M,2.02B,583.00M,1.437B,,,-3.00M,0.00,2.684B,552.00M,2.132B,,2009-12,,0.91,0.91,,2009-12,,0.90,0.90,1.561B,1.589B,0.45,,2009-12,AOR,Restated
2009-09,11.08B,11.08B,5.181B,5.899B,3.649B,18.00M,,,86.00M,16.00M,-70.00M,3.667B,2.232B,16.00M,86.00M,-70.00M,146.00M,-70.00M,2.308B,575.00M,1.733B,,,-16.00M,,2.792B,398.00M,2.394B,,2009-09,,1.10,1.10,,2009-09,,1.09,1.09,1.558B,1.577B,0.45,,2009-09,AOR,Restated
2009-06,10.59B,10.59B,4.881B,5.711B,3.507B,14.00M,,,101.00M,28.00M,-73.00M,3.521B,2.19B,28.00M,101.00M,-73.00M,119.00M,-73.00M,2.236B,568.00M,1.668B,,,-8.00M,1.00M,2.708B,371.00M,2.337B,,2009-06,,1.06,1.06,,2009-06,,1.06,1.06,1.557B,1.572B,0.45,,2009-06,AOR,Restated
2009-03,8.263B,8.263B,3.744B,4.519B,2.921B,10.00M,,,98.00M,0.00,-98.00M,2.931B,1.588B,0.00,98.00M,-98.00M,25.00M,-98.00M,1.515B,374.00M,1.141B,,,-6.00M,,1.927B,314.00M,1.613B,,2009-03,,0.73,0.73,,2009-03,,0.72,0.72,1.555B,1.57B,0.425,,2009-03,AOR,Restated
2008-12,12.73B,12.73B,6.171B,6.558B,5.317B,21.00M,,,124.00M,-12.00M,-136.00M,5.338B,1.22B,-12.00M,124.00M,-136.00M,-65.00M,-136.00M,1.019B,293.00M,726.00M,,,-7.00M,1.00M,1.631B,488.00M,1.143B,,2008-12,,0.47,0.47,,2008-12,,0.47,0.47,1.546B,1.572B,0.425,,2008-12,AOR,Restated
2008-09,11.24B,11.24B,5.268B,5.976B,3.972B,13.00M,,,73.00M,14.00M,-59.00M,3.985B,1.991B,14.00M,73.00M,-59.00M,201.00M,-59.00M,2.133B,550.00M,1.583B,,,-7.00M,,2.583B,377.00M,2.206B,,2008-09,,1.01,1.01,,2008-09,,0.99,0.99,1.564B,1.593B,0.425,,2008-09,,Restated
2008-06,10.94B,10.94B,5.078B,5.867B,3.658B,18.00M,,,74.00M,38.00M,-36.00M,3.676B,2.191B,38.00M,74.00M,-36.00M,168.00M,-36.00M,2.323B,618.00M,1.705B,,,-6.00M,1.00M,2.772B,375.00M,2.397B,,2008-06,,1.07,1.07,,2008-06,,1.05,1.05,1.582B,1.612B,0.425,,2008-06,,Restated
2008-03,8.333B,8.333B,3.834B,4.499B,2.93B,12.00M,,,58.00M,1.00M,-57.00M,2.942B,1.557B,1.00M,58.00M,-57.00M,70.00M,-57.00M,1.57B,418.00M,1.152B,,,-4.00M,,1.931B,303.00M,1.628B,,2008-03,,0.72,0.72,,2008-03,,0.70,0.70,1.599B,1.632B,0.375,,2008-03,,Restated
2007-12,12.35B,12.35B,5.784B,6.562B,4.811B,21.00M,,,,,,4.832B,1.73B,,,,95.00M,,1.797B,535.00M,1.262B,,,,-5.00M,2.893B,478.00M,2.415B,,2007-12,,0.78,0.78,,2007-12,,0.77,0.77,1.607B,1.644B,0.375,,2007-12,,Restated
2007-09,10.17B,10.17B,4.627B,5.544B,3.467B,15.00M,,,,,,3.482B,2.062B,,,,218.00M,,2.244B,501.00M,1.743B,,,,2.00M,2.402B,340.00M,2.062B,,2007-09,,1.08,1.08,,2007-09,,1.06,1.06,1.612B,1.642B,0.375,,2007-09,,
2007-06,9.607B,9.607B,4.342B,5.265B,3.295B,11.00M,,,,,,3.306B,1.959B,,,,173.00M,,2.117B,560.00M,1.557B,,,,1.00M,2.291B,332.00M,1.959B,,2007-06,,0.96,0.96,,2007-06,,0.94,0.94,1.628B,1.665B,0.375,,2007-06,,
2007-03,7.35B,7.35B,3.285B,4.065B,2.635B,11.00M,,,,,,2.646B,1.419B,,,,74.00M,,1.473B,377.00M,1.096B,,,,3.00M,1.695B,276.00M,1.419B,,2007-03,,0.67,0.67,,2007-03,,0.65,0.65,1.637B,1.673B,0.30,,2007-03,,
2006-12,10.57B,10.57B,4.83B,5.74B,4.097B,54.00M,,,,,,4.151B,1.589B,,,,113.00M,,1.698B,-128.00M,1.826B,,,,-6.00M,2.781B,466.00M,2.315B,,2006-12,,1.12,1.12,,2006-12,,1.08,1.08,1.629B,1.693B,0.30,,2006-12,,Restated
2006-09,9.134B,9.134B,4.108B,5.026B,3.129B,41.00M,,,,,,3.17B,1.856B,,,,204.00M,,2.048B,554.00M,1.494B,,,,3.00M,2.186B,330.00M,1.856B,,2006-09,,0.90,0.90,,2006-09,,0.89,0.89,1.657B,1.675B,0.30,,2006-09,,
2006-06,8.714B,8.714B,3.862B,4.852B,3.016B,36.00M,,,,,,3.052B,1.80B,,,,161.00M,,1.928B,553.00M,1.375B,,,,3.00M,2.124B,324.00M,1.80B,,2006-06,,0.83,0.83,,2006-06,,0.81,0.81,1.653B,1.694B,0.30,,2006-06,,
2006-03,6.719B,6.719B,2.962B,3.757B,2.469B,31.00M,,,,,,2.50B,1.257B,,,,75.00M,,1.315B,368.00M,947.00M,,,,,1.543B,286.00M,1.257B,,2006-03,,0.57,0.57,,2006-03,,0.56,0.56,1.656B,1.695B,0.26,,2006-03,,
2005-12,10.10B,10.10B,4.477B,5.619B,4.133B,47.00M,,,,,,4.18B,1.439B,,,,127.00M,,1.542B,434.00M,1.108B,,,,,1.851B,412.00M,1.439B,,2005-12,,0.66,0.66,,2005-12,,0.65,0.65,1.676B,1.701B,0.26,,2005-12,,
2005-09,8.184B,8.184B,3.515B,4.669B,2.952B,37.00M,,,,,,2.989B,1.68B,,,,209.00M,,1.868B,1.004B,864.00M,,,,,1.988B,308.00M,1.68B,,2005-09,,0.52,0.52,,2005-09,,0.51,0.51,1.662B,1.694B,0.26,,2005-09,,
2005-06,7.697B,7.697B,3.314B,4.383B,2.79B,37.00M,,,,,,2.827B,1.556B,,,,156.00M,,1.687B,493.00M,1.194B,,,,,1.862B,306.00M,1.556B,,2005-06,,0.71,0.71,,2005-06,,0.70,0.70,1.682B,1.706B,0.26,,2005-06,,
2005-03,6.585B,6.585B,2.87B,3.715B,2.439B,29.00M,,,,,,2.468B,1.247B,,,,65.00M,,1.285B,373.00M,912.00M,,,,,1.529B,282.00M,1.247B,,2005-03,,0.54,0.54,,2005-03,,0.53,0.53,1.689B,1.721B,0.23,,2005-03,,
2004-12,8.803B,8.803B,3.35B,5.453B,4.057B,47.00M,,,,,,4.104B,1.349B,,,,-62.00M,,1.27B,323.00M,947.00M,,,,1.00M,1.75B,401.00M,1.349B,,2004-12,,0.56,0.58,,2004-12,,0.55,0.58,1.665B,1.698B,0.23,,2004-12,,
2004-09,7.257B,7.257B,3.30B,3.957B,2.41B,35.00M,,,,,,2.445B,1.512B,,,,147.00M,,1.633B,269.00M,1.364B,,,,1.00M,1.807B,295.00M,1.512B,,2004-09,,0.80,0.80,,2004-09,,0.79,0.79,1.704B,1.725B,0.23,,2004-09,,
2004-06,7.07B,7.07B,3.213B,3.857B,2.403B,33.00M,,,,,,2.436B,1.421B,,,,106.00M,,1.502B,443.00M,1.059B,,,,,1.714B,293.00M,1.421B,,2004-06,,0.62,0.62,,2004-06,,0.61,0.61,1.708B,1.736B,0.23,,2004-06,,
2004-03,6.131B,6.131B,2.811B,3.32B,2.161B,32.00M,,,,,,2.193B,1.127B,,,,39.00M,,1.141B,337.00M,804.00M,,,,,1.402B,275.00M,1.127B,,2004-03,,0.47,0.47,,2004-03,,0.46,0.46,1.711B,1.748B,0.16,,2004-03,,
2003-12,8.073B,8.073B,3.737B,4.336B,3.304B,46.00M,,-175.00M,,,,3.35B,986.00M,,,,-98.00M,,858.00M,153.00M,705.00M,,,,0.00,1.391B,405.00M,986.00M,,2003-12,,0.4944,0.41,,2003-12,,0.4934,0.41,1.703B,1.724B,0.16,,2003-12,,
2003-09,6.83B,6.83B,3.116B,3.714B,2.218B,34.00M,,-9.00M,,,,2.252B,1.462B,,,,127.00M,,1.559B,482.00M,1.077B,,,,1.00M,1.742B,280.00M,1.462B,,2003-09,,0.6336,0.63,,2003-09,,0.6236,0.62,1.708B,1.735B,0.16,,2003-09,,
2003-06,6.538B,6.538B,2.992B,3.546B,2.209B,35.00M,,-11.00M,,,,2.244B,1.302B,,,,84.00M,,1.364B,420.00M,944.00M,,,,1.00M,1.582B,280.00M,1.302B,,2003-06,,0.5544,0.55,,2003-06,,0.5444,0.54,1.715B,1.746B,0.16,,2003-06,,
