,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.723B,1.723B,775.73M,947.24M,467.78M,,467.78M,84.66M,37.06M,-52.57M,47.43M,,-47.43M,118.81M,708.31M,238.94M,,47.43M,-47.43M,-53.04M,-47.43M,138.47M,32.31M,106.17M,,-0.993M,105.17M,145.48M,222.96M,37.06M,185.90M,,0.77,,,1.063,0.77,,0.76,,,1.052,0.76,,137.40M,137.82M,0.68,,AOR,
2020-09,1.777B,1.777B,787.04M,989.58M,462.77M,,462.77M,62.71M,36.17M,-5.949M,49.40M,0.713M,-48.69M,85.42M,647.07M,342.51M,0.713M,49.40M,-48.69M,5.378M,-48.69M,299.20M,79.22M,219.98M,,0.915M,220.90M,225.27M,422.28M,73.68M,348.60M,,1.61,,,1.642,1.61,,1.61,,,1.642,1.61,,137.26M,137.49M,0.68,,AOR,
2020-06,860.28M,860.28M,350.58M,509.70M,353.56M,,353.56M,58.32M,34.70M,-10.26M,49.58M,1.031M,-48.55M,50.68M,497.26M,12.44M,1.031M,49.58M,-48.55M,-7.619M,-48.55M,-43.73M,-10.83M,-32.90M,,-1.017M,-33.92M,-26.19M,73.47M,67.62M,5.849M,,-0.25,,,-0.1937,-0.25,,-0.25,,,-0.1937,-0.25,,137.24M,137.24M,0.68,,AOR,
2020-03,1.106B,1.106B,375.52M,730.05M,380.77M,,380.77M,53.83M,36.81M,-149.78M,54.72M,4.667M,-50.06M,132.15M,603.56M,126.50M,4.667M,54.72M,-50.06M,-148.32M,-50.06M,-71.88M,-4.072M,-67.81M,,-1.827M,-69.64M,71.61M,43.32M,60.48M,-17.16M,,-0.51,,,0.5199,-0.51,,-0.51,,,0.5199,-0.51,,137.15M,137.15M,0.68,,AOR,
2019-12,1.428B,1.428B,732.64M,695.37M,392.78M,,392.78M,72.91M,11.81M,,34.78M,10.94M,-23.84M,27.48M,504.99M,190.38M,10.94M,34.78M,-23.84M,132.22M,-23.84M,298.76M,31.42M,267.34M,,,267.34M,267.34M,377.87M,44.33M,333.54M,,2.02,,,2.02,2.02,,2.01,,,2.01,2.01,,132.52M,133.13M,0.68,,AOR,
2019-09,1.575B,1.575B,755.13M,820.05M,415.64M,,415.64M,67.35M,11.81M,0.00,22.76M,5.486M,-17.28M,28.03M,522.84M,297.21M,5.486M,22.76M,-17.28M,-20.19M,-17.28M,259.75M,46.80M,212.95M,,0.00,212.95M,212.95M,332.93M,50.42M,282.51M,,1.68,,,1.68,1.68,,1.67,,,1.67,1.67,,126.45M,127.20M,0.68,,AOR,Restated
2019-06,984.54M,984.54M,414.76M,569.78M,340.50M,,340.50M,65.63M,11.82M,0.00,22.02M,5.996M,-16.02M,23.50M,441.45M,128.33M,5.996M,22.02M,-16.02M,-106.20M,-16.02M,6.108M,-7.325M,13.43M,,0.00,13.43M,13.43M,75.32M,47.20M,28.13M,,0.11,,,0.11,0.11,,0.11,,,0.11,0.11,,126.33M,126.85M,0.68,,AOR,Restated
2019-03,732.51M,732.51M,319.88M,412.64M,301.86M,,301.86M,56.26M,11.82M,0.00,22.31M,7.682M,-14.63M,6.575M,376.51M,36.13M,7.682M,22.31M,-14.63M,8.10M,-14.63M,29.60M,2.868M,26.73M,,0.00,26.73M,26.73M,90.75M,38.84M,51.91M,,0.21,,,0.21,0.21,,0.21,,,0.21,0.21,,126.29M,126.82M,0.63,,AOR,Restated
2018-12,1.389B,1.389B,712.29M,676.88M,583.90M,,583.90M,63.12M,8.83M,,22.44M,5.13M,-17.30M,10.49M,666.33M,10.55M,5.13M,22.44M,-17.30M,1.63M,-17.30M,-5.128M,-13.89M,8.766M,,,8.766M,8.766M,60.48M,43.17M,17.31M,,0.07,,,0.07,0.07,,0.07,,,0.07,0.07,,126.58M,127.24M,0.63,,AOR,Restated
2018-09,1.570B,1.570B,760.86M,808.82M,406.75M,,406.75M,65.81M,8.841M,,22.78M,4.671M,-18.11M,14.09M,495.49M,313.34M,4.671M,22.78M,-18.11M,0.566M,-18.11M,295.79M,31.93M,263.86M,,,263.86M,263.86M,370.04M,51.46M,318.57M,,2.08,,,2.08,2.08,,2.06,,,2.06,2.06,,127.16M,127.89M,0.63,,AOR,Restated
