,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,5.258B,5.258B,4.624B,634.00M,,85.00M,85.00M,137.00M,350.00M,-350.00M,138.00M,3.00M,-135.00M,222.00M,412.00M,3.00M,138.00M,-135.00M,-331.00M,-135.00M,-54.00M,19.00M,-73.00M,,,-9.00M,-82.00M,173.50M,671.00M,587.00M,84.00M,-0.06,,,0.1237,-0.06,-0.06,,,0.1237,-0.06,1.391B,1.391B,0.125
2020-06,5.356B,5.356B,4.925B,431.00M,,81.00M,81.00M,142.00M,3.724B,-3.724B,144.00M,7.00M,-137.00M,223.00M,208.00M,7.00M,144.00M,-137.00M,-3.698B,-137.00M,-3.627B,-199.00M,-3.428B,,,-6.00M,-3.434B,66.56M,-2.879B,604.00M,-3.483B,-2.47,,,0.052,-2.47,-2.47,,,0.052,-2.47,1.388B,1.388B,0.125
2020-03,7.455B,7.455B,6.624B,831.00M,,127.00M,127.00M,173.00M,79.00M,-6.672B,136.00M,15.00M,-121.00M,300.00M,531.00M,15.00M,136.00M,-121.00M,-8.499B,-121.00M,-8.089B,-721.00M,-7.368B,,,-8.00M,-7.376B,-1.304B,-7.161B,792.00M,-7.953B,-5.32,,,-0.9426,-5.32,-5.32,,,-0.9426,-5.32,1.387B,1.387B,0.5
2019-12,8.228B,8.228B,7.126B,1.102B,,129.00M,129.00M,190.00M,456.00M,-209.00M,147.00M,10.00M,-137.00M,319.00M,783.00M,10.00M,147.00M,-137.00M,-194.00M,-137.00M,452.00M,109.00M,343.00M,,,-10.00M,333.00M,491.60M,1.447B,848.00M,599.00M,0.2406,,,0.3551,0.2406,0.24,,,0.3545,0.24,1.385B,1.385B,0.5
2019-09,8.541B,8.541B,7.385B,1.156B,,120.00M,120.00M,176.00M,12.69B,-12.69B,160.00M,8.00M,-152.00M,296.00M,860.00M,8.00M,160.00M,-152.00M,-12.68B,-152.00M,-11.97B,-598.00M,-11.37B,,,-10.00M,-11.38B,674.40M,-10.91B,900.00M,-11.81B,-8.22,,,0.4857,-8.22,-8.22,,,0.4857,-8.22,1.385B,1.385B,0.5
2019-06,8.269B,8.269B,7.252B,1.017B,,114.00M,114.00M,179.00M,0.00,0.00,156.00M,11.00M,-145.00M,293.00M,724.00M,11.00M,156.00M,-145.00M,14.00M,-145.00M,593.00M,99.00M,494.00M,,,-2.00M,492.00M,492.00M,1.687B,938.00M,749.00M,0.36,,,0.36,0.36,0.35,,,0.35,0.35,1.384B,1.395B,0.5
2019-03,7.879B,7.879B,6.952B,927.00M,,112.00M,112.00M,173.00M,0.00,0.00,147.00M,11.00M,-136.00M,285.00M,642.00M,11.00M,147.00M,-136.00M,3.00M,-136.00M,509.00M,79.00M,430.00M,,,-9.00M,421.00M,421.00M,1.559B,903.00M,656.00M,0.3,,,0.3,0.3,0.3,,,0.3,0.3,1.385B,1.397B,0.5
2018-12,8.179B,8.179B,7.172B,1.007B,,114.00M,114.00M,178.00M,172.00M,43.00M,141.00M,9.00M,-132.00M,292.00M,715.00M,9.00M,141.00M,-132.00M,65.00M,-132.00M,648.00M,99.00M,549.00M,,,-10.00M,539.00M,502.57M,1.708B,919.00M,789.00M,0.3887,,,0.3624,0.3887,0.3887,,,0.3626,0.3887,1.385B,1.393B,0.5
2018-09,8.504B,8.504B,7.324B,1.18B,,105.00M,105.00M,177.00M,0.00,0.00,147.00M,10.00M,-137.00M,282.00M,898.00M,10.00M,147.00M,-137.00M,26.00M,-137.00M,787.00M,129.00M,658.00M,,,-14.00M,644.00M,644.00M,1.821B,887.00M,934.00M,0.46,,,0.46,0.46,0.46,,,0.46,0.46,1.385B,1.392B,0.5
2018-06,8.303B,8.303B,7.179B,1.124B,,114.00M,114.00M,175.00M,184.00M,-184.00M,144.00M,12.00M,-132.00M,289.00M,835.00M,12.00M,144.00M,-132.00M,-156.00M,-132.00M,547.00M,106.00M,441.00M,,,-11.00M,430.00M,579.04M,1.567B,876.00M,691.00M,0.31,,,0.4177,0.31,0.31,,,0.4171,0.31,1.384B,1.392B,0.5
2018-03,7.829B,7.829B,6.802B,1.027B,,111.00M,111.00M,172.00M,,,143.00M,28.00M,-115.00M,283.00M,744.00M,28.00M,143.00M,-115.00M,14.00M,-115.00M,643.00M,113.00M,530.00M,,,-5.00M,525.00M,525.00M,1.66B,874.00M,786.00M,0.38,,,0.38,0.38,0.38,,,0.38,0.38,1.385B,1.394B,0.5
2017-12,8.179B,8.179B,7.20B,979.00M,,109.00M,109.00M,192.00M,2.701B,-2.796B,144.00M,31.00M,-113.00M,301.00M,678.00M,31.00M,144.00M,-113.00M,-2.775B,-113.00M,-2.21B,61.00M,-2.271B,,,17.00M,-2.254B,-576.40M,-1.16B,906.00M,-2.066B,-1.6280000000000001,,,-0.4195,-1.6280000000000001,-1.63,,,-0.4214,-1.63,1.388B,1.388B,0.5
2017-09,7.905B,7.905B,6.797B,1.108B,,115.00M,115.00M,189.00M,0.00,-49.00M,142.00M,34.00M,-108.00M,304.00M,804.00M,34.00M,142.00M,-108.00M,-19.00M,-108.00M,677.00M,121.00M,556.00M,,,-11.00M,545.00M,585.23M,1.775B,956.00M,819.00M,0.39,,,0.419,0.39,0.39,,,0.4189,0.39,1.385B,1.392B,0.5
