,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.208B,4.208B,64.00M,1.521B,1.585B,,1.585B,,2.424B,1.754B,298.00M,1.456B,,,-14.00M,49.00M,1.442B,1.442B,,1.906B,,3.26,0.00,,3.26,3.26,,3.26,0.00,,3.26,3.26,,425.00M,426.00M,1.15,,AOR,
2020-09,4.281B,4.281B,67.00M,1.41B,1.477B,,1.477B,,2.484B,1.698B,166.00M,1.532B,,,-13.00M,64.00M,1.519B,1.519B,232.00M,1.89B,,3.40,0.00,,3.40,3.40,,3.39,0.00,,3.39,3.39,,426.00M,426.00M,1.15,,AOR,
2020-06,4.076B,4.076B,47.00M,1.373B,1.42B,,1.42B,,2.527B,-902.00M,-158.00M,-744.00M,4.399B,,-7.00M,56.00M,3.648B,-751.00M,384.00M,-574.00M,,-1.90,10.28,,-1.90,8.40,,-1.90,10.28,,-1.90,8.40,,426.00M,426.00M,1.15,,AOR,
2020-03,4.517B,4.517B,58.00M,1.369B,1.427B,,1.427B,,2.511B,1.06B,145.00M,915.00M,,,-7.00M,64.00M,908.00M,908.00M,328.00M,1.749B,,1.96,,,1.96,1.96,,1.95,,,1.95,1.95,,429.00M,430.00M,1.15,,AOR,
2019-12,5.309B,5.309B,77.00M,1.468B,1.545B,,1.545B,,2.488B,2.326B,356.00M,1.97B,,,-14.00M,56.00M,1.367B,1.956B,411.00M,3.172B,,2.98,,,2.98,2.98,,2.97,,,2.97,2.97,,438.00M,439.00M,1.15,,AOR,
2019-09,4.242B,4.242B,76.00M,1.40B,1.476B,,1.476B,,2.504B,1.436B,255.00M,1.181B,211.00M,,-13.00M,64.00M,1.379B,1.168B,325.00M,2.435B,,2.47,0.48,,2.47,2.95,,2.47,0.47,,2.47,2.94,,444.00M,445.00M,1.15,,AOR,Restated
2019-06,4.215B,4.215B,83.00M,1.365B,1.448B,,1.448B,,2.498B,1.424B,239.00M,1.185B,189.00M,,-12.00M,56.00M,1.362B,1.173B,307.00M,2.423B,,2.47,0.42,,2.47,2.89,,2.47,0.41,,2.47,2.88,,451.00M,452.00M,0.95,,AOR,Restated
2019-03,4.286B,4.286B,65.00M,1.414B,1.479B,,1.479B,,2.475B,1.519B,248.00M,1.271B,,,-10.00M,64.00M,1.261B,1.261B,272.00M,2.472B,,2.62,,,2.62,2.62,,2.61,,,2.61,2.61,,455.00M,456.00M,0.95,,AOR,Restated
2018-12,4.34B,4.34B,84.00M,1.348B,1.432B,,1.432B,,2.481B,1.615B,264.00M,1.351B,,,-14.00M,56.00M,1.337B,1.337B,290.00M,2.493B,,2.77,,,2.77,2.77,,2.75,,,2.75,2.75,,461.00M,464.00M,0.95,,AOR,Restated
2018-09,4.357B,4.357B,71.00M,1.413B,1.484B,,1.484B,,2.466B,1.661B,261.00M,1.40B,,,-11.00M,64.00M,1.389B,1.389B,272.00M,2.418B,,2.84,,,2.84,2.84,,2.82,,,2.82,2.82,,465.00M,467.00M,0.95,,AOR,Restated
2018-06,4.324B,4.324B,75.00M,1.356B,1.431B,,1.431B,,2.413B,1.66B,304.00M,1.356B,,,-10.00M,56.00M,1.346B,1.346B,287.00M,2.329B,,2.74,,,2.74,2.74,,2.72,,,2.72,2.72,,469.00M,472.00M,0.75,,AOR,Restated
2018-03,4.111B,4.111B,55.00M,1.354B,1.409B,,1.409B,,2.361B,1.492B,253.00M,1.239B,,,-10.00M,64.00M,1.229B,1.229B,280.00M,2.049B,,2.45,,,2.45,2.45,,2.43,,,2.43,2.43,,473.00M,476.00M,0.75,,AOR,Restated
2017-12,4.26B,4.26B,60.00M,1.449B,1.509B,,1.509B,,2.345B,1.074B,-1.017B,2.091B,,,-11.00M,57.00M,2.08B,2.08B,258.00M,1.554B,,4.23,,,4.23,4.23,,4.18,,,4.18,4.18,,475.00M,480.00M,0.75,,AOR,Restated
2017-09,4.125B,4.125B,62.00M,1.286B,1.348B,,1.348B,,2.345B,1.539B,413.00M,1.126B,,,-12.00M,64.00M,1.114B,1.114B,291.00M,1.989B,,2.18,,,2.18,2.18,,2.16,,,2.16,2.16,,479.00M,483.00M,0.75,,AOR,Restated
2017-06,4.06B,4.06B,67.00M,1.276B,1.343B,,1.343B,,2.258B,1.483B,386.00M,1.097B,,,-10.00M,57.00M,1.087B,1.087B,289.00M,1.899B,,2.12,,,2.12,2.12,,2.10,,,2.10,2.10,,484.00M,488.00M,0.55,,AOR,Restated
2017-03,3.884B,3.884B,55.00M,1.257B,1.312B,,1.312B,,2.16B,1.394B,320.00M,1.074B,,,-17.00M,84.00M,1.057B,1.057B,279.00M,1.754B,,1.99,,,1.99,1.99,,1.96,,,1.96,1.96,,487.00M,492.00M,0.55,,AOR,Restated
2016-12,3.874B,3.874B,60.00M,1.263B,1.323B,,1.323B,,2.13B,1.366B,319.00M,1.047B,,,-22.00M,43.00M,1.025B,1.025B,276.00M,1.689B,,2.01,,,2.01,2.01,,1.97,,,1.97,1.97,,488.00M,494.00M,0.55,,AOR,Restated
2016-09,3.829B,3.829B,72.00M,1.239B,1.311B,,1.311B,,2.095B,1.348B,342.00M,1.006B,,,-18.00M,64.00M,988.00M,988.00M,356.00M,1.661B,,1.87,,,1.87,1.87,,1.84,,,1.84,1.84,,490.00M,496.00M,0.55,,AOR,Restated
2016-06,3.794B,3.794B,61.00M,1.226B,1.287B,,1.287B,,2.068B,1.307B,318.00M,989.00M,,,-23.00M,43.00M,966.00M,966.00M,291.00M,1.623B,,1.84,,,1.84,1.84,,1.82,,,1.82,1.82,,497.00M,503.00M,0.51,,AOR,Restated
2016-03,3.665B,3.665B,54.00M,1.145B,1.199B,,1.199B,,2.098B,1.232B,289.00M,943.00M,,,-19.00M,65.00M,924.00M,924.00M,270.00M,1.541B,,1.70,,,1.70,1.70,,1.68,,,1.68,1.68,,501.00M,507.00M,0.51,,AOR,Restated
2015-12,3.853B,3.853B,56.00M,1.252B,1.308B,,1.308B,,2.092B,1.383B,361.00M,1.022B,,,-14.00M,43.00M,1.008B,1.008B,286.00M,1.649B,,1.90,,,1.90,1.90,,1.87,,,1.87,1.87,,508.00M,509.00M,0.51,,AOR,Restated
2015-09,3.775B,3.775B,64.00M,1.222B,1.286B,,1.286B,-9.00M,2.062B,1.342B,269.00M,1.073B,,,-18.00M,64.00M,1.055B,1.055B,272.00M,1.621B,,1.93,,,1.93,1.93,,1.90,,,1.90,1.90,,512.00M,520.00M,0.51,,AOR,Restated
2015-06,3.866B,3.866B,67.00M,1.20B,1.267B,,1.267B,8.00M,2.052B,1.454B,410.00M,1.044B,,,-4.00M,48.00M,1.04B,1.04B,278.00M,1.707B,,1.92,,,1.92,1.92,,1.88,,,1.88,1.88,,517.00M,525.00M,0.51,,AOR,Restated
2015-03,3.731B,3.731B,62.00M,1.157B,1.219B,,1.219B,42.00M,2.072B,1.328B,324.00M,1.004B,,,-1.00M,70.00M,1.003B,1.003B,252.00M,1.575B,,1.79,,,1.79,1.79,,1.75,,,1.75,1.75,,521.00M,529.00M,0.48,,AOR,Restated
2014-12,3.947B,3.947B,67.00M,1.17B,1.237B,,1.237B,,2.097B,1.356B,299.00M,1.057B,,,-21.00M,48.00M,1.036B,1.036B,264.00M,1.596B,,1.88,,,1.88,1.88,,1.84,,,1.84,1.84,,523.00M,531.00M,0.48,,AOR,Restated
2014-09,3.841B,3.841B,66.00M,1.189B,1.255B,,1.255B,0.00,2.104B,1.429B,391.00M,1.038B,,,-1.00M,71.00M,1.037B,1.037B,248.00M,1.653B,,1.82,,,1.82,1.82,,1.79,,,1.79,1.79,,529.00M,537.00M,0.48,,AOR,Restated
2014-06,3.81B,3.81B,68.00M,1.172B,1.24B,,1.24B,-6.00M,2.129B,1.41B,358.00M,1.052B,,,-3.00M,48.00M,1.049B,1.049B,240.00M,1.637B,,1.88,,,1.88,1.88,,1.85,,,1.85,1.85,,532.00M,539.00M,0.48,,AOR,Restated
2014-03,3.777B,3.777B,52.00M,1.08B,1.132B,,1.132B,8.00M,2.195B,1.419B,359.00M,1.06B,,,2.00M,70.00M,1.062B,1.062B,236.00M,1.634B,,1.86,,,1.86,1.86,,1.82,,,1.82,1.82,,532.00M,539.00M,0.44,,AOR,Restated
2013-12,4.073B,4.073B,66.00M,1.207B,1.273B,,1.273B,19.00M,2.266B,1.446B,372.00M,1.074B,,,-13.00M,50.00M,1.061B,1.061B,263.00M,1.659B,,1.87,,,1.87,1.87,,1.85,,,1.85,1.85,,528.00M,535.00M,0.44,,AOR,Restated
2013-09,3.92B,3.92B,68.00M,1.181B,1.249B,,1.249B,19.00M,2.234B,1.389B,361.00M,1.028B,,,-2.00M,71.00M,1.026B,1.026B,300.00M,1.603B,,1.80,,,1.80,1.80,,1.77,,,1.77,1.77,,529.00M,534.00M,0.44,,AOR,Restated
2013-06,4.064B,4.064B,67.00M,1.186B,1.253B,,1.253B,57.00M,2.258B,1.502B,387.00M,1.115B,,,-4.00M,53.00M,1.111B,1.111B,300.00M,1.713B,,2.00,,,2.00,2.00,,1.98,,,1.98,1.98,,528.00M,531.00M,0.44,,AOR,Restated
2013-03,3.955B,3.955B,45.00M,1.169B,1.214B,,1.214B,4.00M,2.389B,1.351B,356.00M,995.00M,,,8.00M,75.00M,1.003B,1.003B,283.00M,1.573B,,1.76,,,1.76,1.76,,1.74,,,1.74,1.74,,526.00M,528.00M,0.40,,AOR,Restated
2012-12,4.069B,4.069B,70.00M,1.216B,1.286B,,1.286B,30.00M,2.424B,1.018B,306.00M,712.00M,,,-6.00M,54.00M,706.00M,706.00M,298.00M,1.265B,,1.26,,,1.26,1.26,,1.24,,,1.24,1.24,,526.00M,529.00M,0.40,,AOR,Restated
2012-09,4.088B,4.088B,74.00M,1.171B,1.245B,,1.245B,16.00M,2.399B,1.21B,285.00M,925.00M,,,14.00M,63.00M,939.00M,939.00M,307.00M,1.481B,,1.66,,,1.66,1.66,,1.64,,,1.64,1.64,,526.00M,529.00M,0.40,,AOR,Restated
2012-06,3.623B,3.623B,67.00M,1.119B,1.186B,,1.186B,28.00M,2.526B,719.00M,173.00M,546.00M,,,5.00M,25.00M,551.00M,551.00M,285.00M,989.00M,,1.00,,,1.00,1.00,,0.98,,,0.98,0.98,,527.00M,530.00M,0.40,,AOR,Restated
2012-03,3.732B,3.732B,68.00M,1.111B,1.179B,,1.179B,19.00M,2.291B,1.092B,281.00M,811.00M,,,-6.00M,39.00M,805.00M,805.00M,269.00M,1.398B,,1.45,,,1.45,1.45,,1.44,,,1.44,1.44,,526.00M,529.00M,0.35,,AOR,Restated
2011-12,3.549B,3.549B,74.00M,1.052B,1.126B,,1.126B,18.00M,2.199B,640.00M,147.00M,493.00M,,,-17.00M,25.00M,476.00M,476.00M,290.00M,975.00M,,0.86,,,0.86,0.86,,0.85,,,0.85,0.85,,524.00M,526.00M,0.35,,AOR,Restated
2011-09,3.544B,3.544B,72.00M,949.00M,1.021B,-789.00M,232.00M,33.00M,2.175B,1.143B,309.00M,834.00M,,,-4.00M,4.00M,830.00M,1.406B,281.00M,1.498B,,1.57,0.00,,2.669,1.57,,1.55,0.00,,2.644,1.55,,524.00M,526.00M,0.35,,AOR,Restated
2011-06,3.602B,3.602B,63.00M,976.00M,1.039B,-803.00M,236.00M,43.00M,2.15B,1.146B,234.00M,912.00M,,,1.00M,25.00M,913.00M,1.552B,290.00M,1.543B,,1.69,0.00,,2.910,1.69,,1.67,0.00,,2.883,1.67,,524.00M,527.00M,0.35,,AOR,Restated
2011-03,3.631B,3.631B,40.00M,989.00M,1.029B,-681.00M,348.00M,3.00M,2.176B,1.14B,308.00M,832.00M,,,5.00M,4.00M,837.00M,1.334B,279.00M,1.547B,,1.59,0.00,,2.538,1.59,,1.57,0.00,,2.515,1.57,,524.00M,526.00M,0.10,,AOR,Restated
2010-12,3.743B,3.743B,70.00M,1.032B,1.102B,,1.102B,24.00M,2.201B,1.121B,301.00M,820.00M,0.00,,3.00M,25.00M,823.00M,823.00M,306.00M,1.591B,,1.543,0.0015,,1.543,0.80,,1.543,-0.0027,,1.543,0.78,,523.00M,526.00M,0.10,,AOR,Restated
2010-09,3.598B,3.598B,81.00M,959.00M,1.04B,-789.00M,251.00M,50.00M,2.215B,954.00M,179.00M,775.00M,328.00M,,-2.00M,7.00M,1.101B,1.414B,311.00M,1.44B,,1.45,0.63,,2.676,2.08,,1.45,0.62,,2.669,2.07,,523.00M,526.00M,0.10,,AOR,Restated
2010-06,3.912B,3.912B,65.00M,959.00M,1.024B,-638.00M,386.00M,53.00M,2.435B,1.087B,306.00M,781.00M,22.00M,,-9.00M,,794.00M,1.230B,216.00M,1.525B,,1.45,0.04,,2.325,1.49,,1.43,0.04,,2.300,1.47,,524.00M,527.00M,0.10,,AOR,Restated
2010-03,3.879B,3.879B,50.00M,956.00M,1.006B,-864.00M,142.00M,90.00M,2.379B,899.00M,251.00M,648.00M,23.00M,,5.00M,93.00M,676.00M,1.276B,226.00M,1.425B,,0.62,0.05,,1.871,0.67,,0.61,0.05,,1.856,0.66,,498.00M,500.00M,0.10,,AOR,Restated
2009-12,4.453B,4.453B,59.00M,969.00M,1.028B,-2.88B,-1.852B,-433.00M,2.346B,1.628B,525.00M,1.103B,4.00M,,37.00M,175.00M,1.144B,3.091B,231.00M,2.221B,,2.20,0.01,,6.414,2.21,,2.18,0.01,,6.385,2.19,,463.00M,464.00M,0.10,,AOR,Restated
2009-09,3.982B,3.982B,58.00M,1.068B,1.126B,-129.00M,997.00M,168.00M,2.224B,725.00M,185.00M,540.00M,19.00M,,20.00M,99.00M,579.00M,656.08M,242.00M,1.389B,,0.97,0.04,,1.179,1.01,,0.96,0.04,,1.168,1.00,,460.00M,461.00M,0.10,,AOR,Restated
2009-06,3.958B,3.958B,59.00M,1.086B,1.145B,-155.00M,990.00M,182.00M,2.193B,224.00M,29.00M,195.00M,12.00M,,-9.00M,119.00M,198.00M,320.93M,247.00M,1.031B,,0.11,0.03,,0.4092,0.14,,0.11,0.03,,0.4079,0.14,,451.00M,453.00M,0.10,,AOR,Restated
2009-03,3.835B,3.835B,57.00M,996.00M,1.053B,-149.00M,904.00M,56.00M,2.32B,648.00M,128.00M,520.00M,10.00M,,-4.00M,81.00M,526.00M,635.57M,258.00M,1.587B,,1.02,0.02,,1.290,1.04,,1.01,0.02,,1.279,1.03,,443.00M,444.00M,0.66,,AOR,Restated
2008-12,644.00M,644.00M,29.00M,106.00M,135.00M,-1.047B,-912.00M,-310.00M,1.023B,-624.00M,-260.00M,-364.00M,,,-2.00M,,-248.00M,314.55M,119.00M,-116.00M,,-1.13,0.34,,0.8312,-0.79,,-1.13,0.34,,0.82,-0.79,,347.00M,349.00M,0.66,,,Restated
2008-09,1.783B,1.783B,38.00M,569.00M,607.00M,-129.00M,478.00M,55.00M,1.00B,333.00M,74.00M,259.00M,,,-11.00M,,248.00M,348.33M,176.00M,907.00M,,0.72,0.00,,1.011,0.72,,0.70,0.00,,0.9891,0.70,,345.00M,347.00M,0.66,,,Restated
2008-06,2.039B,2.039B,34.00M,547.00M,581.00M,,581.00M,-1.00M,977.00M,738.00M,233.00M,505.00M,,,,,505.00M,505.00M,76.00M,1.338B,,1.47,0.00,,1.47,1.47,,1.45,0.00,,1.45,1.45,,344.00M,347.00M,0.66,,,
2008-03,1.821B,1.821B,22.00M,544.00M,566.00M,0.00,566.00M,41.00M,854.00M,635.00M,251.00M,384.00M,,,-7.00M,,377.00M,377.00M,92.00M,1.40B,,1.11,0.00,,1.11,1.11,,1.09,0.00,,1.09,1.09,,339.00M,342.00M,0.63,,,Restated
2007-12,1.627B,1.627B,29.00M,553.00M,582.00M,,582.00M,-1.00M,793.00M,226.00M,48.00M,178.00M,,,,,178.00M,278.81M,94.00M,1.103B,,0.51,0.00,,0.8092,0.51,,0.50,0.00,,0.7956,0.50,,337.00M,341.00M,0.63,,,
2007-09,1.751B,1.751B,36.00M,553.00M,589.00M,,589.00M,-2.00M,761.00M,587.00M,180.00M,407.00M,,,,,407.00M,441.67M,83.00M,1.453B,,1.21,0.00,,1.313,1.21,,1.19,0.00,,1.292,1.19,,337.00M,340.00M,0.63,,,
2007-06,1.713B,1.713B,29.00M,544.00M,573.00M,,573.00M,1.00M,738.00M,619.00M,196.00M,423.00M,,,,,423.00M,423.00M,78.00M,1.435B,,1.24,0.00,,1.24,1.24,,1.22,0.00,,1.22,1.22,,342.00M,346.00M,0.63,,,
2007-03,1.614B,1.614B,21.00M,490.00M,511.00M,,511.00M,-3.00M,623.00M,662.00M,203.00M,459.00M,,,,,459.00M,459.00M,77.00M,1.354B,,1.49,0.00,,1.49,1.49,,1.46,0.00,,1.46,1.46,,308.00M,312.00M,0.55,,,
2006-12,1.535B,1.535B,23.00M,497.00M,520.00M,,520.00M,107.00M,566.00M,524.00M,148.00M,376.00M,,,-24.00M,,376.00M,-1.048B,77.00M,1.175B,,1.29,0.00,,-3.585,1.29,,1.27,0.00,,-3.523,1.27,,292.00M,297.00M,0.55,,,
2006-09,3.51B,3.51B,39.00M,659.00M,698.00M,,698.00M,-195.00M,567.00M,2.321B,837.00M,1.484B,,,5.00M,,1.484B,1.471B,86.00M,2.957B,,5.09,0.00,,5.044,5.09,,5.01,0.00,,4.965,5.01,,291.00M,296.00M,0.55,,,
2006-06,1.786B,1.786B,22.00M,634.00M,656.00M,,656.00M,-8.00M,556.00M,578.00M,197.00M,381.00M,,,-19.00M,,381.00M,345.40M,89.00M,1.148B,,1.30,0.00,,1.179,1.30,,1.28,0.00,,1.160,1.28,,293.00M,297.00M,0.55,,,
2006-03,1.741B,1.741B,20.00M,642.00M,662.00M,,662.00M,-4.00M,556.00M,535.00M,181.00M,354.00M,,,-22.00M,,354.00M,349.37M,93.00M,1.045B,,1.21,0.00,,1.194,1.21,,1.19,0.00,,1.174,1.19,,292.00M,296.00M,0.50,,,
2005-12,1.709B,1.709B,31.00M,633.00M,664.00M,,664.00M,92.00M,555.00M,536.00M,181.00M,355.00M,,,-42.00M,,355.00M,355.00M,98.00M,1.015B,,1.23,0.00,,1.23,1.23,,1.20,0.00,,1.20,1.20,,289.00M,296.00M,0.50,,,
2005-09,1.675B,1.675B,30.00M,631.00M,661.00M,,661.00M,-2.00M,559.00M,486.00M,152.00M,334.00M,,,-14.00M,,334.00M,309.26M,111.00M,922.00M,,1.16,0.00,,1.074,1.16,,1.14,0.00,,1.055,1.14,,289.00M,292.00M,0.50,,,
2005-06,1.463B,1.463B,25.00M,567.00M,592.00M,,592.00M,-26.00M,534.00M,441.00M,159.00M,282.00M,,,-9.00M,,282.00M,274.33M,86.00M,808.00M,,0.99,0.00,,0.9631,0.99,,0.98,0.00,,0.9534,0.98,,285.00M,288.00M,0.50,,,
2005-03,1.48B,1.48B,20.00M,562.00M,582.00M,,582.00M,32.00M,506.00M,466.00M,112.00M,354.00M,,,-6.00M,,354.00M,329.69M,80.00M,764.00M,,1.26,0.00,,1.173,1.26,,1.24,0.00,,1.154,1.24,,281.00M,284.00M,0.50,,,
2004-12,1.416B,1.416B,24.00M,534.00M,558.00M,,558.00M,77.00M,503.00M,434.00M,127.00M,307.00M,,,-37.00M,,307.00M,307.00M,76.00M,674.00M,,1.09,0.00,,1.09,1.09,,1.08,0.00,,1.08,1.08,,283.59M,285.29M,0.50,,,
2004-09,1.329B,1.329B,19.00M,576.00M,595.00M,,595.00M,16.00M,491.00M,348.00M,90.00M,258.00M,,,13.00M,,258.00M,246.14M,76.00M,542.00M,,0.92,0.00,,0.8778,0.92,,0.91,0.00,,0.8681,0.91,,281.00M,283.00M,0.50,,,
2004-06,1.391B,1.391B,24.00M,491.00M,515.00M,,515.00M,14.00M,481.00M,462.00M,158.00M,304.00M,,,-11.00M,,304.00M,280.97M,77.00M,639.00M,,1.08,0.00,,0.9980,1.08,,1.07,0.00,,0.9886,1.07,,281.00M,283.00M,0.50,,,
