,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,604.00M,1.00M,,1.00M,39.00M,110.00M,149.00M,149.00M,26.00M,77.00M,77.00M,-874.00M,,-439.00M,,800.00M,-204.00M,-717.00M,,140.00M,,-45.00M,,-30.00M,421.00M,,346.00M,,2018-03,104.00M,104.00M,,-569.00M,-569.00M,,,,-89.00M,-89.00M,-109.00M,,-663.00M,2018-03,756.00M,-177.00M,18.00M,,2018-03,,808.00M,-704.00M,-569.00M,58.00M,,2018-03,AOR,Restated
2017-12,17.00M,14.00M,,14.00M,39.00M,100.00M,139.00M,139.00M,190.00M,105.00M,105.00M,-1.213B,,333.00M,,249.00M,546.00M,-85.00M,1.00M,381.00M,,-58.00M,,-805.00M,1.128B,,265.00M,,2017-12,2.00M,2.00M,,-511.00M,-511.00M,,,,-90.00M,-90.00M,-3.00M,-15.00M,-617.00M,2017-12,749.00M,29.00M,-22.00M,,2017-12,,3.00M,-1.00M,-511.00M,328.00M,,2017-12,AOR,Restated
2017-09,196.00M,-1.00M,,-1.00M,40.00M,101.00M,141.00M,141.00M,19.00M,66.00M,66.00M,1.145B,,140.00M,,-560.00M,-1.293B,-568.00M,0.00,-147.00M,,-43.00M,,-22.00M,1.098B,,1.033B,,2017-09,-8.00M,-8.00M,,-788.00M,-788.00M,,,,-92.00M,-92.00M,21.00M,-11.00M,-878.00M,2017-09,684.00M,8.00M,57.00M,,2017-09,,0.00,-8.00M,-788.00M,746.00M,,2017-09,AOR,Restated
2017-06,-43.00M,1.00M,,1.00M,54.00M,460.00M,514.00M,514.00M,-225.00M,70.00M,70.00M,-390.00M,,13.00M,,282.00M,32.00M,-63.00M,6.00M,260.00M,,-48.00M,,4.092B,-2.564B,,1.476B,,2017-06,-381.00M,-381.00M,,-974.00M,-974.00M,,,,-95.00M,-95.00M,-54.00M,-8.00M,-1.512B,2017-06,451.00M,224.00M,9.00M,,2017-06,,659.00M,-1.04B,-974.00M,50.00M,,2017-06,AOR,Restated
2017-03,265.00M,2.00M,,2.00M,54.00M,43.00M,97.00M,97.00M,-2.00M,78.00M,78.00M,375.00M,,-390.00M,,-7.00M,-236.00M,-258.00M,58.00M,240.00M,,-34.00M,,-48.00M,110.00M,,13.00M,,2017-03,42.00M,42.00M,,-126.00M,-126.00M,,,,-87.00M,-87.00M,-85.00M,-2.00M,-258.00M,2017-03,431.00M,-5.00M,25.00M,,2017-03,,992.00M,-950.00M,-126.00M,58.00M,,2017-03,AOR,Restated
2016-12,384.00M,2.00M,,2.00M,44.00M,40.00M,84.00M,84.00M,-17.00M,96.00M,96.00M,-1.223B,,299.00M,,1.064B,-12.00M,128.00M,174.00M,851.00M,,-49.00M,,-678.00M,164.00M,,-583.00M,,2016-12,101.00M,101.00M,,-220.00M,-220.00M,,,,-87.00M,-87.00M,-59.00M,-6.00M,-271.00M,2016-12,483.00M,-3.00M,-49.00M,,2016-12,,738.00M,-637.00M,-220.00M,65.00M,,2016-12,AOR,Restated
2016-09,284.00M,0.00,,0.00,39.00M,42.00M,81.00M,81.00M,-22.00M,66.00M,66.00M,1.571B,,89.00M,,-1.432B,-42.00M,186.00M,116.00M,711.00M,,-39.00M,,-14.00M,-224.00M,,-287.00M,,2016-09,-3.00M,-3.00M,,-287.00M,-287.00M,,,,-89.00M,-89.00M,17.00M,-9.00M,-371.00M,2016-09,438.00M,53.00M,-8.00M,,2016-09,,673.00M,-676.00M,-287.00M,64.00M,,2016-09,AOR,Restated
2016-06,273.00M,-6.00M,,-6.00M,41.00M,38.00M,79.00M,79.00M,-8.00M,65.00M,65.00M,-290.00M,,-28.00M,,470.00M,-142.00M,10.00M,78.00M,491.00M,,-31.00M,,-161.00M,328.00M,,115.00M,,2016-06,-446.00M,-446.00M,,-65.00M,-65.00M,,,,-87.00M,-87.00M,-22.00M,-20.00M,-640.00M,2016-06,465.00M,-34.00M,7.00M,,2016-06,,1.011B,-1.457B,-65.00M,48.00M,,2016-06,AOR,Restated
2016-03,312.00M,-35.00M,,-35.00M,38.00M,37.00M,75.00M,75.00M,23.00M,79.00M,79.00M,432.00M,,-307.00M,,-157.00M,-278.00M,-310.00M,129.00M,273.00M,,-37.00M,,81.00M,-228.00M,,-199.00M,,2016-03,870.00M,870.00M,,-685.00M,-685.00M,,,,-82.00M,-82.00M,-65.00M,-42.00M,-4.00M,2016-03,384.00M,70.00M,11.00M,,2016-03,,1.045B,-175.00M,-685.00M,41.00M,,2016-03,AOR,Restated
2015-12,421.00M,-52.00M,,-52.00M,-5.00M,-63.00M,-68.00M,-68.00M,-140.00M,81.00M,81.00M,-525.00M,,400.00M,,190.00M,-100.00M,-35.00M,,714.00M,,25.00M,,161.00M,-48.00M,,48.00M,,2015-12,-381.00M,-381.00M,,-400.00M,-400.00M,,,,-83.00M,-83.00M,118.00M,-13.00M,-759.00M,2015-12,398.00M,3.00M,-17.00M,,2015-12,,1.857B,-2.238B,-400.00M,69.00M,,2015-12,AOR,Restated
2015-09,303.00M,-9.00M,,-9.00M,56.00M,78.00M,134.00M,134.00M,-99.00M,75.00M,75.00M,1.084B,,75.00M,,-1.059B,213.00M,313.00M,,717.00M,,-83.00M,,-1.00M,99.00M,,15.00M,,2015-09,85.00M,85.00M,,-600.00M,-600.00M,,,,-84.00M,-84.00M,13.00M,-3.00M,-589.00M,2015-09,367.00M,143.00M,-112.00M,,2015-09,,1.049B,-964.00M,-600.00M,62.00M,,2015-09,AOR,Restated
2015-06,188.00M,-1.00M,,-1.00M,57.00M,79.00M,136.00M,136.00M,9.00M,74.00M,74.00M,-279.00M,,-39.00M,,300.00M,-108.00M,-126.00M,,280.00M,,-80.00M,,9.00M,-132.00M,,-203.00M,,2015-06,365.00M,365.00M,,-300.00M,-300.00M,,,,-85.00M,-85.00M,-47.00M,-17.00M,-84.00M,2015-06,378.00M,-7.00M,-4.00M,,2015-06,,1.575B,-1.21B,-300.00M,72.00M,,2015-06,AOR,Restated
2015-03,341.00M,-19.00M,,-19.00M,56.00M,80.00M,136.00M,136.00M,7.00M,90.00M,90.00M,222.00M,,-348.00M,,-236.00M,105.00M,-257.00M,,298.00M,,-62.00M,,20.00M,44.00M,,2.00M,,2015-03,184.00M,184.00M,,-250.00M,-250.00M,,,,-71.00M,-71.00M,-114.00M,-6.00M,-257.00M,2015-03,374.00M,43.00M,-39.00M,,2015-03,,870.00M,-686.00M,-250.00M,46.00M,,2015-03,AOR,Restated
2014-12,467.00M,-3.00M,,-3.00M,59.00M,89.00M,148.00M,148.00M,-212.00M,81.00M,81.00M,-1.252B,,412.00M,,1.233B,55.00M,448.00M,,929.00M,,-77.00M,,-15.00M,-191.00M,,-283.00M,,2014-12,139.00M,139.00M,,-500.00M,-500.00M,,,,-72.00M,-72.00M,-163.00M,-4.00M,-600.00M,2014-12,382.00M,46.00M,-54.00M,,2014-12,,984.00M,-845.00M,-500.00M,57.00M,,2014-12,AOR,Restated
2014-09,315.00M,-33.00M,,-33.00M,61.00M,90.00M,151.00M,151.00M,59.00M,72.00M,72.00M,1.656B,,84.00M,,-1.549B,-205.00M,-14.00M,,550.00M,,-64.00M,,-334.00M,82.00M,,-316.00M,,2014-09,-397.00M,-397.00M,,-500.00M,-500.00M,,,,-73.00M,-73.00M,18.00M,698.00M,-254.00M,2014-09,418.00M,-20.00M,-16.00M,,2014-09,,931.00M,-1.328B,-500.00M,76.00M,,2014-09,AOR,Restated
2014-06,313.00M,-3.00M,,-3.00M,62.00M,87.00M,149.00M,149.00M,8.00M,73.00M,73.00M,-626.00M,,-24.00M,,632.00M,-178.00M,-196.00M,,344.00M,,-60.00M,,-78.00M,36.00M,,-102.00M,,2014-06,1.213B,1.213B,,-650.00M,-650.00M,,,,-75.00M,-75.00M,14.00M,-691.00M,-189.00M,2014-06,338.00M,53.00M,27.00M,,2014-06,,2.129B,-916.00M,-650.00M,138.00M,,2014-06,AOR,Restated
2014-03,336.00M,-5.00M,,-5.00M,60.00M,86.00M,146.00M,146.00M,10.00M,102.00M,102.00M,178.00M,,-468.00M,,106.00M,-416.00M,-600.00M,,-11.00M,,-55.00M,,-4.00M,215.00M,,156.00M,,2014-03,366.00M,366.00M,,-600.00M,-600.00M,,,,-53.00M,-53.00M,26.00M,1.00M,-260.00M,2014-03,477.00M,-115.00M,-24.00M,,2014-03,,1.195B,-829.00M,-600.00M,66.00M,,2014-03,AOR,Restated
2013-12,360.00M,-37.00M,,-37.00M,63.00M,99.00M,162.00M,162.00M,-114.00M,93.00M,93.00M,-921.00M,,440.00M,,163.00M,623.00M,305.00M,,769.00M,,-55.00M,,6.00M,-151.00M,,-200.00M,,2013-12,-173.00M,-173.00M,,-77.00M,-77.00M,,,,-53.00M,-53.00M,-106.00M,-8.00M,-417.00M,2013-12,369.00M,152.00M,-44.00M,,2013-12,,636.00M,-809.00M,-77.00M,115.00M,,2013-12,AOR,Restated
2013-09,264.00M,-28.00M,,-28.00M,59.00M,98.00M,157.00M,157.00M,76.00M,70.00M,70.00M,1.521B,,101.00M,,-1.181B,-383.00M,58.00M,,597.00M,,-52.00M,,2.00M,9.00M,,-41.00M,,2013-09,93.00M,93.00M,,-500.00M,-500.00M,,,,-54.00M,-54.00M,27.00M,-13.00M,-447.00M,2013-09,266.00M,109.00M,-6.00M,,2013-09,,1.356B,-1.263B,-500.00M,93.00M,,2013-09,AOR,Restated
2013-06,252.00M,0.00,,0.00,59.00M,99.00M,158.00M,158.00M,11.00M,68.00M,68.00M,-595.00M,,-14.00M,,502.00M,-49.00M,-156.00M,,333.00M,,-62.00M,,-21.00M,47.00M,,-36.00M,,2013-06,-128.00M,-128.00M,,-225.00M,-225.00M,,,,-55.00M,-55.00M,21.00M,-5.00M,-392.00M,2013-06,408.00M,-95.00M,-47.00M,,2013-06,,1.764B,-1.892B,-225.00M,237.00M,,2013-06,AOR,Restated
2013-03,272.00M,0.00,,0.00,59.00M,99.00M,158.00M,158.00M,13.00M,69.00M,69.00M,132.00M,,-417.00M,,364.00M,-537.00M,-458.00M,,54.00M,,-60.00M,,-1.00M,-1.00M,,-62.00M,,2013-03,435.00M,435.00M,,-300.00M,-300.00M,,,,-50.00M,-50.00M,36.00M,-1.00M,120.00M,2013-03,291.00M,112.00M,5.00M,,2013-03,,1.15B,-715.00M,-300.00M,,,2013-03,AOR,Restated
2012-12,307.00M,1.00M,,1.00M,64.00M,110.00M,174.00M,174.00M,-116.00M,52.00M,52.00M,-1.089B,,310.00M,,834.00M,79.00M,134.00M,,552.00M,,-68.00M,,-65.00M,378.00M,,245.00M,,2012-12,-250.00M,-250.00M,,-500.00M,-500.00M,,,,-51.00M,-51.00M,25.00M,-14.00M,-790.00M,2012-12,290.00M,7.00M,-6.00M,,2012-12,,400.00M,-650.00M,-500.00M,238.00M,,2012-12,AOR,Restated
2012-09,210.00M,-1.00M,,-1.00M,56.00M,105.00M,161.00M,161.00M,-2.00M,55.00M,55.00M,1.213B,,153.00M,,-1.691B,500.00M,175.00M,,598.00M,,-72.00M,,-14.00M,-75.00M,,-161.00M,,2012-09,-121.00M,-121.00M,,-275.00M,-275.00M,,,,-51.00M,-51.00M,29.00M,-12.00M,-430.00M,2012-09,286.00M,7.00M,-3.00M,,2012-09,,1.00M,-122.00M,-275.00M,-99.00M,,2012-09,AOR,Restated
2012-06,254.00M,,,,57.00M,104.00M,161.00M,161.00M,7.00M,50.00M,50.00M,-837.00M,,-49.00M,,1.314B,-616.00M,-188.00M,,284.00M,,-58.00M,,-58.00M,-13.00M,,-129.00M,,2012-06,92.00M,92.00M,,-250.00M,-250.00M,,,,-53.00M,-53.00M,15.00M,-4.00M,-200.00M,2012-06,323.00M,-45.00M,8.00M,,2012-06,,257.00M,-165.00M,-250.00M,59.00M,,2012-06,AOR,Restated
2012-03,249.00M,,,,55.00M,104.00M,159.00M,159.00M,16.00M,55.00M,55.00M,-583.00M,,-451.00M,,706.00M,-166.00M,-494.00M,,-15.00M,,-71.00M,,-23.00M,316.00M,,222.00M,,2012-03,-65.00M,-65.00M,,-100.00M,-100.00M,,,,-49.00M,-49.00M,49.00M,-1.00M,-166.00M,2012-03,272.00M,41.00M,10.00M,,2012-03,,75.00M,-140.00M,-100.00M,40.00M,,2012-03,AOR,Restated
2011-12,280.00M,-2.00M,,-2.00M,56.00M,89.00M,145.00M,145.00M,143.00M,56.00M,56.00M,-884.00M,,55.00M,626.00M,513.00M,-701.00M,-391.00M,,231.00M,,-90.00M,,-4.00M,-99.00M,,-193.00M,,2011-12,-64.00M,-64.00M,-165.00M,0.00,-165.00M,,,,,-29.00M,,-30.00M,-87.00M,2011-12,295.00M,-49.00M,26.00M,,2011-12,-165.00M,101.00M,-165.00M,0.00,3.00M,,2011-12,AOR,Restated
2011-09,208.00M,0.00,,0.00,53.00M,91.00M,144.00M,144.00M,-14.00M,58.00M,58.00M,1.074B,,126.00M,116.00M,-1.208B,-136.00M,-28.00M,,368.00M,,-52.00M,,-6.00M,-115.00M,,-173.00M,,2011-09,84.00M,84.00M,3.00M,-175.00M,-172.00M,,,,,-65.00M,,-24.00M,-177.00M,2011-09,300.00M,18.00M,-23.00M,,2011-09,3.00M,103.00M,-19.00M,-175.00M,60.00M,,2011-09,AOR,Restated
2011-06,267.00M,-4.00M,,-4.00M,58.00M,91.00M,149.00M,149.00M,6.00M,47.00M,47.00M,-987.00M,,88.00M,-315.00M,1.176B,-163.00M,-201.00M,,264.00M,,-43.00M,,-84.00M,137.00M,,10.00M,,2011-06,-385.00M,-385.00M,77.00M,-303.00M,-226.00M,,,,,-55.00M,,,-666.00M,2011-06,682.00M,-392.00M,10.00M,,2011-06,77.00M,1.04B,-1.425B,-303.00M,-22.00M,,2011-06,AOR,Restated
2011-03,255.00M,,,,53.00M,91.00M,144.00M,144.00M,11.00M,74.00M,74.00M,289.00M,,-269.00M,-427.00M,246.00M,-168.00M,-329.00M,,155.00M,,-56.00M,,-3.00M,229.00M,,170.00M,,2011-03,350.00M,350.00M,85.00M,-350.00M,-265.00M,,,,,-51.00M,,,34.00M,2011-03,346.00M,359.00M,-23.00M,,2011-03,85.00M,429.00M,-79.00M,-350.00M,36.00M,,2011-03,AOR,Restated
2010-12,241.00M,3.00M,,3.00M,58.00M,68.00M,126.00M,126.00M,63.00M,55.00M,55.00M,787.00M,,31.00M,-466.00M,-743.00M,-108.00M,-499.00M,,-11.00M,,-65.00M,,-1.998B,1.812B,,-251.00M,,2010-12,365.00M,365.00M,-98.00M,-150.00M,-248.00M,,,,,-37.00M,,-29.00M,245.00M,2010-12,335.00M,-17.00M,28.00M,,2010-12,-98.00M,1.10B,-735.00M,-150.00M,39.00M,,2010-12,AOR,Restated
2010-09,147.00M,7.00M,,7.00M,31.00M,30.00M,61.00M,61.00M,29.00M,43.00M,43.00M,-42.00M,,-14.00M,-167.00M,-36.00M,-117.00M,-376.00M,,-89.00M,,-44.00M,,-25.00M,-1.443B,,-1.512B,,2010-09,1.726B,1.726B,17.00M,0.00,17.00M,,,,,-45.00M,,-6.00M,1.692B,2010-09,260.00M,91.00M,-16.00M,,2010-09,17.00M,1.73B,-4.00M,0.00,90.00M,,2010-09,AOR,
2010-06,158.00M,39.00M,,39.00M,31.00M,29.00M,60.00M,60.00M,-4.00M,57.00M,57.00M,-43.00M,,-88.00M,237.00M,-17.00M,17.00M,106.00M,,416.00M,,-38.00M,,-8.00M,-407.00M,,-453.00M,,2010-06,-75.00M,-75.00M,46.00M,-50.00M,-4.00M,,,,,-49.00M,,,-128.00M,2010-06,422.00M,-165.00M,3.00M,,2010-06,46.00M,0.00,-75.00M,-50.00M,53.00M,,2010-06,AOR,Restated
2010-03,186.00M,-6.00M,,-6.00M,31.00M,27.00M,58.00M,58.00M,-12.00M,66.00M,66.00M,45.00M,,-209.00M,396.00M,-1.00M,-56.00M,175.00M,,467.00M,,-33.00M,,-47.00M,-243.00M,,-323.00M,,2010-03,73.00M,73.00M,35.00M,-50.00M,-15.00M,,,,,-44.00M,,,14.00M,2010-03,217.00M,158.00M,47.00M,,2010-03,35.00M,75.00M,-2.00M,-50.00M,10.00M,,2010-03,AOR,Restated
2009-12,218.00M,6.00M,,6.00M,44.00M,24.00M,68.00M,68.00M,57.00M,57.00M,57.00M,-281.00M,,259.00M,-136.00M,413.00M,-435.00M,-180.00M,,226.00M,,-54.00M,,-347.00M,199.00M,,-202.00M,,2009-12,1.00M,1.00M,21.00M,-340.00M,-319.00M,,,,,-73.00M,,,-391.00M,2009-12,580.00M,-367.00M,4.00M,,2009-12,21.00M,1.00M,0.00,-340.00M,17.00M,,2009-12,AOR,Restated
2009-09,134.00M,-3.00M,,-3.00M,32.00M,24.00M,56.00M,56.00M,78.00M,57.00M,57.00M,80.00M,,-188.00M,46.00M,-23.00M,-153.00M,-238.00M,,84.00M,,-33.00M,,-14.00M,63.00M,,16.00M,,2009-09,5.00M,5.00M,142.00M,-125.00M,17.00M,,,,,-41.00M,,-89.00M,-108.00M,2009-09,537.00M,-8.00M,51.00M,,2009-09,142.00M,1.092B,-1.087B,-125.00M,53.00M,,2009-09,AOR,Restated
2009-06,155.00M,-2.00M,,-2.00M,73.00M,45.00M,58.00M,58.00M,-11.00M,55.00M,55.00M,-41.00M,,-52.00M,,-173.00M,-445.00M,-711.00M,,-456.00M,,-32.00M,,3.00M,712.00M,,683.00M,,2009-06,-30.00M,-30.00M,,-125.00M,-125.00M,,,,,-42.00M,,34.00M,-163.00M,2009-06,501.00M,64.00M,-28.00M,,2009-06,,,-30.00M,-125.00M,112.00M,,2009-06,AOR,Restated
2009-03,285.00M,-92.00M,,-92.00M,,,60.00M,60.00M,14.00M,40.00M,40.00M,179.00M,,-178.00M,,-150.00M,395.00M,246.00M,,553.00M,,-21.00M,,95.00M,-710.00M,,-636.00M,,2009-03,-1.00M,-1.00M,,0.00,0.00,,,,,-41.00M,,55.00M,13.00M,2009-03,582.00M,-70.00M,-11.00M,,2009-03,,,-1.00M,0.00,,,2009-03,AOR,Restated
2008-12,-2.00M,,,1.403B,-117.00M,-40.00M,65.00M,65.00M,-71.00M,54.00M,-1.402B,-262.00M,,401.00M,475.00M,-4.00M,71.00M,681.00M,,922.00M,,-23.00M,,-994.00M,555.00M,,-462.00M,,2008-12,-453.00M,-221.00M,20.00M,1.773B,1.793B,,,,,-41.00M,,,-209.00M,2008-12,478.00M,251.00M,-147.00M,,2008-12,20.00M,12.00M,-233.00M,1.773B,58.00M,,2008-12,AOR,Restated
2008-09,121.00M,,,27.00M,34.00M,15.00M,49.00M,49.00M,-32.00M,52.00M,52.00M,68.00M,,-7.00M,-250.00M,-5.00M,-254.00M,-448.00M,,-231.00M,,-22.00M,,-134.00M,935.00M,,779.00M,,2008-09,1.00M,0.00,7.00M,-492.00M,-485.00M,,,,,-41.00M,,,-526.00M,2008-09,466.00M,22.00M,-10.00M,,2008-09,7.00M,1.00M,-1.00M,-492.00M,408.00M,,2008-09,AOR,Restated
2008-06,1.136B,,,-1.43B,47.00M,11.00M,58.00M,58.00M,-6.00M,60.00M,60.00M,-68.00M,,-82.00M,-200.00M,-8.00M,292.00M,-66.00M,,-248.00M,,-29.00M,,2.898B,-1.615B,,1.254B,,2008-06,8.00M,-54.00M,32.00M,-935.00M,-903.00M,,,,,-43.00M,,,-1.00B,2008-06,452.00M,6.00M,8.00M,,2008-06,32.00M,15.00M,-69.00M,-935.00M,126.00M,,2008-06,AOR,Restated
2008-03,223.00M,,,,36.00M,14.00M,50.00M,50.00M,-30.00M,82.00M,82.00M,111.00M,,-268.00M,500.00M,-26.00M,-126.00M,191.00M,,516.00M,,-29.00M,,-46.00M,-92.00M,,-167.00M,,2008-03,58.00M,-111.00M,3.00M,-346.00M,-343.00M,,,,,-46.00M,,,-500.00M,2008-03,584.00M,-151.00M,19.00M,,2008-03,3.00M,348.00M,-459.00M,-346.00M,104.00M,,2008-03,AOR,Restated
2007-12,207.00M,,-24.00M,-77.00M,45.00M,11.00M,56.00M,56.00M,94.00M,52.00M,-96.00M,104.00M,-42.00M,328.00M,-77.00M,,-138.00M,127.00M,,363.00M,,-67.00M,-67.00M,-9.00M,-422.00M,,-498.00M,,2007-12,129.00M,368.00M,13.00M,40.00M,53.00M,,,,,-44.00M,,,377.00M,2007-12,321.00M,242.00M,21.00M,,2007-12,13.00M,339.00M,29.00M,40.00M,,,2007-12,AOR,Restated
