,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2016-12,1.314B,74.62B,62.00B,136.62B,3.53B,21.35B,24.88B,333.00M,171.10B,5.395B,5.395B,-3.333B,2.062B,5.814B,1.75B,7.564B,19.76B,53.00M,19.70B,100.55B,210.00M,130.22B,242.70B,,,,16.90B,16.90B,1.585B,1.585B,1.585B,22.89B,11.14B,293.00M,11.43B,187.16B,,198.59B,221.48B,,3.70B,17.46B,9.782B,7.682B,3.196B,,,-2.04B,21.22B,,AOR,Restated
2016-09,3.49B,107.18B,71.52B,178.70B,3.048B,817.00M,3.865B,363.00M,188.87B,5.313B,5.313B,-3.271B,2.042B,5.911B,1.849B,7.76B,21.50B,51.00M,21.45B,103.19B,215.00M,135.44B,256.14B,,,,17.58B,17.58B,1.385B,1.385B,1.385B,23.36B,11.83B,,11.83B,198.77B,31.00M,210.60B,233.96B,,3.70B,17.05B,9.778B,7.382B,3.196B,,,-993.00M,22.15B,,AOR,Restated
2016-06,4.673B,100.95B,72.74B,173.69B,3.36B,763.00M,4.123B,344.00M,188.95B,5.158B,5.158B,-3.164B,1.994B,5.671B,1.682B,7.353B,19.84B,51.00M,19.79B,106.27B,225.00M,135.83B,255.39B,,,,22.17B,22.17B,1.683B,1.683B,1.683B,28.23B,11.92B,,11.92B,193.13B,31.00M,205.05B,233.28B,,3.70B,16.69B,9.767B,7.083B,3.196B,,,-997.00M,22.07B,,AOR,Restated
2016-03,3.735B,91.96B,71.09B,163.05B,3.611B,506.00M,4.117B,385.00M,177.09B,6.878B,6.878B,-4.929B,1.949B,5.733B,1.749B,7.482B,19.19B,47.00M,19.14B,105.36B,221.00M,134.36B,243.68B,,,,20.39B,20.39B,1.683B,1.683B,1.683B,26.32B,10.32B,,10.32B,185.52B,32.00M,195.84B,222.16B,,3.207B,16.23B,9.739B,6.719B,2.703B,,,-964.00M,21.50B,,AOR,Restated
2015-12,1.207B,78.02B,70.07B,148.09B,3.364B,20.59B,23.95B,284.00M,180.50B,6.714B,6.714B,-4.82B,1.894B,5.671B,1.768B,7.439B,18.80B,46.00M,18.75B,102.90B,182.00M,131.46B,245.16B,,,,14.64B,14.64B,1.754B,1.754B,1.754B,20.90B,11.16B,334.00M,11.50B,191.63B,32.00M,203.12B,224.02B,,3.207B,16.05B,9.746B,6.457B,2.703B,,,-1.442B,21.10B,,AOR,Restated
2015-09,3.66B,95.20B,80.10B,175.29B,3.496B,613.00M,4.109B,309.00M,194.25B,6.752B,6.752B,-4.768B,1.984B,5.716B,1.82B,7.536B,19.07B,48.00M,19.02B,100.83B,187.00M,129.87B,247.27B,,,,15.80B,15.80B,3.761B,3.761B,3.761B,27.35B,12.02B,,12.02B,186.37B,32.00M,198.39B,225.74B,,3.207B,15.80B,9.742B,6.143B,2.703B,,,-1.101B,21.50B,,AOR,Restated
2015-06,3.084B,143.42B,85.31B,228.73B,3.221B,1.076B,4.297B,333.00M,242.98B,6.815B,6.815B,-4.78B,2.035B,5.729B,1.871B,7.60B,18.59B,43.00M,18.55B,104.86B,192.00M,133.67B,294.57B,,,,17.65B,17.65B,4.756B,4.756B,4.756B,33.40B,9.085B,,9.085B,230.59B,,239.68B,273.07B,,3.207B,15.39B,9.744B,5.83B,2.703B,,,-1.011B,21.50B,,AOR,Restated
2015-03,3.149B,108.82B,96.61B,205.43B,3.368B,759.00M,4.127B,376.00M,229.32B,6.586B,6.586B,-4.653B,1.933B,5.663B,1.892B,7.555B,18.32B,41.00M,18.28B,115.88B,189.00M,144.16B,279.48B,,,,23.61B,23.61B,4.346B,4.346B,4.346B,38.13B,9.174B,,9.174B,211.35B,,220.53B,258.66B,,2.465B,15.14B,9.744B,5.519B,1.961B,,,-1.006B,20.82B,,AOR,Restated
2014-12,1.855B,113.71B,94.91B,208.62B,2.755B,614.00M,3.369B,259.00M,222.57B,6.536B,6.536B,-4.599B,1.937B,5.826B,2.025B,7.851B,18.20B,38.00M,18.16B,115.36B,214.00M,143.84B,274.12B,,,,20.38B,20.38B,4.381B,4.381B,4.381B,33.71B,9.273B,769.00M,10.04B,209.04B,0.00,219.08B,252.79B,,2.465B,14.74B,9.791B,5.158B,1.961B,,,-507.00M,21.33B,,AOR,Restated
2014-09,4.146B,108.86B,96.55B,205.42B,3.161B,1.571B,4.732B,307.00M,221.77B,6.449B,6.449B,-4.538B,1.911B,5.899B,2.121B,8.02B,18.40B,34.00M,18.36B,118.09B,253.00M,146.94B,274.80B,,,,22.96B,22.96B,4.307B,4.307B,4.307B,36.66B,9.016B,,9.016B,207.97B,,216.98B,253.65B,,1.737B,14.53B,9.78B,4.785B,1.233B,,,-107.00M,21.16B,,AOR,Restated
2014-06,6.247B,121.36B,98.55B,219.90B,3.029B,875.00M,3.904B,315.00M,230.68B,6.54B,6.54B,-4.62B,1.92B,6.037B,2.247B,8.284B,16.80B,32.00M,16.77B,120.01B,244.00M,147.57B,282.32B,,,,19.25B,19.25B,4.322B,4.322B,4.322B,32.75B,9.037B,,9.037B,218.83B,,227.87B,260.62B,,1.737B,14.11B,9.765B,4.405B,1.233B,,,489.00M,21.70B,,AOR,Restated
2014-03,3.877B,93.37B,99.16B,192.54B,2.884B,864.00M,3.748B,359.00M,206.20B,6.417B,6.417B,-4.521B,1.896B,6.038B,2.306B,8.344B,16.11B,30.00M,16.08B,120.10B,249.00M,147.02B,256.66B,,,,18.46B,18.46B,3.811B,3.811B,3.811B,31.24B,9.503B,,9.503B,194.65B,,204.15B,235.39B,,1.737B,13.64B,9.737B,4.028B,1.233B,,,188.00M,21.27B,,AOR,Restated
2013-12,3.22B,81.36B,99.17B,180.53B,3.073B,532.00M,3.605B,286.00M,196.13B,6.277B,6.277B,-4.417B,1.86B,6.036B,2.36B,8.396B,13.49B,28.00M,13.46B,119.40B,263.00M,143.73B,243.29B,,,,19.19B,19.19B,3.78B,3.78B,3.78B,30.95B,8.911B,788.00M,9.699B,182.27B,,191.97B,222.91B,,995.00M,13.40B,9.776B,3.693B,491.00M,,,-95.00M,20.38B,,AOR,Restated
2013-09,3.896B,54.82B,99.98B,154.80B,1.109B,2.805B,3.914B,299.00M,169.16B,6.135B,6.135B,-4.319B,1.816B,6.006B,2.396B,8.402B,15.58B,22.00M,15.56B,119.06B,302.00M,145.67B,217.18B,,,,19.93B,19.93B,3.657B,3.657B,3.657B,33.80B,8.748B,,8.748B,154.20B,,162.95B,196.75B,,994.00M,12.96B,9.753B,3.166B,490.00M,,,-114.00M,20.43B,,AOR,Restated
2013-06,5.479B,62.68B,100.18B,162.86B,1.214B,4.261B,5.475B,297.00M,180.34B,5.971B,5.971B,-4.199B,1.772B,5.924B,2.406B,8.33B,16.43B,22.00M,16.41B,117.69B,315.00M,144.82B,227.30B,,,,19.33B,19.33B,3.277B,3.277B,3.277B,31.86B,8.841B,,8.841B,166.52B,,175.36B,207.22B,,994.00M,12.54B,9.713B,2.648B,490.00M,,,-523.00M,20.08B,,AOR,Restated
2013-03,4.708B,54.15B,103.84B,157.98B,634.00M,3.406B,4.04B,315.00M,175.55B,5.865B,5.865B,-4.109B,1.756B,5.912B,2.452B,8.364B,13.98B,22.00M,13.96B,119.52B,336.00M,144.13B,218.19B,,,,18.64B,18.64B,4.354B,4.354B,4.354B,35.10B,7.44B,,7.44B,154.78B,,162.22B,197.32B,,993.00M,12.09B,9.669B,2.134B,489.00M,,,251.00M,20.87B,,AOR,Restated
2012-12,2.59B,61.18B,109.68B,170.86B,2.481B,285.00M,2.766B,267.00M,183.46B,5.765B,5.765B,-4.037B,1.728B,5.977B,2.539B,8.516B,12.31B,22.00M,12.28B,123.10B,353.00M,146.45B,222.58B,,,,17.20B,17.20B,4.502B,4.502B,4.502B,30.10B,6.723B,706.00M,7.429B,164.18B,,171.61B,201.71B,,993.00M,11.75B,9.667B,1.902B,489.00M,,,360.00M,20.87B,,AOR,Restated
2012-09,,38.02B,,38.02B,,,1.933B,,48.21B,,5.675B,-3.955B,1.72B,5.65B,2.311B,7.961B,14.05B,22.00M,14.02B,116.10B,,156.31B,204.52B,,,,17.78B,17.78B,5.181B,5.181B,5.181B,31.07B,6.418B,,6.418B,146.29B,,152.71B,183.77B,,992.00M,11.39B,9.634B,1.455B,488.00M,,,186.00M,20.75B,,AOR,Restated
2012-06,,37.23B,,37.23B,,,1.914B,,47.29B,,5.544B,-3.842B,1.702B,5.611B,2.334B,7.945B,12.36B,22.00M,12.34B,114.79B,,153.49B,200.78B,,,,16.44B,16.44B,4.714B,4.714B,4.714B,30.72B,6.392B,,6.392B,143.77B,,150.16B,180.88B,,1.004B,10.85B,9.623B,1.039B,500.00M,,,-537.00M,19.90B,,AOR,Restated
2012-03,,28.09B,,28.09B,2.60B,206.00M,2.806B,332.00M,42.80B,,5.55B,-3.814B,1.736B,5.70B,2.443B,8.143B,12.28B,22.00M,12.25B,115.27B,402.00M,144.76B,187.96B,,,,16.68B,16.68B,4.759B,4.759B,4.759B,29.50B,8.117B,,8.117B,130.18B,,138.30B,167.80B,,1.004B,10.48B,9.546B,570.00M,500.00M,,,-299.00M,20.16B,,AOR,Restated
2011-12,2.193B,67.99B,99.83B,167.82B,431.00M,2.811B,3.242B,308.00M,184.78B,5.42B,5.42B,-3.673B,1.747B,5.645B,2.459B,8.104B,10.05B,22.00M,10.03B,110.92B,395.00M,131.48B,216.83B,,,,18.02B,18.02B,4.766B,4.766B,4.766B,32.01B,7.437B,694.00M,8.131B,157.29B,,165.42B,197.43B,,1.004B,10.18B,9.557B,680.00M,500.00M,,,-659.00M,19.40B,,AOR,Restated
2011-09,,45.97B,,45.97B,,,1.932B,,53.96B,,5.367B,-3.629B,1.738B,5.639B,2.486B,8.125B,11.74B,22.00M,11.72B,108.55B,,154.83B,208.80B,,,,20.39B,20.39B,9.17B,9.17B,9.17B,46.03B,8.112B,,8.112B,135.00B,,143.11B,189.14B,,1.004B,9.889B,9.528B,455.00M,500.00M,,,-315.00M,19.65B,,AOR,Restated
2011-06,,35.47B,,35.47B,1.871B,,1.871B,,39.26B,,5.433B,-3.58B,1.853B,5.748B,2.616B,8.364B,12.93B,54.00M,12.88B,108.34B,,151.19B,190.46B,,,,14.78B,14.78B,8.642B,8.642B,8.642B,35.67B,9.544B,,9.544B,125.41B,,134.95B,170.62B,,1.004B,9.43B,9.474B,234.00M,500.00M,,,160.00M,19.83B,,AOR,Restated
2011-03,,22.62B,,22.62B,,,1.85B,,26.72B,,5.368B,-3.523B,1.845B,5.72B,2.644B,8.364B,12.73B,80.00M,12.65B,104.78B,,145.07B,171.80B,,,,15.87B,15.87B,8.06B,8.06B,8.06B,35.67B,9.531B,,9.531B,107.41B,,116.94B,152.62B,,1.004B,9.013B,9.416B,15.00M,500.00M,,,-238.00M,19.18B,,AOR,Restated
2010-12,,25.54B,,25.54B,,,1.733B,,30.21B,,5.268B,-3.425B,1.843B,5.597B,2.593B,8.19B,11.96B,100.00M,11.86B,94.61B,,130.30B,160.50B,,,,11.78B,11.78B,8.694B,8.694B,8.694B,35.82B,8.55B,,8.55B,98.34B,,106.90B,142.72B,,502.00M,8.634B,9.356B,16.00M,,,,-689.00M,17.79B,,AOR,Restated
2010-06,,25.61B,,25.61B,,,1.727B,,30.09B,,5.063B,-3.224B,1.839B,5.38B,2.731B,8.111B,11.79B,102.00M,11.69B,98.30B,,131.99B,162.08B,,,,11.47B,11.47B,15.75B,15.75B,15.75B,41.73B,8.546B,,8.546B,95.74B,,104.29B,146.02B,,502.00M,8.015B,9.266B,17.00M,,,,-1.707B,16.06B,,AOR,Restated
2010-03,,26.37B,,26.37B,,,1.563B,,29.84B,,5.021B,-3.141B,1.88B,4.515B,1.768B,6.283B,12.34B,91.00M,12.24B,92.93B,,124.13B,153.97B,,,,9.616B,9.616B,16.51B,16.51B,16.51B,39.41B,8.815B,,8.815B,90.34B,,99.15B,138.56B,,502.00M,7.588B,9.222B,17.00M,,,,-1.885B,15.41B,,AOR,Restated
2009-12,,29.27B,,29.27B,,,1.497B,,33.16B,,4.999B,-3.046B,1.953B,4.55B,1.81B,6.36B,10.81B,79.00M,10.73B,93.72B,,124.79B,157.95B,,,,9.281B,9.281B,20.20B,20.20B,20.20B,44.56B,8.838B,,8.838B,90.06B,,98.90B,143.46B,,495.00M,7.071B,9.18B,17.00M,,,,-2.238B,14.49B,,AOR,Restated
2009-09,,32.51B,,32.51B,,,1.618B,,35.70B,,4.922B,-2.975B,1.947B,4.554B,1.845B,6.399B,11.46B,53.00M,11.41B,93.09B,,127.57B,163.28B,,,,11.66B,11.66B,20.72B,20.72B,20.72B,49.22B,8.845B,,8.845B,91.77B,,100.61B,149.84B,,495.00M,6.579B,9.159B,17.00M,,,,-2.776B,13.44B,,AOR,Restated
2009-06,,30.39B,,30.39B,,,1.549B,,37.22B,,4.975B,-2.861B,2.114B,4.547B,1.79B,6.337B,12.55B,,12.55B,80.83B,,116.20B,153.42B,,,,9.595B,9.595B,20.24B,20.24B,20.24B,46.76B,8.98B,,8.98B,85.58B,,94.56B,141.32B,,494.00M,6.255B,9.202B,20.00M,,,,-3.828B,12.10B,,AOR,Restated
2009-03,,38.44B,,38.44B,,,1.498B,,41.23B,,4.828B,-2.799B,2.029B,4.493B,1.809B,6.302B,7.644B,,7.644B,75.35B,,100.91B,142.14B,,,,7.789B,7.789B,16.39B,16.39B,16.39B,35.96B,8.405B,,8.405B,83.92B,,92.32B,128.29B,,2.324B,9.575B,6.964B,18.00M,1.889B,,,-4.987B,13.86B,,AOR,Restated
2008-12,,58.91B,,58.91B,,,1.738B,,62.29B,,4.769B,-2.758B,2.011B,4.527B,1.851B,6.378B,9.113B,,9.113B,76.83B,,111.34B,173.63B,,,,14.38B,14.38B,17.60B,17.60B,17.60B,44.21B,4.419B,,4.419B,112.22B,,116.64B,160.86B,,2.315B,9.135B,6.992B,18.00M,1.883B,,,-5.65B,12.77B,,,Restated
2008-09,,76.69B,,76.69B,,,1.915B,,89.71B,,,,1.987B,,,6.406B,17.45B,18.00M,17.43B,155.82B,,195.86B,285.56B,,2.443B,2.443B,,2.443B,80.92B,80.92B,80.92B,102.62B,4.106B,,4.106B,150.87B,,154.98B,272.50B,,432.00M,9.002B,6.793B,17.00M,,223.00M,-3.369B,-3.146B,13.06B,,,Restated
2008-06,,25.22B,,25.22B,,,2.076B,,43.02B,,,,1.992B,,,6.49B,14.68B,18.00M,14.67B,72.02B,,103.20B,146.22B,,2.877B,2.877B,,2.877B,4.306B,4.306B,4.306B,24.26B,4.127B,,4.127B,97.25B,,101.37B,132.18B,,432.00M,8.629B,6.712B,18.00M,,443.00M,-2.159B,-1.716B,14.04B,,,Restated
2008-03,,19.89B,,19.89B,2.09B,,2.09B,,45.23B,,,,1.965B,,,6.486B,14.90B,18.00M,14.89B,73.35B,,109.12B,154.35B,,2.792B,2.792B,,2.792B,6.371B,6.371B,6.371B,23.83B,4.162B,,4.162B,104.71B,,108.87B,143.54B,,398.00M,8.185B,4.455B,574.00M,,452.00M,-2.11B,-1.658B,10.81B,,,
2007-12,,10.31B,,10.31B,,,2.096B,,36.08B,,,,1.894B,,,6.557B,15.80B,18.00M,15.78B,75.55B,,106.46B,142.54B,,4.392B,4.392B,,4.392B,5.557B,5.557B,5.557B,25.02B,3.636B,,3.636B,95.79B,,99.42B,131.24B,,398.00M,7.745B,4.63B,899.00M,,331.00M,-906.00M,-575.00M,11.30B,,,
2007-09,,11.17B,,11.17B,,,1.883B,,31.78B,,,,1.824B,,,6.595B,11.31B,18.00M,11.29B,78.39B,,108.11B,139.89B,,3.953B,3.953B,,3.953B,4.802B,4.802B,4.802B,23.08B,3.616B,,3.616B,93.00B,,96.62B,128.64B,,398.00M,7.61B,4.616B,1.005B,,308.00M,-677.00M,-369.00M,11.25B,,,
2007-06,,9.467B,,9.467B,1.671B,,1.671B,,21.91B,,,,1.725B,1.853B,593.00M,2.446B,12.07B,18.00M,12.05B,67.90B,,90.36B,112.27B,,3.204B,3.204B,,3.204B,3.50B,3.50B,3.50B,22.53B,4.09B,,4.09B,73.04B,,77.13B,104.52B,,337.00M,7.339B,365.00M,17.00M,,,,-276.00M,7.748B,,AOR,
2007-03,,8.049B,,8.049B,,,1.627B,,21.83B,,,,1.68B,,,2.411B,10.16B,18.00M,10.14B,68.93B,,88.17B,110.00B,,2.90B,2.90B,,2.90B,3.629B,3.629B,3.629B,28.90B,2.613B,,2.613B,66.60B,,69.21B,102.54B,,337.00M,7.046B,311.00M,80.00M,,209.00M,-356.00M,-147.00M,7.467B,,,
2006-12,,7.604B,,7.604B,,,1.617B,,23.90B,,,,1.56B,,,1.818B,8.946B,18.00M,8.928B,65.78B,,83.45B,107.35B,,3.143B,3.143B,,3.143B,2.835B,2.835B,2.835B,27.27B,2.616B,,2.616B,65.65B,,68.26B,100.10B,,337.00M,7.03B,399.00M,290.00M,,197.00M,-421.00M,-224.00M,7.252B,,,
2006-09,,12.25B,,12.25B,,,1.544B,,27.70B,,,,1.551B,,,1.828B,9.224B,18.00M,9.206B,66.87B,,84.61B,112.31B,,2.94B,2.94B,,2.94B,2.658B,2.658B,2.658B,35.17B,2.62B,,2.62B,63.45B,,66.07B,105.30B,,337.00M,6.791B,368.00M,368.00M,,155.00M,-268.00M,-113.00M,7.015B,,,
2006-06,,12.21B,,12.21B,,,1.468B,,24.47B,,,,1.541B,,,1.822B,8.708B,18.00M,8.69B,60.60B,,78.07B,102.54B,,2.653B,2.653B,,2.653B,1.351B,1.351B,1.351B,25.21B,2.599B,,2.599B,63.56B,,66.15B,96.07B,,337.00M,6.579B,308.00M,378.00M,,,,-377.00M,6.469B,,,Restated
2006-03,,13.88B,,13.88B,,,1.323B,,26.26B,,,,1.553B,,,1.787B,8.959B,18.00M,8.941B,61.09B,,77.90B,104.16B,,2.501B,2.501B,,2.501B,1.56B,1.56B,1.56B,28.89B,2.617B,,2.617B,61.80B,,64.42B,97.74B,,337.00M,6.418B,238.00M,230.00M,,,,-350.00M,6.413B,,,
2005-12,,13.96B,,13.96B,,,1.364B,,24.00B,,,,1.453B,,,1.796B,6.482B,18.00M,6.464B,60.63B,,73.97B,97.97B,,2.632B,2.632B,,2.632B,1.219B,1.219B,1.219B,25.95B,2.659B,,2.659B,59.65B,,62.30B,91.60B,,337.00M,6.189B,266.00M,194.00M,,73.00M,-304.00M,-231.00M,6.367B,,,
