,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,1.58B,-47.00M,-793.00M,89.00M,44.00M,133.00M,133.00M,,1.729B,,3.284B,,,,,-6.319B,-568.00M,-3.855B,,-107.00M,-6.872B,-6.979B,1.00M,0.00,1.00M,,,,-635.00M,-72.00M,-707.00M,,-7.774B,,52.39B,-8.345B,44.05B,,1.00M,1.481B,-1.588B,0.00,,AOR,
2020-06,689.00M,-107.00M,-671.00M,88.00M,43.00M,131.00M,131.00M,,-2.739B,,-853.00M,,,,,-3.878B,687.00M,4.264B,,-9.814B,-5.749B,-15.56B,1.00M,0.00,1.00M,,,,-635.00M,-79.00M,-714.00M,,2.176B,,46.80B,5.587B,52.39B,,1.00M,1.53B,-11.34B,0.00,,AOR,
2020-03,1.171B,-120.00M,-423.00M,87.00M,42.00M,129.00M,129.00M,,484.00M,,2.354B,,,,,628.00M,-1.085B,-22.26B,,11.12B,2.621B,13.74B,9.00M,-1.66B,-1.651B,,,,-647.00M,-71.00M,-718.00M,,44.30B,,22.40B,24.40B,46.80B,,9.00M,11.27B,-156.00M,-1.66B,,AOR,
2019-12,1.486B,-118.00M,-376.00M,86.00M,44.00M,130.00M,130.00M,,-1.697B,,-62.00M,,,,,-1.505B,-403.00M,-189.00M,,-963.00M,9.144B,8.181B,37.00M,-2.293B,-2.256B,,,,-663.00M,-79.00M,-742.00M,,7.384B,,15.27B,7.133B,22.40B,,37.00M,1.931B,-2.894B,-2.293B,,AOR,
2019-09,1.908B,-142.00M,-398.00M,85.00M,42.00M,127.00M,127.00M,,1.042B,,3.046B,,,,,-5.224B,-904.00M,-9.499B,,133.00M,-453.00M,-320.00M,27.00M,-791.00M,-764.00M,,,,-589.00M,-72.00M,-661.00M,,4.793B,,16.93B,-1.66B,15.27B,,27.00M,2.358B,-2.225B,-791.00M,,AOR,Restated
2019-06,1.821B,-109.00M,-252.00M,83.00M,42.00M,125.00M,125.00M,,-1.45B,,609.00M,,,,,-465.00M,114.00M,-5.328B,,267.00M,-364.00M,-97.00M,9.00M,-793.00M,-784.00M,,,,-594.00M,-79.00M,-673.00M,,3.536B,,18.12B,-1.183B,16.93B,,9.00M,2.61B,-2.343B,-793.00M,,AOR,Restated
2019-03,1.699B,-100.00M,-205.00M,80.00M,40.00M,120.00M,120.00M,,-695.00M,,1.296B,,,,,-1.478B,-102.00M,-6.544B,,-657.00M,1.257B,600.00M,15.00M,-648.00M,-633.00M,,,,-597.00M,-72.00M,-669.00M,,1.91B,,21.45B,-3.338B,18.12B,,15.00M,3.00B,-3.657B,-648.00M,,AOR,Restated
2018-12,1.856B,-201.00M,-265.00M,80.00M,41.00M,121.00M,121.00M,,570.00M,,2.65B,,,,,-496.00M,383.00M,-4.757B,,394.00M,-9.729B,-9.335B,13.00M,-818.00M,-805.00M,0.00,,0.00,-603.00M,-76.00M,-679.00M,,3.478B,,20.08B,1.371B,21.45B,,13.00M,1.996B,-1.602B,-818.00M,,AOR,Restated
2018-09,1.815B,-106.00M,-236.00M,77.00M,41.00M,118.00M,118.00M,,1.185B,,3.225B,,,,,1.013B,-91.00M,-2.051B,,3.759B,5.732B,9.491B,28.00M,-738.00M,-710.00M,565.00M,,565.00M,-493.00M,-64.00M,-557.00M,,-113.00M,,19.02B,1.061B,20.08B,,593.00M,3.852B,-93.00M,-738.00M,,AOR,Restated
2018-06,1.75B,-125.00M,-263.00M,75.00M,40.00M,115.00M,115.00M,,1.326B,,3.255B,,,,,-892.00M,-251.00M,-2.251B,,4.024B,433.00M,4.457B,5.00M,-678.00M,-673.00M,,,,-497.00M,-70.00M,-567.00M,,-1.229B,,19.25B,-225.00M,19.02B,,5.00M,4.12B,-96.00M,-678.00M,,AOR,Restated
