,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,432.00M,,,,14.00M,75.00M,,,,394.00M,147.00M,,17.00M,-9.00M,49.00M,-109.00M,,251.00M,-13.00M,,,1.237B,,2020-09,-436.00M,,,,,,-407.00M,,2020-09,73.00M,73.00M,,,,,,0.00,,2.00M,21.00M,96.00M,,1.729B,926.00M,2.655B,,2020-09,,1.651B,,,2020-09,AOR,
2020-06,124.00M,,,,27.00M,36.00M,,,,358.00M,90.00M,,16.00M,-155.00M,-122.00M,14.00M,,45.00M,85.00M,,,491.00M,,2020-06,-527.00M,,,,,,-480.00M,,2020-06,-178.00M,-178.00M,,,,,,0.00,,0.00,29.00M,-149.00M,,1.867B,-138.00M,1.729B,,2020-06,,107.00M,,,2020-06,AOR,
2020-03,-549.00M,,,,18.00M,61.00M,,,,341.00M,-118.00M,,27.00M,81.00M,205.00M,154.00M,,-151.00M,-89.00M,,,-38.00M,,2020-03,-610.00M,,,,,,-546.00M,,2020-03,236.00M,236.00M,,,,,,-73.00M,,-4.00M,14.00M,173.00M,,2.278B,-411.00M,1.867B,,2020-03,,1.478B,,,2020-03,AOR,
2019-12,40.00M,,,,29.00M,-375.00M,,,,391.00M,-12.00M,,11.00M,-19.00M,-91.00M,35.00M,,86.00M,45.00M,,,170.00M,,2019-12,-735.00M,,,,,,-278.00M,,2019-12,-82.00M,-82.00M,,,,,,-73.00M,,7.00M,22.00M,-126.00M,,2.512B,-234.00M,2.278B,,2019-12,,198.00M,,,2019-12,AOR,
2019-09,-234.00M,,,,26.00M,59.00M,,,,322.00M,23.00M,,12.00M,35.00M,-46.00M,-30.00M,,61.00M,41.00M,,,224.00M,,2019-09,-666.00M,,,,,,-658.00M,,2019-09,-1.00M,-1.00M,,,,,,-72.00M,,-1.00M,14.00M,-60.00M,,3.006B,-494.00M,2.512B,,2019-09,,1.353B,,,2019-09,AOR,Restated
2019-06,-74.00M,,,,27.00M,35.00M,,,,352.00M,15.00M,,11.00M,-89.00M,237.00M,62.00M,,73.00M,-68.00M,,,554.00M,,2019-06,-629.00M,,,,,,-621.00M,,2019-06,7.00M,7.00M,,,,,,-73.00M,,1.00M,26.00M,-39.00M,,3.112B,-106.00M,3.006B,,2019-06,,214.00M,,,2019-06,AOR,Restated
2019-03,76.00M,,,,26.00M,-1.00M,,,,347.00M,33.00M,,29.00M,106.00M,19.00M,192.00M,,-309.00M,42.00M,,,534.00M,,2019-03,-622.00M,,,,,,-546.00M,,2019-03,-1.242B,-1.242B,,,,,,-73.00M,,-7.00M,-9.00M,-1.331B,,4.455B,-1.343B,3.112B,,2019-03,,114.00M,,,2019-03,AOR,Restated
2018-12,374.00M,,,,22.00M,-59.00M,,,,403.00M,-63.00M,,6.00M,-167.00M,328.00M,-211.00M,,-607.00M,-12.00M,,-54.00M,-62.00M,,2018-12,-489.00M,,,91.00M,,,-3.546B,,2018-12,-150.00M,-150.00M,,,,,,-73.00M,,-4.00M,-33.00M,3.24B,,4.823B,-368.00M,4.455B,,2018-12,,157.00M,,,2018-12,AOR,Restated
2018-09,668.00M,,,,21.00M,-49.00M,,,,458.00M,141.00M,,10.00M,-56.00M,12.00M,142.00M,,-99.00M,4.00M,,16.00M,1.247B,,2018-09,-512.00M,,,-5.00M,,,-502.00M,,2018-09,10.00M,10.00M,,,,,,-72.00M,,-1.00M,0.00,-63.00M,,4.141B,682.00M,4.823B,,2018-09,,123.00M,,,2018-09,AOR,Restated
2018-06,1.039B,,,,20.00M,-34.00M,,,,442.00M,39.00M,,11.00M,-12.00M,173.00M,-326.00M,,-61.00M,22.00M,,16.00M,1.309B,,2018-06,-478.00M,0.00,0.00,4.00M,,,-478.00M,,2018-06,-434.00M,-434.00M,,,,,,-73.00M,,2.00M,-184.00M,-689.00M,,3.999B,142.00M,4.141B,,2018-06,,230.00M,,,2018-06,AOR,Restated
