,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-10,,2.18B,,2.18B,1.61B,,1.61B,8.935B,7.478B,1.678B,,12.95B,,,,,28.74B,,,28.74B,,28.74B,3.076B,1.012B,4.088B,2.686B,35.52B,48.46B,,7.355B,7.355B,1.236B,8.591B,,1.595B,1.595B,669.00M,2.264B,,,,4.662B,15.52B,11.92B,6.482B,18.41B,1.682B,1.682B,543.00M,-26.00M,2.272B,22.90B,38.42B,,1.918B,23.23B,3.42B,17.88B,-621.00M,10.07B,,AOR,
2020-08,,2.82B,,2.82B,1.526B,,1.526B,7.778B,6.344B,1.596B,,12.29B,,,,,28.70B,,,28.70B,,28.70B,3.076B,1.029B,4.105B,2.449B,35.26B,47.54B,,6.871B,6.871B,1.267B,8.138B,,1.096B,1.096B,666.00M,1.762B,,,,4.678B,14.58B,12.39B,6.478B,18.86B,1.634B,1.634B,578.00M,-27.00M,2.096B,23.17B,37.75B,,1.918B,22.74B,3.379B,17.57B,-651.00M,9.82B,,,
2020-04,,2.726B,,2.726B,1.552B,,1.552B,7.708B,6.297B,1.60B,,12.18B,,,,,28.62B,,,28.62B,,28.62B,3.076B,1.044B,4.12B,2.026B,34.77B,46.94B,,7.132B,7.132B,1.302B,8.434B,,1.095B,1.095B,669.00M,1.764B,,,,4.473B,14.67B,12.38B,6.503B,18.88B,1.532B,1.532B,591.00M,-28.00M,1.941B,22.94B,37.61B,,1.918B,22.06B,3.397B,17.36B,-658.00M,9.356B,,AOR,
2020-01,,399.00M,,399.00M,1.706B,,1.706B,8.464B,7.084B,1.701B,,10.89B,0.00,3.299B,12.55B,15.03B,6.814B,3.166B,11.80B,52.66B,-23.98B,28.68B,3.076B,1.066B,4.142B,1.539B,34.37B,45.26B,,6.349B,6.349B,1.168B,7.517B,,1.926B,1.926B,636.00M,2.562B,,,,4.164B,14.24B,11.33B,7.286B,18.62B,1.466B,1.466B,608.00M,-29.00M,1.75B,22.44B,36.68B,,1.918B,20.98B,3.337B,16.99B,-640.00M,8.602B,,AOR,
2019-10,,545.00M,,545.00M,1.60B,,1.60B,8.757B,7.412B,1.468B,,11.02B,,,,,28.65B,,,28.65B,,28.65B,3.076B,1.086B,4.162B,1.558B,34.37B,45.39B,,6.867B,6.867B,1.087B,7.954B,,1.367B,1.367B,723.00M,2.09B,,,,4.074B,14.12B,11.31B,7.365B,18.68B,1.517B,1.517B,471.00M,-187.00M,1.883B,22.55B,36.66B,,1.918B,20.78B,3.296B,16.58B,-495.00M,8.915B,,AOR,Restated
2019-07,,629.00M,,629.00M,1.567B,,1.567B,7.847B,6.526B,1.418B,,10.14B,,,,,28.68B,,,28.68B,,28.68B,3.095B,1.103B,4.198B,1.443B,34.32B,44.46B,,6.268B,6.268B,1.099B,7.367B,,1.305B,1.305B,723.00M,2.028B,,,,3.955B,13.35B,11.30B,7.293B,18.59B,1.502B,1.502B,482.00M,-58.00M,1.882B,22.46B,35.81B,,1.918B,20.65B,3.27B,16.59B,-537.00M,8.711B,,AOR,Restated
2019-04,,409.00M,,409.00M,1.56B,,1.56B,7.998B,6.707B,1.486B,,10.16B,,,,,28.48B,,,28.48B,,28.48B,3.087B,1.123B,4.21B,1.467B,34.16B,44.32B,,6.423B,6.423B,1.078B,7.501B,,1.453B,1.453B,682.00M,2.135B,,,,3.939B,13.58B,12.02B,6.42B,18.44B,1.484B,1.484B,485.00M,-49.00M,1.807B,22.21B,35.79B,,1.918B,20.48B,3.287B,16.61B,-492.00M,8.581B,,AOR,Restated
2019-01,,429.00M,,429.00M,1.589B,,1.589B,8.123B,6.846B,1.773B,,10.80B,0.00,3.254B,12.24B,14.28B,,2.716B,11.37B,43.86B,-22.23B,21.64B,3.087B,1.258B,4.345B,1.335B,27.32B,38.12B,,6.059B,6.059B,1.227B,7.286B,,3.103B,3.103B,54.00M,3.157B,,,,3.831B,14.27B,11.25B,824.00M,12.07B,1.562B,1.562B,494.00M,-51.00M,1.881B,16.01B,30.28B,,1.918B,19.68B,3.245B,16.61B,-346.00M,7.886B,,AOR,Restated
2018-10,,429.00M,,429.00M,1.51B,,1.51B,8.368B,7.083B,1.559B,,10.75B,,,,,21.52B,,,21.52B,,21.52B,3.087B,1.201B,4.288B,1.585B,27.39B,38.14B,,6.505B,6.505B,1.07B,7.575B,,,3.371B,,3.371B,,,,3.85B,14.80B,11.65B,,11.65B,1.738B,1.738B,601.00M,-42.00M,1.749B,15.74B,30.53B,,1.918B,19.54B,3.209B,16.61B,-402.00M,7.652B,,AOR,Restated
2018-07,,361.00M,,361.00M,1.488B,,1.488B,7.515B,6.241B,1.477B,,9.746B,,,,,21.32B,,,21.32B,,21.32B,3.087B,1.218B,4.305B,1.59B,27.21B,36.96B,,5.933B,5.933B,1.108B,7.041B,,,2.411B,,2.411B,,,,3.897B,13.35B,12.12B,,12.12B,1.667B,1.667B,787.00M,-36.00M,1.695B,16.27B,29.62B,,1.918B,19.33B,3.18B,16.60B,-450.00M,7.374B,,AOR,Restated
