,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-10,29.72B,29.72B,22.90B,6.822B,5.399B,5.399B,,205.00M,0.00,129.00M,-129.00M,,6.03B,792.00M,129.00M,-129.00M,171.00M,-129.00M,834.00M,202.00M,632.00M,,,-1.00M,631.00M,508.20M,1.739B,776.00M,963.00M,,0.81,,,,0.6509,0.81,,0.80,,,,0.6426,0.80,,772.00M,780.00M,0.18,,AOR,
2020-07,30.49B,30.49B,23.55B,6.938B,5.501B,5.501B,,204.00M,,135.00M,-135.00M,,6.118B,820.00M,135.00M,-135.00M,376.00M,-135.00M,1.061B,241.00M,820.00M,,,-1.00M,819.00M,534.54M,1.956B,760.00M,1.196B,,1.04,,,,0.6739,1.04,,1.03,,,,0.6681,1.03,,777.00M,786.00M,0.16,,AOR,
2020-04,41.55B,41.55B,31.45B,10.10B,7.944B,7.944B,,273.00M,0.00,174.00M,-174.00M,,8.769B,1.326B,174.00M,-174.00M,433.00M,-174.00M,1.585B,373.00M,1.212B,,,0.00,1.212B,889.17M,2.777B,1.018B,1.759B,,1.53,,,,1.116,1.53,,1.52,,,,1.110,1.52,,780.00M,788.00M,0.16,,AOR,
2020-01,28.89B,28.89B,22.51B,6.386B,5.194B,5.194B,,209.00M,0.00,140.00M,-140.00M,,5.849B,537.00M,140.00M,-140.00M,-7.00M,-140.00M,390.00M,71.00M,319.00M,,,8.00M,327.00M,334.36M,1.331B,801.00M,530.00M,,0.40,,,,0.4092,0.40,,0.40,,,,0.4091,0.40,,796.00M,805.00M,0.16,,AOR,
2019-10,27.97B,27.97B,21.80B,6.176B,5.298B,5.298B,,201.00M,0.00,137.00M,-137.00M,,5.922B,254.00M,137.00M,-137.00M,105.00M,-137.00M,222.00M,79.00M,143.00M,,,120.00M,263.00M,194.74M,1.131B,772.00M,359.00M,,0.32,,,,0.2349,0.32,,0.32,,,,0.2354,0.32,,802.00M,807.00M,0.16,,AOR,Restated
2019-07,28.17B,28.17B,22.01B,6.161B,5.011B,5.011B,,200.00M,,130.00M,-130.00M,,5.602B,559.00M,130.00M,-130.00M,-49.00M,-130.00M,380.00M,93.00M,287.00M,,,10.00M,297.00M,330.98M,1.25B,740.00M,510.00M,,0.37,,,,0.4125,0.37,,0.37,,,,0.4122,0.37,,800.00M,805.00M,0.14,,AOR,Restated
2019-04,37.25B,37.25B,28.98B,8.268B,6.588B,6.588B,,274.00M,176.00M,197.00M,-197.00M,,7.367B,901.00M,197.00M,-197.00M,285.00M,-197.00M,989.00M,226.00M,763.00M,,,9.00M,772.00M,554.30M,2.162B,976.00M,1.186B,,0.96,,,,0.6872,0.96,,0.95,,,,0.6796,0.95,,798.00M,805.00M,0.14,,AOR,Restated
2019-01,28.29B,28.29B,21.96B,6.33B,5.36B,5.36B,,204.00M,0.00,141.00M,-141.00M,,5.941B,389.00M,141.00M,-141.00M,69.00M,-141.00M,317.00M,66.00M,251.00M,,,8.00M,259.00M,198.82M,1.039B,581.00M,458.00M,,0.32,,,,0.2446,0.32,,0.32,,,,0.2453,0.32,,798.00M,806.00M,0.14,,AOR,Restated
2018-10,27.83B,27.83B,21.75B,6.078B,4.861B,4.861B,,200.00M,0.00,142.00M,-142.00M,,5.431B,647.00M,142.00M,-142.00M,-106.00M,-142.00M,399.00M,91.00M,308.00M,,,9.00M,317.00M,394.20M,1.111B,569.00M,541.00M,,0.39,,,,0.4869,0.39,,0.39,,,,0.4857,0.39,,797.00M,807.00M,0.14,,AOR,Restated
2018-07,28.01B,28.01B,21.98B,6.038B,4.915B,4.915B,,204.00M,11.00M,144.00M,-144.00M,,5.489B,549.00M,144.00M,-144.00M,223.00M,-144.00M,628.00M,127.00M,501.00M,,,7.00M,508.00M,326.91M,1.346B,574.00M,772.00M,,0.63,,,,0.4028,0.63,,0.62,,,,0.3950,0.62,,797.00M,805.00M,0.125,,AOR,Restated
