,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,64.00M,,-35.00M,,0.00,-35.00M,,,39.00M,39.00M,10.00M,,3.00M,20.00M,,19.00M,8.00M,,-207.00M,-41.00M,0.00,-233.00M,,-113.00M,,2020-09,-2.00M,118.00M,116.00M,,0.00,134.00M,,2020-09,0.00,,0.00,,-5.00M,-5.00M,-82.00M,-82.00M,-7.00M,-86.00M,,2020-09,-65.00M,1.00M,1.009B,,2020-09,,750.00M,-5.00M,,,2020-09,AOR,
2020-06,118.00M,,,,0.00,-20.00M,,,46.00M,46.00M,20.00M,,85.00M,25.00M,,30.00M,5.00M,,-116.00M,62.00M,-17.00M,-134.00M,,170.00M,,2020-06,-1.00M,,-1.00M,,-5.00M,23.00M,,2020-06,-1.179B,,-1.179B,,0.00,0.00,-105.00M,-105.00M,-23.00M,-1.305B,,2020-06,-1.112B,8.00M,1.073B,,2020-06,,,0.00,,,2020-06,AOR,
2020-03,231.00M,-5.684B,,,0.00,-262.00M,,,54.00M,54.00M,2.00M,,42.00M,42.00M,,-23.00M,46.00M,,-1.753B,13.00M,-182.00M,-1.852B,,-1.766B,,2020-03,-3.00M,0.00,-3.00M,10.92B,-10.56B,388.00M,,2020-03,-1.112B,,-1.112B,,-677.00M,-677.00M,-7.304B,-7.304B,-7.00M,-9.086B,,2020-03,-10.46B,-8.00M,2.177B,,2020-03,,0.00,-677.00M,,,2020-03,AOR,
2019-12,2.845B,-379.00M,,,9.00M,-5.792B,,,56.00M,56.00M,721.00M,,28.00M,120.00M,,29.00M,426.00M,,2.102B,-89.00M,66.00M,2.392B,,399.00M,,2019-12,-10.00M,,-10.00M,378.00M,10.57B,10.95B,,2019-12,-2.00M,,-2.00M,,-345.00M,-345.00M,-79.00M,-79.00M,2.00M,-403.00M,,2019-12,10.95B,4.00M,12.65B,,2019-12,,300.00M,-345.00M,,,2019-12,AOR,
2019-09,785.00M,,0.00,,11.00M,11.00M,,,93.00M,93.00M,-677.00M,,1.00M,70.00M,,17.00M,-159.00M,,-78.00M,-10.00M,70.00M,-119.00M,,181.00M,,2019-09,-27.00M,0.00,-27.00M,,0.00,1.00M,,2019-09,0.00,,0.00,,0.00,0.00,-47.00M,-47.00M,-13.00M,-9.00M,,2019-09,173.00M,-8.00M,1.697B,,2019-09,,0.00,0.00,,,2019-09,AOR,Restated
2019-06,26.00M,,,,11.00M,11.00M,,,158.00M,158.00M,-30.00M,,3.00M,80.00M,,13.00M,270.00M,,51.00M,5.00M,-55.00M,64.00M,,325.00M,,2019-06,-49.00M,,-49.00M,,-5.00M,38.00M,,2019-06,0.00,,0.00,,-559.00M,-559.00M,-51.00M,-51.00M,-52.00M,-625.00M,,2019-06,-262.00M,3.00M,1.532B,,2019-06,,,-559.00M,,,2019-06,AOR,Restated
2019-03,34.00M,0.00,,,17.00M,17.00M,,,158.00M,158.00M,-52.00M,,2.00M,87.00M,,18.00M,16.00M,,55.00M,-27.00M,74.00M,283.00M,,547.00M,,2019-03,-54.00M,0.00,-54.00M,-139.00M,-7.00M,-180.00M,,2019-03,,,,,-234.00M,-234.00M,-48.00M,-48.00M,-9.00M,-880.00M,,2019-03,-513.00M,-5.00M,1.791B,,2019-03,,,-234.00M,,,2019-03,AOR,Restated
2018-12,65.00M,0.00,,,24.00M,24.00M,,,152.00M,152.00M,-21.00M,,1.00M,55.00M,,10.00M,-189.00M,,97.00M,-54.00M,7.00M,91.00M,,377.00M,,2018-12,-58.00M,26.00M,-32.00M,-24.00M,-5.00M,-41.00M,,2018-12,,,,,,,-59.00M,-59.00M,-115.00M,-172.00M,,2018-12,164.00M,-2.00M,2.309B,,2018-12,,,,,,2018-12,AOR,Restated
2018-09,-3.00M,,,,34.00M,34.00M,,,153.00M,153.00M,45.00M,,3.00M,97.00M,,5.00M,-35.00M,,-97.00M,60.00M,-8.00M,-94.00M,,240.00M,,2018-09,-51.00M,,-51.00M,-12.00M,-2.00M,-30.00M,,2018-09,,,,,0.00,0.00,-50.00M,-50.00M,-11.00M,-59.00M,,2018-09,151.00M,-5.00M,2.147B,,2018-09,,,0.00,,,2018-09,AOR,Restated
2018-06,-65.00M,,,,26.00M,26.00M,,,152.00M,152.00M,-42.00M,,4.00M,113.00M,,-47.00M,321.00M,,18.00M,-5.00M,39.00M,190.00M,,331.00M,,2018-06,-44.00M,,-44.00M,-5.00M,-5.00M,10.00M,,2018-06,,,,,0.00,0.00,-60.00M,-60.00M,-42.00M,-98.00M,,2018-06,243.00M,-16.00M,2.001B,,2018-06,,,0.00,,,2018-06,AOR,Restated
