,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.514B,,2.514B,2.099B,,2.099B,889.00M,370.00M,1.322B,,2.581B,,,864.00M,8.058B,,,,,,,29.32B,-13.87B,15.45B,2.427B,1.332B,3.759B,354.00M,,1.173B,30.27B,,2020-09,1.176B,194.00M,1.37B,,1.37B,,,256.00M,256.00M,89.00M,345.00M,313.00M,313.00M,1.32B,3.849B,7.822B,606.00M,8.428B,247.00M,1.594B,131.00M,197.00M,,1.077B,,2020-09,3.161B,16.06B,14.49B,19.93B,2.30B,,,-1.134B,12.66B,,2020-09,AOR,
2020-06,2.158B,,2.158B,1.712B,,1.712B,883.00M,408.00M,944.00M,,2.235B,,,741.00M,6.846B,,,,,,,28.17B,-13.48B,14.69B,1.925B,1.072B,2.997B,329.00M,,1.266B,27.55B,,2020-06,1.109B,116.00M,1.225B,,1.225B,,,12.00M,12.00M,79.00M,91.00M,192.00M,192.00M,1.044B,3.02B,7.797B,611.00M,8.408B,273.00M,1.641B,85.00M,84.00M,,1.11B,,2020-06,3.16B,15.85B,14.40B,19.92B,2.30B,,,-1.432B,12.05B,,2020-06,AOR,
2020-03,2.025B,,2.025B,1.708B,,1.708B,924.00M,432.00M,991.00M,,2.347B,,,866.00M,6.946B,,,,,,,28.12B,-13.19B,14.93B,1.918B,1.149B,3.067B,320.00M,,1.181B,27.86B,,2020-03,1.25B,169.00M,1.419B,,1.419B,,,12.00M,12.00M,75.00M,87.00M,192.00M,192.00M,1.028B,3.191B,7.815B,560.00M,8.375B,251.00M,1.641B,150.00M,89.00M,,1.057B,,2020-03,3.159B,16.11B,14.34B,19.92B,2.30B,,,-1.497B,12.20B,,2020-03,AOR,
2019-12,2.434B,,2.434B,1.836B,,1.836B,926.00M,421.00M,973.00M,,2.32B,33.00M,,683.00M,7.463B,0.00,452.00M,6.023B,19.10B,504.00M,2.757B,28.84B,-13.00B,15.84B,1.935B,1.185B,3.12B,334.00M,92.00M,1.157B,28.90B,,2019-12,1.587B,182.00M,1.769B,,1.769B,,,11.00M,11.00M,62.00M,73.00M,104.00M,104.00M,1.01B,3.521B,7.729B,450.00M,8.179B,325.00M,1.651B,165.00M,90.00M,,1.133B,,2019-12,3.159B,16.41B,14.32B,19.81B,2.30B,,,-1.171B,12.91B,,2019-12,AOR,
2019-09,971.00M,,971.00M,2.024B,,2.024B,942.00M,431.00M,964.00M,,2.337B,,,824.00M,6.156B,,,,,,,27.81B,-12.73B,15.08B,1.924B,1.206B,3.13B,339.00M,,1.109B,27.33B,,2019-09,1.447B,183.00M,1.63B,,1.63B,,,305.00M,305.00M,61.00M,366.00M,,,1.093B,3.60B,6.225B,448.00M,6.673B,289.00M,1.548B,271.00M,100.00M,,963.00M,,2019-09,3.159B,16.56B,14.30B,19.59B,2.30B,,,-1.387B,13.03B,,2019-09,AOR,Restated
2019-06,1.178B,,1.178B,2.103B,,2.103B,868.00M,424.00M,999.00M,,2.291B,,,739.00M,6.311B,,,,,,,27.64B,-12.51B,15.14B,1.938B,1.24B,3.178B,344.00M,,1.053B,27.58B,,2019-06,1.297B,149.00M,1.446B,,1.446B,,,455.00M,455.00M,61.00M,516.00M,,,1.016B,3.416B,6.08B,452.00M,6.532B,326.00M,1.542B,345.00M,96.00M,,1.007B,,2019-06,3.158B,16.40B,14.28B,19.28B,2.30B,,,-1.13B,13.42B,,2019-06,AOR,Restated
2019-03,1.456B,,1.456B,1.974B,,1.974B,815.00M,416.00M,959.00M,,2.19B,,,729.00M,6.349B,,,,,,,27.01B,-12.14B,14.88B,1.93B,1.265B,3.195B,346.00M,,1.051B,27.32B,,2019-03,1.278B,237.00M,1.515B,,1.515B,,,7.00M,7.00M,,7.00M,,,1.132B,3.059B,6.018B,,6.018B,331.00M,1.502B,237.00M,99.00M,,1.561B,,2019-03,3.157B,16.49B,14.24B,19.12B,2.30B,,,-1.166B,13.61B,,2019-03,AOR,Restated
2018-12,2.355B,,2.355B,1.94B,,1.94B,797.00M,386.00M,854.00M,,2.037B,,,599.00M,7.034B,0.00,467.00M,5.924B,18.08B,,2.358B,26.83B,-11.93B,14.90B,1.936B,1.292B,3.228B,376.00M,45.00M,951.00M,27.50B,,2018-12,1.456B,169.00M,1.625B,,1.625B,,,4.00M,4.00M,,4.00M,54.00M,54.00M,986.00M,3.311B,5.994B,,5.994B,347.00M,1.493B,386.00M,94.00M,,1.166B,,2018-12,3.157B,16.30B,14.21B,18.87B,2.30B,,,-1.01B,13.79B,,2018-12,AOR,Restated
2018-09,1.903B,,1.903B,1.973B,,1.973B,753.00M,367.00M,801.00M,,1.921B,,,835.00M,6.632B,,,,,,,25.71B,-11.37B,14.34B,1.93B,1.309B,3.239B,322.00M,,831.00M,26.39B,,2018-09,1.092B,252.00M,1.344B,,1.344B,,,252.00M,252.00M,,252.00M,,,983.00M,3.112B,5.056B,,5.056B,328.00M,1.484B,287.00M,88.00M,,1.224B,,2018-09,3.156B,16.19B,14.20B,18.52B,2.30B,,,-1.136B,13.89B,,2018-09,AOR,Restated
2018-06,2.023B,,2.023B,1.842B,,1.842B,730.00M,356.00M,810.00M,,1.896B,,,723.00M,6.484B,,,,,,,25.46B,-11.26B,14.20B,1.918B,1.332B,3.25B,339.00M,,859.00M,26.14B,,2018-06,1.111B,247.00M,1.358B,,1.358B,,,252.00M,252.00M,,252.00M,,,887.00M,2.908B,5.099B,,5.099B,328.00M,1.479B,453.00M,74.00M,,985.00M,,2018-06,3.155B,15.73B,14.16B,18.13B,2.30B,,,-1.035B,13.88B,,2018-06,AOR,Restated
