,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-12,594.80M,594.80M,336.90M,257.90M,,,41.20M,42.80M,-42.80M,,135.60M,122.30M,42.80M,-42.80M,-6.40M,-42.80M,73.10M,38.60M,36.30M,,,-2.40M,,33.90M,33.60M,218.30M,102.40M,115.90M,,0.24,,,,0.2379,0.24,,0.24,,,,0.2379,0.24,,142.50M,142.90M,0.40,,AOR,Restated
2017-09,794.30M,794.30M,393.00M,401.30M,,,41.80M,43.40M,-43.40M,,136.40M,264.90M,43.40M,-43.40M,-6.60M,-43.40M,214.90M,55.80M,160.70M,,,-2.40M,,158.30M,157.56M,361.20M,102.90M,258.30M,,1.11,,,,1.105,1.11,,1.11,,,,1.105,1.11,,142.50M,142.50M,0.40,,AOR,Restated
2017-06,609.30M,609.30M,313.20M,296.10M,,,41.90M,43.70M,-43.70M,,135.90M,160.20M,43.70M,-43.70M,-6.10M,-43.70M,110.40M,35.90M,76.00M,,,-3.90M,,72.10M,71.35M,256.01M,101.91M,154.10M,,0.50,,,,0.4948,0.50,,0.50,,,,0.4948,0.50,,142.50M,142.60M,0.40,,AOR,Restated
2017-03,572.57M,572.57M,309.85M,262.73M,,,42.72M,41.10M,-41.10M,,131.34M,131.38M,41.10M,-41.10M,-5.897M,-41.10M,84.39M,20.91M,63.48M,,,-3.821M,,59.66M,57.29M,222.18M,96.69M,125.49M,,0.42,,,,0.4034,0.42,,0.42,,,,0.4034,0.42,,142.44M,142.70M,0.40,,AOR,Restated
2016-12,606.55M,606.55M,531.08M,75.47M,,,46.17M,40.69M,-40.69M,,-60.93M,136.40M,40.69M,-40.69M,-20.29M,-40.69M,75.42M,24.12M,57.80M,,,-3.84M,,53.96M,56.96M,205.95M,89.84M,116.11M,,0.38,,,,0.4011,0.38,,0.38,,,,0.4010,0.38,,142.28M,142.76M,0.38,,AOR,Restated
2016-09,764.65M,764.65M,300.37M,464.28M,60.58M,,48.15M,40.90M,-40.90M,,193.71M,270.58M,40.90M,-40.90M,10.08M,-40.90M,239.76M,81.21M,158.55M,,,-3.833M,,154.72M,152.99M,371.32M,90.66M,280.66M,,1.09,,,,1.078,1.09,,1.08,,,,1.068,1.08,,142.09M,142.58M,0.38,,AOR,Restated
2016-06,621.45M,621.45M,259.48M,361.97M,75.72M,,48.41M,39.68M,-39.68M,,208.36M,153.62M,39.68M,-39.68M,2.754M,-39.68M,116.69M,40.54M,76.14M,,,-3.804M,,72.34M,70.86M,249.10M,92.73M,156.37M,,0.51,,,,0.4996,0.51,,0.51,,,,0.4996,0.51,,142.03M,142.50M,0.38,,AOR,Restated
2016-03,569.45M,569.45M,238.58M,330.88M,56.46M,,48.97M,40.43M,-40.43M,,189.06M,141.81M,40.43M,-40.43M,5.95M,-40.43M,107.33M,38.62M,68.71M,,,-3.123M,,65.58M,64.29M,239.73M,91.97M,147.76M,,0.46,,,,0.4509,0.46,,0.46,,,,0.4509,0.46,,141.99M,142.31M,0.38,,AOR,Restated
2015-12,545.96M,545.96M,240.98M,304.99M,70.71M,,43.85M,42.68M,-42.68M,,196.63M,108.36M,42.68M,-42.68M,0.339M,-42.68M,66.02M,24.19M,41.83M,,,-2.59M,,39.24M,37.10M,199.21M,90.51M,108.70M,,0.28,,,,0.2649,0.28,,0.28,,,,0.2650,0.28,,141.77M,142.57M,0.36,,AOR,Restated
2015-09,732.83M,732.83M,301.87M,430.96M,60.48M,,37.68M,44.31M,-44.31M,,175.35M,255.60M,44.31M,-44.31M,-4.441M,-44.31M,206.86M,66.29M,140.56M,,,-2.561M,,138.00M,137.79M,336.79M,85.63M,251.16M,,0.97,,,,0.9685,0.97,,0.97,,,,0.9685,0.97,,141.62M,141.84M,0.36,,AOR,Restated
2015-06,589.56M,589.56M,280.17M,309.39M,63.66M,,37.49M,45.52M,-45.52M,,177.92M,131.48M,45.52M,-45.52M,14.12M,-45.52M,100.08M,33.84M,66.24M,,,-2.533M,,63.71M,62.63M,227.48M,81.88M,145.60M,,0.47,,,,0.4621,0.47,,0.46,,,,0.4522,0.46,,135.94M,137.41M,0.36,,AOR,Restated
2015-03,590.81M,590.81M,297.37M,293.43M,55.42M,,37.87M,44.30M,-44.30M,,167.88M,125.56M,44.30M,-44.30M,-0.419M,-44.30M,80.84M,27.68M,53.16M,,,-2.183M,,50.98M,49.34M,204.68M,79.55M,125.14M,,0.38,,,,0.3676,0.38,,0.38,,,,0.3679,0.38,,132.40M,135.54M,0.36,,AOR,Restated
2014-12,596.44M,596.44M,311.14M,285.30M,70.81M,,36.05M,45.04M,-45.04M,,180.03M,105.27M,45.04M,-45.04M,4.173M,-45.04M,64.40M,18.63M,45.77M,,,-2.324M,,43.45M,41.02M,190.45M,81.00M,109.44M,,0.33,,,,0.3115,0.33,,0.32,,,,0.3020,0.32,,131.48M,134.70M,0.35,,AOR,Restated
2014-09,764.04M,764.04M,340.69M,423.35M,60.98M,,34.68M,44.53M,-44.53M,,167.93M,255.42M,44.53M,-44.53M,10.40M,-44.53M,221.29M,71.53M,149.76M,,,-2.378M,,147.38M,146.26M,346.02M,80.19M,265.82M,,1.13,,,,1.121,1.13,,1.10,,,,1.092,1.10,,130.20M,133.03M,0.35,,AOR,Restated
2014-06,612.67M,612.67M,322.15M,290.52M,62.17M,,34.74M,47.30M,-47.30M,,167.79M,122.73M,47.30M,-47.30M,6.546M,-47.30M,81.97M,26.15M,55.82M,,,-2.349M,,53.47M,51.31M,204.50M,75.22M,129.28M,,0.41,,,,0.3933,0.41,,0.40,,,,0.3836,0.40,,129.36M,131.97M,0.35,,AOR,Restated
2014-03,628.56M,628.56M,317.59M,310.97M,56.49M,,34.83M,46.24M,-46.24M,,161.43M,149.54M,46.24M,-46.24M,2.631M,-46.24M,105.93M,34.96M,70.97M,,,-2.015M,,68.96M,67.36M,228.25M,76.08M,152.17M,,0.53,,,,0.5176,0.53,,0.52,,,,0.5079,0.52,,129.00M,131.27M,0.35,,AOR,Restated
2013-12,559.88M,559.88M,290.20M,269.67M,66.46M,,30.39M,46.38M,-46.38M,,166.15M,103.53M,46.38M,-46.38M,3.117M,-46.38M,60.27M,17.21M,43.06M,,,-1.999M,,41.06M,40.03M,183.35M,76.71M,106.64M,,0.32,,,,0.3119,0.32,,0.31,,,,0.3020,0.31,,127.90M,129.64M,0.34,,AOR,Restated
2013-09,694.97M,694.97M,317.25M,377.72M,54.24M,,30.41M,45.71M,-45.71M,,153.51M,224.21M,45.71M,-45.71M,8.989M,-45.71M,187.49M,52.39M,135.10M,,,-1.97M,,133.12M,131.06M,308.70M,75.50M,233.20M,,1.04,,,,1.024,1.04,,1.04,,,,1.024,1.04,,127.44M,128.11M,0.34,,AOR,Restated
2013-06,569.59M,569.59M,285.30M,284.29M,54.48M,,30.70M,45.80M,-45.80M,,152.78M,131.51M,45.80M,-45.80M,13.05M,-45.80M,98.76M,29.31M,69.45M,,,-2.263M,,67.19M,66.00M,217.93M,73.37M,144.56M,,0.53,,,,0.5207,0.53,,0.52,,,,0.5108,0.52,,127.31M,127.93M,0.34,,AOR,Restated
2013-03,546.21M,546.21M,279.70M,266.51M,48.94M,,30.78M,44.28M,-44.28M,,146.57M,119.94M,44.28M,-44.28M,2.413M,-44.28M,78.07M,24.81M,53.26M,,,-2.112M,,51.14M,48.38M,192.06M,69.70M,122.35M,,0.40,,,,0.3783,0.40,,0.40,,,,0.3784,0.40,,127.20M,127.62M,0.34,,AOR,Restated
2012-12,523.77M,523.77M,184.24M,339.54M,61.67M,,,44.45M,-44.45M,,231.76M,107.78M,44.45M,-44.45M,3.35M,-44.45M,66.68M,18.98M,47.70M,,,-2.088M,0.00,45.61M,44.92M,184.66M,73.54M,111.13M,,0.36,,,,0.3546,0.36,,0.36,,,,0.3546,0.36,,126.93M,127.03M,0.33,,AOR,Restated
2012-09,695.76M,695.76M,326.51M,369.25M,54.30M,,,45.02M,-45.02M,,119.36M,249.89M,45.02M,-45.02M,2.566M,-45.02M,207.44M,66.37M,141.07M,,,-1.786M,,139.28M,137.43M,325.15M,72.69M,252.46M,,1.10,,,,1.085,1.10,,1.09,,,,1.075,1.09,,126.78M,127.13M,0.33,,AOR,Restated
2012-06,566.26M,566.26M,304.15M,262.11M,62.71M,,,44.82M,-44.82M,,129.01M,133.10M,44.82M,-44.82M,4.523M,-44.82M,92.80M,28.34M,64.46M,,,-1.728M,1.373M,62.73M,63.15M,211.57M,73.95M,137.62M,,0.48,,,,0.4833,0.48,,0.48,,,,0.4833,0.48,,126.64M,126.88M,0.33,,AOR,Restated
2012-03,475.68M,475.68M,283.70M,191.98M,47.33M,,,42.05M,-42.05M,,120.61M,71.36M,42.05M,-42.05M,12.36M,-42.05M,41.68M,12.44M,29.24M,,,-1.713M,0.242M,27.52M,24.50M,158.38M,74.66M,83.73M,,0.21,,,,0.1861,0.21,,0.21,,,,0.1861,0.21,,126.50M,126.61M,0.33,,AOR,Restated
2011-12,486.23M,486.23M,609.25M,-123.02M,52.46M,,,41.78M,-41.78M,,-195.60M,72.58M,41.78M,-41.78M,-0.959M,-41.78M,29.84M,8.532M,21.31M,,,-1.729M,0.243M,19.58M,17.40M,151.13M,79.51M,71.62M,,0.13,,,,0.1122,0.13,,0.13,,,,0.1122,0.13,,121.94M,121.94M,0.32,,AOR,Restated
2011-09,678.15M,678.15M,199.54M,478.61M,27.50M,-2.066M,,43.84M,-43.84M,,237.52M,241.09M,43.84M,-43.84M,0.848M,-43.84M,198.09M,61.70M,136.39M,,,-1.442M,0.242M,134.95M,134.37M,321.64M,79.70M,241.94M,,1.15,0.00,,,1.145,1.15,,1.14,0.00,,,1.135,1.14,,116.81M,118.16M,0.32,,AOR,Restated
2011-06,524.89M,524.89M,152.97M,371.92M,55.97M,,,43.30M,-43.30M,,264.31M,107.61M,43.30M,-43.30M,0.818M,-43.30M,65.12M,19.60M,45.52M,,,-1.396M,0.242M,44.13M,44.13M,179.64M,71.22M,108.42M,,0.38,0.00,,,0.38,0.38,,0.38,0.00,,,0.38,0.38,,114.91M,114.91M,0.32,,AOR,Restated
2011-03,481.72M,481.72M,134.18M,347.54M,48.77M,-3.119M,,43.54M,-43.54M,,256.38M,91.16M,43.54M,-43.54M,-1.151M,-43.54M,46.47M,13.51M,32.96M,,,-1.373M,0.242M,31.58M,32.40M,166.05M,76.05M,90.01M,,0.27,0.00,,,0.2772,0.27,,0.27,0.00,,,0.2772,0.27,,113.88M,113.88M,0.32,,AOR,Restated
2010-12,456.72M,456.72M,644.98M,-188.25M,63.11M,,,43.08M,-43.08M,,-236.49M,48.24M,43.08M,-43.08M,-0.359M,-43.08M,4.802M,-1.748M,6.55M,,,-1.39M,0.243M,5.16M,5.16M,123.30M,75.41M,47.88M,,0.04,,,,0.04,0.04,,0.04,,,,0.04,0.04,,112.36M,113.10M,0.31,,AOR,Restated
2010-09,644.44M,644.44M,187.88M,456.56M,50.42M,-0.001M,,43.96M,-43.96M,126.60M,244.94M,211.62M,43.96M,-43.96M,-0.001M,-43.96M,167.66M,51.80M,115.86M,,,-1.119M,0.242M,114.74M,114.74M,286.36M,74.74M,211.62M,,1.02,0.00,,,1.020,1.02,,1.01,0.00,,,1.010,1.01,,111.71M,112.32M,0.31,,AOR,Restated
2010-06,495.18M,495.18M,137.12M,358.06M,48.15M,-2.017M,,43.29M,-43.29M,121.81M,237.07M,120.99M,43.29M,-43.29M,-2.017M,-43.29M,75.69M,21.16M,54.53M,,,-1.219M,0.242M,53.31M,54.76M,192.83M,73.86M,118.98M,,0.47,0.00,,,0.4830,0.47,,0.47,0.00,,,0.4830,0.47,,111.52M,111.52M,0.31,,AOR,Restated
2010-03,459.83M,459.83M,133.80M,326.03M,45.93M,-1.883M,,44.62M,-44.62M,121.17M,234.03M,92.00M,44.62M,-44.62M,-1.883M,-44.62M,45.50M,13.82M,31.68M,,,-1.002M,0.242M,30.68M,31.99M,163.13M,73.01M,90.12M,,0.27,0.00,,,0.2818,0.27,,0.27,0.00,,,0.2818,0.27,,110.93M,110.93M,0.31,,AOR,Restated
2009-12,440.12M,440.12M,132.24M,307.88M,56.42M,-0.104M,,40.59M,-40.59M,124.66M,246.07M,61.81M,40.59M,-40.59M,-0.104M,-40.59M,21.11M,10.50M,10.62M,0.767M,,0.00,0.243M,11.38M,10.68M,142.85M,81.15M,61.70M,,0.10,0.00,,,0.1006,0.10,,0.10,0.00,,,0.1006,0.10,,109.96M,109.96M,0.30,,AOR,Restated
2009-09,528.53M,528.53M,141.47M,387.06M,41.92M,0.664M,,41.60M,-41.60M,130.30M,236.73M,150.33M,41.60M,-41.60M,0.664M,-41.60M,109.40M,28.26M,81.14M,,,0.00,0.242M,81.14M,80.65M,215.51M,64.52M,151.00M,,0.73,0.00,,,0.7255,0.73,,0.73,0.00,,,0.7255,0.73,,109.75M,109.75M,0.30,,AOR,Restated
2009-06,467.81M,467.81M,120.51M,347.30M,53.64M,4.134M,,40.09M,-40.09M,139.81M,257.26M,90.04M,40.09M,-40.09M,4.134M,-40.09M,54.08M,15.70M,38.39M,,,0.00,0.242M,38.39M,35.45M,157.99M,63.81M,94.18M,,0.35,0.00,,,0.3232,0.35,,0.35,0.00,,,0.3232,0.35,,109.54M,109.54M,0.30,,AOR,Restated
2009-03,421.77M,421.77M,140.64M,281.12M,47.98M,-2.096M,,35.08M,-35.08M,122.17M,228.36M,52.76M,35.08M,-35.08M,-2.096M,-35.08M,15.59M,4.401M,11.19M,32.98M,,0.00,0.242M,44.16M,12.69M,108.88M,58.21M,50.66M,,0.10,0.30,,,0.1138,0.40,,0.10,0.30,,,0.1138,0.40,,109.33M,109.33M,0.30,,AOR,Restated
2008-12,406.10M,406.10M,136.40M,269.69M,47.72M,-4.994M,,33.53M,-33.53M,117.18M,218.17M,51.52M,33.53M,-33.53M,-4.994M,-33.53M,13.00M,-9.872M,22.87M,0.00,,,0.243M,22.87M,26.12M,99.80M,53.27M,46.53M,,0.19,0.00,,,0.2198,0.19,,0.19,0.00,,,0.2198,0.19,,108.90M,108.90M,0.29,,,Restated
2008-09,574.85M,574.85M,220.14M,354.71M,50.80M,5.293M,,31.92M,-31.92M,107.67M,210.44M,144.27M,31.92M,-31.92M,5.293M,-31.92M,117.65M,29.36M,88.28M,0.00,,,0.242M,88.28M,84.31M,201.53M,51.97M,149.57M,,0.80,0.00,,,0.7635,0.80,,0.80,0.00,,,0.7635,0.80,,108.71M,108.71M,0.29,,,Restated
2008-06,451.22M,451.22M,191.36M,259.86M,44.25M,3.804M,,30.31M,-30.31M,130.97M,224.82M,35.04M,30.31M,-30.31M,3.804M,-30.31M,8.532M,2.687M,5.845M,,,,0.242M,5.845M,3.239M,88.45M,49.60M,38.84M,,0.06,0.00,,,0.0341,0.06,,0.06,0.00,,,0.0341,0.06,,100.73M,100.73M,0.29,,,Restated
2008-03,406.83M,406.83M,146.45M,260.38M,41.66M,-0.222M,,10.69M,-10.69M,116.02M,206.57M,53.81M,10.69M,-10.69M,-0.222M,-10.69M,42.90M,-18.24M,61.14M,0.00,,,0.242M,61.14M,61.28M,102.48M,48.90M,53.59M,,0.62,0.00,,,0.6215,0.62,,0.62,0.00,,,0.6215,0.62,,97.42M,97.42M,0.29,,,Restated
2007-12,392.85M,392.85M,126.98M,265.87M,45.80M,1.378M,,,,122.73M,219.76M,46.12M,,,1.378M,,28.34M,14.58M,13.76M,,,,0.243M,13.76M,12.87M,103.09M,56.97M,46.12M,,0.14,0.00,,,0.1304,0.14,,0.13,0.00,,,0.1204,0.13,,92.99M,92.99M,0.27,,,
2007-09,548.50M,548.50M,182.69M,365.81M,46.18M,-2.376M,,,,121.15M,215.24M,150.57M,,,-2.376M,,119.33M,27.62M,91.71M,,,,0.242M,91.71M,93.53M,217.64M,67.07M,150.57M,,0.99,0.00,,,1.010,0.99,,0.99,0.00,,,1.010,0.99,,91.94M,91.94M,0.27,,,
2007-06,415.18M,415.18M,131.35M,283.83M,42.96M,1.995M,,,,122.06M,213.07M,70.76M,,,1.995M,,42.34M,9.63M,32.71M,,,,0.242M,32.71M,31.17M,118.81M,40.23M,70.76M,,0.36,0.00,,,0.3428,0.36,,0.36,0.00,,,0.3428,0.36,,89.78M,89.78M,0.27,,,
2007-03,370.31M,370.31M,103.41M,266.90M,43.64M,-2.311M,,,,107.59M,196.95M,69.94M,,,-2.311M,,42.19M,12.01M,30.18M,,,,0.242M,30.18M,31.83M,123.49M,53.54M,69.94M,,0.34,0.00,,,0.3588,0.34,,0.34,0.00,,,0.3588,0.34,,87.95M,87.95M,0.27,,,
2006-12,343.15M,343.15M,,,,,,,,,,1.345B,,,,,,,13.07M,,,,,13.07M,13.07M,1.381B,35.90M,1.345B,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,87.72M,87.72M,0.25,,,
2006-09,515.95M,515.95M,169.05M,346.89M,41.83M,1.154M,,,,115.02M,207.31M,139.59M,,,1.154M,,114.98M,24.95M,90.03M,,,,0.242M,90.03M,89.13M,196.96M,57.38M,139.59M,,1.03,0.00,,,1.020,1.03,,1.02,0.00,,,1.010,1.02,,87.58M,88.03M,0.25,,,
2006-06,406.62M,406.62M,129.75M,276.87M,39.08M,3.938M,,,,118.57M,207.86M,69.01M,,,3.938M,,47.90M,12.54M,35.36M,,,,0.242M,35.36M,32.46M,125.31M,56.30M,69.01M,,0.40,0.00,,,0.3668,0.40,,0.40,0.00,,,0.3668,0.40,,87.46M,87.46M,0.25,,,
2006-03,340.02M,340.02M,110.50M,229.52M,38.26M,7.302M,,,,92.00M,177.84M,51.68M,,,7.302M,,35.59M,8.749M,26.84M,,,,0.242M,26.84M,21.33M,106.02M,54.34M,51.68M,,0.30,0.00,,,0.2369,0.30,,0.30,0.00,,,0.2369,0.30,,87.28M,87.28M,0.25,,,
2005-12,394.08M,394.08M,184.79M,209.28M,41.34M,-0.348M,,,,114.97M,179.15M,30.14M,,,-0.348M,,5.196M,-1.705M,6.901M,,,,0.243M,7.643M,7.110M,52.97M,7.637M,30.14M,,0.07,0.01,,,0.0724,0.08,,0.07,0.01,,,0.0724,0.08,,87.07M,88.26M,0.23,,,
2005-09,477.90M,477.90M,132.03M,345.87M,42.07M,0.486M,,,,107.72M,192.61M,153.26M,,,0.486M,,126.86M,42.38M,84.48M,,,,0.242M,84.48M,84.15M,203.99M,50.74M,153.26M,,0.97,0.00,,,0.9663,0.97,,0.96,0.00,,,0.9563,0.96,,86.95M,87.74M,0.23,,,
2005-06,374.80M,374.80M,119.61M,255.19M,41.39M,5.503M,,,,108.84M,192.78M,62.41M,,,5.503M,,40.17M,12.30M,27.88M,,,,0.242M,27.88M,24.06M,107.04M,44.63M,62.41M,,0.32,0.00,,,0.2760,0.32,,0.32,0.00,,,0.2760,0.32,,86.83M,86.83M,0.23,,,
2005-03,336.50M,336.50M,91.80M,244.70M,41.26M,-1.907M,,,,106.21M,189.78M,54.93M,,,-1.907M,,23.16M,7.542M,15.62M,,,,0.242M,15.62M,16.90M,102.44M,47.51M,54.93M,,0.18,0.00,,,0.1949,0.18,,0.18,0.00,,,0.1949,0.18,,86.57M,86.57M,0.23,,,
2004-12,344.31M,344.31M,98.90M,245.41M,49.83M,1.309M,,,,111.54M,204.03M,41.38M,,,1.309M,,12.74M,-4.201M,16.94M,71.90M,,,0.243M,88.84M,16.16M,87.15M,45.77M,41.38M,,0.18,0.87,,,0.1709,1.05,,0.18,0.86,,,0.1709,1.05,,86.22M,86.22M,0.23,,,
2004-09,421.49M,421.49M,120.04M,301.45M,40.64M,1.471M,,,,99.97M,183.07M,118.38M,,,1.471M,,88.34M,27.97M,60.37M,,,,0.242M,60.37M,59.36M,164.76M,46.38M,118.38M,,0.70,0.00,,,0.6883,0.70,,0.69,0.00,,,0.6785,0.69,,86.06M,87.14M,0.19,,,
2004-06,358.43M,358.43M,99.09M,259.34M,42.06M,-16.30M,,,,101.53M,185.85M,73.48M,,,-16.30M,,19.92M,5.936M,13.98M,,,,0.242M,13.98M,25.42M,118.74M,45.26M,73.48M,,0.16,0.00,,,0.2933,0.16,,0.16,0.00,,,0.2933,0.16,,85.83M,85.83M,0.19,,,
2004-03,340.26M,340.26M,101.76M,238.50M,40.97M,-0.70M,,,,98.96M,181.85M,56.65M,,,-0.70M,,12.52M,3.733M,8.791M,6.888M,,,0.242M,15.68M,9.282M,103.56M,46.91M,56.65M,,0.12,0.09,,,0.1267,0.21,,0.12,0.09,,,0.1267,0.21,,73.61M,73.61M,0.19,,,
2003-12,331.66M,331.66M,90.27M,241.39M,41.93M,-44.80M,,,,-3.294M,80.44M,160.95M,,,-44.80M,,67.58M,27.16M,40.42M,-26.45M,,,0.282M,13.97M,67.30M,206.44M,45.49M,160.95M,,0.56,-0.37,,,0.9291,0.19,,0.56,-0.37,,,0.9268,0.19,,72.82M,73.29M,0.19,,,
2003-09,438.17M,438.17M,121.43M,316.73M,35.67M,23.29M,,,,86.36M,163.83M,152.90M,,,23.29M,,118.70M,38.12M,80.58M,-1.617B,,,0.216M,-1.536B,64.77M,199.08M,46.18M,152.90M,,1.11,-2.23,,,0.8921,-1.12,,1.09,-2.23,,,0.8721,-1.12,,72.57M,72.57M,0.19,,,
2003-06,345.88M,345.88M,88.71M,257.18M,40.19M,8.159M,,,,95.13M,177.56M,79.62M,,,8.159M,,29.22M,7.412M,21.81M,6.378M,,,0.242M,28.18M,15.72M,128.17M,48.55M,79.62M,,0.30,0.09,,,0.2157,0.39,,0.29,0.09,,,0.2072,0.38,,72.21M,73.53M,0.19,,,
