,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-12,0.326M,,,,,0.219M,1.487M,0.176M,1.663M,1.663M,,,,,,,-0.215M,-0.082M,-3.147M,0.421M,-2.061M,,4.214M,0.347M,0.087M,2.08M,-2.529M,,-2.529M,,0.00,0.00,,-2.529M,,,-0.029M,0.994M,,0.994M,,,0.965M,50.17M,0.516M,0.134M,50.82M,0.994M,,,
2005-09,-1.426M,,,,,15.80M,0.96M,-0.094M,0.866M,0.866M,,,,,,,-15.68M,-6.215M,-2.006M,-0.362M,4.73M,,0.00,0.399M,-3.454M,-3.894M,-2.634M,,-2.634M,,0.00,0.00,,-2.634M,,,-0.027M,2.117M,,2.117M,,,2.09M,54.57M,-4.438M,0.044M,50.17M,2.117M,,,
2005-06,-18.54M,,,,,0.00,0.858M,-0.15M,0.708M,0.708M,,,,,,,15.90M,-0.701M,-0.177M,0.854M,-2.017M,,0.00,0.105M,-1.936M,-3.869M,-3.172M,,-3.172M,,-2.388M,9.115M,,3.555M,,,-0.027M,1.651M,,1.651M,,,1.624M,52.95M,1.31M,0.303M,54.57M,1.651M,,,
2005-03,-1.235M,,,,,0.071M,0.811M,-0.051M,0.76M,0.76M,,,,,,,,-0.041M,-1.172M,-0.623M,2.541M,,-5.957M,2.331M,-2.921M,-3.325M,-3.06M,,-3.06M,,,3.133M,,0.073M,,,,1.284M,,1.284M,,,1.284M,54.79M,-1.968M,0.132M,52.95M,1.284M,,,
2004-12,3.247M,,,,,,0.814M,-0.005M,0.809M,0.809M,,,,,,,10.00M,-1.454M,-0.624M,0.613M,-1.923M,0.00,-8.296M,-0.512M,-12.20M,1.86M,-1.40M,0.00,-1.40M,,,0.00,,-1.435M,,,-0.002M,0.123M,0.00,0.123M,,,0.121M,54.32M,0.546M,-0.079M,54.79M,0.123M,,,0.00
2004-09,-2.025M,,,,,,0.974M,0.11M,1.084M,1.084M,,,,,,,-10.00M,-0.60M,-0.413M,-0.973M,-1.18M,-1.912M,0.443M,,-4.635M,-15.58M,-0.509M,40.67M,40.16M,,,0.00,,40.16M,,,-25.18M,0.906M,-0.013M,0.893M,,,-24.29M,54.01M,0.296M,0.016M,54.32M,0.906M,,,-0.013M
2004-06,-3.516M,,,,,,1.095M,0.338M,1.433M,1.433M,,,,,,,,-0.902M,-0.619M,0.111M,2.159M,-0.129M,0.189M,0.126M,0.935M,-1.148M,-0.719M,,-0.719M,,,18.49M,,17.77M,,,-0.255M,28.80M,,28.80M,,,28.55M,8.74M,45.17M,0.101M,54.01M,28.80M,,,
2004-03,-3.931M,,,,,,1.073M,0.599M,1.672M,1.672M,,,,,,,,-4.246M,-0.129M,0.22M,1.641M,,0.189M,-0.126M,-2.451M,-4.71M,-0.727M,,-0.727M,,,1.258M,,0.531M,,,-0.183M,0.674M,,0.674M,,,0.491M,12.46M,-3.688M,-0.037M,8.74M,0.674M,,,
2003-12,-4.00M,,,,,,1.14M,0.484M,1.624M,1.624M,,,,,,,,-0.973M,0.624M,0.118M,-4.894M,0.171M,1.94M,,-3.259M,-5.46M,-0.289M,,-0.289M,,,8.292M,0.00,8.003M,,,-0.172M,0.105M,,0.105M,,,-0.067M,9.989M,2.476M,,12.46M,0.105M,,,
2003-09,-5.511M,,,,,,1.137M,0.604M,1.741M,1.741M,,,,,,,,-0.876M,-0.112M,-0.52M,4.562M,-0.128M,0.18M,,3.106M,-0.664M,-0.545M,,-0.545M,,,4.496M,0.00,3.951M,,,-0.167M,0.403M,,0.403M,,,0.236M,6.466M,3.523M,,9.989M,0.403M,,,
2003-06,-8.592M,,,,,,1.16M,0.82M,1.98M,1.98M,,,,,,,,-0.059M,-0.194M,0.241M,-0.714M,-0.006M,0.189M,,-0.543M,-7.155M,-0.328M,,-0.328M,,,9.243M,0.00,8.915M,,,-0.17M,-0.003M,,-0.003M,,,-0.173M,4.879M,1.587M,,6.466M,-0.003M,,,
2003-03,-8.96M,,,,,,1.108M,0.978M,2.086M,2.086M,,,,,,,,0.841M,-0.041M,-0.06M,1.306M,-0.188M,0.039M,,1.897M,-4.977M,-0.87M,,-0.87M,,,8.485M,-0.016M,7.599M,,,-0.17M,0.39M,,0.39M,,,0.22M,2.037M,2.842M,,4.879M,0.39M,,,
2002-12,-7.616M,,,,,,1.221M,0.626M,1.847M,1.847M,,,,,,,,-0.685M,-0.69M,0.024M,-0.896M,0.673M,9.35M,-7.86M,-0.084M,-5.853M,-0.667M,,-0.667M,,,8.318M,-0.794M,6.857M,,,-0.155M,0.003M,,0.003M,,,-0.152M,1.185M,0.852M,,2.037M,0.003M,,,
2002-09,-7.601M,,,,,,1.182M,1.646M,2.828M,2.828M,,,,,,,,-0.982M,-0.313M,-0.343M,1.066M,-0.501M,-7.565M,7.86M,-0.778M,-5.551M,-0.619M,,-0.619M,,,6.507M,,5.888M,,,-0.15M,0.293M,,0.293M,,,0.143M,0.705M,0.48M,,1.185M,0.293M,,,
2002-06,-16.45M,,,,,,1.169M,1.22M,2.389M,2.389M,,,,,,,,-0.539M,-0.216M,0.086M,-0.13M,-0.27M,7.537M,,6.468M,-7.59M,-1.24M,,-1.24M,,,-1.243M,0.50M,-1.983M,,,-0.152M,0.013M,,0.013M,,,-0.139M,10.42M,-9.712M,,0.705M,0.013M,,,
2002-03,-8.667M,,,,,,0.959M,1.477M,2.436M,2.436M,,,,,,,,-0.259M,-0.109M,-0.025M,-0.245M,0.27M,,,-0.368M,-6.599M,-24.30M,,-24.30M,,,11.40M,-0.50M,-13.40M,,,25.87M,0.387M,,0.387M,,,26.25M,4.165M,6.252M,,10.42M,0.387M,,,
2001-12,-8.227M,,,,,0.186M,0.573M,1.483M,2.056M,2.056M,,,,,,,,,,,0.874M,5.099M,0.946M,,5.646M,-0.339M,-5.99M,,-5.99M,,,6.809M,-0.001M,0.818M,,,-0.069M,0.011M,,0.011M,,,-0.058M,3.743M,0.421M,,4.165M,0.011M,,,
2001-09,-5.785M,,,,,-0.186M,0.3822M,1.576M,1.959M,1.959M,,,,,,,,,,,-0.2318M,-0.9617M,,,-1.193M,-5.206M,-5.112M,,-5.112M,,,2.303M,0.001M,-2.808M,,,-0.0658M,0.3994M,,0.3994M,,,0.3337M,11.42M,-7.680M,,3.743M,0.3994M,,,
2001-06,-5.893M,,,,,,0.3262M,1.622M,1.948M,1.948M,,,,,,,,,,,-0.0224M,1.218M,-0.1875M,,1.008M,-2.937M,-3.870M,,-3.870M,,,-95.35M,,-99.22M,,,-0.0641M,0.0466M,,0.0466M,,,-0.0175M,113.60M,-102.18M,,11.42M,0.0466M,,,
2001-03,-4.918M,,,,,,0.1925M,1.608M,1.800M,1.800M,,,,,,,,,,,0.6282M,-0.1413M,0.1875M,,0.6743M,-2.443M,,,,,,-0.4551M,,-0.4551M,,,-0.0621M,0.4580M,,0.4580M,,,0.3959M,116.10M,-2.503M,,113.60M,0.4580M,,,
2000-12,-4.616M,,,,,-0.20M,,,2.119M,2.119M,,,,,,,,-6.34M,,,-0.7251M,-1.982M,1.525M,,-7.523M,-10.22M,-1.314M,,-1.314M,,,-0.0335M,6.20M,4.852M,,,-0.0616M,-0.0520M,,-0.0520M,,-0.0005M,-0.1141M,121.58M,-5.481M,,116.10M,-0.0520M,,,
2000-09,-3.875M,,,,,0.20M,,,1.978M,1.978M,,,,,,,,,,,0.5756M,-0.1674M,,,0.4082M,-1.288M,-0.7880M,,-0.7880M,,,8.976M,-6.20M,1.988M,,,-0.0583M,101.35M,,101.35M,,0.00,101.29M,19.60M,101.99M,,121.58M,101.35M,,,
2000-06,-5.270M,,,,,0.087M,,,1.917M,1.917M,,,,,,,,0.0631M,,,0.5268M,1.025M,-0.4533M,,1.162M,-2.104M,-0.7851M,,-0.7851M,,,6.155M,,5.370M,,,1.266M,-0.0047M,,-0.0047M,,0.00,1.261M,15.07M,4.528M,,19.60M,-0.0047M,,,
2000-03,-4.846M,,,,,1.635M,,,1.181M,1.181M,,,,,,,,-0.0631M,,,0.0317M,0.9076M,0.4533M,,1.329M,-0.7005M,-0.5405M,,-0.5405M,,,-5.711M,,-6.251M,,,,0.8506M,,0.8506M,,0.0045M,0.8551M,21.16M,-6.097M,,15.07M,0.8506M,,,
