,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.254B,,1.254B,1.39B,956.00M,2.398B,,360.00M,271.00M,508.00M,,,167.00M,4.327B,0.00,6.00M,,2.276B,468.00M,439.00M,3.189B,-1.699B,1.49B,2.219B,1.234B,3.453B,158.00M,,1.071B,94.00M,6.549B,10.88B,,776.00M,120.00M,147.00M,,1.043B,463.00M,1.506B,,,12.00M,12.00M,126.00M,138.00M,1.554B,1.554B,,3.489B,5.163B,402.00M,5.565B,180.00M,283.00M,463.00M,1.578B,17.00M,,322.00M,7.928B,11.42B,,2.00M,1.127B,759.00M,,,-2.446B,-558.00M,,AOR,
2020-09,1.007B,,1.007B,1.155B,1.094B,2.314B,,340.00M,279.00M,489.00M,,,161.00M,3.971B,0.00,6.00M,,2.169B,472.00M,415.00M,3.062B,-1.614B,1.448B,2.207B,1.268B,3.475B,154.00M,,977.00M,57.00M,6.39B,10.36B,,679.00M,109.00M,59.00M,,847.00M,505.00M,1.352B,,,212.00M,212.00M,123.00M,335.00M,1.359B,1.359B,,3.312B,5.162B,401.00M,5.563B,179.00M,266.00M,445.00M,1.472B,16.00M,,309.00M,7.789B,11.10B,,2.00M,1.008B,667.00M,,,-2.433B,-756.00M,,AOR,
2020-06,1.341B,,1.341B,1.134B,959.00M,2.141B,,355.00M,226.00M,449.00M,,,155.00M,4.086B,0.00,6.00M,,2.10B,462.00M,403.00M,2.971B,-1.544B,1.427B,2.123B,1.242B,3.365B,157.00M,,1.023B,56.00M,6.288B,10.37B,,638.00M,109.00M,72.00M,,819.00M,534.00M,1.353B,,,517.00M,517.00M,123.00M,640.00M,1.294B,1.294B,,3.48B,5.111B,385.00M,5.496B,175.00M,263.00M,438.00M,1.483B,15.00M,,292.00M,7.709B,11.19B,,2.00M,1.017B,626.00M,,,-2.475B,-830.00M,,AOR,
2020-03,1.672B,,1.672B,1.122B,958.00M,2.08B,,363.00M,214.00M,442.00M,,,287.00M,4.481B,0.00,6.00M,,1.997B,521.00M,379.00M,2.903B,-1.45B,1.453B,2.075B,1.242B,3.317B,154.00M,,1.017B,58.00M,6.235B,10.72B,,675.00M,109.00M,48.00M,,832.00M,475.00M,1.307B,,,814.00M,814.00M,119.00M,933.00M,1.278B,1.278B,,3.879B,5.111B,458.00M,5.569B,171.00M,264.00M,435.00M,1.49B,18.00M,,273.00M,7.767B,11.65B,,2.00M,1.074B,542.00M,,,-2.566B,-948.00M,,AOR,
2019-12,1.001B,,1.001B,1.412B,1.07B,2.559B,,374.00M,209.00M,447.00M,,,171.00M,4.178B,0.00,15.00M,,2.051B,554.00M,410.00M,3.03B,-1.484B,1.546B,2.067B,1.327B,3.394B,159.00M,,1.05B,92.00M,6.464B,10.64B,,779.00M,110.00M,95.00M,,984.00M,521.00M,1.505B,,,16.00M,16.00M,122.00M,138.00M,1.449B,1.449B,,3.439B,5.113B,497.00M,5.61B,184.00M,274.00M,458.00M,1.524B,17.00M,,294.00M,7.886B,11.32B,,2.00M,1.239B,499.00M,,,-2.44B,-700.00M,,AOR,Restated
2019-09,1.138B,,1.138B,1.295B,949.00M,2.355B,,380.00M,221.00M,460.00M,2.00M,,199.00M,4.154B,0.00,15.00M,,1.961B,561.00M,404.00M,2.941B,-1.417B,1.524B,2.006B,1.331B,3.337B,159.00M,,968.00M,56.00M,6.219B,10.37B,,713.00M,98.00M,86.00M,,897.00M,488.00M,1.385B,,,617.00M,617.00M,118.00M,735.00M,1.223B,1.223B,,3.656B,5.112B,499.00M,5.611B,172.00M,253.00M,425.00M,1.48B,17.00M,,285.00M,7.801B,11.46B,,2.00M,1.22B,436.00M,,,-2.759B,-1.101B,,AOR,Restated
2019-06,953.00M,,953.00M,1.206B,950.00M,2.262B,,335.00M,233.00M,424.00M,11.00M,,181.00M,3.831B,0.00,10.00M,,1.938B,567.00M,377.00M,2.892B,-1.385B,1.507B,1.852B,1.332B,3.184B,175.00M,39.00M,1.011B,64.00M,6.143B,9.974B,,690.00M,94.00M,91.00M,,875.00M,444.00M,1.319B,,,28.00M,28.00M,118.00M,146.00M,1.187B,1.187B,,2.876B,5.315B,504.00M,5.819B,180.00M,263.00M,443.00M,1.509B,16.00M,,281.00M,8.052B,10.93B,,2.00M,1.051B,714.00M,,,-2.737B,-970.00M,,AOR,Restated
2019-03,886.00M,,886.00M,1.15B,914.00M,2.201B,,340.00M,227.00M,425.00M,11.00M,,191.00M,3.714B,0.00,10.00M,,1.903B,593.00M,372.00M,2.878B,-1.348B,1.53B,1.86B,1.416B,3.276B,163.00M,39.00M,1.052B,67.00M,6.279B,9.993B,,719.00M,94.00M,94.00M,,907.00M,434.00M,1.341B,,,28.00M,28.00M,116.00M,144.00M,1.158B,1.158B,,2.979B,5.287B,553.00M,5.84B,222.00M,239.00M,461.00M,1.527B,18.00M,,276.00M,8.104B,11.08B,,2.00M,963.00M,651.00M,,,-2.724B,-1.108B,,AOR,Restated
2018-12,1.257B,,1.257B,1.293B,1.042B,2.473B,,293.00M,206.00M,356.00M,,,186.00M,4.272B,0.00,10.00M,,1.886B,,362.00M,2.258B,-1.363B,895.00M,1.514B,1.23B,2.744B,169.00M,39.00M,1.083B,72.00M,5.137B,9.409B,,777.00M,93.00M,111.00M,,981.00M,497.00M,1.478B,,,31.00M,31.00M,0.00,31.00M,1.263B,1.263B,,3.096B,5.289B,0.00,5.289B,201.00M,214.00M,415.00M,1.557B,17.00M,,328.00M,7.589B,10.68B,,2.00M,1.051B,419.00M,,,-2.765B,-1.293B,,AOR,Restated
2018-09,839.00M,,839.00M,1.179B,974.00M,2.272B,,313.00M,190.00M,367.00M,12.00M,,174.00M,3.664B,0.00,11.00M,355.00M,2.224B,,,2.59B,-1.698B,892.00M,1.541B,1.297B,2.838B,176.00M,101.00M,1.044B,66.00M,5.299B,8.963B,,621.00M,85.00M,127.00M,,833.00M,459.00M,1.292B,,,,337.00M,,337.00M,1.127B,1.211B,,3.088B,5.095B,,5.095B,234.00M,159.00M,393.00M,1.446B,16.00M,,336.00M,7.27B,10.36B,,2.00M,788.00M,370.00M,,,-2.571B,-1.411B,,AOR,Restated
