,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2020-09,7.083B,78.00M,7.161B,2.426B,2.426B,751.00M,174.00M,2.534B,3.459B,499.00M,,,13.54B,1.443B,,3.396B,4.839B,-2.31B,2.529B,9.128B,3.917B,13.04B,,1.627B,1.54B,18.74B,32.29B,,2020-09,647.00M,1.124B,1.766B,2.89B,1.119B,1.119B,1.119B,,,,4.689B,12.01B,12.01B,,,,1.604B,14.61B,19.30B,,2020-09,38.00M,12.13B,,-917.00M,12.99B,,2020-09
2020-06,6.539B,80.00M,6.619B,2.203B,2.203B,785.00M,158.00M,2.499B,3.442B,537.00M,,,12.80B,1.445B,,3.33B,4.775B,-2.248B,2.527B,9.074B,4.012B,13.09B,,1.57B,1.499B,18.68B,31.48B,,2020-06,635.00M,1.065B,1.702B,2.767B,,1.11B,1.11B,,,,4.405B,11.81B,11.81B,,,,1.523B,14.32B,18.73B,,2020-06,38.00M,11.72B,,-715.00M,12.75B,,2020-06
2020-03,3.964B,84.00M,4.048B,2.646B,2.646B,738.00M,187.00M,2.434B,3.359B,683.00M,,,10.74B,1.419B,,3.357B,4.776B,-2.169B,2.607B,9.025B,4.107B,13.13B,,1.537B,1.428B,18.70B,29.44B,,2020-03,736.00M,1.179B,1.45B,2.629B,,1.103B,1.103B,,,,4.162B,9.404B,9.404B,,,,1.733B,12.16B,16.32B,,2020-03,38.00M,12.02B,,-623.00M,13.12B,,2020-03
2019-12,4.337B,88.00M,4.425B,2.893B,2.893B,677.00M,178.00M,2.427B,3.282B,760.00M,,,11.36B,1.263B,,3.451B,4.714B,-2.147B,2.567B,9.069B,4.227B,13.30B,,1.575B,1.369B,18.81B,30.17B,,2019-12,675.00M,1.059B,1.527B,2.586B,,859.00M,859.00M,,,,4.40B,10.23B,10.23B,,,,1.661B,12.96B,17.36B,,2019-12,37.00M,11.75B,,-606.00M,12.81B,,2019-12
2019-09,1.948B,88.00M,2.036B,2.438B,2.438B,679.00M,185.00M,2.405B,3.269B,823.00M,,,8.566B,1.263B,,3.34B,4.603B,-2.143B,2.46B,8.704B,4.056B,12.76B,,1.586B,1.287B,18.09B,26.66B,,2019-09,659.00M,938.00M,1.69B,2.628B,,526.00M,526.00M,,,,3.921B,7.889B,7.889B,,,,1.439B,10.42B,14.34B,,2019-09,37.00M,11.24B,,-553.00M,12.32B,,2019-09
2019-06,1.754B,85.00M,1.839B,2.408B,2.408B,652.00M,186.00M,2.36B,3.198B,740.00M,,,8.185B,1.057B,,3.421B,4.478B,-2.091B,2.387B,8.762B,4.184B,12.95B,,1.613B,1.223B,18.17B,26.35B,,2019-06,616.00M,947.00M,1.82B,2.767B,,539.00M,539.00M,,,,3.946B,7.974B,7.974B,,,,1.385B,10.46B,14.41B,,2019-06,37.00M,10.97B,,-630.00M,11.94B,,2019-06
2019-03,1.674B,84.00M,1.758B,2.284B,2.284B,608.00M,178.00M,2.278B,3.064B,782.00M,,,7.888B,1.021B,,3.321B,4.342B,-2.045B,2.297B,8.71B,4.24B,12.95B,,1.631B,1.171B,18.05B,25.94B,,2019-03,619.00M,965.00M,1.696B,2.661B,,521.00M,521.00M,,,,3.713B,7.95B,7.95B,,,,1.363B,10.53B,14.24B,,2019-03,37.00M,10.68B,,-565.00M,11.69B,,2019-03
2018-12,3.616B,83.00M,3.699B,2.332B,2.332B,606.00M,149.00M,2.20B,2.955B,747.00M,,,9.733B,1.041B,,3.236B,4.277B,-1.986B,2.291B,8.563B,4.163B,12.73B,,1.678B,801.00M,17.50B,27.23B,,2018-12,646.00M,996.00M,1.521B,2.517B,,1.373B,1.373B,,,,4.807B,8.486B,8.486B,,,,978.00M,10.69B,15.50B,,2018-12,37.00M,10.76B,,-631.00M,11.73B,,2018-12
2018-09,1.918B,292.00M,2.21B,2.076B,2.076B,614.00M,174.00M,2.105B,2.893B,739.00M,,,7.918B,976.00M,,3.176B,4.152B,-1.974B,2.178B,7.634B,3.463B,11.10B,,,891.00M,14.17B,22.08B,,2018-09,563.00M,839.00M,1.291B,2.13B,,1.275B,1.275B,,,,4.153B,5.928B,5.928B,,,0.00,892.00M,8.071B,12.22B,,2018-09,37.00M,8.892B,,-604.00M,9.86B,,2018-09
2018-06,1.641B,279.00M,1.92B,2.089B,2.089B,572.00M,171.00M,1.997B,2.74B,664.00M,,,7.413B,966.00M,,3.07B,4.036B,-1.935B,2.101B,7.636B,3.567B,11.20B,,,853.00M,14.16B,21.57B,,2018-06,561.00M,869.00M,1.30B,2.169B,,1.277B,1.277B,,,,4.046B,5.925B,5.925B,,,,877.00M,8.064B,12.11B,,2018-06,37.00M,8.477B,,-557.00M,9.46B,,2018-06
2018-03,2.179B,276.00M,2.455B,2.108B,2.108B,554.00M,171.00M,1.939B,2.664B,624.00M,,,7.851B,983.00M,,2.998B,3.981B,-1.927B,2.054B,7.723B,3.689B,11.41B,,,816.00M,14.28B,22.13B,,2018-03,529.00M,893.00M,1.398B,2.291B,,1.984B,1.984B,,,,4.80B,5.92B,5.92B,,,9.00M,912.00M,8.11B,12.91B,,2018-03,37.00M,8.201B,,-510.00M,9.214B,,2018-03
2017-12,2.542B,251.00M,2.793B,2.198B,2.198B,528.00M,148.00M,1.789B,2.465B,537.00M,,,7.993B,936.00M,,2.864B,3.80B,-1.825B,1.975B,7.168B,3.477B,10.64B,,283.00M,1.301B,14.20B,22.20B,,2017-12,487.00M,808.00M,1.207B,2.015B,,632.00M,632.00M,,,,3.485B,6.59B,6.59B,,,14.00M,881.00M,8.732B,12.22B,,2017-12,37.00M,8.986B,,-553.00M,9.966B,,2017-12
2017-09,2.592B,97.00M,2.689B,1.965B,1.965B,523.00M,159.00M,1.772B,2.454B,602.00M,,,7.71B,921.00M,,2.768B,3.689B,-1.837B,1.852B,7.026B,3.47B,10.50B,,,1.427B,13.78B,21.48B,,2017-09,458.00M,760.00M,1.194B,1.954B,,632.00M,632.00M,,,,3.258B,6.593B,6.593B,,,,1.209B,7.802B,11.06B,,2017-09,37.00M,9.411B,,-498.00M,10.42B,,2017-09
2017-06,3.649B,98.00M,3.747B,1.905B,1.905B,495.00M,151.00M,1.633B,2.279B,547.00M,,,8.478B,892.00M,,2.626B,3.518B,-1.76B,1.758B,6.471B,3.382B,9.853B,,,1.203B,12.81B,21.29B,,2017-06,427.00M,666.00M,1.564B,2.23B,,774.00M,774.00M,,,,3.552B,6.592B,6.592B,,,,1.113B,7.705B,11.26B,,2017-06,37.00M,9.136B,,-590.00M,10.04B,,2017-06
2017-03,3.213B,66.00M,3.279B,1.875B,1.875B,476.00M,137.00M,1.559B,2.172B,563.00M,,,7.889B,857.00M,,2.476B,3.333B,-1.678B,1.655B,6.393B,3.446B,9.839B,,,1.134B,12.63B,20.52B,,2017-03,456.00M,658.00M,1.404B,2.062B,,35.00M,35.00M,,,,2.554B,7.184B,7.184B,,,,1.075B,8.259B,10.81B,,2017-03,37.00M,8.903B,,-675.00M,9.704B,,2017-03
2016-12,3.316B,68.00M,3.384B,1.967B,1.967B,425.00M,130.00M,1.475B,2.03B,480.00M,,,7.861B,820.00M,,2.341B,3.161B,-1.592B,1.569B,6.356B,3.508B,9.864B,,,1.141B,12.57B,20.44B,,2016-12,437.00M,636.00M,1.517B,2.153B,,228.00M,228.00M,,,,3.148B,6.686B,6.686B,,,,764.00M,7.737B,10.88B,,2016-12,37.00M,8.842B,,-761.00M,9.55B,,2016-12
2016-09,2.953B,69.00M,3.022B,1.803B,1.803B,396.00M,126.00M,1.57B,2.092B,449.00M,,,7.366B,802.00M,,2.321B,3.123B,-1.618B,1.505B,6.475B,3.608B,10.08B,,,1.233B,12.82B,20.19B,,2016-09,420.00M,775.00M,1.476B,2.251B,,135.00M,135.00M,,,,3.026B,6.713B,6.713B,,,,1.116B,7.829B,10.86B,,2016-09,37.00M,8.491B,,-600.00M,9.332B,,2016-09
2016-06,3.49B,166.00M,3.656B,1.758B,1.758B,363.00M,126.00M,1.50B,1.989B,421.00M,,,7.824B,797.00M,,2.273B,3.07B,-1.624B,1.446B,6.372B,3.728B,10.10B,,,1.15B,12.70B,20.52B,,2016-06,425.00M,733.00M,1.415B,2.148B,,927.00M,927.00M,,,,3.605B,6.717B,6.717B,,,,1.10B,7.817B,11.42B,,2016-06,37.00M,8.278B,,-595.00M,9.098B,,2016-06
2016-03,6.976B,507.00M,7.483B,1.591B,1.591B,325.00M,119.00M,1.324B,1.768B,483.00M,,,11.32B,695.00M,,2.116B,2.811B,-1.587B,1.224B,4.165B,1.78B,5.945B,,,1.174B,8.343B,19.67B,,2016-03,394.00M,687.00M,1.323B,2.01B,,770.00M,770.00M,,,,3.186B,6.706B,6.706B,,,,968.00M,7.674B,10.86B,,2016-03,37.00M,8.04B,,-622.00M,8.808B,,2016-03
2015-12,3.379B,700.00M,4.079B,1.662B,1.662B,304.00M,103.00M,1.232B,1.639B,563.00M,,,7.943B,687.00M,,2.043B,2.73B,-1.531B,1.199B,4.136B,1.794B,5.93B,,,1.151B,8.28B,16.22B,,2015-12,410.00M,693.00M,1.404B,2.097B,,768.00M,768.00M,,,,3.502B,3.23B,3.23B,,,,980.00M,4.21B,7.712B,,2015-12,37.00M,7.792B,,-639.00M,8.511B,,2015-12
2015-09,3.163B,209.00M,3.372B,1.496B,1.496B,296.00M,113.00M,1.256B,1.665B,567.00M,933.00M,,8.033B,680.00M,,1.976B,2.656B,-1.528B,1.128B,4.16B,1.861B,6.021B,,,735.00M,7.884B,15.92B,,2015-09,340.00M,628.00M,1.422B,2.05B,,971.00M,971.00M,,,,3.553B,2.511B,2.511B,,,,1.369B,3.88B,7.433B,,2015-09,38.00M,7.656B,,-529.00M,8.484B,,2015-09
2015-06,3.626B,651.00M,4.277B,1.50B,1.50B,270.00M,104.00M,1.245B,1.619B,585.00M,955.00M,,8.936B,680.00M,,1.924B,2.604B,-1.502B,1.102B,4.125B,1.925B,6.05B,,,731.00M,7.883B,16.82B,,2015-06,342.00M,629.00M,2.427B,3.056B,,227.00M,227.00M,,,,3.723B,3.242B,3.242B,,,,1.349B,4.591B,8.314B,,2015-06,38.00M,7.60B,,-431.00M,8.505B,,2015-06
2015-03,1.674B,2.589B,4.263B,1.521B,1.521B,260.00M,101.00M,1.221B,1.582B,467.00M,894.00M,,8.727B,667.00M,,1.861B,2.528B,-1.459B,1.069B,4.099B,1.96B,6.059B,,,725.00M,7.853B,16.58B,,2015-03,333.00M,752.00M,2.372B,3.124B,,225.00M,225.00M,,,,3.695B,3.257B,3.257B,,,,1.307B,4.564B,8.259B,,2015-03,38.00M,7.527B,,-521.00M,8.321B,,2015-03
2014-12,1.795B,3.205B,5.00B,1.572B,1.572B,248.00M,88.00M,1.252B,1.588B,524.00M,,,8.684B,678.00M,,1.919B,2.597B,-1.499B,1.098B,4.186B,2.018B,6.204B,,,1.293B,8.595B,17.28B,,2014-12,329.00M,793.00M,2.344B,3.137B,,727.00M,727.00M,,,,4.461B,3.246B,3.246B,,,,977.00M,4.223B,8.684B,,2014-12,38.00M,7.559B,,-254.00M,8.595B,,2014-12
2014-09,1.356B,3.321B,4.677B,1.529B,1.529B,257.00M,106.00M,1.303B,1.666B,467.00M,987.00M,,9.326B,676.00M,,1.926B,2.602B,-1.498B,1.104B,4.257B,2.108B,6.365B,,,720.00M,8.189B,17.52B,,2014-09,335.00M,824.00M,2.171B,2.995B,,731.00M,731.00M,,,,4.211B,3.231B,3.231B,,,,1.449B,4.68B,8.891B,,2014-09,38.00M,7.43B,,-74.00M,8.624B,,2014-09
2014-06,1.319B,3.426B,4.745B,1.503B,1.503B,254.00M,104.00M,1.229B,1.587B,605.00M,941.00M,,9.381B,693.00M,,1.933B,2.626B,-1.499B,1.127B,4.101B,2.09B,6.191B,,,530.00M,7.848B,17.23B,,2014-06,337.00M,550.00M,2.134B,2.684B,,630.00M,630.00M,,,,3.713B,3.237B,3.237B,,,,1.277B,4.514B,8.227B,,2014-06,38.00M,7.525B,,231.00M,9.002B,,2014-06
2014-03,1.381B,2.666B,4.047B,1.43B,1.43B,231.00M,96.00M,1.171B,1.498B,553.00M,918.00M,,8.446B,692.00M,,1.892B,2.584B,-1.467B,1.117B,3.997B,2.085B,6.082B,,,514.00M,7.713B,16.16B,,2014-03,350.00M,584.00M,1.821B,2.405B,,820.00M,820.00M,,,,3.558B,2.244B,2.244B,,,,1.294B,3.538B,7.096B,,2014-03,38.00M,7.571B,,268.00M,9.063B,,2014-03
2013-12,1.339B,2.641B,3.98B,1.518B,1.518B,227.00M,85.00M,1.11B,1.422B,535.00M,880.00M,,8.335B,686.00M,,1.811B,2.497B,-1.416B,1.081B,3.844B,1.989B,5.833B,,,494.00M,7.408B,15.74B,,2013-12,314.00M,560.00M,1.537B,2.097B,,25.00M,25.00M,,,,2.657B,2.739B,2.739B,,,,1.30B,4.039B,6.696B,,2013-12,38.00M,7.617B,,232.00M,9.047B,,2013-12
2013-09,1.11B,4.028B,5.138B,1.37B,1.37B,210.00M,92.00M,1.102B,1.404B,518.00M,757.00M,,9.187B,669.00M,,1.74B,2.409B,-1.373B,1.036B,2.603B,1.539B,4.142B,,,518.00M,5.696B,14.88B,,2013-09,278.00M,403.00M,1.456B,1.859B,,31.00M,31.00M,,,,2.324B,2.743B,2.743B,,,,1.079B,3.822B,6.146B,,2013-09,38.00M,7.411B,,146.00M,8.737B,,2013-09
2013-06,971.00M,3.681B,4.652B,1.413B,1.413B,205.00M,85.00M,1.055B,1.345B,498.00M,781.00M,,8.689B,663.00M,,1.682B,2.345B,-1.324B,1.021B,2.573B,1.545B,4.118B,,,554.00M,5.693B,14.38B,,2013-06,277.00M,430.00M,1.156B,1.586B,,29.00M,29.00M,,,,1.971B,2.742B,2.742B,,,,1.066B,3.808B,5.779B,,2013-06,38.00M,7.41B,,31.00M,8.603B,,2013-06
2013-03,1.913B,2.574B,4.487B,1.408B,1.408B,203.00M,78.00M,1.042B,1.323B,412.00M,791.00M,,8.421B,652.00M,,1.646B,2.298B,-1.296B,1.002B,2.592B,1.52B,4.112B,,,554.00M,5.668B,14.09B,,2013-03,297.00M,503.00M,982.00M,1.485B,,34.00M,34.00M,,,,1.808B,2.738B,2.738B,,,,1.087B,3.825B,5.633B,,2013-03,38.00M,7.296B,,17.00M,8.456B,,2013-03
2012-12,1.395B,2.89B,4.285B,1.43B,1.43B,202.00M,71.00M,992.00M,1.265B,357.00M,811.00M,,8.148B,625.00M,,1.607B,2.232B,-1.284B,948.00M,2.142B,1.424B,3.566B,,,544.00M,5.058B,13.21B,,2012-12,288.00M,459.00M,934.00M,1.393B,,16.00M,16.00M,,,,1.876B,1.746B,1.746B,,,,987.00M,2.733B,4.609B,,2012-12,38.00M,7.332B,,129.00M,8.597B,,2012-12
