,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2014-06,2.363B,2.363B,815.00M,1.548B,870.00M,158.00M,,47.00M,-276.00M,,,,,1.075B,473.00M,,,,-306.00M,,167.00M,39.00M,128.00M,,,567.00M,94.00M,473.00M,,2014-06,0.8974,0.34,,2014-06,0.33,0.33,,2014-06,0.305,,2014-06,AOR,Restated
2014-03,2.305B,2.305B,776.00M,1.529B,859.00M,150.00M,,45.00M,-344.00M,,,,,1.054B,475.00M,,,,-368.00M,,107.00M,37.00M,70.00M,,,566.00M,91.00M,475.00M,,2014-03,0.7858,0.19,,2014-03,0.18,0.18,,2014-03,0.305,,2014-03,AOR,Restated
2013-12,2.468B,2.468B,877.00M,1.591B,400.00M,139.00M,,36.00M,-586.00M,,,,,575.00M,1.016B,,,,-585.00M,,431.00M,45.00M,386.00M,,,1.098B,82.00M,1.016B,,2013-12,2.407,1.02,,2013-12,1.01,1.01,,2013-12,0.305,,2013-12,AOR,Restated
2013-09,2.151B,2.151B,682.00M,1.469B,1.136B,136.00M,,34.00M,-13.00M,,,,,1.306B,163.00M,,,,-26.00M,,137.00M,34.00M,103.00M,,,239.00M,76.00M,163.00M,,2013-09,0.2958,0.27,,2013-09,0.27,0.27,,2013-09,0.265,,2013-09,AOR,Restated
2013-06,2.212B,2.212B,730.00M,1.482B,1.015B,132.00M,,36.00M,-9.00M,,,,,1.183B,299.00M,,,,-30.00M,,269.00M,56.00M,213.00M,,,378.00M,79.00M,299.00M,,2013-06,0.5789,0.56,,2013-06,0.56,0.56,,2013-06,0.265,,2013-06,AOR,Restated
2013-03,2.19B,2.19B,713.00M,1.477B,916.00M,129.00M,,32.00M,-14.00M,,,,,1.077B,400.00M,,,,-25.00M,,375.00M,71.00M,304.00M,,,470.00M,70.00M,400.00M,,2013-03,0.8299,0.80,,2013-03,0.79,0.79,,2013-03,0.265,,2013-03,AOR,Restated
2012-12,2.338B,2.338B,745.00M,1.593B,934.00M,129.00M,,31.00M,-129.00M,,,,,1.094B,499.00M,,,,-141.00M,,358.00M,88.00M,270.00M,,,569.00M,70.00M,499.00M,,2012-12,0.9658,0.71,,2012-12,0.71,0.71,,2012-12,0.265,,2012-12,AOR,Restated
2012-09,2.052B,2.052B,655.00M,1.397B,791.00M,114.00M,,30.00M,-12.00M,,,,,935.00M,462.00M,,,,-18.00M,,444.00M,91.00M,353.00M,,,530.00M,68.00M,462.00M,,2012-09,0.9551,0.93,,2012-09,0.92,0.92,,2012-09,0.2125,,2012-09,AOR,Restated
2012-06,2.106B,2.106B,672.00M,1.434B,823.00M,116.00M,,31.00M,-19.00M,,,,,970.00M,464.00M,,,,-29.00M,,435.00M,110.00M,325.00M,,,533.00M,69.00M,464.00M,,2012-06,0.8873,0.85,,2012-06,0.85,0.85,,2012-06,0.2125,,2012-06,AOR,Restated
2012-03,2.161B,2.161B,709.00M,1.452B,819.00M,112.00M,,31.00M,-14.00M,,,,,962.00M,490.00M,,,,-22.00M,,468.00M,118.00M,350.00M,,,560.00M,70.00M,490.00M,,2012-03,0.9475,0.92,,2012-03,0.91,0.91,,2012-03,0.2125,,2012-03,AOR,Restated
2011-12,2.215B,2.215B,740.00M,1.475B,834.00M,115.00M,,32.00M,-76.00M,,,,,981.00M,494.00M,,,,,,433.00M,32.00M,401.00M,,,502.00M,-77.00M,470.00M,,2011-12,1.234,1.05,,2011-12,1.04,1.04,,2011-12,0.2125,,2011-12,AOR,Restated
2011-09,2.031B,2.031B,669.00M,1.362B,765.00M,122.00M,,31.00M,0.00,22.00M,9.00M,-13.00M,,918.00M,444.00M,9.00M,22.00M,-13.00M,,-13.00M,431.00M,104.00M,327.00M,,,577.00M,124.00M,453.00M,,2011-09,0.85,0.85,,2011-09,0.84,0.84,,2011-09,0.18,,2011-09,AOR,Restated
2011-06,2.046B,2.046B,713.00M,1.333B,786.00M,114.00M,,32.00M,10.00M,,,,,932.00M,401.00M,,,,10.00M,,411.00M,101.00M,310.00M,,,521.00M,120.00M,401.00M,,2011-06,0.7806,0.80,,2011-06,0.79,0.79,,2011-06,0.18,,2011-06,AOR,Restated
2011-03,2.015B,2.015B,689.00M,1.326B,765.00M,111.00M,,27.00M,-12.00M,0.00,,0.00,,903.00M,423.00M,,0.00,0.00,-12.00M,0.00,411.00M,104.00M,307.00M,,,526.00M,115.00M,411.00M,,2011-03,0.8130,0.79,,2011-03,0.78,0.78,,2011-03,0.18,,2011-03,AOR,Restated
2010-12,1.995B,1.995B,624.00M,1.371B,734.00M,111.00M,,16.00M,-109.00M,,,,,861.00M,510.00M,,,,-131.00M,,379.00M,84.00M,295.00M,,,526.00M,-76.00M,510.00M,,2010-12,0.9650,0.75,,2010-12,0.74,0.74,,2010-12,0.18,,2010-12,AOR,Restated
2010-09,1.768B,1.768B,541.00M,1.227B,643.00M,99.00M,,14.00M,-9.00M,,,,,756.00M,471.00M,,,,-9.00M,,462.00M,125.00M,337.00M,,,572.20M,101.20M,471.00M,,2010-09,0.8665,0.85,,2010-09,0.85,0.85,,2010-09,0.15,,2010-09,AOR,Restated
2010-06,1.758B,1.758B,539.30M,1.219B,661.80M,94.60M,,14.40M,-5.50M,,,,,770.80M,448.10M,,,,-5.50M,,442.60M,123.60M,319.00M,,,546.70M,98.60M,448.10M,,2010-06,0.8100,0.80,,2010-06,0.80,0.80,,2010-06,0.15,,2010-06,AOR,Restated
2010-03,1.799B,1.799B,581.40M,1.218B,667.80M,90.00M,,13.50M,1.40M,15.10M,13.10M,-2.00M,,771.30M,446.40M,13.10M,15.10M,-2.00M,1.40M,-2.00M,445.80M,124.10M,321.70M,,,560.10M,99.20M,460.90M,,2010-03,0.8075,0.81,,2010-03,0.80,0.80,,2010-03,0.15,,2010-03,AOR,Restated
2009-12,1.834B,1.834B,593.20M,1.241B,628.70M,89.50M,,8.80M,9.10M,,,,,727.00M,514.00M,,,,9.10M,,523.10M,217.10M,306.00M,,,618.80M,104.80M,514.00M,,2009-12,0.7551,0.77,,2009-12,0.76,0.76,,2009-12,0.15,,2009-12,AOR,Restated
2009-09,1.653B,1.653B,538.70M,1.115B,643.90M,83.70M,,8.60M,-64.00M,,,,,736.20M,378.40M,,,,-64.00M,,314.40M,85.40M,229.00M,,,475.00M,96.60M,378.40M,,2009-09,0.6972,0.58,,2009-09,0.57,0.57,,2009-09,0.00,,2009-09,AOR,Restated
2009-06,1.634B,1.634B,536.30M,1.098B,617.10M,82.60M,,8.50M,10.20M,,,,,708.20M,389.80M,,,,10.20M,,400.00M,108.70M,291.30M,,,482.00M,92.20M,389.80M,,2009-06,0.7113,0.73,,2009-06,0.73,0.73,,2009-06,0.00,,2009-06,AOR,Restated
2009-03,1.601B,1.601B,515.50M,1.086B,616.60M,80.40M,,9.60M,7.20M,,,,,706.60M,379.20M,,,,7.20M,,386.40M,105.30M,281.10M,,,470.90M,91.70M,379.20M,,2009-03,0.6968,0.71,,2009-03,0.71,0.71,,2009-03,0.00,,2009-03,AOR,Restated
2008-12,1.718B,1.718B,556.00M,1.162B,647.60M,99.80M,,9.60M,-25.10M,,,,,757.00M,405.20M,,,,-25.10M,,380.10M,102.40M,277.70M,,,498.30M,93.10M,405.20M,,2008-12,0.7359,0.69,,2008-12,0.69,0.69,,2008-12,0.40,,2008-12,AOR,Restated
2008-09,1.653B,1.653B,541.70M,1.111B,644.80M,92.60M,,9.80M,11.90M,,,,,747.20M,364.10M,,,,11.90M,,376.00M,102.20M,273.80M,,,461.70M,97.60M,364.10M,,2008-09,0.6488,0.67,,2008-09,0.66,0.66,,2008-09,0.00,,2008-09,,
2008-06,1.713B,1.713B,533.20M,1.179B,678.20M,90.30M,,10.00M,19.20M,,,,,778.50M,400.90M,,,,19.20M,,420.10M,114.30M,305.80M,,,499.60M,98.70M,400.90M,,2008-06,0.7061,0.74,,2008-06,0.73,0.73,,2008-06,0.00,,2008-06,,Restated
2008-03,1.634B,1.634B,500.50M,1.134B,654.50M,85.10M,,10.60M,20.30M,,,,,750.20M,383.70M,,,,20.30M,,404.00M,113.50M,290.50M,,,481.90M,98.20M,383.70M,,2008-03,0.6745,0.71,,2008-03,0.70,0.70,,2008-03,0.00,,2008-03,,
2007-12,1.658B,1.658B,524.50M,1.134B,658.90M,101.80M,,10.00M,55.90M,,,,,750.90M,382.70M,,,,55.90M,,384.00M,107.90M,276.10M,0.00,,556.00M,95.50M,460.50M,,2007-12,0.5722,0.67,,2007-12,0.67,0.66,,2007-12,0.33,,2007-12,,Restated
2007-09,1.453B,1.453B,457.00M,996.20M,582.90M,96.80M,,9.20M,10.60M,,,,-381.60M,307.30M,688.90M,,,,10.60M,,317.90M,89.20M,228.70M,,,762.80M,73.90M,688.90M,,2007-09,0.5414,0.56,,2007-09,0.55,0.55,,2007-09,0.00,,2007-09,,
2007-06,1.464B,1.464B,444.30M,1.019B,581.60M,92.10M,,11.00M,-2.90M,,,,19.80M,704.50M,314.90M,,,,-2.90M,,331.80M,91.70M,240.10M,269.10M,,423.10M,108.20M,314.90M,,2007-06,0.5951,0.66,,2007-06,0.58,0.65,,2007-06,0.00,,2007-06,,
2007-03,1.426B,1.489B,439.40M,1.050B,568.10M,84.60M,,11.20M,14.20M,,,,,663.90M,386.00M,,,,14.20M,,336.40M,94.60M,241.80M,,,475.00M,89.00M,386.00M,,2007-03,0.5650,0.60,,2007-03,0.58,0.59,,2007-03,0.00,,2007-03,,
2006-12,1.400B,1.400B,444.50M,955.90M,549.50M,91.20M,,11.40M,11.80M,,,,,2.055B,-1.099B,,,,11.80M,,315.60M,88.90M,226.70M,1.20M,,-1.013B,85.40M,-1.099B,,2006-12,0.5393,0.56,,2006-12,0.55,0.55,,2006-12,0.22,,2006-12,,
2006-09,1.231B,1.231B,384.80M,846.30M,502.80M,80.40M,,11.00M,8.10M,,,,-342.10M,252.10M,594.20M,,,,8.10M,,260.20M,73.20M,187.00M,,,677.20M,83.00M,594.20M,,2006-09,0.4457,0.46,,2006-09,0.45,0.46,,2006-09,0.00,,2006-09,,
2006-06,1.262B,1.262B,393.90M,867.90M,493.00M,75.90M,,10.10M,4.90M,,,,,579.00M,288.90M,,,,4.90M,,293.80M,81.70M,212.10M,1.80M,,366.80M,77.90M,288.90M,,2006-06,0.5113,0.53,,2006-06,0.52,0.52,,2006-06,0.00,,2006-06,,
2006-03,1.321B,1.321B,452.90M,868.00M,505.70M,77.10M,,10.40M,-47.50M,,,,,593.20M,274.80M,,,,-47.50M,,227.30M,79.80M,147.50M,,,352.60M,77.80M,274.80M,,2006-03,0.4360,0.36,,2006-03,0.36,0.36,,2006-03,0.00,,2006-03,,
2005-12,1.016B,1.016B,218.80M,797.10M,458.50M,84.10M,,9.30M,-9.60M,,,,,551.90M,245.20M,,,,-9.60M,,235.60M,68.30M,167.30M,,,314.60M,69.40M,245.20M,,2005-12,0.4368,0.45,,2005-12,0.41,0.44,,2005-12,0.11,,2005-12,,
2005-09,1.172B,1.172B,417.30M,754.60M,457.20M,72.00M,,10.50M,-0.60M,,,,,539.70M,214.90M,,,,-0.60M,,214.30M,93.60M,120.70M,,,284.90M,70.00M,214.90M,,2005-09,0.3009,0.30,,2005-09,0.29,0.29,,2005-09,0.00,,2005-09,,
2005-06,1.219B,1.219B,423.10M,795.50M,465.60M,67.00M,,11.40M,-0.20M,,,,,544.00M,251.50M,,,,-0.20M,,251.30M,73.50M,177.80M,,,320.90M,69.40M,251.50M,,2005-06,0.4404,0.44,,2005-06,0.43,0.43,,2005-06,0.00,,2005-06,,
2005-03,1.202B,1.202B,429.10M,773.40M,450.20M,60.60M,,16.40M,-0.60M,,,,,527.20M,246.20M,,,,-0.60M,,245.60M,72.50M,173.10M,,,320.10M,73.90M,246.20M,,2005-03,0.4110,0.41,,2005-03,0.41,0.41,,2005-03,0.00,,2005-03,,
2004-12,1.156B,1.156B,415.80M,739.70M,473.40M,60.20M,,12.20M,-0.50M,,,,,545.80M,193.90M,,,,-0.50M,,193.40M,56.40M,137.00M,,,260.30M,66.40M,193.90M,,2004-12,0.3409,0.34,,2004-12,0.34,0.34,,2004-12,0.09,,2004-12,,
2004-09,1.029B,1.029B,365.10M,663.60M,402.30M,54.60M,,11.60M,-122.70M,,,,,468.50M,195.10M,,,,-122.70M,,72.40M,58.00M,14.40M,,,257.60M,62.50M,195.10M,,2004-09,0.2233,0.04,,2004-09,0.04,0.04,,2004-09,0.00,,2004-09,,
2004-06,1.043B,1.043B,364.70M,678.30M,396.50M,50.50M,,11.20M,-0.10M,,,,,458.20M,220.10M,,,,-0.10M,,218.20M,65.50M,152.70M,,,281.10M,61.00M,220.10M,,2004-06,0.3802,0.38,,2004-06,0.37,0.37,,2004-06,0.00,,2004-06,,
2004-03,1.035B,1.035B,368.20M,666.90M,411.30M,49.60M,,12.80M,2.30M,,,,,473.70M,193.20M,,,,2.30M,,194.10M,58.20M,135.90M,,,254.20M,61.00M,193.20M,,2004-03,0.3360,0.34,,2004-03,0.33,0.33,,2004-03,0.00,,2004-03,,
2003-12,1.001B,1.001B,355.90M,645.40M,386.70M,48.00M,,16.30M,1.90M,,,,,451.00M,194.40M,,,,1.90M,,192.90M,58.80M,134.10M,,,262.60M,68.20M,194.40M,,2003-12,0.2422,0.285,,2003-12,0.245,0.285,,2003-12,0.07,,2003-12,,
2003-09,885.40M,885.40M,328.80M,556.60M,343.40M,44.10M,,10.00M,-0.40M,,,,,397.50M,159.10M,,,,-0.40M,,152.90M,45.10M,107.80M,,,214.20M,55.10M,159.10M,,2003-09,0.2707,0.27,,2003-09,0.265,0.265,,2003-09,0.00,,2003-09,,
2003-06,891.70M,891.70M,326.90M,564.80M,348.40M,44.90M,,10.10M,0.80M,,,,,403.40M,161.40M,,,,0.80M,,155.80M,48.30M,107.50M,,,215.10M,53.70M,161.40M,,2003-06,0.2686,0.27,,2003-06,0.26,0.26,,2003-06,0.00,,2003-06,,
2003-03,846.90M,846.90M,300.80M,546.10M,337.50M,43.20M,,9.00M,1.50M,,,,,389.70M,156.40M,,,,1.50M,,150.90M,46.80M,104.10M,,,209.10M,52.70M,156.40M,,2003-03,0.2574,0.26,,2003-03,0.255,0.255,,2003-03,0.00,,2003-03,,
2002-12,829.20M,829.20M,309.30M,519.90M,316.00M,37.50M,,8.60M,0.30M,,,,,362.10M,157.80M,,,,0.30M,,149.30M,43.20M,106.10M,,,209.40M,51.60M,157.80M,,2002-12,0.2246,0.225,,2002-12,0.22,0.22,,2002-12,0.06,,2002-12,,
2002-09,745.60M,745.60M,279.90M,465.70M,284.30M,35.90M,,8.50M,-17.90M,,,,,328.70M,137.00M,,,,-17.90M,,108.20M,35.70M,72.50M,,,186.10M,49.10M,137.00M,,2002-09,0.2153,0.185,,2002-09,0.18,0.18,,2002-09,0.00,,2002-09,,
2002-06,733.90M,733.90M,267.10M,466.80M,287.90M,34.40M,,5.80M,-0.50M,,,,,328.10M,138.70M,,,,-0.50M,,128.20M,42.30M,85.90M,,,183.90M,45.20M,138.70M,,2002-06,0.2208,0.22,,2002-06,0.21,0.21,,2002-06,0.00,,2002-06,,
2002-03,702.90M,702.90M,254.90M,448.00M,277.20M,33.60M,,6.00M,0.40M,,,,,316.80M,131.20M,,,,0.40M,,121.00M,39.90M,81.10M,,,171.40M,40.20M,131.20M,,2002-03,0.2043,0.205,,2002-03,0.20,0.20,,2002-03,0.00,,2002-03,,
2001-12,709.30M,709.30M,265.80M,443.50M,261.40M,36.10M,,9.40M,2.00M,,,,,306.90M,136.60M,,,,2.00M,,121.70M,39.90M,83.80M,,,182.60M,46.00M,136.60M,,2001-12,0.2014,0.205,,2001-12,0.20,0.20,,2001-12,0.05,,2001-12,,
2001-09,619.00M,619.00M,229.00M,390.00M,239.00M,35.00M,,9.00M,,,,,,283.00M,107.00M,,,,,,90.00M,30.00M,60.00M,,,150.30M,43.30M,107.00M,,2001-09,0.155,0.155,,2001-09,0.15,0.15,,2001-09,0.00,,2001-09,,
2001-06,639.00M,639.00M,237.30M,401.70M,242.00M,35.40M,,9.30M,-0.10M,,,,,286.70M,115.00M,,,,-0.10M,,98.10M,32.40M,65.70M,,,155.30M,40.30M,115.00M,,2001-06,0.1652,0.165,,2001-06,0.16,0.16,,2001-06,0.00,,2001-06,,
2001-03,634.20M,634.20M,214.10M,420.10M,243.40M,35.40M,18.20M,9.90M,2.00M,,,,,306.90M,113.20M,,,,2.00M,,95.70M,31.60M,64.10M,,,155.60M,42.40M,113.20M,,2001-03,0.1616,0.165,,2001-03,0.16,0.16,,2001-03,0.00,,2001-03,,
2000-12,612.00M,612.00M,197.70M,414.30M,232.60M,33.20M,19.00M,8.70M,1.20M,,,,,293.50M,120.80M,,,,1.20M,,100.90M,34.40M,66.50M,,,165.20M,44.40M,120.80M,,2000-12,0.1680,0.17,,2000-12,0.165,0.165,,2000-12,0.04,,2000-12,,
2000-09,548.40M,548.40M,177.50M,370.90M,214.80M,29.40M,17.20M,8.60M,-1.40M,,,,,270.00M,100.90M,,,,-1.40M,,75.80M,25.80M,50.00M,,,140.70M,39.80M,100.90M,,2000-09,0.1324,0.13,,2000-09,0.125,0.125,,2000-09,0.00,,2000-09,,
2000-06,566.50M,566.50M,183.40M,383.10M,220.00M,30.80M,19.60M,9.50M,2.60M,,,,,279.90M,103.20M,,,,2.60M,,79.80M,27.10M,52.70M,,,147.60M,44.40M,103.20M,,2000-06,0.1306,0.135,,2000-06,0.13,0.13,,2000-06,0.00,,2000-06,,
2000-03,562.10M,562.10M,182.40M,379.70M,218.60M,28.60M,19.20M,8.20M,-0.40M,,,,,274.60M,105.10M,,,,-0.40M,,78.50M,26.70M,51.80M,,,145.50M,40.40M,105.10M,,2000-03,0.1357,0.135,,2000-03,0.13,0.13,,2000-03,0.00,,2000-03,,
1999-12,559.10M,559.10M,186.00M,373.10M,213.40M,26.80M,18.00M,8.50M,-9.80M,,,,,266.70M,106.40M,,,,-9.80M,,67.30M,23.50M,43.80M,,,150.80M,44.40M,106.40M,,1999-12,0.1314,0.115,,1999-12,0.115,0.115,,1999-12,0.0325,,1999-12,,
1999-09,498.90M,498.90M,170.10M,328.80M,191.10M,26.90M,15.60M,8.40M,-57.20M,,,,,242.00M,86.80M,,,,-57.20M,,0.20M,0.10M,0.10M,,,125.60M,38.80M,86.80M,,1999-09,0.0888,0.0003,,1999-09,0.0003,0.0003,,1999-09,0.00,,1999-09,,
