,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2008-06,139.84M,-102.51M,0.847M,,-108.69M,15.52M,6.566M,22.09M,22.09M,26.87M,,5.467M,-0.398M,5.069M,54.31M,-4.58M,-2.21M,-7.731M,,21.58M,2.43M,63.80M,-2.966M,146.01M,,-12.15M,-0.043M,-0.043M,6.072M,,0.00,-6.12M,,-94.97M,-6.693M,-101.67M,,-9.221M,-9.221M,,-16.84M,1.324M,0.348M,-126.06M,,62.28M,13.83M,-1.499M,74.62M,,,120.00M,-221.67M,-9.221M,,,Restated
2008-03,45.33M,,0.917M,,7.502M,14.81M,6.535M,21.35M,21.35M,-5.836M,,6.465M,-0.378M,6.087M,-137.65M,-16.20M,-5.644M,20.42M,,9.504M,-12.39M,-141.96M,-2.997M,-70.53M,,-14.04M,3.845M,3.845M,0.165M,,29.96M,19.93M,,76.64M,-7.272M,69.37M,,-12.50M,-12.50M,,-16.91M,0.851M,0.378M,41.19M,,70.80M,-9.417M,0.906M,62.28M,,,159.40M,-90.04M,-12.50M,,,Restated
2007-12,48.54M,,,,3.131M,11.82M,6.896M,18.71M,18.71M,2.231M,,,,4.344M,8.559M,4.094M,10.85M,19.31M,,-9.46M,-4.06M,29.30M,5.686M,111.94M,,-16.35M,0.062M,-16.29M,-1.297M,,-1.50M,-19.09M,,,,-52.41M,1.876M,-13.52M,-11.65M,,-14.92M,,1.498M,-77.48M,,56.56M,15.37M,-1.134M,70.80M,,1.876M,,,-13.52M,,,
2007-09,58.04M,,,,-1.988M,15.60M,5.693M,21.29M,21.29M,-12.41M,,,,3.952M,59.32M,7.947M,-5.131M,-14.90M,,9.607M,5.881M,62.73M,-0.207M,131.42M,,-15.10M,3.60M,-11.50M,-3.379M,,-3.265M,-18.14M,,,,-77.42M,0.59M,-17.84M,-17.25M,,-15.00M,,0.399M,-109.27M,,52.02M,4.012M,0.527M,56.56M,,0.59M,,,-17.84M,,,
2007-06,62.06M,,,,-1.164M,14.75M,8.082M,22.83M,22.83M,-6.121M,,,,5.258M,11.58M,4.683M,5.083M,12.35M,,31.93M,6.874M,72.50M,0.215M,155.58M,,-11.20M,0.207M,-11.00M,-252.30M,,-0.779M,-264.08M,,,,107.18M,3.16M,0.00,3.16M,,-14.97M,,-0.632M,94.74M,,64.23M,-13.76M,1.542M,52.02M,,3.16M,,,0.00,,,
2007-03,42.27M,,,,0.957M,15.44M,4.89M,20.33M,20.33M,-0.355M,,,,5.155M,-98.53M,-2.01M,-8.625M,2.711M,,-23.68M,4.322M,-125.81M,-0.215M,-57.67M,,-18.86M,1.329M,-17.54M,-230.58M,,,-248.12M,,,,336.17M,1.762M,-9.28M,-7.518M,,-15.02M,,1.063M,314.70M,,54.82M,8.911M,0.499M,64.23M,,1.762M,,,-9.28M,,,
2006-12,38.64M,,,,3.135M,10.92M,4.222M,15.14M,15.14M,-10.52M,,,,6.953M,38.68M,-2.409M,-1.337M,3.727M,,28.64M,-19.56M,47.73M,4.479M,105.56M,,-17.58M,0.157M,-17.43M,17.60M,-0.167M,-23.55M,-23.55M,,,,-51.35M,0.94M,-9.359M,-8.419M,,-13.97M,,0.366M,-73.37M,,45.15M,8.644M,1.023M,54.82M,,0.94M,,,-9.359M,,,
2006-09,34.84M,,,,-1.618M,14.38M,4.479M,18.86M,18.86M,-0.27M,,,,5.502M,50.98M,-15.33M,-0.862M,-34.52M,,8.446M,12.62M,21.34M,0.051M,78.71M,,-13.09M,0.276M,-12.82M,-3.185M,0.167M,-2.55M,-18.39M,,,,-18.46M,0.187M,-31.67M,-31.48M,,-14.16M,,0.072M,-64.03M,,48.33M,-3.707M,0.529M,45.15M,,0.187M,,,-31.67M,,,
2006-06,68.63M,,,,-2.663M,15.16M,5.218M,20.37M,20.37M,-2.302M,,,,9.879M,21.35M,-2.653M,1.449M,16.42M,,8.199M,2.26M,47.03M,-1.451M,139.50M,,-11.16M,0.142M,-11.02M,-17.54M,,-2.123M,-30.68M,,,,-79.00M,0.362M,-18.33M,-17.97M,,-14.23M,,0.073M,-111.13M,,50.24M,-2.313M,0.407M,48.33M,,0.362M,,,-18.33M,,,
2006-03,41.62M,,,,4.114M,15.23M,4.258M,19.49M,19.49M,2.483M,,,,,-95.54M,-25.38M,-4.258M,-4.041M,,-40.31M,8.027M,-161.51M,1.499M,-92.30M,,-9.054M,0.079M,-8.975M,-26.16M,,-2.15M,-37.29M,,,,139.86M,2.577M,,2.577M,,-14.22M,,2.532M,130.74M,,48.50M,1.148M,0.589M,50.24M,,2.577M,,,,,,
2005-12,38.96M,,,,15.27M,13.42M,4.18M,17.60M,17.60M,2.441M,,,,-11.22M,22.81M,10.23M,4.338M,15.00M,,2.464M,3.676M,58.53M,0.002M,121.58M,,-11.87M,5.577M,-6.297M,-129.44M,0.236M,-11.28M,-146.78M,,,,62.02M,10.03M,,-14.97M,,-13.24M,,-7.983M,25.82M,,49.35M,0.622M,-1.474M,48.50M,,10.03M,,,,,,
2005-09,44.53M,,,,0.00,14.18M,3.741M,17.92M,17.92M,0.885M,,,,5.725M,28.97M,-7.095M,-0.422M,-12.96M,,16.13M,-6.341M,18.28M,-0.004M,87.34M,,-11.52M,-0.019M,-11.54M,-10.39M,23.60M,-24.55M,-22.87M,,,,-44.34M,0.674M,,0.674M,,-13.24M,,0.174M,-56.73M,,41.85M,7.737M,-0.238M,49.35M,,0.674M,,,,,,
2005-06,61.38M,,,,-7.628M,14.50M,4.081M,18.58M,18.58M,0.181M,,,,5.497M,12.88M,-2.851M,0.295M,11.97M,,19.71M,-0.17M,41.83M,-0.835M,119.01M,,-17.79M,11.55M,-6.235M,-0.402M,,24.77M,18.13M,,,,-132.87M,3.756M,,3.756M,,-13.22M,,4.078M,-138.26M,,43.84M,-1.121M,-0.865M,41.85M,,3.756M,,,,,,
2005-03,40.18M,,,,2.429M,14.46M,3.993M,18.46M,18.46M,2.391M,,,,,-85.61M,-19.49M,-4.331M,-7.382M,,-29.32M,2.396M,-143.73M,0.205M,-80.07M,,-21.29M,,-21.29M,-10.30M,,-1.173M,-32.76M,,,,132.49M,2.599M,,2.599M,,-13.43M,,3.731M,125.39M,,31.50M,12.56M,-0.214M,43.84M,,2.599M,,,,,,
2004-12,27.65M,,,,6.046M,12.12M,3.536M,15.65M,15.65M,17.18M,,,,,13.31M,-5.953M,16.01M,3.184M,,-34.44M,7.853M,-0.043M,-0.103M,66.39M,,-20.31M,,753.08M,8.562M,,,761.71M,,,,-861.57M,0.637M,,-3.563M,,-11.09M,,,-876.22M,,78.79M,-48.12M,0.821M,31.50M,,0.637M,,,,,,
2004-09,47.90M,,,,-40.25M,3.291M,3.681M,6.972M,6.972M,-2.426M,,,,,42.57M,26.19M,6.691M,-39.91M,,33.18M,-3.791M,64.93M,12.50M,89.63M,,-15.21M,,-15.21M,-862.43M,,0.20M,-877.44M,,,,818.52M,0.047M,,0.047M,,-11.04M,,,807.52M,,58.25M,19.71M,0.836M,78.79M,,0.047M,,,,,,
2004-06,55.46M,,,,11.97M,21.21M,3.485M,24.70M,24.70M,1.334M,,,,,32.81M,-62.28M,-14.73M,23.98M,,25.27M,4.974M,10.02M,1.663M,105.15M,,-6.385M,,-6.385M,-12.99M,,-0.20M,-19.58M,,,,-81.64M,0.834M,,0.834M,,-10.54M,,,-91.35M,,63.25M,-5.784M,0.785M,58.25M,,0.834M,,,,,,
2004-03,40.21M,,,,-11.97M,10.44M,3.144M,13.58M,13.58M,0.643M,,,,,-61.76M,-9.959M,-5.792M,30.01M,,10.33M,-2.242M,-39.42M,-0.13M,2.924M,,-6.955M,,-6.955M,-2.296M,,,-9.251M,,,,23.33M,9.344M,,9.344M,,-10.46M,,,22.22M,,47.99M,15.89M,-0.634M,63.25M,,9.344M,,,,,,
2003-12,31.24M,,,,-43.20M,-6.557M,0.169M,-6.388M,-6.388M,19.59M,,,,,2.378M,20.81M,-1.173M,-16.68M,,-14.19M,3.738M,-5.12M,88.49M,84.61M,,-16.30M,,-16.30M,-209.68M,0.132M,2.40M,-223.46M,,,,143.03M,5.285M,,3.696M,,-10.39M,,,136.34M,,50.38M,-2.509M,0.117M,47.99M,,5.285M,,,,,,
2003-09,38.38M,,,,0.00,15.34M,1.339M,16.67M,16.67M,12.34M,,,,,23.56M,25.51M,0.291M,-34.83M,,19.81M,-0.832M,33.50M,-0.214M,100.68M,,-8.385M,,-8.385M,-4.259M,0.035M,-2.399M,-15.01M,,,,-62.77M,-0.189M,,-0.189M,,-10.37M,,,-73.33M,,45.46M,12.34M,-7.424M,50.38M,,-0.189M,,,,,,
2003-06,43.89M,,,,0.098M,16.42M,1.285M,17.71M,17.71M,-1.67M,,,,,2.019M,-19.71M,-1.89M,29.01M,,9.18M,1.677M,20.28M,-0.249M,80.05M,,-11.22M,,-11.22M,-0.571M,-5.603M,0.047M,-17.35M,,,,-53.37M,0.64M,,0.64M,,-10.36M,,,-63.09M,,44.60M,-0.389M,1.25M,45.46M,,0.64M,,,,,,
2003-03,27.85M,,,,0.208M,15.61M,1.281M,16.89M,16.89M,1.056M,,,,,-33.03M,-13.44M,-2.009M,9.747M,,-11.74M,2.186M,-48.29M,-0.118M,-2.401M,,-10.11M,,-10.11M,-14.58M,0.142M,,-24.55M,,,,43.21M,0.059M,,0.059M,,-9.376M,,,33.89M,,39.65M,6.945M,-1.989M,44.60M,,0.059M,,,,,,
2002-12,28.08M,,,,,-5.922M,3.128M,-2.794M,-2.794M,19.33M,,,,,37.33M,14.11M,3.683M,-28.26M,,-66.30M,2.05M,-37.39M,97.56M,49.89M,,-10.07M,0.00,-10.07M,,0.065M,0.158M,-203.07M,,,,163.41M,0.047M,,0.047M,,-9.353M,,,154.10M,,39.59M,0.922M,-0.865M,39.65M,,0.047M,,,,,,
2002-09,37.40M,,,,,14.12M,0.864M,14.99M,14.99M,0.778M,,,,,34.29M,13.40M,7.195M,-16.66M,,16.51M,9.918M,64.65M,0.629M,118.45M,,-8.399M,0.197M,-8.202M,,-5.279M,0.00,-13.48M,,,,-87.27M,0.576M,,0.576M,,-9.354M,,,-96.05M,,29.29M,8.916M,1.386M,39.59M,,0.576M,,,,,,
2002-06,42.98M,,,,,15.34M,0.864M,16.20M,16.20M,1.396M,,,,,4.876M,-4.875M,-6.24M,4.335M,,16.70M,4.103M,18.90M,1.214M,80.69M,,-8.295M,0.409M,-7.886M,,-2.088M,0.00,-9.974M,,,,-53.22M,0.617M,,0.617M,,-8.862M,,,-61.47M,,20.95M,9.248M,-0.905M,29.29M,,0.617M,,,,,,
2002-03,21.44M,,,,,15.04M,0.864M,15.90M,15.90M,2.089M,,,,,-48.40M,3.255M,1.148M,21.14M,,6.376M,-2.88M,-19.37M,1.712M,21.77M,,-6.98M,1.138M,-5.842M,,-2.081M,-0.165M,-8.088M,,,,-27.81M,1.49M,,1.49M,,-8.851M,,,-35.17M,,39.84M,-21.49M,2.593M,20.95M,,1.49M,,,,,,
2001-12,-40.92M,,,,66.19M,14.01M,10.71M,24.72M,24.72M,-9.158M,,,,,65.47M,39.86M,12.62M,-28.90M,,-41.55M,-2.354M,45.15M,-0.904M,85.08M,,-16.03M,,54.07M,0.00,-4.874M,,49.01M,,,,-123.21M,1.421M,0.00,1.421M,,-8.828M,,,-130.61M,,32.82M,3.474M,3.554M,39.84M,,1.421M,,,0.00,,,
2001-09,24.67M,,,,0.00,15.83M,10.40M,26.23M,26.23M,3.579M,,,,,21.65M,5.225M,-4.501M,-25.20M,,12.70M,0.933M,10.81M,3.443M,68.73M,,-12.51M,,-12.51M,0.00,-3.866M,,-16.37M,,,,-38.99M,-0.156M,-1.458M,-1.614M,,-8.834M,,,-49.44M,,27.69M,2.923M,2.204M,32.82M,,-0.156M,,,-1.458M,,,
2001-06,28.56M,,,,0.00,15.98M,10.68M,26.66M,26.66M,1.144M,,,,,29.20M,36.14M,-3.493M,7.644M,,-1.33M,-3.406M,64.76M,-2.493M,118.62M,,-12.27M,,-12.27M,5.00M,-16.70M,,-23.97M,,,,-91.10M,1.397M,,1.397M,,-8.334M,,,-98.03M,,33.00M,-3.381M,-1.933M,27.69M,,1.397M,,,,,,
2001-03,20.56M,,,,2.50M,16.85M,9.884M,26.74M,26.74M,-0.88M,,,,,-45.44M,6.615M,-3.969M,-22.87M,,-11.09M,-2.378M,-79.12M,-9.894M,-40.10M,,-12.86M,,-12.86M,-6.937M,,,-19.80M,,,,63.24M,0.251M,,0.251M,,-8.331M,,,55.16M,,34.94M,-4.733M,2.792M,33.00M,,0.251M,,,,,,
2000-12,-26.09M,,,,24.59M,,,20.87M,20.87M,11.15M,,,,,37.39M,20.58M,,19.95M,-8.635M,12.00M,,81.28M,44.14M,155.92M,,-22.70M,,-22.70M,,,-0.032M,-22.74M,,,,-128.01M,-2.074M,0.00,-2.074M,,-8.271M,,0.307M,-138.05M,,56.57M,-4.863M,-13.55M,34.94M,,-2.074M,,,0.00,,,
2000-09,12.67M,,,,0.00,,,23.50M,23.50M,-3.398M,,,,,16.56M,-1.232M,,-9.663M,,-6.589M,,-0.924M,,31.85M,,-15.85M,,-15.85M,,,-0.088M,-15.94M,,,,-11.72M,-0.024M,-0.41M,-0.434M,,-8.25M,,-0.307M,-20.71M,,56.13M,-4.80M,5.247M,56.57M,,-0.024M,,,-0.41M,,,
2000-06,39.08M,,,,1.446M,-16.76M,-10.19M,27.71M,27.71M,4.499M,,,,,52.94M,-21.88M,,56.98M,5.19M,-29.01M,,64.21M,11.35M,148.31M,,-18.71M,,-18.71M,,,0.088M,-18.62M,,,,-109.39M,5.445M,,5.445M,,-7.763M,,,-111.71M,,38.90M,17.98M,-3.965M,56.13M,,5.445M,,,,,,
2000-03,31.44M,,,,-1.246M,16.76M,10.19M,26.95M,26.95M,0.871M,,,,,-89.16M,-42.65M,,-34.73M,-5.19M,-26.07M,,-197.80M,-11.35M,-151.13M,,-10.78M,,-10.78M,,,,-10.78M,,,,136.63M,0.527M,,0.527M,,-7.754M,,,129.40M,,63.02M,-32.51M,8.391M,38.90M,,0.527M,,,,,,
1999-12,43.01M,,,,-14.95M,,,21.57M,21.57M,3.001M,,,,,23.35M,-7.64M,,35.38M,,3.012M,,61.54M,,101.90M,,928.13M,,928.13M,-953.12M,,-0.136M,-25.13M,,,,-500.10M,214.63M,-0.03M,214.60M,,-7.701M,,,-45.63M,,30.30M,31.13M,4.60M,66.20M,,214.63M,,,-0.03M,,,
1999-09,29.80M,,,,0.00,,,22.90M,22.90M,-11.00M,,,,0.10M,-23.40M,-9.10M,,17.30M,,5.70M,,-9.50M,,32.30M,,-900.80M,-0.10M,-900.90M,,,1.80M,-899.10M,,,,864.10M,0.20M,0.00,0.20M,,-6.80M,,,857.50M,,41.60M,-9.30M,-2.00M,30.30M,,0.20M,,,0.00,,,
1999-06,28.26M,,,,0.00,,,18.99M,18.99M,1.77M,,,,-0.10M,-6.147M,-1.479M,,1.763M,,-24.18M,15.40M,-14.64M,,34.28M,,-73.57M,0.10M,-73.47M,0.033M,,-0.088M,-73.53M,,,,52.79M,0.696M,-0.649M,0.047M,,-6.86M,,,45.98M,,31.06M,6.731M,3.849M,41.60M,,0.696M,,,-0.649M,,,
1999-03,2.24M,,,,38.00M,,,18.61M,18.61M,0.93M,,,,,-24.85M,-8.521M,,-27.96M,,-7.216M,-15.40M,-83.96M,,-24.18M,,-7.427M,,-7.427M,-0.033M,,0.088M,-7.372M,,,,25.31M,3.404M,-3.351M,0.053M,,-6.84M,,,18.52M,,32.04M,-13.03M,12.05M,31.06M,,3.404M,,,-3.351M,,,
1998-12,32.94M,,,,,,,10.05M,10.05M,5.069M,,,,15.70M,-8.966M,26.75M,,26.08M,,-8.59M,,37.36M,,80.07M,,4.365M,0.001M,4.366M,,,-0.089M,-53.42M,,,,-18.14M,1.715M,0.027M,1.742M,,-6.53M,,0.615M,-22.31M,,0.00,4.339M,-1.576M,29.14M,,1.715M,,,0.027M,,,
1998-09,25.80M,,,,,,,15.10M,15.10M,0.20M,,,,-15.70M,7.70M,-4.60M,,-10.40M,,22.90M,,15.60M,,41.00M,,-16.20M,0.00,-16.20M,,,0.00,-16.20M,,,,-8.90M,-2.40M,-9.80M,-12.20M,,-6.90M,,3.70M,-24.30M,,0.00,0.50M,-2.00M,0.00,,-2.40M,,,-9.80M,,,
1998-06,24.40M,,,,,,,18.40M,18.40M,-1.40M,,,,10.80M,11.60M,-9.90M,,8.50M,,-13.20M,,-3.00M,,49.20M,,-26.90M,13.00M,-13.90M,,,0.70M,-13.20M,,,,-12.50M,1.20M,-2.60M,-1.40M,,-7.00M,,1.10M,-19.80M,,0.00,16.20M,-6.50M,0.00,,1.20M,,,-2.60M,,,
1998-03,23.70M,,,,,,,18.50M,18.50M,0.20M,,,,-10.80M,-26.70M,-6.00M,,-33.20M,,-15.10M,,-81.00M,,-49.40M,,-4.60M,,-4.60M,,,,-4.60M,,,,47.70M,1.20M,,1.20M,,-6.90M,,0.90M,42.90M,,34.30M,-11.10M,2.40M,0.00,,1.20M,,,,,,
1997-12,29.50M,,,,0.00,,,16.40M,16.40M,-10.40M,,,,-0.20M,-0.80M,28.10M,,46.70M,-37.80M,17.80M,,54.00M,,89.30M,,-21.60M,,90.40M,,0.00,6.20M,96.60M,,,,-167.10M,5.50M,,5.50M,,-6.40M,,2.40M,-165.60M,,0.00,20.30M,-10.90M,0.00,,5.50M,,,,,,
1997-09,22.20M,,,,-5.90M,,,16.60M,16.60M,-0.80M,,,,-0.10M,-31.90M,-9.80M,,-4.40M,30.90M,18.10M,,2.90M,,34.90M,,-9.80M,,-9.80M,,49.10M,-188.00M,-148.70M,,,,119.50M,-5.30M,,-5.30M,,-6.30M,,5.70M,113.60M,,0.00,-0.20M,-3.50M,0.00,,-5.30M,,,,,,
1997-06,20.50M,,,,,,,17.50M,17.50M,-0.80M,,,,0.20M,-3.00M,-26.60M,,1.30M,,-10.70M,,-39.00M,,-1.60M,,-8.20M,,-8.20M,,-2.40M,-20.20M,-30.80M,,,,46.40M,1.50M,,1.50M,,-6.40M,,,41.50M,,0.00,9.10M,2.30M,0.00,,1.50M,,,,,,
1997-03,19.40M,,,,,,,17.30M,17.30M,0.70M,,,,,-25.90M,-14.10M,,3.10M,,-5.20M,,-42.10M,,-4.70M,,-37.90M,,-37.90M,,,-1.50M,-39.40M,,,,38.30M,3.80M,,3.80M,,-6.30M,,,35.80M,,23.00M,-8.30M,2.60M,0.00,,3.80M,,,,,,
1996-12,22.30M,,,,,,,15.10M,15.10M,-2.70M,,,,,23.10M,23.20M,,0.10M,,7.30M,,40.20M,,74.90M,,-107.30M,100.00M,-7.30M,,-3.90M,-72.10M,-83.30M,,,,-3.10M,2.10M,,2.10M,,-5.90M,,3.70M,-3.20M,,0.00,-11.60M,0.00,0.00,,2.10M,,,,,,
1996-09,18.60M,,,,,,,14.90M,14.90M,2.70M,,,,,-22.00M,14.40M,,-3.90M,,7.70M,,-3.80M,,32.40M,,-17.00M,,-17.00M,,-2.60M,0.30M,-19.30M,,,,0.30M,-1.80M,,-1.80M,,-5.90M,,3.10M,-4.30M,,0.00,8.80M,2.90M,0.00,,-1.80M,,,,,,
1996-06,17.10M,,,,,,,14.90M,14.90M,0.90M,,,,,7.70M,-18.90M,,-7.50M,,-3.90M,,-22.60M,,10.30M,,-13.10M,-100.00M,-113.10M,,-1.70M,68.70M,-46.10M,,,,33.70M,2.30M,,2.30M,,-6.00M,,-1.20M,28.80M,,0.00,-7.00M,1.90M,0.00,,2.30M,,,,,,
1996-03,16.50M,,,,,,,14.60M,14.60M,-0.40M,,,,,-25.60M,-35.00M,,13.90M,,0.10M,,-46.60M,,-15.90M,,-9.40M,100.00M,90.60M,,-1.50M,-126.90M,-37.80M,,,,45.20M,3.90M,,3.90M,,-5.90M,,1.10M,44.30M,,36.60M,-9.40M,0.80M,0.00,,3.90M,,,,,,
1995-12,18.00M,,,,16.70M,,,13.10M,13.10M,5.40M,,,,-16.50M,12.90M,23.60M,,11.70M,,4.70M,,42.80M,-13.10M,66.40M,,-27.90M,3.30M,-24.60M,,-1.50M,-16.60M,-42.70M,,,,-5.80M,1.00M,,1.00M,,-4.30M,,0.10M,-9.00M,,0.00,14.70M,-4.80M,0.00,,1.00M,,,,,,
1995-09,15.30M,,,,0.00,,,12.10M,12.10M,0.90M,,,,0.00,-13.50M,18.80M,,0.20M,,2.70M,,8.20M,-21.30M,15.20M,,-13.30M,6.30M,-7.00M,,-4.80M,,-11.80M,,,,-1.30M,0.40M,,0.40M,,-5.60M,,2.00M,-4.50M,,0.00,-1.10M,-4.60M,0.00,,0.40M,,,,,,
1995-06,28.50M,,,,-16.70M,,,5.70M,5.70M,0.20M,,,,0.10M,-1.30M,-15.20M,,0.30M,,2.00M,,-14.20M,-0.50M,3.10M,,-6.30M,206.50M,200.20M,,0.30M,-4.80M,195.70M,,,,-190.00M,-1.80M,,-1.80M,,-5.00M,,4.20M,-192.60M,,0.00,6.20M,0.90M,0.00,,-1.80M,,,,,,
1995-03,15.40M,,,,,,,18.00M,18.00M,-0.80M,,,,-0.20M,-32.20M,-36.50M,,-2.20M,,24.50M,,-46.40M,,-14.00M,,-16.30M,,-16.30M,,-1.00M,4.80M,-12.50M,,,,17.70M,4.60M,,4.60M,,-5.00M,,,17.30M,,32.70M,-9.20M,1.70M,0.00,,4.60M,,,,,,
1994-12,16.90M,,,,,,,11.60M,11.60M,8.40M,,,,-0.60M,9.40M,9.40M,,16.90M,,-4.90M,,24.90M,,61.20M,,-33.90M,,-33.90M,,-2.00M,-11.10M,-47.00M,,,,-7.40M,0.70M,,0.70M,,-4.60M,,1.60M,-9.70M,,0.00,4.50M,7.50M,32.70M,,0.70M,,,,,,
1994-09,13.80M,,,,,,,19.10M,19.10M,0.50M,,,,-0.90M,-20.50M,-1.20M,,1.30M,,8.00M,,-12.40M,,20.10M,,-20.90M,,-20.90M,,-2.90M,0.40M,-23.40M,,,,7.70M,0.60M,,0.60M,,-4.60M,,4.00M,7.70M,,0.00,4.40M,-1.30M,0.00,,0.60M,,,,,,
1994-06,11.80M,,,,,,,15.70M,15.70M,0.20M,,,,0.10M,1.70M,-12.50M,,0.20M,,6.40M,,-4.20M,,23.60M,,-22.90M,,-22.90M,,-0.90M,6.50M,-17.30M,,,,-17.40M,-0.80M,,-0.80M,,-4.70M,,2.30M,-20.60M,,0.00,-14.30M,4.30M,0.00,,-0.80M,,,,,,
1994-03,11.10M,,,,,,,17.70M,17.70M,-0.10M,,,,-0.40M,-22.30M,-15.40M,,-2.00M,,17.60M,,-22.10M,,6.20M,,-15.00M,,-15.00M,,0.70M,-142.00M,-156.30M,,,,169.40M,2.50M,,2.50M,,-4.60M,,,167.30M,,10.30M,17.20M,,0.00,,2.50M,,,,,,
1993-12,14.00M,,,,-11.80M,,,12.70M,12.70M,5.50M,,,,1.90M,13.70M,2.70M,,24.50M,-1.20M,-0.80M,,38.90M,,61.20M,,-34.10M,,-34.10M,,-3.10M,-12.40M,-49.60M,,,,-9.20M,1.30M,,1.30M,,-4.40M,,3.30M,-9.00M,,0.00,2.60M,,0.00,,1.30M,,,,,,
1993-09,13.30M,,,,11.80M,,,11.90M,11.90M,-0.10M,,,,-0.90M,-22.00M,0.40M,,-2.40M,-3.50M,10.60M,,-16.90M,,19.10M,,-14.70M,,-14.70M,,-3.30M,-4.70M,-22.70M,,,,5.60M,-2.00M,,-2.00M,,-4.40M,,3.80M,3.00M,,0.00,-0.60M,,0.00,,-2.00M,,,,,,
1993-06,9.80M,,,,,,,12.70M,12.70M,-2.10M,,,,-9.60M,11.40M,-15.80M,,-0.10M,,11.50M,,7.00M,,17.80M,,-11.80M,,-11.80M,,-2.00M,2.00M,-11.80M,,,,-1.50M,2.50M,,2.50M,,-4.50M,,-1.10M,-4.60M,,0.00,1.40M,,0.00,,2.50M,,,,,,
1993-03,9.50M,,,,,,,12.80M,12.80M,0.10M,,,,10.50M,-19.40M,-3.20M,,-16.60M,,-0.90M,,-40.10M,,-7.20M,,-12.80M,,-12.80M,,-2.10M,-1.50M,-16.40M,,,,24.30M,1.40M,,1.40M,,-4.70M,,1.10M,22.10M,,8.40M,-1.50M,,0.00,,1.40M,,,,,,
1992-12,14.30M,,,,,,,11.40M,11.40M,0.50M,,,,-15.70M,13.60M,-3.30M,,23.60M,,13.20M,,44.00M,,52.80M,,-25.10M,,-25.10M,,,-21.40M,-54.60M,,,,3.10M,0.30M,,0.30M,,-4.70M,,4.00M,2.70M,,0.00,0.90M,,0.00,,0.30M,,,,,,
1992-09,11.60M,,,,,,,11.70M,11.70M,-1.00M,,,,5.40M,-19.00M,1.20M,,1.80M,,4.40M,,-11.60M,,16.10M,,-13.00M,,-13.00M,,,2.20M,-10.80M,,,,1.80M,0.60M,,0.60M,,-4.80M,,0.20M,-2.20M,,0.00,3.10M,,0.00,,0.60M,,,,,,
1992-06,8.20M,,,,,,,12.40M,12.40M,0.50M,,,,7.50M,-2.80M,-5.30M,,5.90M,,-3.80M,,-6.00M,,22.60M,,-19.40M,,-19.40M,,,2.50M,-16.90M,,,,-2.80M,0.60M,,0.60M,,-4.70M,,-0.10M,-7.00M,,0.00,-1.30M,,0.00,,0.60M,,,,,,
1992-03,8.70M,,,,,,,12.40M,12.40M,-0.60M,,,,2.90M,-7.30M,-3.00M,,-10.10M,,-8.70M,,-29.10M,,-5.70M,,-9.70M,,-9.70M,,,2.30M,-7.40M,,,,15.00M,2.40M,,2.40M,,-4.70M,,,12.70M,,6.10M,-0.40M,,0.00,,2.40M,,,,,,
1991-12,13.70M,,,,,,,11.70M,11.70M,-2.00M,,,,-2.60M,16.00M,-8.80M,,8.60M,,14.30M,,22.70M,,43.50M,,-16.60M,0.00,-16.60M,,,-3.50M,-25.10M,,,,-17.40M,-1.10M,,-1.10M,,-7.90M,,6.20M,-20.20M,,0.00,-1.80M,,0.00,,-1.10M,,,,,,
1991-09,11.10M,,,,,,,11.70M,11.70M,0.80M,,,,-2.60M,-8.20M,9.70M,,6.00M,,-11.60M,,-4.10M,,16.90M,,-12.30M,11.00M,-1.30M,,,0.80M,-0.50M,,,,-7.70M,0.70M,,0.70M,,-3.50M,,0.10M,-10.40M,,0.00,6.00M,,0.00,,0.70M,,,,,,
1991-06,8.90M,,,,,,,11.80M,11.80M,0.10M,,,,-1.00M,1.80M,-1.90M,,1.20M,,2.60M,,3.70M,,23.50M,,-11.10M,,-11.10M,,,3.40M,-7.70M,,,,-14.60M,0.50M,,0.50M,,-3.40M,,-0.10M,-17.60M,,0.00,-1.80M,,0.00,,0.50M,,,,,,
