,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,532.96M,12.36M,,12.36M,,,199.08M,199.08M,643.00M,0.00,,13.14M,-355.92M,,,,,,,-32.68M,,,2020-09,-538.17M,-112.83M,-182.59M,-1.312B,-956.28M,64.01M,-2.743B,2020-09,958.30M,958.30M,,,,,12.94M,-1.67M,969.56M,,2020-09,-766.58M,,1.885B,,,1.00B,-41.70M,,,,,AOR,
2020-06,480.41M,-0.032M,,-0.032M,,,152.12M,152.12M,93.14M,0.00,,18.39M,57.26M,,,,,,,25.30M,,,2020-06,-395.84M,-99.55M,-134.60M,,519.61M,-80.18M,43.58M,2020-06,-1.119B,-1.119B,,,,,3.551M,-0.001M,-1.115B,,2020-06,-236.78M,,2.651B,,,,-1.119B,,,,,AOR,
2020-03,99.27M,-0.058M,,-0.058M,,,166.82M,166.82M,28.94M,356.42M,,16.42M,54.53M,,,,,,,132.16M,,,2020-03,-338.99M,-97.16M,,,-144.21M,2.065M,-481.14M,2020-03,-16.71M,-16.71M,,,,,5.525M,0.002M,-11.19M,,2020-03,383.63M,,2.888B,,,,-16.71M,,,,,AOR,
2019-12,413.55M,0.636M,,0.636M,,,173.56M,173.56M,53.41M,0.00,,5.968M,48.94M,,,,,,,-56.13M,,,2019-12,-286.42M,-119.68M,0.00,,-223.11M,-66.10M,-575.63M,2019-12,-20.44M,-20.44M,,,,,1.003B,-0.02M,982.36M,,2019-12,1.041B,,2.504B,,,0.00,-20.44M,,,,,AOR,
2019-09,377.16M,-1.302M,,-1.302M,,,154.18M,154.18M,60.81M,0.00,,-15.35M,296.69M,,,,,,,-194.92M,,,2019-09,-474.05M,-179.68M,-5.421M,0.00,637.89M,55.52M,219.36M,2019-09,-1.305B,-1.305B,,,,,4.615M,-53.57M,-1.354B,,2019-09,-451.90M,,1.464B,,,0.00,-1.305B,,,,,AOR,Restated
2019-06,340.57M,-0.838M,,-0.838M,,,149.70M,149.70M,60.11M,0.00,,12.10M,-20.13M,,,,,,,72.77M,,,2019-06,-323.51M,-160.86M,-6.734M,,-12.54M,14.75M,-321.30M,2019-06,-4.874M,-4.874M,,,,,22.67M,20.50M,38.29M,,2019-06,330.38M,,1.916B,,,,-4.874M,,,,,AOR,Restated
2019-03,361.30M,-2.617M,,-2.617M,,,153.14M,153.14M,53.92M,0.00,,11.54M,-4.469M,,,,,,,158.12M,,,2019-03,-410.63M,-120.86M,,,367.87M,2.495M,-40.27M,2019-03,-29.00M,-29.00M,,,,,4.75M,29.00M,4.753M,,2019-03,697.41M,,1.585B,,,,-29.00M,,,,,AOR,Restated
2018-12,357.29M,1.245M,,1.245M,,,171.06M,171.06M,146.09M,,,11.36M,4.278M,,,,,,,-189.22M,,,2018-12,-271.15M,-111.13M,,,-546.93M,0.831M,-817.25M,2018-12,-30.21M,-30.21M,,,,,3.681M,-0.51M,-27.04M,,2018-12,-342.18M,,887.92M,,,,-30.21M,,,,,AOR,Restated
2018-09,452.60M,-30.58M,,-30.58M,,,175.28M,175.28M,111.90M,,,6.125M,-12.86M,,,,,,,-12.08M,,,2018-09,-407.15M,-114.69M,,,-63.96M,10.55M,-460.56M,2018-09,-12.50M,-12.50M,,,,,4.57M,0.00,-7.929M,,2018-09,221.90M,,1.230B,,,,-12.50M,,,,,AOR,Restated
2018-06,460.29M,-19.30M,,-19.30M,,,172.70M,172.70M,104.64M,,,9.712M,-33.20M,,,,,,,-121.06M,,,2018-06,-276.37M,-97.60M,,,-367.11M,2.612M,-640.87M,2018-06,-1.042B,-1.042B,,,,,3.739M,-2.601M,-1.040B,,2018-06,-1.108B,,1.008B,,,,-1.042B,,,,,AOR,Restated
