,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,949.10M,101.20M,1.050B,864.60M,,864.60M,572.60M,14.00M,191.00M,,777.60M,51.20M,,,2.744B,0.00,178.30M,847.60M,5.812B,318.00M,280.60M,7.436B,-4.074B,3.363B,863.50M,305.40M,1.169B,45.20M,,52.20M,4.629B,7.373B,,352.10M,76.70M,42.90M,471.70M,69.90M,541.60M,5.00M,,,,69.60M,69.60M,,775.40M,2.479B,187.00M,2.666B,363.70M,363.70M,300.70M,,61.70M,3.392B,4.167B,,0.90M,2.807B,548.70M,,,,,,,-150.90M,3.205B,,AOR,
2020-06,853.30M,86.90M,940.20M,817.30M,,823.40M,589.70M,13.10M,231.70M,,834.50M,60.90M,,,2.659B,0.00,177.50M,845.10M,5.794B,315.90M,214.50M,7.347B,-4.002B,3.344B,863.50M,314.90M,1.178B,36.30M,,53.90M,4.613B,7.272B,,315.20M,76.50M,22.90M,414.60M,52.30M,466.90M,4.80M,,,,68.70M,68.70M,,683.60M,2.478B,186.70M,2.665B,361.10M,361.10M,369.50M,,60.00M,3.455B,4.139B,,0.90M,2.743B,542.70M,,,,,,,-153.40M,3.133B,,AOR,
2020-03,764.00M,92.30M,856.30M,879.50M,,879.50M,576.80M,12.90M,220.20M,,809.90M,67.90M,,,2.614B,0.00,177.80M,844.70M,5.743B,319.30M,205.80M,7.290B,-3.916B,3.374B,918.70M,329.20M,1.248B,57.10M,,55.10M,4.734B,7.348B,,389.00M,77.00M,22.80M,488.80M,69.40M,558.20M,5.10M,,,,65.90M,65.90M,,744.60M,2.477B,192.80M,2.670B,354.30M,354.30M,372.30M,,56.30M,3.453B,4.198B,,0.90M,2.771B,534.90M,,,,,,,-157.00M,3.150B,,AOR,
2019-12,679.50M,87.90M,767.40M,845.60M,,872.10M,575.40M,11.00M,207.70M,,794.10M,44.80M,,,2.478B,0.00,177.50M,837.40M,5.727B,315.80M,174.00M,7.232B,-3.846B,3.386B,918.70M,338.80M,1.258B,58.10M,,55.80M,4.757B,7.236B,,351.90M,76.60M,15.30M,443.80M,56.00M,499.80M,5.60M,,,,64.10M,64.10M,,723.80M,2.477B,193.60M,2.670B,340.10M,340.10M,375.50M,,55.00M,3.441B,4.165B,,0.90M,2.705B,524.80M,,,,,,,-159.50M,3.071B,,AOR,
2019-09,738.30M,,738.30M,932.30M,,941.80M,574.70M,15.80M,215.80M,,806.30M,44.90M,,,2.531B,0.00,167.50M,815.40M,5.672B,309.40M,173.30M,7.138B,-3.795B,3.343B,918.70M,348.50M,1.267B,,,49.90M,4.660B,7.191B,,385.50M,76.30M,25.20M,487.00M,64.40M,551.40M,5.30M,,,,61.90M,61.90M,,770.70M,2.486B,193.70M,2.68B,327.60M,327.60M,320.30M,,57.80M,3.386B,4.156B,,0.90M,2.644B,518.90M,,,,,,,-128.80M,3.035B,,AOR,Restated
2019-06,569.40M,,569.40M,947.00M,,958.40M,587.50M,14.30M,213.90M,,815.70M,59.20M,,,2.403B,0.00,167.70M,812.00M,5.604B,316.10M,172.20M,7.072B,-3.726B,3.345B,918.70M,358.20M,1.277B,,,49.60M,4.672B,7.074B,,382.80M,75.90M,21.10M,479.80M,45.80M,525.60M,5.00M,,,,61.40M,61.40M,,729.60M,2.485B,200.20M,2.686B,314.80M,314.80M,364.90M,,58.30M,3.424B,4.153B,,0.90M,2.539B,513.30M,,,,,,,-132.20M,2.921B,,AOR,Restated
2019-03,442.40M,,442.40M,930.30M,,930.30M,607.60M,13.60M,210.50M,,831.70M,58.00M,,,2.262B,0.00,165.60M,806.60M,5.522B,293.20M,193.90M,6.981B,-3.654B,3.327B,917.30M,368.70M,1.286B,,,53.10M,4.666B,6.929B,,405.10M,76.20M,29.70M,511.00M,55.20M,566.20M,5.30M,,,,58.70M,58.70M,,740.70M,2.485B,182.60M,2.667B,305.70M,305.70M,363.50M,,56.90M,3.393B,4.134B,,0.90M,2.428B,501.40M,,,,,,,-135.50M,2.795B,,AOR,Restated
2018-12,361.50M,0.00,361.50M,901.90M,,918.60M,582.70M,13.90M,199.00M,,795.60M,39.40M,,,2.115B,0.00,161.90M,795.50M,5.482B,75.40M,176.70M,6.691B,-3.582B,3.109B,917.30M,378.30M,1.296B,0.00,,50.50M,4.455B,6.570B,,382.20M,76.10M,13.40M,471.70M,49.10M,520.80M,5.00M,,,,1.40M,1.40M,,693.60M,2.484B,17.60M,2.501B,285.20M,285.20M,357.50M,,59.70M,3.204B,3.897B,,0.90M,2.316B,494.50M,,,,,,,-138.80M,2.672B,,AOR,Restated
2018-09,293.80M,,293.80M,986.20M,,991.30M,585.30M,14.90M,180.40M,,780.60M,49.00M,,,2.115B,0.00,162.00M,756.20M,5.357B,72.80M,240.60M,6.588B,-3.523B,3.065B,888.70M,373.90M,1.263B,,,57.60M,4.385B,6.50B,,438.90M,75.80M,21.30M,536.00M,63.00M,599.00M,4.70M,,,,1.40M,1.40M,,766.50M,2.483B,17.90M,2.501B,279.30M,279.30M,360.20M,,63.00M,3.203B,3.970B,,0.90M,2.186B,488.90M,,,,-133.20M,-0.70M,-11.20M,-145.10M,2.530B,,AOR,Restated
2018-06,199.60M,,199.60M,920.00M,,936.70M,551.00M,15.10M,197.60M,,763.70M,56.60M,,,1.957B,0.00,159.70M,735.80M,5.364B,71.60M,209.80M,6.541B,-3.514B,3.026B,888.70M,384.10M,1.273B,,,59.70M,4.359B,6.316B,,431.70M,75.50M,18.40M,525.60M,44.50M,570.10M,4.40M,,,,1.40M,1.40M,,715.80M,2.482B,18.30M,2.500B,272.80M,272.80M,374.90M,,63.70M,3.212B,3.928B,,0.90M,2.054B,482.10M,,,,-136.10M,-0.70M,-12.20M,-149.00M,2.388B,,AOR,Restated
