,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,162.00M,,162.00M,899.00M,,899.00M,503.00M,155.00M,,,,1.719B,,,,,,43.55B,-34.49B,9.067B,,,,1.524B,565.00M,,11.16B,12.88B,,395.00M,18.00M,413.00M,369.00M,782.00M,47.00M,184.00M,184.00M,110.00M,294.00M,,143.00M,1.382B,1.859B,8.75B,8.75B,271.00M,271.00M,1.004B,600.00M,650.00M,12.13B,13.51B,,262.00M,-10.47B,11.74B,3.189B,,,,16.00M,-1.641B,,AOR,
2020-06,135.00M,,135.00M,871.00M,,871.00M,477.00M,175.00M,,,,1.658B,,,,,,43.43B,-34.09B,9.344B,,,,1.408B,589.00M,,11.34B,13.00B,,459.00M,33.00M,492.00M,486.00M,978.00M,47.00M,294.00M,294.00M,123.00M,417.00M,,161.00M,1.71B,1.836B,8.523B,8.523B,299.00M,299.00M,999.00M,592.00M,675.00M,11.92B,13.64B,,262.00M,-10.47B,11.74B,3.189B,,,,15.00M,-1.635B,,AOR,
2020-03,428.00M,,428.00M,838.00M,,838.00M,452.00M,190.00M,,,,1.908B,,,,,,43.24B,-33.65B,9.586B,,,,1.337B,560.00M,,11.48B,13.39B,,528.00M,42.00M,570.00M,544.00M,1.114B,47.00M,544.00M,544.00M,134.00M,678.00M,,114.00M,2.025B,1.814B,8.336B,8.336B,309.00M,309.00M,1.018B,573.00M,562.00M,11.59B,13.62B,,262.00M,-10.08B,11.75B,3.189B,,,,15.00M,-1.246B,,AOR,
2019-12,247.00M,,247.00M,1.062B,,1.062B,502.00M,150.00M,,,,1.961B,,,,1.957B,,43.96B,-29.80B,14.16B,,,,1.258B,730.00M,,16.15B,18.11B,,695.00M,51.00M,746.00M,614.00M,1.36B,47.00M,11.00M,11.00M,169.00M,180.00M,,56.00M,1.855B,1.811B,8.555B,8.555B,346.00M,346.00M,1.21B,555.00M,520.00M,11.79B,13.64B,,261.00M,-5.601B,11.77B,3.19B,,,,16.00M,3.255B,,AOR,
2019-09,163.00M,,163.00M,1.07B,,1.07B,475.00M,245.00M,,,,1.971B,,,,,,44.61B,-26.95B,17.66B,,,,1.095B,684.00M,,19.43B,21.40B,,661.00M,80.00M,741.00M,681.00M,1.422B,66.00M,19.00M,19.00M,149.00M,168.00M,,94.00M,1.921B,1.853B,8.393B,8.393B,340.00M,340.00M,1.567B,539.00M,491.00M,11.62B,13.54B,,261.00M,-2.625B,11.85B,3.19B,,,,3.00M,6.301B,,AOR,Restated
2019-06,549.00M,,549.00M,1.098B,,1.098B,453.00M,312.00M,,,,2.791B,,,,,,43.99B,-26.24B,17.76B,,,,527.00M,732.00M,,19.02B,21.81B,,644.00M,126.00M,770.00M,764.00M,1.534B,66.00M,175.00M,175.00M,172.00M,347.00M,,180.00M,2.262B,1.85B,8.157B,8.157B,348.00M,348.00M,1.603B,521.00M,514.00M,11.39B,13.65B,,261.00M,-2.455B,11.93B,3.19B,,,,4.00M,6.551B,,AOR,Restated
2019-03,327.00M,,327.00M,1.185B,,1.185B,438.00M,337.00M,,,,2.504B,,,,,,46.94B,-28.65B,18.29B,,,,209.00M,747.00M,,19.25B,21.75B,,679.00M,60.00M,739.00M,808.00M,1.547B,66.00M,339.00M,339.00M,187.00M,526.00M,,139.00M,2.374B,1.879B,8.094B,8.094B,370.00M,370.00M,1.62B,,425.00M,10.77B,13.14B,,261.00M,-2.095B,12.01B,3.19B,,,,4.00M,6.989B,,AOR,Restated
2018-12,714.00M,,714.00M,1.194B,,1.194B,401.00M,378.00M,,,,2.687B,,,,1.906B,,47.54B,-29.12B,18.42B,,,,121.00M,353.00M,,18.90B,21.58B,,709.00M,58.00M,767.00M,950.00M,1.717B,66.00M,151.00M,151.00M,0.00,151.00M,,90.00M,2.201B,1.866B,8.093B,8.093B,391.00M,391.00M,1.682B,0.00,219.00M,10.57B,12.77B,,260.00M,-2.048B,12.11B,3.192B,,,,4.00M,7.13B,,AOR,Restated
2018-09,593.00M,,593.00M,1.457B,,1.457B,362.00M,373.00M,,,,2.785B,,,,,,46.04B,-27.40B,18.65B,,,,,439.00M,,19.08B,21.87B,,744.00M,89.00M,833.00M,905.00M,1.738B,38.00M,,150.00M,,150.00M,,134.00M,2.207B,1.867B,8.053B,8.053B,502.00M,502.00M,1.334B,,295.00M,10.72B,12.92B,,260.00M,-1.667B,11.94B,2.93B,,,,4.00M,7.612B,,AOR,Restated
2018-06,972.00M,,972.00M,1.446B,,1.446B,361.00M,360.00M,,,,3.139B,,,,,,45.13B,-26.80B,18.34B,,,,,435.00M,,18.77B,21.91B,,682.00M,110.00M,792.00M,890.00M,1.682B,38.00M,,400.00M,,400.00M,,102.00M,2.312B,1.845B,7.937B,7.937B,518.00M,518.00M,1.355B,,303.00M,10.60B,12.92B,,260.00M,-1.748B,12.01B,2.887B,,,,4.00M,7.64B,,AOR,Restated
