,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2013-03,43.60B,43.60B,27.25B,16.35B,2.672B,1.119B,,0.00,420.00M,420.00M,3.791B,12.56B,420.00M,0.00,420.00M,-73.00M,420.00M,12.90B,3.358B,9.547B,9.547B,9.547B,14.60B,1.692B,12.90B,0.3629,,,0.3629,0.3629,0.3604,,,0.3604,0.3604,26.31B,26.49B,0.0946
2012-12,54.51B,54.51B,33.45B,21.06B,2.84B,1.01B,,0.00,421.00M,421.00M,3.85B,17.21B,421.00M,0.00,421.00M,41.00M,421.00M,17.67B,4.594B,13.08B,13.08B,13.08B,19.26B,1.588B,17.67B,0.4975,,,0.4975,0.4975,0.4932,,,0.4932,0.4932,26.29B,26.52B,0.0946
2012-09,35.97B,35.97B,21.56B,14.40B,2.551B,906.00M,,0.00,314.00M,314.00M,3.457B,10.94B,314.00M,0.00,314.00M,-365.00M,314.00M,10.89B,2.67B,8.223B,8.223B,8.223B,11.87B,981.00M,10.89B,0.3129,,,0.3129,0.3129,0.3096,,,0.3096,0.3096,26.27B,26.55B,0.0946
2012-06,35.02B,35.02B,20.03B,14.99B,2.545B,876.00M,,0.00,292.00M,292.00M,3.421B,11.57B,292.00M,0.00,292.00M,-4.00M,292.00M,11.86B,3.037B,8.824B,8.824B,8.824B,12.70B,835.00M,11.86B,0.3364,,,0.3364,0.3364,0.3329,,,0.3329,0.3329,26.22B,26.52B,0.0
2012-03,39.19B,39.19B,20.62B,18.56B,2.339B,841.00M,,,254.00M,254.00M,3.18B,15.38B,254.00M,,254.00M,-106.00M,254.00M,15.53B,3.91B,11.62B,11.62B,11.62B,16.12B,740.00M,15.38B,0.4446,,,0.4446,0.4446,0.4393,,,0.4393,0.4393,26.14B,26.46B,0.0
2011-12,46.33B,46.33B,25.63B,20.70B,2.605B,758.00M,,,228.00M,228.00M,3.363B,17.34B,228.00M,,228.00M,-91.00M,228.00M,17.48B,4.413B,13.06B,13.06B,13.06B,18.06B,721.00M,17.34B,0.5011,,,0.5011,0.5011,0.4954,,,0.4954,0.4954,26.07B,26.36B,0.0
2011-09,28.27B,28.27B,16.89B,11.38B,2.025B,645.00M,,,,,2.67B,8.71B,,,,-438.00M,,8.791B,2.168B,6.623B,6.623B,6.623B,9.668B,543.00M,9.125B,0.2546,,,0.2546,0.2546,0.2518,,,0.2518,0.2518,25.99B,26.31B,0.0
2011-06,28.57B,28.57B,16.65B,11.92B,1.915B,628.00M,,,,,2.543B,9.379B,,,,172.00M,,9.551B,2.243B,7.308B,7.308B,7.308B,9.86B,481.00M,9.379B,0.2818,,,0.2818,0.2818,0.2782,,,0.2782,0.2782,25.93B,26.26B,0.0
2011-03,24.67B,24.67B,14.45B,10.22B,1.763B,581.00M,,,,,2.344B,7.874B,,,,26.00M,,7.90B,1.913B,5.987B,5.987B,5.987B,8.308B,434.00M,7.874B,0.2318,,,0.2318,0.2318,0.2286,,,0.2286,0.2286,25.85B,26.21B,0.0
2010-12,26.74B,26.74B,16.44B,10.30B,1.896B,575.00M,,,,,2.471B,7.827B,,,,136.00M,,7.963B,1.959B,6.004B,6.004B,6.004B,8.183B,356.00M,7.827B,0.2332,,,0.2332,0.2332,0.2296,,,0.2296,0.2296,25.74B,26.13B,0.0
2010-09,20.34B,20.34B,12.83B,7.512B,1.571B,494.00M,,,,,2.065B,5.447B,,,,-297.00M,,5.461B,1.153B,4.308B,4.308B,4.308B,5.776B,329.00M,5.447B,0.1686,,,0.1686,0.1686,0.1657,,,0.1657,0.1657,25.61B,26.01B,0.0
2010-06,15.70B,15.70B,9.564B,6.136B,1.438B,464.00M,,,,,1.902B,4.234B,,,,58.00M,,4.292B,1.039B,3.253B,3.253B,3.253B,4.507B,273.00M,4.234B,0.1275,,,0.1275,0.1275,0.1254,,,0.1254,0.1254,25.54B,25.97B,0.0
2010-03,13.50B,13.50B,7.874B,5.625B,1.22B,426.00M,,,,,1.646B,3.979B,,,,50.00M,,4.029B,955.00M,3.074B,3.074B,3.074B,4.195B,216.00M,3.979B,0.1211,,,0.1211,0.1211,0.1189,,,0.1189,0.1189,25.41B,25.84B,0.0
2009-12,15.68B,15.68B,9.272B,6.411B,1.288B,398.00M,,,,,1.686B,4.725B,,,,33.00M,,4.758B,1.38B,3.378B,3.378B,3.378B,4.934B,209.00M,4.725B,0.1336,,,0.1336,0.1336,0.1311,,,0.1311,0.1311,25.30B,25.75B,0.0
2009-09,12.21B,12.21B,7.102B,5.105B,1.063B,358.00M,,,,,1.421B,3.684B,,,,-362.00M,,3.729B,1.197B,2.532B,2.532B,2.532B,3.887B,203.00M,3.684B,0.0661,,,0.0661,0.0661,0.065,,,0.065,0.065,25.14B,25.60B,0.0
2009-06,9.734B,9.734B,5.751B,3.983B,1.01B,341.00M,,,,,1.351B,2.632B,,,,60.00M,,2.692B,864.00M,1.828B,1.828B,1.828B,2.814B,182.00M,2.632B,0.0732,,,0.0732,0.0732,0.0718,,,0.0718,0.0718,25.02B,25.46B,0.0
2009-03,9.084B,9.084B,5.457B,3.627B,985.00M,319.00M,,,,,1.304B,2.323B,,,,63.00M,,2.386B,766.00M,1.62B,1.62B,1.62B,2.504B,181.00M,2.323B,0.065,,,0.065,0.065,0.0639,,,0.0639,0.0639,24.95B,25.28B,0.0
2008-12,11.88B,11.88B,7.373B,4.507B,1.091B,315.00M,,,,,1.406B,3.101B,,,,158.00M,,3.259B,1.004B,2.255B,2.255B,2.255B,3.269B,168.00M,3.101B,0.0907,,,0.0907,0.0907,0.0893,,,0.0893,0.0893,24.90B,25.24B,0.0
2008-09,12.91B,12.91B,8.116B,4.791B,999.00M,298.00M,,,,,1.297B,3.494B,,,,-513.00M,,3.634B,1.213B,2.421B,2.421B,2.421B,3.651B,157.00M,3.494B,0.0979,,,0.0979,0.0979,0.0957,,,0.0957,0.0957,24.84B,25.35B,0.0
2008-06,7.464B,7.464B,4.864B,2.60B,916.00M,292.00M,,,,,1.208B,1.392B,,,,118.00M,,1.51B,438.00M,1.072B,1.072B,1.072B,1.509B,117.00M,1.392B,0.0432,,,0.0432,0.0432,0.0425,,,0.0425,0.0425,24.74B,25.29B,0.0
2008-03,7.512B,7.512B,5.038B,2.474B,886.00M,273.00M,,,,,1.159B,1.315B,,,,162.00M,,1.477B,432.00M,1.045B,1.045B,1.045B,1.431B,116.00M,1.315B,0.0425,,,0.0425,0.0425,0.0414,,,0.0414,0.0414,24.63B,25.18B,0.0
2007-12,9.608B,9.608B,6.276B,3.332B,960.00M,246.00M,,,,,1.206B,2.126B,,,,200.00M,,2.326B,745.00M,1.581B,1.581B,1.581B,2.232B,106.00M,2.126B,0.0646,,,0.0646,0.0646,0.0629,,,0.0629,0.0629,24.52B,25.20B,0.0
2007-09,6.789B,6.789B,4.701B,2.088B,823.00M,207.00M,,,,,1.03B,1.058B,,,,-477.00M,,1.228B,325.00M,903.00M,903.00M,903.00M,1.151B,93.00M,1.058B,0.0368,,,0.0368,0.0368,0.0361,,,0.0361,0.0361,24.38B,25.08B,0.0
2007-06,5.41B,5.41B,3.415B,1.995B,746.00M,208.00M,,,,,954.00M,1.041B,,,,155.00M,,1.196B,378.00M,818.00M,818.00M,818.00M,1.122B,81.00M,1.041B,0.0336,,,0.0336,0.0336,0.0329,,,0.0329,0.0329,24.27B,24.94B,0.0
2007-03,5.264B,5.264B,3.415B,1.849B,680.00M,183.00M,,,,,863.00M,986.00M,,,,148.00M,,1.134B,364.00M,770.00M,770.00M,770.00M,1.055B,69.00M,986.00M,0.0318,,,0.0318,0.0318,0.0311,,,0.0311,0.0311,24.16B,24.83B,0.0
2006-12,7.115B,7.115B,4.895B,2.22B,714.00M,184.00M,,,,,898.00M,1.322B,,,,126.00M,,1.448B,444.00M,1.004B,1.004B,1.004B,1.396B,74.00M,1.322B,0.0418,,,0.0418,0.0418,0.0407,,,0.0407,0.0407,24.02B,24.73B,0.0
2006-09,4.837B,4.837B,3.425B,1.412B,625.00M,179.00M,,,120.00M,120.00M,804.00M,608.00M,120.00M,,120.00M,-7.00M,120.00M,721.00M,179.00M,542.00M,542.00M,542.00M,674.00M,66.00M,608.00M,0.0229,,,0.0229,0.0229,0.0221,,,0.0221,0.0221,23.91B,24.62B,0.0
2006-06,4.37B,4.37B,3.045B,1.325B,584.00M,175.00M,,,99.00M,99.00M,759.00M,566.00M,99.00M,,99.00M,-4.00M,99.00M,661.00M,189.00M,472.00M,472.00M,472.00M,623.00M,57.00M,566.00M,0.0196,,,0.0196,0.0196,0.0193,,,0.0193,0.0193,23.84B,24.54B,0.0
2006-03,4.359B,4.359B,3.062B,1.297B,592.00M,176.00M,,,87.00M,87.00M,768.00M,529.00M,87.00M,,87.00M,-11.00M,87.00M,605.00M,195.00M,410.00M,410.00M,410.00M,579.00M,50.00M,529.00M,0.0175,,,0.0175,0.0175,0.0168,,,0.0168,0.0168,23.55B,24.60B,0.0
2005-12,5.749B,5.749B,4.185B,1.564B,632.00M,182.00M,,,88.00M,88.00M,814.00M,750.00M,88.00M,,88.00M,-7.00M,88.00M,831.00M,266.00M,565.00M,565.00M,565.00M,802.00M,52.00M,750.00M,0.0243,,,0.0243,0.0243,0.0232,,,0.0232,0.0232,23.26B,24.48B,0.0
2005-09,3.678B,3.678B,2.643B,1.035B,471.00M,147.00M,,,65.00M,65.00M,618.00M,417.00M,65.00M,,65.00M,-5.00M,65.00M,477.00M,49.00M,428.00M,428.00M,428.00M,468.00M,51.00M,417.00M,0.0186,,,0.0186,0.0186,0.0179,,,0.0179,0.0179,23.00B,24.30B,0.0
2005-06,3.52B,3.52B,2.476B,1.044B,473.00M,145.00M,,,51.00M,51.00M,618.00M,426.00M,51.00M,,51.00M,-5.00M,51.00M,472.00M,153.00M,319.00M,319.00M,319.00M,472.00M,46.00M,426.00M,0.0139,,,0.0139,0.0139,0.0132,,,0.0132,0.0132,22.82B,24.10B,0.0
2005-03,3.243B,3.243B,2.275B,968.00M,447.00M,119.00M,,,39.00M,39.00M,566.00M,402.00M,39.00M,,39.00M,-6.00M,39.00M,435.00M,145.00M,290.00M,290.00M,290.00M,443.00M,41.00M,402.00M,0.0129,,,0.0129,0.0129,0.0121,,,0.0121,0.0121,22.63B,24.00B,0.0
2004-12,3.49B,3.49B,2.494B,996.00M,470.00M,123.00M,,,28.00M,28.00M,593.00M,403.00M,28.00M,,28.00M,-2.00M,28.00M,429.00M,134.00M,295.00M,295.00M,295.00M,444.00M,41.00M,403.00M,0.0132,,,0.0132,0.0132,0.0125,,,0.0125,0.0125,22.09B,23.47B,0.0
2004-09,2.35B,2.35B,1.718B,632.00M,388.00M,124.00M,-5.00M,,,27.00M,512.00M,120.00M,,,27.00M,-13.00M,27.00M,134.00M,38.00M,96.00M,96.00M,99.58M,197.00M,40.00M,157.00M,0.0046,,,0.0048,0.0046,0.0043,,,0.0044,0.0043,21.48B,22.72B,0.0
2004-06,2.014B,2.014B,1.455B,559.00M,354.00M,125.00M,-8.00M,,,13.00M,479.00M,80.00M,,,13.00M,-8.00M,13.00M,85.00M,24.00M,61.00M,61.00M,66.74M,121.00M,41.00M,80.00M,0.0029,,,0.0031,0.0029,0.0029,,,0.0031,0.0029,21.00B,21.99B,0.0
2004-03,1.909B,1.909B,1.379B,530.00M,345.00M,123.00M,-10.00M,,,12.00M,468.00M,62.00M,,,12.00M,-10.00M,12.00M,64.00M,18.00M,46.00M,46.00M,53.19M,98.00M,36.00M,62.00M,0.0021,,,0.0025,0.0021,0.0021,,,0.0025,0.0021,20.46B,21.18B,0.0
2003-12,2.006B,2.006B,1.47B,536.00M,343.00M,119.00M,,2.00M,14.00M,12.00M,462.00M,74.00M,14.00M,2.00M,12.00M,1.00M,12.00M,87.00M,24.00M,63.00M,63.00M,60.10M,122.00M,33.00M,89.00M,0.003,,,0.0029,0.003,0.003,,,0.0029,0.003,20.30B,20.85B,0.0
2003-09,1.715B,1.715B,1.259B,456.00M,314.00M,111.00M,0.00,,,33.00M,425.00M,31.00M,,,33.00M,-9.00M,33.00M,55.00M,14.00M,41.00M,44.00M,50.69M,11.00M,29.00M,-18.00M,0.002,,0.0001,0.0025,0.0023,0.002,,0.0001,0.0025,0.002,20.28B,20.53B,0.0
2003-06,1.545B,1.545B,1.117B,428.00M,299.00M,120.00M,0.00,2.00M,15.00M,13.00M,419.00M,9.00M,15.00M,2.00M,13.00M,4.00M,13.00M,26.00M,7.00M,19.00M,19.00M,15.35M,52.00M,24.00M,28.00M,0.0009,,,0.0007,0.0009,0.0009,,,0.0007,0.0009,20.20B,20.37B,0.0
2003-03,1.475B,1.475B,1.057B,418.00M,300.00M,119.00M,-3.00M,2.00M,18.00M,16.00M,419.00M,-1.00M,18.00M,2.00M,16.00M,4.00M,16.00M,19.00M,5.00M,14.00M,14.00M,9.579M,50.00M,29.00M,21.00M,0.0007,,0.0,0.0005,0.0007,0.0007,,0.0,0.0005,0.0007,20.19B,20.29B,0.0
2002-12,1.472B,1.472B,1.066B,406.00M,299.00M,121.00M,-23.00M,2.00M,23.00M,21.00M,420.00M,-14.00M,23.00M,2.00M,21.00M,-15.00M,21.00M,-8.00M,-2.00M,-6.00M,-8.00M,4.50M,25.00M,31.00M,-6.00M,-0.0003,,-0.0001,0.0002,-0.0004,-0.0003,,-0.0001,0.0002,-0.0004,20.11B,20.11B,0.0
2002-09,1.443B,1.443B,1.062B,381.00M,278.00M,117.00M,-6.00M,3.00M,26.00M,23.00M,395.00M,-14.00M,26.00M,3.00M,23.00M,-69.00M,23.00M,-60.00M,-15.00M,-45.00M,-45.00M,6.75M,-28.00M,29.00M,-57.00M,-0.0023,,0.0,0.0003,-0.0023,-0.0023,,0.0,0.0003,-0.0023,20.09B,20.09B,0.0
2002-06,1.429B,1.429B,1.038B,391.00M,272.00M,106.00M,0.00,2.00M,29.00M,27.00M,378.00M,13.00M,29.00M,2.00M,27.00M,-1.00M,27.00M,39.00M,7.00M,32.00M,32.00M,30.36M,69.00M,28.00M,41.00M,0.0016,,0.0,0.0015,0.0016,0.0016,,0.0,0.0015,0.0016,19.96B,20.55B,0.0
2002-03,1.495B,1.495B,1.086B,409.00M,270.00M,111.00M,0.00,3.00M,29.00M,26.00M,381.00M,28.00M,29.00M,3.00M,26.00M,1.00M,26.00M,55.00M,15.00M,40.00M,40.00M,40.00M,87.00M,29.00M,58.00M,0.002,,0.0,0.002,0.002,0.002,,0.0,0.002,0.002,19.79B,20.49B,0.0
2001-12,1.375B,1.375B,953.00M,422.00M,289.00M,113.00M,-24.00M,3.00M,34.00M,31.00M,402.00M,20.00M,34.00M,3.00M,31.00M,2.00M,31.00M,53.00M,15.00M,38.00M,38.00M,38.72M,84.00M,28.00M,56.00M,0.002,,,0.002,0.002,0.002,,,0.002,0.002,19.67B,20.02B,0.0
2001-09,1.45B,1.45B,1.013B,437.00M,268.00M,116.00M,0.00,2.00M,43.00M,41.00M,384.00M,53.00M,43.00M,2.00M,41.00M,0.00,41.00M,94.00M,28.00M,66.00M,66.00M,65.30M,124.00M,28.00M,96.00M,0.0034,,-0.0,0.0034,0.0034,0.0034,,-0.0,0.0034,0.0034,19.65B,19.65B,0.0
2001-06,1.475B,1.475B,1.041B,434.00M,281.00M,122.00M,0.00,4.00M,51.00M,47.00M,403.00M,31.00M,51.00M,4.00M,47.00M,9.00M,47.00M,87.00M,26.00M,61.00M,61.00M,53.29M,117.00M,26.00M,91.00M,0.0031,,0.0,0.0027,0.003,0.003,,0.0,0.0027,0.003,19.53B,20.10B,0.0
