,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-12,1.594B,1.594B,35.00M,711.00M,746.00M,26.00M,28.00M,,772.00M,,938.00M,447.00M,251.00M,196.00M,1.00M,,-1.00M,,196.00M,195.00M,106.00M,623.00M,,0.17,0.00,,,0.17,0.17,,0.17,0.00,,,0.17,0.17,,1.062B,1.079B,0.105,,AOR,Restated
2017-09,1.54B,1.54B,34.00M,660.00M,694.00M,25.00M,24.00M,,719.00M,,948.00M,497.00M,134.00M,363.00M,1.00M,,0.00,,364.00M,363.00M,103.00M,658.00M,,0.32,0.00,,,0.32,0.32,,0.32,0.00,,,0.32,0.32,,1.073B,1.089B,0.095,,AOR,Restated
2017-06,1.626B,1.626B,30.00M,650.00M,680.00M,22.00M,21.00M,,702.00M,,973.00M,565.00M,158.00M,407.00M,5.00M,,0.00,,412.00M,407.00M,98.00M,709.00M,,0.36,0.01,,,0.36,0.37,,0.36,0.00,,,0.36,0.36,,1.076B,1.093B,0.095,,AOR,Restated
2017-03,1.495B,1.495B,21.00M,655.00M,676.00M,22.00M,19.00M,,698.00M,,918.00M,419.00M,94.00M,325.00M,0.00,,-1.00M,28.00M,324.00M,324.00M,100.00M,551.00M,,0.28,0.00,,,0.28,0.28,,0.27,0.00,,,0.27,0.27,,1.069B,1.087B,0.085,,AOR,Restated
2016-12,1.556B,1.556B,35.00M,760.00M,795.00M,27.00M,17.00M,,822.00M,,938.00M,270.00M,38.00M,232.00M,-4.00M,,1.00M,,229.00M,233.00M,21.00M,394.00M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.19,,1.069B,1.085B,0.085,,AOR,Restated
2016-09,1.329B,1.329B,32.00M,700.00M,732.00M,13.00M,15.00M,,745.00M,5.00M,780.00M,188.00M,16.00M,172.00M,1.00M,,-1.00M,6.00M,172.00M,171.00M,169.00M,298.00M,,0.17,0.00,,,0.17,0.17,,0.16,0.00,,,0.16,0.17,,982.08M,994.66M,0.085,,AOR,Restated
2016-06,1.07B,1.07B,22.00M,494.00M,516.00M,7.00M,14.00M,,523.00M,11.00M,597.00M,267.00M,69.00M,198.00M,3.00M,,1.00M,6.00M,202.00M,199.00M,62.00M,354.00M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,831.90M,838.50M,0.085,,AOR,Restated
2016-03,1.035B,1.035B,12.00M,469.00M,481.00M,8.00M,13.00M,,489.00M,0.00,604.00M,243.00M,56.00M,187.00M,1.00M,,0.00,5.00M,188.00M,187.00M,62.00M,322.00M,,0.22,0.00,,,0.22,0.22,,0.22,0.00,,,0.22,0.22,,827.38M,835.06M,0.075,,AOR,Restated
2015-12,1.087B,1.087B,17.00M,493.00M,510.00M,9.00M,13.00M,,519.00M,0.00,602.00M,306.00M,73.00M,233.00M,-4.00M,,-3.00M,6.00M,226.00M,230.00M,71.00M,377.00M,,0.27,-0.01,,,0.27,0.27,,0.27,-0.01,,,0.27,0.26,,828.11M,835.84M,0.075,,AOR,Restated
2015-09,1.061B,1.061B,17.00M,486.00M,503.00M,9.00M,11.00M,,512.00M,11.00M,591.00M,292.00M,72.00M,220.00M,-3.00M,,2.00M,6.00M,219.00M,222.00M,60.00M,362.00M,,0.26,0.00,,,0.26,0.26,,0.26,-0.01,,,0.26,0.25,,831.43M,838.88M,0.075,,AOR,Restated
2015-06,1.072B,1.072B,15.00M,470.00M,485.00M,9.00M,12.00M,,494.00M,11.00M,584.00M,320.00M,84.00M,236.00M,3.00M,,-1.00M,5.00M,238.00M,235.00M,66.00M,388.00M,,0.27,0.00,,,0.27,0.28,,0.27,0.00,,,0.27,0.27,,839.45M,846.31M,0.075,,AOR,Restated
2015-03,1.008B,1.008B,8.00M,446.00M,454.00M,9.00M,11.00M,,463.00M,29.00M,571.00M,304.00M,74.00M,230.00M,5.00M,,-2.00M,6.00M,233.00M,228.00M,50.00M,369.00M,,0.26,0.01,,,0.26,0.27,,0.26,0.01,,,0.26,0.26,,848.58M,857.12M,0.065,,AOR,Restated
2014-12,1.072B,1.072B,16.00M,469.00M,485.00M,10.00M,11.00M,,495.00M,18.00M,582.00M,346.00M,94.00M,252.00M,2.00M,,-1.00M,5.00M,253.00M,251.00M,61.00M,410.00M,,0.29,0.00,,,0.29,0.29,,0.28,0.00,,,0.28,0.28,,858.67M,865.44M,0.065,,AOR,Restated
2014-09,992.00M,992.00M,15.00M,464.00M,479.00M,10.00M,11.00M,,489.00M,9.00M,575.00M,267.00M,64.00M,203.00M,-17.00M,,0.00,6.00M,186.00M,203.00M,76.00M,331.00M,,0.23,-0.02,,,0.23,0.21,,0.23,-0.02,,,0.23,0.21,,867.35M,874.12M,0.065,,AOR,Restated
2014-06,1.028B,1.028B,13.00M,446.00M,459.00M,9.00M,10.00M,,468.00M,27.00M,573.00M,329.00M,76.00M,253.00M,-28.00M,,-6.00M,5.00M,219.00M,247.00M,57.00M,395.00M,,0.28,0.03,,,0.28,0.24,,0.27,-0.03,,,0.27,0.24,,875.30M,902.14M,0.065,,AOR,Restated
2014-03,998.00M,998.00M,5.00M,442.00M,447.00M,10.00M,10.00M,,457.00M,24.00M,563.00M,330.00M,92.00M,238.00M,4.00M,,0.00,6.00M,242.00M,238.00M,52.00M,397.00M,,0.26,0.00,,,0.26,0.27,,0.26,0.00,,,0.26,0.26,,884.73M,891.89M,0.055,,AOR,Restated
2013-12,1.036B,1.036B,18.00M,455.00M,473.00M,10.00M,10.00M,,483.00M,20.00M,583.00M,305.00M,70.00M,235.00M,-5.00M,,0.00,6.00M,230.00M,235.00M,53.00M,371.00M,,0.26,-0.01,,,0.26,0.25,,0.26,-0.01,,,0.26,0.25,,890.34M,897.55M,0.055,,AOR,Restated
2013-09,1.037B,1.037B,16.00M,473.00M,489.00M,12.00M,14.00M,,501.00M,17.00M,578.00M,293.00M,59.00M,234.00M,37.00M,,1.00M,6.00M,272.00M,235.00M,75.00M,362.00M,,0.25,0.04,,,0.25,0.29,,0.25,0.04,,,0.25,0.29,,901.90M,908.25M,0.055,,AOR,Restated
2013-06,1.01B,1.01B,11.00M,464.00M,475.00M,10.00M,11.00M,,485.00M,7.00M,581.00M,271.00M,72.00M,199.00M,5.00M,,0.00,6.00M,204.00M,199.00M,49.00M,347.00M,,0.21,0.01,,,0.21,0.22,,0.21,0.01,,,0.21,0.22,,913.74M,918.63M,0.055,,AOR,Restated
2013-03,1.008B,1.008B,6.00M,450.00M,456.00M,12.00M,12.00M,,468.00M,8.00M,583.00M,272.00M,70.00M,202.00M,3.00M,,-1.00M,5.00M,204.00M,201.00M,44.00M,356.00M,,0.21,0.00,,,0.21,0.22,,0.21,0.00,,,0.21,0.21,,920.32M,926.05M,0.05,,AOR,Restated
2012-12,1.04B,1.04B,20.00M,480.00M,500.00M,12.00M,12.00M,,512.00M,2.00M,601.00M,249.00M,53.00M,196.00M,7.00M,,0.00,6.00M,203.00M,196.00M,73.00M,336.00M,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,925.63M,930.29M,0.05,,AOR,Restated
2012-09,1.09B,1.09B,18.00M,461.00M,479.00M,9.00M,13.00M,,488.00M,11.00M,572.00M,269.00M,51.00M,218.00M,3.00M,,-2.00M,5.00M,219.00M,216.00M,58.00M,368.00M,,0.23,0.00,,,0.23,0.23,,0.22,0.00,,,0.22,0.23,,936.22M,940.76M,0.05,,AOR,Restated
2012-06,995.00M,995.00M,17.00M,443.00M,460.00M,1.00M,15.00M,,461.00M,24.00M,538.00M,281.00M,54.00M,227.00M,14.00M,,-5.00M,5.00M,236.00M,222.00M,56.00M,405.00M,,0.23,0.01,,,0.23,0.24,,0.23,0.01,,,0.23,0.24,,944.65M,948.09M,0.05,,AOR,Restated
2012-03,995.00M,995.00M,13.00M,438.00M,451.00M,1.00M,17.00M,,452.00M,35.00M,553.00M,274.00M,73.00M,201.00M,-1.00M,,0.00,6.00M,200.00M,201.00M,48.00M,405.00M,,0.21,0.00,,,0.21,0.20,,0.20,0.00,,,0.20,0.20,,949.34M,953.97M,0.03,,AOR,Restated
2011-12,851.00M,851.00M,24.00M,394.00M,418.00M,1.00M,18.00M,,419.00M,77.00M,557.00M,262.00M,64.00M,198.00M,2.00M,,0.00,,200.00M,198.00M,-7.00M,403.00M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,948.84M,951.86M,0.03,,AOR,Restated
2011-09,1.032B,1.032B,16.00M,452.00M,468.00M,1.00M,23.00M,,469.00M,0.00,549.00M,330.00M,95.00M,235.00M,-17.00M,,-1.00M,,217.00M,229.02M,65.00M,486.00M,,0.24,-0.02,,,0.2347,0.22,,0.24,-0.02,,,0.2348,0.22,,948.70M,950.69M,0.03,,AOR,Restated
2011-06,1.018B,1.018B,10.00M,456.00M,466.00M,,25.00M,-12.00M,454.00M,19.00M,564.00M,346.00M,94.00M,252.00M,-9.00M,,-3.00M,,240.00M,254.10M,69.00M,508.00M,,0.26,-0.01,,,0.2654,0.25,,0.26,-0.01,,,0.2654,0.25,,947.56M,952.13M,0.03,,AOR,Restated
2011-03,1.054B,1.054B,10.00M,508.00M,518.00M,,28.00M,,518.00M,-1.00M,597.00M,393.00M,111.00M,282.00M,-11.00M,,-8.00M,90.00M,263.00M,271.13M,74.00M,556.00M,,0.21,-0.01,,,0.2067,0.20,,0.21,-0.01,,,0.2068,0.19,,881.89M,887.84M,0.01,,AOR,Restated
2010-12,1.155B,1.155B,22.00M,345.00M,367.00M,,28.00M,,367.00M,78.00M,629.00M,508.00M,172.00M,336.00M,-13.00M,,-3.00M,25.00M,320.00M,333.00M,76.00M,690.00M,,0.33,-0.02,,,0.33,0.32,,0.33,-0.02,,,0.33,0.31,,875.51M,889.13M,0.01,,AOR,Restated
2010-09,1.126B,1.126B,21.00M,513.00M,534.00M,,40.00M,,534.00M,1.00M,640.00M,296.00M,85.00M,211.00M,15.00M,,-7.00M,41.00M,219.00M,201.15M,81.00M,500.00M,,0.19,0.02,,,0.1867,0.20,,0.19,0.02,,,0.1867,0.20,,874.43M,874.43M,0.01,,AOR,Restated
2010-06,1.109B,1.109B,16.00M,541.00M,557.00M,,35.00M,10.00M,567.00M,15.00M,617.00M,112.00M,11.00M,101.00M,-27.00M,,-4.00M,,70.00M,86.18M,85.00M,356.00M,,0.06,-0.03,,,0.0476,0.03,,0.06,-0.03,,,0.0476,0.03,,874.66M,874.66M,0.01,,AOR,Restated
2010-03,1.075B,1.075B,13.00M,523.00M,536.00M,,39.00M,,536.00M,3.00M,625.00M,-123.00M,-82.00M,-41.00M,2.00M,,-16.00M,41.00M,-55.00M,-62.20M,88.00M,144.00M,,-0.11,0.00,,,-0.1159,-0.11,,-0.11,0.00,,,-0.1159,-0.11,,874.39M,874.39M,0.01,,AOR,Restated
2009-12,1.282B,1.282B,22.00M,720.00M,742.00M,,50.00M,283.00M,1.025B,77.00M,630.00M,-528.00M,-347.00M,-181.00M,-7.00M,,-36.00M,,-224.00M,-410.70M,92.00M,-225.00M,,-0.20,-0.01,,,-0.4213,-0.20,,-0.20,-0.01,,,-0.4213,-0.20,,875.20M,875.20M,0.01,,AOR,Restated
2009-09,991.00M,991.00M,19.00M,514.00M,533.00M,,46.00M,-257.00M,276.00M,-22.00M,592.00M,-660.00M,-274.00M,-386.00M,-16.00M,,5.00M,,-397.00M,-228.25M,96.00M,-312.00M,,-0.50,-0.02,,,-0.3181,-0.52,,-0.50,-0.02,,,-0.3181,-0.52,,839.91M,839.91M,0.01,,AOR,Restated
2009-06,1.275B,1.275B,28.00M,542.00M,570.00M,,49.00M,0.00,570.00M,125.00M,569.00M,-403.00M,-176.00M,-227.00M,4.00M,,-3.00M,,-226.00M,-253.40M,106.00M,-27.00M,,-0.68,0.01,,,-0.7206,-0.68,,-0.68,0.01,,,-0.7206,-0.68,,576.88M,576.88M,0.01,,AOR,Restated
2009-03,1.067B,1.067B,14.00M,486.00M,500.00M,,50.00M,-196.00M,304.00M,91.00M,589.00M,-707.00M,-238.00M,-469.00M,-29.00M,,10.00M,,-488.00M,-346.23M,95.00M,-319.00M,,-1.03,-0.06,,,-0.8012,-1.09,,-1.03,-0.06,,,-0.8012,-1.09,,492.81M,492.81M,0.0625,,AOR,Restated
2008-12,1.00B,1.00B,-1.00M,514.00M,513.00M,,55.00M,-465.00M,48.00M,-2.00M,617.00M,-815.00M,-318.00M,-497.00M,-30.00M,,3.00M,,-524.00M,-210.44M,104.00M,-338.00M,,-1.10,-0.05,,,-0.5244,-1.17,,-1.10,-0.05,,,-0.5244,-1.17,,492.62M,492.62M,0.0625,,,Restated
2008-09,1.068B,1.068B,27.00M,479.00M,506.00M,,56.00M,-4.00M,502.00M,0.00,678.00M,-8.00M,-22.00M,14.00M,-39.00M,,-11.00M,,-36.00M,5.60M,103.00M,481.00M,,-0.02,-0.08,,,-0.0147,-0.10,,-0.02,-0.08,,,-0.0147,-0.10,,491.18M,491.18M,0.1875,,,Restated
2008-06,905.00M,905.00M,21.00M,502.00M,523.00M,,55.00M,0.00,523.00M,-1.00M,358.00M,-519.00M,610.00M,-1.129B,2.00M,,1.00M,,-1.126B,-1.149B,107.00M,3.00M,,-2.71,0.00,,,-2.761,-2.70,,-2.71,0.00,,,-2.761,-2.70,,416.63M,416.63M,0.375,,,Restated
2008-03,1.241B,1.241B,14.00M,409.00M,423.00M,,,,423.00M,3.00M,713.00M,322.00M,104.00M,218.00M,,,,,218.00M,286.38M,110.00M,963.00M,,0.55,0.00,,,0.7213,0.55,,0.54,0.00,,,0.7110,0.54,,399.12M,399.77M,0.375,,,
2007-12,1.198B,1.198B,16.00M,399.00M,415.00M,,,,415.00M,311.00M,710.00M,-61.00M,-83.00M,22.00M,3.00M,,,,25.00M,137.05M,109.00M,676.00M,,0.06,0.01,,,0.3558,0.07,,0.06,0.00,,,0.3551,0.07,,388.91M,389.84M,0.365,,,
2007-09,1.132B,1.132B,21.00M,383.00M,404.00M,,,,404.00M,4.00M,694.00M,310.00M,86.00M,224.00M,-14.00M,,,,210.00M,262.30M,107.00M,1.05B,,0.58,-0.04,,,0.6784,0.54,,0.57,-0.04,,,0.6674,0.54,,389.32M,393.16M,0.365,,,
2007-06,1.335B,1.335B,20.00M,411.00M,431.00M,,,,431.00M,2.00M,686.00M,467.00M,130.00M,337.00M,-3.00M,,,,334.00M,313.19M,104.00M,1.176B,,0.86,-0.01,,,0.7993,0.85,,0.85,-0.01,,,0.7900,0.84,,392.04M,396.92M,0.365,,,
2007-03,1.333B,1.333B,19.00M,428.00M,447.00M,,,,447.00M,-47.00M,679.00M,505.00M,147.00M,358.00M,-8.00M,,,,350.00M,230.40M,105.00M,1.194B,,0.90,-0.02,,,0.5793,0.88,,0.89,-0.02,,,0.5737,0.88,,397.88M,403.48M,0.365,,,
2006-12,1.27B,1.27B,27.00M,447.00M,474.00M,,,,474.00M,3.00M,712.00M,408.00M,97.00M,311.00M,-165.00M,0.00,,,146.00M,278.99M,105.00M,1.109B,,0.77,-0.40,0.00,,0.6904,0.37,,0.76,-0.40,0.0000,,0.6815,0.36,,402.31M,407.80M,0.345,,,
2006-09,1.248B,1.248B,32.00M,418.00M,450.00M,,,,450.00M,-7.00M,705.00M,423.00M,118.00M,305.00M,7.00M,,,,312.00M,294.91M,100.00M,1.107B,,0.76,0.01,,,0.735,0.77,,0.74,0.01,,,0.7153,0.76,,403.78M,409.43M,0.345,,,
2006-06,1.249B,1.249B,23.00M,427.00M,450.00M,,,,450.00M,4.00M,704.00M,428.00M,125.00M,303.00M,5.00M,,,,308.00M,295.92M,98.00M,1.051B,,0.75,0.01,,,0.7325,0.76,,0.74,0.01,,,0.7228,0.75,,404.53M,410.56M,0.345,,,
2006-03,1.175B,1.175B,15.00M,400.00M,415.00M,,,,415.00M,1.00M,694.00M,384.00M,110.00M,274.00M,10.00M,5.00M,,,289.00M,266.86M,94.00M,941.00M,,0.67,0.04,0.00,,0.6525,0.71,,0.66,0.04,0.0121,,0.6427,0.71,,407.39M,413.14M,0.345,,,
2005-12,1.134B,1.134B,0.00,398.00M,398.00M,,,,398.00M,3.00M,584.00M,347.00M,90.00M,257.00M,,,,,296.00M,236.26M,93.00M,791.00M,,0.63,0.09,,,0.5792,0.72,,0.62,0.09,,,0.5697,0.72,,408.43M,412.53M,0.325,,,
2005-09,1.224B,1.224B,29.00M,414.00M,443.00M,,,,443.00M,3.00M,693.00M,400.00M,122.00M,278.00M,,,,,278.00M,269.66M,91.00M,881.00M,,0.68,0.00,,,0.6597,0.68,,0.67,0.00,,,0.6499,0.67,,410.46M,415.44M,0.325,,,
2005-06,1.179B,1.179B,28.00M,386.00M,414.00M,,,,414.00M,1.00M,693.00M,406.00M,115.00M,291.00M,,,,,291.00M,283.83M,87.00M,829.00M,,0.71,0.00,,,0.6925,0.71,,0.70,0.00,,,0.6827,0.70,,408.75M,414.31M,0.325,,,
2005-03,1.186B,1.186B,25.00M,390.00M,415.00M,,,,415.00M,-6.00M,686.00M,373.00M,109.00M,264.00M,,,,,264.00M,250.55M,87.00M,752.00M,,0.65,0.00,,,0.6171,0.65,,0.64,0.00,,,0.6075,0.64,,408.26M,413.76M,0.325,,,
2004-12,998.00M,998.00M,2.00M,395.00M,397.00M,,,,397.00M,-3.00M,523.00M,278.00M,112.00M,166.00M,,,,,213.00M,187.60M,84.00M,536.00M,,0.41,0.11,,,0.4629,0.52,,0.40,0.11,,,0.4522,0.52,,408.23M,413.71M,0.31,,,
2004-09,1.133B,1.133B,26.00M,394.00M,420.00M,,,,420.00M,,651.00M,353.00M,101.00M,252.00M,,,,,252.00M,238.44M,168.00M,647.00M,,0.62,0.00,,,0.5867,0.62,,0.61,0.00,,,0.5770,0.61,,407.19M,411.58M,0.31,,,
2004-06,1.082B,1.082B,30.00M,371.00M,401.00M,,,,401.00M,7.00M,636.00M,329.00M,90.00M,239.00M,,,,,239.00M,238.27M,,605.00M,,0.58,0.00,,,0.5782,0.58,,0.58,0.00,,,0.5782,0.58,,410.29M,414.91M,0.31,,,
2004-03,1.092B,1.092B,23.00M,373.00M,396.00M,,,,396.00M,,661.00M,352.00M,102.00M,250.00M,,,,,250.00M,232.24M,,630.00M,,0.60,0.00,,,0.5574,0.60,,0.59,0.00,,,0.5479,0.59,,416.68M,421.57M,0.31,,,
2003-12,1.137B,1.137B,32.00M,379.00M,411.00M,,,,411.00M,2.00M,671.00M,316.00M,82.00M,234.00M,,,,,234.00M,234.00M,52.00M,601.00M,,0.55,0.00,,,0.55,0.55,,0.55,0.00,,,0.55,0.55,,420.01M,423.72M,0.305,,,
2003-09,1.14B,1.14B,30.00M,380.00M,410.00M,,,,410.00M,2.00M,677.00M,318.00M,91.00M,227.00M,,,,,227.00M,227.00M,53.00M,612.00M,,0.54,0.00,,,0.54,0.54,,0.53,0.00,,,0.53,0.53,,421.97M,425.67M,0.305,,,
2003-06,1.13B,1.13B,,371.00M,371.00M,,,,371.00M,3.00M,696.00M,317.00M,92.00M,225.00M,,,,,225.00M,225.00M,55.00M,643.00M,,0.53,0.00,,,0.53,0.53,,0.53,0.00,,,0.53,0.53,,423.88M,427.17M,0.305,,,
2003-03,1.078B,1.078B,25.00M,363.00M,388.00M,,,,388.00M,4.00M,681.00M,291.00M,74.00M,217.00M,,,,,217.00M,217.00M,50.00M,631.00M,,0.51,0.00,,,0.51,0.51,,0.51,0.00,,,0.51,0.51,,425.28M,428.09M,0.305,,,
2002-12,1.158B,1.158B,33.00M,354.00M,387.00M,,,,387.00M,5.00M,712.00M,343.00M,98.00M,245.00M,,,,,245.00M,245.00M,49.00M,708.00M,,0.57,0.00,,,0.57,0.57,,0.57,0.00,,,0.57,0.57,,424.57M,429.52M,0.30,,,
2002-09,1.132B,1.132B,33.00M,358.00M,391.00M,,,,391.00M,,700.00M,338.00M,93.00M,245.00M,,,,,245.00M,245.00M,56.00M,733.00M,,0.57,0.00,,,0.57,0.57,,0.57,0.00,,,0.57,0.57,,426.27M,431.33M,0.30,,,
2002-06,1.131B,1.131B,30.00M,361.00M,391.00M,,,,391.00M,1.00M,683.00M,331.00M,85.00M,246.00M,,,,,246.00M,246.00M,57.00M,750.00M,,0.58,0.00,,,0.58,0.58,,0.57,0.00,,,0.57,0.57,,426.09M,431.94M,0.30,,,
2002-03,1.097B,1.097B,26.00M,363.00M,389.00M,,,,389.00M,,654.00M,300.00M,60.00M,240.00M,,,,,240.00M,240.00M,64.00M,738.00M,,0.56,0.00,,,0.56,0.56,,0.56,0.00,,,0.56,0.56,,424.86M,430.02M,0.30,,,
2001-12,1.118B,1.118B,25.00M,335.00M,360.00M,,,,360.00M,-1.00M,700.00M,-307.00M,-133.00M,-174.00M,,0.00,,,-174.00M,-174.00M,93.00M,203.00M,,-0.41,0.00,0.00,,-0.41,-0.41,,-0.41,0.00,-0.0000,,-0.41,-0.41,,423.59M,428.26M,0.295,,,
2001-09,1.178B,1.178B,31.00M,334.00M,365.00M,,,,365.00M,2.00M,724.00M,379.00M,130.00M,249.00M,,,,,249.00M,249.00M,93.00M,1.035B,,0.59,0.00,,,0.59,0.59,,0.58,0.00,,,0.58,0.58,,424.80M,430.35M,0.295,,,
2001-06,1.111B,1.111B,29.00M,345.00M,374.00M,,,,374.00M,8.00M,713.00M,-148.00M,-12.00M,-136.00M,,-24.00M,,,-160.00M,-136.00M,247.00M,606.00M,,-0.32,-0.06,0.00,,-0.32,-0.38,,-0.32,-0.06,-0.0565,,-0.32,-0.38,,424.68M,424.68M,0.295,,,
2001-03,1.143B,1.143B,27.00M,364.00M,391.00M,,,4.00M,395.00M,26.00M,688.00M,335.00M,117.00M,218.00M,,-1.00M,,,217.00M,215.40M,97.00M,1.217B,,0.51,0.00,0.00,,0.5039,0.51,,0.51,0.00,-0.0024,,0.5039,0.51,,424.02M,429.92M,0.295,,,
