,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-05,663.17M,,76.36M,76.36M,31.42M,,-0.573M,145.38M,,2.166M,-13.72M,,-41.66M,51.80M,,,62.06M,58.48M,976.41M,-45.32M,,-45.32M,-14.61M,127.61M,,67.68M,-0.511M,-0.511M,0.298M,-700.00M,-699.70M,,-17.15M,-717.36M,2.667B,326.72M,-5.715M,2.988B,0.298M,,-0.511M,-700.00M,42.40M,11.09M
2018-02,583.08M,,76.52M,76.52M,-431.49M,,-0.929M,135.53M,,1.457M,154.40M,,-64.95M,458.34M,,,77.66M,625.44M,989.60M,-95.14M,,-95.14M,0.00,1.38M,,-93.76M,-0.304M,-0.304M,64.38M,-300.00M,-235.62M,,-305.35M,-541.27M,2.306B,354.57M,6.343M,2.667B,64.38M,,-0.304M,-300.00M,31.11M,26.41M
2017-11,501.55M,,81.23M,81.23M,3.746M,,-2.251M,119.74M,,2.019M,-213.63M,,-3.784M,54.64M,,,289.95M,127.18M,833.22M,-37.68M,,-37.68M,0.00,58.05M,,20.37M,1.328M,1.328M,0.669M,-300.00M,-299.33M,,-21.51M,-319.51M,1.775B,534.08M,-2.555M,2.306B,0.669M,,1.328M,-300.00M,185.32M,9.661M
2017-08,419.57M,,82.32M,82.32M,-4.416M,,-0.643M,120.37M,,1.125M,-105.81M,,17.06M,45.00M,,,129.87M,86.11M,704.44M,-54.24M,,-54.24M,0.00,17.42M,,-36.81M,-0.416M,-0.416M,104.85M,-300.00M,-195.15M,,-22.74M,-218.30M,1.317B,449.32M,8.277M,1.775B,104.85M,,-0.416M,-300.00M,162.67M,25.81M
2017-05,374.39M,,81.64M,81.64M,-8.04M,,-1.579M,116.05M,,1.366M,-51.98M,,25.52M,92.71M,,,14.75M,81.01M,644.83M,-55.30M,,-55.30M,0.00,-32.25M,,-87.55M,-0.644M,-0.644M,1.043M,-300.00M,-298.96M,,-14.83M,-314.43M,1.069B,242.85M,5.206M,1.317B,1.043M,,-0.644M,-300.00M,21.42M,9.07M
2017-02,398.45M,,80.81M,80.81M,60.32M,,-1.021M,98.31M,,0.115M,184.25M,,-10.76M,-120.93M,,,40.83M,93.40M,730.37M,-30.90M,,-30.90M,-459.63M,151.65M,,-338.88M,-0.268M,-0.268M,51.79M,-200.00M,-148.21M,,-183.01M,-331.50M,1.011B,59.99M,-2.412M,1.069B,51.79M,,-0.268M,-200.00M,27.25M,24.89M
2016-11,399.61M,,81.86M,81.86M,-19.94M,,-0.771M,86.92M,-5.836M,2.146M,-103.38M,,15.33M,22.90M,,,216.76M,151.62M,695.60M,-48.63M,,-48.63M,0.00,-94.46M,,-143.10M,-0.022M,-0.022M,5.874M,-300.00M,-294.13M,,-6.321M,-300.47M,767.67M,252.03M,-8.391M,1.011B,5.874M,,-0.022M,-300.00M,141.38M,8.011M
2016-08,270.79M,,84.01M,84.01M,-6.689M,,-1.471M,84.50M,-3.98M,0.751M,-65.66M,,16.69M,22.58M,,,116.35M,89.97M,517.88M,-55.21M,,-55.21M,0.00,-251.38M,,-306.59M,-0.065M,-0.065M,87.54M,-400.00M,-312.46M,,-12.43M,-324.96M,886.38M,-113.66M,-5.047M,767.67M,87.54M,,-0.065M,-400.00M,74.56M,24.24M
2016-05,244.07M,,84.46M,84.46M,-6.053M,,3.34M,85.57M,-50.43M,0.545M,-65.65M,,-18.21M,142.72M,,,68.36M,127.21M,488.72M,-53.76M,,-53.76M,-48.43M,-149.32M,,-251.50M,-0.021M,-0.021M,6.741M,-225.00M,-218.26M,,37.39M,-180.89M,830.70M,56.32M,-0.639M,886.38M,6.741M,,-0.021M,-225.00M,17.97M,7.869M
2016-02,254.31M,,81.20M,81.20M,56.91M,,2.047M,92.31M,-14.86M,-1.42M,74.27M,,-84.83M,-85.77M,,,123.37M,27.04M,497.53M,-46.20M,,-46.20M,0.00,-212.64M,,-258.84M,0.00,0.00,45.54M,-150.00M,-104.46M,,-179.94M,-284.39M,876.56M,-45.71M,-0.157M,830.70M,45.54M,,0.00,-150.00M,15.97M,26.08M
2015-11,222.70M,,86.36M,86.36M,-21.89M,,-0.662M,81.02M,-68.13M,0.956M,-79.40M,,16.75M,58.95M,,,179.26M,175.57M,454.52M,-64.68M,,-6.897M,0.00,-279.09M,,-285.99M,0.00,0.00,9.511M,-125.00M,-115.49M,,0.339M,-115.15M,829.29M,53.38M,-6.11M,876.56M,9.511M,0.00,0.00,-125.00M,141.46M,7.094M
2015-08,174.46M,,87.55M,87.55M,-22.34M,,1.415M,85.98M,-0.001M,0.962M,-91.37M,,2.854M,43.26M,,,77.72M,32.46M,360.49M,-48.98M,,-48.98M,-20.02M,-396.08M,,-465.09M,0.00,0.00,83.59M,-100.00M,-16.41M,,-2.30M,-18.71M,956.15M,-123.31M,-3.542M,829.29M,83.59M,0.00,0.00,-100.00M,41.34M,25.11M
2015-05,147.49M,,85.93M,85.93M,-30.31M,,-0.276M,84.65M,-0.003M,0.539M,29.21M,,-3.395M,112.87M,,,44.77M,183.46M,471.48M,-35.73M,,-35.73M,-5.637M,2.458M,,-38.91M,0.00,0.00,14.85M,-200.00M,-185.15M,,-0.951M,-186.10M,712.88M,246.47M,-3.21M,956.15M,14.85M,0.00,0.00,-200.00M,14.21M,6.921M
2015-02,84.89M,,79.64M,79.64M,4.879M,,-9.687M,84.21M,-0.015M,-1.241M,62.06M,,-23.91M,-116.84M,,,19.04M,-59.65M,183.02M,-35.55M,,-35.55M,-800.34M,137.52M,,-698.37M,387.09M,387.09M,56.32M,-200.00M,-143.68M,,-124.14M,119.28M,1.117B,-396.08M,-8.435M,712.88M,56.32M,989.28M,-602.19M,-200.00M,5.994M,16.88M
2014-11,88.14M,,78.15M,78.15M,-18.18M,,-0.121M,84.89M,0.06M,1.06M,-64.04M,,-15.27M,86.36M,,,158.71M,165.76M,399.75M,-36.78M,,-36.78M,-29.80M,-11.38M,,-77.96M,-3.253M,-3.253M,14.00M,-125.00M,-111.00M,,10.90M,-103.35M,903.33M,218.44M,-4.37M,1.117B,14.00M,0.00,-3.253M,-125.00M,13.03M,7.324M
2014-08,44.69M,,80.15M,80.15M,-12.54M,,-0.576M,83.01M,-0.027M,1.286M,2.636M,,37.33M,-35.37M,,,67.93M,72.53M,268.52M,-54.97M,,-54.97M,0.00,-115.43M,,-170.39M,-3.372M,-3.372M,104.70M,-125.00M,-20.30M,,13.88M,-9.794M,817.02M,88.33M,-2.023M,903.33M,104.70M,0.00,-3.372M,-125.00M,-20.42M,29.43M
2014-05,88.53M,,77.65M,77.65M,7.973M,,-0.352M,83.01M,-0.005M,0.224M,-21.16M,,19.58M,64.56M,,,47.52M,110.51M,367.54M,-27.20M,,-27.20M,0.00,-120.73M,,-147.93M,-3.626M,-3.626M,-80.66M,-150.00M,-230.66M,,98.36M,-135.93M,733.92M,83.68M,-0.573M,817.02M,-80.66M,0.00,-3.626M,-150.00M,11.13M,0.39M
2014-02,47.05M,,77.64M,77.64M,-3.341M,,0.975M,82.79M,-0.038M,-0.681M,90.49M,,-43.56M,-51.92M,,,52.28M,47.29M,251.67M,-29.39M,,-29.39M,0.00,-65.03M,,-94.42M,-4.433M,-4.433M,189.80M,-200.00M,-10.20M,,-243.58M,-258.21M,834.56M,-100.96M,0.318M,733.92M,189.80M,0.00,-4.433M,-200.00M,16.40M,31.74M
2013-11,65.32M,,81.35M,81.35M,-11.30M,-0.687M,-1.054M,84.90M,1.857M,2.682M,-78.37M,,-41.84M,117.38M,,,94.74M,91.92M,314.98M,-35.12M,,-10.86M,-0.214M,11.06M,,-0.015M,-6.041M,-6.041M,71.95M,-400.00M,-328.05M,,33.56M,-300.53M,819.08M,14.44M,1.034M,834.56M,71.95M,0.00,-6.041M,-400.00M,19.00M,0.509M
2013-08,83.00M,,82.18M,82.18M,22.34M,0.00,2.825M,81.02M,-17.19M,12.16M,-35.82M,,4.982M,-55.86M,,,35.88M,-50.82M,215.52M,-46.80M,,-46.80M,-608.02M,257.58M,,-397.24M,-10.03M,-10.03M,169.47M,-400.00M,-230.53M,,-6.806M,-247.37M,1.246B,-429.08M,1.756M,819.08M,169.47M,0.00,-10.03M,-400.00M,42.19M,31.66M
2013-05,76.55M,,80.95M,80.95M,3.485M,23.84M,4.312M,78.87M,0.00,-4.544M,16.33M,,16.80M,11.34M,,,-8.77M,35.69M,299.15M,-46.25M,,-46.25M,0.00,-288.19M,,-334.44M,-7.297M,-7.297M,268.20M,-200.00M,68.20M,,-83.55M,-22.64M,1.306B,-57.93M,-2.039M,1.246B,268.20M,0.00,-7.297M,-200.00M,18.64M,0.716M
2013-02,65.12M,,76.75M,76.75M,15.18M,,-0.418M,84.20M,,-4.647M,131.51M,,-35.45M,-89.72M,,,79.51M,85.86M,322.03M,-60.19M,,-60.19M,-96.36M,-289.57M,,-446.11M,23.20M,23.20M,88.57M,-100.00M,-11.43M,,-0.357M,11.40M,1.425B,-112.68M,-5.992M,1.306B,88.57M,25.70M,-2.507M,-100.00M,49.86M,31.96M
2012-11,222.33M,,78.62M,78.62M,6.999M,0.00,-0.281M,75.85M,-20.32M,27.28M,-50.57M,,22.18M,52.33M,,,59.23M,83.17M,473.66M,-81.79M,,-81.79M,0.00,-47.69M,,-129.48M,-2.985M,-2.985M,85.07M,-100.00M,-14.93M,,-62.50M,-80.42M,1.162B,263.76M,-1.093M,1.425B,85.07M,0.00,-2.985M,-100.00M,37.40M,0.487M
2012-08,201.36M,,74.11M,74.11M,24.12M,0.00,-0.851M,79.67M,-1.172M,-9.406M,-38.92M,,15.33M,-48.44M,,,-32.44M,-104.49M,263.34M,-77.43M,,-77.43M,0.05M,-41.84M,,-119.22M,0.836M,0.836M,60.95M,0.00,60.95M,,1.172M,62.96M,951.24M,207.08M,4.066M,1.162B,60.95M,3.152M,-2.316M,0.00,67.62M,31.61M
2012-05,223.88M,,77.17M,77.17M,-5.283M,0.00,-4.235M,71.40M,-2.684M,-6.928M,-18.06M,,-17.88M,87.02M,,,43.81M,94.90M,448.22M,-60.77M,,-60.77M,-0.061M,-87.43M,,-148.26M,-2.29M,-2.29M,75.87M,-225.00M,-149.13M,,2.684M,-148.74M,801.26M,151.22M,-1.248M,951.24M,75.87M,0.00,-2.29M,-225.00M,44.71M,0.289M
2012-02,185.21M,,69.86M,69.86M,63.38M,,-3.168M,71.58M,-2.67M,-6.65M,152.72M,,-15.08M,-217.56M,,,16.74M,-63.18M,314.36M,-51.09M,,-51.09M,-353.18M,-33.44M,,-437.71M,-2.264M,-2.264M,13.37M,-80.00M,-66.63M,,0.373M,-68.52M,989.50M,-191.87M,3.632M,801.26M,13.37M,0.00,-2.264M,-80.00M,51.40M,33.88M
2011-11,832.85M,,73.29M,73.29M,-10.62M,,-5.811M,75.13M,-0.853M,-640.36M,-72.74M,,-1.00M,184.70M,,,47.40M,158.35M,496.75M,-74.90M,0.00,-74.90M,-151.92M,-33.00M,0.141M,-259.68M,-2.243M,-2.243M,1.191M,0.00,1.191M,,0.853M,-0.199M,769.21M,236.87M,-16.59M,989.50M,1.191M,0.00,-2.243M,0.00,61.12M,0.379M
2011-08,,,64.01M,64.01M,33.24M,,2.029M,65.12M,-0.318M,190.17M,7.71M,,11.48M,-49.68M,,,1.36M,-29.13M,325.13M,-65.48M,0.00,-65.48M,-70.55M,-164.08M,-0.017M,-300.12M,-4.179M,-4.179M,56.18M,-150.00M,-93.82M,,0.318M,-97.68M,827.48M,-72.68M,14.41M,769.21M,56.18M,0.00,-4.179M,-150.00M,42.87M,31.62M
2011-05,-234.59M,,66.62M,66.62M,0.151M,,0.763M,74.86M,-8.778M,472.04M,-36.64M,,-12.86M,29.14M,,,38.63M,18.27M,389.33M,-37.50M,,-37.50M,0.00,-64.97M,0.00,-102.48M,-1.455M,-1.455M,46.73M,-420.02M,-373.28M,,8.778M,-365.96M,900.16M,-79.10M,6.423M,827.48M,46.73M,,-1.455M,-420.02M,54.38M,31.97M
2011-02,234.59M,,66.29M,66.29M,28.64M,,-1.33M,70.99M,0.00,2.703M,20.60M,,-2.716M,-101.40M,,,13.72M,-69.78M,332.10M,-32.42M,,-32.42M,-36.57M,-26.01M,-0.124M,-95.12M,-2.169M,-2.169M,40.65M,-125.00M,-84.35M,,,-86.52M,749.89M,150.46M,-0.194M,900.16M,40.65M,,-2.169M,-125.00M,,
2010-11,,,76.10M,76.10M,-33.43M,,2.751M,56.84M,-6.258M,-494.19M,-59.55M,,-28.01M,15.43M,,,5.59M,-66.54M,310.62M,-55.43M,0.00,-55.43M,-193.28M,47.90M,-2.198M,-203.00M,-2.15M,-2.15M,9.63M,-200.00M,-190.37M,,6.258M,-186.26M,814.15M,-78.64M,14.39M,749.89M,9.63M,0.00,-2.15M,-200.00M,102.84M,0.497M
2010-08,,,73.15M,73.15M,0.40M,,-3.456M,49.67M,-1.687M,230.94M,-46.72M,,-3.145M,-24.30M,,,16.57M,-57.59M,291.42M,-39.04M,32.15M,-6.889M,0.00,-259.80M,0.021M,-266.67M,-1.511M,-1.511M,45.58M,-400.00M,-354.42M,,1.687M,-354.24M,1.138B,-329.49M,6.032M,814.15M,45.58M,0.00,-1.511M,-400.00M,87.76M,31.39M
2010-05,,,74.91M,74.91M,-16.97M,,9.891M,60.10M,-1.427M,148.48M,-87.60M,,-12.99M,32.10M,,,44.60M,-23.88M,251.09M,-49.63M,,-49.63M,0.00,-431.11M,-0.164M,-480.90M,0.00,0.00,34.24M,-250.00M,-215.76M,,0.907M,-214.86M,1.589B,-444.67M,-7.166M,1.138B,34.24M,0.00,0.00,-250.00M,143.85M,0.125M
2010-02,,,68.58M,68.58M,-122.32M,,2.331M,64.48M,-7.058M,128.47M,59.60M,,4.18M,19.02M,,,42.59M,125.38M,259.86M,-25.55M,,-25.55M,0.00,-185.51M,2.341M,-208.72M,493.38M,493.38M,49.82M,-0.02M,49.80M,,-3.084M,540.10M,999.49M,591.24M,-1.288M,1.589B,49.82M,1.493B,-1.000B,-0.02M,54.66M,2.617M
2009-11,-418.55M,,,85.04M,71.30M,,-1.685M,41.35M,-11.90M,378.16M,-10.09M,,6.151M,102.08M,,,11.98M,110.12M,253.84M,-34.93M,,-34.93M,,525.71M,,-1.092B,636.10M,636.10M,57.35M,0.00,57.35M,,11.90M,705.35M,1.132B,-132.70M,0.044M,999.49M,57.35M,650.00M,-13.90M,0.00,26.52M,0.147M
2009-08,136.04M,,,63.92M,2.687M,,13.31M,39.65M,0.00,-15.32M,-18.98M,,2.453M,8.034M,,,4.879M,-3.611M,236.68M,-58.43M,,-58.43M,,5.537M,-3.00M,-55.89M,,,73.40M,-350.00M,-276.60M,,0.00,-276.60M,1.227B,-95.81M,1.177M,1.132B,73.40M,,,-350.00M,20.61M,0.453M
2009-05,126.07M,,,64.72M,-6.534M,,,40.96M,0.00,1.062M,36.87M,,5.351M,4.996M,,,-11.97M,35.25M,261.53M,-10.31M,,-10.31M,,-210.44M,3.00M,-217.75M,0.00,0.00,20.22M,0.00,20.22M,,0.00,20.22M,1.149B,63.99M,13.86M,1.227B,20.22M,0.00,0.00,0.00,53.39M,0.596M
2009-02,156.44M,,,68.74M,26.52M,,,45.62M,-0.084M,25.92M,164.48M,,7.859M,-79.71M,,,-50.03M,42.60M,365.74M,-15.92M,,-15.92M,,-115.65M,,-131.56M,0.00,0.00,28.60M,-0.013M,28.59M,,0.084M,28.68M,886.45M,262.86M,-0.381M,1.149B,28.60M,0.00,0.00,-0.013M,4.631M,0.892M
2008-11,245.92M,9.69M,-200.54M,69.73M,12.25M,,,,,-203.02M,-56.99M,,0.618M,-22.54M,,42.38M,116.67M,80.14M,337.82M,-23.31M,,-23.31M,,-272.27M,,-299.16M,,0.00,17.71M,-299.98M,-282.27M,,8.348M,-273.92M,1.134B,-235.26M,-12.55M,886.45M,17.71M,,,-299.98M,,
2008-08,191.61M,-1.111M,62.68M,62.68M,-35.32M,,,,,178.93M,-64.82M,,-2.843M,-4.707M,,-34.24M,-78.41M,-185.01M,211.77M,-39.81M,,-39.81M,,-225.38M,,-265.19M,,0.00,138.99M,-122.55M,16.44M,,14.31M,30.74M,1.162B,-22.68M,-5.514M,1.134B,138.99M,,,-122.55M,,
2008-05,214.91M,0.914M,68.66M,68.66M,33.81M,,,,,53.60M,-42.93M,,-2.097M,-1.058M,,-21.63M,27.62M,-40.10M,331.79M,-22.40M,,-22.40M,,-46.70M,,-69.10M,,-100.00M,108.96M,-150.16M,-41.20M,,9.329M,-131.88M,1.033B,130.81M,-1.094M,1.162B,108.96M,,,-150.16M,,
2008-02,219.38M,-9.493M,69.20M,69.20M,35.84M,,,,,65.64M,11.34M,,-1.262M,-4.848M,,13.49M,,18.72M,399.30M,-26.27M,,-26.27M,,355.04M,,328.77M,,450.00M,53.51M,-1.150B,-1.097B,,,-646.51M,946.42M,81.56M,4.752M,1.033B,53.51M,,,-1.150B,,
2007-11,222.21M,4.645M,78.19M,78.19M,78.79M,,,,,145.46M,-198.15M,,13.62M,2.493M,,101.78M,-50.83M,-131.08M,398.22M,-28.13M,,-28.13M,-8.798M,253.15M,80.42M,296.64M,,,161.44M,-500.00M,-338.57M,,30.65M,-307.91M,559.28M,386.94M,0.195M,946.42M,161.44M,,,-500.00M,,
2007-08,205.24M,-0.307M,81.73M,81.73M,-36.43M,,,,,-38.33M,135.94M,,-1.495M,9.342M,,12.20M,56.68M,212.66M,424.57M,-32.16M,,-32.16M,0.639M,-23.15M,-0.236M,-54.90M,,,122.82M,-850.04M,-727.22M,,16.97M,-710.25M,901.62M,-340.59M,-1.748M,559.28M,122.82M,,,-850.04M,,
2007-05,152.50M,-4.088M,87.05M,87.05M,15.12M,,,,,94.85M,-67.39M,,-12.57M,8.165M,,48.27M,23.49M,-0.04M,345.40M,-23.48M,,-23.48M,-64.28M,320.20M,-80.44M,152.01M,,,137.80M,-300.01M,-162.21M,,35.87M,-126.35M,526.03M,371.06M,4.528M,901.62M,137.80M,,,-300.01M,,
2007-02,143.85M,-5.835M,68.50M,68.50M,0.904M,,,,,73.42M,26.35M,,-2.066M,-8.455M,,-25.55M,,-9.716M,271.12M,-48.30M,,-48.30M,-3.094M,-258.46M,-0.602M,-310.45M,,,94.03M,-301.47M,-207.44M,,1.556M,-205.88M,772.50M,-245.21M,-1.26M,526.03M,94.03M,,,-301.47M,,
2006-11,183.24M,-77.90M,91.01M,91.01M,-12.14M,,,,,185.14M,-77.44M,,12.43M,16.31M,-21.73M,-4.194M,33.25M,-41.37M,327.98M,-33.08M,,-33.08M,-22.79M,-91.49M,,-147.36M,,,148.21M,-200.16M,-51.96M,,-1.357M,-53.31M,644.75M,127.31M,0.438M,772.50M,148.21M,,,-200.16M,,
2006-08,94.40M,7.514M,58.82M,58.82M,-26.19M,,,,,-38.14M,2.43M,,-9.871M,-10.86M,21.73M,66.86M,15.08M,85.37M,181.76M,-18.85M,,-18.85M,-9.596M,67.24M,,38.79M,,,64.86M,-100.15M,-35.29M,,34.08M,-1.211M,425.39M,219.34M,0.02M,644.75M,64.86M,,,-100.15M,,
2006-05,123.10M,5.733M,79.64M,79.64M,-5.904M,,,,,37.22M,2.494M,,-4.524M,-1.854M,,9.296M,-5.076M,0.336M,240.12M,-19.68M,,-19.68M,-26.48M,62.91M,,16.75M,,,61.76M,-559.62M,-497.86M,,28.68M,-469.18M,635.19M,-212.30M,2.512M,425.39M,61.76M,,,-559.62M,,
2006-02,105.07M,1.063M,78.35M,78.35M,39.97M,,,,,51.08M,-40.33M,,14.40M,8.196M,,-75.77M,-4.657M,-98.16M,177.37M,-11.63M,,-11.63M,497.98M,-199.33M,,287.01M,,,234.68M,-504.48M,-269.80M,,18.82M,-250.98M,420.82M,213.40M,0.963M,635.19M,234.68M,,,-504.48M,,
2005-11,156.25M,15.20M,34.90M,34.90M,33.22M,,,,,,-7.995M,,,3.614M,16.11M,9.575M,,10.72M,250.29M,-10.77M,,-10.77M,-9.596M,128.87M,,109.85M,,,106.88M,-500.01M,-393.12M,0.00,,-393.12M,454.17M,-32.99M,-0.36M,420.82M,106.88M,,,-500.01M,,
2005-08,144.92M,19.10M,17.80M,17.80M,15.16M,,,,,,11.96M,,,-1.289M,2.961M,-37.58M,,-23.95M,173.02M,-17.47M,,-17.47M,0.00,-8.956M,,-26.43M,,,52.34M,-0.046M,52.30M,0.00,,52.30M,253.30M,198.89M,1.973M,454.17M,52.34M,,,-0.046M,,
2005-05,149.78M,22.78M,15.13M,15.13M,1.034M,,,,,,-41.73M,,,0.142M,-9.714M,33.56M,,-17.74M,170.98M,-9.124M,,-9.124M,0.00,-195.20M,,-204.32M,,,71.40M,-0.024M,71.38M,-0.012M,,71.36M,217.36M,38.03M,-2.085M,253.30M,71.40M,,,-0.024M,,
2005-02,151.89M,28.96M,14.95M,14.95M,-56.48M,,,,,,1.674M,,,-4.923M,-9.353M,37.37M,,24.77M,164.10M,-11.51M,,-11.51M,-9.541M,-206.45M,,-227.50M,,,125.92M,-100.02M,25.90M,-3.032M,,22.87M,259.06M,-40.54M,-1.165M,217.36M,125.92M,,,-100.02M,,
2004-11,113.50M,66.23M,38.86M,38.86M,-2.172M,,,,,,-30.30M,,,6.531M,1.509M,12.83M,,-4.523M,211.90M,-21.87M,,-21.87M,0.00,-103.18M,5.933M,-119.12M,,,221.14M,-200.02M,21.13M,-2.982M,,18.15M,144.40M,110.93M,3.732M,259.06M,221.14M,,,-200.02M,,
