,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-05,2.195B,2.195B,281.34M,1.914B,646.22M,178.04M,824.26M,374.13M,17.15M,,20.36M,25.77M,5.408M,,1.216B,698.48M,25.77M,20.36M,5.408M,-13.09M,5.408M,690.80M,27.63M,663.17M,663.17M,675.86M,787.52M,76.36M,711.16M,1.35,,1.376,1.35,1.33,,1.355,1.33,491.91M,498.25M,0.0
2018-02,2.079B,2.079B,258.90M,1.820B,580.96M,170.44M,751.40M,348.77M,17.15M,,19.90M,22.63M,2.731M,,1.117B,702.73M,22.63M,19.90M,2.731M,-2.962M,2.731M,702.50M,119.43M,583.08M,583.08M,585.58M,798.92M,76.52M,722.40M,1.18,,1.185,1.18,1.17,,1.175,1.17,492.06M,499.43M,0.0
2017-11,2.007B,2.007B,270.87M,1.736B,574.10M,169.57M,743.67M,324.03M,18.69M,,19.12M,19.52M,0.40M,,1.086B,649.34M,19.52M,19.12M,0.40M,-6.728M,0.40M,643.01M,141.46M,501.55M,501.55M,506.81M,743.36M,81.23M,662.13M,1.02,,1.031,1.02,1.0,,1.01,1.0,492.11M,501.31M,0.0
2017-08,1.841B,1.841B,262.92M,1.578B,550.09M,147.40M,697.50M,315.56M,19.43M,,18.81M,17.18M,-1.629M,,1.032B,545.67M,17.18M,18.81M,-1.629M,-2.666M,-1.629M,541.38M,121.81M,419.57M,419.57M,421.63M,642.51M,82.32M,560.19M,0.85,,0.8542,0.85,0.84,,0.8441,0.84,493.43M,500.40M,0.0
2017-05,1.772B,1.772B,239.36M,1.533B,553.10M,156.93M,710.03M,299.40M,19.32M,,18.35M,15.22M,-3.131M,,1.029B,504.08M,15.22M,18.35M,-3.131M,-8.333M,-3.131M,492.62M,118.23M,374.39M,374.39M,380.75M,592.60M,81.64M,510.96M,0.76,,0.7729,0.76,0.75,,0.7627,0.75,494.37M,500.35M,0.0
2017-02,1.682B,1.682B,237.34M,1.444B,520.30M,150.81M,671.10M,285.08M,19.13M,,18.13M,14.16M,-3.973M,,975.31M,469.00M,14.16M,18.13M,-3.973M,-4.394M,-3.973M,460.63M,62.19M,398.45M,398.45M,402.24M,559.57M,80.81M,478.76M,0.81,,0.8177,0.81,0.8,,0.8076,0.8,494.61M,500.86M,0.0
2016-11,1.608B,1.608B,216.56M,1.392B,495.04M,148.19M,643.23M,257.85M,18.50M,,17.52M,13.33M,-4.188M,,919.58M,472.28M,13.33M,17.52M,-4.188M,-11.39M,-4.188M,456.70M,57.09M,399.61M,399.61M,409.60M,556.08M,81.86M,474.22M,0.81,,0.8301,0.81,0.8,,0.8199,0.8,495.71M,501.79M,0.0
2016-08,1.464B,1.464B,202.70M,1.261B,477.48M,143.36M,620.84M,248.45M,22.65M,,17.28M,11.85M,-5.432M,,891.94M,369.32M,11.85M,17.28M,-5.432M,-7.592M,-5.432M,356.30M,85.51M,270.79M,270.79M,276.56M,457.60M,84.01M,373.58M,0.54,,0.5516,0.54,0.54,,0.5515,0.54,498.58M,503.67M,0.0
2016-05,1.399B,1.399B,202.08M,1.197B,462.79M,138.13M,600.92M,232.48M,18.99M,,17.17M,11.48M,-5.692M,,852.39M,344.24M,11.48M,17.17M,-5.692M,-8.717M,-5.692M,329.83M,85.76M,244.07M,244.07M,250.53M,431.46M,84.46M,347.00M,0.49,,0.5029,0.49,0.48,,0.4928,0.48,499.97M,504.72M,0.0
2016-02,1.383B,1.383B,198.57M,1.185B,474.89M,146.52M,621.41M,237.20M,18.39M,,18.47M,10.68M,-7.792M,,877.00M,307.76M,10.68M,18.47M,-7.792M,-7.659M,-7.792M,292.31M,38.00M,254.31M,254.31M,260.97M,391.98M,81.20M,310.78M,0.51,,0.5233,0.51,0.5,,0.5132,0.5,499.12M,505.68M,0.0
2015-11,1.306B,1.306B,201.36M,1.105B,441.47M,135.61M,577.08M,220.51M,18.05M,,16.52M,8.232M,-8.283M,,815.65M,289.40M,8.232M,16.52M,-8.283M,15.83M,-8.283M,296.94M,74.24M,222.70M,222.70M,227.77M,399.81M,86.36M,313.46M,0.45,,0.4602,0.45,0.44,,0.45,0.44,498.38M,507.28M,0.0
2015-08,1.218B,1.218B,190.98M,1.027B,422.03M,122.58M,544.61M,218.66M,18.25M,0.751M,16.52M,7.394M,-9.125M,,781.52M,245.27M,7.394M,16.52M,-9.125M,-3.524M,-9.125M,232.62M,58.15M,174.46M,174.46M,177.23M,336.69M,87.55M,249.14M,0.35,,0.3555,0.35,0.34,,0.3455,0.34,498.63M,505.81M,0.0
2015-05,1.162B,1.162B,185.17M,976.98M,427.00M,130.21M,557.21M,208.05M,18.08M,-0.034M,16.60M,6.846M,-9.759M,,783.33M,193.65M,6.846M,16.60M,-9.759M,-2.918M,-9.759M,180.97M,33.48M,147.49M,147.49M,150.06M,283.51M,85.93M,197.58M,0.3,,0.3051,0.3,0.29,,0.2951,0.29,499.29M,505.58M,0.0
2015-02,1.109B,1.109B,166.80M,942.38M,392.74M,145.08M,537.82M,215.51M,14.27M,-1.755M,14.54M,6.288M,-8.257M,,767.60M,174.78M,6.288M,14.54M,-8.257M,-3.275M,-8.257M,163.25M,78.36M,84.89M,84.89M,87.08M,257.43M,79.64M,177.79M,0.17,,0.1744,0.17,0.17,,0.1743,0.17,498.75M,507.53M,0.0
2014-11,1.073B,1.073B,160.94M,912.38M,408.86M,133.53M,542.40M,213.69M,12.41M,-19.38M,12.68M,5.706M,-6.972M,,768.50M,143.89M,5.706M,12.68M,-6.972M,-24.64M,-6.972M,112.28M,24.14M,88.14M,88.14M,107.54M,203.10M,78.15M,124.95M,0.15,,0.189,0.15,0.14,,0.1782,0.14,498.12M,508.20M,0.0
2014-08,1.005B,1.005B,157.72M,847.68M,406.48M,141.68M,548.15M,212.05M,13.11M,-0.201M,13.36M,5.274M,-8.087M,,773.31M,74.38M,5.274M,13.36M,-8.087M,-3.352M,-8.087M,62.94M,18.25M,44.69M,44.69M,47.24M,156.45M,80.15M,76.30M,0.09,,0.0951,0.09,0.09,,0.095,0.09,498.47M,507.81M,0.0
2014-05,1.068B,1.068B,154.90M,913.30M,426.83M,129.14M,555.97M,209.09M,13.35M,0.366M,17.10M,5.24M,-11.86M,,778.41M,134.89M,5.24M,17.10M,-11.86M,-1.758M,-11.86M,121.27M,32.74M,88.53M,88.53M,90.05M,216.03M,77.65M,138.37M,0.18,,0.1831,0.18,0.17,,0.173,0.17,497.93M,506.69M,0.0
2014-02,1.000B,1.000B,148.51M,851.61M,410.14M,138.98M,549.12M,209.52M,13.55M,-0.663M,16.59M,5.134M,-11.46M,,772.20M,79.41M,5.134M,16.59M,-11.46M,-3.061M,-11.46M,64.89M,17.85M,47.05M,47.05M,49.38M,159.12M,77.64M,81.48M,0.09,,0.0947,0.09,0.09,,0.0946,0.09,496.95M,508.34M,0.0
2013-11,1.042B,1.042B,147.52M,894.18M,431.54M,138.36M,569.90M,205.20M,13.96M,-2.294M,16.72M,5.267M,-11.46M,,789.05M,105.13M,5.267M,16.72M,-11.46M,-5.405M,-11.46M,88.27M,22.95M,65.32M,65.32M,69.54M,186.34M,81.35M,104.99M,0.13,,0.1385,0.13,0.13,,0.1382,0.13,499.37M,514.44M,0.0
2013-08,995.12M,995.12M,147.08M,848.04M,388.67M,128.04M,516.72M,208.70M,13.06M,0.791M,16.75M,5.332M,-11.42M,,738.48M,109.56M,5.332M,16.75M,-11.42M,-4.888M,-11.42M,93.26M,10.26M,83.00M,83.00M,87.61M,192.18M,82.18M,110.01M,0.16,,0.1691,0.16,0.16,,0.169,0.16,504.12M,514.06M,0.0
2013-05,1.011B,1.011B,135.28M,875.27M,402.21M,120.87M,523.08M,203.10M,12.79M,-24.99M,17.20M,5.606M,-11.60M,,738.97M,136.30M,5.606M,17.20M,-11.60M,-33.58M,-11.60M,91.13M,14.58M,76.55M,76.55M,105.00M,189.28M,80.95M,108.33M,0.15,,0.2065,0.15,0.15,,0.2055,0.15,503.38M,512.45M,0.0
2013-02,1.008B,1.008B,156.68M,851.19M,398.03M,132.85M,530.89M,209.64M,12.44M,-0.002M,16.83M,5.681M,-11.15M,,752.96M,98.23M,5.681M,16.83M,-11.15M,-3.589M,-11.15M,83.48M,18.37M,65.12M,65.12M,68.04M,177.07M,76.75M,100.32M,0.13,,0.1359,0.13,0.13,,0.1358,0.13,498.61M,507.84M,0.0
2012-11,1.153B,1.153B,124.98M,1.028B,402.18M,111.45M,513.63M,195.05M,12.28M,0.275M,16.77M,5.853M,-10.91M,,720.96M,307.49M,5.853M,16.77M,-10.91M,-5.945M,-10.91M,290.63M,68.30M,222.33M,222.33M,226.79M,386.02M,78.62M,307.40M,0.45,0.0,0.459,0.45,0.44,0.0,0.4488,0.44,494.91M,504.38M,0.0
2012-08,1.081B,1.081B,119.62M,960.96M,368.56M,110.25M,478.80M,189.14M,12.33M,-2.374M,17.25M,6.575M,-10.68M,,680.28M,280.68M,6.575M,17.25M,-10.68M,-6.788M,-10.68M,263.21M,61.86M,201.36M,201.36M,206.67M,354.58M,74.11M,280.46M,0.41,,0.4208,0.41,0.4,,0.4106,0.4,494.05M,499.76M,0.0
2012-05,1.124B,1.124B,130.92M,993.53M,386.46M,110.60M,497.06M,180.90M,12.61M,2.191M,16.63M,5.929M,-10.70M,,690.58M,302.95M,5.929M,16.63M,-10.70M,2.322M,-10.70M,294.57M,70.70M,223.88M,223.88M,222.31M,388.38M,77.17M,311.20M,0.45,,0.4469,0.45,0.45,,0.4469,0.45,495.95M,501.38M,0.0
2012-02,1.045B,1.045B,108.26M,936.96M,358.96M,102.68M,461.64M,177.73M,11.43M,2.825M,16.84M,6.193M,-10.64M,,650.80M,286.15M,6.193M,16.84M,-10.64M,-5.132M,-10.64M,270.38M,85.17M,185.21M,185.21M,188.89M,357.08M,69.86M,287.22M,0.37,,0.3775,0.37,0.37,,0.3774,0.37,494.02M,500.38M,0.0
2011-11,1.152B,1.152B,116.38M,1.036B,368.33M,119.59M,487.92M,195.40M,11.83M,-97.54M,16.77M,6.44M,-10.33M,,695.15M,340.63M,6.44M,16.77M,-10.33M,-97.12M,-10.33M,233.18M,59.46M,173.72M,173.72M,246.75M,323.24M,73.29M,249.95M,0.35,0.0,0.4986,0.35,0.35,0.0,0.497,0.35,491.52M,496.68M,0.0
2011-08,1.013B,1.013B,104.65M,908.56M,340.72M,98.49M,439.22M,181.04M,10.38M,-4.241M,16.43M,6.102M,-10.33M,,630.63M,277.93M,6.102M,16.43M,-10.33M,-10.88M,-10.33M,256.72M,61.62M,195.10M,195.10M,203.37M,337.16M,64.01M,273.15M,0.39,0.0,0.4067,0.39,0.39,0.0,0.4066,0.39,494.54M,498.74M,0.0
2011-05,1.023B,1.023B,109.20M,913.98M,348.69M,95.55M,444.24M,183.21M,10.39M,1.511M,16.73M,5.951M,-10.78M,,637.84M,276.14M,5.951M,16.73M,-10.78M,-6.118M,-10.78M,259.24M,29.81M,229.44M,229.44M,234.85M,342.59M,66.62M,275.97M,0.46,0.0,0.4708,0.46,0.45,0.0,0.4607,0.45,499.69M,506.28M,0.0
2011-02,1.028B,1.028B,107.64M,920.07M,328.08M,100.98M,429.06M,178.40M,10.24M,0.273M,17.02M,6.099M,-10.92M,,617.69M,302.38M,6.099M,17.02M,-10.92M,-5.367M,-10.92M,286.09M,51.50M,234.59M,234.59M,238.99M,369.39M,66.29M,303.11M,0.47,0.0,0.4787,0.47,0.46,0.0,0.4686,0.46,504.13M,511.34M,0.0
2010-11,1.008B,1.008B,107.22M,900.73M,322.71M,100.32M,423.03M,170.38M,18.18M,6.198M,16.79M,5.948M,-10.84M,,611.59M,289.14M,5.948M,16.79M,-10.84M,7.713M,-10.84M,286.01M,17.16M,268.85M,268.85M,262.74M,378.89M,76.10M,302.80M,0.52,,0.5079,0.52,0.52,,0.5081,0.52,507.06M,512.23M,0.0
2010-08,990.32M,990.32M,99.08M,891.24M,303.22M,102.18M,405.40M,168.30M,17.62M,6.476M,16.40M,5.883M,-10.51M,,591.31M,299.92M,5.883M,16.40M,-10.51M,7.341M,-10.51M,296.75M,66.69M,230.06M,230.06M,224.37M,386.30M,73.15M,313.15M,0.44,0.0,0.429,0.44,0.44,0.0,0.4291,0.44,518.71M,523.18M,0.0
2010-05,943.04M,943.04M,107.83M,835.20M,320.98M,89.95M,410.93M,167.32M,18.13M,-21.37M,16.08M,4.986M,-11.09M,,596.38M,238.83M,4.986M,16.08M,-11.09M,-33.56M,-11.09M,194.17M,45.56M,148.61M,148.61M,174.30M,285.16M,74.91M,210.25M,0.28,0.0,0.3288,0.28,0.28,0.0,0.3282,0.28,526.15M,533.26M,0.0
2010-02,858.70M,858.70M,89.37M,769.33M,297.29M,91.05M,388.34M,174.34M,18.20M,-14.57M,7.695M,5.105M,-2.59M,,580.88M,188.46M,5.105M,7.695M,-2.59M,-19.65M,-2.59M,166.22M,39.06M,127.15M,127.15M,142.19M,242.49M,68.58M,173.91M,0.24,0.0,0.2687,0.24,0.24,0.0,0.2682,0.24,524.17M,532.64M,0.0
2009-11,757.28M,757.28M,82.32M,674.96M,257.88M,74.29M,332.17M,137.85M,25.90M,-45.96M,1.535M,10.22M,8.69M,,495.92M,179.04M,10.22M,1.535M,8.69M,-27.51M,8.69M,160.21M,192.26M,-32.04M,-32.04M,-14.16M,246.78M,85.04M,161.75M,-0.05,0.0,-0.0152,-0.05,-0.06,0.0,-0.0259,-0.06,513.84M,523.90M,0.0
2009-08,697.51M,697.51M,65.05M,632.46M,231.32M,79.59M,310.91M,138.90M,14.98M,-0.065M,0.46M,6.667M,6.207M,,464.79M,167.67M,6.667M,0.46M,6.207M,0.542M,6.207M,174.42M,38.37M,136.04M,136.04M,135.62M,238.80M,63.92M,174.88M,0.26,0.0,0.2592,0.26,0.26,0.0,0.2592,0.26,525.91M,531.81M,0.0
2009-05,704.67M,704.67M,72.01M,632.66M,243.21M,70.82M,314.03M,138.47M,15.28M,-5.336M,0.62M,4.802M,4.182M,,467.78M,164.88M,4.802M,0.62M,4.182M,-5.336M,4.182M,163.73M,37.66M,126.07M,126.07M,130.18M,229.08M,64.72M,164.35M,0.24,0.0,0.2478,0.24,0.24,0.0,0.2478,0.24,524.16M,528.01M,0.0
2009-02,786.39M,786.39M,77.35M,709.04M,249.49M,74.05M,323.54M,149.92M,15.39M,-29.52M,0.792M,13.28M,12.49M,,488.85M,220.19M,13.28M,0.792M,12.49M,-29.52M,12.49M,203.16M,46.73M,156.44M,156.44M,179.16M,272.69M,68.74M,203.95M,0.3,0.0,0.3434,0.3,0.3,0.0,0.3431,0.3,524.27M,527.83M,0.0
2008-11,915.30M,915.30M,86.44M,828.86M,,,356.07M,153.15M,17.02M,-49.76M,,,,,526.24M,302.62M,,,,-33.35M,,276.34M,30.43M,245.92M,245.92M,290.20M,400.56M,69.73M,330.82M,0.47,0.0,0.5536,0.47,0.46,0.0,0.5426,0.46,529.62M,536.00M,0.0
2008-08,887.26M,887.26M,110.85M,776.41M,,,368.60M,170.12M,17.02M,0.903M,,,,,555.74M,220.66M,,,,0.903M,,228.51M,36.91M,191.61M,191.61M,190.85M,283.34M,62.68M,220.66M,0.36,0.0,0.3586,0.36,0.35,0.0,0.3486,0.35,531.06M,541.31M,0.0
2008-05,886.89M,886.89M,82.87M,804.02M,,,356.44M,170.30M,17.10M,8.464M,,,,,543.84M,260.18M,,,,8.464M,,278.01M,63.10M,214.91M,214.91M,208.37M,328.83M,68.66M,260.18M,0.4,0.0,0.3877,0.4,0.4,0.0,0.3879,0.4,533.39M,542.38M,0.0
2008-02,890.44M,890.44M,82.48M,807.97M,,,345.52M,168.48M,17.10M,3.08M,,,,,531.11M,276.86M,,,,3.08M,,295.64M,76.26M,219.38M,219.38M,217.09M,346.06M,69.20M,276.86M,0.39,0.0,0.3859,0.39,0.38,0.0,0.376,0.38,561.11M,571.26M,0.0
2007-11,911.21M,911.21M,98.60M,812.62M,,,356.04M,162.85M,17.89M,-12.00M,,,,,536.78M,275.83M,,,,-12.00M,,290.68M,68.47M,222.21M,222.21M,231.39M,354.02M,78.19M,275.83M,0.39,0.0,0.406,0.39,0.38,0.0,0.3956,0.38,575.39M,588.31M,0.0
2007-08,851.69M,851.69M,92.62M,759.06M,,,322.38M,163.22M,17.89M,-1.249M,,,,,503.48M,255.58M,,,,-1.249M,,277.00M,71.75M,205.24M,205.24M,206.17M,337.31M,81.73M,255.58M,0.35,0.0,0.3516,0.35,0.34,0.0,0.3415,0.34,583.67M,597.33M,0.0
2007-05,745.58M,745.58M,91.21M,654.36M,,,305.00M,150.05M,18.92M,4.162M,,,,,473.97M,180.39M,,,,4.162M,,205.12M,52.61M,152.50M,152.50M,149.41M,267.44M,87.05M,180.39M,0.26,0.0,0.2547,0.26,0.25,0.0,0.2449,0.25,587.93M,603.42M,0.0
2007-02,649.41M,649.41M,72.26M,577.14M,,,275.95M,137.13M,17.72M,5.601M,,,,,430.81M,146.34M,,,,5.601M,,174.40M,30.55M,143.85M,143.85M,139.23M,214.84M,68.50M,146.34M,0.24,0.0,0.2321,0.24,0.24,0.0,0.2324,0.24,587.97M,604.25M,0.0
2006-11,682.18M,682.18M,79.62M,602.55M,,,283.52M,138.42M,17.76M,65.48M,,,,,439.70M,162.85M,,,,65.48M,,247.96M,64.72M,183.24M,183.24M,134.85M,253.87M,91.01M,162.85M,0.31,0.0,0.2284,0.31,0.3,0.0,0.2207,0.3,592.93M,610.52M,0.0
2006-08,602.19M,602.19M,69.48M,532.71M,,,274.51M,130.44M,17.69M,-5.145M,,,,,422.65M,110.06M,,,,-5.145M,,123.01M,28.62M,94.40M,94.40M,98.34M,168.88M,58.82M,110.06M,0.16,0.0,0.1667,0.16,0.16,0.0,0.1666,0.16,586.43M,600.88M,0.0
2006-05,635.46M,635.46M,65.61M,569.85M,,,270.12M,133.28M,17.31M,1.425M,,,,,420.71M,149.14M,,,,1.425M,,164.50M,41.40M,123.10M,123.10M,122.03M,228.79M,79.64M,149.14M,0.21,0.0,0.2082,0.21,0.2,0.0,0.1983,0.2,595.28M,613.80M,0.0
2006-02,655.48M,655.48M,77.75M,577.73M,,,274.11M,137.54M,17.11M,-20.25M,,,,,428.77M,148.96M,,,,-20.25M,,144.26M,39.18M,105.07M,105.07M,119.82M,227.31M,78.35M,148.96M,0.18,0.0,0.2046,0.18,0.17,0.0,0.1937,0.17,598.45M,621.84M,0.0
2005-11,510.37M,510.37M,30.70M,479.68M,,,193.10M,94.65M,,4.998M,,,,,287.75M,191.93M,,,,4.998M,,207.22M,50.97M,156.25M,156.25M,152.48M,226.82M,34.90M,191.93M,0.32,0.0,0.3124,0.32,0.31,0.0,0.3025,0.31,493.40M,502.77M,0.0
2005-08,487.04M,487.04M,27.48M,459.56M,,,181.38M,94.59M,,-2.044M,,,,,275.97M,183.59M,,,,-2.044M,,193.96M,49.05M,144.92M,144.92M,146.44M,201.39M,17.80M,183.59M,0.29,0.0,0.2931,0.29,0.29,0.0,0.293,0.29,491.71M,507.82M,0.0
2005-05,496.03M,496.03M,27.43M,468.60M,,,196.98M,89.41M,,-2.701M,,,,,286.39M,182.20M,,,,-2.701M,,187.81M,38.03M,149.78M,149.78M,151.93M,197.33M,15.13M,182.20M,0.31,0.0,0.3144,0.31,0.29,0.0,0.2942,0.29,488.76M,508.16M,0.0063
2005-02,472.88M,472.88M,26.97M,445.91M,,,188.52M,86.69M,,-1.554M,,,,,275.20M,170.71M,,,,-1.554M,,176.78M,24.89M,151.89M,151.89M,153.23M,185.67M,14.95M,170.71M,0.31,0.0,0.3127,0.31,0.3,0.0,0.3026,0.3,486.26M,506.18M,0.0063
2004-11,429.50M,429.50M,29.37M,400.13M,,,173.65M,80.10M,,4.158M,,,,,253.75M,146.38M,,,,4.158M,,153.38M,39.88M,113.50M,113.50M,110.42M,185.24M,38.86M,146.38M,0.235,0.0,0.2287,0.235,0.225,0.0,0.2188,0.225,485.64M,499.28M,0.0063
2004-08,403.71M,403.71M,23.57M,380.14M,,,159.76M,80.07M,,-1.494M,,,,,239.83M,140.31M,,,,-1.494M,,141.16M,36.70M,104.46M,104.46M,105.57M,155.14M,14.83M,140.31M,0.22,0.0,0.2223,0.22,0.21,0.0,0.2122,0.21,476.94M,494.23M,0.0063
2004-05,410.08M,410.08M,27.26M,382.83M,,,164.94M,76.05M,,0.873M,,,,,240.99M,141.84M,,,,0.873M,,147.84M,38.44M,109.40M,109.40M,108.75M,156.58M,14.74M,141.84M,0.23,0.0,0.2286,0.23,0.22,0.0,0.2187,0.22,477.24M,493.95M,0.0063
2004-02,423.28M,423.28M,24.18M,399.10M,,,160.77M,75.07M,,-1.031M,,,,,235.84M,163.26M,,,,-1.031M,,166.26M,43.23M,123.04M,123.04M,123.80M,176.70M,13.44M,163.26M,0.26,0.0,0.2616,0.26,0.25,0.0,0.2516,0.25,476.77M,492.17M,0.0063
2003-11,358.59M,358.59M,25.23M,333.36M,,,145.11M,73.09M,,0.484M,,,,,218.20M,115.16M,,,,0.484M,,119.07M,35.72M,83.35M,83.35M,83.01M,127.93M,12.78M,115.16M,0.175,0.0,0.1743,0.175,0.165,0.0,0.1643,0.165,480.24M,500.05M,0.0063
2003-08,319.12M,319.12M,22.08M,297.04M,,,136.46M,68.81M,,-2.557M,,,,,205.27M,91.78M,,,,-2.557M,,92.18M,27.65M,64.52M,64.52M,66.31M,103.96M,12.18M,91.78M,0.14,0.0,0.1438,0.14,0.135,0.0,0.1387,0.135,466.73M,480.99M,0.0063
2003-05,320.15M,320.15M,23.36M,296.79M,,,136.21M,69.12M,,-3.566M,,,,,205.33M,91.46M,,,,-3.566M,,91.78M,27.53M,64.25M,64.25M,66.74M,103.53M,12.06M,91.46M,0.14,0.0,0.1454,0.14,0.135,0.0,0.1402,0.135,464.25M,478.47M,0.0063
2003-02,296.90M,296.90M,22.36M,274.53M,,,128.07M,65.96M,,-6.692M,,,,,194.02M,80.51M,,,,-6.692M,,77.46M,23.24M,54.22M,54.22M,58.91M,92.50M,11.99M,80.51M,0.115,0.0,0.1251,0.115,0.115,0.0,0.125,0.115,462.17M,470.59M,0.0063
