,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2014-08,274.46M,903.33M,2.617B,3.520B,528.33M,,528.33M,,151.23M,79.71M,,4.279B,,,,,,,,,,785.86M,4.747B,490.84M,5.238B,80.44M,,110.30M,6.214B,10.49B,53.79M,21.68M,12.30M,87.77M,293.98M,381.75M,,606.43M,,606.43M,947.56M,947.56M,,,2.245B,901.83M,,901.83M,344.72M,48.98M,393.69M,5.776M,74.40M,1.517B,3.762B,0.061M,6.851B,3.676B,3.815B,,,20.07M,6.731B
2014-05,286.38M,817.02M,2.513B,3.330B,531.56M,,531.56M,,180.09M,72.49M,,4.114B,,,,,,,,,,642.45M,4.774B,532.32M,5.306B,207.24M,,102.05M,6.258B,10.37B,54.86M,33.08M,17.43M,105.36M,312.67M,418.04M,,609.74M,,609.74M,879.11M,879.11M,,,2.218B,896.55M,,896.55M,351.61M,49.50M,401.11M,6.099M,73.71M,1.517B,3.735B,0.061M,6.806B,3.563B,3.779B,,,46.64M,6.637B
2014-02,289.71M,733.92M,2.398B,3.132B,510.51M,,510.51M,,208.64M,91.15M,,3.942B,,,,,,,,,,651.08M,4.782B,570.17M,5.353B,207.24M,,92.55M,6.303B,10.25B,64.51M,41.29M,12.73M,118.52M,312.83M,431.35M,,613.31M,,613.31M,831.08M,831.08M,,,2.112B,896.42M,,896.42M,362.86M,50.01M,412.87M,6.992M,71.17M,1.523B,3.635B,0.061M,6.735B,3.475B,3.656B,,,56.59M,6.611B
2013-11,286.22M,834.56M,2.339B,3.174B,599.82M,,599.82M,,170.11M,102.25M,,4.046B,0.0,106.28M,175.32M,875.68M,,54.59M,235.86M,1.448B,-787.96M,659.77M,4.772B,605.25M,5.377B,207.24M,,90.12M,6.334B,10.38B,62.10M,28.45M,14.78M,105.32M,311.89M,417.21M,,14.68M,,14.68M,775.54M,775.54M,,,1.526B,1.496B,3.269M,1.499B,375.63M,53.27M,428.90M,7.717M,61.56M,2.130B,3.656B,0.061M,6.929B,3.393B,3.643B,,,46.10M,6.725B
2013-08,173.24M,819.08M,2.345B,3.164B,522.41M,,522.41M,,128.50M,47.71M,,3.886B,,,,,,,,,,659.75M,4.752B,637.96M,5.390B,207.24M,,90.77M,6.348B,10.23B,71.07M,22.80M,10.19M,104.06M,269.16M,373.22M,,,17.46M,17.46M,683.14M,683.14M,,,1.329B,1.502B,,1.502B,328.31M,50.93M,379.24M,7.242M,60.90M,2.070B,3.399B,0.061M,6.878B,3.266B,3.323B,,,12.97M,6.835B
2013-05,322.44M,1.246B,2.619B,3.866B,470.05M,,470.05M,,143.80M,54.52M,,4.558B,,,,,,,,,,645.86M,4.225B,551.26M,4.776B,207.24M,,93.17M,5.723B,10.28B,53.68M,25.47M,9.47M,88.63M,267.38M,356.01M,,,20.08M,20.08M,638.88M,638.88M,,,1.265B,1.506B,,1.506B,286.10M,52.38M,338.48M,8.79M,73.44M,2.088B,3.353B,0.061M,6.855B,3.190B,3.146B,,,27.46M,6.927B
2013-02,247.67M,1.306B,2.354B,3.661B,485.80M,,485.80M,,161.66M,64.93M,,4.373B,,,,,,,,,,686.01M,4.221B,580.57M,4.802B,207.24M,,97.32M,5.793B,10.17B,72.72M,27.85M,8.154M,108.73M,316.23M,424.96M,,,22.41M,22.41M,645.83M,645.83M,,,1.264B,1.509B,,1.509B,292.77M,54.20M,346.97M,10.05M,70.17M,2.096B,3.360B,0.061M,6.808B,3.116B,3.160B,,,40.11M,6.805B
2012-11,200.77M,1.425B,2.113B,3.538B,617.23M,,617.23M,,116.24M,125.24M,,4.397B,0.0,114.94M,175.22M,822.27M,,63.98M,222.26M,1.399B,-734.37M,664.30M,4.133B,545.04M,4.678B,207.24M,,93.33M,5.643B,10.04B,49.76M,76.05M,10.04M,135.85M,320.34M,456.18M,,,11.22M,11.22M,561.46M,561.46M,,,1.272B,1.495B,1.626M,1.497B,330.81M,58.10M,388.91M,12.26M,50.08M,2.103B,3.375B,0.061M,7.003B,3.039B,3.407B,,,30.71M,6.665B
2012-08,,1.162B,2.085B,3.247B,566.67M,,566.67M,,139.12M,57.02M,,4.010B,,,,,,,,,,619.39M,4.127B,576.95M,4.703B,207.24M,,89.71M,5.620B,9.630B,58.45M,62.03M,11.86M,132.34M,316.89M,449.22M,,,11.09M,11.09M,505.65M,505.65M,,,1.170B,1.500B,,1.500B,253.63M,54.69M,308.31M,12.71M,48.76M,2.022B,3.191B,0.061M,6.815B,2.962B,3.361B,,,22.51M,6.439B
2012-05,,951.24M,2.047B,2.998B,529.39M,,529.39M,,163.94M,79.36M,,3.771B,,,,,,,,,,573.57M,4.123B,600.33M,4.723B,207.24M,,91.08M,5.595B,9.366B,69.42M,82.35M,200.60M,352.37M,138.06M,490.43M,,,9.426M,9.426M,535.12M,535.12M,,,1.246B,1.501B,,1.501B,250.76M,57.66M,308.42M,12.15M,47.64M,2.021B,3.266B,0.061M,6.671B,2.887B,3.479B,,,20.62M,6.100B
2012-02,,801.26M,1.965B,2.766B,512.21M,,512.21M,,149.81M,77.51M,,3.506B,,,,,,,,,,549.78M,4.138B,637.82M,4.776B,207.24M,,94.13M,5.627B,9.133B,70.10M,30.55M,,100.65M,512.51M,613.16M,,,9.318M,9.318M,492.54M,492.54M,,,1.115B,1.503B,,1.503B,254.19M,56.42M,310.61M,12.80M,54.94M,2.031B,3.146B,0.061M,6.497B,2.822B,3.379B,,,46.75M,5.986B
2011-11,261.21M,989.50M,1.922B,2.912B,634.37M,,634.37M,,133.42M,91.96M,,3.771B,0.0,113.96M,99.84M,689.20M,,44.22M,206.53M,1.154B,-625.93M,527.83M,3.849B,545.53M,4.395B,207.24M,,89.92M,5.220B,8.991B,86.66M,69.37M,18.78M,174.80M,354.86M,529.66M,,,9.212M,9.212M,476.40M,476.40M,,,1.251B,1.495B,10.47M,1.505B,181.60M,55.30M,236.90M,7.449M,50.88M,1.957B,3.208B,0.061M,6.529B,2.754B,3.530B,,,29.95M,5.783B
2011-08,,769.21M,1.950B,2.719B,559.32M,,559.32M,,119.51M,71.09M,,3.469B,,,,,,,,,,499.06M,3.740B,419.82M,4.160B,207.24M,,157.24M,5.024B,8.493B,65.24M,84.07M,17.09M,166.39M,235.06M,401.45M,,,9.107M,9.107M,439.69M,439.69M,,,1.032B,1.494B,12.82M,1.507B,151.06M,44.37M,195.43M,8.019M,42.78M,1.897B,2.929B,0.061M,6.382B,2.680B,3.557B,,,59.19M,5.564B
2011-05,,827.48M,1.798B,2.626B,568.57M,,568.57M,,127.21M,68.02M,,3.389B,,,,,,,,,,463.42M,3.694B,424.20M,4.118B,207.24M,,162.04M,4.950B,8.340B,60.53M,64.06M,,124.59M,279.99M,404.58M,,,9.003M,9.003M,438.08M,438.08M,,,1.050B,1.494B,15.13M,1.509B,122.00M,43.95M,165.94M,7.203M,44.32M,1.900B,2.950B,0.061M,6.229B,2.612B,3.506B,,,54.34M,5.389B
2011-02,,900.16M,1.737B,2.637B,533.35M,,533.35M,,113.68M,66.93M,,3.351B,,,,,,,,,,453.50M,3.686B,447.62M,4.134B,207.24M,,164.80M,4.959B,8.310B,54.74M,81.38M,,136.13M,275.02M,411.15M,,,8.90M,8.90M,399.57M,399.57M,,,985.53M,1.494B,17.42M,1.512B,120.76M,43.83M,164.58M,7.307M,44.92M,1.899B,2.885B,0.061M,6.046B,2.530B,3.179B,,,28.70M,5.425B
2010-11,,749.89M,1.718B,2.468B,554.33M,,554.33M,,110.46M,83.25M,,3.216B,0.0,110.16M,99.84M,554.82M,,20.80M,188.33M,973.97M,-525.09M,448.88M,3.642B,528.78M,4.171B,207.24M,,98.35M,4.925B,8.141B,52.43M,53.72M,,106.15M,572.39M,678.54M,,,8.799M,8.799M,380.75M,380.75M,,,1.068B,1.514B,,1.514B,103.10M,48.93M,152.03M,8.254M,42.02M,1.881B,2.949B,0.061M,5.981B,2.458B,3.264B,,,17.43M,5.192B
2010-05,,1.138B,1.507B,2.645B,439.15M,,439.15M,,121.24M,70.96M,,3.276B,,,,,,,,,,407.62M,3.488B,447.37M,3.936B,207.24M,,180.38M,4.731B,8.007B,50.27M,71.98M,,122.25M,485.09M,607.34M,,,,,362.57M,362.57M,,,969.91M,1.494B,,1.494B,66.14M,41.78M,107.92M,7.729M,248.97M,1.858B,2.828B,0.061M,5.570B,2.376B,2.808B,,,40.00M,5.179B
2010-02,,1.589B,1.083B,2.672B,350.58M,,350.58M,,86.99M,67.26M,,3.177B,,,,,,,,,,386.20M,3.494B,487.60M,3.982B,207.24M,,192.73M,4.768B,7.945B,44.19M,151.84M,,196.03M,384.21M,580.24M,,,,,320.54M,320.54M,,,900.77M,1.494B,,1.494B,79.67M,39.21M,118.88M,6.104M,254.35M,1.873B,2.774B,0.061M,5.427B,2.340B,2.625B,,,29.11M,5.171B
2009-11,,999.49M,904.99M,1.904B,410.88M,,410.88M,,80.86M,77.42M,,2.474B,0.0,86.49M,99.84M,472.38M,,19.93M,152.20M,830.85M,-442.72M,388.13M,3.495B,527.39M,4.022B,207.24M,,191.26M,4.809B,7.282B,58.90M,58.51M,,117.42M,281.21M,398.62M,,,0.00,0.00,281.58M,281.58M,,,844.55M,1.00B,0.00,1.00B,252.49M,36.72M,289.20M,6.921M,27.46M,1.547B,2.392B,0.061M,5.300B,2.390B,2.824B,,,24.45M,4.891B
2009-08,,1.132B,1.424B,2.556B,281.81M,,281.81M,,80.50M,72.16M,,2.991B,,,,,,,,,,335.75M,2.126B,117.38M,2.243B,207.24M,,184.70M,2.971B,5.962B,48.42M,20.33M,,68.75M,357.31M,426.06M,,,,,188.33M,188.33M,,,614.38M,350.00M,,350.00M,105.60M,29.87M,135.46M,4.967M,162.59M,653.02M,1.267B,0.061M,5.332B,2.303B,2.963B,,,21.73M,4.695B
2009-05,,1.227B,1.437B,2.664B,262.60M,,262.60M,,84.08M,76.91M,,3.088B,,,,,,,,,,291.72M,2.135B,148.51M,2.284B,207.24M,,193.51M,2.976B,6.064B,42.26M,11.02M,,53.28M,375.16M,428.44M,,,,,185.19M,185.19M,,,613.63M,350.00M,,350.00M,104.49M,28.12M,132.61M,6.559M,159.90M,649.07M,1.263B,0.061M,5.196B,2.361B,2.783B,,,27.31M,4.801B
2009-02,,1.149B,1.235B,2.384B,300.05M,,300.05M,,104.12M,81.12M,,2.869B,,,,,,,,652.97M,-352.59M,300.38M,2.132B,358.61M,2.491B,,,227.24M,3.019B,5.888B,41.42M,,,41.42M,364.03M,405.44M,,,,,198.31M,198.31M,,33.11M,636.86M,350.00M,,350.00M,114.60M,,114.60M,,174.97M,639.57M,1.276B,0.061M,5.070B,2.352B,2.836B,,,25.10M,4.611B
2008-11,,886.45M,1.133B,2.019B,467.23M,,467.23M,,137.95M,110.71M,,2.735B,0.0,74.84M,62.46M,387.49M,,7.273M,133.57M,665.63M,-352.59M,313.04M,2.135B,214.96M,2.350B,207.24M,,216.53M,3.086B,5.822B,55.84M,27.14M,,82.98M,435.66M,518.64M,,,,,243.96M,243.96M,,,762.60M,350.00M,,350.00M,117.33M,31.36M,148.68M,6.214M,143.75M,648.64M,1.411B,0.061M,4.913B,2.397B,2.957B,,,57.22M,4.410B
2008-08,,1.134B,866.64M,2.001B,327.97M,33.69M,361.66M,,60.06M,94.50M,,2.517B,,,,,,,,607.95M,-290.88M,317.07M,2.134B,246.40M,2.380B,,,424.13M,3.122B,5.639B,56.25M,,,56.25M,363.27M,419.52M,,,,,204.59M,204.59M,,37.55M,661.66M,350.00M,,350.00M,96.83M,,96.83M,,158.82M,605.64M,1.267B,0.061M,4.667B,2.370B,2.689B,,,23.44M,4.371B
2008-05,,1.162B,702.28M,1.865B,321.15M,46.98M,368.13M,,48.40M,100.21M,,2.381B,,,,,,,,591.25M,-290.88M,300.37M,2.135B,313.24M,2.448B,,,330.16M,3.079B,5.460B,60.96M,,,60.96M,383.14M,444.11M,,,,,191.59M,191.59M,,37.06M,672.76M,350.00M,,350.00M,137.85M,,137.85M,,259.14M,747.00M,1.420B,0.061M,4.476B,2.308B,2.765B,,,21.30M,4.041B
2008-02,,1.033B,682.51M,1.715B,293.27M,38.84M,332.10M,,46.03M,132.89M,,2.226B,,,,,,,,588.40M,-290.88M,297.52M,2.144B,357.22M,2.502B,,,315.52M,3.115B,5.341B,62.02M,,,62.02M,374.93M,436.95M,,,,,191.66M,191.66M,,40.93M,669.55M,450.00M,,450.00M,146.34M,,146.34M,,260.86M,857.20M,1.527B,0.061M,4.261B,2.318B,2.791B,,,26.22M,3.814B
2007-11,,946.42M,1.047B,1.994B,318.14M,44.67M,362.81M,,44.84M,171.47M,,2.573B,0.0,67.90M,176.60M,320.33M,,15.80M,,580.64M,-290.88M,289.76M,2.148B,402.62M,2.551B,,,300.22M,3.141B,5.714B,66.87M,,,66.87M,387.17M,454.03M,,,,,183.32M,183.32M,,215.06M,852.41M,,,,148.94M,,148.94M,,62.34M,211.29M,1.064B,0.061M,4.042B,2.341B,1.761B,,,27.95M,4.650B
