,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,5.902B,5.902B,2.73B,3.172B,1.115B,843.00M,447.00M,0.00,546.00M,-546.00M,,2.405B,767.00M,546.00M,-546.00M,16.00M,-546.00M,237.00M,-55.00M,292.00M,,,,,292.00M,292.00M,2.073B,1.29B,783.00M,,0.27,,,,0.27,0.27,,0.27,,,,0.27,0.27,,1.065B,1.069B,0.54,,AOR,Restated
2018-03,5.945B,5.945B,2.803B,3.142B,1.109B,839.00M,444.00M,0.00,535.00M,-535.00M,,2.392B,750.00M,535.00M,-535.00M,21.00M,-535.00M,236.00M,121.00M,115.00M,,,,,115.00M,115.00M,2.054B,1.283B,771.00M,,0.11,,,,0.11,0.11,,0.11,,,,0.11,0.11,,1.066B,1.069B,0.54,,AOR,Restated
2017-12,5.323B,5.323B,2.498B,2.825B,1.104B,791.00M,406.00M,5.00M,481.00M,-481.00M,,2.301B,524.00M,481.00M,-481.00M,11.00M,-481.00M,54.00M,-1.063B,1.117B,,,,,1.117B,1.114B,1.732B,1.197B,535.00M,,1.26,,,,1.257,1.26,,1.26,,,,1.257,1.26,,887.89M,889.14M,0.54,,AOR,Restated
2017-09,4.034B,4.034B,1.927B,2.107B,710.00M,641.00M,269.00M,0.00,362.00M,-362.00M,,1.62B,487.00M,362.00M,-362.00M,14.00M,-362.00M,139.00M,47.00M,92.00M,,,,,92.00M,92.00M,1.411B,910.00M,501.00M,,0.17,,,,0.17,0.17,,0.17,,,,0.17,0.17,,541.52M,541.96M,0.54,,AOR,Restated
2017-06,4.09B,4.09B,1.89B,2.20B,884.00M,673.00M,276.00M,,320.00M,-320.00M,,1.833B,367.00M,320.00M,-320.00M,-7.00M,-320.00M,40.00M,23.00M,17.00M,,,,,17.00M,17.00M,1.309B,949.00M,360.00M,,0.03,,,,0.03,0.03,,0.03,,,,0.03,0.03,,541.36M,542.15M,0.54,,AOR,Restated
2017-03,4.209B,4.209B,1.888B,2.321B,810.00M,605.00M,275.00M,,318.00M,-318.00M,,1.69B,631.00M,318.00M,-318.00M,-6.00M,-318.00M,307.00M,144.00M,163.00M,,,,,163.00M,163.00M,1.505B,880.00M,625.00M,,0.30,,,,0.30,0.30,,0.30,,,,0.30,0.30,,540.46M,541.52M,0.54,,AOR,Restated
2016-12,5.208B,4.289B,1.929B,2.36B,997.00M,663.00M,295.00M,,320.00M,-320.00M,,1.955B,405.00M,320.00M,-320.00M,-11.00M,-320.00M,74.00M,32.00M,42.00M,,,,,42.00M,42.00M,1.352B,958.00M,394.00M,,0.08,,,,0.08,0.08,,0.08,,,,0.08,0.08,,539.96M,541.24M,0.54,,AOR,Restated
2016-09,4.078B,4.382B,1.996B,2.386B,798.00M,691.00M,304.00M,,327.00M,-327.00M,,1.793B,593.00M,327.00M,-327.00M,-17.00M,-327.00M,249.00M,97.00M,152.00M,,,,,152.00M,152.00M,1.571B,995.00M,576.00M,,0.28,,,,0.28,0.28,,0.28,,,,0.28,0.28,,539.81M,540.92M,0.54,,AOR,Restated
2016-06,4.091B,4.398B,1.949B,2.449B,815.00M,675.00M,312.00M,,340.00M,-340.00M,,1.802B,647.00M,340.00M,-340.00M,10.00M,-340.00M,317.00M,121.00M,196.00M,,,,,196.00M,196.00M,1.644B,987.00M,657.00M,,0.36,,,,0.36,0.36,,0.36,,,,0.36,0.36,,539.63M,540.38M,0.54,,AOR,Restated
2016-03,4.093B,4.401B,1.90B,2.501B,837.00M,661.00M,315.00M,,331.00M,-331.00M,,1.813B,688.00M,331.00M,-331.00M,23.00M,-331.00M,380.00M,144.00M,236.00M,,,,,236.00M,236.00M,1.687B,976.00M,711.00M,,0.44,,,,0.44,0.44,,0.44,,,,0.44,0.44,,538.80M,540.19M,0.54,,AOR,Restated
2015-12,5.40B,4.476B,1.915B,2.561B,783.00M,723.00M,330.00M,,328.00M,-328.00M,,1.836B,725.00M,328.00M,-328.00M,33.00M,-328.00M,430.00M,92.00M,338.00M,,,,,338.00M,338.00M,1.811B,1.053B,758.00M,,0.62,,,,0.62,0.62,,0.62,,,,0.62,0.62,,541.61M,542.49M,0.54,,AOR,Restated
2015-09,4.145B,4.554B,1.993B,2.561B,857.00M,713.00M,335.00M,,329.00M,-329.00M,,1.905B,656.00M,329.00M,-329.00M,2.00M,-329.00M,329.00M,124.00M,205.00M,,,,,205.00M,205.00M,1.706B,1.048B,658.00M,,0.37,,,,0.37,0.37,,0.37,,,,0.37,0.37,,554.90M,555.16M,0.54,,AOR,Restated
2015-06,4.161B,4.419B,1.959B,2.46B,863.00M,706.00M,342.00M,,327.00M,-327.00M,,1.911B,549.00M,327.00M,-327.00M,12.00M,-327.00M,234.00M,91.00M,143.00M,,,,,143.00M,143.00M,1.609B,1.048B,561.00M,,0.26,,,,0.26,0.26,,0.26,,,,0.26,0.26,,558.64M,559.22M,0.54,,AOR,Restated
2015-03,4.194B,4.451B,1.911B,2.54B,851.00M,694.00M,346.00M,,328.00M,-328.00M,,1.891B,649.00M,328.00M,-328.00M,2.00M,-328.00M,323.00M,131.00M,192.00M,,,,,192.00M,192.00M,1.691B,1.04B,651.00M,,0.34,,,,0.34,0.34,,0.34,,,,0.34,0.34,,561.97M,563.50M,0.54,,AOR,Restated
2014-12,4.192B,4.438B,1.974B,2.464B,850.00M,777.00M,354.00M,,330.00M,-330.00M,,1.981B,483.00M,330.00M,-330.00M,4.00M,-330.00M,157.00M,-31.00M,188.00M,,,,,188.00M,188.00M,1.618B,1.131B,487.00M,,0.33,,,,0.33,0.33,,0.33,,,,0.33,0.33,,565.32M,567.04M,0.54,,AOR,Restated
2014-09,4.264B,4.514B,1.975B,2.539B,823.00M,736.00M,361.00M,,325.00M,-325.00M,,1.92B,619.00M,325.00M,-325.00M,5.00M,-325.00M,299.00M,111.00M,188.00M,,,,,188.00M,188.00M,1.721B,1.097B,624.00M,,0.33,,,,0.33,0.33,,0.33,,,,0.33,0.33,,565.96M,567.43M,0.54,,AOR,Restated
2014-06,4.288B,4.541B,1.962B,2.579B,831.00M,727.00M,366.00M,,325.00M,-325.00M,,1.924B,655.00M,325.00M,-325.00M,-7.00M,-325.00M,323.00M,130.00M,193.00M,,,,,193.00M,193.00M,1.741B,1.093B,648.00M,,0.34,,,,0.34,0.34,,0.34,,,,0.34,0.34,,567.92M,569.03M,0.54,,AOR,Restated
2014-03,4.284B,4.538B,1.935B,2.603B,843.00M,717.00M,390.00M,,331.00M,-331.00M,,1.95B,653.00M,331.00M,-331.00M,9.00M,-331.00M,331.00M,128.00M,203.00M,,,,,203.00M,203.00M,1.769B,1.107B,662.00M,,0.35,,,,0.35,0.35,,0.35,,,,0.35,0.35,,574.54M,575.46M,0.54,,AOR,Restated
2013-12,4.296B,4.542B,1.92B,2.622B,823.00M,,,18.00M,328.00M,-328.00M,,1.989B,633.00M,328.00M,-328.00M,25.00M,-328.00M,330.00M,91.00M,239.00M,,,,,239.00M,225.96M,1.824B,1.166B,658.00M,,0.41,,,,0.3877,0.41,,0.41,,,,0.3877,0.41,,585.26M,585.26M,0.54,,AOR,Restated
2013-09,4.267B,4.515B,1.918B,2.597B,1.047B,,,-1.10B,329.00M,-329.00M,,2.182B,415.00M,329.00M,-329.00M,-1.091B,-329.00M,-1.005B,40.00M,-1.045B,,,,,-1.045B,11.00M,459.00M,1.135B,-676.00M,,-1.76,,,,0.0160,-1.76,,-1.76,,,,0.0160,-1.76,,594.59M,594.59M,0.54,,AOR,Restated
2013-06,4.276B,4.525B,1.873B,2.652B,814.00M,,,,325.00M,-325.00M,,1.937B,715.00M,325.00M,-325.00M,4.00M,-325.00M,394.00M,125.00M,269.00M,,,,,269.00M,269.00M,1.842B,1.123B,719.00M,,0.45,,,,0.45,0.45,,0.44,,,,0.44,0.44,,604.30M,605.60M,0.54,,AOR,Restated
2013-03,4.256B,4.513B,1.796B,2.717B,818.00M,,,,316.00M,-316.00M,,1.935B,782.00M,316.00M,-316.00M,39.00M,-316.00M,505.00M,207.00M,298.00M,,,,,298.00M,298.00M,1.938B,1.117B,821.00M,,0.48,,,,0.48,0.48,,0.48,,,,0.48,0.48,,619.42M,621.07M,0.54,,AOR,Restated
2012-12,4.316B,4.583B,1.907B,2.676B,790.00M,,,15.00M,315.00M,-315.00M,,2.01B,666.00M,315.00M,-315.00M,23.00M,-315.00M,374.00M,141.00M,233.00M,,,,,233.00M,223.66M,1.909B,1.22B,689.00M,,0.37,,,,0.3550,0.37,,0.37,,,,0.3550,0.37,,621.58M,623.66M,0.725,,AOR,Restated
2012-09,4.314B,4.571B,1.943B,2.628B,748.00M,,,0.00,326.00M,-326.00M,,1.892B,736.00M,326.00M,-326.00M,12.00M,-326.00M,422.00M,152.00M,270.00M,,,,,270.00M,270.00M,1.892B,1.144B,748.00M,,0.43,,,,0.43,0.43,,0.43,,,,0.43,0.43,,621.15M,623.30M,0.725,,AOR,Restated
2012-06,4.346B,4.612B,1.912B,2.70B,835.00M,,,-202.00M,335.00M,-335.00M,,2.043B,657.00M,335.00M,-335.00M,-199.00M,-335.00M,123.00M,49.00M,74.00M,,,,,74.00M,195.53M,1.666B,1.208B,458.00M,,0.12,,,,0.3160,0.12,,0.12,,,,0.3154,0.12,,619.89M,621.84M,0.725,,AOR,Restated
2012-03,4.344B,4.61B,1.877B,2.733B,871.00M,,,8.00M,343.00M,-343.00M,,2.079B,654.00M,343.00M,-343.00M,20.00M,-343.00M,331.00M,131.00M,200.00M,,,,,200.00M,195.17M,1.882B,1.208B,674.00M,,0.32,,,,0.3122,0.32,,0.32,,,,0.3122,0.32,,618.21M,620.35M,0.725,,AOR,Restated
2011-12,3.773B,4.653B,1.968B,2.685B,900.00M,,,-4.00M,340.00M,-340.00M,,2.152B,533.00M,340.00M,-340.00M,-1.00M,-340.00M,192.00M,83.00M,109.00M,,,,,109.00M,111.60M,1.784B,1.252B,532.00M,,0.16,,,,0.1642,0.16,,0.16,,,,0.1642,0.16,,616.36M,618.30M,0.725,,AOR,Restated
2011-09,4.596B,4.596B,1.95B,2.646B,870.00M,,,7.00M,324.00M,-324.00M,,2.098B,548.00M,324.00M,-324.00M,7.00M,-324.00M,231.00M,93.00M,138.00M,,,,,138.00M,133.80M,1.783B,1.228B,555.00M,,0.22,0.00,,,0.2131,0.22,,0.22,0.00,,,0.2132,0.22,,612.28M,613.69M,0.725,,AOR,Restated
2011-06,4.406B,4.406B,1.781B,2.625B,968.00M,,,-14.00M,280.00M,-280.00M,,2.145B,480.00M,280.00M,-280.00M,-14.00M,-280.00M,186.00M,71.00M,115.00M,,,,,115.00M,123.66M,1.643B,1.177B,466.00M,,0.19,0.00,,,0.2045,0.19,,0.19,0.00,,,0.2044,0.19,,598.88M,600.26M,0.725,,AOR,Restated
2011-03,1.696B,1.696B,626.00M,1.07B,237.00M,,,3.00M,128.00M,-128.00M,,606.00M,464.00M,128.00M,-128.00M,3.00M,-128.00M,339.00M,128.00M,211.00M,,,,,211.00M,209.13M,836.00M,369.00M,467.00M,,0.69,0.00,,,0.6839,0.69,,0.69,0.00,,,0.6839,0.69,,303.83M,304.48M,0.725,,AOR,Restated
2010-12,1.175B,1.722B,632.00M,1.09B,239.00M,,,,128.00M,-128.00M,,604.00M,486.00M,128.00M,-128.00M,,-128.00M,359.00M,134.00M,225.00M,,,,,225.00M,225.00M,852.00M,365.00M,487.00M,,0.73,,,,0.73,0.73,,0.73,,,,0.73,0.73,,302.30M,303.20M,0.725,,AOR,Restated
2010-09,1.748B,1.748B,641.00M,1.107B,243.00M,,,,138.00M,-138.00M,,601.00M,506.00M,138.00M,-138.00M,,-138.00M,372.00M,140.00M,232.00M,,,,,232.00M,232.00M,868.00M,358.00M,510.00M,,0.76,0.00,,,0.76,0.76,,0.76,0.00,,,0.76,0.76,,300.70M,301.39M,0.725,,AOR,Restated
2010-06,1.772B,1.772B,627.00M,1.145B,264.00M,,,4.00M,140.00M,-140.00M,,622.00M,523.00M,140.00M,-140.00M,4.00M,-140.00M,387.00M,149.00M,238.00M,,,,,238.00M,235.54M,885.00M,357.84M,527.00M,,0.79,0.00,,,0.7818,0.79,,0.79,0.00,,,0.7818,0.79,,300.06M,300.60M,0.725,,AOR,Restated
2010-03,1.800B,1.800B,619.10M,1.181B,282.93M,,,10.50M,142.22M,-142.22M,,636.09M,545.23M,142.22M,-142.22M,10.50M,-142.22M,413.50M,160.55M,252.96M,,,-0.356M,,252.60M,246.18M,908.89M,353.16M,555.73M,,0.84,0.00,,,0.8185,0.84,,0.84,0.00,,,0.8186,0.84,,299.41M,300.00M,0.725,,AOR,Restated
2009-12,1.829B,1.829B,596.86M,1.232B,335.48M,,,-63.35M,133.02M,-133.02M,,691.86M,540.34M,133.02M,-133.02M,-63.35M,-133.02M,343.96M,116.08M,226.50M,,2.744M,-0.441M,,230.18M,135.26M,833.37M,356.38M,476.98M,,0.7602,,0.00,,0.9005,0.7693,,0.7602,,0.0092,,0.9005,0.7693,,299.19M,299.19M,0.70,,AOR,Restated
2009-09,1.874B,1.874B,684.86M,1.189B,448.28M,,,9.362M,140.42M,-140.42M,,810.48M,378.98M,140.42M,-140.42M,9.362M,-140.42M,247.92M,99.88M,148.05M,,133.21M,-0.412M,,280.85M,275.64M,750.55M,362.20M,388.34M,,0.49,0.45,0.00,-0.4482,0.4712,0.94,,0.49,0.45,0.4464,-0.4482,0.4712,0.94,,298.13M,298.40M,0.70,,AOR,Restated
2009-06,634.47M,634.47M,235.73M,398.74M,120.74M,,,7.635M,44.94M,-44.94M,,249.29M,149.44M,44.94M,-44.94M,7.635M,-44.94M,112.14M,42.81M,69.33M,,,-0.298M,,69.03M,64.31M,285.63M,128.55M,157.08M,,0.68,0.00,,,0.6325,0.68,,0.68,0.00,,,0.6325,0.68,,99.41M,99.45M,0.70,,AOR,Restated
2009-03,636.38M,636.38M,234.63M,401.75M,109.84M,,,-1.818M,52.03M,-52.03M,,237.42M,164.34M,52.03M,-52.03M,-1.818M,-52.03M,110.49M,43.11M,67.38M,,,-0.226M,,67.15M,68.26M,290.09M,127.57M,162.52M,,0.67,0.00,,,0.6812,0.67,,0.67,0.00,,,0.6812,0.67,,99.13M,99.14M,0.70,,AOR,Restated
2008-12,642.95M,642.95M,235.79M,407.16M,101.92M,,,15.82M,53.45M,-53.45M,,230.72M,176.44M,53.45M,-53.45M,15.82M,-53.45M,138.81M,38.44M,99.07M,,0.00,-0.299M,,100.07M,87.34M,321.05M,128.80M,192.26M,,0.99,0.00,0.00,,0.8743,0.99,,0.99,0.00,0.00,,0.8744,0.99,,98.88M,98.92M,0.70,,,Restated
2008-09,650.07M,650.07M,242.24M,407.83M,98.75M,,,4.569M,49.48M,-49.48M,,227.10M,180.73M,49.48M,-49.48M,4.569M,-49.48M,135.81M,50.62M,85.19M,,0.00,-0.456M,,84.73M,81.87M,313.65M,128.35M,185.30M,,0.83,0.00,0.00,,0.8015,0.83,,0.83,0.00,0.00,,0.8015,0.83,,100.40M,100.65M,0.70,,,Restated
2008-06,658.11M,658.11M,239.63M,418.48M,106.84M,,,13.20M,49.17M,-49.17M,,237.79M,180.69M,49.17M,-49.17M,13.20M,-49.17M,144.73M,52.26M,92.46M,,,-0.297M,,92.17M,83.73M,324.85M,130.95M,193.89M,,0.88,0.00,,,0.7986,0.88,,0.88,0.00,,,0.7989,0.88,,103.64M,104.00M,0.0675,,,Restated
2008-03,648.61M,648.61M,237.81M,410.80M,91.62M,,,8.663M,50.12M,-50.12M,,227.31M,183.49M,50.12M,-50.12M,8.663M,-50.12M,142.03M,53.03M,89.01M,,,-0.246M,,88.76M,83.33M,327.84M,135.68M,192.16M,,0.83,0.00,,,0.7789,0.83,,0.82,0.00,,,0.7691,0.82,,106.14M,106.68M,0.0675,,,Restated
2007-12,656.56M,656.56M,251.03M,405.54M,99.01M,,,10.64M,,,,236.56M,168.97M,,,10.64M,,126.51M,11.48M,115.03M,,,,,115.03M,105.36M,306.53M,137.55M,168.97M,,1.05,0.00,,,0.9613,1.05,,1.04,0.00,,,0.9522,1.04,,109.01M,110.12M,0.065,,,
2007-09,708.83M,708.83M,246.43M,462.40M,101.61M,,,14.76M,,,,238.22M,224.18M,,,14.76M,,183.77M,70.57M,113.20M,,,,,113.20M,104.11M,360.79M,136.61M,224.18M,,1.04,0.00,,,0.9566,1.04,,1.01,0.00,,,0.9290,1.01,,109.00M,112.23M,0.065,,,
2007-06,689.99M,689.99M,226.39M,463.60M,97.46M,,,8.08M,,,,231.77M,231.84M,,,8.08M,,182.25M,69.98M,112.26M,,,,,112.26M,107.29M,366.15M,134.31M,231.84M,,1.03,0.00,,,0.9841,1.03,,1.00,0.00,,,0.9562,1.00,,108.40M,113.72M,0.065,,,
2007-03,600.86M,600.86M,213.53M,387.32M,91.46M,,,5.29M,,,,219.24M,168.08M,,,5.29M,,126.41M,48.54M,77.87M,,,,,77.87M,74.61M,295.87M,127.78M,168.08M,,0.70,0.00,,,0.6707,0.70,,0.68,0.00,,,0.6520,0.68,,111.03M,116.31M,0.065,,,
2006-12,607.70M,607.70M,223.13M,384.56M,84.52M,,,-9.306M,,,,210.88M,173.68M,,,-9.306M,,117.00M,44.76M,72.23M,,,,,72.23M,77.98M,300.04M,126.36M,173.68M,,0.64,0.00,,,0.6906,0.64,,0.63,0.00,,,0.6783,0.63,,113.63M,118.87M,0.0625,,,
2006-09,619.84M,619.84M,226.54M,393.30M,94.21M,,,2.818M,,,,224.36M,168.94M,,,2.818M,,123.90M,47.58M,76.32M,,,,,76.32M,74.59M,299.70M,130.76M,168.94M,,0.66,0.00,,,0.6449,0.66,,0.64,0.00,,,0.6256,0.64,,115.22M,120.45M,0.0625,,,
2006-06,609.13M,609.13M,216.47M,392.66M,95.60M,,,121.38M,,,,227.42M,165.25M,,,123.46M,,238.07M,85.70M,152.37M,,,,,152.37M,74.68M,297.07M,131.82M,165.25M,,1.32,0.00,,,0.6470,1.32,,1.26,0.00,,,0.6213,1.26,,115.44M,121.64M,0.0625,,,
2006-03,611.29M,611.29M,222.56M,388.74M,95.94M,,,4.597M,,,,230.81M,157.92M,,,4.597M,,112.44M,43.18M,69.26M,,,,,69.26M,66.43M,292.80M,134.56M,157.92M,,0.57,0.00,,,0.5469,0.57,,0.55,0.00,,,0.5279,0.55,,122.39M,127.96M,0.0625,,,
2005-12,620.47M,620.47M,212.34M,408.13M,99.94M,,,-0.283M,,,,235.71M,172.42M,,,1.32M,,322.75M,45.78M,78.33M,,,,0.197M,78.33M,78.58M,308.20M,135.78M,172.42M,,0.60,0.00,,,0.6019,0.60,,0.58,0.00,,,0.5818,0.58,,130.73M,135.92M,0.06,,,
2005-09,657.08M,657.08M,222.72M,434.36M,99.59M,,,-4.214M,,,,233.12M,201.24M,,,-2.944M,,148.39M,56.98M,91.41M,,,,0.10M,91.41M,94.01M,334.77M,133.53M,201.24M,,0.70,0.00,,,0.7199,0.70,,0.68,0.00,,,0.6991,0.68,,130.15M,135.92M,0.06,,,
2005-06,606.41M,606.41M,194.87M,411.54M,95.21M,,,1.22M,,,,225.66M,185.88M,,,1.944M,,138.18M,53.06M,85.12M,,,,0.10M,85.12M,84.37M,316.33M,130.45M,185.88M,,0.65,0.00,,,0.6442,0.65,,0.64,0.00,,,0.6344,0.64,,130.30M,135.34M,0.06,,,
2005-03,595.28M,595.28M,191.99M,403.29M,94.25M,,,2.848M,,,,226.43M,176.86M,,,2.848M,,127.08M,47.47M,79.62M,,,,0.10M,79.62M,77.83M,309.04M,132.18M,176.86M,,0.60,0.00,,,0.5865,0.60,,0.59,0.00,,,0.5770,0.59,,132.18M,137.17M,0.06,,,
2004-12,606.23M,606.23M,192.64M,413.60M,94.68M,,,-0.268M,,,,223.98M,189.62M,,,0.685M,,137.06M,52.57M,84.49M,,,,0.10M,84.49M,84.65M,318.92M,129.30M,189.62M,,0.63,0.00,,,0.6312,0.63,,0.62,0.00,,,0.6212,0.62,,133.32M,138.37M,0.0575,,,
2004-09,603.88M,603.88M,191.00M,412.88M,108.15M,,,-0.822M,,,,222.01M,190.87M,,,1.107M,,139.80M,53.61M,86.19M,,,,0.10M,86.19M,86.70M,304.73M,113.86M,190.87M,,0.64,0.00,,,0.6438,0.64,,0.63,0.00,,,0.6336,0.63,,134.88M,139.82M,0.0575,,,
2004-06,603.56M,603.56M,190.23M,413.33M,92.67M,,,-1.685M,,,,223.42M,189.91M,,,-1.685M,,135.14M,51.85M,83.28M,,,,0.199M,83.28M,84.32M,320.66M,130.75M,189.91M,,0.60,0.00,,,0.6075,0.60,,0.59,0.00,,,0.5973,0.59,,138.07M,142.97M,0.0575,,,
2004-03,593.70M,593.70M,181.55M,412.16M,101.61M,,,4.363M,,,,228.60M,183.56M,,,4.363M,,135.38M,52.10M,83.28M,,,,0.10M,83.28M,80.60M,310.55M,126.99M,183.56M,,0.58,0.00,,,0.5612,0.58,,0.57,0.00,,,0.5518,0.57,,142.58M,147.43M,0.0575,,,
2003-12,593.18M,593.18M,-119.62M,712.80M,,,,-1.707M,,,,526.34M,186.46M,,,4.453M,,130.07M,47.63M,82.44M,,,,0.10M,82.44M,83.52M,338.45M,118.98M,186.46M,,0.57,0.00,,,0.5775,0.57,,0.53,0.00,,,0.5367,0.53,,144.22M,161.67M,0.055,,,
2003-09,603.75M,603.75M,296.11M,307.64M,,,,0.66M,,,,116.86M,190.78M,,,0.66M,,137.08M,46.10M,90.98M,,,,0.10M,90.98M,90.54M,307.64M,116.86M,190.78M,,0.63,0.00,,,0.6270,0.63,,0.63,0.00,,,0.6270,0.63,,143.90M,145.17M,0.055,,,
