,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2013-06,269.00M,,0.00,,,-42.00M,-42.00M,1.123B,1.123B,141.00M,,0.00,,,-24.00M,-14.00M,,70.00M,,,-92.00M,-36.00M,,1.469B,,-747.00M,,-747.00M,0.00,,,19.00M,-728.00M,,-240.00M,,-240.00M,27.00M,-470.00M,-443.00M,-320.00M,-320.00M,,-1.003B,,476.00M,-262.00M,,214.00M,,27.00M,752.00M,-992.00M,-470.00M,38.00M,382.00M,,AOR,Restated
2013-03,298.00M,,-32.00M,,,-178.00M,-210.00M,1.117B,1.117B,166.00M,,,,,4.00M,-34.00M,,42.00M,,,-23.00M,-15.00M,,1.387B,,-663.00M,,-663.00M,75.00M,,,4.00M,-584.00M,,187.00M,,187.00M,13.00M,-397.00M,-384.00M,-341.00M,-341.00M,,-538.00M,,211.00M,265.00M,,476.00M,,13.00M,988.00M,-801.00M,-397.00M,8.00M,265.00M,,AOR,Restated
2012-12,233.00M,,0.00,,,10.00M,-5.00M,1.22B,1.22B,134.00M,,0.00,,,-91.00M,-18.00M,,-199.00M,,,-48.00M,-265.00M,,1.379B,,-895.00M,,-704.00M,-133.00M,,,10.00M,-827.00M,,-72.00M,,-72.00M,19.00M,-17.00M,2.00M,-454.00M,-454.00M,-12.00M,-536.00M,,194.00M,16.00M,1.00M,211.00M,,19.00M,542.00M,-614.00M,-17.00M,23.00M,408.00M,,AOR,Restated
2012-09,270.00M,,0.00,,,-16.00M,-16.00M,1.144B,1.144B,123.00M,,0.00,,,-12.00M,-72.00M,,231.00M,,,178.00M,337.00M,,1.887B,,-719.00M,,-719.00M,0.00,,,31.00M,-688.00M,,-867.00M,,-867.00M,26.00M,0.00,26.00M,-452.00M,-452.00M,7.00M,-1.286B,,281.00M,-87.00M,0.00,194.00M,,26.00M,2.00M,-869.00M,0.00,28.00M,268.00M,,AOR,Restated
2012-06,74.00M,,0.00,,,-88.00M,114.00M,1.208B,1.208B,22.00M,,,,,-11.00M,-82.00M,,0.00,,,-156.00M,-238.00M,,1.216B,,-627.00M,,-627.00M,133.00M,,,-18.00M,-512.00M,,-1.526B,,-1.526B,30.00M,-9.00M,21.00M,-453.00M,-453.00M,4.00M,-1.954B,,1.53B,-1.25B,1.00M,281.00M,,30.00M,1.329B,-2.855B,-9.00M,30.00M,485.00M,,AOR,Restated
2012-03,200.00M,,0.00,,,-75.00M,-83.00M,1.208B,1.208B,115.00M,,,,,-16.00M,18.00M,,-118.00M,,,203.00M,103.00M,,1.583B,,-678.00M,,-678.00M,0.00,,,15.00M,-663.00M,,906.00M,,906.00M,35.00M,-11.00M,24.00M,-452.00M,-452.00M,3.00M,481.00M,,128.00M,1.401B,1.00M,1.53B,,35.00M,2.032B,-1.126B,-11.00M,1.00M,244.00M,,AOR,Restated
2011-12,109.00M,,,,,,-681.00M,1.252B,1.252B,97.00M,119.00M,,,,-122.00M,-36.00M,,-93.00M,,,24.00M,-105.00M,,728.00M,,-900.00M,0.00,-900.00M,,0.00,,2.00M,-898.00M,,-436.00M,,-436.00M,24.00M,0.00,24.00M,,-451.00M,45.00M,-818.00M,,1.123B,-988.00M,-7.00M,128.00M,,24.00M,943.00M,-1.379B,0.00,-100.00M,465.00M,,AOR,Restated
2011-09,138.00M,,,,,,0.00,1.228B,1.228B,124.00M,-53.00M,,,,25.00M,-74.00M,,23.00M,,,11.00M,-40.00M,,1.455B,,-721.00M,0.00,-721.00M,,-1.671B,,5.00M,-2.387B,,-393.00M,365.00M,-28.00M,21.00M,-1.00M,20.00M,,-448.00M,-20.00M,-476.00M,,2.546B,-1.408B,-15.00M,1.123B,,21.00M,557.00M,-585.00M,-1.00M,1.00M,300.00M,,AOR,Restated
2011-06,115.00M,,,,,,1.00M,1.177B,1.177B,134.00M,-66.00M,,,,39.00M,-17.00M,,-52.00M,,,-24.00M,-93.00M,,1.348B,,-579.00M,0.00,-579.00M,,419.00M,,6.00M,-154.00M,,1.748B,-220.00M,1.528B,39.00M,-15.00M,24.00M,,-435.00M,-35.00M,1.082B,,270.00M,2.276B,0.00,2.546B,,39.00M,2.602B,-1.074B,-15.00M,94.00M,390.00M,,AOR,Restated
2011-03,211.00M,,,,,,,369.00M,369.00M,40.00M,0.00,,,,3.00M,25.00M,,95.00M,,,-93.00M,27.00M,,670.00M,,-211.00M,,-211.00M,,,,3.00M,-208.00M,,-3.00M,-145.00M,-148.00M,19.00M,-15.00M,4.00M,,-222.00M,1.00M,-365.00M,,173.00M,97.00M,0.00,270.00M,,19.00M,0.00,-148.00M,-15.00M,5.00M,70.00M,,AOR,Restated
2010-12,225.00M,,,,,,-271.00M,365.00M,365.00M,113.00M,,,,,6.00M,13.00M,,-51.00M,,,140.00M,102.00M,,564.00M,,-264.00M,,-264.00M,,0.00,,3.00M,-261.00M,,-412.00M,181.00M,-231.00M,76.00M,-3.00M,73.00M,,-221.00M,6.00M,-373.00M,,243.00M,-70.00M,0.00,173.00M,,76.00M,74.00M,-305.00M,-3.00M,26.00M,203.00M,,AOR,Restated
2010-09,232.00M,,,,,,,358.00M,358.00M,36.00M,,,,,7.00M,-73.00M,,-26.00M,,,41.00M,-58.00M,,600.00M,,-238.00M,,-238.00M,,0.00,,0.00,-238.00M,,-3.00M,-113.00M,-116.00M,28.00M,-1.00M,27.00M,,-221.00M,5.00M,-305.00M,,186.00M,57.00M,0.00,243.00M,,28.00M,0.00,-116.00M,-1.00M,150.00M,79.00M,,AOR,Restated
2010-06,491.00M,,,,2.482M,,2.482M,357.84M,357.84M,-1.631M,,,-7.101M,,-238.96M,-72.63M,,-115.28M,,,-38.18M,-226.09M,,419.54M,,-194.82M,,-194.82M,,0.00,,3.306M,-191.51M,,21.63M,-68.00M,-46.37M,17.03M,-2.57M,14.46M,,-218.95M,2.152M,-248.71M,,206.49M,-20.68M,,186.00M,,17.03M,0.00,-46.37M,-2.57M,245.16M,200.27M,,AOR,Restated
2010-03,,,,,-2.482M,,-2.482M,353.16M,353.16M,-15.37M,,,7.101M,,252.96M,14.63M,,134.28M,,,-282.82M,-133.91M,,461.46M,,-167.18M,,-167.18M,,,,-1.306M,-168.49M,,-32.63M,,-32.63M,8.969M,-10.43M,-1.461M,,-218.05M,3.848M,-248.29M,,161.81M,44.68M,,206.49M,,8.969M,,-32.63M,-10.43M,2.839M,65.73M,,AOR,Restated
2009-12,230.62M,,,,2.229M,,2.229M,356.38M,356.38M,115.71M,,,15.54M,,-2.744M,-21.00M,,-125.73M,,,40.95M,-105.78M,,611.95M,,-339.42M,,-337.82M,,0.00,,-3.826M,-341.65M,,-470.45M,,-470.45M,44.15M,-6.789M,37.36M,,-209.74M,3.136M,-639.69M,,531.19M,-369.38M,,161.81M,,44.15M,0.00,-470.45M,-6.789M,-126.71M,-158.96M,,AOR,Restated
2009-09,281.26M,,,,-0.904M,14.54M,13.63M,362.20M,362.20M,12.41M,,,29.76M,0.753M,-141.16M,-33.97M,,-92.40M,,,47.08M,-79.30M,,479.56M,,-286.33M,,-286.33M,,76.91M,,2.815M,-206.60M,,412.47M,,412.47M,5.377M,-3.988M,1.389M,,-209.85M,-4.914M,199.09M,,59.14M,472.04M,,531.19M,,5.377M,644.42M,-231.95M,-3.988M,102.54M,60.06M,,AOR,Restated
2009-06,69.55M,,,,0.323M,8.96M,9.283M,128.55M,128.55M,8.582M,,,5.372M,-0.418M,2.803M,-4.906M,,26.62M,,,6.596M,28.31M,,252.04M,,-85.30M,,-85.30M,,,,0.082M,-85.22M,,-102.69M,,-102.69M,4.347M,-0.76M,3.587M,,-70.73M,0.934M,-168.90M,,61.23M,-2.086M,,59.14M,,4.347M,,-102.69M,-0.76M,23.32M,48.90M,,AOR,Restated
2009-03,67.15M,,,,-0.635M,-23.50M,-24.13M,127.57M,127.57M,17.25M,,,4.487M,-0.335M,5.141M,36.10M,,9.235M,,,-12.30M,33.03M,,230.17M,,-45.50M,,-45.50M,,,,0.128M,-45.37M,,-291.98M,,-291.98M,2.948M,-4.026M,-1.078M,,-70.37M,-3.469M,-366.90M,,243.33M,-182.10M,,61.23M,,2.948M,,-291.98M,-4.026M,0.851M,50.00M,,AOR,Restated
2008-12,100.37M,,,0.00,-3.841M,-47.41M,-51.25M,128.80M,128.80M,43.56M,,,4.511M,-0.336M,0.001M,-16.28M,,-3.212M,,,-20.09M,-39.58M,,186.07M,,-101.81M,,-101.81M,,0.00,0.00,-0.401M,-102.21M,,-30.10M,,-30.10M,3.927M,-0.003M,3.924M,,-70.12M,-3.193M,-99.48M,,258.96M,-15.63M,,243.33M,,3.927M,0.00,-30.10M,-0.003M,-172.12M,-151.91M,,,Restated
2008-09,85.19M,,,-3.811M,4.533M,3.144M,3.866M,128.35M,128.35M,10.53M,,,4.328M,-0.713M,0.999M,17.92M,,-8.613M,,,-1.611M,7.693M,,240.25M,,-70.61M,,-70.61M,,0.00,-4.209M,14.11M,-60.70M,,283.04M,,283.04M,4.625M,-137.57M,-132.95M,,-135.80M,1.229M,15.51M,,63.90M,195.06M,,258.96M,,4.625M,288.12M,-5.079M,-137.57M,172.12M,151.91M,,,Restated
2008-06,92.71M,,,-8.641M,0.166M,12.73M,8.389M,130.95M,130.95M,5.068M,,,4.227M,-0.055M,-0.121M,-14.14M,,-36.54M,,,6.276M,-44.40M,,196.78M,,-208.62M,,-208.62M,,,34.94M,23.85M,-149.83M,,134.83M,-40.00M,94.83M,3.708M,-114.07M,-110.36M,,-7.085M,2.022M,-20.59M,,37.54M,26.36M,,63.90M,,3.708M,100.00M,-5.167M,-114.07M,,,,,Restated
2008-03,88.76M,,,,3.057M,5.474M,4.395M,135.68M,135.68M,8.357M,,,3.324M,-0.019M,5.565M,4.52M,,-2.374M,,,-18.00M,-15.86M,,230.21M,,-54.74M,,-54.74M,,,4.209M,-25.72M,-76.25M,,-110.06M,40.00M,-70.06M,2.339M,-95.62M,-93.28M,,-7.261M,19.78M,-150.82M,,34.40M,3.137M,,37.54M,,2.339M,175.00M,-245.06M,-95.62M,,,,,Restated
2007-12,115.03M,,,,,,-37.19M,137.55M,137.55M,-42.09M,,,,,60.06M,10.93M,,22.47M,,-38.06M,11.84M,7.187M,,240.55M,,-141.74M,0.00,-141.74M,,-0.04M,,7.695M,-136.76M,,,,-3.635M,4.341M,-122.17M,-117.83M,,-7.211M,0.563M,-128.11M,,58.71M,-24.31M,,34.40M,,4.341M,,,-122.17M,,,,,
2007-09,113.20M,,,,,,2.334M,136.61M,136.61M,13.11M,,,,,6.623M,-19.33M,,-37.27M,,22.59M,-6.453M,-40.46M,,231.41M,,-77.44M,8.231M,-69.21M,,0.659M,,-1.12M,-69.68M,,,,-106.21M,2.771M,-36.48M,-33.70M,,-7.361M,0.735M,-146.54M,,43.52M,15.19M,,58.71M,,2.771M,,,-36.48M,,,,,
2007-06,112.26M,,,,,,2.076M,134.31M,134.31M,16.63M,,,,,5.731M,8.504M,,3.691M,,-8.624M,24.73M,28.30M,,299.32M,,-57.98M,,-57.98M,,-307.42M,,3.158M,-362.24M,,,,-538.18M,22.26M,-138.02M,-115.76M,,-7.171M,3.814M,-657.30M,,763.75M,-720.22M,,43.52M,,22.26M,,,-138.02M,,,,,
2007-03,77.87M,,,,,,2.558M,127.78M,127.78M,13.37M,,,,,2.604M,15.81M,,-2.585M,,35.70M,-14.40M,34.52M,,258.71M,,-48.88M,,-48.88M,,,,-1.635M,-50.52M,,,,676.88M,20.03M,-164.01M,-143.98M,,-7.309M,4.288M,529.89M,,25.67M,738.08M,,763.75M,,20.03M,,,-164.01M,,,,,
2006-12,72.23M,,,,,,-5.861M,126.36M,126.36M,16.27M,,,,,26.74M,-12.23M,,21.35M,,-18.88M,-7.765M,-17.53M,,218.21M,,-101.04M,0.00,-101.04M,,,0.00,-1.257M,-102.29M,,,,-20.05M,32.46M,-132.34M,-99.87M,,-7.227M,4.204M,-122.94M,,32.69M,-7.026M,,25.67M,,32.46M,,,-132.34M,,,,,
