,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,330.00M,,,-30.00M,23.00M,127.00M,,127.00M,127.00M,5.00M,,0.00,,11.00M,,0.00,-28.00M,-399.00M,350.00M,,1.00M,-76.00M,420.00M,-76.00M,,,,,9.00M,-67.00M,-324.00M,0.0,-324.00M,,,,0.00,0.00,,-18.00M,-342.00M,2.739B,11.00M,0.00,2.75B,,989.00M,-1.313B,
2020-07,-49.00M,,,,,127.00M,,127.00M,127.00M,6.00M,,117.00M,,8.00M,,-156.00M,-40.00M,17.00M,423.00M,,58.00M,458.00M,628.00M,-69.00M,,,,,13.00M,-56.00M,1.225B,0.0,1.225B,,,,0.00,0.00,,-16.00M,1.209B,957.00M,1.781B,1.00M,2.739B,,1.241B,-16.00M,
2020-04,-297.00M,,,,,139.00M,,139.00M,139.00M,-25.00M,,97.00M,,20.00M,,117.00M,77.00M,-208.00M,-211.00M,,66.00M,-276.00M,-342.00M,-55.00M,,,,,-5.00M,-60.00M,-46.00M,0.0,-46.00M,,,,-83.00M,-83.00M,,-9.00M,-138.00M,1.499B,-540.00M,-2.00M,957.00M,,973.00M,-1.019B,
2020-01,-192.00M,,-1.00M,,-1.00M,145.00M,,145.00M,145.00M,-48.00M,,735.00M,,20.00M,,0.00,-10.00M,745.00M,-87.00M,,19.00M,667.00M,1.326B,-66.00M,,,,,-6.00M,-72.00M,-10.00M,,-10.00M,,,,-83.00M,-83.00M,,-4.00M,-96.00M,340.00M,1.158B,1.00M,1.499B,,143.00M,-153.00M,
2019-10,-252.00M,,-2.00M,0.00,-2.00M,148.00M,,148.00M,148.00M,4.00M,,248.00M,,23.00M,,-7.00M,-14.00M,-702.00M,257.00M,,1.00M,-458.00M,-252.00M,-148.00M,,,,,-23.00M,-171.00M,4.00M,0.0,4.00M,,,,-83.00M,-83.00M,,-8.00M,-87.00M,853.00M,-510.00M,-3.00M,340.00M,,11.00M,-7.00M,
2019-07,38.00M,,0.00,,40.00M,150.00M,,150.00M,150.00M,3.00M,,0.00,,21.00M,,21.00M,-10.00M,27.00M,-18.00M,,-16.00M,-17.00M,235.00M,-121.00M,,,,,-10.00M,-131.00M,-309.00M,0.0,-309.00M,,,,-83.00M,-83.00M,,-5.00M,-397.00M,1.146B,-293.00M,0.00,853.00M,,490.00M,-799.00M,
2019-04,40.00M,,-2.00M,,-2.00M,145.00M,,145.00M,145.00M,12.00M,,0.00,,23.00M,,23.00M,65.00M,-110.00M,-227.00M,,-19.00M,-291.00M,-73.00M,-123.00M,,,,,17.00M,-106.00M,7.00M,0.0,7.00M,,,,-83.00M,-83.00M,,-10.00M,-86.00M,1.413B,-265.00M,-2.00M,1.146B,,21.00M,-14.00M,
2019-01,540.00M,,-1.00M,,98.00M,146.00M,,146.00M,146.00M,-49.00M,,20.00M,-2.00M,22.00M,,-11.00M,-55.00M,691.00M,-124.00M,,88.00M,600.00M,1.364B,-68.00M,,,,,-3.00M,-71.00M,-61.00M,,-61.00M,,0.00,0.00,-166.00M,-166.00M,1.00M,-3.00M,-229.00M,348.00M,1.064B,1.00M,1.413B,,69.00M,-130.00M,0.00
2018-10,-43.00M,,0.00,,0.00,148.00M,,148.00M,148.00M,-3.00M,,81.00M,2.00M,25.00M,,-10.00M,-9.00M,-650.00M,245.00M,,15.00M,-399.00M,-199.00M,-216.00M,,,,,8.00M,-208.00M,92.00M,,92.00M,,-12.00M,-12.00M,-165.00M,-165.00M,-1.00M,-3.00M,-89.00M,843.00M,-496.00M,1.00M,348.00M,,106.00M,-14.00M,-12.00M
2018-07,99.00M,,-7.00M,,-7.00M,148.00M,,148.00M,148.00M,13.00M,,,6.00M,25.00M,,-11.00M,-40.00M,33.00M,7.00M,,18.00M,18.00M,291.00M,-185.00M,,,,,15.00M,-171.00M,-33.00M,,-33.00M,,-105.00M,-105.00M,-167.00M,-167.00M,0.00,-6.00M,-311.00M,1.032B,-191.00M,2.00M,843.00M,,68.00M,-101.00M,-105.00M
