,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.471B,3.471B,2.034B,1.436B,681.00M,,2.80M,-2.60M,15.10M,13.80M,-1.30M,681.00M,755.40M,13.80M,15.10M,-1.30M,11.10M,-1.30M,765.20M,163.10M,602.10M,,,602.10M,603.91M,911.40M,131.10M,780.30M,1.4,,,1.4040000000000001,1.4,1.4,,,1.4040000000000001,1.4,428.60M,430.00M,0.91
2020-06,3.377B,3.377B,2.067B,1.310B,765.60M,,,,15.60M,,-85.70M,765.60M,544.10M,,15.60M,-85.70M,72.90M,-85.70M,531.30M,119.70M,411.60M,,,411.60M,411.60M,671.40M,124.50M,546.90M,0.96,,,0.96,0.96,0.96,,,0.96,0.96,429.00M,430.30M,0.91
2020-03,4.048B,4.048B,2.239B,1.809B,756.60M,,,,20.00M,12.10M,-7.90M,756.60M,1.052B,12.10M,20.00M,-7.90M,32.50M,-7.90M,1.077B,255.80M,820.90M,,,820.90M,819.00M,1.217B,120.60M,1.097B,1.91,,,1.906,1.91,1.9,,,1.896,1.9,430.00M,431.80M,0.91
2019-12,3.670B,3.670B,2.094B,1.575B,754.30M,,,0.00,31.60M,25.70M,-5.90M,754.30M,821.10M,25.70M,31.60M,-5.90M,20.30M,-5.90M,835.50M,183.90M,651.60M,,,651.60M,645.91M,984.70M,117.60M,867.10M,1.51,,,1.4969999999999999,1.51,1.5,,,1.4869999999999999,1.5,431.50M,433.30M,0.91
2019-09,3.496B,3.496B,2.045B,1.451B,726.50M,,0.00,1.90M,39.90M,32.30M,-7.60M,726.50M,724.40M,32.30M,39.90M,-7.60M,22.30M,-7.60M,739.10M,156.70M,582.40M,,,582.40M,579.09M,896.30M,117.30M,779.00M,1.35,,,1.3419999999999999,1.35,1.34,,,1.3319999999999999,1.34,432.70M,435.40M,0.79
2019-06,3.479B,3.479B,2.001B,1.478B,854.80M,,,,33.70M,,-105.30M,854.80M,623.40M,,33.70M,-105.30M,115.20M,-105.30M,633.30M,157.90M,475.40M,,,475.40M,475.40M,776.40M,109.40M,667.00M,1.1,,,1.1,1.1,1.09,,,1.09,1.09,433.50M,436.10M,0.79
2019-03,3.828B,3.828B,2.093B,1.736B,750.40M,,,,21.70M,15.00M,-6.70M,750.40M,985.20M,15.00M,21.70M,-6.70M,6.00M,-6.70M,984.50M,230.80M,753.70M,,,753.70M,753.62M,1.109B,103.10M,1.006B,1.74,,,1.74,1.74,1.73,,,1.73,1.73,434.10M,436.60M,0.79
2018-12,3.492B,3.492B,2.000B,1.492B,745.20M,,,4.10M,38.60M,28.10M,-10.50M,745.20M,747.00M,28.10M,38.60M,-10.50M,4.50M,-10.50M,741.00M,182.80M,558.20M,,,558.20M,555.49M,877.10M,97.50M,779.60M,1.28,,,1.274,1.28,1.27,,,1.264,1.27,435.70M,438.00M,0.79
2018-09,3.310B,3.310B,1.928B,1.383B,713.90M,,,-12.10M,35.90M,28.50M,-7.40M,713.90M,668.80M,28.50M,35.90M,-7.40M,-14.60M,-7.40M,646.80M,141.40M,505.40M,,,505.40M,515.55M,781.70M,99.00M,682.70M,1.16,,,1.183,1.16,1.15,,,1.173,1.15,436.80M,439.90M,0.69
2018-06,3.263B,3.263B,1.889B,1.374B,810.40M,,,,28.60M,,-88.00M,810.40M,563.50M,,28.60M,-88.00M,-220.60M,-88.00M,254.90M,114.00M,140.90M,,,140.90M,140.90M,382.80M,99.30M,283.50M,0.25,,,0.25,0.25,0.25,,,0.25,0.25,437.90M,440.90M,0.69
