,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,19.07B,19.07B,10.82B,8.247B,401.00M,4.921B,5.322B,1.405B,110.00M,13.00M,-13.00M,,165.00M,71.00M,-94.00M,-317.00M,6.52B,1.727B,71.00M,165.00M,-94.00M,-496.00M,-94.00M,1.136B,-540.00M,1.675B,4.00M,,,1.679B,1.736B,2.415B,1.114B,1.301B,1.82,0.0,,,1.886,1.82,1.81,0.0,,,1.875,1.81,920.68M,925.41M,1.5
2017-12,22.54B,22.54B,11.49B,11.05B,,,5.435B,1.378B,,,,,164.00M,,-266.00M,-348.00M,6.083B,4.966B,,164.00M,-266.00M,-232.00M,-266.00M,4.469B,5.522B,-1.053B,-2.00M,,,-1.055B,-1.053B,5.782B,1.149B,4.633B,-1.14,0.0,,,-1.14,-1.14,-1.14,0.0,,,-1.14,-1.14,924.51M,928.91M,1.5
2017-09,19.15B,19.15B,10.17B,8.981B,337.00M,4.137B,4.474B,1.291B,125.00M,7.00M,-7.00M,,168.00M,38.00M,-130.00M,-308.00M,5.582B,3.399B,38.00M,168.00M,-130.00M,-203.00M,-130.00M,3.065B,339.00M,2.726B,0.00,,,2.726B,2.734B,4.409B,1.176B,3.233B,2.93,0.0,,,2.9389999999999996,2.93,2.92,0.0,,,2.929,2.92,929.44M,933.23M,1.5
2017-06,19.29B,19.29B,10.32B,8.968B,390.00M,4.499B,4.889B,1.436B,127.00M,18.00M,-18.00M,,147.00M,34.00M,-113.00M,-365.00M,6.087B,2.881B,34.00M,147.00M,-113.00M,-325.00M,-113.00M,2.443B,111.00M,2.332B,-1.00M,,,2.331B,2.333B,3.707B,1.117B,2.59B,2.49,0.0,,,2.491,2.49,2.48,0.0,,,2.481,2.48,934.92M,939.56M,1.5
2017-03,18.16B,18.16B,10.21B,7.944B,363.00M,4.518B,4.881B,1.484B,130.00M,15.00M,-15.00M,,135.00M,30.00M,-105.00M,-445.00M,6.05B,1.894B,30.00M,135.00M,-105.00M,-365.00M,-105.00M,1.424B,-329.00M,1.753B,-3.00M,,,1.75B,1.775B,2.658B,1.099B,1.559B,1.86,0.0,,,1.8840000000000001,1.86,1.85,0.0,,,1.8730000000000002,1.85,942.44M,947.84M,1.4
2016-12,21.77B,21.77B,10.66B,11.12B,276.00M,4.371B,4.647B,1.406B,132.00M,-3.00M,3.00M,,157.00M,32.00M,-125.00M,-521.00M,5.664B,5.451B,32.00M,157.00M,-125.00M,-340.00M,-125.00M,4.985B,480.00M,4.506B,-5.00M,,,4.501B,4.470B,6.269B,1.127B,5.142B,4.75,-0.01,,,4.712,4.74,4.73,-0.01,,,4.692,4.72,948.61M,952.68M,1.4
2016-09,19.23B,19.23B,10.21B,9.013B,341.00M,4.287B,4.628B,1.397B,136.00M,-32.00M,32.00M,,158.00M,22.00M,-136.00M,-528.00M,5.633B,3.38B,22.00M,158.00M,-136.00M,18.00M,-136.00M,3.263B,409.00M,2.854B,-1.00M,,,2.853B,2.883B,4.548B,1.127B,3.421B,2.99,0.0,,,3.02,2.99,2.98,0.0,,,3.01,2.98,954.00M,957.32M,1.4
2016-06,20.24B,20.24B,10.54B,9.702B,361.00M,4.826B,5.187B,1.465B,136.00M,26.00M,-26.00M,,167.00M,29.00M,-138.00M,-365.00M,6.423B,3.279B,29.00M,167.00M,-138.00M,-92.00M,-138.00M,3.049B,544.00M,2.505B,0.00,,,2.505B,2.594B,4.319B,1.103B,3.216B,2.62,0.0,,,2.713,2.62,2.61,0.0,,,2.702,2.61,957.40M,960.50M,1.4
2016-03,18.68B,18.68B,9.999B,8.686B,348.00M,5.468B,5.816B,1.458B,99.00M,97.00M,-97.00M,,147.00M,24.00M,-123.00M,-217.00M,7.156B,1.53B,24.00M,147.00M,-123.00M,-374.00M,-123.00M,1.034B,-983.00M,2.016B,-3.00M,,,2.013B,2.109B,2.205B,1.024B,1.181B,2.09,0.0,,,2.187,2.09,2.09,0.0,,,2.186,2.09,961.70M,964.40M,1.3
2015-12,22.06B,22.06B,10.65B,11.41B,322.00M,4.708B,5.03B,1.362B,80.00M,47.00M,-47.00M,,128.00M,56.00M,-72.00M,-193.00M,6.279B,5.127B,56.00M,128.00M,-72.00M,-825.00M,-72.00M,5.099B,638.00M,4.46B,2.00M,,,4.462B,4.939B,6.217B,990.00M,5.227B,4.6,0.0,,,5.093999999999999,4.6,4.59,0.0,,,5.082,4.59,969.58M,972.80M,1.3
2015-09,19.28B,19.28B,9.844B,9.436B,315.00M,4.318B,4.633B,1.287B,73.00M,27.00M,-27.00M,,117.00M,16.00M,-101.00M,-188.00M,5.805B,3.631B,16.00M,117.00M,-101.00M,90.00M,-101.00M,3.621B,659.00M,2.962B,-12.00M,,,2.95B,2.932B,4.674B,936.00M,3.738B,3.04,-0.01,,,3.009,3.03,3.02,-0.01,,,2.989,3.01,975.10M,979.00M,1.3
2015-06,20.81B,20.81B,10.42B,10.39B,341.00M,4.693B,5.034B,1.30B,72.00M,74.00M,-74.00M,,115.00M,18.00M,-97.00M,-128.00M,6.278B,4.112B,18.00M,115.00M,-97.00M,209.00M,-97.00M,4.224B,698.00M,3.526B,-77.00M,,,3.449B,3.437B,5.30B,961.00M,4.339B,3.59,-0.08,,,3.4989999999999997,3.51,3.58,-0.08,,,3.489,3.5,982.30M,986.70M,1.3
2015-03,19.59B,19.59B,10.14B,9.452B,313.00M,4.887B,5.20B,1.298B,79.00M,83.00M,-83.00M,,108.00M,19.00M,-89.00M,-173.00M,6.404B,3.048B,19.00M,108.00M,-89.00M,42.00M,-89.00M,3.001B,585.00M,2.415B,-88.00M,,,2.327B,2.411B,4.077B,968.00M,3.109B,2.45,-0.09,,,2.4459999999999997,2.36,2.44,-0.09,,,2.436,2.35,988.10M,992.30M,1.1
2014-12,24.11B,24.11B,11.25B,12.86B,316.00M,5.515B,5.831B,1.32B,93.00M,110.00M,-110.00M,,117.00M,25.00M,-92.00M,-199.00M,7.045B,5.817B,25.00M,117.00M,-92.00M,1.371B,-92.00M,7.095B,1.579B,5.514B,-31.00M,,,5.483B,5.558B,8.258B,1.046B,7.212B,5.57,-0.03,,,5.615,5.54,5.54,-0.03,,,5.585,5.51,990.39M,995.30M,1.1
2014-09,22.40B,22.40B,11.52B,10.87B,306.00M,4.778B,5.084B,1.354B,96.00M,102.00M,-102.00M,,126.00M,21.00M,-105.00M,-145.00M,6.389B,4.485B,21.00M,126.00M,-105.00M,-20.00M,-105.00M,4.361B,906.00M,3.455B,-3.437B,,,18.00M,3.544B,5.626B,1.139B,4.487B,3.48,-3.46,,,3.57,0.02,3.46,-3.46,,,3.55,0.02,991.80M,997.70M,1.1
2014-06,24.05B,24.05B,12.00B,12.04B,347.00M,5.085B,5.432B,1.361B,94.00M,67.00M,-67.00M,,136.00M,22.00M,-114.00M,-191.00M,6.696B,5.348B,22.00M,136.00M,-114.00M,113.00M,-114.00M,5.348B,1.096B,4.251B,-115.00M,,,4.136B,4.319B,6.65B,1.166B,5.484B,4.25,-0.11,,,4.3180000000000005,4.14,4.23,-0.11,,,4.297,4.12,999.60M,1.005B,1.1
2014-03,22.24B,22.24B,11.61B,10.63B,338.00M,5.787B,6.125B,1.402B,92.00M,55.00M,-55.00M,,105.00M,22.00M,-83.00M,-207.00M,7.412B,3.215B,22.00M,105.00M,-83.00M,50.00M,-83.00M,3.183B,653.00M,2.53B,-146.00M,,,2.384B,2.617B,4.429B,1.141B,3.288B,2.44,-0.14,,,2.524,2.3,2.43,-0.14,,,2.513,2.29,1.035B,1.042B,0.95
2013-12,27.39B,27.39B,13.05B,14.34B,323.00M,5.492B,5.815B,1.452B,93.00M,79.00M,-79.00M,,113.00M,18.00M,-95.00M,-201.00M,7.159B,7.178B,18.00M,113.00M,-95.00M,21.00M,-95.00M,7.102B,885.00M,6.216B,-32.00M,,,6.184B,6.263B,8.429B,1.214B,7.215B,5.77,-0.03,,,5.814,5.77,5.73,-0.03,,,5.774,5.73,1.073B,1.080B,0.95
2013-09,23.34B,23.34B,11.91B,11.43B,300.00M,4.83B,5.13B,1.356B,100.00M,30.00M,-30.00M,,97.00M,13.00M,-84.00M,-191.00M,6.395B,5.034B,13.00M,97.00M,-84.00M,20.00M,-84.00M,4.972B,832.00M,4.139B,-98.00M,,,4.041B,4.136B,6.244B,1.175B,5.069B,3.79,-0.09,,,3.787,3.7,3.77,-0.09,,,3.767,3.68,1.091B,1.099B,0.95
2013-06,24.92B,24.92B,12.79B,12.13B,348.00M,6.22B,6.568B,1.548B,88.00M,24.00M,-24.00M,,98.00M,19.00M,-79.00M,-247.00M,7.957B,4.175B,19.00M,98.00M,-79.00M,48.00M,-79.00M,4.144B,918.00M,3.226B,,,,3.226B,3.208B,5.378B,1.136B,4.242B,2.93,,,,2.9139999999999997,2.93,2.91,,,,2.8939999999999997,2.91,1.101B,1.109B,0.95
2013-03,23.41B,23.41B,12.73B,10.68B,323.00M,5.142B,5.465B,1.644B,90.00M,23.00M,-23.00M,,94.00M,23.00M,-71.00M,-183.00M,7.016B,3.662B,23.00M,94.00M,-71.00M,14.00M,-71.00M,3.606B,574.00M,3.032B,,,,3.032B,3.036B,4.853B,1.153B,3.70B,2.72,,,,2.7239999999999998,2.72,2.7,,,,2.7039999999999997,2.7,1.114B,1.124B,0.85
2012-12,27.67B,27.67B,12.44B,15.23B,350.00M,5.374B,5.724B,1.094B,87.00M,21.00M,-21.00M,,109.00M,26.00M,-83.00M,-227.00M,6.678B,8.552B,26.00M,109.00M,-83.00M,0.00,-83.00M,8.469B,2.241B,6.228B,,,,5.833B,6.243B,9.73B,1.152B,8.578B,5.19,,,,5.202999999999999,5.19,5.13,,,,5.143,5.13,1.125B,1.136B,0.85
2012-09,24.75B,24.75B,13.02B,11.73B,330.00M,5.48B,5.81B,1.534B,83.00M,16.00M,-16.00M,,124.00M,22.00M,-102.00M,-303.00M,7.124B,4.608B,22.00M,124.00M,-102.00M,569.00M,-102.00M,5.074B,1.251B,3.824B,,,,3.824B,3.744B,6.389B,1.191B,5.198B,3.36,,,,3.29,3.36,3.33,,,,3.26,3.33,1.137B,1.149B,0.85
2012-06,25.78B,25.78B,13.50B,12.28B,344.00M,5.409B,5.753B,1.587B,81.00M,4.00M,-4.00M,,117.00M,31.00M,-86.00M,-289.00M,7.132B,5.149B,31.00M,117.00M,-86.00M,96.00M,-86.00M,5.161B,1.28B,3.881B,,,,3.881B,3.822B,6.454B,1.176B,5.278B,3.38,,,,3.3280000000000003,3.38,3.34,,,,3.2889999999999997,3.34,1.149B,1.162B,0.85
2012-03,24.67B,24.67B,13.56B,11.12B,316.00M,5.484B,5.80B,1.601B,78.00M,10.00M,-10.00M,,110.00M,31.00M,-79.00M,-255.00M,7.224B,3.894B,31.00M,110.00M,-79.00M,18.00M,-79.00M,3.836B,769.00M,3.066B,,,,3.066B,3.060B,5.103B,1.157B,3.946B,2.65,,,,2.645,2.65,2.61,,,,2.605,2.61,1.159B,1.174B,0.75
2011-12,29.49B,29.49B,14.76B,14.72B,345.00M,5.57B,5.915B,1.555B,72.00M,,-957.00M,,113.00M,31.00M,-82.00M,,6.435B,8.287B,31.00M,113.00M,-82.00M,-930.00M,-82.00M,7.274B,1.784B,5.49B,,,,5.49B,6.236B,8.575B,1.188B,7.387B,4.68,,,,5.316,4.68,4.62,,,,5.247000000000001,4.62,1.172B,1.189B,0.75
2011-09,26.16B,26.16B,13.98B,12.17B,339.00M,5.247B,5.586B,1.546B,71.00M,,280.00M,4.00M,107.00M,39.00M,-68.00M,,7.207B,4.966B,39.00M,107.00M,-68.00M,129.00M,-68.00M,5.027B,1.188B,3.839B,,,,3.839B,3.740B,6.326B,1.192B,5.134B,3.23,0.0,,,3.147,3.23,3.19,0.0,,,3.108,3.19,1.189B,1.205B,0.75
2011-06,26.67B,26.67B,14.28B,12.38B,366.00M,5.585B,5.951B,1.569B,73.00M,,294.00M,7.00M,97.00M,30.00M,-67.00M,,7.60B,4.785B,30.00M,97.00M,-67.00M,167.00M,-67.00M,4.885B,1.221B,3.664B,,,,3.664B,3.539B,6.189B,1.207B,4.982B,3.04,0.0,,,2.9360000000000004,3.04,3.0,0.0,,,2.897,3.0,1.205B,1.221B,0.75
2011-03,24.61B,24.61B,13.75B,10.86B,323.00M,5.442B,5.765B,1.587B,73.00M,,282.00M,,93.00M,36.00M,-57.00M,,7.425B,3.433B,36.00M,93.00M,-57.00M,441.00M,-57.00M,3.817B,954.00M,2.863B,,,,2.863B,2.532B,5.138B,1.228B,3.91B,2.34,0.0,,,2.069,2.34,2.31,0.0,,,2.043,2.31,1.222B,1.24B,0.65
2010-12,29.02B,29.02B,14.79B,14.23B,371.00M,5.474B,5.845B,1.578B,76.00M,,-1.845B,,101.00M,27.00M,-74.00M,,6.337B,7.89B,27.00M,101.00M,-74.00M,-861.00M,-74.00M,6.956B,1.698B,5.258B,,,,5.257B,6.506B,8.292B,1.235B,7.057B,4.24,,,,5.246,4.24,4.18,,,,5.172000000000001,4.18,1.240B,1.258B,0.65
2010-09,24.27B,24.27B,13.27B,11.00B,337.00M,4.769B,5.106B,1.464B,62.00M,,927.00M,-20.00M,95.00M,23.00M,-72.00M,,6.612B,4.389B,23.00M,95.00M,-72.00M,360.00M,-72.00M,4.677B,1.088B,3.589B,,,,3.589B,3.313B,5.975B,1.203B,4.772B,2.86,0.0,,,2.64,2.86,2.82,0.0,,,2.603,2.82,1.255B,1.273B,0.65
2010-06,23.72B,23.72B,12.92B,10.81B,329.00M,4.655B,4.984B,1.475B,56.00M,,213.00M,22.00M,90.00M,23.00M,-67.00M,,6.537B,4.271B,23.00M,90.00M,-67.00M,371.00M,-67.00M,4.575B,1.19B,3.385B,,,,3.386B,3.111B,5.848B,1.183B,4.665B,2.65,0.0,,0.0008,2.435,2.65,2.61,0.0,,0.0008,2.398,2.61,1.279B,1.297B,0.65
2010-03,22.86B,22.86B,12.88B,9.978B,300.00M,5.309B,5.609B,1.509B,60.00M,,865.00M,6.00M,101.00M,,-101.00M,,7.184B,2.794B,,101.00M,-101.00M,784.00M,-101.00M,3.515B,914.00M,2.601B,,,,2.601B,2.021B,4.826B,1.21B,3.616B,2.0,0.0,,,1.554,2.0,1.97,0.0,,,1.531,1.97,1.301B,1.322B,0.55
2009-12,27.23B,27.23B,14.08B,13.14B,338.00M,5.106B,5.444B,1.46B,67.00M,,478.00M,,81.00M,41.00M,-40.00M,,7.118B,6.027B,41.00M,81.00M,-40.00M,394.00M,-40.00M,6.381B,1.568B,4.813B,,,,4.813B,4.516B,7.727B,1.265B,6.462B,3.65,0.0,,,3.425,3.65,3.59,0.0,,,3.3680000000000003,3.59,1.318B,1.341B,0.55
2009-09,23.57B,23.57B,12.94B,10.63B,324.00M,4.641B,4.965B,1.446B,72.00M,,352.00M,,84.00M,8.00M,-76.00M,,6.483B,4.144B,8.00M,84.00M,-76.00M,305.00M,-76.00M,4.373B,1.159B,3.214B,,,,3.214B,2.990B,5.715B,1.258B,4.457B,2.44,0.0,,,2.27,2.44,2.4,0.0,,,2.2319999999999998,2.4,1.320B,1.338B,0.55
2009-06,23.25B,23.25B,12.67B,10.58B,302.00M,4.716B,5.018B,1.434B,73.00M,,215.00M,,101.00M,19.00M,-82.00M,,6.525B,4.056B,19.00M,101.00M,-82.00M,288.00M,-82.00M,4.262B,1.159B,3.103B,,,,3.103B,2.893B,5.605B,1.242B,4.363B,2.34,0.0,,,2.182,2.34,2.32,0.0,,,2.1630000000000003,2.32,1.326B,1.337B,0.55
2009-03,21.71B,21.71B,12.28B,9.431B,288.00M,4.805B,5.093B,1.48B,73.00M,,586.00M,97.00M,136.00M,25.00M,-111.00M,,6.743B,2.688B,25.00M,136.00M,-111.00M,545.00M,-111.00M,3.122B,827.00M,2.295B,,,,2.295B,1.894B,4.487B,1.229B,3.258B,1.71,0.0,,,1.412,1.71,1.7,0.0,,,1.403,1.7,1.344B,1.350B,0.5
2008-12,27.01B,27.01B,14.07B,12.94B,311.00M,5.322B,5.633B,1.528B,76.00M,,543.00M,,191.00M,57.00M,-134.00M,,7.543B,5.393B,57.00M,191.00M,-134.00M,549.00M,-134.00M,5.808B,1.382B,4.426B,,,,4.427B,4.008B,7.32B,1.321B,5.999B,3.27,0.0,,,2.9589999999999996,3.27,3.24,0.0,,,2.931,3.24,1.347B,1.354B,0.5
2008-09,25.30B,25.30B,14.34B,10.96B,312.00M,5.126B,5.438B,1.579B,79.00M,,222.00M,,159.00M,74.00M,-85.00M,,7.096B,3.864B,74.00M,159.00M,-85.00M,117.00M,-85.00M,3.895B,1.071B,2.824B,,,,2.824B,2.739B,5.433B,1.379B,4.054B,2.08,0.0,,,2.0180000000000002,2.08,2.04,0.0,,,1.979,2.04,1.360B,1.384B,0.5
2008-06,26.82B,26.82B,15.22B,11.60B,339.00M,5.814B,6.153B,1.66B,83.00M,,355.00M,54.00M,145.00M,77.00M,-68.00M,,7.95B,3.649B,77.00M,145.00M,-68.00M,233.00M,-68.00M,3.814B,1.049B,2.765B,,,,2.765B,2.596B,5.362B,1.403B,3.959B,2.01,0.0,,,1.8869999999999998,2.01,1.97,0.0,,,1.85,1.97,1.376B,1.402B,0.5
2008-03,24.50B,24.50B,14.34B,10.17B,297.00M,5.253B,5.55B,1.569B,69.00M,,295.00M,1.00M,178.00M,134.00M,-44.00M,,7.189B,2.977B,134.00M,178.00M,-44.00M,265.00M,-44.00M,3.198B,879.00M,2.319B,,,,2.319B,2.127B,4.723B,1.347B,3.376B,1.67,0.0,,,1.5319999999999998,1.67,1.64,0.0,,,1.504,1.64,1.394B,1.411B,0.4
2007-12,28.87B,28.87B,15.90B,12.97B,,,6.016B,1.585B,,,724.00M,,215.00M,,-604.00M,,7.601B,5.368B,,215.00M,-604.00M,724.00M,-604.00M,5.488B,1.537B,3.951B,1.00M,,,3.952B,3.430B,7.04B,1.337B,5.703B,2.77,0.0,,,2.405,2.77,2.73,0.0,,,2.3680000000000003,2.73,1.428B,1.438B,0.4
2007-09,24.12B,24.12B,14.16B,9.956B,,,5.324B,1.524B,,,242.00M,,193.00M,123.00M,-70.00M,,6.848B,3.108B,123.00M,193.00M,-70.00M,242.00M,-70.00M,3.28B,918.00M,2.362B,-1.00M,,,2.361B,2.188B,4.813B,1.34B,3.473B,1.72,0.0,,,1.5930000000000002,1.72,1.68,0.0,,,1.556,1.68,1.371B,1.406B,0.4
2007-06,23.17B,23.17B,13.83B,9.336B,,,5.631B,1.534B,,,371.00M,,130.00M,730.00M,600.00M,,7.165B,2.171B,730.00M,130.00M,600.00M,371.00M,600.00M,3.142B,881.00M,2.261B,-1.00M,,,2.26B,1.994B,4.556B,1.284B,3.272B,1.57,0.0,,,1.3840000000000001,1.57,1.55,0.0,,,1.367,1.55,1.437B,1.461B,0.4
2007-03,21.41B,21.41B,13.16B,8.245B,,,5.089B,1.509B,,,247.00M,,73.00M,759.00M,686.00M,,6.598B,1.647B,759.00M,73.00M,686.00M,247.00M,686.00M,2.579B,735.00M,1.844B,,,,1.844B,1.667B,3.892B,1.24B,2.652B,1.23,0.0,,,1.112,1.23,1.21,0.0,,,1.094,1.21,1.500B,1.523B,0.3
2006-12,28.01B,28.01B,14.56B,13.46B,,,5.62B,1.587B,,,391.00M,,71.00M,,-1.826B,,7.207B,6.25B,,71.00M,-1.826B,391.00M,-1.826B,4.814B,1.35B,3.464B,76.00M,,,3.54B,3.183B,6.185B,1.30B,4.885B,2.28,0.05,,,2.093,2.33,2.25,0.05,,,2.066,2.3,1.507B,1.533B,0.3
2006-09,22.03B,22.03B,13.13B,8.901B,,,5.121B,1.543B,,,416.00M,,70.00M,591.00M,521.00M,,6.664B,2.236B,591.00M,70.00M,521.00M,416.00M,521.00M,3.174B,952.00M,2.222B,0.00,,,2.222B,1.931B,4.472B,1.228B,3.244B,1.47,0.0,,,1.278,1.47,1.45,0.0,,,1.26,1.45,1.513B,1.534B,0.3
2006-06,21.31B,21.31B,12.88B,8.434B,,,4.916B,1.522B,,,384.00M,,72.00M,580.00M,508.00M,,6.438B,1.996B,580.00M,72.00M,508.00M,384.00M,508.00M,2.889B,867.00M,2.022B,0.00,,,2.022B,1.753B,4.208B,1.247B,2.961B,1.31,0.0,,,1.135,1.31,1.3,0.0,,,1.128,1.3,1.538B,1.560B,0.3
2006-03,20.08B,20.08B,12.57B,7.505B,,,4.602B,1.456B,,,475.00M,,66.00M,583.00M,517.00M,,6.058B,1.447B,583.00M,66.00M,517.00M,475.00M,517.00M,2.44B,732.00M,1.708B,,,,1.708B,1.376B,3.714B,1.208B,2.506B,1.09,0.0,,,0.8775,1.09,1.08,0.0,,,0.8705,1.08,1.564B,1.587B,0.2
2005-12,24.43B,24.43B,13.66B,10.76B,,,5.252B,1.459B,,,562.00M,,48.00M,,-48.00M,,6.711B,4.054B,,48.00M,-48.00M,562.00M,-48.00M,4.568B,1.348B,3.22B,3.00M,,,3.187B,2.824B,5.945B,1.329B,4.616B,2.02,0.0,,,1.7690000000000001,2.01,1.99,0.0,,,1.743,1.97,1.579B,1.605B,0.2
