,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-11,43.21B,43.21B,37.46B,5.75B,4.298B,,39.00M,10.00M,-29.00M,22.00M,4.32B,1.43B,10.00M,39.00M,-29.00M,19.00M,-29.00M,1.42B,239.00M,1.181B,,-15.00M,1.166B,1.159B,1.863B,404.00M,1.459B,2.63,,,,2.615,2.63,2.62,,,,2.605,2.62,442.95M,444.39M,0.7
2020-08,53.38B,53.38B,46.40B,6.982B,5.027B,,51.00M,17.00M,-34.00M,26.00M,5.053B,1.929B,17.00M,51.00M,-34.00M,-26.00M,-34.00M,1.869B,465.00M,1.404B,,-15.00M,1.389B,1.391B,2.425B,505.00M,1.92B,3.14,,,,3.1430000000000002,3.14,3.13,,,,3.133,3.13,443.03M,444.34M,0.7
2020-05,37.27B,37.27B,32.25B,5.017B,3.83B,,37.00M,10.00M,-27.00M,8.00M,3.838B,1.179B,10.00M,37.00M,-27.00M,11.00M,-27.00M,1.163B,311.00M,852.00M,,-14.00M,838.00M,834.34M,1.582B,382.00M,1.20B,1.9,,,,1.892,1.9,1.89,,,,1.882,1.89,442.32M,443.86M,0.7
2020-02,39.07B,39.07B,34.06B,5.016B,3.743B,,34.00M,30.00M,-4.00M,7.00M,3.75B,1.266B,30.00M,34.00M,-4.00M,15.00M,-4.00M,1.277B,330.00M,947.00M,,-16.00M,931.00M,925.07M,1.70B,389.00M,1.311B,2.1,,,,2.0869999999999997,2.1,2.1,,,,2.0869999999999997,2.1,442.02M,443.73M,0.65
2019-11,37.04B,37.04B,32.23B,4.807B,3.732B,,38.00M,32.00M,-6.00M,14.00M,3.746B,1.061B,32.00M,38.00M,-6.00M,3.00M,-6.00M,1.058B,202.00M,856.00M,,-12.00M,844.00M,847.24M,1.465B,369.00M,1.096B,1.91,,,,1.9169999999999998,1.91,1.9,,,,1.9069999999999998,1.9,441.82M,443.68M,0.65
2019-08,47.50B,47.50B,41.31B,6.188B,4.684B,,45.00M,45.00M,0.00,41.00M,4.725B,1.463B,45.00M,45.00M,0.00,29.00M,0.00,1.492B,382.00M,1.11B,,-13.00M,1.097B,1.081B,2.01B,473.00M,1.537B,2.49,,,,2.454,2.49,2.47,,,,2.435,2.47,439.72M,444.00M,0.65
2019-05,34.74B,34.74B,30.23B,4.507B,3.371B,,35.00M,27.00M,-8.00M,14.00M,3.385B,1.122B,27.00M,35.00M,-8.00M,9.00M,-8.00M,1.123B,207.00M,916.00M,,-10.00M,906.00M,903.56M,1.494B,336.00M,1.158B,2.06,,,,2.0540000000000003,2.06,2.05,,,,2.044,2.05,439.86M,442.64M,0.65
2019-02,35.40B,35.40B,30.72B,4.676B,3.464B,,34.00M,33.00M,-1.00M,9.00M,3.473B,1.203B,33.00M,34.00M,-1.00M,13.00M,-1.00M,1.215B,314.00M,901.00M,,-12.00M,889.00M,883.06M,1.601B,352.00M,1.249B,2.02,,,,2.0069999999999997,2.02,2.01,,,,1.9969999999999999,2.01,440.28M,442.34M,0.57
2018-11,35.07B,35.07B,30.62B,4.446B,3.475B,,36.00M,21.00M,-15.00M,22.00M,3.497B,949.00M,21.00M,36.00M,-15.00M,1.00M,-15.00M,935.00M,158.00M,777.00M,,-10.00M,767.00M,771.16M,1.302B,331.00M,971.00M,1.75,,,,1.7590000000000001,1.75,1.73,,,,1.739,1.73,439.16M,442.75M,0.57
2018-08,44.41B,44.41B,38.67B,5.74B,4.263B,,48.00M,30.00M,-18.00M,31.00M,4.294B,1.446B,30.00M,48.00M,-18.00M,21.00M,-18.00M,1.449B,396.00M,1.053B,,-10.00M,1.043B,1.034B,1.928B,431.00M,1.497B,2.38,,,,2.358,2.38,2.36,,,,2.339,2.36,438.33M,443.19M,0.57
2018-05,32.36B,32.36B,28.13B,4.23B,3.155B,,37.00M,16.00M,-21.00M,8.00M,3.163B,1.067B,16.00M,37.00M,-21.00M,25.00M,-21.00M,1.071B,309.00M,762.00M,,-12.00M,750.00M,735.76M,1.435B,327.00M,1.108B,1.71,,,,1.6780000000000002,1.71,1.7,,,,1.6680000000000001,1.7,438.74M,441.72M,0.57
