,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,131.00M,,-218.00M,61.00M,,-157.00M,681.00M,-149.00M,910.00M,80.00M,-105.00M,22.00M,-99.00M,205.00M,,,155.00M,178.00M,1.674B,,-1.494B,,-1.494B,,-111.00M,-30.00M,109.00M,-1.526B,,986.00M,1.942B,2.928B,11.00M,-2.385B,-2.374B,,,-785.00M,,-785.00M,-101.00M,-332.00M,,742.00M,-184.00M,558.00M,,11.00M,3.264B,-336.00M,-2.385B,,,,AOR,
2020-06,-1.132B,,-409.00M,2.315B,,1.906B,738.00M,-166.00M,529.00M,0.00,151.00M,-64.00M,-231.00M,-106.00M,,,-122.00M,-372.00M,1.503B,,-1.453B,,-1.453B,,-207.00M,-21.00M,-12.00M,-1.693B,,2.127B,-1.579B,548.00M,70.00M,,70.00M,,,-789.00M,,-789.00M,-164.00M,-335.00M,,1.267B,-525.00M,742.00M,,70.00M,2.451B,-1.903B,,,,,AOR,
2020-03,-239.00M,,526.00M,,,526.00M,759.00M,-65.00M,768.00M,4.00M,245.00M,71.00M,38.00M,-398.00M,,,-76.00M,-120.00M,1.633B,,-1.462B,,-1.462B,,-197.00M,-29.00M,47.00M,-1.641B,,18.00M,1.779B,1.797B,78.00M,,78.00M,,,-788.00M,,-788.00M,-81.00M,1.006B,,269.00M,998.00M,1.267B,,78.00M,2.729B,-932.00M,,,,,AOR,
2019-12,1.01B,,-208.00M,0.00,,-375.00M,742.00M,104.00M,351.00M,-61.00M,-425.00M,16.00M,-256.00M,266.00M,,,259.00M,-140.00M,1.495B,,-1.573B,,-1.573B,,-171.00M,-18.00M,300.00M,-1.462B,,1.555B,-4.509B,-2.954B,713.00M,,713.00M,,,-759.00M,,-759.00M,2.005B,-204.00M,,440.00M,-171.00M,269.00M,,1.504B,567.00M,-3.521B,,,,,AOR,
2019-09,985.00M,,-47.00M,0.00,,-47.00M,763.00M,5.00M,-30.00M,-58.00M,-138.00M,-92.00M,9.00M,141.00M,,,-125.00M,-205.00M,1.396B,,-1.295B,,-1.295B,,-86.00M,-13.00M,67.00M,-1.327B,,-3.717B,2.873B,-844.00M,1.477B,0.00,1.477B,,,-755.00M,,-755.00M,-67.00M,-189.00M,,560.00M,-120.00M,440.00M,,1.477B,4.373B,-5.217B,0.00,,,,AOR,Restated
2019-06,58.00M,,-100.00M,0.00,,-100.00M,738.00M,1.00M,177.00M,424.00M,339.00M,-67.00M,-67.00M,-97.00M,,,-229.00M,-121.00M,1.142B,,-1.11B,,-1.11B,,-186.00M,-18.00M,33.00M,-1.281B,,-963.00M,135.00M,-828.00M,1.66B,,1.66B,,,-736.00M,,-736.00M,-24.00M,72.00M,,627.00M,-67.00M,560.00M,,1.66B,333.00M,-1.161B,,,,,AOR,Restated
2019-03,-677.00M,,-271.00M,,,-271.00M,734.00M,106.00M,835.00M,-124.00M,153.00M,53.00M,89.00M,-613.00M,,,-102.00M,-420.00M,1.171B,,-1.002B,,-1.002B,,-98.00M,12.00M,536.00M,-552.00M,,-1.617B,1.792B,175.00M,247.00M,,247.00M,,,-733.00M,,-733.00M,-72.00M,-383.00M,,391.00M,236.00M,627.00M,,247.00M,2.505B,-2.33B,,,,,AOR,Restated
2018-12,662.00M,,310.00M,,,-500.00M,574.00M,31.00M,256.00M,19.00M,-239.00M,8.00M,30.00M,236.00M,,,-15.00M,20.00M,1.062B,,-1.143B,,-1.143B,,-153.00M,-27.00M,2.334B,1.011B,,-566.00M,-2.601B,-3.167B,1.728B,,1.728B,,,-550.00M,,-550.00M,-80.00M,-2.069B,,387.00M,4.00M,391.00M,,1.728B,2.325B,-5.492B,,,,,AOR,Restated
2018-09,883.00M,,-168.00M,,,-364.00M,600.00M,257.00M,10.00M,46.00M,-29.00M,-68.00M,-66.00M,60.00M,,,95.00M,-8.00M,1.286B,,-1.065B,,-1.065B,,-205.00M,-17.00M,154.00M,-1.133B,,1.686B,-1.26B,426.00M,75.00M,,75.00M,,,-546.00M,,-546.00M,-75.00M,-120.00M,,354.00M,33.00M,387.00M,,75.00M,2.19B,-1.764B,,,,,AOR,Restated
2018-06,478.00M,,-65.00M,,,-65.00M,534.00M,98.00M,129.00M,91.00M,111.00M,-73.00M,-12.00M,-81.00M,,,-17.00M,-72.00M,1.193B,,-943.00M,,-943.00M,,-91.00M,-12.00M,-7.00M,-1.053B,,-137.00M,532.00M,395.00M,81.00M,,81.00M,,,-545.00M,,-545.00M,-51.00M,-120.00M,,334.00M,20.00M,354.00M,,81.00M,2.055B,-1.66B,,,,,AOR,Restated
