,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,2.126B,2.126B,923.00M,1.203B,269.00M,,,1.00M,83.00M,239.00M,0.00,-239.00M,,352.00M,851.00M,0.00,239.00M,-239.00M,-43.00M,-239.00M,569.00M,117.00M,452.00M,,,452.00M,540.18M,1.098B,290.00M,808.00M,0.65,,,0.7770,0.65,0.65,,,,2018-03,694.51M,695.32M,0.41,,2018-03,AOR,Restated
2017-12,1.926B,1.926B,836.00M,1.09B,263.00M,,,3.00M,78.00M,232.00M,0.00,-232.00M,,341.00M,749.00M,0.00,232.00M,-232.00M,24.00M,-232.00M,541.00M,463.00M,78.00M,,,78.00M,90.60M,1.061B,288.00M,773.00M,0.11,,,0.1283,0.11,0.11,,,,2017-12,689.61M,691.09M,0.395,,2017-12,AOR,Restated
2017-09,1.845B,1.845B,783.00M,1.062B,257.00M,,,4.00M,69.00M,230.00M,1.00M,-229.00M,,326.00M,736.00M,1.00M,230.00M,-229.00M,-36.00M,-229.00M,471.00M,116.00M,355.00M,,,355.00M,413.04M,985.00M,284.00M,701.00M,0.52,,,0.6045,0.52,0.51,,,,2017-09,686.56M,688.75M,0.395,,2017-09,AOR,Restated
2017-06,1.725B,1.725B,751.00M,974.00M,246.00M,,,3.00M,70.00M,222.00M,,-222.00M,,316.00M,658.00M,,222.00M,-222.00M,-68.00M,-222.00M,368.00M,76.00M,292.00M,,,292.00M,379.28M,858.00M,268.00M,590.00M,0.43,,,0.5576,0.43,0.43,,,,2017-06,683.84M,686.35M,0.395,,2017-06,AOR,Restated
2017-03,1.951B,1.951B,876.00M,1.075B,242.00M,,,-2.00M,75.00M,217.00M,,-217.00M,,317.00M,758.00M,,217.00M,-217.00M,-9.00M,-217.00M,532.00M,129.00M,403.00M,,,403.00M,437.09M,1.014B,265.00M,749.00M,0.59,,,0.6401,0.59,0.59,,,,2017-03,680.88M,683.08M,0.395,,2017-03,AOR,Restated
2016-12,1.832B,1.832B,924.00M,908.00M,234.00M,,,,72.00M,217.00M,,-214.00M,,306.00M,602.00M,,217.00M,-214.00M,215.00M,-214.00M,603.00M,138.00M,465.00M,,,465.00M,465.00M,1.08B,260.00M,820.00M,0.68,0.00,,0.68,0.68,0.68,0.00,,,2016-12,679.65M,681.88M,0.38,,2016-12,AOR,Restated
2016-09,1.889B,1.889B,795.00M,1.094B,232.00M,,,,76.00M,223.00M,,-223.00M,,308.00M,786.00M,,223.00M,-223.00M,49.00M,-223.00M,612.00M,139.00M,473.00M,,,473.00M,473.00M,1.084B,249.00M,835.00M,0.70,,,0.70,0.70,0.69,,,,2016-09,678.11M,680.35M,0.38,,2016-09,AOR,Restated
2016-06,1.785B,1.785B,755.00M,1.03B,231.00M,,,,74.00M,224.00M,,-224.00M,,305.00M,725.00M,,224.00M,-224.00M,174.00M,-224.00M,675.00M,192.00M,483.00M,,,483.00M,483.00M,1.149B,250.00M,899.00M,0.71,,,0.71,0.71,0.71,,,,2016-06,677.14M,680.73M,0.38,,2016-06,AOR,Restated
2016-03,2.011B,2.011B,880.00M,1.131B,229.00M,,,,79.00M,224.00M,,-224.00M,,308.00M,823.00M,,224.00M,-224.00M,61.00M,-224.00M,660.00M,179.00M,481.00M,,,481.00M,481.00M,1.131B,247.00M,884.00M,0.71,,,0.71,0.71,0.71,,,,2016-03,675.44M,678.82M,0.38,,2016-03,AOR,Restated
2015-12,1.78B,1.78B,880.00M,900.00M,225.00M,,,,58.00M,226.00M,,-222.00M,,283.00M,617.00M,,226.00M,-222.00M,43.00M,-222.00M,438.00M,33.00M,405.00M,-6.00M,,399.00M,405.00M,902.00M,238.00M,664.00M,0.60,-0.01,,0.60,0.59,0.60,-0.01,,,2015-12,673.06M,676.58M,0.3775,,2015-12,AOR,Restated
2015-09,1.878B,1.878B,887.00M,991.00M,226.00M,,,,79.00M,221.00M,,-221.00M,,305.00M,686.00M,,221.00M,-221.00M,75.00M,-221.00M,540.00M,144.00M,396.00M,-3.00M,,393.00M,396.00M,1.006B,245.00M,761.00M,0.59,-0.01,,0.59,0.58,0.59,-0.01,,,2015-09,670.76M,673.70M,0.3775,,2015-09,AOR,Restated
2015-06,1.781B,1.781B,851.00M,930.00M,216.00M,,,,76.00M,215.00M,,-215.00M,,292.00M,638.00M,,215.00M,-215.00M,-102.00M,-215.00M,321.00M,71.00M,250.00M,-1.007B,,-757.00M,250.00M,768.00M,232.00M,536.00M,0.37,-1.50,,0.37,-1.13,0.37,-1.50,,,2015-06,668.42M,671.29M,0.3725,,2015-06,AOR,Restated
2015-03,2.23B,2.23B,1.038B,1.192B,216.00M,,,,86.00M,209.00M,,-209.00M,,302.00M,890.00M,,209.00M,-209.00M,88.00M,-209.00M,769.00M,217.00M,552.00M,95.00M,,647.00M,552.00M,1.205B,227.00M,978.00M,0.83,0.14,,0.83,0.97,0.82,0.14,,,2015-03,666.97M,668.73M,0.3725,,2015-03,AOR,Restated
2014-12,1.946B,1.946B,932.00M,1.014B,235.00M,,,,79.00M,206.00M,,-205.00M,,314.00M,700.00M,,206.00M,-205.00M,71.00M,-205.00M,566.00M,158.00M,408.00M,287.00M,,695.00M,408.00M,1.021B,249.00M,772.00M,0.82,0.22,,0.82,1.04,0.82,0.22,,,2014-12,665.33M,667.39M,0.3725,,2014-12,AOR,Restated
2014-09,1.879B,1.879B,880.00M,999.00M,233.00M,,,,78.00M,213.00M,,-213.00M,,311.00M,688.00M,,213.00M,-213.00M,136.00M,-213.00M,611.00M,201.00M,410.00M,87.00M,,497.00M,410.00M,1.073B,249.00M,824.00M,0.61,0.13,,0.61,0.74,0.61,0.13,,,2014-09,664.43M,666.40M,0.3725,,2014-09,AOR,Restated
2014-06,1.849B,1.849B,864.00M,985.00M,230.00M,,,,77.00M,208.00M,,-208.00M,,307.00M,678.00M,,208.00M,-208.00M,-74.00M,-208.00M,396.00M,166.00M,230.00M,-1.00M,,229.00M,230.00M,834.00M,125.00M,604.00M,0.35,0.00,,0.35,0.35,0.34,0.00,,,2014-06,653.13M,665.79M,0.3725,,2014-06,AOR,Restated
2014-03,1.194B,1.194B,70.00M,1.124B,300.00M,,,-4.00M,101.00M,262.00M,1.00M,-261.00M,,401.00M,723.00M,1.00M,262.00M,-261.00M,-24.00M,-261.00M,438.00M,114.00M,324.00M,-8.00M,,316.00M,340.27M,1.065B,365.00M,700.00M,0.51,-0.01,,0.5358,0.50,0.50,-0.01,,,2014-03,630.75M,663.94M,0.3725,,2014-03,AOR,Restated
2013-12,-1.639B,-1.639B,-1.978B,339.00M,-2.00M,,,-6.00M,37.00M,31.00M,,-33.00M,,35.00M,304.00M,,31.00M,-33.00M,-71.00M,-33.00M,200.00M,31.00M,169.00M,-268.00M,,-98.00M,224.08M,229.00M,-114.00M,231.00M,-0.16,0.00,,-0.0744,-0.16,-0.16,0.00,,,2013-12,632.11M,666.01M,0.3675,,2013-12,AOR,Restated
2013-09,3.074B,3.074B,1.858B,1.216B,284.00M,,,-2.00M,86.00M,244.00M,1.00M,-243.00M,,370.00M,846.00M,1.00M,244.00M,-243.00M,-118.00M,-243.00M,485.00M,81.00M,404.00M,7.00M,,410.00M,498.79M,1.069B,340.00M,729.00M,0.64,0.01,,0.7918,0.65,0.61,0.01,,,2013-09,631.05M,664.34M,0.3675,,2013-09,AOR,Restated
2013-06,3.45B,3.45B,2.32B,1.13B,286.00M,,,-2.00M,86.00M,258.00M,,-258.00M,,372.00M,758.00M,,258.00M,-258.00M,13.00M,-258.00M,513.00M,109.00M,404.00M,1.00M,,405.00M,398.49M,1.106B,335.00M,771.00M,0.68,0.00,,0.6707,0.68,0.63,0.00,,,2013-06,589.83M,664.62M,0.3675,,2013-06,AOR,Restated
2013-03,2.457B,2.457B,1.384B,1.073B,284.00M,,,-1.00M,96.00M,251.00M,1.00M,-250.00M,,380.00M,693.00M,1.00M,251.00M,-250.00M,121.00M,-250.00M,564.00M,151.00M,413.00M,,,413.00M,322.93M,1.163B,348.00M,815.00M,0.70,,,0.5454,0.70,0.65,,,,2013-03,582.64M,657.02M,0.3675,,2013-03,AOR,Restated
2012-12,3.068B,3.068B,1.971B,1.097B,274.00M,,26.00M,-26.00M,84.00M,237.00M,1.00M,-236.00M,,358.00M,739.00M,1.00M,237.00M,-236.00M,-35.00M,-236.00M,468.00M,154.00M,314.00M,46.00M,,359.00M,335.14M,1.034B,329.00M,705.00M,0.61,0.07,,0.6481,0.61,0.60,0.07,,,2012-12,581.56M,583.71M,0.36,,2012-12,AOR,Restated
2012-09,2.403B,2.403B,1.371B,1.032B,278.00M,,,1.00M,90.00M,248.00M,1.00M,-247.00M,,368.00M,664.00M,1.00M,248.00M,-247.00M,-45.00M,-247.00M,372.00M,17.00M,355.00M,,,355.00M,394.13M,954.00M,334.00M,620.00M,0.61,0.00,,0.6774,0.61,0.61,0.00,,,2012-09,580.58M,582.64M,0.36,,2012-09,AOR,Restated
2012-06,2.549B,2.549B,1.619B,930.00M,271.00M,,1.00M,0.00,87.00M,236.00M,2.00M,-234.00M,,358.00M,572.00M,2.00M,236.00M,-234.00M,27.00M,-234.00M,365.00M,88.00M,277.00M,-6.00M,,271.00M,254.99M,905.00M,304.00M,601.00M,0.47,-0.01,,0.4320,0.46,0.47,-0.01,,,2012-06,579.88M,580.59M,0.36,,2012-06,AOR,Restated
2012-03,4.112B,4.112B,2.706B,1.406B,264.00M,,,-2.00M,91.00M,230.00M,1.00M,-229.00M,,355.00M,1.051B,1.00M,230.00M,-229.00M,-18.00M,-229.00M,804.00M,259.00M,545.00M,,,541.00M,549.13M,1.353B,319.00M,1.034B,0.93,,,0.9440,0.93,0.93,,,,2012-03,579.04M,579.53M,0.36,,2012-03,AOR,Restated
2011-12,4.218B,4.218B,5.342B,-1.124B,263.00M,,,356.00M,109.00M,220.00M,,-213.00M,,-1.669B,545.00M,,220.00M,-213.00M,388.00M,-213.00M,720.00M,262.00M,458.00M,0.00,,454.00M,227.54M,1.278B,338.00M,940.00M,0.79,0.00,,0.3983,0.79,0.79,0.00,,,2011-12,578.18M,579.37M,0.35,,2011-12,AOR,Restated
2011-09,3.12B,3.12B,1.141B,1.979B,252.00M,,,-103.00M,90.00M,240.00M,,-240.00M,,1.077B,902.00M,,240.00M,-240.00M,-103.00M,-240.00M,559.00M,110.00M,449.00M,,,444.00M,526.73M,1.104B,305.00M,799.00M,0.76,0.00,,0.9032,0.76,0.76,0.00,,,2011-09,577.60M,578.05M,0.35,,2011-09,AOR,Restated
2011-06,2.489B,2.489B,739.00M,1.75B,237.00M,,,-154.00M,75.00M,264.00M,,-264.00M,,1.035B,715.00M,,264.00M,-264.00M,-154.00M,-264.00M,297.00M,96.00M,201.00M,-1.00M,,196.00M,301.22M,878.00M,317.00M,561.00M,0.35,0.00,,0.5356,0.35,0.35,0.00,,,2011-06,561.65M,562.02M,0.35,,2011-06,AOR,Restated
2011-03,2.91B,2.91B,1.128B,1.782B,208.00M,,,-119.00M,73.00M,174.00M,,-174.00M,,864.00M,918.00M,,174.00M,-174.00M,-119.00M,-174.00M,625.00M,223.00M,402.00M,3.00M,,401.00M,474.54M,1.054B,255.00M,799.00M,0.82,0.00,,0.9781,0.82,0.82,0.00,,,2011-03,484.14M,484.34M,0.35,,2011-03,AOR,Restated
2010-12,1.863B,1.863B,2.501B,-638.00M,180.00M,,,276.00M,57.00M,180.00M,,-172.00M,,-992.00M,354.00M,,180.00M,-172.00M,267.00M,-172.00M,449.00M,111.00M,338.00M,21.00M,,355.00M,126.23M,866.00M,237.00M,629.00M,0.72,0.05,,0.2900,0.77,0.71,0.05,,,2010-12,483.18M,483.42M,0.35,,2010-12,AOR,Restated
2010-09,2.179B,2.179B,1.008B,1.171B,127.00M,,,-126.00M,56.00M,171.00M,,-171.00M,,549.00M,622.00M,,171.00M,-171.00M,-126.00M,-171.00M,325.00M,19.00M,306.00M,-53.00M,,248.00M,419.63M,694.00M,198.00M,496.00M,0.62,-0.11,,0.8658,0.51,0.62,-0.11,,,2010-09,482.55M,482.76M,0.35,,2010-09,AOR,
2010-06,1.473B,1.473B,550.00M,923.00M,125.00M,,,-103.00M,53.00M,131.00M,,-131.00M,,597.00M,326.00M,,131.00M,-131.00M,-103.00M,-131.00M,92.00M,7.00M,85.00M,7.00M,,85.00M,173.16M,407.00M,184.00M,223.00M,0.20,0.02,,0.4492,0.22,0.20,0.02,,,2010-06,381.90M,382.08M,0.35,,2010-06,AOR,Restated
2010-03,3.006B,3.006B,1.802B,1.204B,124.00M,,,-80.00M,72.00M,111.00M,,-111.00M,,640.00M,564.00M,,111.00M,-111.00M,-80.00M,-111.00M,373.00M,126.00M,247.00M,8.00M,,250.00M,294.98M,645.00M,161.00M,484.00M,0.64,0.02,,0.7803,0.66,0.64,0.02,,,2010-03,377.72M,377.99M,0.35,,2010-03,AOR,Restated
2009-12,1.71B,1.71B,415.00M,1.295B,123.00M,77.00M,,-386.00M,72.00M,99.00M,,-99.00M,,651.00M,644.00M,,99.00M,-99.00M,-386.00M,-99.00M,159.00M,30.00M,129.00M,28.00M,,153.00M,438.17M,487.00M,229.00M,258.00M,0.34,0.07,,1.171,0.41,0.34,0.07,,,2009-12,376.94M,377.28M,0.345,,2009-12,AOR,Restated
2009-09,1.782B,1.782B,1.195B,587.00M,116.00M,73.00M,,9.00M,69.00M,104.00M,,-104.00M,158.00M,416.00M,171.00M,,104.00M,-104.00M,9.00M,-104.00M,76.00M,25.00M,51.00M,-25.00M,,20.00M,38.96M,404.00M,224.00M,180.00M,0.12,-0.07,,0.1040,0.05,0.12,-0.07,,,2009-09,376.38M,376.72M,0.345,,2009-09,AOR,Restated
2009-06,1.671B,1.671B,1.032B,639.00M,114.00M,,,-13.00M,67.00M,99.00M,1.00M,-98.00M,354.00M,535.00M,104.00M,1.00M,99.00M,-98.00M,-8.00M,-98.00M,-2.00M,-31.00M,29.00M,-32.00M,,-7.00M,33.45M,394.00M,297.00M,97.00M,0.07,-0.09,,0.0925,-0.02,0.07,-0.09,,,2009-06,375.88M,376.21M,0.345,,2009-06,AOR,Restated
2009-03,2.344B,2.344B,1.379B,965.00M,109.00M,,,10.00M,72.00M,89.00M,7.00M,-82.00M,372.00M,553.00M,412.00M,7.00M,89.00M,-82.00M,11.00M,-82.00M,341.00M,98.00M,243.00M,3.00M,,241.00M,230.16M,540.00M,110.00M,430.00M,0.63,0.01,,0.6091,0.64,0.63,0.01,,,2009-03,375.11M,375.41M,0.345,,2009-03,,Restated
2008-12,2.506B,2.506B,1.658B,848.00M,113.00M,,,-29.00M,64.00M,120.00M,,-120.00M,120.00M,297.00M,551.00M,,120.00M,-120.00M,-29.00M,-120.00M,434.00M,153.00M,281.00M,1.00M,,277.00M,294.78M,668.00M,114.00M,554.00M,0.74,0.00,,0.7902,0.74,0.74,0.00,,,2008-12,374.32M,374.65M,0.335,,2008-12,,Restated
2008-09,2.971B,2.971B,2.259B,712.00M,117.00M,,,14.00M,77.00M,119.00M,,-119.00M,134.00M,328.00M,384.00M,,119.00M,-119.00M,14.00M,-119.00M,267.00M,57.00M,210.00M,-2.00M,,203.00M,193.99M,503.00M,117.00M,386.00M,0.54,0.00,,0.5106,0.54,0.54,0.00,,,2008-09,374.29M,375.10M,0.335,,2008-09,,Restated
2008-06,1.014B,1.014B,320.00M,694.00M,117.00M,,,20.00M,72.00M,108.00M,,-108.00M,120.00M,309.00M,385.00M,,108.00M,-108.00M,20.00M,-108.00M,283.00M,94.00M,189.00M,6.00M,,190.00M,170.64M,509.00M,118.00M,391.00M,0.49,0.01,,0.4542,0.50,0.49,0.01,,,2008-06,373.16M,374.90M,0.335,,2008-06,,Restated
2008-03,1.526B,1.526B,482.00M,1.044B,112.00M,,,8.00M,75.00M,108.00M,,-108.00M,377.00M,564.00M,480.00M,,108.00M,-108.00M,8.00M,-108.00M,380.00M,129.00M,251.00M,14.00M,,260.00M,240.72M,600.00M,112.00M,488.00M,0.65,0.04,,0.6358,0.69,0.65,0.04,,,2008-03,372.78M,375.00M,0.335,,2008-03,,
2007-12,1.605B,1.605B,384.00M,1.221B,,,,72.00M,75.00M,,,,329.00M,826.00M,395.00M,,,,72.00M,,301.00M,82.00M,219.00M,203.00M,,422.00M,166.61M,941.00M,546.00M,395.00M,0.58,0.54,,0.4387,1.12,0.57,0.53,,,2007-12,370.66M,374.94M,0.305,,2007-12,,
2007-09,1.774B,1.774B,492.00M,1.282B,,,,2.00M,73.00M,,,,580.00M,761.00M,521.00M,,,,2.00M,,426.00M,88.00M,338.00M,-11.00M,,327.00M,336.41M,629.00M,-100.00M,521.00M,0.88,-0.03,,0.8758,0.85,0.87,-0.03,,,2007-09,379.90M,384.58M,0.305,,2007-09,,
2007-06,1.573B,1.573B,395.00M,1.178B,,,,17.00M,72.00M,,,,548.00M,800.00M,378.00M,,,,17.00M,,275.00M,31.00M,244.00M,101.00M,,345.00M,228.92M,591.00M,213.00M,378.00M,0.89,0.00,,0.8509,0.89,0.88,0.00,,,2007-06,385.30M,390.11M,0.305,,2007-06,,
2007-03,1.546B,1.546B,355.00M,1.191B,,,,15.00M,78.00M,,,,527.00M,802.00M,389.00M,,,,15.00M,,290.00M,69.00M,221.00M,-18.00M,,203.00M,209.57M,621.00M,232.00M,389.00M,0.58,-0.05,,0.5502,0.53,0.57,-0.05,,,2007-03,383.02M,390.38M,0.305,,2007-03,,
2006-12,1.527B,1.527B,-563.00M,2.09B,,,,29.00M,68.00M,,,,1.51B,1.761B,329.00M,,,,29.00M,,236.00M,54.00M,182.00M,-42.00M,,140.00M,159.64M,859.00M,530.00M,329.00M,0.43,0.03,,0.3539,0.46,0.43,0.03,,,2006-12,293.93M,293.93M,0.275,,2006-12,,
2006-09,1.589B,1.589B,520.00M,1.069B,,,,10.00M,74.00M,,,,455.00M,709.00M,360.00M,,,,10.00M,,259.00M,44.00M,215.00M,11.00M,,226.00M,206.70M,540.00M,-145.00M,360.00M,0.56,0.03,,0.5383,0.59,0.55,0.03,,,2006-09,383.05M,389.66M,0.275,,2006-09,,
2006-06,1.504B,1.504B,443.00M,1.061B,,,,24.00M,70.00M,,,,466.00M,703.00M,358.00M,,,,24.00M,,270.00M,80.00M,190.00M,-9.00M,,181.00M,173.11M,543.00M,185.00M,358.00M,0.48,0.00,,0.4352,0.48,0.47,0.00,,,2006-06,377.08M,385.11M,0.275,,2006-06,,
2006-03,1.65B,1.65B,464.00M,1.186B,,,,10.00M,70.00M,,,,477.00M,721.00M,465.00M,,,,10.00M,,366.00M,95.00M,271.00M,9.00M,,280.00M,263.60M,650.00M,185.00M,465.00M,0.71,0.03,,0.6904,0.74,0.70,0.03,,,2006-03,378.38M,383.56M,0.275,,2006-03,,
2005-12,854.00M,854.00M,-592.00M,1.446B,,,,1.00M,64.00M,,,,1.019B,1.226B,220.00M,,,,1.00M,,139.00M,-10.00M,149.00M,44.00M,,185.00M,148.40M,400.00M,180.00M,220.00M,0.39,-0.02,,0.3888,0.37,0.39,-0.02,,,2005-12,481.47M,492.28M,0.25,,2005-12,,
2005-09,1.62B,1.62B,484.00M,1.136B,,,,5.00M,73.00M,,,,501.00M,753.00M,383.00M,,,,5.00M,,259.00M,64.00M,195.00M,-2.00M,,193.00M,191.24M,577.00M,194.00M,383.00M,0.51,0.01,,0.4999,0.52,0.50,0.01,,,2005-09,371.15M,378.43M,0.25,,2005-09,,
2005-06,1.467B,1.467B,398.00M,1.069B,,,,-53.00M,69.00M,,,,504.00M,677.00M,392.00M,,,,-53.00M,,218.00M,40.00M,178.00M,50.00M,,228.00M,221.28M,565.00M,173.00M,392.00M,0.47,-0.13,,0.5846,0.34,0.46,-0.13,,,2005-06,377.53M,381.82M,0.23,,2005-06,,
2005-03,1.60B,1.60B,510.00M,1.09B,,,,7.00M,73.00M,,,,579.00M,755.00M,335.00M,,,,7.00M,,204.00M,34.00M,170.00M,2.00M,,172.00M,164.17M,509.00M,174.00M,335.00M,0.45,0.00,,0.4347,0.45,0.45,-0.01,,,2005-03,382.22M,390.91M,0.23,,2005-03,,
2004-12,1.423B,1.423B,369.00M,1.054B,,,,-56.00M,65.00M,,,,471.00M,705.00M,349.00M,,,,-56.00M,,197.00M,22.00M,175.00M,-24.00M,,151.00M,224.75M,556.00M,207.00M,349.00M,0.47,0.00,,0.6247,0.47,0.47,-0.01,,,2004-12,321.61M,337.36M,0.205,,2004-12,,
2004-09,1.454B,1.454B,409.00M,1.045B,,,,18.00M,67.00M,,,,428.00M,662.00M,383.00M,,,,18.00M,,270.00M,74.00M,196.00M,,,196.00M,182.93M,550.00M,,383.00M,0.52,0.00,,0.4853,0.52,0.52,0.00,,,2004-09,376.92M,376.92M,0.205,,2004-09,,
2004-06,1.361B,1.361B,389.00M,972.00M,,,,18.00M,63.00M,,,,450.00M,670.00M,302.00M,,,,18.00M,,185.00M,30.00M,155.00M,-7.00M,,148.00M,139.92M,459.00M,,302.00M,0.425,-0.02,,0.3837,0.405,0.425,-0.02,,,2004-06,365.43M,365.43M,0.205,,2004-06,,
2004-03,1.519B,1.519B,473.00M,1.046B,,,,11.00M,57.00M,,,,454.00M,681.00M,365.00M,,,,11.00M,,250.00M,72.00M,178.00M,-1.00M,,177.00M,170.17M,535.00M,,365.00M,0.50,0.00,,0.4779,0.50,0.495,0.00,,,2004-03,354.00M,357.58M,0.205,,2004-03,,
2003-12,1.288B,1.288B,301.00M,987.00M,,,,9.00M,67.00M,,,,405.00M,629.00M,358.00M,,,,9.00M,,276.00M,-22.00M,298.00M,-33.00M,-28.00M,237.00M,292.60M,515.00M,,358.00M,0.765,-0.08,0.00,0.7494,0.685,0.725,-0.08,-0.0835,,2003-12,346.76M,371.85M,0.1925,,2003-12,,
