,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,701.00M,0.00,10.00M,25.00M,,19.00M,93.00M,93.00M,24.00M,,45.00M,,-680.00M,-198.00M,250.00M,69.00M,-74.00M,47.00M,265.00M,-73.00M,18.00M,-31.00M,-24.00M,-9.00M,289.00M,3.00M,163.00M,-41.00M,-2.677B,-2.718B,,-318.00M,-318.00M,,,,-112.00M,-23.00M,-135.00M,,-36.00M,-904.00M,2.514B,-476.00M,2.038B,,645.00M,-686.00M,-318.00M,,
2017-12,495.00M,0.00,18.00M,1.00M,,-51.00M,86.00M,86.00M,-155.00M,,23.00M,,284.00M,-426.00M,-143.00M,66.00M,-12.00M,-515.00M,252.00M,-70.00M,15.00M,-55.00M,0.00,-27.00M,-214.00M,6.00M,-486.00M,871.00M,-1.676B,-805.00M,,-273.00M,-273.00M,,,,-91.00M,-37.00M,-128.00M,,-17.00M,543.00M,2.205B,309.00M,2.514B,,1.046B,-175.00M,-273.00M,,
2017-09,1.013B,-1.037B,0.00,-3.00M,,-1.065B,85.00M,85.00M,-92.00M,,26.00M,,104.00M,533.00M,165.00M,-258.00M,-3.00M,437.00M,586.00M,-7.00M,7.00M,0.00,0.00,1.273B,-683.00M,2.00M,64.00M,584.00M,299.00M,883.00M,,-990.00M,-990.00M,,,,-104.00M,0.00,-104.00M,,-10.00M,-648.00M,2.203B,2.00M,2.205B,,747.00M,-163.00M,-990.00M,,
2017-06,367.00M,0.00,0.00,-2.00M,,-25.00M,81.00M,81.00M,6.00M,,24.00M,,-34.00M,-103.00M,-153.00M,38.00M,-150.00M,-368.00M,112.00M,-176.00M,12.00M,-84.00M,-80.00M,4.00M,-356.00M,0.00,-463.00M,-220.00M,3.374B,3.154B,,-342.00M,-342.00M,,,,-129.00M,0.00,-129.00M,,-20.00M,349.00M,2.205B,-2.00M,2.203B,,697.00M,-917.00M,-342.00M,,
2017-03,305.00M,,21.00M,-1.00M,,-14.00M,89.00M,89.00M,-11.00M,,45.00M,,167.00M,-142.00M,109.00M,176.00M,-277.00M,-134.00M,530.00M,-87.00M,6.00M,-52.00M,-29.00M,69.00M,930.00M,6.00M,1.313B,-714.00M,-1.52B,-2.234B,,0.00,0.00,,,,-106.00M,-38.00M,-144.00M,,-10.00M,-2.03B,2.392B,-187.00M,2.205B,,0.00,-714.00M,0.00,,
2016-12,377.00M,0.00,-1.00M,5.00M,-33.00M,-51.00M,112.00M,112.00M,-168.00M,-132.00M,25.00M,,249.00M,181.00M,146.00M,72.00M,19.00M,418.00M,891.00M,-28.00M,10.00M,-18.00M,0.00,15.00M,-1.602B,,-657.00M,-2.342B,41.00M,-2.301B,,-155.00M,-155.00M,,,,-99.00M,0.00,-99.00M,,-7.00M,-6.00M,2.164B,228.00M,2.392B,,0.00,-2.342B,-155.00M,,
2016-09,516.00M,0.00,20.00M,-4.00M,-164.00M,-173.00M,113.00M,113.00M,23.00M,-6.00M,23.00M,,-89.00M,11.00M,-3.00M,22.00M,-28.00M,2.00M,498.00M,-102.00M,44.00M,-58.00M,0.00,20.00M,-486.00M,,57.00M,671.00M,-485.00M,186.00M,,-241.00M,-241.00M,,,,-101.00M,-14.00M,-115.00M,,2.00M,-750.00M,2.359B,-195.00M,2.164B,,996.00M,-325.00M,-241.00M,,
2016-06,324.00M,-11.00M,4.00M,-7.00M,,-53.00M,118.00M,118.00M,-5.00M,46.00M,37.00M,,-232.00M,72.00M,-150.00M,44.00M,6.00M,-28.00M,307.00M,-91.00M,13.00M,-78.00M,0.00,-156.00M,-569.00M,,-1.08B,881.00M,456.00M,1.337B,,-25.00M,-25.00M,,,,-100.00M,-23.00M,-123.00M,,-27.00M,834.00M,2.298B,61.00M,2.359B,,1.245B,-364.00M,-25.00M,,
2016-03,326.00M,-8.00M,-1.00M,-1.00M,,-25.00M,110.00M,110.00M,9.00M,85.00M,26.00M,,-47.00M,-421.00M,345.00M,-114.00M,-20.00M,-210.00M,395.00M,-91.00M,15.00M,-76.00M,0.00,-34.00M,38.00M,,-1.184B,-594.00M,2.016B,1.422B,,-240.00M,-240.00M,,,,-102.00M,-15.00M,-117.00M,,1.00M,547.00M,2.54B,-242.00M,2.298B,,1.494B,-2.088B,-240.00M,,
2015-12,656.00M,-331.00M,-4.00M,0.00,,-373.00M,108.00M,108.00M,-58.00M,-42.00M,22.00M,,89.00M,408.00M,8.00M,-1.00M,-13.00M,402.00M,901.00M,-90.00M,12.00M,-78.00M,,423.00M,-1.012B,,239.00M,353.00M,-3.397B,-3.044B,,-215.00M,-215.00M,,,,-103.00M,-23.00M,-126.00M,,-1.00M,-1.055B,2.455B,85.00M,2.54B,,749.00M,-396.00M,-215.00M,,
2015-09,380.00M,,3.00M,4.00M,,-17.00M,112.00M,112.00M,-23.00M,77.00M,28.00M,,-23.00M,29.00M,-114.00M,-40.00M,-11.00M,-136.00M,567.00M,-69.00M,8.00M,-61.00M,,11.00M,18.00M,,-1.051B,1.933B,768.00M,2.701B,,-300.00M,-300.00M,,,,-106.00M,-14.00M,-120.00M,,-3.00M,154.00M,2.785B,-330.00M,2.455B,,2.342B,-409.00M,-300.00M,,
2015-06,309.00M,0.00,102.00M,-5.00M,,81.00M,114.00M,114.00M,13.00M,-87.00M,29.00M,,74.00M,16.00M,-213.00M,5.00M,22.00M,-170.00M,447.00M,-30.00M,6.00M,-24.00M,,11.00M,-242.00M,,-2.088B,-444.00M,2.723B,2.279B,,-155.00M,-155.00M,,,,-106.00M,-23.00M,-129.00M,,-23.00M,1.506B,2.92B,-135.00M,2.785B,,0.00,-444.00M,-155.00M,,
2015-03,361.00M,0.00,33.00M,-4.00M,,-22.00M,107.00M,107.00M,-3.00M,48.00M,21.00M,,-180.00M,-126.00M,413.00M,-155.00M,-32.00M,100.00M,503.00M,-60.00M,11.00M,-49.00M,,13.00M,-444.00M,,-1.031B,-956.00M,-143.00M,-1.099B,,-180.00M,-180.00M,,,,-107.00M,-15.00M,-122.00M,,-1.00M,357.00M,3.091B,-171.00M,2.92B,,0.00,-956.00M,-180.00M,,
2014-12,385.00M,0.00,3.00M,-3.00M,,-35.00M,107.00M,107.00M,94.00M,58.00M,20.00M,,134.00M,150.00M,-624.00M,86.00M,29.00M,-359.00M,521.00M,-74.00M,10.00M,-64.00M,,43.00M,-3.594B,,-4.018B,533.00M,-1.174B,-641.00M,,-180.00M,-180.00M,0.00,,0.00,-109.00M,-23.00M,-132.00M,,0.00,3.463B,3.125B,-34.00M,3.091B,0.00,971.00M,-438.00M,-180.00M,,
2014-09,341.00M,0.00,-2.00M,-4.00M,,-13.00M,107.00M,107.00M,-23.00M,-21.00M,20.00M,,64.00M,-50.00M,53.00M,56.00M,-29.00M,30.00M,590.00M,-131.00M,11.00M,-120.00M,,15.00M,-1.338B,,-1.736B,386.00M,-416.00M,-30.00M,,-225.00M,-225.00M,0.00,,0.00,-110.00M,-12.00M,-122.00M,,2.00M,959.00M,3.312B,-187.00M,3.125B,0.00,841.00M,-455.00M,-225.00M,,
2014-06,438.00M,-125.00M,18.00M,-7.00M,,-136.00M,102.00M,102.00M,-29.00M,32.00M,26.00M,,150.00M,86.00M,-82.00M,-35.00M,-12.00M,-43.00M,625.00M,-15.00M,1.00M,-14.00M,,192.00M,-1.789B,,-2.552B,2.693B,429.00M,3.122B,,-150.00M,-150.00M,297.00M,,297.00M,-101.00M,-23.00M,-124.00M,,-22.00M,2.086B,3.153B,159.00M,3.312B,297.00M,3.013B,-320.00M,-150.00M,,
2014-03,319.00M,,0.00,-7.00M,,-33.00M,98.00M,98.00M,37.00M,-4.00M,17.00M,,255.00M,-185.00M,432.00M,-662.00M,-4.00M,-419.00M,340.00M,-62.00M,2.00M,-60.00M,,29.00M,751.00M,,-632.00M,1.559B,1.337B,2.896B,,-99.00M,-99.00M,,,,-103.00M,-9.00M,-112.00M,,-2.00M,267.00M,3.178B,-25.00M,3.153B,,1.745B,-186.00M,-99.00M,,
2013-12,402.00M,0.00,4.00M,-2.00M,,-230.00M,97.00M,97.00M,58.00M,-42.00M,18.00M,,637.00M,125.00M,-384.00M,113.00M,-96.00M,-242.00M,768.00M,-115.00M,6.00M,-109.00M,,30.00M,-3.158B,,-4.824B,1.588B,-2.107B,-519.00M,,-656.00M,-656.00M,441.00M,,441.00M,-107.00M,-19.00M,-126.00M,,0.00,4.347B,2.887B,291.00M,3.178B,441.00M,2.496B,-908.00M,-656.00M,,
2013-09,421.00M,-85.00M,2.00M,-7.00M,,-283.00M,134.00M,134.00M,56.00M,0.00,19.00M,,929.00M,-17.00M,165.00M,-227.00M,-24.00M,-103.00M,1.236B,-137.00M,9.00M,-128.00M,,157.00M,-3.136B,,-3.453B,1.189B,1.375B,2.564B,,0.00,0.00,0.00,,0.00,-102.00M,-9.00M,-111.00M,,0.00,2.714B,2.39B,497.00M,2.887B,0.00,1.248B,-59.00M,0.00,,
2013-06,591.00M,-242.00M,,-6.00M,,-305.00M,139.00M,139.00M,102.00M,-101.00M,24.00M,,538.00M,20.00M,80.00M,196.00M,-2.00M,294.00M,1.366B,-137.00M,15.00M,-122.00M,,413.00M,-378.00M,,-1.591B,-1.256B,-327.00M,-1.583B,,-539.00M,-539.00M,593.00M,,593.00M,-96.00M,-9.00M,-105.00M,,-17.00M,429.00M,2.186B,204.00M,2.39B,593.00M,0.00,-1.256B,-539.00M,,
2013-03,412.00M,,,-19.00M,,-160.00M,137.00M,137.00M,37.00M,-49.00M,17.00M,,940.00M,-120.00M,-533.00M,487.00M,-9.00M,-175.00M,1.225B,-91.00M,3.00M,-88.00M,,74.00M,354.00M,,-316.00M,1.298B,-3.841B,-2.543B,,-125.00M,-125.00M,,,,-88.00M,0.00,-88.00M,,,-1.164B,2.441B,-255.00M,2.186B,,1.30B,-2.00M,-125.00M,,
2012-12,395.00M,,,0.00,115.00M,-412.00M,143.00M,143.00M,138.00M,-38.00M,15.00M,,-627.00M,-7.00M,207.00M,-85.00M,-2.00M,113.00M,-179.00M,-141.00M,8.00M,-133.00M,,277.00M,-1.427B,,-4.222B,-1.137B,777.00M,-360.00M,,-225.00M,-225.00M,0.00,,0.00,-88.00M,-18.00M,-106.00M,,-1.00M,4.352B,2.49B,-49.00M,2.441B,0.00,7.00M,-1.144B,-225.00M,,
2012-09,363.00M,,,-7.00M,0.00,-78.00M,134.00M,134.00M,49.00M,75.00M,17.00M,,193.00M,89.00M,-139.00M,-115.00M,-4.00M,-169.00M,663.00M,-120.00M,3.00M,-117.00M,,41.00M,1.034B,,31.00M,-1.513B,890.00M,-623.00M,,-350.00M,-350.00M,0.00,,0.00,-73.00M,-8.00M,-81.00M,,-3.00M,-597.00M,2.393B,97.00M,2.49B,0.00,4.00M,-1.517B,-350.00M,,
2012-06,386.00M,,,-2.00M,0.00,-70.00M,126.00M,126.00M,34.00M,77.00M,18.00M,,-223.00M,39.00M,-152.00M,-124.00M,-6.00M,-243.00M,178.00M,-124.00M,2.00M,-122.00M,,36.00M,183.00M,,-354.00M,-42.00M,1.737B,1.695B,,-75.00M,-75.00M,0.00,,0.00,-74.00M,0.00,-74.00M,,-16.00M,334.00M,2.235B,158.00M,2.393B,0.00,12.00M,-54.00M,-75.00M,,
2012-03,430.00M,,,-9.00M,-115.00M,-123.00M,128.00M,128.00M,50.00M,-11.00M,19.00M,,1.262B,-120.00M,88.00M,86.00M,-16.00M,38.00M,1.895B,-103.00M,0.00,-103.00M,,39.00M,-586.00M,,-1.988B,56.00M,-363.00M,-307.00M,,0.00,0.00,,,,-74.00M,-9.00M,-83.00M,,,-335.00M,2.663B,-428.00M,2.235B,,500.00M,-444.00M,0.00,,
2011-12,314.00M,,,-605.00M,-10.00M,-496.00M,129.00M,129.00M,74.00M,14.00M,20.00M,,-919.00M,90.00M,-21.00M,51.00M,,235.00M,-294.00M,-146.00M,5.00M,-141.00M,,,1.044B,,-1.156B,-104.00M,-1.655B,-1.759B,0.00,,-3.408B,,3.729B,3.729B,-74.00M,,-124.00M,,1.127B,1.765B,2.348B,315.00M,2.663B,0.00,6.00M,-110.00M,321.00M,,
2011-09,382.00M,,,569.00M,3.00M,-640.00M,111.00M,111.00M,591.00M,201.00M,8.00M,,209.00M,-384.00M,-251.00M,-339.00M,,-974.00M,-234.00M,-79.00M,29.00M,-50.00M,,,-1.159B,,-2.838B,-608.00M,2.192B,1.584B,0.00,,0.00,,-8.00M,-8.00M,-8.00M,,-8.00M,,-1.102B,3.04B,2.38B,-32.00M,2.348B,0.00,31.00M,-639.00M,-8.00M,,
2011-06,337.00M,,,-6.00M,4.00M,65.00M,103.00M,103.00M,-317.00M,27.00M,14.00M,,95.00M,477.00M,-197.00M,352.00M,,632.00M,1.011B,-51.00M,0.00,-51.00M,,,917.00M,,14.00M,-452.00M,1.405B,953.00M,0.00,,0.00,,-9.00M,-9.00M,-55.00M,,-55.00M,,-8.00M,-766.00M,2.121B,259.00M,2.38B,0.00,203.00M,-655.00M,-9.00M,,
2011-03,265.00M,,,-13.00M,3.00M,871.00M,112.00M,112.00M,89.00M,,17.00M,,-37.00M,-104.00M,402.00M,100.00M,,398.00M,1.883B,-102.00M,1.00M,-101.00M,,,-756.00M,,-1.305B,1.057B,-277.00M,780.00M,1.648B,,1.648B,,-3.712B,-3.712B,-55.00M,,-55.00M,,1.00M,-616.00M,2.159B,-38.00M,2.121B,1.648B,1.26B,-203.00M,-3.712B,,
2010-12,333.00M,,,-36.00M,-19.00M,149.00M,130.00M,130.00M,42.00M,,31.00M,4.00M,-83.00M,42.00M,65.00M,1.00M,67.00M,175.00M,1.014B,-92.00M,4.00M,-88.00M,,,2.146B,,147.00M,-1.152B,-201.00M,-1.353B,,,0.00,,154.00M,154.00M,-8.00M,,-213.00M,,-1.00M,-1.217B,2.215B,-56.00M,2.159B,,1.00M,-1.153B,154.00M,,
2010-09,238.00M,,,-4.00M,8.00M,16.00M,121.00M,121.00M,72.00M,,11.00M,-4.00M,83.00M,97.00M,-349.00M,305.00M,,53.00M,1.047B,-51.00M,1.00M,-50.00M,,,1.071B,,-464.00M,-154.00M,220.00M,66.00M,,,0.00,,-52.00M,-52.00M,-8.00M,,-8.00M,,35.00M,-584.00M,2.216B,-1.00M,2.215B,,13.00M,-167.00M,-52.00M,-72.00M,-503.00M
2010-06,192.00M,,,-7.00M,10.00M,-15.00M,109.00M,109.00M,50.00M,,12.00M,,-424.00M,-41.00M,61.00M,65.00M,523.00M,85.00M,334.00M,-57.00M,3.00M,-54.00M,,,737.00M,,1.285B,-183.00M,197.00M,14.00M,,,0.00,,-51.00M,-51.00M,-8.00M,,-8.00M,,1.00M,-1.536B,2.133B,83.00M,2.216B,,-1.00M,-182.00M,-51.00M,53.00M,244.00M
2010-03,-10.00M,,,-14.00M,1.00M,-97.00M,97.00M,97.00M,12.00M,,10.00M,,530.00M,-161.00M,232.00M,-293.00M,-523.00M,-222.00M,910.00M,-45.00M,2.00M,-43.00M,,,-113.00M,,740.00M,-970.00M,-178.00M,-1.148B,,,0.00,,-51.00M,-51.00M,-8.00M,,-8.00M,,-1.00M,-1.835B,2.318B,-185.00M,2.133B,,1.00M,-971.00M,-51.00M,19.00M,259.00M
2009-12,-98.00M,,,-1.054B,10.00M,1.00M,83.00M,83.00M,30.00M,,11.00M,,-124.00M,-85.00M,-719.00M,427.00M,1.00B,623.00M,1.327B,-91.00M,-8.00M,-99.00M,,0.00,-4.869B,52.00M,-4.03B,520.00M,-2.259B,-1.739B,0.00,,0.00,,217.00M,217.00M,-7.00M,-35.00M,-42.00M,,-238.00M,2.891B,2.13B,188.00M,2.318B,0.00,527.00M,-7.00M,217.00M,12.00M,289.00M
2009-09,-97.00M,,,-9.00M,9.00M,1.365B,76.00M,76.00M,-109.00M,,11.00M,,-61.00M,-41.00M,447.00M,-701.00M,,-295.00M,1.842B,-62.00M,19.00M,-43.00M,,0.00,-31.00M,-22.00M,2.061B,-22.00M,-3.128B,-3.15B,0.00,,0.00,,-203.00M,-203.00M,-20.00M,35.00M,143.00M,,4.00M,-4.672B,2.899B,-769.00M,2.13B,0.00,,-22.00M,-203.00M,87.00M,341.00M
2009-06,882.00M,,,-45.00M,3.00M,-1.74B,96.00M,96.00M,241.00M,,12.00M,,-259.00M,-644.00M,1.141B,650.00M,-724.00M,423.00M,696.00M,-40.00M,7.00M,-33.00M,,546.00M,1.977B,-14.00M,4.213B,-1.738B,-4.274B,-6.012B,986.00M,1.00M,987.00M,,-234.00M,-234.00M,,,-56.00M,-1.00M,-1.00M,-4.501B,2.491B,408.00M,2.899B,986.00M,-1.118B,-1.737B,-233.00M,3.00M,364.00M
2009-03,50.00M,,,9.00M,,-1.335B,86.00M,86.00M,22.00M,,11.00M,,71.00M,-430.00M,-43.00M,,724.00M,251.00M,-71.00M,-55.00M,2.00M,-53.00M,,,-2.156B,-16.00M,-1.168B,-1.298B,1.117B,-181.00M,,-1.00M,-1.00M,,,,,,-72.00M,1.00M,,991.00M,2.739B,-248.00M,2.491B,,1.118B,-1.299B,-1.00M,7.00M,422.00M
2008-12,-2.142B,,,-55.00M,,-287.00M,-260.00M,-260.00M,-1.14B,,14.00M,0.00,99.00M,1.626B,-1.267B,10.00M,-272.00M,97.00M,-90.00M,-189.00M,4.00M,-185.00M,,220.00M,-2.546B,,-3.008B,-76.00M,1.167B,1.091B,,,0.00,3.408B,,3.36B,,,-62.00M,-2.00M,-24.00M,3.063B,2.774B,-35.00M,2.739B,3.408B,-3.305B,-82.00M,,8.00M,473.00M
2008-09,-55.00M,,,41.00M,,172.00M,96.00M,96.00M,-167.00M,,43.00M,0.00,-1.715B,-701.00M,789.00M,345.00M,406.00M,-756.00M,-179.00M,-125.00M,30.00M,-95.00M,,0.00,-299.00M,311.00M,-912.00M,-2.16B,5.355B,3.195B,,,-2.00M,1.072B,,0.00,,,-111.00M,2.00M,2.00M,1.012B,2.853B,-79.00M,2.774B,1.072B,2.811B,-1.66B,,408.00M,1.58B
2008-06,-202.00M,,,10.00M,,51.00M,107.00M,107.00M,179.00M,,,,865.00M,,,,,953.00M,1.953B,-168.00M,,-168.00M,,-154.00M,-24.00M,-1.143B,-1.489B,1.153B,-4.869B,-3.716B,,,2.00M,,,1.072B,,,-233.00M,,0.00,-703.00M,3.092B,-239.00M,2.853B,,1.658B,-505.00M,,,
2008-03,286.00M,,,-30.00M,,-128.00M,65.00M,65.00M,-12.00M,,,,556.00M,,,,,642.00M,1.409B,-70.00M,,-70.00M,,,-1.257B,832.00M,-495.00M,968.00M,2.825B,3.793B,,,,,,,,,-233.00M,,1.00M,-482.00M,2.66B,432.00M,3.092B,,993.00M,-25.00M,,,
2007-12,17.00M,,,-6.00M,,-13.23B,92.00M,92.00M,-178.00M,,15.00M,4.00M,11.75B,261.00M,285.00M,-176.00M,-11.06B,334.00M,-896.00M,-180.00M,9.00M,-171.00M,,-230.00M,-137.00M,,-2.737B,-549.00M,951.00M,402.00M,,0.00,0.00,,,0.00,,,-222.00M,0.00,-2.00M,3.799B,2.494B,166.00M,2.66B,,1.806B,-1.404B,0.00,108.00M,736.00M
2007-09,324.00M,,,-13.00M,,94.00M,90.00M,90.00M,-10.00M,,46.00M,-4.00M,-955.00M,-67.00M,-183.00M,-565.00M,32.00M,92.00M,21.00M,-227.00M,37.00M,-190.00M,,0.00,53.00M,1.487B,-1.887B,432.00M,-1.938B,-1.506B,,-1.084B,-158.00M,,,0.00,,,-224.00M,49.00M,7.00M,2.066B,2.294B,200.00M,2.494B,,3.198B,-1.766B,-1.084B,427.00M,2.26B
2007-06,376.00M,,,0.00,,-55.00M,95.00M,95.00M,20.00M,,,,135.00M,,,,,-296.00M,275.00M,-108.00M,,-108.00M,,,-788.00M,-955.00M,-1.851B,-615.00M,3.15B,2.535B,,,-666.00M,,,,,,-230.00M,,13.00M,1.658B,2.244B,82.00M,2.294B,,1.001B,-1.616B,,,
2007-03,359.00M,,,-1.00M,,-47.00M,90.00M,90.00M,-10.00M,,,,101.00M,,,,,-579.00M,-86.00M,-116.00M,,-116.00M,,,1.094B,-532.00M,446.00M,39.00M,-212.00M,-173.00M,,,-260.00M,,,,,,-222.00M,,-5.00M,-853.00M,2.737B,-493.00M,2.244B,,747.00M,-708.00M,,,
2006-12,65.00M,,,395.00M,,365.00M,101.00M,101.00M,70.00M,,,,123.00M,,,,,-286.00M,438.00M,-152.00M,,-152.00M,,-5.00M,7.795B,-1.506B,6.132B,-1.624B,-5.05B,-6.674B,,,-75.00M,,,,,,-223.00M,,2.00M,-6.232B,2.399B,338.00M,2.737B,,1.887B,-3.511B,,,
