,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,451.80M,451.80M,262.93M,188.87M,,,45.23M,26.06M,,0.117M,0.068M,-0.049M,,71.28M,117.59M,0.068M,0.117M,-0.049M,,-0.049M,117.54M,26.32M,91.22M,,91.22M,91.22M,161.40M,43.74M,117.66M,1.19,,,1.19,1.19,1.19,,,1.19,1.19,76.51M,76.71M,0.43
2020-06,410.54M,410.54M,254.84M,155.70M,,,52.10M,29.90M,3.095M,0.211M,0.087M,-0.124M,,82.00M,73.70M,0.087M,0.211M,-0.124M,,-0.124M,76.67M,15.33M,61.34M,,61.34M,58.87M,120.72M,43.83M,76.88M,0.8005,,,0.7682,0.8005,0.8,,,0.7678,0.8,76.61M,76.85M,0.43
2020-03,429.41M,429.41M,258.57M,170.84M,,,47.39M,28.31M,-3.198M,0.165M,0.197M,0.032M,,75.70M,95.14M,0.197M,0.165M,0.032M,-3.198M,0.032M,91.97M,18.12M,73.86M,,73.86M,76.42M,135.87M,43.74M,92.14M,0.96,,,0.9935,0.96,0.96,,,0.9934,0.96,76.68M,76.88M,0.43
2019-12,419.12M,419.12M,249.27M,169.85M,,,48.96M,27.19M,,0.156M,0.346M,0.19M,,76.15M,93.70M,0.346M,0.156M,0.19M,,0.19M,93.89M,21.80M,72.10M,,72.10M,72.10M,136.20M,42.15M,94.05M,0.94,,,0.94,0.94,0.94,,,0.94,0.94,76.88M,76.94M,0.4
2019-09,438.00M,438.00M,245.79M,192.21M,,,49.44M,24.59M,,0.156M,0.508M,0.352M,,74.03M,118.19M,0.508M,0.156M,0.352M,,0.352M,118.54M,29.17M,89.37M,,89.37M,89.37M,160.78M,42.09M,118.70M,1.16,,,1.16,1.16,1.16,,,1.16,1.16,76.97M,77.07M,0.4
2019-06,393.51M,393.51M,240.04M,153.47M,,,49.32M,24.92M,0.183M,0.406M,0.179M,-0.227M,,74.24M,79.23M,0.179M,0.406M,-0.227M,,-0.227M,79.19M,18.20M,60.99M,,60.99M,60.85M,120.90M,41.31M,79.60M,0.7922,,,0.7904,0.7922,0.79,,,0.7882,0.79,77.06M,77.16M,0.4
2019-03,380.36M,380.36M,235.59M,144.77M,,,44.68M,23.44M,-0.205M,0.224M,0.155M,-0.069M,,68.12M,76.65M,0.155M,0.224M,-0.069M,-0.205M,-0.069M,76.37M,17.12M,59.25M,,59.25M,59.41M,117.31M,40.71M,76.60M,0.77,,,0.7721,0.77,0.77,,,0.7721,0.77,77.18M,77.29M,0.4
2018-12,386.28M,386.28M,227.28M,158.99M,,,46.80M,23.99M,,0.148M,0.252M,0.104M,,70.79M,88.20M,0.252M,0.148M,0.104M,,0.104M,88.31M,20.22M,68.09M,,68.09M,68.09M,128.34M,39.89M,88.46M,0.88,,,0.88,0.88,0.88,,,0.88,0.88,77.22M,77.41M,0.37
2018-09,392.54M,392.54M,220.11M,172.43M,,,45.18M,24.03M,,0.147M,0.291M,0.144M,,69.21M,103.22M,0.291M,0.147M,0.144M,,0.144M,103.37M,19.82M,83.55M,,83.55M,83.55M,142.24M,38.73M,103.51M,1.08,,,1.08,1.08,1.08,,,1.08,1.08,77.19M,77.54M,0.37
2018-06,378.26M,378.26M,223.61M,154.65M,,,45.30M,24.41M,0.00,0.747M,0.151M,-0.596M,,69.70M,84.95M,0.151M,0.747M,-0.596M,0.00,-0.596M,84.35M,16.52M,67.84M,,67.84M,67.84M,124.83M,39.73M,85.10M,1.105,,,1.105,1.105,1.1,,,1.1,1.1,77.26M,77.58M,0.37
