,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,822.14M,33.00M,855.13M,2.146B,149.25M,179.14M,2.474B,182.15M,765.84M,673.32M,1.621B,134.89M,,,,5.085B,0.00,289.69M,1.579B,3.219B,128.23M,5.215B,-3.359B,1.856B,5.504B,2.016B,7.520B,801.05M,57.62M,,10.23B,15.32B,,1.430B,198.88M,1.629B,929.83M,2.559B,,638.47M,638.47M,,3.197B,4.319B,4.319B,234.86M,234.86M,1.178B,5.627M,526.09M,6.257B,9.455B,,90.52M,11.63B,496.59M,4.590B,,,-1.763B,5.860B,,AOR,Restated
2018-03,1.090B,101.21M,1.191B,2.146B,163.81M,164.30M,2.475B,200.96M,811.90M,719.90M,1.733B,165.08M,,,,5.563B,,,,,,5.363B,-3.421B,1.942B,5.746B,2.135B,7.881B,814.64M,36.94M,,10.67B,16.24B,,1.376B,179.93M,1.556B,896.60M,2.453B,,1.056B,1.056B,,3.509B,4.819B,4.819B,113.80M,113.80M,1.351B,5.93M,569.21M,6.853B,10.36B,,90.52M,11.37B,528.20M,4.473B,,,-1.649B,5.870B,,AOR,Restated
2017-12,1.025B,107.98M,1.133B,1.857B,155.17M,158.06M,2.171B,203.69M,824.36M,752.21M,1.780B,202.85M,,,,5.286B,,,,,,5.301B,-3.364B,1.937B,5.699B,2.174B,7.873B,832.27M,36.67M,,10.68B,15.97B,,1.229B,163.40M,1.393B,896.75M,2.289B,,1.248B,1.248B,,3.538B,4.798B,4.798B,137.20M,137.20M,1.363B,5.809M,609.24M,6.908B,10.45B,,90.52M,11.10B,534.00M,4.439B,,,-1.768B,5.513B,,AOR,Restated
2017-09,874.77M,99.79M,974.56M,1.922B,123.26M,143.16M,2.189B,202.33M,797.11M,707.56M,1.707B,134.35M,,,,5.005B,,,,,,5.293B,-3.330B,1.963B,5.679B,2.215B,7.895B,834.08M,35.19M,,10.73B,15.73B,,1.304B,173.29M,1.478B,845.52M,2.323B,,1.144B,1.144B,,3.467B,4.788B,4.788B,212.33M,212.33M,1.392B,5.719M,341.20M,6.733B,10.20B,,90.52M,11.13B,528.96M,4.398B,,,-1.825B,5.525B,,AOR,Restated
2017-06,884.89M,39.32M,924.20M,1.931B,118.35M,136.64M,2.186B,183.57M,723.13M,642.79M,1.549B,120.28M,,,,4.780B,0.00,321.33M,1.575B,3.168B,122.07M,5.187B,-3.249B,1.937B,5.587B,2.307B,7.894B,842.48M,36.06M,,10.71B,15.49B,,1.300B,153.14M,1.454B,933.76M,2.387B,,1.008B,1.008B,,3.396B,4.862B,4.862B,221.79M,221.79M,1.406B,5.697M,336.93M,6.827B,10.22B,,90.52M,10.93B,543.88M,4.379B,,,-1.924B,5.262B,,AOR,Restated
2017-03,819.56M,36.76M,856.32M,1.869B,105.86M,130.06M,2.105B,185.58M,736.70M,616.36M,1.539B,118.96M,,,,4.619B,,,,,,5.131B,-3.185B,1.946B,5.509B,2.338B,7.847B,,65.15M,848.21M,10.71B,15.33B,,1.209B,158.63M,1.368B,904.30M,2.272B,,776.16M,776.16M,,3.048B,5.255B,5.255B,159.67M,159.67M,1.787B,5.587M,327.03M,7.529B,10.58B,,90.52M,10.73B,577.56M,4.358B,,,-2.293B,4.742B,,AOR,Restated
2016-12,1.521B,684.30M,2.205B,1.411B,107.67M,148.88M,1.668B,79.82M,682.90M,478.87M,1.242B,133.59M,,,,5.248B,,,,,,4.654B,-3.147B,1.506B,2.813B,849.69M,3.663B,,482.14M,832.51M,6.484B,11.73B,,997.19M,125.95M,1.123B,720.84M,1.844B,,581.49M,581.49M,,2.425B,2.654B,2.654B,50.81M,50.81M,1.766B,3.269M,304.58M,4.775B,7.201B,,90.52M,10.58B,597.20M,4.329B,,,-2.411B,4.528B,,AOR,Restated
2016-09,1.394B,746.71M,2.141B,1.498B,90.28M,160.24M,1.749B,80.29M,686.06M,481.62M,1.248B,144.44M,,,,5.282B,,,,,,4.762B,-3.199B,1.563B,2.911B,901.94M,3.813B,,495.71M,817.69M,6.689B,11.97B,,1.018B,113.53M,1.131B,766.85M,1.898B,,595.96M,595.96M,,2.494B,2.653B,2.653B,55.08M,55.08M,1.806B,3.308M,311.63M,4.826B,7.320B,,90.52M,10.43B,618.34M,4.303B,,,-2.185B,4.647B,,AOR,Restated
2016-06,1.222B,882.34M,2.104B,1.594B,102.40M,129.78M,1.826B,74.76M,639.91M,458.66M,1.173B,104.36M,,,,5.208B,0.00,291.12M,1.438B,2.934B,74.60M,4.737B,-3.169B,1.568B,2.903B,922.57M,3.826B,827.49M,605.16M,,6.826B,12.03B,,1.035B,127.60M,1.162B,841.92M,2.004B,,361.79M,361.79M,,2.366B,2.652B,2.652B,54.40M,54.40M,2.076B,3.423M,306.58M,5.090B,7.455B,,90.52M,10.30B,628.45M,4.219B,,,-2.228B,4.575B,,AOR,Restated
2016-03,1.035B,1.070B,2.105B,1.588B,94.85M,150.40M,1.833B,83.26M,672.93M,492.03M,1.248B,124.02M,,146.94M,,5.457B,,,,,,4.777B,-3.179B,1.599B,2.948B,961.21M,3.909B,,,1.104B,6.613B,12.07B,,999.16M,123.12M,1.122B,801.72M,1.924B,,576.62M,576.62M,,2.501B,2.675B,2.675B,80.45M,80.45M,1.484B,3.371M,302.71M,4.542B,7.042B,,90.52M,10.15B,647.24M,4.137B,,,-1.726B,5.024B,,AOR,Restated
2015-12,1.047B,820.68M,1.868B,1.420B,101.68M,192.24M,1.714B,83.65M,681.70M,514.42M,1.280B,141.03M,,148.20M,,5.151B,,,,,,4.775B,-3.177B,1.598B,2.913B,975.52M,3.889B,,,1.116B,6.603B,11.75B,,948.16M,109.50M,1.058B,736.14M,1.794B,,574.30M,574.30M,,2.368B,2.725B,2.725B,76.40M,76.40M,1.475B,3.315M,306.66M,4.583B,6.951B,,90.52M,10.05B,639.92M,4.094B,,,-1.885B,4.799B,,AOR,Restated
2015-09,974.27M,815.48M,1.790B,1.561B,79.17M,236.78M,1.877B,86.36M,708.63M,525.22M,1.320B,196.92M,,144.03M,,5.328B,,,,,,4.835B,-3.202B,1.633B,2.948B,1.003B,3.951B,,,1.090B,6.674B,12.00B,,1.014B,130.98M,1.145B,774.14M,1.919B,,630.65M,630.65M,,2.550B,2.725B,2.725B,78.02M,78.02M,1.480B,3.233M,312.87M,4.597B,7.147B,,90.52M,9.950B,637.79M,4.005B,,,-1.822B,4.852B,,AOR,Restated
2015-06,1.181B,733.49M,1.914B,1.620B,90.47M,274.06M,1.985B,85.02M,688.73M,526.71M,1.300B,241.68M,,,,5.441B,0.00,294.54M,1.458B,3.017B,93.41M,4.863B,-3.199B,1.664B,2.943B,1.013B,3.956B,811.93M,406.27M,,6.838B,12.28B,,1.092B,139.28M,1.231B,894.56M,2.126B,,223.14M,223.14M,,2.349B,2.724B,2.724B,63.22M,63.22M,1.699B,3.282M,336.21M,4.823B,7.172B,,90.52M,9.842B,622.73M,3.712B,,,-1.739B,5.104B,,AOR,Restated
2015-03,1.017B,1.014B,2.031B,1.701B,88.85M,235.29M,2.025B,88.48M,752.59M,546.62M,1.388B,188.86M,,152.60M,,5.785B,,,,,,4.807B,-3.163B,1.644B,2.893B,1.022B,3.915B,,,993.55M,6.552B,12.34B,,1.138B,141.65M,1.280B,822.38M,2.102B,,665.12M,665.12M,,2.767B,2.725B,2.725B,78.28M,78.28M,1.288B,3.224M,323.57M,4.415B,7.182B,,90.52M,9.754B,633.48M,3.688B,,,-1.638B,5.152B,,AOR,Restated
2014-12,1.075B,886.88M,1.962B,1.573B,111.18M,316.91M,2.001B,96.83M,786.27M,570.90M,1.454B,160.34M,,150.30M,,5.728B,,,,,,4.962B,-3.246B,1.716B,3.012B,1.091B,4.103B,,,1.021B,6.841B,12.57B,,1.145B,134.75M,1.280B,817.15M,2.097B,,242.04M,242.04M,,2.339B,2.726B,2.726B,86.61M,86.61M,1.309B,3.392M,347.51M,4.469B,6.808B,,90.52M,9.556B,617.04M,3.217B,,,-1.290B,5.757B,,AOR,Restated
2014-09,1.092B,945.43M,2.038B,1.712B,102.81M,318.27M,2.133B,108.39M,773.65M,559.40M,1.441B,116.96M,,147.41M,,5.876B,,,,,,5.031B,-3.276B,1.755B,3.068B,1.130B,4.199B,,,914.38M,6.868B,12.74B,,1.193B,158.96M,1.352B,834.57M,2.186B,,702.02M,702.02M,,2.888B,1.482B,1.482B,89.04M,89.04M,1.328B,3.361M,374.41M,3.274B,6.162B,,90.52M,9.382B,621.53M,2.417B,,,-1.099B,6.579B,,AOR,Restated
2014-06,1.614B,573.70M,2.187B,1.858B,117.40M,271.04M,2.247B,106.42M,732.29M,532.97M,1.372B,129.84M,,136.19M,,6.072B,0.00,326.01M,1.536B,3.210B,80.78M,5.153B,-3.328B,1.824B,3.171B,1.188B,4.360B,1.019B,,,7.203B,13.27B,,1.252B,223.61M,1.476B,960.52M,2.436B,,816.62M,816.62M,,3.253B,1.508B,1.508B,94.82M,94.82M,1.346B,3.38M,409.57M,3.359B,6.612B,,90.52M,9.174B,595.50M,2.377B,,,-823.50M,6.659B,,AOR,Restated
2014-03,2.096B,,2.096B,1.860B,113.67M,124.74M,2.098B,112.46M,786.10M,550.42M,1.449B,183.12M,,122.84M,,5.949B,,,,,,5.152B,-3.324B,1.828B,3.164B,1.211B,4.375B,,,950.24M,7.153B,13.10B,,1.200B,154.79M,1.355B,933.08M,2.288B,,1.079B,1.079B,,3.367B,1.509B,1.509B,111.51M,111.51M,1.307B,3.237M,354.16M,3.281B,6.648B,,90.52M,8.946B,616.25M,2.354B,,,-847.08M,6.451B,,AOR,Restated
2013-12,2.140B,,2.140B,1.626B,117.68M,118.39M,1.862B,111.42M,777.67M,559.54M,1.449B,169.26M,,125.61M,,5.745B,,,,,,5.112B,-3.292B,1.820B,3.162B,1.221B,4.382B,,,916.50M,7.119B,12.86B,,1.075B,172.20M,1.247B,839.10M,2.086B,,1.217B,1.217B,,3.303B,1.507B,1.507B,112.56M,112.56M,1.304B,3.06M,339.44M,3.263B,6.566B,,90.52M,8.779B,618.82M,2.320B,,,-873.15M,6.295B,,AOR,Restated
2013-09,1.946B,,1.946B,1.749B,103.17M,115.94M,1.968B,116.09M,801.80M,547.54M,1.465B,176.24M,,123.39M,,5.679B,,,,,,5.098B,-3.264B,1.834B,3.285B,1.280B,4.566B,,,709.78M,7.109B,12.79B,,1.131B,180.78M,1.311B,808.22M,2.120B,,1.335B,1.335B,,3.455B,1.507B,1.507B,107.00M,107.00M,1.310B,2.91M,319.86M,3.244B,6.699B,,90.52M,8.596B,616.50M,2.294B,,,-922.91M,6.087B,,AOR,Restated
2013-06,1.781B,0.00,1.781B,1.841B,111.53M,110.39M,2.063B,112.48M,733.02M,531.90M,1.377B,182.67M,,126.96M,,5.531B,0.00,316.36M,1.431B,3.131B,120.51M,4.999B,-3.191B,1.808B,3.224B,1.290B,4.514B,687.46M,,,7.010B,12.54B,,1.156B,136.08M,1.292B,894.30M,2.186B,,1.334B,1.334B,,3.520B,1.496B,1.496B,102.92M,102.92M,1.372B,3.055M,307.90M,3.279B,6.799B,,90.52M,8.421B,608.75M,2.274B,,,-1.108B,5.738B,,AOR,Restated
2013-03,1.677B,,1.677B,1.803B,111.78M,101.96M,2.017B,128.47M,785.17M,559.44M,1.473B,136.27M,,134.72M,,5.439B,,,,,,5.013B,-3.183B,1.830B,3.230B,1.314B,4.544B,,,859.73M,7.233B,12.67B,,1.162B,120.35M,1.282B,838.38M,2.121B,,1.528B,1.528B,,3.649B,1.496B,1.496B,127.16M,127.16M,1.693B,3.35M,294.58M,3.611B,7.259B,,90.52M,8.229B,630.24M,2.265B,,,-1.276B,5.409B,,AOR,Restated
2012-12,497.64M,,497.64M,1.592B,117.78M,92.77M,1.802B,134.05M,780.02M,601.26M,1.515B,152.48M,,127.90M,,4.096B,,,,,,5.027B,-3.183B,1.845B,3.295B,1.368B,4.663B,,,857.85M,7.366B,11.46B,,1.073B,94.48M,1.168B,810.55M,1.978B,,510.01M,510.01M,,2.488B,1.509B,1.509B,128.89M,128.89M,1.704B,3.272M,301.63M,3.644B,6.132B,,90.52M,8.053B,629.50M,2.260B,,,-1.187B,5.326B,,AOR,Restated
2012-09,436.13M,,436.13M,1.781B,109.85M,92.10M,1.983B,131.82M,768.88M,589.05M,1.490B,161.12M,,130.49M,,4.200B,,,,,,4.993B,-3.190B,1.803B,3.076B,1.194B,4.270B,861.14M,,,6.934B,11.13B,,1.163B,,1.163B,595.78M,1.759B,264.58M,264.58M,264.58M,,2.366B,1.512B,1.512B,112.53M,112.53M,1.704B,10.89M,287.48M,3.616B,5.983B,,90.52M,7.950B,634.59M,2.252B,,,-1.282B,5.141B,,AOR,Restated
2012-06,838.32M,,838.32M,1.782B,124.97M,84.87M,1.992B,132.40M,692.04M,576.29M,1.401B,137.43M,,129.35M,,4.498B,0.00,300.85M,1.401B,3.052B,95.46M,4.849B,-3.129B,1.720B,2.926B,1.095B,4.021B,931.13M,,,6.672B,11.17B,,1.195B,153.81M,1.348B,911.93M,2.260B,,225.59M,225.59M,,2.486B,1.504B,1.504B,88.09M,88.09M,1.910B,9.215M,276.75M,3.779B,6.265B,,90.52M,7.787B,640.25M,2.206B,,,-1.416B,4.897B,,AOR,Restated
2012-03,773.46M,,773.46M,1.831B,148.22M,82.52M,2.062B,146.40M,720.19M,562.42M,1.429B,100.34M,,132.99M,,4.497B,,,,,,4.876B,-3.154B,1.722B,2.926B,1.096B,4.023B,,,647.24M,6.392B,10.89B,,1.149B,,1.149B,653.46M,1.802B,273.91M,273.91M,273.91M,,2.489B,1.515B,1.515B,141.47M,141.47M,848.52M,8.876M,308.15M,2.813B,5.303B,,90.52M,7.551B,625.73M,2.091B,,,-599.16M,5.578B,,AOR,Restated
2011-12,487.98M,,487.98M,1.603B,145.68M,79.38M,1.828B,150.62M,726.72M,575.32M,1.453B,129.44M,,144.82M,,4.043B,,,,,,4.794B,-3.102B,1.691B,2.879B,1.101B,3.980B,613.21M,,,6.285B,10.33B,,1.070B,,1.070B,644.97M,1.714B,78.38M,78.38M,78.38M,,2.120B,1.659B,1.659B,147.12M,147.12M,838.64M,97.78M,306.37M,2.952B,5.072B,,90.52M,7.311B,619.17M,2.097B,,,-765.35M,5.158B,,AOR,Restated
2011-09,424.35M,,424.35M,1.684B,113.52M,83.60M,1.881B,154.94M,710.27M,590.87M,1.456B,93.60M,,144.00M,,3.999B,,,,,,4.804B,-3.091B,1.713B,2.904B,1.116B,4.020B,589.28M,,,6.322B,10.32B,,1.120B,,1.120B,702.03M,1.822B,78.55M,78.55M,78.55M,,2.236B,1.669B,1.669B,149.02M,149.02M,845.58M,96.22M,309.20M,2.972B,5.208B,,90.52M,7.128B,605.33M,2.083B,,,-723.52M,5.017B,,AOR,Restated
2011-06,657.47M,,657.47M,1.770B,132.64M,75.55M,1.978B,156.88M,670.59M,584.68M,1.412B,111.93M,,145.85M,,4.305B,0.00,308.05M,1.460B,3.113B,63.54M,4.945B,-3.148B,1.797B,3.009B,1.178B,4.187B,597.53M,,,6.582B,10.89B,,1.174B,,1.174B,674.88M,1.849B,75.27M,75.27M,75.27M,,2.391B,1.691B,1.691B,160.04M,160.04M,862.94M,104.48M,293.37M,3.007B,5.398B,,90.52M,6.891B,668.33M,1.815B,,,-450.99M,5.384B,,AOR,Restated
2011-03,1.108B,,1.108B,1.951B,,,1.951B,156.82M,681.06M,552.98M,1.391B,89.69M,,151.84M,,4.691B,,,,,,4.878B,-3.090B,1.788B,2.976B,1.191B,4.167B,,,729.85M,6.686B,11.38B,,1.085B,,1.085B,1.082B,2.167B,173.23M,173.23M,173.23M,,2.340B,1.684B,1.684B,159.78M,159.78M,1.342B,101.82M,267.28M,3.453B,5.793B,,90.52M,6.665B,656.32M,1.192B,,,-737.41M,5.482B,,AOR,Restated
2010-12,808.74M,,808.74M,1.514B,133.29M,,1.637B,159.86M,639.32M,562.28M,1.361B,106.42M,,130.43M,,4.044B,,,,,,4.785B,-3.021B,1.765B,2.911B,1.179B,4.090B,,,720.70M,6.575B,10.62B,,960.57M,,960.57M,879.01M,1.840B,101.29M,101.29M,101.29M,,1.941B,1.742B,1.742B,150.07M,150.07M,1.329B,101.33M,241.96M,3.463B,5.404B,,90.52M,6.450B,658.04M,1.203B,,,-881.69M,5.113B,,AOR,Restated
2010-09,923.84M,,923.84M,1.694B,,,1.694B,161.66M,623.87M,509.61M,1.295B,104.22M,,130.09M,,4.148B,,,,,,4.766B,-2.995B,1.771B,2.916B,1.180B,4.096B,,,695.52M,6.562B,10.71B,,953.26M,,953.26M,937.54M,1.891B,391.30M,391.30M,391.30M,,2.282B,1.746B,1.746B,149.70M,149.70M,1.327B,97.63M,212.33M,3.435B,5.717B,,90.52M,6.284B,664.26M,1.233B,,,-910.88M,4.895B,,AOR,Restated
2010-06,575.53M,,575.53M,1.443B,99.20M,58.09M,1.600B,141.97M,564.20M,465.48M,1.172B,111.54M,,130.13M,,3.589B,0.00,284.97M,1.327B,2.897B,45.18M,4.554B,-2.856B,1.698B,2.786B,1.150B,3.936B,687.32M,,,6.322B,9.910B,,888.74M,,888.74M,581.48M,1.470B,363.27M,363.27M,363.27M,,2.205B,1.414B,1.414B,135.32M,135.32M,1.501B,91.44M,196.21M,3.246B,5.451B,,90.52M,6.087B,637.44M,1.238B,,,-1.209B,4.368B,,AOR,Restated
2010-03,380.56M,,380.56M,1.563B,,,1.563B,149.47M,560.41M,486.68M,1.197B,90.15M,,123.91M,,3.354B,,,,,,4.698B,-2.916B,1.782B,2.883B,1.207B,4.090B,,,631.34M,6.504B,9.858B,,785.24M,,785.24M,920.05M,1.705B,366.68M,366.68M,366.68M,,2.072B,1.536B,1.536B,177.51M,177.51M,1.151B,85.92M,226.27M,3.091B,5.163B,,90.52M,5.917B,633.88M,1.252B,,,-780.18M,4.610B,,AOR,Restated
2009-12,233.90M,,233.90M,1.368B,,,1.368B,156.77M,566.48M,509.72M,1.233B,98.99M,,124.18M,,3.058B,,,,,,4.785B,-2.942B,1.843B,2.948B,1.255B,4.203B,,,689.66M,6.736B,9.794B,,692.72M,,692.72M,833.60M,1.526B,389.72M,389.72M,389.72M,,1.916B,1.554B,1.554B,186.49M,186.49M,1.258B,85.76M,241.53M,3.240B,5.156B,,90.52M,5.809B,624.91M,1.267B,,,-705.52M,4.552B,,AOR,Restated
2009-09,189.85M,,189.85M,1.452B,,,1.452B,157.54M,580.47M,528.32M,1.266B,100.19M,,124.64M,,3.133B,,,,,,4.810B,-2.919B,1.891B,2.964B,1.276B,4.240B,,,671.87M,6.804B,9.937B,,659.76M,,659.76M,871.49M,1.531B,304.08M,304.08M,304.08M,,1.835B,1.856B,1.856B,187.91M,187.91M,1.256B,87.63M,233.27M,3.532B,5.368B,,90.52M,5.748B,614.25M,1.274B,,,-696.20M,4.482B,,AOR,Restated
2009-06,187.61M,,187.61M,1.417B,,,1.417B,158.79M,581.27M,514.50M,1.255B,142.34M,,121.98M,,3.124B,0.00,278.29M,1.325B,3.027B,75.11M,4.705B,-2.825B,1.881B,2.903B,1.274B,4.177B,674.63M,,,6.732B,9.856B,,649.72M,113.11M,762.82M,761.46M,1.524B,,481.47M,481.47M,,2.006B,1.840B,1.840B,183.46M,183.46M,1.233B,82.24M,243.28M,3.500B,5.505B,,90.52M,5.722B,588.20M,1.290B,,,-843.02M,4.268B,,AOR,Restated
2009-03,166.55M,,166.55M,1.532B,,,1.532B,181.98M,605.44M,547.76M,1.335B,151.50M,,126.00M,,3.311B,,,,,,4.548B,-2.719B,1.829B,2.809B,1.242B,4.051B,,,376.47M,6.256B,9.568B,,658.78M,,658.78M,899.90M,1.559B,747.86M,747.86M,747.86M,,2.307B,1.849B,1.849B,202.24M,202.24M,459.00M,,281.80M,2.792B,5.099B,,90.52M,5.721B,574.44M,1.291B,,,-628.33M,4.469B,,AOR,Restated
