,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2016-12,4.503B,4.503B,3.377B,1.126B,572.00M,159.00M,2.00M,4.00M,1.00M,18.00M,46.00M,26.00M,0.00,733.00M,393.00M,46.00M,18.00M,26.00M,89.00M,26.00M,508.00M,112.00M,396.00M,,-18.00M,376.44M,665.00M,139.00M,526.00M,,,,,2.251,2.26,2.25,,,2.25,,2016-12,167.65M,168.25M,1.025,,2016-12,AOR,Restated
2016-09,4.187B,4.187B,3.108B,1.079B,513.00M,157.00M,2.00M,5.00M,-94.00M,16.00M,6.00M,-13.00M,-7.00M,665.00M,414.00M,6.00M,16.00M,-13.00M,-19.00M,-13.00M,382.00M,82.00M,300.00M,,-11.00M,362.00M,530.00M,132.00M,398.00M,,,,,2.155,1.72,1.72,,,1.72,,2016-09,167.80M,168.20M,1.025,,2016-09,AOR,Restated
2016-06,4.528B,4.528B,3.331B,1.197B,524.00M,155.00M,2.00M,4.00M,-28.00M,16.00M,6.00M,-11.00M,-6.00M,675.00M,522.00M,6.00M,16.00M,-11.00M,64.00M,-11.00M,575.00M,148.00M,427.00M,,-21.00M,432.00M,722.00M,131.00M,591.00M,,,,,2.564,2.41,2.40,,,2.40,,2016-06,168.80M,169.00M,0.975,,2016-06,AOR,Restated
2016-03,4.291B,4.291B,3.235B,1.056B,490.00M,166.00M,3.00M,5.00M,3.00M,19.00M,6.00M,-16.00M,-6.00M,653.00M,403.00M,6.00M,19.00M,-16.00M,78.00M,-16.00M,465.00M,132.00M,333.00M,,-12.00M,320.28M,612.00M,128.00M,484.00M,,,,,1.866,1.87,1.87,,,1.87,,2016-03,171.80M,172.00M,0.975,,2016-03,AOR,Restated
2015-12,4.766B,4.766B,3.554B,1.212B,508.00M,177.00M,3.00M,223.00M,-367.00M,18.00M,46.00M,26.00M,-3.00M,685.00M,527.00M,46.00M,18.00M,26.00M,-341.00M,26.00M,212.00M,34.00M,178.00M,,-17.00M,469.14M,361.00M,131.00M,230.00M,,,,,2.676,0.92,0.92,,,0.92,,2015-12,175.45M,175.73M,0.975,,2015-12,AOR,Restated
2015-09,4.62B,4.62B,3.412B,1.208B,530.00M,197.00M,4.00M,3.00M,-14.00M,16.00M,9.00M,-10.00M,-5.00M,726.00M,482.00M,9.00M,16.00M,-10.00M,89.00M,-10.00M,561.00M,169.00M,392.00M,,-12.00M,387.69M,706.00M,129.00M,577.00M,,,,,2.193,2.15,2.14,,,2.14,,2015-09,177.00M,177.40M,0.975,,2015-09,AOR,Restated
2015-06,5.015B,5.015B,3.683B,1.332B,537.00M,166.00M,5.00M,0.00,-8.00M,17.00M,6.00M,-13.00M,-5.00M,703.00M,629.00M,6.00M,17.00M,-13.00M,88.00M,-13.00M,704.00M,208.00M,496.00M,,-25.00M,478.05M,847.00M,126.00M,721.00M,,,,,2.669,2.63,2.62,,,2.62,,2015-06,179.20M,179.60M,0.78,,2015-06,AOR,Restated
2015-03,4.709B,4.709B,3.514B,1.195B,517.00M,195.00M,6.00M,1.00M,9.00M,14.00M,5.00M,-11.00M,-4.00M,714.00M,481.00M,5.00M,14.00M,-11.00M,78.00M,-11.00M,548.00M,144.00M,404.00M,,-17.00M,380.37M,690.00M,128.00M,562.00M,,,,,2.103,2.14,2.14,,,2.14,,2015-03,180.60M,181.00M,0.78,,2015-03,AOR,Restated
2014-12,5.09B,5.09B,3.817B,1.273B,568.00M,187.00M,6.00M,,-15.00M,17.00M,46.00M,25.00M,-16.00M,745.00M,528.00M,46.00M,17.00M,25.00M,59.00M,25.00M,612.00M,145.00M,467.00M,,-23.00M,460.02M,754.00M,125.00M,629.00M,,,,,2.538,2.45,2.44,,,2.44,,2014-12,181.25M,181.82M,0.78,,2014-12,AOR,Restated
2014-09,4.89B,4.89B,3.606B,1.284B,529.00M,198.00M,3.00M,,-2.00M,15.00M,6.00M,-12.00M,-6.00M,724.00M,560.00M,6.00M,15.00M,-12.00M,121.00M,-12.00M,669.00M,230.00M,439.00M,,-16.00M,422.34M,797.00M,113.00M,684.00M,,,,,2.316,2.32,2.32,,,2.32,,2014-09,182.20M,182.70M,0.78,,2014-09,AOR,Restated
2014-06,4.835B,4.835B,3.63B,1.205B,513.00M,179.00M,4.00M,,11.00M,15.00M,6.00M,-12.00M,2.00M,698.00M,507.00M,6.00M,15.00M,-12.00M,147.00M,-12.00M,642.00M,170.00M,472.00M,,-26.00M,427.62M,769.00M,112.00M,657.00M,,,,,2.339,2.44,2.43,,,2.43,,2014-06,182.80M,183.20M,0.625,,2014-06,AOR,Restated
2014-03,4.406B,4.406B,3.307B,1.099B,485.00M,190.00M,3.00M,,7.00M,17.00M,5.00M,-14.00M,-2.00M,676.00M,423.00M,5.00M,17.00M,-14.00M,102.00M,-14.00M,511.00M,153.00M,358.00M,,-20.00M,335.20M,633.00M,105.00M,528.00M,,,,,1.815,1.83,1.83,,,1.83,,2014-03,184.30M,184.70M,0.625,,2014-03,AOR,Restated
2013-12,4.588B,4.588B,3.451B,1.137B,473.00M,181.00M,3.00M,11.00M,-4.00M,19.00M,42.00M,21.00M,-4.00M,653.00M,484.00M,42.00M,19.00M,21.00M,42.00M,21.00M,547.00M,86.00M,461.00M,,-29.00M,438.74M,668.00M,102.00M,566.00M,,,,,2.356,2.32,2.31,,,2.31,,2013-12,185.78M,186.27M,0.625,,2013-12,AOR,Restated
2013-09,4.266B,4.266B,3.185B,1.081B,464.00M,173.00M,3.00M,1.00M,-2.00M,8.00M,6.00M,-5.00M,-1.00M,639.00M,442.00M,6.00M,8.00M,-5.00M,91.00M,-5.00M,528.00M,154.00M,374.00M,,-19.00M,359.25M,641.00M,105.00M,536.00M,,,,,1.933,1.91,1.90,,,1.90,,2013-09,186.00M,186.50M,0.625,,2013-09,AOR,Restated
2013-06,4.525B,4.525B,3.372B,1.153B,484.00M,177.00M,3.00M,2.00M,-9.00M,8.00M,10.00M,-1.00M,-15.00M,649.00M,504.00M,10.00M,8.00M,-1.00M,110.00M,-1.00M,613.00M,172.00M,441.00M,,-27.00M,423.35M,723.00M,102.00M,621.00M,,,,,2.250,2.20,2.20,,,2.20,,2013-06,187.80M,188.20M,0.50,,2013-06,AOR,Restated
2013-03,3.922B,3.922B,2.965B,957.00M,444.00M,182.00M,2.00M,,4.00M,6.00M,5.00M,-3.00M,-4.00M,624.00M,333.00M,5.00M,6.00M,-3.00M,101.00M,-3.00M,431.00M,119.00M,312.00M,,-30.00M,276.93M,535.00M,98.00M,437.00M,,,,,1.473,1.50,1.49,,,1.49,,2013-03,188.40M,188.80M,0.50,,2013-03,AOR,Restated
2012-12,4.292B,4.292B,3.326B,966.00M,390.00M,174.00M,3.00M,,-7.00M,7.00M,42.00M,32.00M,-7.00M,560.00M,406.00M,42.00M,7.00M,32.00M,36.00M,32.00M,473.00M,75.00M,398.00M,,-29.00M,374.89M,579.00M,99.00M,480.00M,,,,,1.991,1.96,1.95,,,1.95,,2012-12,188.35M,188.67M,0.50,,2012-12,AOR,Restated
2012-09,4.118B,4.118B,3.076B,1.042B,456.00M,186.00M,2.00M,,-7.00M,9.00M,5.00M,-8.00M,-1.00M,643.00M,399.00M,5.00M,9.00M,-8.00M,96.00M,-8.00M,487.00M,117.00M,370.00M,,-18.00M,361.11M,587.00M,91.00M,496.00M,,,,,1.918,1.87,1.86,,,1.86,,2012-09,188.60M,189.00M,0.50,,2012-09,AOR,Restated
2012-06,4.452B,4.452B,3.242B,1.21B,487.00M,187.00M,2.00M,,10.00M,8.00M,7.00M,-5.00M,-4.00M,672.00M,538.00M,7.00M,8.00M,-5.00M,128.00M,-5.00M,661.00M,166.00M,495.00M,,-26.00M,455.52M,755.00M,86.00M,669.00M,,,,,2.399,2.47,2.47,,,2.47,,2012-06,189.80M,190.10M,0.40,,2012-06,AOR,Restated
2012-03,4.472B,4.472B,3.274B,1.198B,475.00M,181.00M,1.00M,,7.00M,8.00M,8.00M,-4.00M,-2.00M,655.00M,543.00M,8.00M,8.00M,-4.00M,111.00M,-4.00M,650.00M,175.00M,475.00M,,-20.00M,450.61M,743.00M,85.00M,658.00M,,,,,2.367,2.39,2.38,,,2.38,,2012-03,190.40M,190.80M,0.40,,2012-03,AOR,Restated
2011-12,4.921B,4.921B,3.68B,1.241B,496.00M,179.00M,,,-209.00M,10.00M,50.00M,24.00M,,677.00M,564.00M,50.00M,10.00M,24.00M,170.00M,24.00M,758.00M,186.00M,572.00M,,-24.00M,705.72M,850.00M,82.00M,768.00M,,,,,3.698,2.87,2.86,,,2.86,,2011-12,190.49M,191.19M,0.40,,2011-12,AOR,Restated
2011-09,4.626B,4.626B,3.438B,1.188B,489.00M,164.00M,,,96.00M,11.00M,9.00M,-2.00M,,653.00M,535.00M,9.00M,11.00M,-2.00M,96.00M,-2.00M,629.00M,157.00M,472.00M,,-20.00M,379.96M,724.00M,84.00M,640.00M,,0.00,,,1.975,2.35,2.35,0.00,,2.35,,2011-09,192.10M,192.70M,0.40,,2011-09,AOR,Restated
2011-06,4.641B,4.641B,3.438B,1.203B,463.00M,157.00M,,,182.00M,13.00M,10.00M,-3.00M,,620.00M,583.00M,10.00M,13.00M,-3.00M,182.00M,-3.00M,762.00M,225.00M,537.00M,,-32.00M,376.74M,855.00M,80.00M,775.00M,,0.00,,,1.948,2.61,2.60,0.00,,2.60,,2011-06,193.80M,194.40M,0.2625,,2011-06,AOR,Restated
2011-03,3.86B,3.86B,2.903B,957.00M,389.00M,129.00M,,,87.00M,10.00M,6.00M,-4.00M,,518.00M,439.00M,6.00M,10.00M,-4.00M,87.00M,-4.00M,522.00M,157.00M,365.00M,,-22.00M,282.17M,611.00M,79.00M,532.00M,,0.00,,,1.439,1.75,1.75,0.00,,1.75,,2011-03,195.50M,196.10M,0.2625,,2011-03,AOR,Restated
2010-12,4.139B,4.139B,3.155B,984.00M,423.00M,123.00M,,,-273.00M,11.00M,7.00M,-4.00M,,562.00M,422.00M,7.00M,11.00M,-4.00M,112.00M,-4.00M,530.00M,139.00M,391.00M,,-29.00M,563.40M,622.00M,81.00M,541.00M,,,,,2.879,1.85,1.85,,,1.85,,2010-12,195.80M,196.39M,0.2625,,2010-12,AOR,Restated
2010-09,3.401B,3.401B,2.571B,830.00M,375.00M,103.00M,,,91.00M,11.00M,6.00M,-5.00M,,478.00M,352.00M,6.00M,11.00M,-5.00M,91.00M,-5.00M,438.00M,129.00M,309.00M,,-26.00M,218.80M,527.00M,78.00M,449.00M,,0.00,,,1.122,1.45,1.44,0.00,,1.44,,2010-09,195.80M,196.30M,0.2625,,2010-09,AOR,
2010-06,3.208B,3.208B,2.455B,753.00M,354.00M,96.00M,,,-93.00M,9.00M,5.00M,-4.00M,,450.00M,303.00M,5.00M,9.00M,-4.00M,-93.00M,-4.00M,392.00M,122.00M,270.00M,,-24.00M,310.06M,483.00M,82.00M,401.00M,,0.00,,,1.575,1.25,1.25,0.00,,1.25,,2010-06,196.90M,197.30M,0.175,,2010-06,AOR,Restated
2010-03,2.478B,2.478B,1.877B,601.00M,335.00M,92.00M,,,-55.00M,9.00M,3.00M,-6.00M,,427.00M,174.00M,3.00M,9.00M,-6.00M,-55.00M,-6.00M,257.00M,87.00M,170.00M,,-21.00M,185.38M,345.00M,79.00M,266.00M,,0.00,,,0.9334,0.75,0.75,0.00,,0.75,,2010-03,198.40M,198.70M,0.175,,2010-03,AOR,Restated
2009-12,3.40B,3.40B,2.627B,773.00M,348.00M,108.00M,,,57.00M,9.00M,3.00M,-6.00M,,450.00M,323.00M,3.00M,9.00M,-6.00M,57.00M,-6.00M,374.00M,84.00M,290.00M,,-20.00M,225.80M,471.00M,88.00M,383.00M,,0.00,,,1.147,1.37,1.36,0.00,,1.36,,2009-12,198.48M,198.58M,0.175,,2009-12,AOR,Restated
2009-09,2.53B,2.53B,2.027B,503.00M,304.00M,90.00M,,,41.00M,9.00M,2.00M,-7.00M,-3.00M,391.00M,112.00M,2.00M,9.00M,-7.00M,41.00M,-7.00M,146.00M,36.00M,110.00M,,-15.00M,64.11M,239.00M,84.00M,155.00M,,0.00,,,0.3235,0.48,0.48,0.00,,0.48,,2009-09,197.40M,197.80M,0.175,,2009-09,AOR,Restated
2009-06,2.431B,2.431B,1.983B,448.00M,287.00M,79.00M,,,-20.00M,10.00M,1.00M,-9.00M,46.00M,412.00M,36.00M,1.00M,10.00M,-9.00M,-20.00M,-9.00M,99.00M,29.00M,70.00M,,-14.00M,70.14M,187.00M,78.00M,109.00M,,0.00,,,0.3517,0.28,0.28,0.00,,0.28,,2009-06,197.10M,197.40M,0.175,,2009-06,AOR,Restated
2009-03,2.439B,2.439B,1.994B,445.00M,300.00M,85.00M,,,-36.00M,7.00M,2.00M,-5.00M,-2.00M,383.00M,62.00M,2.00M,7.00M,-5.00M,-36.00M,-5.00M,21.00M,7.00M,14.00M,,-7.00M,31.00M,104.00M,76.00M,28.00M,,0.00,,,0.1620,0.04,0.04,0.00,,0.04,,2009-03,196.80M,197.00M,0.175,,2009-03,AOR,Restated
2008-12,3.288B,3.288B,2.754B,534.00M,335.00M,102.00M,,,157.00M,,,,,636.00M,-102.00M,,,,-45.00M,,47.00M,-12.00M,106.00M,,-16.00M,-59.05M,131.00M,81.00M,50.00M,,0.00,,,-0.3046,0.22,0.22,0.00,,0.22,,2008-12,194.53M,196.62M,0.175,,2008-12,AOR,Restated
2008-09,3.693B,3.693B,2.873B,820.00M,388.00M,113.00M,,,-9.00M,,,,-64.00M,437.00M,383.00M,,,,57.00M,,370.00M,123.00M,229.00M,,-18.00M,235.01M,458.00M,75.00M,383.00M,,0.00,,,1.211,1.18,1.17,0.00,,1.17,,2008-09,194.90M,196.50M,0.175,,2008-09,,
2008-06,3.887B,3.887B,3.008B,879.00M,370.00M,104.00M,,,-3.00M,12.00M,4.00M,-8.00M,63.00M,537.00M,342.00M,4.00M,12.00M,-8.00M,-3.00M,-8.00M,457.00M,147.00M,310.00M,,-17.00M,295.04M,552.00M,83.00M,469.00M,,0.00,,,1.510,1.50,1.49,0.00,,1.49,,2008-06,195.20M,196.60M,0.125,,2008-06,,Restated
2008-03,3.474B,3.474B,2.767B,707.00M,351.00M,103.00M,,,-10.00M,11.00M,6.00M,-5.00M,-66.00M,388.00M,319.00M,6.00M,11.00M,-5.00M,-10.00M,-5.00M,304.00M,102.00M,202.00M,,-12.00M,196.64M,390.00M,75.00M,315.00M,,0.00,,,1.004,0.97,0.97,0.00,,0.97,,2008-03,195.10M,196.40M,0.125,,2008-03,,Restated
2007-12,3.516B,3.516B,2.834B,682.00M,359.00M,93.00M,,,26.00M,,,,-75.00M,377.00M,305.00M,,,,85.00M,,310.00M,97.00M,198.00M,,-15.00M,180.14M,380.00M,75.00M,305.00M,,0.00,,,0.9142,1.005,1.005,0.00,,1.005,,2007-12,196.83M,196.83M,0.125,,2007-12,,
2007-09,3.372B,3.372B,2.72B,652.00M,340.00M,82.00M,,,7.00M,,,,-59.00M,363.00M,289.00M,,,,65.00M,,292.00M,97.00M,184.00M,,-11.00M,179.33M,362.00M,73.00M,289.00M,,0.00,,,0.9064,0.93,0.92,0.00,,0.92,,2007-09,197.85M,200.00M,0.125,,2007-09,,
2007-06,3.343B,3.343B,2.673B,670.00M,314.00M,74.00M,,,15.00M,,,,-59.00M,329.00M,341.00M,,,,65.00M,,340.00M,112.00M,214.00M,,-14.00M,203.94M,415.00M,74.00M,341.00M,,0.00,,,1.020,1.07,1.06,0.00,,1.06,,2007-06,199.90M,201.30M,0.09,,2007-06,,
2007-03,2.817B,2.817B,2.265B,552.00M,283.00M,80.00M,,,7.00M,,,,-34.00M,329.00M,223.00M,,,,43.00M,,227.00M,75.00M,143.00M,,-9.00M,138.31M,291.00M,68.00M,223.00M,,0.00,,,0.6916,0.715,0.71,0.00,,0.71,,2007-03,200.00M,201.41M,0.09,,2007-03,,
2006-12,3.033B,3.033B,2.267B,766.00M,430.00M,78.00M,,,-4.00M,,,,-38.00M,470.00M,296.00M,,,,31.00M,,283.00M,80.00M,189.00M,,-14.00M,191.87M,370.00M,74.00M,296.00M,,0.00,,,0.9593,0.945,0.9375,0.00,,0.9375,,2006-12,200.09M,201.63M,0.09,,2006-12,,
2006-09,2.809B,2.809B,2.192B,617.00M,291.00M,81.00M,,,,,,,-33.00M,339.00M,278.00M,,,,37.00M,,273.00M,92.00M,171.00M,,-10.00M,171.00M,352.00M,74.00M,278.00M,,0.00,,,0.85,0.85,0.845,0.00,,0.845,,2006-09,201.18M,202.37M,0.09,,2006-09,,
2006-06,2.842B,2.842B,2.196B,646.00M,294.00M,80.00M,,,9.00M,,,,-37.00M,337.00M,309.00M,,,,43.00M,,299.00M,67.00M,220.00M,,-12.00M,213.02M,383.00M,74.00M,309.00M,,0.00,,,1.162,1.20,1.095,0.00,,1.095,,2006-06,183.33M,200.91M,0.075,,2006-06,,
2006-03,2.678B,2.678B,2.079B,599.00M,301.00M,82.00M,,,4.00M,,,,-32.00M,351.00M,248.00M,,,,30.00M,,228.00M,85.00M,135.00M,,-8.00M,132.49M,322.00M,74.00M,248.00M,,0.00,,,0.7458,0.76,0.675,0.00,,0.675,,2006-03,177.20M,204.00M,0.075,,2006-03,,
2005-12,2.753B,2.753B,2.134B,619.00M,313.00M,71.00M,,,-27.00M,,,,,384.00M,235.00M,,,,10.00M,,243.00M,63.00M,167.00M,,-13.00M,187.00M,313.00M,78.00M,235.00M,,0.00,,,1.050,0.9375,0.8275,0.00,,0.8275,,2005-12,178.47M,202.39M,0.075,,2005-12,,
2005-09,2.467B,2.467B,1.906B,561.00M,286.00M,71.00M,,,8.00M,,,,,357.00M,204.00M,,,,36.00M,,213.00M,61.00M,145.00M,,-7.00M,139.29M,276.00M,72.00M,204.00M,,0.00,,,0.7853,0.8175,0.725,0.00,,0.725,,2005-09,177.37M,200.00M,0.075,,2005-09,,
2005-06,2.49B,2.49B,1.94B,550.00M,287.00M,73.00M,,,10.00M,,,,-41.00M,319.00M,231.00M,,,,45.00M,,207.00M,58.00M,141.00M,,-8.00M,133.80M,304.00M,73.00M,231.00M,,0.00,,,0.7592,0.80,0.7075,0.00,,0.7075,,2005-06,176.25M,199.29M,0.075,,2005-06,,
2005-03,2.208B,2.208B,1.752B,456.00M,259.00M,63.00M,,,-10.00M,,,,-34.00M,288.00M,168.00M,,,,24.00M,,135.00M,34.00M,97.00M,,-4.00M,104.48M,239.00M,71.00M,168.00M,,0.00,,,0.5926,0.55,0.49,0.00,,0.49,,2005-03,175.60M,203.20M,0.075,,2005-03,,
2004-12,2.349B,2.349B,1.876B,473.00M,281.00M,66.00M,,,9.00M,,,,,347.00M,126.00M,,,,47.00M,,142.00M,12.00M,119.00M,,-11.00M,110.76M,198.00M,72.00M,126.00M,,0.00,,,0.6427,0.69,0.61,0.00,,0.61,,2004-12,174.34M,197.78M,0.075,,2004-12,,
2004-09,2.194B,2.194B,1.76B,434.00M,260.00M,60.00M,,,8.00M,,,,,320.00M,114.00M,,,,34.00M,,118.00M,-4.00M,116.00M,,-6.00M,111.20M,183.00M,69.00M,114.00M,,0.00,,,0.6495,0.6775,0.60,0.00,,0.60,,2004-09,171.22M,193.33M,0.075,,2004-09,,
2004-06,2.124B,2.124B,1.696B,428.00M,251.00M,59.00M,,,1.00M,,,,,310.00M,118.00M,,,,30.00M,,121.00M,34.00M,82.00M,,-5.00M,81.28M,185.00M,67.00M,118.00M,,0.00,,,0.4882,0.4925,0.44,0.00,,0.44,,2004-06,166.50M,186.36M,0.075,,2004-06,,
