,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2016-03,513.00M,,88.00M,88.00M,,,290.00M,290.00M,26.00M,,,,,,-282.00M,-21.00M,313.00M,4.00M,,685.00M,981.00M,,2016-03,-449.00M,,-11.00M,,274.00M,,-175.00M,2016-03,-56.00M,,-56.00M,,-500.00M,-500.00M,-96.00M,-96.00M,11.00M,5.00M,-636.00M,2016-03,1.583B,805.00M,2.388B,2016-03,,,-56.00M,-500.00M,73.00M,27.00M,2016-03,AOR,Restated
2015-12,536.00M,,-59.00M,-59.00M,,,264.00M,264.00M,-69.00M,,,,,,-423.00M,-2.00M,537.00M,63.00M,,-523.00M,75.00M,,2015-12,-836.00M,,-26.00M,,-112.00M,2.00M,-946.00M,2015-12,457.00M,,457.00M,,0.00,0.00,0.00,0.00,16.00M,-8.00M,465.00M,2015-12,1.74B,-157.00M,1.583B,2015-12,,,-43.00M,0.00,465.00M,19.00M,2015-12,AOR,Restated
2015-09,584.00M,,87.00M,87.00M,,,257.00M,257.00M,-83.00M,,,,,,-128.00M,4.00M,381.00M,34.00M,,-301.00M,118.00M,,2015-09,-262.00M,,-32.00M,,3.00M,0.00,-259.00M,2015-09,-78.00M,,-78.00M,,-500.00M,-500.00M,-49.00M,-49.00M,9.00M,10.00M,-608.00M,2015-09,1.772B,-32.00M,1.74B,2015-09,,,-78.00M,-500.00M,409.00M,33.00M,2015-09,AOR,Restated
2015-06,608.00M,,74.00M,74.00M,,,250.00M,250.00M,24.00M,,0.00,,,,-429.00M,40.00M,-134.00M,-7.00M,,201.00M,100.00M,,2015-06,-450.00M,,-22.00M,,53.00M,-9.00M,-406.00M,2015-06,-41.00M,,-41.00M,,-380.00M,-380.00M,-50.00M,-50.00M,8.00M,-11.00M,-474.00M,2015-06,2.025B,-253.00M,1.772B,2015-06,,,-41.00M,-380.00M,455.00M,21.00M,2015-06,AOR,Restated
2015-03,453.00M,,11.00M,11.00M,,,244.00M,244.00M,19.00M,,,,,,-52.00M,-130.00M,177.00M,13.00M,,717.00M,777.00M,,2015-03,-595.00M,,-22.00M,,293.00M,,-302.00M,2015-03,-51.00M,,-51.00M,,-300.00M,-300.00M,-81.00M,-81.00M,13.00M,12.00M,-407.00M,2015-03,1.282B,743.00M,2.025B,2015-03,,,-51.00M,-300.00M,111.00M,32.00M,2015-03,AOR,Restated
2014-12,190.00M,,283.00M,283.00M,,,251.00M,251.00M,29.00M,,,,,,-477.00M,137.00M,122.00M,149.00M,,-480.00M,-72.00M,,2014-12,-488.00M,,-22.00M,,22.00M,-2.00M,-468.00M,2014-12,-94.00M,,-94.00M,,-200.00M,-200.00M,-1.00M,-1.00M,14.00M,-5.00M,-286.00M,2014-12,1.832B,-550.00M,1.282B,2014-12,,,-394.00M,-200.00M,11.00M,26.00M,2014-12,AOR,Restated
2014-09,329.00M,,63.00M,63.00M,,,238.00M,238.00M,391.00M,,,,,,-124.00M,-22.00M,-534.00M,7.00M,,-108.00M,-657.00M,,2014-09,-433.00M,,-27.00M,,390.00M,-1.00M,-44.00M,2014-09,-48.00M,,-48.00M,,-200.00M,-200.00M,-41.00M,-41.00M,23.00M,20.00M,-246.00M,2014-09,1.882B,-50.00M,1.832B,2014-09,,,-48.00M,-200.00M,132.00M,35.00M,2014-09,AOR,Restated
2014-06,465.00M,,-7.00M,-7.00M,,,228.00M,228.00M,-11.00M,,,,,,97.00M,11.00M,424.00M,-21.00M,,153.00M,567.00M,,2014-06,-500.00M,,-19.00M,,-356.00M,-1.00M,-857.00M,2014-06,-73.00M,,-73.00M,,-240.00M,-240.00M,-41.00M,-41.00M,24.00M,-11.00M,-341.00M,2014-06,1.741B,141.00M,1.882B,2014-06,,,-73.00M,-240.00M,12.00M,33.00M,2014-06,AOR,Restated
2014-03,152.00M,,-60.00M,-60.00M,,,221.00M,221.00M,92.00M,,,,,,-6.00M,-72.00M,24.00M,7.00M,,761.00M,720.00M,,2014-03,-407.00M,,-12.00M,,49.00M,,-358.00M,2014-03,-46.00M,,-46.00M,,-315.00M,-315.00M,-56.00M,-56.00M,49.00M,-7.00M,-375.00M,2014-03,1.355B,386.00M,1.741B,2014-03,,,-46.00M,-315.00M,0.00,34.00M,2014-03,AOR,Restated
2013-12,212.00M,,19.00M,19.00M,,,224.00M,224.00M,-2.00M,,,,,,-5.00M,57.00M,158.00M,37.00M,,-411.00M,-159.00M,,2013-12,-452.00M,,,,198.00M,,-254.00M,2013-12,-46.00M,,-46.00M,,-39.00M,-39.00M,0.00,0.00,65.00M,7.00M,-13.00M,2013-12,1.333B,22.00M,1.355B,2013-12,,,-46.00M,-39.00M,199.00M,27.00M,2013-12,AOR,Restated
2013-09,259.00M,,-57.00M,-57.00M,,,221.00M,221.00M,29.00M,,,,,,160.00M,73.00M,-97.00M,-64.00M,,-96.00M,-184.00M,,2013-09,-268.00M,,,,-91.00M,,-359.00M,2013-09,-51.00M,,-51.00M,,-150.00M,-150.00M,-28.00M,-28.00M,12.00M,-8.00M,-225.00M,2013-09,1.489B,-156.00M,1.333B,2013-09,,,-51.00M,-150.00M,124.00M,39.00M,2013-09,AOR,Restated
2013-06,224.00M,,54.00M,54.00M,,,212.00M,212.00M,21.00M,,,,,,-52.00M,-50.00M,162.00M,6.00M,,200.00M,318.00M,,2013-06,-193.00M,,,,-106.00M,,-299.00M,2013-06,-52.00M,,-52.00M,,-251.00M,-251.00M,-28.00M,-28.00M,13.00M,-9.00M,-327.00M,2013-06,1.338B,151.00M,1.489B,2013-06,,,-52.00M,-251.00M,21.00M,25.00M,2013-06,AOR,Restated
2013-03,59.00M,,-21.00M,-21.00M,,,210.00M,210.00M,2.00M,,,,,,28.00M,-97.00M,120.00M,-25.00M,,707.00M,705.00M,,2013-03,-534.00M,,,,62.00M,,-472.00M,2013-03,-164.00M,,-164.00M,,-100.00M,-100.00M,-15.00M,-15.00M,6.00M,-13.00M,-286.00M,2013-03,1.113B,225.00M,1.338B,2013-03,,,-164.00M,-100.00M,2.00M,42.00M,2013-03,AOR,Restated
2012-12,78.00M,,-35.00M,-35.00M,,,224.00M,224.00M,131.00M,,,,,,-19.00M,74.00M,72.00M,60.00M,,-354.00M,-148.00M,,2012-12,-399.00M,,949.00M,,210.00M,,-189.00M,2012-12,-61.00M,,-61.00M,,-75.00M,-75.00M,0.00,0.00,5.00M,34.00M,-97.00M,2012-12,1.168B,-55.00M,1.113B,2012-12,,,-61.00M,-75.00M,3.00M,34.00M,2012-12,AOR,Restated
2012-09,16.00M,,-16.00M,-16.00M,,,217.00M,217.00M,82.00M,,,,,,432.00M,-2.00M,-187.00M,-74.00M,,-5.00M,-268.00M,,2012-09,-406.00M,,-406.00M,,136.00M,-6.00M,-276.00M,2012-09,-48.00M,,-48.00M,,-50.00M,-50.00M,-8.00M,-8.00M,5.00M,-1.00M,-102.00M,2012-09,1.083B,85.00M,1.168B,2012-09,,,-48.00M,-50.00M,2.00M,39.00M,2012-09,AOR,Restated
2012-06,229.00M,,63.00M,63.00M,,,202.00M,202.00M,24.00M,,,,,,-346.00M,-37.00M,76.00M,-39.00M,,-27.00M,-27.00M,,2012-06,-416.00M,,-416.00M,,54.00M,6.00M,-356.00M,2012-06,-38.00M,,-38.00M,,-225.00M,-225.00M,-7.00M,-7.00M,12.00M,-6.00M,-264.00M,2012-06,1.558B,-475.00M,1.083B,2012-06,,,-38.00M,-225.00M,94.00M,33.00M,2012-06,AOR,Restated
2012-03,98.00M,,-201.00M,-201.00M,,,201.00M,201.00M,14.00M,,,,,,287.00M,-68.00M,225.00M,-51.00M,,720.00M,826.00M,,2012-03,-127.00M,,-127.00M,,115.00M,,-12.00M,2012-03,-431.00M,,-431.00M,,-50.00M,-50.00M,-7.00M,-7.00M,5.00M,-1.00M,-484.00M,2012-03,829.00M,729.00M,1.558B,2012-03,,,-431.00M,-50.00M,1.00M,47.00M,2012-03,AOR,Restated
2011-12,152.00M,,,,,,192.00M,192.00M,90.00M,10.00M,,-274.00M,,,293.00M,70.00M,-13.00M,-196.00M,-485.00M,442.00M,-182.00M,,2011-12,-420.00M,,-420.00M,0.00,355.00M,,-65.00M,2011-12,-430.00M,,-430.00M,,-50.00M,-50.00M,,0.00,20.00M,-33.00M,-493.00M,2011-12,1.016B,-187.00M,829.00M,2011-12,,,-430.00M,-50.00M,13.00M,185.00M,2011-12,AOR,Restated
2011-09,-140.00M,,,,,,191.00M,191.00M,-90.00M,-3.00M,,393.00M,,,-210.00M,11.00M,-39.00M,138.00M,-91.00M,-251.00M,-232.00M,,2011-09,-276.00M,,-276.00M,0.00,139.00M,,-137.00M,2011-09,-48.00M,,-48.00M,-31.00M,-175.00M,-206.00M,,-4.00M,,33.00M,-225.00M,2011-09,1.595B,-579.00M,1.016B,2011-09,-31.00M,,-48.00M,-175.00M,,,2011-09,AOR,Restated
2011-06,161.00M,,,,,,177.00M,177.00M,95.00M,-4.00M,,-129.00M,,,-325.00M,-20.00M,67.00M,-46.00M,64.00M,71.00M,136.00M,,2011-06,-215.00M,,-215.00M,-35.00M,-339.00M,,-589.00M,2011-06,-113.00M,,-113.00M,31.00M,0.00,31.00M,,-3.00M,-4.00M,-3.00M,-92.00M,2011-06,2.039B,-444.00M,1.595B,2011-06,31.00M,,-113.00M,0.00,,-34.00M,2011-06,AOR,Restated
2011-03,5.00M,,,,,,155.00M,155.00M,28.00M,-3.00M,,10.00M,,,199.00M,-87.00M,238.00M,-92.00M,512.00M,,571.00M,,2011-03,-57.00M,,-57.00M,,-174.00M,,-231.00M,2011-03,-30.00M,,-30.00M,,0.00,0.00,,-7.00M,4.00M,77.00M,44.00M,2011-03,1.261B,778.00M,2.039B,2011-03,,,-30.00M,0.00,0.00,34.00M,2011-03,AOR,Restated
2010-12,131.00M,,,,,,159.00M,159.00M,37.00M,10.00M,,-171.00M,,,148.00M,40.00M,4.00M,-2.00M,-379.00M,,-184.00M,,2010-12,-95.00M,,-95.00M,0.00,75.00M,,-20.00M,2010-12,-76.00M,44.00M,-32.00M,,0.00,0.00,,0.00,,-42.00M,-19.00M,2010-12,1.031B,230.00M,1.261B,2010-12,,,-32.00M,0.00,,,2010-12,AOR,Restated
2010-09,205.00M,,,,,,161.00M,161.00M,21.00M,-3.00M,,-16.00M,,,30.00M,42.00M,-6.00M,8.00M,-63.00M,,-19.00M,,2010-09,-100.00M,,-100.00M,0.00,-213.00M,,-313.00M,2010-09,-38.00M,0.00,-38.00M,-35.00M,0.00,-35.00M,,-3.00M,,52.00M,-24.00M,2010-09,989.00M,42.00M,1.031B,2010-09,-35.00M,,-38.00M,0.00,,,2010-09,AOR,Restated
2010-06,112.00M,,,,,,154.00M,154.00M,63.00M,-4.00M,,166.00M,,,-280.00M,-41.00M,280.00M,4.00M,86.00M,,329.00M,,2010-06,-159.00M,,-159.00M,0.00,-451.00M,,-610.00M,2010-06,-25.00M,-44.00M,-69.00M,23.00M,,23.00M,,-3.00M,,-2.00M,-51.00M,2010-06,1.11B,-121.00M,989.00M,2010-06,23.00M,,-69.00M,,,,2010-06,AOR,Restated
2010-03,11.00M,,,,,,154.00M,154.00M,12.00M,-3.00M,,21.00M,,,-8.00M,-67.00M,-85.00M,-18.00M,356.00M,,186.00M,,2010-03,-139.00M,,-139.00M,,-183.00M,,-322.00M,2010-03,-60.00M,,-60.00M,12.00M,,12.00M,,-7.00M,,,-55.00M,2010-03,1.114B,-4.00M,1.11B,2010-03,12.00M,,-60.00M,,,,2010-03,AOR,Restated
2009-12,115.00M,,,185.00M,,,154.00M,154.00M,69.00M,-1.00M,,14.00M,,,-11.00M,56.00M,101.00M,-20.00M,-170.00M,,-33.00M,,2009-12,-114.00M,,-114.00M,,-144.00M,1.00M,-257.00M,2009-12,-520.00M,491.00M,-29.00M,,,,,0.00,9.00M,-3.00M,-23.00M,2009-12,902.00M,212.00M,1.114B,2009-12,,-1.00M,-28.00M,,1.00M,43.00M,2009-12,AOR,Restated
2009-09,-16.00M,,,0.00,,,162.00M,162.00M,8.00M,-4.00M,,,,,39.00M,12.00M,-146.00M,11.00M,7.00M,,-116.00M,,2009-09,-199.00M,,-199.00M,,-99.00M,0.00,-298.00M,2009-09,501.00M,-317.00M,184.00M,,,,,-3.00M,3.00M,-3.00M,181.00M,2009-09,946.00M,-44.00M,902.00M,2009-09,,207.00M,-23.00M,,0.00,31.00M,2009-09,AOR,Restated
2009-06,91.00M,,,-185.00M,,,150.00M,150.00M,16.00M,-4.00M,,-70.00M,-3.00M,-3.00M,56.00M,-6.00M,104.00M,-28.00M,-44.00M,60.00M,86.00M,,2009-06,-187.00M,,-187.00M,,-190.00M,1.00M,-376.00M,2009-06,-74.00M,-91.00M,-165.00M,,,,,-3.00M,4.00M,207.00M,43.00M,2009-06,1.145B,-199.00M,946.00M,2009-06,,332.00M,-497.00M,,3.00M,42.00M,2009-06,AOR,Restated
2009-03,-91.00M,,,,,,150.00M,150.00M,-21.00M,-3.00M,,70.00M,3.00M,3.00M,-41.00M,-22.00M,0.00,10.00M,288.00M,-60.00M,216.00M,,2009-03,-85.00M,,-85.00M,,-553.00M,,-638.00M,2009-03,-35.00M,,-35.00M,,,,,-7.00M,4.00M,167.00M,129.00M,2009-03,1.368B,-223.00M,1.145B,2009-03,,,-35.00M,,1.00M,36.00M,2009-03,AOR,Restated
2008-12,-56.00M,,,,,,154.00M,154.00M,-25.00M,-3.00M,,189.00M,-7.00M,0.00,49.00M,176.00M,-52.00M,77.00M,-312.00M,-2.735B,-2.846B,,2008-12,-158.00M,,-158.00M,,616.00M,,458.00M,2008-12,786.00M,91.00M,877.00M,,0.00,0.00,,0.00,,71.00M,1.065B,2008-12,2.39B,-1.022B,1.368B,2008-12,,891.00M,-14.00M,0.00,1.00M,20.00M,2008-12,AOR,Restated
2008-09,-121.00M,,,,,,152.00M,152.00M,-48.00M,-3.00M,,17.00M,16.00M,-3.00M,47.00M,62.00M,-379.00M,-48.00M,-28.00M,-1.94B,-2.333B,,2008-09,-178.00M,,-178.00M,,131.00M,,-47.00M,2008-09,-16.00M,0.00,-16.00M,,0.00,0.00,,-3.00M,,79.00M,60.00M,2008-09,4.653B,-2.263B,2.39B,2008-09,,0.00,-16.00M,0.00,57.00M,39.00M,2008-09,AOR,Restated
2008-06,321.00M,,,,,,148.00M,148.00M,134.00M,-3.00M,,,4.00M,3.00M,-731.00M,-97.00M,287.00M,-270.00M,105.00M,2.435B,2.46B,,2008-06,-223.00M,,-223.00M,,-1.04B,,-1.263B,2008-06,594.00M,0.00,594.00M,,0.00,0.00,,-3.00M,,7.00M,598.00M,2008-06,2.982B,1.671B,4.653B,2008-06,,600.00M,-6.00M,0.00,7.00M,16.00M,2008-06,AOR,Restated
2008-03,34.00M,,,,,,145.00M,145.00M,-5.00M,-3.00M,,,5.00M,,325.00M,-70.00M,46.00M,220.00M,267.00M,,463.00M,,2008-03,-364.00M,,-364.00M,,238.00M,,-126.00M,2008-03,-19.00M,,-19.00M,,-54.00M,-54.00M,,-7.00M,,11.00M,-69.00M,2008-03,2.213B,769.00M,2.982B,2008-03,,,-19.00M,-54.00M,6.00M,25.00M,2008-03,AOR,Restated
2007-12,112.00M,,,,,,144.00M,144.00M,56.00M,-3.00M,,,37.00M,-28.00M,-18.00M,47.00M,923.00M,-11.00M,-165.00M,,794.00M,,2007-12,-350.00M,,-350.00M,,-60.00M,,-410.00M,2007-12,494.00M,,494.00M,,0.00,0.00,,0.00,-128.00M,113.00M,479.00M,2007-12,1.05B,1.163B,2.213B,2007-12,,500.00M,-6.00M,0.00,22.00M,-50.00M,2007-12,AOR,Restated
2007-09,162.00M,,,,,,139.00M,139.00M,105.00M,-4.00M,,,-26.00M,29.00M,-6.00M,-5.00M,-144.00M,-70.00M,-26.00M,,-245.00M,,2007-09,-318.00M,,-318.00M,,3.00M,,-315.00M,2007-09,-101.00M,,-101.00M,,-327.00M,-327.00M,,-3.00M,128.00M,-91.00M,-394.00M,2007-09,1.605B,-555.00M,1.05B,2007-09,,0.00,-101.00M,-327.00M,72.00M,50.00M,2007-09,AOR,Restated
2007-06,278.00M,,,,-139.00M,4.00M,137.00M,137.00M,125.00M,-7.00M,,,26.00M,-29.00M,26.00M,-43.00M,447.00M,-92.00M,322.00M,-210.00M,424.00M,,2007-06,-338.00M,,-338.00M,,-195.00M,,-533.00M,2007-06,-6.00M,,-6.00M,-78.00M,-465.00M,-543.00M,,-4.00M,,93.00M,-460.00M,2007-06,1.618B,-13.00M,1.605B,2007-06,-78.00M,0.00,-6.00M,-465.00M,,,2007-06,AOR,Restated
