,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,751.94M,751.94M,313.28M,438.66M,158.99M,54.53M,8.243M,,6.842M,0.117M,-6.725M,,221.76M,216.90M,0.117M,6.842M,-6.725M,5.683M,-6.725M,215.85M,37.48M,178.37M,178.37M,178.37M,272.58M,49.89M,222.70M,1.23,,,1.23,1.23,1.22,,,1.22,1.22,144.90M,146.10M,0.39
2020-06,770.34M,770.34M,320.97M,449.37M,165.38M,52.52M,8.22M,-14.52M,9.197M,0.255M,-8.942M,,226.13M,223.25M,0.255M,9.197M,-8.942M,-2.211M,-8.942M,212.09M,34.26M,177.84M,177.84M,190.01M,266.80M,45.51M,221.29M,1.23,,,1.314,1.23,1.22,,,1.3030000000000002,1.22,145.02M,146.14M,0.39
2020-03,769.46M,769.46M,319.79M,449.66M,172.44M,51.45M,8.272M,0.00,9.968M,0.116M,-9.852M,,232.16M,217.50M,0.116M,9.968M,-9.852M,-15.99M,-9.852M,191.66M,28.52M,163.14M,163.14M,163.14M,248.09M,46.46M,201.62M,1.13,,,1.13,1.13,1.12,,,1.12,1.12,144.64M,145.68M,0.39
2019-12,736.16M,736.16M,309.03M,427.13M,171.42M,49.94M,8.556M,0.60M,10.22M,0.202M,-10.02M,,229.92M,197.21M,0.202M,10.22M,-10.02M,-8.439M,-10.02M,178.75M,18.20M,160.55M,160.55M,160.02M,234.46M,45.48M,188.97M,1.11,,,1.1059999999999999,1.11,1.1,,,1.0959999999999999,1.1,144.21M,145.58M,0.39
2019-09,681.06M,681.06M,289.44M,391.62M,167.44M,48.03M,5.044M,,10.99M,0.449M,-10.54M,,220.52M,171.10M,0.449M,10.99M,-10.54M,-9.972M,-10.54M,150.59M,30.44M,120.15M,120.15M,120.15M,205.50M,43.92M,161.58M,0.84,,,0.84,0.84,0.83,,,0.83,0.83,143.72M,145.10M,0.39
2019-06,704.96M,704.96M,302.53M,402.43M,171.60M,51.14M,8.018M,-65.61M,12.55M,0.285M,-12.26M,,230.76M,171.68M,0.285M,12.55M,-12.26M,-63.65M,-12.26M,95.76M,26.96M,68.80M,68.80M,115.94M,150.90M,42.59M,108.31M,0.48,,,0.808,0.48,0.48,,,0.8053,0.48,143.72M,144.90M,0.37
2019-03,662.23M,662.23M,281.26M,380.97M,164.53M,47.61M,11.85M,0.00,12.41M,0.415M,-12.00M,,223.99M,156.98M,0.415M,12.41M,-12.00M,-7.05M,-12.00M,137.93M,32.51M,105.42M,105.42M,105.42M,192.09M,41.75M,150.34M,0.74,,,0.74,0.74,0.73,,,0.73,0.73,143.32M,144.33M,0.37
2018-12,651.10M,651.10M,276.57M,374.53M,161.58M,43.11M,6.641M,-6.123M,7.487M,0.678M,-6.809M,,211.33M,163.20M,0.678M,7.487M,-6.809M,-10.12M,-6.809M,146.27M,21.63M,124.64M,124.64M,129.86M,189.79M,36.03M,153.76M,0.87,,,0.9065,0.87,0.86,,,0.8961,0.86,142.92M,144.35M,0.37
2018-09,588.28M,588.28M,245.19M,343.09M,147.30M,38.79M,12.87M,,3.708M,0.922M,-2.786M,,198.96M,144.13M,0.922M,3.708M,-2.786M,-2.465M,-2.786M,138.88M,33.14M,105.74M,105.74M,105.74M,173.01M,30.42M,142.59M,0.74,,,0.74,0.74,0.73,,,0.73,0.73,142.67M,144.03M,0.37
2018-06,623.63M,623.63M,288.42M,335.21M,156.81M,39.66M,-15.66M,-19.10M,5.482M,2.701M,-2.781M,,180.81M,154.39M,2.701M,5.482M,-2.781M,-10.70M,-2.781M,140.92M,31.11M,109.81M,109.81M,124.70M,178.10M,31.70M,146.40M,0.77,,,0.8741,0.77,0.76,,,0.8632,0.76,142.99M,144.26M,0.35
