,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,2.570B,2.570B,1.933B,637.18M,226.06M,3.45M,1.652M,-1.728M,0.165M,0.835M,0.67M,,229.51M,407.68M,0.835M,0.165M,0.67M,0.824M,0.67M,409.17M,85.08M,324.09M,,,324.09M,325.46M,421.61M,12.27M,409.34M,,1.12,,,,1.125,1.12,,1.12,,,,1.125,1.12,,285.28M,286.65M,0.09,,AOR,Restated
2018-03,1.970B,1.970B,1.504B,466.39M,240.89M,3.45M,2.609M,-2.609M,0.143M,0.564M,0.421M,,244.34M,222.05M,0.564M,0.143M,0.421M,1.721M,0.421M,224.19M,53.44M,170.75M,,,170.75M,172.74M,236.22M,11.89M,224.33M,,0.59,,,,0.5969,0.59,,0.59,,,,0.5969,0.59,,286.68M,288.03M,0.09,,AOR,Restated
2017-12,2.795B,2.795B,2.181B,614.32M,201.61M,3.45M,1.97M,-1.97M,0.132M,0.62M,0.488M,,205.06M,409.26M,0.62M,0.132M,0.488M,-0.986M,0.488M,408.77M,331.35M,77.41M,,,77.41M,78.60M,421.21M,12.31M,408.90M,,0.26,,,,0.2640,0.26,,0.26,,,,0.2640,0.26,,292.00M,293.31M,0.09,,AOR,Restated
2017-09,2.131B,2.131B,1.619B,512.03M,237.50M,3.45M,2.68M,-2.68M,0.101M,0.485M,0.384M,,240.94M,271.08M,0.485M,0.101M,0.384M,-3.216M,0.384M,268.25M,90.71M,177.54M,,,177.54M,179.31M,281.02M,12.67M,268.35M,,0.59,,,,0.5959,0.59,,0.58,,,,0.5859,0.58,,298.54M,300.23M,0.09,,AOR,Restated
2017-06,2.022B,2.022B,1.666B,355.85M,216.21M,3.45M,5.063M,-5.063M,0.134M,0.599M,0.465M,,219.66M,136.18M,0.599M,0.134M,0.465M,-14.10M,0.465M,122.55M,21.80M,100.75M,,,100.75M,104.91M,135.50M,12.81M,122.68M,,0.32,,,,0.3333,0.32,,0.32,,,,0.3333,0.32,,312.32M,313.88M,0.09,,AOR,Restated
2017-03,1.630B,1.630B,1.249B,380.60M,236.27M,3.45M,1.655M,-1.655M,0.137M,0.833M,0.696M,,239.72M,140.89M,0.833M,0.137M,0.696M,-2.318M,0.696M,139.26M,47.75M,91.52M,,,91.52M,92.61M,152.61M,13.21M,139.40M,,0.29,,,,0.2934,0.29,,0.28,,,,0.2834,0.28,,317.76M,320.08M,0.09,,AOR,Restated
2016-12,2.501B,2.501B,1.865B,635.84M,207.65M,3.45M,4.161M,-4.161M,0.16M,0.577M,0.417M,,211.10M,424.74M,0.577M,0.16M,0.417M,-11.43M,0.417M,413.72M,140.55M,273.17M,,,273.17M,275.92M,427.67M,13.79M,413.88M,,0.83,,,,0.8384,0.83,,0.83,,,,0.8384,0.83,,325.84M,327.67M,0.09,,AOR,Restated
2016-09,1.943B,1.943B,1.456B,486.87M,250.91M,3.45M,2.541M,-2.541M,0.165M,0.887M,0.722M,,254.36M,232.50M,0.887M,0.165M,0.722M,-20.89M,0.722M,212.34M,83.86M,128.47M,,,128.47M,130.01M,226.01M,13.51M,212.50M,,0.37,,,,0.3745,0.37,,0.37,,,,0.3745,0.37,,340.17M,342.42M,0.09,,AOR,Restated
2016-06,1.800B,1.800B,1.341B,458.76M,256.27M,3.45M,7.414M,-7.414M,0.186M,0.849M,0.663M,,259.72M,199.04M,0.849M,0.186M,0.663M,-10.12M,0.663M,189.58M,71.82M,117.76M,,,117.76M,122.36M,203.36M,13.59M,189.77M,,0.34,,,,0.3533,0.34,,0.34,,,,0.3532,0.34,,345.24M,348.00M,0.09,,AOR,Restated
2016-03,1.433B,1.433B,1.066B,366.40M,242.32M,3.45M,3.041M,-3.041M,0.174M,0.923M,0.749M,,245.77M,120.64M,0.923M,0.174M,0.749M,-3.173M,0.749M,118.21M,34.91M,83.30M,,,83.30M,85.44M,131.50M,13.11M,118.39M,,0.24,,,,0.2462,0.24,,0.24,,,,0.2461,0.24,,347.82M,350.48M,0.09,,AOR,Restated
2015-12,2.062B,2.062B,1.351B,710.98M,343.94M,3.225M,1.388M,-1.388M,0.19M,0.649M,0.459M,,347.16M,363.82M,0.649M,0.19M,0.459M,9.041M,0.459M,373.32M,145.29M,228.03M,,,228.03M,228.88M,386.01M,12.50M,373.51M,,0.65,,,,0.6524,0.65,,0.64,,,,0.6424,0.64,,348.60M,351.64M,0.09,,AOR,Restated
2015-09,1.507B,1.507B,1.147B,359.97M,159.36M,3.225M,0.522M,-0.522M,0.203M,0.504M,0.301M,,162.59M,197.38M,0.504M,0.203M,0.301M,-18.41M,0.301M,179.28M,71.51M,107.77M,,,107.77M,108.08M,191.34M,11.87M,179.48M,,0.31,,,,0.3109,0.31,,0.30,,,,0.3009,0.30,,350.15M,353.37M,0.08,,AOR,Restated
2015-06,1.280B,1.280B,979.36M,300.93M,130.12M,3.225M,1.241M,-1.241M,0.208M,0.856M,0.648M,,133.34M,167.59M,0.856M,0.208M,0.648M,-0.609M,0.648M,167.63M,64.30M,103.32M,,,103.32M,104.09M,178.63M,10.79M,167.84M,,0.28,,,,0.2821,0.28,,0.28,,,,0.2821,0.28,,361.01M,364.24M,0.08,,AOR,Restated
2015-03,1.133B,1.133B,877.06M,256.23M,161.31M,3.225M,1.869M,-1.869M,0.187M,1.099M,0.912M,,164.54M,91.70M,1.099M,0.187M,0.912M,3.196M,0.912M,95.80M,40.83M,54.97M,,,54.97M,56.09M,107.05M,11.06M,95.99M,,0.15,,,,0.1531,0.15,,0.15,,,,0.1530,0.15,,366.75M,370.11M,0.08,,AOR,Restated
2014-12,1.823B,1.823B,1.204B,618.18M,339.60M,3.225M,1.556M,-1.556M,0.224M,1.201M,0.977M,,342.82M,275.36M,1.201M,0.224M,0.977M,-9.216M,0.977M,267.12M,50.03M,217.09M,,,217.09M,218.36M,278.34M,11.00M,267.34M,,0.58,,,,0.5836,0.58,,0.58,,,,0.5835,0.58,,353.22M,356.95M,0.08,,AOR,Restated
2014-09,1.595B,1.595B,1.222B,373.19M,147.14M,3.258M,1.391M,-1.391M,0.21M,1.205M,0.995M,,150.39M,222.80M,1.205M,0.21M,0.995M,1.133M,0.995M,224.93M,84.38M,140.54M,,,140.54M,141.41M,235.10M,9.96M,225.14M,,0.37,,,,0.3723,0.37,,0.37,,,,0.3723,0.37,,373.53M,377.29M,0.05,,AOR,Restated
2014-06,1.286B,1.286B,981.64M,304.55M,229.77M,3.275M,1.688M,-1.688M,0.203M,1.115M,0.912M,,233.04M,71.51M,1.115M,0.203M,0.912M,-4.738M,0.912M,67.68M,25.80M,41.88M,,,41.88M,42.92M,77.85M,9.962M,67.88M,,0.11,,,,0.1128,0.11,,0.11,,,,0.1128,0.11,,376.07M,379.66M,0.05,,AOR,Restated
2014-03,1.119B,1.119B,836.94M,281.96M,144.89M,3.275M,1.464M,-10.05M,0.213M,1.111M,0.898M,,148.16M,133.80M,1.111M,0.213M,0.898M,-4.665M,0.898M,130.03M,55.21M,74.82M,,,74.82M,81.35M,139.18M,8.942M,130.24M,,0.19,,,,0.2070,0.19,,0.19,,,,0.2068,0.19,,383.99M,387.81M,0.05,,AOR,Restated
2013-12,1.655B,1.655B,1.273B,382.10M,149.71M,3.275M,1.72M,-1.72M,0.168M,1.074M,0.906M,,152.98M,229.12M,1.074M,0.168M,0.906M,2.399M,0.906M,232.42M,12.37M,220.05M,,,220.05M,221.68M,241.04M,8.453M,232.59M,,0.58,,,,0.5843,0.58,,0.57,,,,0.5742,0.57,,379.83M,383.75M,0.05,,AOR,Restated
2013-09,1.582B,1.582B,1.253B,328.76M,138.64M,3.275M,0.811M,-4.669M,0.171M,1.036M,0.865M,,141.91M,186.85M,1.036M,0.171M,0.865M,-13.00M,0.865M,174.72M,-2.107B,2.282B,,,2.282B,2.285B,182.94M,8.05M,174.89M,,5.92,,,,5.928,5.92,,5.87,,,,5.878,5.87,,382.88M,386.10M,0.05,,AOR,Restated
2013-06,1.279B,1.279B,1.035B,244.86M,150.53M,3.275M,0.25M,-23.32M,0.166M,1.112M,0.946M,,153.81M,91.05M,1.112M,0.166M,0.946M,-53.67M,0.946M,38.33M,1.913M,36.42M,,,36.42M,58.58M,46.24M,7.745M,38.50M,,0.09,,,,0.1475,0.09,,0.09,,,,0.1466,0.09,,385.39M,391.18M,0.05,,AOR,Restated
2013-03,1.163B,1.163B,946.08M,216.68M,129.63M,3.275M,0.341M,-0.341M,0.207M,1.173M,0.966M,,132.90M,83.78M,1.173M,0.207M,0.966M,-2.395M,0.966M,82.35M,0.588M,81.76M,,,81.76M,82.10M,89.90M,7.339M,82.56M,,0.21,,,,0.2109,0.21,,0.21,,,,0.2109,0.21,,384.23M,390.32M,0.00,,AOR,Restated
2012-12,1.567B,1.567B,1.334B,233.36M,141.77M,3.275M,0.48M,-32.55M,0.203M,1.331M,1.128M,,145.04M,88.32M,1.331M,0.203M,1.128M,-38.23M,1.128M,51.21M,-7.529M,58.74M,,,58.74M,79.90M,59.16M,7.749M,51.42M,,0.15,,,,0.2051,0.15,,0.15,,,,0.2043,0.15,,383.73M,389.63M,0.00,,AOR,Restated
2012-09,1.303B,1.303B,1.065B,237.25M,125.19M,3.275M,0.893M,-0.893M,0.201M,1.219M,1.018M,,128.47M,108.78M,1.219M,0.201M,1.018M,-3.894M,1.018M,105.91M,-10.73M,116.63M,,,116.63M,117.21M,113.56M,7.45M,106.11M,,0.31,,,,0.3115,0.31,,0.30,,,,0.3015,0.30,,381.36M,384.57M,0.00,,AOR,Restated
2012-06,1.069B,1.069B,897.32M,172.09M,124.19M,3.275M,0.166M,-0.166M,0.198M,1.164M,0.966M,,127.46M,44.63M,1.164M,0.198M,0.966M,-5.667M,0.966M,39.93M,-2.51M,42.44M,,,42.44M,42.54M,47.56M,7.435M,40.12M,,0.11,,,,0.1103,0.11,,0.11,,,,0.1103,0.11,,380.66M,382.20M,0.00,,AOR,Restated
2012-03,881.04M,881.04M,767.57M,113.46M,123.31M,3.275M,0.739M,-0.739M,0.217M,1.199M,0.982M,,126.59M,-13.12M,1.199M,0.217M,0.982M,-1.348M,0.982M,-13.49M,-1.825M,-11.67M,,,-11.67M,-11.03M,-5.881M,7.393M,-13.27M,,-0.03,,,,-0.0283,-0.03,,-0.03,,,,-0.0283,-0.03,,380.50M,380.50M,0.00,,AOR,Restated
2011-12,1.262B,1.262B,1.138B,124.14M,117.20M,3.275M,3.374M,8.759M,0.323M,1.351M,1.028M,,120.48M,3.662M,1.351M,0.323M,1.028M,-13.76M,1.028M,-9.075M,-22.90M,13.82M,,,13.82M,8.128M,-1.283M,7.469M,-8.752M,,0.04,,,,0.0250,0.04,,0.04,,,,0.0250,0.04,,380.15M,380.15M,0.00,,AOR,Restated
2011-09,1.142B,1.142B,964.19M,177.74M,121.55M,3.275M,2.296M,-255.91M,0.322M,1.122M,0.80M,,124.83M,52.92M,1.122M,0.322M,0.80M,-256.22M,0.80M,-202.50M,-73.20M,-129.30M,,,-129.30M,34.10M,-194.52M,7.656M,-202.18M,,-0.34,0.00,,,0.0900,-0.34,,-0.34,0.00,,,0.0900,-0.34,,380.02M,380.02M,0.00,,AOR,Restated
2011-06,927.21M,927.21M,832.52M,94.69M,138.38M,3.275M,3.709M,-8.393M,0.317M,1.145M,0.828M,,141.66M,-46.96M,1.145M,0.317M,0.828M,-7.20M,0.828M,-53.33M,2.052M,-55.38M,,,-55.38M,-49.93M,-45.01M,8.003M,-53.02M,,-0.15,0.00,,,-0.1356,-0.15,,-0.15,0.00,,,-0.1356,-0.15,,379.78M,379.78M,0.00,,AOR,Restated
2011-03,805.20M,805.20M,706.43M,98.77M,142.45M,3.275M,0.623M,-0.635M,0.351M,1.437M,1.086M,,145.72M,-46.95M,1.437M,0.351M,1.086M,0.474M,1.086M,-45.39M,-5.866M,-39.53M,,,-39.53M,-38.97M,-36.07M,8.97M,-45.04M,,-0.10,0.00,,,-0.0985,-0.10,,-0.10,0.00,,,-0.0985,-0.10,,379.54M,379.54M,0.00,,AOR,Restated
2010-12,1.185B,1.185B,1.159B,26.29M,150.74M,3.275M,1.609M,-40.53M,0.44M,1.859M,1.419M,,150.35M,-124.06M,1.859M,0.44M,1.419M,-67.84M,1.419M,-190.48M,-25.05M,-165.43M,,,-165.43M,-130.23M,-179.30M,10.73M,-190.04M,,-0.44,,,,-0.3472,-0.44,,-0.44,,,,-0.3472,-0.44,,379.12M,379.12M,0.00,,AOR,Restated
2010-09,1.058B,1.058B,981.09M,76.68M,425.64M,3.275M,1.133M,-656.06M,0.789M,2.601M,1.812M,13.65M,442.57M,-365.89M,2.601M,0.789M,1.812M,-659.76M,1.812M,-1.024B,-28.72M,-995.12M,,,-995.12M,-357.46M,-1.012B,10.57M,-1.023B,,-2.63,0.00,,,-0.9468,-2.63,,-2.63,0.00,,,-0.9468,-2.63,,378.84M,378.84M,0.00,,AOR,Restated
2010-06,1.306B,1.306B,1.152B,154.11M,157.42M,,2.309M,-5.959M,1.018M,2.292M,1.274M,,157.42M,-3.308M,2.292M,1.018M,1.274M,-0.417M,1.274M,-5.726M,-82.03M,76.30M,,,76.30M,80.18M,6.762M,11.47M,-4.708M,,0.20,0.00,,,0.2102,0.20,,0.20,0.00,,,0.2102,0.20,,378.62M,380.41M,0.00,,AOR,Restated
2010-03,1.020B,1.020B,884.20M,136.15M,161.31M,,0.543M,8.441M,0.482M,2.779M,2.297M,,161.31M,-25.15M,2.779M,0.482M,2.297M,8.347M,2.297M,-14.51M,-2.02M,-12.49M,,,-12.49M,-19.75M,-1.14M,12.89M,-14.03M,,-0.03,0.00,,,-0.0492,-0.03,,-0.03,0.00,,,-0.0492,-0.03,,377.75M,377.75M,0.00,,AOR,Restated
2009-12,1.731B,1.731B,1.838B,-107.53M,202.07M,,,-615.42M,0.917M,1.178M,0.261M,,202.07M,-309.61M,1.178M,0.917M,0.261M,-607.88M,0.261M,-917.22M,-800.33M,-116.90M,,,-116.90M,283.13M,-901.40M,14.90M,-916.31M,,-0.06,0.00,,,0.9990,-0.06,,-0.06,0.00,,,0.9990,-0.06,,377.74M,377.74M,0.00,,AOR,Restated
2009-09,1.091B,1.091B,1.136B,-44.58M,221.54M,,17.21M,-89.82M,0.431M,1.814M,1.383M,,221.54M,-266.11M,1.814M,0.431M,1.383M,-93.99M,1.383M,-358.72M,2.668M,-361.39M,,,-361.39M,-303.00M,-343.75M,14.54M,-358.29M,,-1.15,0.00,,,-0.9635,-1.15,,-1.15,0.00,,,-0.9635,-1.15,,313.00M,313.00M,0.00,,AOR,Restated
2009-06,678.58M,678.58M,766.33M,-87.75M,122.26M,,0.339M,23.38M,0.436M,2.647M,2.211M,,122.26M,-210.01M,2.647M,0.436M,2.211M,20.87M,2.211M,-186.93M,2.536M,-189.46M,,,-189.46M,-204.66M,-174.67M,11.82M,-186.49M,,-0.74,0.00,,,-0.7996,-0.74,,-0.74,0.00,,,-0.7996,-0.74,,254.76M,254.76M,0.00,,AOR,Restated
2009-03,583.89M,583.89M,918.14M,-334.25M,126.56M,,0.633M,-3.963M,0.478M,3.528M,3.05M,,126.56M,-460.81M,3.528M,0.478M,3.05M,-54.48M,3.05M,-512.25M,2.572M,-514.82M,,,-514.82M,-512.24M,-498.79M,12.98M,-511.77M,,-2.02,0.00,,,-2.010,-2.02,,-2.02,0.00,,,-2.010,-2.02,,254.58M,254.58M,0.00,,AOR,Restated
2008-12,1.644B,1.644B,1.877B,-233.09M,216.37M,,,-23.90M,0.729M,6.468M,5.739M,,216.37M,-449.47M,6.468M,0.729M,5.739M,-36.00M,5.739M,-479.72M,-141.56M,-338.16M,,,-338.16M,-321.32M,-462.56M,16.44M,-479.00M,,-1.33,0.00,,,-1.264,-1.33,,-1.33,0.00,,,-1.264,-1.33,,253.84M,253.84M,0.04,,,Restated
2008-09,1.558B,1.558B,1.653B,-95.10M,200.35M,,0.931M,-3.96M,0.723M,6.362M,5.639M,,200.35M,-295.44M,6.362M,0.723M,5.639M,-6.647M,5.639M,-294.59M,-14.20M,-280.39M,,,-280.39M,-276.62M,-275.16M,18.71M,-293.87M,,-1.11,0.00,,,-1.095,-1.11,,-1.11,0.00,,,-1.095,-1.11,,253.58M,253.58M,0.04,,,Restated
2008-06,1.619B,1.619B,1.634B,-14.14M,186.40M,,,-18.56M,0.708M,6.352M,5.644M,,186.40M,-200.54M,6.352M,0.708M,5.644M,-20.33M,5.644M,-215.23M,-56.81M,-158.42M,,,-158.42M,-144.76M,-195.41M,19.11M,-214.52M,,-0.63,0.00,,,-0.5761,-0.63,,-0.63,0.00,,,-0.5761,-0.63,,253.45M,253.45M,0.04,,,Restated
2008-03,1.449B,1.449B,1.949B,-499.85M,196.95M,,,,0.00,,0.00,,196.95M,-696.80M,,0.00,0.00,3.746M,0.00,-693.06M,3.088M,-696.14M,,,-696.14M,-696.14M,-673.34M,19.72M,-693.06M,,-2.75,0.00,,,-2.75,-2.75,,-2.75,0.00,,,-2.75,-2.75,,253.17M,253.17M,0.04,,,Restated
2007-12,2.899B,2.899B,2.946B,-47.58M,323.93M,,,,,,,,323.93M,-371.51M,,,,-82.32M,,-453.83M,439.49M,-893.32M,,,-874.66M,-893.32M,-351.77M,19.74M,-371.51M,,-3.54,0.07,,,-3.54,-3.46,,-3.54,0.07,,,-3.54,-3.46,,252.49M,252.49M,0.04,,,
2007-09,2.472B,2.472B,2.839B,-367.35M,674.99M,,,,,,,,674.99M,-1.042B,,,,-51.58M,,-1.094B,-306.04M,-787.87M,,,-787.87M,-787.87M,-1.022B,20.84M,-1.042B,,-3.12,0.00,,,-3.12,-3.12,,-3.12,0.00,,,-3.12,-3.12,,252.26M,252.26M,0.04,,,
2007-06,2.021B,2.021B,2.405B,-383.51M,367.95M,,,,,,,,367.95M,-751.46M,,,,-55.15M,,-806.61M,-299.06M,-507.55M,,,-507.55M,-507.55M,-729.84M,21.61M,-751.46M,,-2.01,0.00,,,-2.01,-2.01,,-2.01,0.00,,,-2.01,-2.01,,252.09M,252.09M,0.04,,,
2007-03,1.871B,1.871B,1.687B,184.87M,326.44M,,,,,,,,326.44M,-141.57M,,,,-0.976M,,-142.55M,-56.88M,-85.67M,,,-85.67M,-85.67M,-119.91M,21.66M,-141.57M,,-0.34,0.00,,,-0.34,-0.34,,-0.34,0.00,,,-0.34,-0.34,,251.92M,251.92M,0.04,,,
2006-12,4.389B,4.389B,3.922B,467.39M,388.92M,,,0.00,,,,,388.92M,78.47M,,,,-96.52M,,-18.06M,-9.754M,-8.301M,-0.111M,,-8.412M,-8.301M,103.64M,25.17M,78.47M,,-0.03,0.00,,,-0.03,-0.03,,-0.03,0.00,,,-0.03,-0.03,,251.24M,257.62M,0.04,,,
2006-09,3.564B,3.564B,2.960B,604.25M,310.61M,,,,,,,,310.61M,293.63M,,,,1.881M,,295.51M,104.06M,191.45M,-1.231M,,190.22M,191.45M,314.16M,20.52M,293.63M,,0.76,0.00,,,0.76,0.76,,0.74,0.00,,,0.74,0.74,,251.29M,257.22M,0.04,,,
2006-06,3.359B,3.359B,2.675B,684.33M,295.39M,,,,,,,,295.39M,388.94M,,,,-1.212M,,387.72M,143.87M,243.85M,-0.833M,,243.02M,243.85M,408.56M,19.62M,388.94M,,0.97,0.00,,,0.97,0.96,,0.94,0.00,,,0.94,0.94,,252.62M,258.95M,0.04,,,
2006-03,2.963B,2.963B,2.287B,675.88M,291.28M,,,,,,,,291.28M,384.60M,,,,32.94M,,417.54M,154.90M,262.64M,,,262.64M,262.64M,402.96M,18.36M,384.60M,,1.04,0.00,,,1.04,1.04,,1.01,0.00,,,1.01,1.01,,253.68M,260.74M,0.04,,,
2005-12,5.135B,5.132B,3.245B,1.886B,,,,,,,,,,729.36M,,,,97.61M,,830.59M,298.86M,531.74M,42.80M,,574.54M,531.74M,746.06M,16.70M,729.36M,,2.08,0.17,,,2.08,2.25,,2.03,0.16,,,2.03,2.19,,255.14M,262.77M,0.04,,,
2005-09,3.793B,3.794B,3.170B,623.87M,,,,-24.73M,,,,,-24.73M,623.87M,,,,-9.044M,,613.70M,231.28M,382.42M,13.00M,,395.42M,397.83M,639.98M,16.11M,623.87M,,1.49,0.05,,,1.550,1.54,,1.45,0.05,,,1.508,1.50,,256.08M,263.91M,0.04,,,
2005-06,3.250B,3.251B,2.759B,492.34M,,,,-29.11M,,,,,-29.11M,492.34M,,,,-5.258M,,485.82M,180.64M,305.19M,-1.476M,,303.71M,323.47M,507.30M,14.96M,492.34M,,1.19,-0.01,,,1.261,1.19,,1.16,-0.01,,,1.229,1.15,,255.87M,263.68M,0.025,,,
2005-03,2.518B,2.518B,2.162B,356.10M,24.00M,,,,,,,,24.00M,332.10M,,,,14.80M,,346.90M,129.35M,217.55M,0.695M,,218.24M,217.55M,345.83M,13.73M,332.10M,,0.85,0.00,,,0.85,0.86,,0.83,0.00,,,0.83,0.83,,254.87M,262.75M,0.025,,,
2004-12,4.008B,4.008B,3.285B,723.26M,,,,,,,,,,630.83M,,,,26.39M,,657.22M,243.42M,413.80M,-16.43M,,397.37M,413.80M,643.08M,12.26M,630.83M,,1.62,-0.07,,,1.62,1.57,,1.58,-0.07,,,1.58,1.52,,256.15M,263.39M,0.025,,,
2004-09,2.960B,2.960B,2.558B,401.82M,,,,,,,,,,401.82M,,,,16.15M,,417.97M,158.84M,259.12M,10.81M,,269.94M,259.12M,413.84M,12.02M,401.82M,,1.02,0.04,,,1.02,1.07,,0.99,0.04,,,0.99,1.03,,253.13M,260.97M,0.025,,,
