,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-12,2.047B,150.00M,-4.422B,,,94.00M,-4.178B,275.00M,275.00M,1.486B,,-822.00M,210.00M,-11.00M,-354.00M,,,112.00M,-43.00M,67.00M,-415.00M,,-309.00M,,,-433.00M,,-944.00M,-67.00M,,1.58B,60.00M,1.64B,6.00M,-48.00M,-42.00M,,,,-113.00M,-113.00M,-129.00M,1.355B,,736.00M,873.00M,15.00M,1.624B,,6.00M,3.815B,-2.235B,-48.00M,,AOR,Restated
2006-09,385.00M,-12.00M,-366.00M,,,94.00M,-284.00M,287.00M,287.00M,124.00M,,70.00M,-109.00M,-28.00M,355.00M,,,-69.00M,149.00M,35.00M,766.00M,,-294.00M,,,2.163B,,-215.00M,1.668B,,-442.00M,-27.00M,-469.00M,5.00M,-1.385B,-1.38B,,,,-125.00M,-125.00M,6.00M,-1.969B,,274.00M,465.00M,-3.00M,736.00M,,5.00M,757.00M,-1.199B,-1.385B,,AOR,Restated
2006-06,62.00M,75.00M,,,,96.00M,171.00M,282.00M,282.00M,19.00M,,231.00M,-30.00M,-13.00M,-120.00M,,,-26.00M,-189.00M,50.00M,626.00M,,-302.00M,,,0.00,,74.00M,-268.00M,,-713.00M,15.00M,-698.00M,14.00M,0.00,14.00M,,,,-124.00M,-124.00M,-12.00M,-799.00M,,709.00M,-441.00M,6.00M,274.00M,,14.00M,501.00M,-1.214B,0.00,,AOR,Restated
2006-03,-1.212B,1.283B,,,,93.00M,1.376B,314.00M,314.00M,-10.00M,,-12.00M,-110.00M,9.00M,-83.00M,,,-87.00M,-271.00M,61.00M,246.00M,,-168.00M,,,0.00,,-100.00M,-299.00M,,-743.00M,-38.00M,-781.00M,7.00M,0.00,7.00M,,,,-123.00M,-123.00M,4.00M,-891.00M,,1.641B,-944.00M,12.00M,709.00M,,7.00M,,-743.00M,0.00,,AOR,Restated
2005-12,-300.00M,,,,,61.00M,172.00M,269.00M,269.00M,-242.00M,,192.00M,150.00M,33.00M,-25.00M,,,65.00M,223.00M,241.00M,554.00M,,-339.00M,,,-77.00M,,36.00M,-482.00M,,564.00M,34.00M,598.00M,3.00M,0.00,3.00M,,,,-122.00M,-122.00M,5.00M,482.00M,,1.092B,554.00M,-5.00M,1.641B,,3.00M,690.00M,-126.00M,0.00,,AOR,Restated
2005-09,726.00M,,,,,60.00M,60.00M,332.00M,332.00M,-494.00M,,-41.00M,-21.00M,91.00M,-382.00M,,,98.00M,-214.00M,11.00M,377.00M,,-269.00M,,,1.121B,,30.00M,869.00M,,-1.219B,-31.00M,-1.25B,1.00M,0.00,1.00M,,,,-122.00M,-122.00M,-26.00M,-1.414B,,1.251B,-168.00M,9.00M,1.092B,,1.00M,-44.00M,-1.175B,0.00,,AOR,Restated
2005-06,81.00M,,,,,68.00M,68.00M,357.00M,357.00M,92.00M,,-72.00M,12.00M,-51.00M,-12.00M,,,-146.00M,-197.00M,95.00M,424.00M,,-310.00M,,,280.00M,,39.00M,-105.00M,,-481.00M,17.00M,-464.00M,3.00M,,3.00M,,,,-123.00M,-123.00M,-5.00M,-503.00M,,1.529B,-184.00M,-94.00M,1.251B,,3.00M,75.00M,-556.00M,,,AOR,Restated
2005-03,177.00M,,,,,54.00M,54.00M,316.00M,316.00M,-12.00M,,49.00M,-82.00M,-65.00M,-215.00M,,,-8.00M,-370.00M,-59.00M,155.00M,,-177.00M,,,,,-6.00M,-275.00M,,-565.00M,-16.00M,-581.00M,16.00M,,16.00M,,,,-123.00M,-123.00M,-13.00M,-942.00M,,2.596B,-1.062B,-5.00M,1.529B,,16.00M,247.00M,-812.00M,,,AOR,Restated
2004-12,17.00M,,,,,,,259.00M,259.00M,-80.00M,,114.00M,339.00M,-56.00M,129.00M,,,-157.00M,255.00M,791.00M,1.451B,,-376.00M,,,823.00M,,103.00M,252.00M,,-713.00M,-23.00M,-736.00M,32.00M,,32.00M,,,,-121.00M,-121.00M,41.00M,-826.00M,,1.452B,877.00M,162.00M,2.596B,,32.00M,400.00M,-1.113B,,,AOR,Restated
2004-09,220.00M,,,,,,,250.00M,250.00M,-16.00M,,-98.00M,-69.00M,-11.00M,-76.00M,,,178.00M,22.00M,-129.00M,242.00M,,-181.00M,,,-746.00M,,151.00M,-349.00M,,147.00M,-57.00M,90.00M,22.00M,,22.00M,,,,-122.00M,-122.00M,-64.00M,-240.00M,,1.862B,-347.00M,42.00M,1.452B,,22.00M,103.00M,44.00M,,,AOR,Restated
2004-06,98.00M,,,,,,,375.00M,375.00M,23.00M,,155.00M,-113.00M,16.00M,-15.00M,,,-63.00M,-175.00M,,471.00M,,-310.00M,,,604.00M,,7.00M,301.00M,,-1.02B,-4.00M,-1.024B,17.00M,,17.00M,,,,-121.00M,-121.00M,-33.00M,-1.161B,,2.224B,-389.00M,27.00M,1.862B,,17.00M,1.022B,-2.042B,,,AOR,Restated
2004-03,42.00M,,,,,,,378.00M,378.00M,-9.00M,,39.00M,-196.00M,-33.00M,19.00M,,,-9.00M,-219.00M,,224.00M,,-252.00M,,,0.00,,103.00M,-149.00M,,-95.00M,-61.00M,-156.00M,93.00M,,93.00M,,,,-121.00M,-121.00M,-24.00M,-208.00M,,2.363B,-133.00M,-6.00M,2.224B,,93.00M,1.011B,-1.106B,,,AOR,Restated
2003-12,32.00M,,,,,,,199.00M,199.00M,-167.00M,,-62.00M,177.00M,59.00M,-34.00M,,,-15.00M,187.00M,,520.00M,,-328.00M,,,18.00M,,-50.00M,-483.00M,,784.00M,73.00M,857.00M,30.00M,26.00M,56.00M,,0.00,0.00,-122.00M,-122.00M,109.00M,705.00M,,1.564B,742.00M,57.00M,2.363B,,30.00M,739.00M,45.00M,26.00M,,AOR,Restated
2003-09,124.00M,,,,,,,348.00M,348.00M,-97.00M,,177.00M,10.00M,44.00M,-20.00M,,,31.00M,65.00M,,609.00M,,-276.00M,,,0.00,,-93.00M,-369.00M,,-60.00M,78.00M,18.00M,36.00M,0.00,36.00M,,0.00,0.00,-119.00M,-119.00M,-14.00M,-79.00M,,1.43B,161.00M,-27.00M,1.564B,,36.00M,10.00M,-70.00M,0.00,,AOR,Restated
2003-06,95.00M,,,,,,,407.00M,407.00M,-83.00M,,135.00M,54.00M,42.00M,-59.00M,,,-16.00M,21.00M,,566.00M,,-254.00M,,,9.00M,,4.00M,-241.00M,,-549.00M,41.00M,-508.00M,8.00M,0.00,8.00M,-150.00M,-550.00M,-700.00M,-119.00M,-119.00M,110.00M,-1.209B,,2.218B,-884.00M,96.00M,1.43B,,-142.00M,17.00M,-566.00M,-550.00M,,AOR,Restated
2003-03,41.00M,,,,,,,393.00M,393.00M,11.00M,,-34.00M,-154.00M,-94.00M,-4.00M,,,-32.00M,-284.00M,,127.00M,,-173.00M,,,44.00M,,-45.00M,-174.00M,,1.30B,-88.00M,1.212B,6.00M,-26.00M,-20.00M,150.00M,,150.00M,-120.00M,-120.00M,-48.00M,1.174B,,1.074B,1.127B,17.00M,2.218B,,156.00M,1.35B,-50.00M,-26.00M,,AOR,Restated
2002-12,-175.00M,,,,,,,303.00M,303.00M,-275.00M,,645.00M,160.00M,-21.00M,72.00M,,,15.00M,226.00M,,666.00M,,-392.00M,,,-28.00M,,102.00M,-318.00M,,-80.00M,18.00M,-62.00M,10.00M,-45.00M,-35.00M,-50.00M,0.00,-50.00M,-120.00M,-120.00M,-38.00M,-305.00M,,994.00M,43.00M,37.00M,1.074B,,-40.00M,1.174B,-1.254B,-45.00M,,AOR,Restated
2002-09,142.00M,,,,,,,407.00M,407.00M,-20.00M,,-65.00M,93.00M,22.00M,60.00M,,,81.00M,256.00M,,720.00M,,-231.00M,,,203.00M,,-75.00M,-103.00M,,-85.00M,-115.00M,-200.00M,0.00,-82.00M,-82.00M,50.00M,0.00,50.00M,-121.00M,-121.00M,-57.00M,-410.00M,,838.00M,207.00M,-51.00M,994.00M,,50.00M,250.00M,-335.00M,-82.00M,,AOR,Restated
2002-06,183.00M,,,,,,,405.00M,405.00M,-97.00M,,34.00M,-49.00M,46.00M,27.00M,,,-63.00M,-39.00M,,486.00M,,-233.00M,,,304.00M,,37.00M,108.00M,,-619.00M,61.00M,-558.00M,13.00M,-36.00M,-23.00M,,0.00,0.00,-120.00M,-120.00M,-1.00M,-702.00M,,967.00M,-108.00M,-21.00M,838.00M,,13.00M,586.00M,-1.205B,-36.00M,,AOR,Restated
2002-03,-1.106B,,,,,,,382.00M,382.00M,3.00M,,1.052B,-106.00M,6.00M,41.00M,,,-40.00M,-99.00M,,222.00M,,-153.00M,,,28.00M,,-42.00M,-167.00M,,-222.00M,3.00M,-219.00M,30.00M,-6.00M,24.00M,,,,-121.00M,-121.00M,1.00M,-315.00M,,1.224B,-260.00M,3.00M,967.00M,,30.00M,1.00M,-223.00M,-6.00M,,AOR,Restated
2001-12,-610.00M,,,,,,629.00M,463.00M,463.00M,-215.00M,,-11.00M,413.00M,17.00M,4.00M,,,15.00M,449.00M,,688.00M,,-361.00M,,,0.00,,192.00M,-169.00M,,-1.136B,5.00M,-1.131B,5.00M,-20.00M,-15.00M,,,,-121.00M,-121.00M,-73.00M,-1.34B,,2.019B,-821.00M,26.00M,1.224B,,5.00M,136.00M,-1.272B,-20.00M,,AOR,Restated
2001-09,-321.00M,,,,,,,474.00M,474.00M,-167.00M,,383.00M,89.00M,202.00M,55.00M,,,16.00M,362.00M,,731.00M,,-230.00M,,,671.00M,,-97.00M,344.00M,,441.00M,-97.00M,344.00M,5.00M,-44.00M,-39.00M,,,,-121.00M,-121.00M,42.00M,226.00M,,743.00M,1.301B,-25.00M,2.019B,,5.00M,1.706B,-1.265B,-44.00M,,AOR,Restated
2001-06,-156.00M,,,-73.00M,,,-73.00M,457.00M,457.00M,-185.00M,,403.00M,-2.00M,75.00M,-251.00M,,,-27.00M,-205.00M,,241.00M,,-269.00M,,,-135.00M,,55.00M,-349.00M,,-54.00M,-114.00M,-168.00M,7.00M,,7.00M,,,,-120.00M,-120.00M,23.00M,-258.00M,,1.119B,-366.00M,-10.00M,743.00M,,7.00M,943.00M,-997.00M,,,AOR,Restated
2001-03,-44.00M,,,73.00M,,,73.00M,476.00M,476.00M,-17.00M,,-107.00M,-83.00M,6.00M,-153.00M,,,-97.00M,-327.00M,,54.00M,,-189.00M,,,866.00M,,-44.00M,633.00M,,-630.00M,35.00M,-595.00M,8.00M,,8.00M,,,,-120.00M,-120.00M,-19.00M,-726.00M,,1.198B,-39.00M,-40.00M,1.119B,,8.00M,104.00M,-734.00M,,,AOR,Restated
2000-12,-286.00M,,,385.00M,,,385.00M,473.00M,473.00M,-289.00M,-460.00M,607.00M,254.00M,-80.00M,-73.00M,,,47.00M,148.00M,,550.00M,,-444.00M,,,664.00M,,-45.00M,175.00M,,-874.00M,320.00M,-554.00M,-18.00M,,-84.00M,,,,-120.00M,-120.00M,101.00M,-657.00M,,1.171B,68.00M,-41.00M,1.198B,,-18.00M,0.00,-874.00M,,,AOR,Restated
2000-09,-135.00M,,,0.00,,,0.00,578.00M,578.00M,-141.00M,460.00M,157.00M,-31.00M,6.00M,43.00M,,,-19.00M,-1.00M,,912.00M,,-420.00M,,,-229.00M,,150.00M,-499.00M,,-254.00M,-3.00M,-257.00M,4.00M,,4.00M,,,,-120.00M,-120.00M,66.00M,-307.00M,,1.145B,106.00M,-80.00M,1.171B,,4.00M,155.00M,-409.00M,,,AOR,Restated
2000-06,270.00M,,,0.00,,,0.00,439.00M,439.00M,36.00M,0.00,-74.00M,-119.00M,9.00M,-144.00M,,,16.00M,-238.00M,,433.00M,,-274.00M,,,-4.765B,,15.00M,-5.024B,,4.422B,-138.00M,4.284B,4.00M,,4.00M,,,,-103.00M,-103.00M,17.00M,4.202B,,1.574B,-389.00M,-40.00M,1.145B,,4.00M,5.194B,-772.00M,,,AOR,Restated
2000-03,378.00M,,,-385.00M,,,-385.00M,426.00M,426.00M,71.00M,,100.00M,-163.00M,-78.00M,193.00M,,,-7.00M,-55.00M,,535.00M,,-214.00M,,,769.00M,,-121.00M,434.00M,,264.00M,-61.00M,203.00M,35.00M,,35.00M,,,,-104.00M,-104.00M,22.00M,156.00M,,453.00M,1.125B,-4.00M,1.574B,,35.00M,979.00M,-715.00M,,,AOR,Restated
1999-12,80.00M,,,,,,0.00,525.00M,525.00M,1.00M,0.00,1.00M,-30.00M,-64.00M,68.00M,,,-10.00M,-36.00M,,571.00M,,-433.00M,,,0.00,,73.00M,-360.00M,,-168.00M,170.00M,2.00M,54.00M,,54.00M,,,,-104.00M,-104.00M,-61.00M,-109.00M,,353.00M,102.00M,-2.00M,453.00M,,54.00M,236.00M,-404.00M,,,AOR,Restated
1999-09,142.00M,,,,,,5.00M,383.00M,383.00M,-81.00M,0.00,-44.00M,-141.00M,-103.00M,283.00M,,,10.00M,49.00M,,454.00M,,-247.00M,,,-8.00M,,-30.00M,-285.00M,,-417.00M,52.00M,-365.00M,26.00M,,26.00M,,,,-102.00M,-102.00M,1.00M,-440.00M,,624.00M,-271.00M,0.00,353.00M,,26.00M,83.00M,-500.00M,,,,Restated
1999-06,-71.00M,,,,,,21.00M,374.00M,374.00M,-115.00M,,167.00M,-6.00M,35.00M,52.00M,,,-7.00M,74.00M,,414.00M,,-248.00M,,,80.00M,,-22.00M,-190.00M,,13.00M,-79.00M,-66.00M,136.00M,,136.00M,,,,-104.00M,-104.00M,0.00,-34.00M,,440.00M,190.00M,-6.00M,624.00M,,136.00M,266.00M,-253.00M,,,,Restated
1999-03,32.00M,,,,,,,383.00M,383.00M,-13.00M,,6.00M,-184.00M,11.00M,46.00M,,,8.00M,-119.00M,,289.00M,,-211.00M,,,-7.00M,,-32.00M,-250.00M,,32.00M,-41.00M,-9.00M,30.00M,,30.00M,,,,-108.00M,-108.00M,-36.00M,-123.00M,,533.00M,-84.00M,-9.00M,440.00M,,30.00M,438.00M,-406.00M,,,,Restated
1998-12,46.00M,,,,,,-147.00M,542.00M,542.00M,103.00M,,,67.00M,89.00M,68.00M,,,4.00M,228.00M,,777.00M,,-449.00M,-517.00M,356.00M,489.00M,,136.00M,-341.00M,,,,-662.00M,51.00M,,51.00M,,,,,-107.00M,-1.619B,-812.00M,,895.00M,-376.00M,14.00M,533.00M,,1.576B,,,,,AOR,Restated
1998-09,-2.00M,,,,,,199.00M,378.00M,378.00M,-24.00M,,,43.00M,21.00M,-4.00M,,,-15.00M,45.00M,,596.00M,,-277.00M,287.00M,10.00M,-262.00M,,-117.00M,-369.00M,,,,-707.00M,-3.00M,,-3.00M,,,,,-110.00M,865.00M,45.00M,,612.00M,272.00M,11.00M,895.00M,,-3.00M,,,,,,
1998-06,128.00M,,,,,,-47.00M,442.00M,442.00M,33.00M,,,93.00M,-44.00M,-124.00M,,,17.00M,-58.00M,,498.00M,,-390.00M,149.00M,-241.00M,-46.00M,,-39.00M,-326.00M,,,,-477.00M,30.00M,,30.00M,,,,,-139.00M,484.00M,-102.00M,,534.00M,70.00M,-27.00M,612.00M,,30.00M,,,,,,
1998-03,75.00M,,,,,,-25.00M,298.00M,298.00M,20.00M,,,-51.00M,-15.00M,-53.00M,,,-22.00M,-141.00M,,227.00M,,-206.00M,81.00M,-125.00M,-156.00M,,-31.00M,-312.00M,,,,49.00M,37.00M,,37.00M,,,,,-75.00M,207.00M,218.00M,,398.00M,133.00M,3.00M,534.00M,,37.00M,,,,,,
1997-12,203.00M,,,,,,-879.00M,621.00M,621.00M,38.00M,,,58.00M,-10.00M,-37.00M,,,17.00M,28.00M,,844.00M,,-742.00M,,706.00M,265.00M,,61.00M,-416.00M,,,,-270.00M,29.00M,,29.00M,,,,,-201.00M,-70.00M,-512.00M,,469.00M,-84.00M,3.00M,433.00M,,29.00M,,,,,AOR,Restated
1997-09,102.00M,,,,,,-48.00M,311.00M,311.00M,59.00M,,,-40.00M,-57.00M,-59.00M,,,14.00M,-142.00M,,282.00M,,-246.00M,,-246.00M,-37.00M,,45.00M,-238.00M,,,,15.00M,44.00M,,44.00M,,,,,-76.00M,-35.00M,-52.00M,,455.00M,-8.00M,22.00M,469.00M,,44.00M,,,,,,
1997-06,-419.00M,,,,,,740.00M,318.00M,318.00M,-150.00M,,,-103.00M,-17.00M,-112.00M,,,-1.00M,-233.00M,,256.00M,,-258.00M,,-258.00M,,,-78.00M,-336.00M,,,,21.00M,77.00M,,77.00M,,,,,-75.00M,-39.00M,-16.00M,,560.00M,-96.00M,-9.00M,455.00M,,77.00M,,,,,,
1997-03,34.00M,,,,,,17.00M,320.00M,320.00M,-26.00M,,,-57.00M,-65.00M,40.00M,,,-22.00M,-104.00M,,241.00M,,-202.00M,,-202.00M,,,9.00M,-193.00M,,,,122.00M,14.00M,,14.00M,,,,,-75.00M,113.00M,174.00M,,352.00M,222.00M,-14.00M,560.00M,,14.00M,,,,,,
1996-12,-5.00M,,,,,,-576.00M,322.00M,322.00M,-26.00M,,,64.00M,17.00M,-68.00M,,,-17.00M,-4.00M,,490.00M,,-450.00M,,944.00M,-3.00M,,-86.00M,-539.00M,,,,121.00M,21.00M,,21.00M,,,,,-76.00M,-69.00M,-3.00M,,405.00M,-52.00M,-1.00M,352.00M,,21.00M,,,,,AOR,Restated
1996-09,111.00M,,,,,,26.00M,307.00M,307.00M,13.00M,,,37.00M,-3.00M,57.00M,,,12.00M,103.00M,,560.00M,,-346.00M,,-346.00M,-221.00M,,28.00M,-539.00M,,,,123.00M,6.00M,,6.00M,,,,,-75.00M,-35.00M,19.00M,,362.00M,40.00M,3.00M,405.00M,,6.00M,,,,,,
1996-06,99.00M,,,,,,-54.00M,302.00M,302.00M,39.00M,,,41.00M,124.00M,-221.00M,21.00M,,-14.00M,-49.00M,,337.00M,,-345.00M,,-345.00M,-24.00M,,8.00M,-361.00M,,,,-6.00M,38.00M,,38.00M,,,,,-75.00M,33.00M,-10.00M,,399.00M,-34.00M,-3.00M,362.00M,,38.00M,,,,,,
1996-03,98.00M,,,,,,12.00M,263.00M,263.00M,81.00M,,,50.00M,36.00M,-167.00M,-21.00M,,,-102.00M,,352.00M,,-253.00M,,-253.00M,-1.279B,,-9.00M,-1.541B,,,,1.273B,35.00M,,35.00M,,,,,-65.00M,31.00M,1.274B,,312.00M,85.00M,2.00M,399.00M,,35.00M,,,,,,
1995-12,263.00M,,,,,,12.00M,267.00M,267.00M,23.00M,,,223.00M,6.00M,75.00M,6.00M,,,306.00M,,779.00M,,-602.00M,,916.00M,181.00M,,-154.00M,-575.00M,,,,-155.00M,2.00M,,2.00M,,,,,-66.00M,-499.00M,-268.00M,,372.00M,-64.00M,4.00M,312.00M,,452.00M,,,,,AOR,Restated
1995-09,328.00M,,,,,,-21.00M,266.00M,266.00M,47.00M,,,125.00M,-111.00M,70.00M,25.00M,,,109.00M,,729.00M,,-343.00M,,-343.00M,-34.00M,,-106.00M,-483.00M,,,,-633.00M,33.00M,,33.00M,,,,,-65.00M,449.00M,-216.00M,,347.00M,30.00M,-5.00M,372.00M,,33.00M,,,,,,
1995-06,316.00M,,,,,,24.00M,264.00M,264.00M,41.00M,,,-57.00M,-121.00M,58.00M,-18.00M,,,-138.00M,,507.00M,,-330.00M,,-330.00M,-1.074B,,215.00M,-1.189B,,,,891.00M,17.00M,,17.00M,,,,,-53.00M,-27.00M,828.00M,,196.00M,146.00M,5.00M,347.00M,,17.00M,,,,,,
1995-03,246.00M,,,,,,-15.00M,234.00M,234.00M,35.00M,,,-246.00M,-94.00M,86.00M,-13.00M,,,-267.00M,,233.00M,,-243.00M,,-243.00M,,,-66.00M,-309.00M,,,,59.00M,14.00M,,14.00M,,,,,-53.00M,-23.00M,-3.00M,,270.00M,-79.00M,5.00M,196.00M,,14.00M,,,,,,
1994-12,89.00M,,,,,,20.00M,201.00M,201.00M,34.00M,,,-14.00M,2.00M,140.00M,18.00M,,,143.00M,,528.00M,,-368.00M,,746.00M,,,309.00M,-416.00M,,,,46.00M,5.00M,,5.00M,,,,,-52.00M,-36.00M,-37.00M,,196.00M,75.00M,-1.00M,270.00M,,5.00M,,,,,AOR,Restated
1994-09,109.00M,,,,,,1.00M,231.00M,231.00M,1.00M,,,-67.00M,35.00M,103.00M,-17.00M,,,54.00M,,396.00M,,-328.00M,,-328.00M,,,11.00M,-317.00M,,,,113.00M,10.00M,,10.00M,,,,,-53.00M,-149.00M,-79.00M,,193.00M,0.00,3.00M,196.00M,,10.00M,,,,,,
1994-06,87.00M,,,,,,-23.00M,228.00M,228.00M,2.00M,,,-161.00M,22.00M,-19.00M,10.00M,,,-148.00M,,146.00M,,-211.00M,,-211.00M,,,-19.00M,-230.00M,,,,273.00M,11.00M,,11.00M,,,,,-52.00M,-79.00M,153.00M,,123.00M,69.00M,1.00M,193.00M,,11.00M,,,,,,
1994-03,72.00M,,,,,,2.00M,225.00M,225.00M,5.00M,,,-97.00M,-51.00M,28.00M,-11.00M,,,-131.00M,,173.00M,,-207.00M,,-207.00M,,,-340.00M,-547.00M,,,,237.00M,41.00M,,41.00M,,,,,-53.00M,29.00M,254.00M,,242.00M,-120.00M,1.00M,123.00M,,41.00M,,,,,,
1993-12,100.00M,,,,,,,227.00M,227.00M,18.00M,,-39.00M,139.00M,-32.00M,24.00M,-4.00M,,,124.00M,,430.00M,,-373.00M,,581.00M,,,-39.00M,-456.00M,,,,-3.00M,11.00M,,11.00M,,,,,-52.00M,29.00M,-15.00M,,0.00,-41.00M,-4.00M,242.00M,,11.00M,,,,,,Restated
1993-09,48.00M,,,,,,,223.00M,223.00M,34.00M,,-18.00M,-61.00M,-61.00M,-244.00M,4.00M,281.00M,,-81.00M,,206.00M,,-208.00M,,-208.00M,,,17.00M,-191.00M,,,,-58.00M,11.00M,,11.00M,,,,,-53.00M,100.00M,0.00,,0.00,15.00M,0.00,0.00,,11.00M,,,,,,
1993-06,77.00M,,,,,,,228.00M,228.00M,0.00,,-9.00M,,,,,-143.00M,,-143.00M,,153.00M,,-177.00M,,-177.00M,,,-76.00M,-253.00M,,,,193.00M,32.00M,,32.00M,,,,,-50.00M,-54.00M,121.00M,,0.00,21.00M,1.00M,0.00,,32.00M,,,,,,
1993-03,64.00M,,,,,,,220.00M,220.00M,2.00M,,-9.00M,,,,,-138.00M,,-138.00M,,139.00M,,-196.00M,,-196.00M,,,27.00M,-169.00M,,,,76.00M,6.00M,,6.00M,,,,,-53.00M,28.00M,57.00M,,225.00M,27.00M,-2.00M,0.00,,6.00M,,,,,,
1992-12,-232.00M,,,,,,,250.00M,250.00M,-123.00M,,410.00M,2.00M,-127.00M,-71.00M,,215.00M,,34.00M,,339.00M,,-542.00M,,826.00M,,247.00M,-44.00M,-586.00M,,,,161.00M,15.00M,,15.00M,,,,,-55.00M,94.00M,215.00M,,0.00,-32.00M,-8.00M,225.00M,,15.00M,,,,,,Restated
1992-09,100.00M,,,,,,,202.00M,202.00M,1.00M,,-53.00M,,,,,-44.00M,,-44.00M,,206.00M,,-499.00M,,-499.00M,,0.00,-19.00M,-518.00M,,,,523.00M,6.00M,,6.00M,,,,,-49.00M,-133.00M,347.00M,,0.00,35.00M,-2.00M,0.00,,6.00M,,,,,,
1992-06,114.00M,,,,,,,201.00M,201.00M,10.00M,,-2.00M,86.00M,26.00M,58.00M,-7.00M,-171.00M,,-8.00M,,315.00M,,-301.00M,,-301.00M,,-247.00M,1.00M,-547.00M,,,,388.00M,13.00M,,13.00M,,,,,-51.00M,-66.00M,284.00M,,0.00,52.00M,5.00M,0.00,,13.00M,,,,,,
1992-03,104.00M,,,,,,,197.00M,197.00M,13.00M,,-2.00M,-86.00M,-26.00M,-58.00M,7.00M,,,-163.00M,,149.00M,,-189.00M,,-189.00M,,,-32.00M,-221.00M,,,,-609.00M,669.00M,,669.00M,,,,,-51.00M,3.00M,12.00M,,238.00M,-60.00M,-3.00M,0.00,,669.00M,,,,,,
1991-12,54.00M,,,,,,,178.00M,178.00M,-16.00M,,30.00M,79.00M,-74.00M,-122.00M,,172.00M,,55.00M,,361.00M,,-421.00M,,-421.00M,,,-321.00M,-742.00M,,,,362.00M,7.00M,,7.00M,,,,,-47.00M,-52.00M,270.00M,,0.00,-111.00M,8.00M,0.00,,7.00M,,,,,,
1991-09,109.00M,,,,,,,177.00M,177.00M,15.00M,,4.00M,34.00M,-37.00M,213.00M,-4.00M,-137.00M,,69.00M,,374.00M,,-267.00M,,-267.00M,,,-66.00M,-333.00M,,,,192.00M,7.00M,,7.00M,,,,,-47.00M,-30.00M,122.00M,,0.00,163.00M,-7.00M,0.00,,7.00M,,,,,,
1991-06,104.00M,,,,,,,173.00M,173.00M,20.00M,,2.00M,2.00M,57.00M,-79.00M,14.00M,,,-6.00M,,293.00M,,-333.00M,,-333.00M,,,-279.00M,-612.00M,,,,245.00M,17.00M,,17.00M,,,,,-46.00M,22.00M,238.00M,,0.00,-81.00M,-6.00M,0.00,,17.00M,,,,,,
1991-03,132.00M,,,,,,,172.00M,172.00M,11.00M,,9.00M,-36.00M,-20.00M,-134.00M,-10.00M,,,-200.00M,,124.00M,,-307.00M,,-307.00M,,,51.00M,-256.00M,,,,195.00M,14.00M,,14.00M,,,,,-46.00M,-16.00M,147.00M,,256.00M,15.00M,1.00M,0.00,,14.00M,,,,,,
1990-12,23.00M,,,,,,,175.00M,175.00M,0.00,,,116.00M,-28.00M,-178.00M,69.00M,21.00M,,0.00,,430.00M,,-474.00M,,-462.00M,,,58.00M,-404.00M,,,,-36.00M,9.00M,,9.00M,,,,,-46.00M,-19.00M,-92.00M,,0.00,-66.00M,,0.00,,9.00M,,,,,,
1990-09,181.00M,,,,,,,172.00M,172.00M,21.00M,,,-21.00M,-22.00M,70.00M,8.00M,-5.00M,,30.00M,,404.00M,,-328.00M,,-328.00M,,,1.00M,-327.00M,,,,24.00M,10.00M,,10.00M,,,,,-45.00M,-5.00M,-16.00M,,0.00,61.00M,,0.00,,10.00M,,,,,,
1990-06,185.00M,,,,,,,162.00M,162.00M,5.00M,,,34.00M,10.00M,17.00M,-71.00M,-11.00M,,-21.00M,,331.00M,,-394.00M,,-394.00M,,,-105.00M,-499.00M,,,,202.00M,11.00M,,11.00M,,,,,-46.00M,-3.00M,164.00M,,0.00,-4.00M,,0.00,,11.00M,,,,,,
1990-03,180.00M,,,,,,,158.00M,158.00M,12.00M,,,-188.00M,-15.00M,82.00M,-6.00M,-3.00M,,-130.00M,,220.00M,,-213.00M,,-213.00M,,,32.00M,-181.00M,,,,143.00M,10.00M,,10.00M,,,,,-46.00M,,107.00M,,102.00M,146.00M,,0.00,,10.00M,,,,,,
