,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,213.80M,,0.70M,19.00M,6.20M,25.20M,25.20M,0.30M,7.00M,,0.00,-13.70M,37.80M,8.80M,17.90M,,,50.80M,317.60M,,-26.50M,0.40M,0.40M,-35.40M,,-12.10M,-73.60M,,0.00,0.50M,0.50M,39.30M,-78.70M,-39.40M,-66.80M,-66.80M,,-5.90M,-111.60M,,787.50M,132.40M,3.50M,923.40M,,39.30M,0.00,0.00,-78.70M,56.50M,8.60M,,AOR,
2020-09,184.70M,,0.50M,18.10M,5.80M,23.90M,23.90M,-6.60M,5.60M,,0.00,-69.00M,28.40M,17.80M,24.30M,,,1.50M,224.00M,,-10.10M,0.50M,0.50M,0.00,,-9.20M,-18.80M,,0.00,2.30M,2.30M,2.70M,-45.10M,-42.40M,-58.80M,-58.80M,,-6.20M,-105.10M,,686.20M,100.10M,1.20M,787.50M,,2.70M,0.00,,-45.10M,104.50M,19.60M,,AOR,
2020-06,105.90M,,0.10M,18.10M,5.70M,23.80M,23.80M,1.70M,5.80M,,0.30M,65.20M,-8.20M,-21.30M,57.40M,,,93.10M,253.60M,,-11.80M,0.90M,0.90M,0.00,,-34.70M,-45.60M,,489.90M,-148.10M,341.80M,12.30M,0.00,12.30M,-58.70M,-58.70M,,-5.90M,289.50M,,185.80M,497.50M,2.90M,686.20M,,12.30M,489.90M,41.90M,0.00,12.30M,0.90M,,AOR,
2020-03,142.00M,,0.10M,18.10M,5.70M,23.80M,23.80M,-3.60M,1.10M,,1.10M,35.50M,-23.80M,3.20M,13.80M,,,28.70M,213.40M,,-17.20M,0.00,0.00,-6.10M,,-26.50M,-49.80M,,,-41.90M,-41.90M,1.50M,-50.50M,-49.00M,-59.00M,-59.00M,,-7.20M,-157.10M,,184.50M,6.50M,-5.20M,185.80M,,1.50M,,-41.90M,-50.50M,15.10M,20.70M,,AOR,
2019-12,175.00M,,0.10M,17.90M,6.00M,23.90M,23.90M,23.50M,5.10M,,5.10M,-15.30M,0.30M,-5.20M,-28.70M,,,-48.90M,196.70M,,-21.60M,1.40M,1.40M,0.30M,,-21.50M,-41.40M,,0.00,-29.30M,-29.30M,25.20M,-71.20M,-46.00M,-59.00M,-59.00M,,-4.90M,-139.20M,,167.50M,16.10M,0.90M,184.50M,,25.20M,0.00,0.00,-71.20M,50.70M,1.50M,,AOR,Restated
2019-09,169.20M,,0.20M,17.40M,5.50M,22.90M,22.90M,-1.70M,4.60M,,4.60M,-28.20M,-44.50M,10.00M,-18.50M,,,-81.20M,131.10M,,-29.60M,-0.10M,-0.10M,-29.60M,,-17.50M,-76.80M,,0.00,65.10M,65.10M,1.60M,-59.70M,-58.10M,-52.30M,-52.30M,,-4.20M,-49.50M,,164.00M,4.80M,-1.30M,167.50M,,1.60M,0.00,,-59.70M,48.30M,21.40M,,AOR,Restated
2019-06,184.90M,,0.30M,17.60M,5.40M,23.00M,23.00M,7.00M,6.80M,,6.80M,-14.00M,-19.60M,-7.30M,-51.20M,,,-92.10M,145.50M,,-28.00M,0.20M,0.20M,-8.00M,,-29.40M,-65.20M,,0.00,25.60M,25.60M,19.80M,-60.10M,-40.30M,-52.50M,-52.50M,,-5.90M,-73.10M,,156.40M,7.20M,0.40M,164.00M,,19.80M,0.00,43.80M,-60.10M,73.80M,1.80M,,AOR,Restated
2019-03,182.10M,,0.30M,17.20M,5.40M,22.60M,22.60M,5.40M,7.30M,,7.30M,20.90M,-33.20M,-19.70M,-1.90M,,,-33.90M,201.30M,,-20.20M,0.20M,0.20M,-1.30M,,-17.40M,-38.70M,,,-43.80M,-43.80M,4.80M,-47.40M,-42.60M,-52.80M,-52.80M,,-8.40M,-147.60M,,140.90M,15.00M,0.50M,156.40M,,4.80M,,-43.80M,-47.40M,18.40M,21.60M,,AOR,Restated
2018-12,179.30M,,-0.20M,16.80M,6.10M,22.90M,22.90M,20.60M,4.60M,,4.60M,-24.20M,10.70M,11.50M,-28.70M,,,-30.70M,215.90M,,-22.40M,0.40M,0.40M,0.00,,-38.80M,-60.80M,,0.00,20.80M,20.80M,1.40M,-99.70M,-98.30M,-53.10M,-53.10M,,-4.50M,-135.10M,,122.20M,20.00M,-1.30M,140.90M,,1.40M,0.00,0.00,-99.70M,39.90M,1.80M,,AOR,Restated
2018-09,167.40M,,0.60M,17.00M,6.20M,23.20M,23.20M,-2.80M,8.00M,,8.00M,-40.80M,-24.80M,-7.50M,-9.50M,,,-82.60M,129.80M,,-29.90M,-0.20M,-0.20M,0.00,,-18.50M,-48.60M,,0.00,38.10M,38.10M,25.80M,-85.70M,-59.90M,-46.10M,-46.10M,,-3.40M,-71.30M,,112.30M,9.90M,0.00,122.20M,,25.80M,0.00,0.00,-85.70M,50.70M,21.90M,,AOR,Restated
