,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,5.643B,5.643B,3.207B,2.436B,172.00M,-169.00M,315.00M,518.00M,-518.00M,,1.288B,1.148B,518.00M,-518.00M,-23.00M,-518.00M,607.00M,100.00M,507.00M,-5.00M,,-2.00M,,500.00M,646.16M,2.286B,1.161B,1.125B,,0.72,-0.01,,,0.9208,0.71,,0.72,-0.01,,,0.9205,0.71,,703.00M,704.00M,0.89,,AOR,Restated
2018-03,6.135B,6.135B,3.453B,2.682B,43.00M,-143.00M,316.00M,515.00M,-515.00M,,1.283B,1.399B,515.00M,-515.00M,-81.00M,-515.00M,803.00M,181.00M,622.00M,,,-2.00M,,620.00M,730.77M,2.407B,1.089B,1.318B,,0.88,,,,1.038,0.88,,0.88,,,,1.038,0.88,,701.00M,701.00M,0.89,,AOR,Restated
2017-12,5.799B,5.799B,3.286B,2.513B,66.00M,175.00M,309.00M,511.00M,-498.00M,,1.242B,1.271B,511.00M,-498.00M,93.00M,-498.00M,866.00M,161.00M,705.00M,-2.00M,,0.00,,703.00M,562.53M,2.433B,1.056B,1.377B,,1.00,0.00,,,0.7965,1.00,,1.00,0.00,,,0.7965,1.00,,700.00M,700.00M,0.89,,AOR,Restated
2017-09,6.482B,6.482B,3.407B,3.075B,207.00M,-201.00M,313.00M,498.00M,-498.00M,,1.213B,1.862B,498.00M,-498.00M,-43.00M,-498.00M,1.321B,364.00M,957.00M,-2.00M,,-1.00M,,954.00M,1.102B,2.856B,1.037B,1.819B,,1.36,0.00,,,1.568,1.36,,1.36,0.00,,,1.568,1.36,,700.00M,700.00M,0.89,,AOR,Restated
2017-06,5.555B,5.555B,3.058B,2.497B,9.00M,-2.00M,307.00M,486.00M,-486.00M,,1.142B,1.355B,486.00M,-486.00M,149.00M,-486.00M,1.018B,327.00M,691.00M,-2.00M,,-3.00M,,686.00M,689.29M,2.466B,962.00M,1.504B,,0.98,0.00,,,0.9818,0.98,,0.98,0.00,,,0.9818,0.98,,700.00M,700.00M,0.855,,AOR,Restated
2017-03,5.729B,5.729B,3.175B,2.554B,0.00,11.00M,304.00M,491.00M,-491.00M,,1.163B,1.391B,491.00M,-491.00M,161.00M,-491.00M,1.061B,344.00M,717.00M,,,-1.00M,,716.00M,708.56M,2.543B,991.00M,1.552B,,1.02,,,,1.009,1.02,,1.02,,,,1.009,1.02,,700.00M,700.00M,0.855,,AOR,Restated
2016-12,5.577B,5.577B,3.683B,1.894B,4.00M,202.00M,255.00M,485.00M,-464.00M,,1.147B,747.00M,485.00M,-464.00M,229.00M,-464.00M,512.00M,136.00M,376.00M,-598.00M,,-5.00M,,-227.00M,222.66M,2.03B,1.033B,997.00M,,0.52,-0.86,,,0.3072,-0.34,,0.52,-0.86,,,0.3072,-0.34,,697.00M,697.00M,0.855,,AOR,Restated
2016-09,6.576B,6.576B,3.497B,3.079B,10.00M,-4.00M,302.00M,464.00M,-464.00M,,1.121B,1.958B,464.00M,-464.00M,22.00M,-464.00M,1.516B,515.00M,1.001B,180.00M,,-5.00M,,1.176B,998.64M,2.959B,979.00M,1.98B,,1.44,0.26,,,1.444,1.70,,1.44,0.26,,,1.444,1.70,,689.00M,691.00M,0.855,,AOR,Restated
2016-06,5.213B,5.213B,2.881B,2.332B,1.00M,7.00M,290.00M,478.00M,-478.00M,,1.08B,1.252B,478.00M,-478.00M,103.00M,-478.00M,877.00M,253.00M,624.00M,-112.00M,,-3.00M,,509.00M,616.02M,2.292B,937.00M,1.355B,,0.90,-0.16,,,0.8928,0.74,,0.90,-0.16,,,0.8928,0.74,,689.00M,690.00M,0.825,,AOR,Restated
2016-03,5.377B,5.377B,3.053B,2.324B,3.00M,4.00M,295.00M,489.00M,-489.00M,,1.088B,1.236B,489.00M,-489.00M,82.00M,-489.00M,829.00M,252.00M,577.00M,122.00M,,-5.00M,,694.00M,569.22M,2.249B,931.00M,1.318B,,0.83,0.18,,,0.8260,1.01,,0.83,0.18,,,0.8260,1.01,,689.00M,689.00M,0.825,,AOR,Restated
2015-12,4.234B,4.234B,2.545B,1.689B,-5.00M,168.00M,293.00M,319.00M,-299.00M,,1.005B,684.00M,319.00M,-299.00M,87.00M,-299.00M,472.00M,138.00M,334.00M,148.00M,,-5.00M,,477.00M,210.12M,1.724B,933.00M,791.00M,,0.49,0.20,,,0.3172,0.69,,0.49,0.20,,,0.3172,0.69,,688.00M,688.00M,0.825,,AOR,Restated
2015-09,6.483B,6.483B,3.621B,2.862B,111.00M,-107.00M,293.00M,402.00M,-402.00M,,1.067B,1.795B,402.00M,-402.00M,-33.00M,-402.00M,1.36B,420.00M,940.00M,-5.00M,,-3.00M,,932.00M,1.011B,2.658B,896.00M,1.762B,,1.36,-0.01,,,1.467,1.35,,1.36,-0.01,,,1.467,1.35,,688.00M,688.00M,0.825,,AOR,Restated
2015-06,5.589B,5.589B,3.287B,2.302B,0.00,13.00M,279.00M,403.00M,-403.00M,,1.069B,1.233B,403.00M,-403.00M,108.00M,-403.00M,938.00M,334.00M,604.00M,-57.00M,,-4.00M,,543.00M,591.63M,2.242B,901.00M,1.341B,,0.87,-0.09,,,0.8579,0.78,,0.87,-0.09,,,0.8579,0.78,,692.00M,692.00M,0.795,,AOR,Restated
2015-03,6.065B,6.065B,3.582B,2.483B,0.00,14.00M,264.00M,403.00M,-403.00M,,1.041B,1.442B,403.00M,-403.00M,101.00M,-403.00M,1.14B,364.00M,776.00M,91.00M,,-3.00M,,864.00M,763.47M,2.426B,883.00M,1.543B,,1.09,0.13,,,1.077,1.22,,1.09,0.13,,,1.077,1.22,,708.00M,708.00M,0.795,,AOR,Restated
2014-12,4.143B,4.143B,2.638B,1.505B,0.00,134.00M,268.00M,317.00M,-301.00M,,932.00M,573.00M,317.00M,-301.00M,43.00M,-301.00M,315.00M,144.00M,171.00M,-71.00M,,-3.00M,,97.00M,80.90M,1.498B,866.00M,632.00M,,0.25,-0.11,,,0.1268,0.14,,0.25,-0.11,,,0.1268,0.14,,707.00M,707.00M,0.795,,AOR,Restated
2014-09,6.395B,6.395B,3.716B,2.679B,1.00M,3.00M,275.00M,405.00M,-405.00M,,1.063B,1.616B,405.00M,-405.00M,140.00M,-405.00M,1.351B,460.00M,891.00M,378.00M,,5.00M,,1.274B,894.02M,2.649B,893.00M,1.756B,,1.25,0.55,,,1.247,1.80,,1.25,0.55,,,1.247,1.80,,707.00M,707.00M,0.795,,AOR,Restated
2014-06,5.708B,5.708B,3.368B,2.34B,-16.00M,22.00M,311.00M,403.00M,-403.00M,,1.073B,1.267B,403.00M,-403.00M,144.00M,-403.00M,1.008B,282.00M,726.00M,-113.00M,,-4.00M,,609.00M,706.16M,2.275B,864.00M,1.411B,,1.02,-0.16,,,0.9976,0.86,,1.02,-0.16,,,0.9976,0.86,,707.00M,707.00M,0.78,,AOR,Restated
2014-03,6.263B,6.263B,3.701B,2.562B,96.00M,-95.00M,350.00M,404.00M,-404.00M,,1.105B,1.457B,404.00M,-404.00M,36.00M,-404.00M,1.089B,339.00M,750.00M,-843.00M,,-4.00M,,-97.00M,811.36M,2.377B,884.00M,1.493B,,1.05,-1.19,,,1.143,-0.14,,1.05,-1.19,,,1.143,-0.14,,706.00M,706.00M,0.78,,AOR,Restated
2013-12,5.624B,5.624B,3.373B,2.251B,11.00M,227.00M,302.00M,418.00M,-392.00M,,1.03B,1.221B,418.00M,-392.00M,155.00M,-392.00M,984.00M,296.00M,688.00M,4.00M,,-4.00M,,688.00M,525.28M,2.266B,864.00M,1.402B,,0.97,0.01,,,0.7452,0.98,,0.96,0.01,,,0.7352,0.97,,706.00M,706.00M,0.78,,AOR,Restated
2013-09,6.217B,6.217B,3.563B,2.654B,2.00M,-3.00M,319.00M,378.00M,-378.00M,,991.00M,1.663B,378.00M,-378.00M,84.00M,-378.00M,1.369B,423.00M,946.00M,62.00M,,-4.00M,,1.004B,944.07M,2.568B,821.00M,1.747B,,1.33,0.09,,,1.333,1.42,,1.33,0.09,,,1.333,1.42,,706.00M,706.00M,0.78,,AOR,Restated
2013-06,5.879B,5.879B,3.672B,2.207B,386.00M,-385.00M,323.00M,381.00M,-381.00M,,1.001B,1.206B,381.00M,-381.00M,-315.00M,-381.00M,510.00M,165.00M,345.00M,-3.00M,,-3.00M,,339.00M,601.88M,1.673B,782.00M,891.00M,,0.48,0.00,,,0.8481,0.48,,0.48,0.00,,,0.8481,0.48,,706.00M,706.00M,0.765,,AOR,Restated
2013-03,5.898B,5.898B,3.682B,2.216B,0.00,2.00M,343.00M,367.00M,-367.00M,,1.003B,1.213B,367.00M,-367.00M,118.00M,-367.00M,964.00M,330.00M,634.00M,0.00,,0.00,,634.00M,632.68M,2.093B,762.00M,1.331B,,0.89,0.00,,,0.8881,0.89,,0.89,0.00,,,0.8881,0.89,,705.00M,705.00M,0.765,,AOR,Restated
2012-12,3.983B,3.983B,2.613B,1.37B,-2.00M,313.00M,284.00M,387.00M,-337.00M,,809.00M,561.00M,387.00M,-337.00M,105.00M,-337.00M,329.00M,58.00M,271.00M,166.00M,,-2.00M,,435.00M,11.18M,1.503B,787.00M,716.00M,,0.27,0.29,,,-0.0967,0.56,,0.27,0.29,,,-0.0947,0.56,,703.00M,707.00M,0.765,,AOR,Restated
2012-09,6.722B,6.722B,4.40B,2.322B,266.00M,-252.00M,326.00M,401.00M,-401.00M,,992.00M,1.33B,401.00M,-401.00M,-87.00M,-401.00M,842.00M,248.00M,594.00M,4.00M,,-4.00M,,594.00M,767.91M,2.031B,788.00M,1.243B,,0.84,0.01,,,1.095,0.85,,0.84,0.01,,,1.095,0.85,,699.00M,699.00M,0.765,,AOR,Restated
2012-06,3.577B,3.577B,2.149B,1.428B,0.00,3.00M,171.00M,232.00M,-232.00M,,646.00M,782.00M,232.00M,-232.00M,113.00M,-232.00M,663.00M,214.00M,449.00M,-1.00M,,-4.00M,,444.00M,442.97M,1.428B,533.00M,895.00M,,0.99,0.00,,,0.9854,0.99,,0.99,0.00,,,0.9854,0.99,,446.00M,446.00M,0.7500,,AOR,Restated
2012-03,3.63B,3.63B,2.073B,1.557B,402.00M,-404.00M,184.00M,224.00M,-224.00M,,663.00M,894.00M,224.00M,-224.00M,-270.00M,-224.00M,400.00M,103.00M,297.00M,2.00M,,-4.00M,,295.00M,592.77M,1.168B,544.00M,624.00M,,0.65,0.01,,,1.322,0.66,,0.65,0.01,,,1.322,0.66,,446.00M,446.00M,0.7500,,AOR,Restated
2011-12,3.368B,3.368B,4.903B,-1.535B,,-55.00M,166.00M,224.00M,-171.00M,,-2.079B,544.00M,224.00M,-171.00M,45.00M,-171.00M,409.00M,119.00M,290.00M,0.00,,-2.00M,,288.00M,327.00M,1.151B,518.00M,633.00M,,0.64,0.00,,,0.7278,0.64,,0.64,0.00,,,0.7278,0.64,,444.00M,444.00M,0.7500,,AOR,Restated
2011-09,3.964B,3.964B,1.388B,2.576B,,-220.00M,183.00M,213.00M,-213.00M,866.00M,1.504B,1.072B,213.00M,-213.00M,-177.00M,-213.00M,677.00M,208.00M,469.00M,1.00M,,2.00M,,472.00M,623.41M,1.407B,517.00M,890.00M,,1.06,0.00,,,1.403,1.06,,1.06,0.00,,,1.403,1.06,,444.00M,444.00M,0.7500,,AOR,Restated
2011-06,3.534B,3.534B,1.285B,2.249B,,100.00M,169.00M,203.00M,-203.00M,959.00M,1.565B,684.00M,203.00M,-203.00M,148.00M,-203.00M,633.00M,192.00M,441.00M,0.00,,-6.00M,,435.00M,365.33M,1.323B,487.00M,836.00M,,0.9798,0.00,,,0.8229,0.9798,,0.9798,0.00,,,0.8229,0.9798,,444.04M,444.04M,0.7350,,AOR,Restated
2011-03,3.663B,3.663B,1.339B,2.324B,,129.00M,186.00M,219.00M,-219.00M,880.00M,1.52B,804.00M,219.00M,-219.00M,161.00M,-219.00M,746.00M,233.00M,513.00M,0.00,,-2.00M,,511.00M,422.29M,1.469B,504.00M,965.00M,,1.140,0.00,,,0.9399,1.140,,1.140,0.00,,,0.9401,1.140,,443.33M,443.67M,0.7350,,AOR,Restated
2010-12,3.445B,3.445B,4.985B,-1.54B,,170.00M,164.00M,216.00M,-149.00M,,-2.103B,563.00M,216.00M,-149.00M,269.00M,-149.00M,674.00M,247.00M,427.00M,2.00M,,-2.00M,,427.00M,317.30M,1.403B,513.00M,890.00M,,0.9500,0.01,,,0.7058,0.9600,,0.9500,0.01,,,0.7074,0.9600,,441.00M,444.00M,0.7350,,AOR,Restated
2010-09,3.946B,3.946B,1.361B,2.585B,,71.00M,182.00M,202.00M,-202.00M,881.00M,1.51B,1.075B,202.00M,-202.00M,92.00M,-202.00M,967.00M,301.00M,666.00M,0.00,,4.00M,,670.00M,621.10M,1.671B,502.00M,1.169B,,1.530,0.00,,,1.419,1.530,,1.530,0.00,,,1.419,1.530,,440.00M,440.67M,0.7350,,AOR,
2010-06,3.287B,3.287B,1.117B,2.17B,,-568.00M,163.00M,212.00M,-212.00M,944.00M,1.533B,637.00M,212.00M,-212.00M,-532.00M,-212.00M,-102.00M,116.00M,-218.00M,1.00M,,-5.00M,,-222.00M,146.20M,583.00M,473.00M,110.00M,,-0.5100,0.00,,,0.3329,-0.5100,,-0.5100,0.00,,,0.3329,-0.5100,,438.00M,438.00M,0.7200,,AOR,Restated
2010-03,3.594B,3.594B,1.287B,2.307B,,91.00M,193.00M,210.00M,-210.00M,899.00M,1.548B,759.00M,210.00M,-210.00M,120.00M,-210.00M,671.00M,226.00M,445.00M,,,0.00,,445.00M,384.65M,1.387B,506.00M,881.00M,,1.020,0.00,,,0.8818,1.020,,1.020,0.00,,,0.8819,1.020,,436.67M,437.00M,0.7200,,AOR,Restated
2009-12,3.11B,3.11B,1.104B,2.006B,,53.00M,157.00M,191.00M,-191.00M,819.00M,1.379B,627.00M,191.00M,-191.00M,90.00M,-191.00M,494.00M,158.00M,336.00M,12.00M,,-2.00M,,346.00M,297.95M,1.136B,451.00M,685.00M,,0.7800,0.03,,,0.6971,0.8100,,0.7800,0.03,,,0.6972,0.8100,,435.00M,435.33M,0.7200,,AOR,Restated
2009-09,3.396B,3.396B,1.138B,2.258B,,-332.00M,175.00M,190.00M,-190.00M,805.00M,1.412B,846.00M,190.00M,-190.00M,-318.00M,-190.00M,351.00M,244.00M,107.00M,-1.00M,,3.00M,,109.00M,325.80M,1.019B,478.00M,541.00M,,0.24,0.00,,,0.7384,0.24,,0.24,0.00,,,0.7380,0.24,,433.00M,433.33M,0.7200,,AOR,Restated
2009-06,2.913B,2.913B,983.00M,1.93B,,100.00M,160.00M,186.00M,-186.00M,848.00M,1.415B,515.00M,186.00M,-186.00M,119.00M,-186.00M,461.00M,177.00M,284.00M,-2.00M,,-6.00M,,276.00M,216.39M,1.101B,454.00M,647.00M,,0.6600,0.00,,,0.5165,0.6300,,0.6600,0.00,,,0.5166,0.6300,,429.33M,429.67M,0.6900,,AOR,Restated
2009-03,3.312B,3.312B,1.219B,2.093B,,22.00M,193.00M,184.00M,-184.00M,811.00M,1.418B,675.00M,184.00M,-184.00M,28.00M,-184.00M,525.00M,179.00M,346.00M,3.00M,,-5.00M,,344.00M,326.50M,1.172B,463.00M,709.00M,,0.8100,0.00,,,0.7761,0.8100,,0.8100,0.00,,,0.7761,0.8100,,427.33M,427.67M,0.6900,,AOR,Restated
2008-12,3.133B,3.133B,1.252B,1.881B,,-88.00M,136.00M,189.00M,-59.00M,851.00M,1.394B,487.00M,189.00M,-59.00M,-88.00M,-59.00M,356.00M,95.00M,261.00M,2.00M,,1.00M,,331.00M,326.52M,992.00M,447.00M,545.00M,,0.6300,0.03,,,0.7826,0.8100,,0.6300,0.00,,,0.7824,0.7800,,422.67M,423.33M,0.6900,,,Restated
2008-09,3.508B,3.508B,1.411B,2.097B,,-53.00M,170.00M,176.00M,-176.00M,838.00M,1.44B,657.00M,176.00M,-176.00M,-137.00M,-176.00M,346.00M,132.00M,214.00M,-1.00M,,2.00M,,215.00M,248.78M,1.001B,479.00M,522.00M,,0.5100,0.00,,,0.5877,0.5100,,0.5100,0.00,,,0.5876,0.5100,,421.67M,422.33M,0.6900,,,Restated
2008-06,3.229B,3.229B,1.126B,2.103B,,75.00M,158.00M,194.00M,-194.00M,877.00M,1.453B,650.00M,194.00M,-194.00M,14.00M,-194.00M,503.00M,167.00M,336.00M,13.00M,,2.00M,,351.00M,287.90M,1.153B,456.00M,697.00M,,0.8100,0.03,,,0.6911,0.8400,,0.8100,0.03,,,0.6913,0.8400,,421.33M,422.00M,0.6600,,,Restated
2008-03,3.337B,3.337B,1.231B,2.106B,,74.00M,175.00M,182.00M,-182.00M,785.00M,1.373B,733.00M,182.00M,-182.00M,117.00M,-182.00M,686.00M,222.00M,464.00M,2.00M,,-1.00M,,465.00M,412.95M,1.32B,452.00M,868.00M,,1.110,0.00,,,0.9914,1.110,,1.110,0.00,,,0.9916,1.110,,422.00M,422.67M,0.6600,,,Restated
2007-12,3.031B,3.031B,1.043B,1.988B,,140.00M,149.00M,,,960.00M,1.509B,479.00M,,,140.00M,,430.00M,117.00M,313.00M,-70.00M,,-3.00M,,243.00M,211.09M,879.00M,394.00M,479.00M,,0.7500,-0.18,,,0.5079,0.5700,,0.7200,-0.18,,,0.4785,0.5700,,421.00M,422.00M,0.6600,,,
2007-09,3.688B,3.688B,1.329B,2.359B,,120.00M,173.00M,,,782.00M,1.429B,930.00M,,,120.00M,,877.00M,304.00M,573.00M,34.00M,,4.00M,,607.00M,494.60M,1.476B,546.00M,930.00M,,1.350,0.09,,,1.163,1.440,,1.350,0.09,,,1.164,1.440,,420.00M,421.67M,0.6600,,,
2007-06,2.966B,2.966B,1.051B,1.915B,,121.00M,153.00M,,,833.00M,1.425B,490.00M,,,121.00M,,451.00M,152.00M,299.00M,-6.00M,,-1.00M,,293.00M,218.78M,977.00M,487.00M,490.00M,,0.7200,-0.03,,,0.5290,0.6900,,0.7200,-0.03,,,0.5301,0.6900,,420.00M,422.33M,0.6300,,,
2007-03,3.035B,3.035B,1.08B,1.955B,,42.00M,174.00M,,,749.00M,1.356B,599.00M,,,42.00M,,476.00M,139.00M,337.00M,20.00M,,-2.00M,,357.00M,307.26M,1.06B,461.00M,599.00M,,0.8100,0.03,,,0.7390,0.8400,,0.8100,0.03,,,0.7396,0.8400,,419.00M,422.67M,0.6300,,,
2006-12,2.805B,2.805B,1.076B,1.729B,,143.00M,143.00M,,,1.001B,1.53B,199.00M,,,143.00M,,181.00M,-19.00M,200.00M,187.00M,,1.00M,,387.00M,114.20M,762.00M,563.00M,199.00M,,0.45,0.45,,,0.2452,0.9000,,0.45,0.45,,,0.2467,0.9000,,419.00M,422.00M,0.9600,,,
2006-09,3.279B,3.279B,1.164B,2.115B,,356.00M,151.00M,,,897.00M,1.49B,625.00M,,,356.00M,,791.00M,310.00M,481.00M,282.00M,,-8.00M,,763.00M,264.52M,1.235B,610.00M,625.00M,,1.140,0.6900,,,0.6221,1.830,,1.140,0.6600,,,0.6258,1.800,,418.00M,421.00M,0.9600,,,
2006-06,2.903B,2.903B,1.083B,1.82B,,220.00M,154.00M,,,1.007B,1.605B,215.00M,,,220.00M,,247.00M,51.00M,196.00M,159.00M,,-3.00M,,355.00M,21.43M,819.00M,604.00M,215.00M,,0.48,0.39,,,0.0570,0.8700,,0.48,0.36,,,0.0640,0.8400,,412.67M,419.67M,0.9300,,,
2006-03,1.62B,1.62B,388.00M,1.232B,,79.00M,86.00M,,,535.00M,894.00M,338.00M,,,79.00M,,311.00M,108.00M,203.00M,155.00M,,-3.00M,,358.00M,151.43M,776.00M,438.00M,338.00M,,0.6600,0.5100,,,0.4933,1.170,,0.6300,0.48,,,0.4694,1.110,,309.33M,321.00M,0.9300,,,
2005-12,-6.724B,-6.724B,-5.32B,-1.404B,,-1.853B,-105.00M,,,-71.00M,-402.00M,-1.002B,,,-1.853B,,-1.939B,-720.00M,-1.219B,1.829B,,484.00M,5.00M,606.00M,-54.07M,-581.00M,421.00M,-1.002B,,-3.930,5.880,,,-0.1962,7.770,,-3.930,5.760,,,-0.3382,7.530,,312.00M,324.33M,0.9300,,,
2005-09,3.028B,3.028B,804.00M,2.224B,,759.00M,134.00M,,,794.00M,1.334B,890.00M,,,759.00M,,1.411B,487.00M,924.00M,-883.00M,,-10.00M,3.00M,41.00M,426.97M,1.296B,382.00M,890.00M,,2.970,-2.850,,,1.360,0.12,,2.880,-2.850,,,1.333,0.12,,308.67M,321.33M,0.9300,,,
2005-06,5.274B,5.274B,3.005B,2.269B,,92.00M,145.00M,,,896.00M,1.503B,766.00M,,,92.00M,,485.00M,157.00M,328.00M,-19.00M,,-78.00M,2.00M,309.00M,265.78M,1.297B,531.00M,766.00M,,1.050,-0.06,,,0.8486,0.9900,,1.020,-0.06,,,0.8264,0.9600,,309.00M,321.33M,0.8250,,,
2005-03,5.328B,5.328B,3.099B,2.229B,,1.355B,153.00M,,,929.00M,1.563B,666.00M,,,1.355B,,1.311B,451.00M,860.00M,8.00M,,-420.00M,2.00M,868.00M,-28.86M,1.216B,550.00M,666.00M,,2.700,0.03,,,-0.0952,2.730,,2.610,0.03,,,-0.0835,2.640,,318.00M,330.00M,0.8250,,,
2004-12,5.542B,5.542B,3.139B,2.403B,,89.00M,125.00M,,,1.098B,1.67B,733.00M,,,89.00M,,471.00M,168.00M,303.00M,55.00M,,-54.00M,2.00M,358.00M,245.75M,1.246B,513.00M,733.00M,,0.9300,0.18,,,0.7493,1.110,,0.9000,0.18,,,0.7223,1.080,,316.93M,322.25M,0.8250,,,
