,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.161B,4.161B,2.438B,1.723B,998.00M,998.00M,78.00M,-66.00M,42.00M,2.00M,-40.00M,,1.076B,647.00M,2.00M,42.00M,-40.00M,-44.00M,-40.00M,563.00M,111.00M,452.00M,,,-7.00M,445.00M,497.80M,849.00M,244.00M,605.00M,,0.74,,,0.8282,0.74,,0.74,,,0.8277,0.74,,598.50M,601.90M,0.505,,AOR,
2020-09,4.558B,4.558B,2.676B,1.882B,946.00M,946.00M,61.00M,-68.00M,43.00M,3.00M,-40.00M,,1.013B,869.00M,3.00M,43.00M,-40.00M,-64.00M,-40.00M,765.00M,35.00M,730.00M,,,-7.00M,723.00M,787.89M,1.031B,223.00M,808.00M,,1.209,,,1.318,1.209,,1.20,,,1.308,1.20,,597.20M,601.20M,0.50,,AOR,
2020-06,3.914B,3.914B,2.296B,1.618B,934.00M,934.00M,60.00M,-88.00M,49.00M,4.00M,-45.00M,33.00M,1.027B,591.00M,4.00M,49.00M,-45.00M,-88.00M,-45.00M,458.00M,51.00M,407.00M,,,-8.00M,399.00M,477.32M,716.00M,209.00M,507.00M,,0.67,,,0.8012,0.67,,0.67,,,0.8005,0.67,,596.90M,600.00M,0.50,,AOR,
2020-03,4.162B,4.162B,2.412B,1.75B,983.00M,983.00M,59.00M,-31.00M,42.00M,6.00M,-36.00M,,1.042B,708.00M,6.00M,42.00M,-36.00M,17.00M,-36.00M,689.00M,165.00M,524.00M,,,-7.00M,517.00M,540.56M,942.00M,211.00M,731.00M,,0.85,,,0.8888,0.85,,0.84,,,0.8786,0.84,,607.40M,611.00M,0.50,,AOR,
2019-12,4.151B,4.151B,2.392B,1.759B,1.136B,1.136B,59.00M,-97.00M,41.00M,6.00M,-35.00M,,1.195B,564.00M,6.00M,41.00M,-35.00M,-106.00M,-35.00M,423.00M,94.00M,329.00M,,,-3.00M,326.00M,401.66M,675.00M,211.00M,464.00M,,0.53,,,0.6540,0.53,,0.53,,,0.6532,0.53,,610.00M,614.10M,0.50,,AOR,Restated
2019-09,4.971B,4.971B,2.843B,2.128B,1.109B,1.109B,61.00M,-55.00M,48.00M,8.00M,-40.00M,,1.215B,913.00M,8.00M,48.00M,-40.00M,-47.00M,-40.00M,826.00M,102.00M,724.00M,,,-7.00M,717.00M,765.21M,1.087B,213.00M,874.00M,,1.173,,,1.252,1.173,,1.16,,,1.238,1.16,,612.60M,617.60M,0.49,,AOR,Restated
2019-06,4.684B,4.684B,2.683B,2.001B,1.126B,1.126B,60.00M,-20.00M,50.00M,7.00M,-43.00M,-15.00M,1.171B,830.00M,7.00M,50.00M,-43.00M,-20.00M,-43.00M,767.00M,155.00M,612.00M,,,-8.00M,604.00M,620.00M,1.02B,203.00M,817.00M,,0.98,,,1.006,0.98,,0.97,,,0.9958,0.97,,614.30M,619.00M,0.49,,AOR,Restated
2019-03,4.57B,4.57B,2.645B,1.925B,1.145B,1.145B,60.00M,-10.00M,55.00M,7.00M,-48.00M,,1.205B,720.00M,7.00M,55.00M,-48.00M,3.00M,-48.00M,675.00M,150.00M,525.00M,,,-5.00M,520.00M,527.80M,934.00M,204.00M,730.00M,,0.85,,,0.8627,0.85,,0.84,,,0.8526,0.84,,614.00M,618.10M,0.49,,AOR,Restated
2018-12,4.147B,4.147B,2.386B,1.761B,1.077B,1.077B,57.00M,-10.00M,48.00M,5.00M,-43.00M,,1.134B,627.00M,5.00M,48.00M,-43.00M,7.00M,-43.00M,591.00M,124.00M,467.00M,,,-2.00M,465.00M,472.90M,841.00M,202.00M,639.00M,,0.74,,,0.7527,0.74,,0.74,,,0.7526,0.74,,623.90M,627.80M,0.49,,AOR,Restated
2018-09,4.888B,4.888B,2.829B,2.059B,1.181B,1.181B,57.00M,-27.00M,89.00M,,-46.00M,,1.238B,821.00M,,89.00M,-46.00M,-37.00M,-46.00M,738.00M,116.00M,622.00M,,,-5.00M,617.00M,639.76M,1.028B,201.00M,827.00M,,0.98,,,1.016,0.98,,0.97,,,1.006,0.97,,627.80M,631.70M,0.485,,AOR,Restated
