,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2020-09,323.00M,,,-106.00M,-106.00M,,,,426.00M,111.00M,,0.00,15.00M,15.00M,-103.00M,-24.00M,-363.00M,-2.00M,,32.00M,-460.00M,452.00M,,2020-09,-339.00M,,-14.00M,,-84.00M,,-412.00M,,2020-09,-608.00M,40.00M,-568.00M,3.00M,,3.00M,-485.00M,-485.00M,-53.00M,,2020-09,1.133B,-1.063B,70.00M,,2020-09,3.00M,2.00M,-610.00M,,2020-09,AOR,
2020-06,315.00M,0.00,,-108.00M,-108.00M,,,,430.00M,118.00M,,0.00,15.00M,15.00M,18.00M,-28.00M,305.00M,-33.00M,,-43.00M,219.00M,1.143B,,2020-06,-320.00M,,-13.00M,,-36.00M,,-341.00M,,2020-06,486.00M,0.00,486.00M,0.00,,0.00,-486.00M,-486.00M,-69.00M,,2020-06,400.00M,733.00M,1.133B,,2020-06,0.00,2.194B,-1.708B,,2020-06,AOR,
2020-03,-570.00M,,,-22.00M,-22.00M,,,,429.00M,-177.00M,,1.125B,9.00M,1.134B,67.00M,19.00M,-305.00M,20.00M,,23.00M,-176.00M,787.00M,,2020-03,-309.00M,,-3.00M,,-30.00M,,-329.00M,,2020-03,184.00M,,184.00M,6.00M,,6.00M,-485.00M,-485.00M,-52.00M,,2020-03,289.00M,111.00M,400.00M,,2020-03,6.00M,1.702B,-1.518B,,2020-03,AOR,
2019-12,-66.00M,31.00M,,-115.00M,-84.00M,,,,439.00M,108.00M,,388.00M,13.00M,401.00M,-125.00M,-2.00M,107.00M,31.00M,,-17.00M,-6.00M,991.00M,,2019-12,-412.00M,,-8.00M,,-94.00M,,-483.00M,,2019-12,26.00M,0.00,26.00M,0.00,,0.00,-460.00M,-460.00M,-32.00M,,2019-12,247.00M,42.00M,289.00M,,2019-12,0.00,31.00M,-5.00M,,2019-12,AOR,
2019-09,242.00M,0.00,,-93.00M,-93.00M,,,,435.00M,86.00M,,114.00M,14.00M,128.00M,10.00M,3.00M,28.00M,6.00M,,-118.00M,-71.00M,858.00M,,2019-09,-803.00M,,-17.00M,,-120.00M,,-920.00M,,2019-09,-20.00M,0.00,-20.00M,4.00M,,4.00M,-461.00M,-461.00M,-20.00M,,2019-09,806.00M,-559.00M,247.00M,,2019-09,4.00M,16.00M,-36.00M,,2019-09,AOR,Restated
2019-06,324.00M,-122.00M,,-87.00M,-209.00M,,,,424.00M,107.00M,,74.00M,16.00M,90.00M,52.00M,3.00M,153.00M,-10.00M,,-20.00M,178.00M,1.069B,,2019-06,-508.00M,,-11.00M,,342.00M,,-166.00M,,2019-06,8.00M,-1.018B,-1.01B,0.00,,0.00,-461.00M,-461.00M,1.331B,,2019-06,43.00M,763.00M,806.00M,,2019-06,0.00,12.00M,-4.00M,,2019-06,AOR,Restated
2019-03,214.00M,,,-80.00M,-80.00M,,,,416.00M,75.00M,,74.00M,14.00M,88.00M,97.00M,1.00M,-181.00M,-6.00M,,-21.00M,-110.00M,775.00M,,2019-03,-426.00M,,-4.00M,,-826.00M,,-1.258B,,2019-03,-156.00M,1.014B,858.00M,6.00M,,6.00M,-460.00M,-460.00M,-46.00M,,2019-03,168.00M,-125.00M,43.00M,,2019-03,6.00M,708.00M,-864.00M,,2019-03,AOR,Restated
2018-12,-546.00M,-833.00M,,-117.00M,-950.00M,,,,435.00M,-131.00M,,1.883B,12.00M,-122.00M,-111.00M,23.00M,68.00M,61.00M,,47.00M,88.00M,962.00M,,2018-12,-602.00M,,-5.00M,,967.00M,,258.00M,,2018-12,178.00M,-823.00M,-645.00M,0.00,,0.00,-412.00M,-412.00M,-37.00M,,2018-12,42.00M,126.00M,168.00M,,2018-12,0.00,181.00M,-3.00M,,2018-12,AOR,Restated
2018-09,200.00M,0.00,,-105.00M,-105.00M,,,,425.00M,209.00M,,-2.00M,13.00M,11.00M,-46.00M,-6.00M,-61.00M,19.00M,,-91.00M,-185.00M,746.00M,,2018-09,-771.00M,,-5.00M,,-712.00M,,-1.314B,,2018-09,126.00M,821.00M,947.00M,4.00M,,4.00M,-411.00M,-411.00M,-205.00M,,2018-09,275.00M,-233.00M,42.00M,,2018-09,4.00M,1.566B,-1.44B,,2018-09,AOR,Restated
2018-06,269.00M,-62.00M,,-92.00M,-154.00M,,,,434.00M,69.00M,,66.00M,16.00M,82.00M,-117.00M,7.00M,286.00M,-59.00M,,-102.00M,15.00M,891.00M,,2018-06,-932.00M,,4.00M,,-70.00M,,-871.00M,,2018-06,-570.00M,0.00,-570.00M,1.00M,,1.00M,-282.00M,-282.00M,-186.00M,,2018-06,1.292B,-1.017B,275.00M,,2018-06,1.00M,131.00M,-701.00M,,2018-06,AOR,Restated
