,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-03,1.968B,1.968B,483.00M,1.485B,35.00M,69.00M,,,,1.099B,1.296B,189.00M,,,,35.00M,,114.00M,39.00M,75.00M,31.00M,-24.00M,-19.00M,,82.00M,128.00M,189.00M,,2003-03,0.52,0.3599,0.57,,2003-03,0.47,0.3240,0.52,,157.69M,0.00,,2003-03,,
2002-12,1.83B,1.83B,-1.527B,3.357B,-83.00M,72.00M,,,,3.677B,3.864B,-507.00M,,,,-83.00M,,-703.00M,-169.00M,-534.00M,-121.00M,0.00,-1.00M,,-655.00M,151.00M,-507.00M,,2002-12,-3.86,-3.511,-4.72,,2002-12,-3.86,-3.511,-4.72,,180.56M,0.18,,2002-12,,
2002-09,2.534B,2.534B,1.954B,580.00M,43.00M,46.00M,,,,296.00M,431.00M,149.00M,,,,43.00M,,65.00M,54.00M,11.00M,25.00M,1.00M,,,37.00M,116.00M,149.00M,,2002-09,0.08,-0.1013,0.26,,2002-09,0.08,-0.1013,0.26,,142.31M,0.18,,2002-09,,
2002-06,2.135B,2.135B,875.00M,1.26B,18.00M,47.00M,,,,975.00M,1.108B,152.00M,,,,18.00M,,42.00M,6.00M,36.00M,-127.00M,17.00M,-1.00M,,-74.00M,78.00M,152.00M,,2002-06,0.27,0.1555,-0.55,,2002-06,0.27,0.1555,-0.55,,134.70M,0.365,,2002-06,,
2002-03,2.263B,2.263B,692.00M,1.571B,14.00M,57.00M,,,,1.117B,1.296B,275.00M,,,,14.00M,,161.00M,68.00M,93.00M,-51.00M,,,,42.00M,140.00M,275.00M,,2002-03,0.70,0.6370,0.32,,2002-03,0.70,0.6389,0.32,,137.50M,0.365,,2002-03,,
2001-12,3.278B,3.278B,1.605B,1.673B,141.00M,49.00M,,,,1.753B,1.857B,-184.00M,,,,141.00M,,-91.00M,15.00M,-106.00M,58.00M,,10.00M,,-52.00M,154.00M,-184.00M,,2001-12,0.6801,0.0293,-0.3089,,2001-12,-0.38,-1.016,-0.38,,133.08M,0.365,,2001-12,,
2001-09,1.333B,1.333B,440.00M,893.00M,-1.00M,54.00M,,,,1.106B,1.273B,-380.00M,,,,-1.00M,,-547.00M,-184.00M,-363.00M,-206.00M,,-2.00M,,-569.00M,101.00M,-380.00M,,2001-09,-4.29,-4.285,-4.29,,2001-09,-4.29,-4.285,-4.29,,133.00M,0.365,,2001-09,,
2001-06,2.165B,2.165B,625.00M,1.54B,-9.00M,52.00M,,,,1.162B,1.315B,225.00M,,,,-9.00M,,54.00M,20.00M,34.00M,19.00M,,-1.00M,,53.00M,107.00M,225.00M,,2001-06,0.40,0.4429,0.40,,2001-06,0.40,0.4429,0.40,,132.00M,0.365,,2001-06,,
2001-03,4.126B,4.126B,1.779B,2.347B,4.00M,76.00M,,,,1.787B,2.016B,331.00M,,,,4.00M,,168.00M,59.00M,109.00M,,,-1.00M,,109.00M,162.00M,331.00M,,2001-03,0.87,0.8503,0.87,,2001-03,0.85,0.8303,0.85,,131.99M,0.365,,2001-03,,
2000-12,2.918B,2.918B,-1.331B,4.249B,-4.00M,30.00M,,,,4.126B,4.291B,-42.00M,,,,-4.00M,,-216.00M,-38.00M,-178.00M,,,1.00M,,-180.00M,142.00M,-42.00M,,2000-12,-1.89,-1.849,-1.89,,2000-12,-1.89,-1.851,-1.89,,85.04M,0.365,,2000-12,,
2000-09,2.395B,2.395B,1.859B,536.00M,4.00M,69.00M,,,,68.00M,289.00M,247.00M,,,,4.00M,,75.00M,20.00M,55.00M,,,-1.00M,,55.00M,177.00M,247.00M,,2000-09,0.51,0.4857,0.51,,2000-09,0.51,0.4857,0.51,,120.88M,0.365,,2000-09,,
2000-06,1.596B,1.596B,418.00M,1.178B,61.00M,70.00M,,,,764.00M,976.00M,202.00M,,,,61.00M,,93.00M,14.00M,79.00M,,,-1.00M,,79.00M,135.00M,202.00M,,2000-06,0.72,0.2489,0.72,,2000-06,0.71,0.2389,0.71,,110.00M,0.365,,2000-06,,
2000-03,1.828B,1.828B,392.00M,1.436B,2.00M,71.00M,,,,897.00M,1.144B,292.00M,,,,2.00M,,132.00M,52.00M,80.00M,,,-1.00M,,80.00M,183.00M,292.00M,,2000-03,0.66,0.6493,0.66,,2000-03,0.65,0.6393,0.65,,113.00M,0.365,,2000-03,,
1999-12,1.591B,1.591B,-1.437B,3.028B,35.00M,51.00M,,,,2.689B,2.886B,142.00M,,,,35.00M,,7.00M,-28.00M,35.00M,,,,,21.00M,130.00M,142.00M,,1999-12,0.15,-0.0352,-0.11,,1999-12,0.15,-0.0288,-0.11,,117.47M,0.365,,1999-12,,
1999-09,1.466B,1.466B,939.00M,527.00M,-3.00M,60.00M,,,,53.00M,254.00M,273.00M,,,,-3.00M,,107.00M,24.00M,83.00M,,,,,83.00M,151.00M,273.00M,,1999-09,0.79,0.8114,0.79,,1999-09,0.78,0.8014,0.78,,109.00M,0.365,,1999-09,,
1999-06,1.332B,1.332B,854.00M,478.00M,15.00M,60.00M,,,,49.00M,247.00M,231.00M,,,,15.00M,,105.00M,30.00M,75.00M,,,,,75.00M,155.00M,231.00M,,1999-06,0.68,0.5829,0.68,,1999-06,0.67,0.5743,0.67,,111.94M,0.33,,1999-06,,
1999-03,1.537B,1.537B,1.038B,499.00M,1.00M,66.00M,,,,30.00M,255.00M,244.00M,,,,1.00M,,135.00M,37.00M,98.00M,,,-13.00M,,98.00M,159.00M,244.00M,,1999-03,0.82,0.8139,0.82,,1999-03,0.80,0.7941,0.80,,122.50M,0.33,,1999-03,,
1998-12,1.349B,1.349B,,,,,,,,,,-3.068B,,,,,,,,51.00M,,0.00,,,51.00M,,-3.068B,,1998-12,0.2462,0.2462,-0.0648,,1998-12,0.2462,0.2462,-0.0648,,151.30M,0.33,,1998-12,,
1998-09,1.286B,1.286B,,,,,,,,,,1.286B,,,,,,,,81.00M,,,,,81.00M,,1.286B,,1998-09,0.81,0.81,0.81,,1998-09,0.80,0.80,0.80,,101.25M,0.33,,1998-09,,
1998-06,1.132B,1.132B,,,,,,,,,,1.132B,,,,,,,,65.00M,,,,,65.00M,,1.132B,,1998-06,0.63,0.63,0.63,,1998-06,0.62,0.62,0.62,,104.84M,0.30,,1998-06,,
