,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,580.00M,0.00,10.00M,-52.00M,,-160.00M,127.00M,127.00M,-126.00M,,23.00M,,-560.00M,398.00M,85.00M,-116.00M,-175.00M,192.00M,63.00M,,-149.00M,4.00M,-139.00M,-6.00M,4.00M,-2.315B,8.00M,1.098B,,-1.186B,-67.00M,-1.253B,,0.00,0.00,346.00M,,346.00M,367.00M,50.00M,-212.00M,,-2.00M,-1.386B,,3.221B,-225.00M,2.996B,,346.00M,18.00M,-1.204B,0.00,,,,AOR,
2020-06,197.00M,0.00,13.00M,-29.00M,,-13.00M,113.00M,113.00M,-45.00M,,24.00M,,765.00M,38.00M,-337.00M,167.00M,122.00M,-10.00M,1.519B,,-83.00M,3.00M,-76.00M,-4.00M,4.00M,-21.41B,6.00M,-18.51B,,-19.00M,-3.338B,-3.357B,,0.00,0.00,,,,-194.00M,-33.00M,-227.00M,,-8.00M,16.93B,,3.282B,-61.00M,3.221B,,,1.251B,-1.27B,0.00,,,,AOR,
2020-03,46.00M,0.00,-3.00M,23.00M,,-71.00M,118.00M,118.00M,-3.00M,,53.00M,,211.00M,-267.00M,-192.00M,-51.00M,-54.00M,-564.00M,433.00M,,-100.00M,9.00M,-65.00M,-26.00M,4.00M,-5.575B,2.00M,-14.18B,,1.08B,3.531B,4.611B,,0.00,0.00,,,,-173.00M,-17.00M,-190.00M,,-33.00M,13.75B,,3.278B,4.00M,3.282B,,,1.26B,-180.00M,0.00,,,,AOR,
2019-12,734.00M,0.00,2.00M,-15.00M,,-400.00M,183.00M,183.00M,-49.00M,,23.00M,,-204.00M,357.00M,734.00M,-91.00M,-95.00M,905.00M,1.379B,,-99.00M,55.00M,-44.00M,0.00,29.00M,740.00M,7.00M,530.00M,,563.00M,-1.986B,-1.423B,,-300.00M,-300.00M,0.00,,0.00,-660.00M,-93.00M,-207.00M,,-12.00M,-1.892B,,3.261B,17.00M,3.278B,,0.00,763.00M,-200.00M,-300.00M,,,,AOR,
2019-09,550.00M,0.00,2.00M,-5.00M,,-43.00M,91.00M,91.00M,-87.00M,,25.00M,,63.00M,-245.00M,-1.186B,259.00M,52.00M,-1.12B,-363.00M,,-74.00M,23.00M,-51.00M,0.00,20.00M,-1.032B,13.00M,-1.159B,,-1.399B,2.04B,641.00M,,-350.00M,-350.00M,242.00M,,242.00M,308.00M,18.00M,-220.00M,,3.00M,2.019B,,2.764B,497.00M,3.261B,,242.00M,10.00M,-1.409B,-350.00M,,,,AOR,Restated
2019-06,453.00M,0.00,0.00,-11.00M,,-46.00M,109.00M,109.00M,-43.00M,,30.00M,,-221.00M,-38.00M,198.00M,-221.00M,-46.00M,-107.00M,274.00M,,-96.00M,10.00M,-60.00M,-26.00M,10.00M,717.00M,5.00M,953.00M,,204.00M,-291.00M,-87.00M,,-200.00M,-200.00M,,,,-165.00M,-18.00M,-183.00M,,-22.00M,-1.212B,,2.749B,15.00M,2.764B,,,1.303B,-1.099B,-200.00M,,,,AOR,Restated
2019-03,775.00M,-562.00M,20.00M,-19.00M,,-582.00M,89.00M,89.00M,-67.00M,,54.00M,,-1.00M,-123.00M,274.00M,-38.00M,60.00M,173.00M,534.00M,,-61.00M,2.00M,-59.00M,0.00,2.208B,-2.164B,3.00M,-1.121B,,286.00M,408.00M,694.00M,,-913.00M,-913.00M,,,,-143.00M,0.00,-143.00M,,-27.00M,655.00M,,2.681B,68.00M,2.749B,,,1.79B,-1.504B,-913.00M,,,,AOR,Restated
2018-12,456.00M,0.00,-1.00M,28.00M,,-12.00M,85.00M,85.00M,45.00M,,21.00M,,117.00M,144.00M,-52.00M,25.00M,1.00M,118.00M,929.00M,,-87.00M,75.00M,-12.00M,0.00,-20.00M,-1.323B,5.00M,-3.24B,,-110.00M,-541.00M,-651.00M,,-400.00M,-400.00M,0.00,,0.00,-120.00M,-38.00M,-158.00M,,-1.00M,2.892B,,2.10B,581.00M,2.681B,,0.00,0.00,-110.00M,-400.00M,,,,AOR,Restated
2018-09,434.00M,0.00,-5.00M,7.00M,,-14.00M,49.00M,49.00M,-20.00M,,26.00M,,67.00M,34.00M,51.00M,-60.00M,-20.00M,5.00M,634.00M,,-36.00M,12.00M,8.00M,-32.00M,38.00M,117.00M,4.00M,-1.385B,,166.00M,-649.00M,-483.00M,,-500.00M,-500.00M,0.00,,0.00,-124.00M,-22.00M,-146.00M,,-2.00M,799.00M,,2.052B,48.00M,2.10B,,0.00,1.543B,-1.377B,-500.00M,,,,AOR,Restated
2018-06,602.00M,-205.00M,33.00M,9.00M,,-183.00M,133.00M,133.00M,-19.00M,,35.00M,,-14.00M,167.00M,54.00M,11.00M,225.00M,457.00M,1.028B,,-78.00M,10.00M,-42.00M,-26.00M,552.00M,-81.00M,4.00M,321.00M,,-461.00M,428.00M,-33.00M,,-235.00M,-235.00M,,,,-111.00M,-15.00M,-126.00M,,-30.00M,-1.335B,,2.038B,14.00M,2.052B,,,250.00M,-711.00M,-235.00M,,,,AOR,Restated
