,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-04,3.669B,7.558B,11.23B,5.987B,,5.987B,676.00M,496.00M,2.407B,3.579B,,,2.187B,22.98B,0.00,187.00M,2.265B,6.749B,1.058B,10.26B,-5.655B,4.604B,39.54B,21.72B,61.27B,,1.465B,,1.078B,68.41B,91.39B,,1.628B,979.00M,2.607B,3.431B,6.038B,698.00M,1.355B,2.053B,5.00M,2.058B,,,,10.08B,23.68B,21.00M,23.70B,1.423B,1.423B,1.425B,-6.00M,102.00M,889.00M,30.49B,40.57B,,0.00,24.38B,28.13B,,,-1.786B,50.72B,,AOR,Restated
2018-01,6.358B,8.078B,14.44B,5.775B,,5.775B,756.00M,523.00M,2.472B,3.751B,,,2.645B,26.61B,,,,,,10.01B,-5.489B,4.517B,39.80B,22.18B,61.97B,,1.537B,,1.166B,69.19B,95.80B,,1.809B,925.00M,2.734B,3.652B,6.386B,,,2.902B,,2.902B,,,,10.93B,25.89B,22.00M,25.91B,1.363B,1.363B,1.524B,10.00M,106.00M,964.00M,34.53B,45.46B,,0.00,23.43B,28.19B,,,-1.382B,50.23B,,AOR,Restated
2017-10,5.529B,7.997B,13.53B,5.752B,,5.752B,755.00M,515.00M,2.368B,3.638B,,,2.246B,25.16B,,,,,,10.12B,-5.674B,4.441B,39.08B,22.62B,61.70B,,1.749B,,1.404B,69.30B,94.46B,,1.718B,872.00M,2.59B,3.273B,5.863B,,,3.131B,,3.131B,,,,10.50B,25.89B,22.00M,25.91B,1.841B,1.841B,1.475B,30.00M,109.00M,933.00M,32.38B,42.88B,,0.00,25.44B,28.09B,,,-2.06B,51.47B,,AOR,Restated
2017-07,4.691B,8.397B,13.09B,5.784B,,5.784B,722.00M,490.00M,2.326B,3.538B,,,2.00B,24.78B,,,,,,9.89B,-5.503B,4.387B,39.20B,23.01B,62.20B,,1.598B,,7.284B,75.47B,100.25B,,1.759B,717.00M,2.476B,3.251B,5.727B,,,8.058B,,8.058B,,,59.00M,15.15B,25.89B,23.00M,25.91B,2.61B,2.61B,1.663B,41.00M,115.00M,1.026B,34.32B,49.46B,,0.00,24.04B,28.55B,,,-1.924B,50.67B,,AOR,Restated
2017-04,4.967B,8.741B,13.71B,5.591B,,5.591B,669.00M,458.00M,2.211B,3.338B,,,1.865B,24.87B,0.00,186.00M,2.175B,6.435B,895.00M,9.691B,-5.33B,4.361B,38.52B,23.41B,61.92B,,1.55B,,7.151B,74.98B,99.86B,,1.555B,633.00M,2.188B,2.618B,4.806B,901.00M,6.614B,7.515B,5.00M,7.52B,,,34.00M,14.26B,25.86B,23.00M,25.88B,2.978B,2.978B,1.724B,40.00M,122.00M,1.515B,35.26B,49.53B,,0.00,23.27B,29.55B,,,-2.613B,50.21B,,AOR,Restated
2017-01,2.768B,8.69B,11.46B,5.453B,,5.453B,803.00M,536.00M,2.381B,3.72B,,,1.792B,22.42B,,,,,,10.44B,-5.489B,4.947B,41.22B,26.21B,67.43B,,1.484B,,1.291B,75.16B,97.58B,,1.557B,821.00M,2.378B,2.547B,4.925B,,,6.226B,,6.226B,,,,12.67B,25.86B,24.00M,25.88B,3.643B,3.643B,1.61B,41.00M,106.00M,1.71B,35.41B,48.08B,,0.00,52.27B,,,,-2.879B,49.39B,,AOR,Restated
2016-10,2.954B,8.303B,11.26B,5.661B,,5.661B,765.00M,533.00M,2.419B,3.717B,,,1.891B,22.53B,,,,,,10.20B,-5.309B,4.891B,41.71B,26.74B,68.45B,,1.25B,,1.293B,75.88B,98.41B,,1.659B,,1.659B,3.098B,4.757B,,,3.367B,,3.367B,,,,9.601B,28.90B,27.00M,28.93B,3.754B,3.754B,1.768B,80.00M,107.00M,1.599B,38.51B,48.11B,,0.00,52.51B,,,,-2.328B,50.19B,,AOR,Restated
2016-07,3.06B,9.75B,12.81B,5.357B,,5.357B,737.00M,497.00M,2.346B,3.58B,,,1.751B,23.50B,,,,,,9.917B,-5.103B,4.814B,41.31B,26.44B,67.75B,,1.232B,,1.311B,75.10B,98.60B,,1.615B,,1.615B,3.129B,4.744B,,,1.947B,,1.947B,,,,7.896B,29.99B,25.00M,30.02B,3.79B,3.79B,1.77B,106.00M,68.00M,1.785B,39.81B,47.71B,,0.00,52.85B,,,,-2.024B,50.82B,,AOR,Restated
2016-04,2.876B,9.758B,12.63B,5.562B,,5.562B,732.00M,499.00M,2.242B,3.473B,1.931B,,,23.60B,0.00,215.00M,2.394B,6.328B,777.00M,9.714B,-4.873B,4.841B,41.50B,26.90B,68.40B,,1.383B,,1.421B,76.04B,99.64B,,1.709B,566.00M,2.275B,2.185B,4.46B,0.00,887.00M,887.00M,106.00M,993.00M,,,,7.165B,29.99B,26.00M,30.02B,3.729B,3.729B,1.759B,89.00M,0.00,1.916B,40.42B,47.58B,,0.00,21.70B,32.23B,,,-1.868B,52.06B,,AOR,Restated
2016-01,2.721B,14.56B,17.29B,4.863B,,5.365B,772.00M,520.00M,2.244B,3.536B,1.382B,,,27.57B,,,,,,9.346B,-4.71B,4.636B,40.38B,27.32B,67.69B,,1.06B,,1.749B,75.14B,102.71B,,1.437B,454.00M,1.891B,2.616B,4.507B,,,2.153B,,2.153B,0.00,0.00,,8.141B,33.48B,117.00M,33.59B,3.802B,3.802B,1.585B,87.00M,,1.859B,43.75B,51.89B,,0.00,53.78B,,,,-2.965B,50.82B,,AOR,Restated
2015-10,2.378B,14.85B,17.23B,5.044B,,6.663B,745.00M,527.00M,2.244B,3.516B,1.315B,,,28.72B,,,,,,9.215B,-4.537B,4.678B,41.27B,27.73B,69.00B,,825.00M,,1.714B,76.22B,104.94B,,1.447B,533.00M,1.98B,2.457B,4.437B,,,2.158B,,2.158B,142.00M,142.00M,,8.126B,33.50B,121.00M,33.62B,4.766B,4.766B,1.577B,72.00M,,1.746B,44.55B,52.68B,,0.00,53.74B,,,,-1.471B,52.27B,,AOR,Restated
2015-07,2.979B,15.00B,17.98B,4.811B,,6.301B,716.00M,501.00M,2.187B,3.404B,1.46B,,,29.15B,,,,,,9.026B,-4.354B,4.672B,40.66B,27.70B,68.36B,,772.00M,,1.679B,75.48B,104.63B,,1.321B,477.00M,1.798B,2.721B,4.519B,,,1.85B,,1.85B,120.00M,120.00M,,7.66B,33.52B,125.00M,33.65B,4.701B,4.701B,1.549B,62.00M,,1.657B,44.16B,51.82B,,0.00,54.16B,,,,-1.356B,52.81B,,AOR,Restated
2015-04,4.843B,14.64B,19.48B,5.112B,,6.447B,686.00M,509.00M,2.268B,3.463B,1.454B,,,30.84B,0.00,217.00M,2.314B,5.649B,683.00M,8.863B,-4.164B,4.699B,40.53B,28.10B,68.63B,,774.00M,,1.737B,75.84B,106.68B,,1.61B,935.00M,2.545B,2.464B,5.009B,,2.418B,2.418B,16.00M,2.434B,119.00M,119.00M,,9.173B,33.54B,129.00M,33.67B,4.70B,4.70B,1.535B,79.00M,,1.819B,44.28B,53.46B,,0.00,54.41B,,,,-1.184B,53.23B,,AOR,Restated
2015-01,17.23B,13.92B,31.15B,3.568B,,4.186B,357.00M,316.00M,1.202B,1.875B,952.00M,,,38.16B,,,,,,6.343B,-4.017B,2.326B,10.95B,2.339B,13.29B,,207.00M,,1.25B,17.07B,55.23B,,635.00M,173.00M,808.00M,1.598B,2.406B,,,2.185B,,2.185B,17.00M,17.00M,,5.613B,26.43B,130.00M,26.56B,415.00M,415.00M,671.00M,84.00M,,315.00M,29.45B,35.06B,,99.00M,20.74B,,,,-661.00M,20.17B,,AOR,Restated
2014-10,1.287B,13.18B,14.46B,3.75B,,4.446B,348.00M,310.00M,1.215B,1.873B,814.00M,,,21.60B,,,,,,6.32B,-3.959B,2.361B,11.02B,2.437B,13.46B,,183.00M,,1.178B,17.18B,38.78B,,723.00M,168.00M,891.00M,1.267B,2.158B,,,3.97B,,3.97B,18.00M,18.00M,,6.952B,9.515B,132.00M,9.647B,420.00M,420.00M,681.00M,61.00M,,259.00M,12.39B,19.34B,,98.00M,19.85B,,,,-506.00M,19.44B,,AOR,Restated
2014-07,1.336B,12.63B,13.96B,3.69B,,4.289B,318.00M,283.00M,1.235B,1.836B,683.00M,,,20.77B,,,,,,6.541B,-4.165B,2.376B,10.70B,2.341B,13.04B,,199.00M,,1.172B,16.78B,37.55B,,685.00M,153.00M,838.00M,1.312B,2.15B,,,2.477B,,2.477B,19.00M,19.00M,,5.433B,10.12B,136.00M,10.25B,377.00M,377.00M,680.00M,71.00M,,242.00M,12.87B,18.31B,,99.00M,19.64B,,,,-488.00M,19.25B,,AOR,Restated
2014-04,1.403B,12.84B,14.24B,3.811B,,4.547B,282.00M,247.00M,1.196B,1.725B,697.00M,,,21.21B,0.00,152.00M,1.565B,4.409B,313.00M,6.439B,-4.047B,2.392B,10.59B,2.286B,12.88B,,300.00M,,1.162B,16.73B,37.94B,,742.00M,164.00M,906.00M,2.006B,2.912B,,1.599B,1.599B,14.00M,1.613B,19.00M,19.00M,,5.559B,10.12B,139.00M,10.26B,386.00M,386.00M,662.00M,56.00M,,235.00M,12.94B,18.50B,,100.00M,19.94B,,,,-597.00M,19.44B,,AOR,Restated
2014-01,1.304B,12.36B,13.67B,3.619B,,4.237B,318.00M,260.00M,1.204B,1.782B,700.00M,,,20.39B,,,,,,6.355B,-3.947B,2.408B,10.59B,2.372B,12.96B,,237.00M,,1.235B,16.84B,37.23B,,567.00M,235.00M,802.00M,1.263B,2.065B,,,2.618B,,2.618B,13.00M,13.00M,,5.632B,9.387B,141.00M,9.528B,358.00M,358.00M,805.00M,73.00M,,235.00M,12.24B,17.88B,,100.00M,19.87B,,,,-618.00M,19.35B,,AOR,Restated
2013-10,1.066B,11.52B,12.58B,3.792B,,4.394B,325.00M,264.00M,1.236B,1.825B,680.00M,,,19.48B,,,,,,6.323B,-3.875B,2.448B,10.46B,2.608B,13.07B,,228.00M,,1.237B,16.98B,36.47B,,620.00M,202.00M,822.00M,1.238B,2.06B,,,2.647B,,2.647B,16.00M,16.00M,,5.496B,9.393B,145.00M,9.538B,355.00M,355.00M,794.00M,99.00M,,231.00M,12.23B,17.72B,,100.00M,19.21B,,,,-567.00M,18.74B,,AOR,Restated
2013-07,828.00M,10.58B,11.40B,3.627B,,4.203B,324.00M,253.00M,1.201B,1.778B,705.00M,,,18.09B,,,,,,6.192B,-3.748B,2.444B,10.33B,2.62B,12.95B,,188.00M,,1.297B,16.88B,34.97B,,627.00M,118.00M,745.00M,1.27B,2.015B,,,1.543B,,1.543B,15.00M,15.00M,,4.285B,9.401B,147.00M,9.548B,343.00M,343.00M,774.00M,89.00M,,200.00M,12.17B,16.45B,,100.00M,19.00B,,,,-576.00M,18.52B,,AOR,Restated
2013-04,919.00M,10.21B,11.13B,3.727B,,4.266B,290.00M,248.00M,1.174B,1.712B,744.00M,,,17.85B,0.00,151.00M,1.532B,4.11B,359.00M,6.152B,-3.662B,2.49B,10.33B,2.673B,13.00B,,232.00M,,1.324B,17.05B,34.90B,,681.00M,88.00M,769.00M,1.244B,2.013B,,,910.00M,,910.00M,16.00M,16.00M,,3.95B,9.539B,152.00M,9.691B,340.00M,340.00M,752.00M,50.00M,,278.00M,12.28B,16.23B,,102.00M,19.06B,,,,-492.00M,18.67B,,AOR,Restated
2013-01,1.298B,1.166B,2.464B,3.532B,,3.532B,341.00M,282.00M,1.266B,1.889B,712.00M,564.00M,,9.161B,,,,,,6.136B,-3.634B,2.502B,10.34B,2.758B,13.10B,9.321B,,484.00M,382.00M,25.79B,34.95B,,569.00M,207.00M,776.00M,1.204B,1.98B,,,4.104B,,4.104B,10.00M,10.00M,,6.958B,6.991B,155.00M,7.146B,639.00M,639.00M,838.00M,168.00M,,362.00M,10.16B,17.11B,,101.00M,18.21B,,,,-472.00M,17.84B,,AOR,Restated
2012-10,1.759B,916.00M,2.675B,3.612B,102.00M,3.612B,338.00M,281.00M,1.258B,1.877B,676.00M,595.00M,,9.435B,,,,,,5.967B,-3.52B,2.447B,9.944B,2.50B,12.44B,8.816B,,468.00M,350.00M,24.52B,33.96B,,551.00M,113.00M,664.00M,1.115B,1.779B,,,4.097B,,4.097B,28.00M,28.00M,,6.621B,7.355B,,7.355B,584.00M,584.00M,809.00M,,,431.00M,10.16B,16.78B,,101.00M,17.56B,,,,-484.00M,17.18B,,AOR,Restated
2012-07,861.00M,1.63B,2.491B,3.448B,,3.448B,354.00M,271.00M,1.229B,1.854B,753.00M,637.00M,,9.183B,,,,,,5.859B,-3.408B,2.451B,9.933B,2.559B,12.49B,8.259B,,509.00M,358.00M,24.07B,33.25B,,521.00M,167.00M,688.00M,1.015B,1.703B,,,3.391B,,3.391B,70.00M,70.00M,,5.811B,7.386B,,7.386B,582.00M,582.00M,766.00M,,,421.00M,10.19B,16.00B,,103.00M,17.67B,,,,-515.00M,17.26B,,AOR,Restated
2012-04,1.172B,8.178B,9.35B,3.808B,,4.511B,337.00M,288.00M,1.175B,1.80B,675.00M,,,16.34B,0.00,135.00M,1.475B,3.858B,328.00M,5.796B,-3.323B,2.473B,9.934B,2.647B,12.58B,,176.00M,,1.252B,16.48B,32.82B,,565.00M,154.00M,719.00M,1.008B,1.727B,950.00M,2.31B,3.26B,14.00M,3.274B,14.00M,14.00M,,5.927B,7.027B,165.00M,7.192B,276.00M,276.00M,759.00M,167.00M,,379.00M,9.778B,15.70B,,104.00M,17.48B,,,,-473.00M,17.11B,,AOR,Restated
2012-01,1.19B,1.155B,2.345B,3.665B,,3.665B,366.00M,288.00M,1.165B,1.819B,624.00M,605.00M,,9.308B,,,,,,5.757B,-3.277B,2.48B,9.915B,2.713B,12.63B,7.096B,,,399.00M,22.60B,31.91B,,491.00M,266.00M,757.00M,948.00M,1.705B,,,1.972B,,1.972B,,,89.00M,4.562B,8.248B,,8.248B,989.00M,989.00M,513.00M,,,430.00M,10.18B,14.74B,,105.00M,17.34B,,,,-276.00M,17.17B,,AOR,Restated
2011-10,1.048B,1.118B,2.166B,3.837B,,3.837B,392.00M,299.00M,1.149B,1.84B,584.00M,587.00M,,9.014B,,,,,,6.065B,-3.53B,2.535B,9.944B,2.875B,12.82B,7.013B,,,372.00M,22.74B,31.75B,,543.00M,83.00M,626.00M,1.293B,1.919B,,,2.05B,,2.05B,,,,4.734B,8.222B,,8.222B,1.134B,1.134B,505.00M,,,419.00M,10.28B,15.01B,,106.00M,16.79B,,,,-157.00M,16.74B,,AOR,Restated
2011-07,1.393B,1.128B,2.521B,3.745B,,3.745B,375.00M,295.00M,1.138B,1.808B,601.00M,610.00M,,9.285B,,,,,,5.939B,-3.418B,2.521B,9.541B,2.695B,12.24B,6.655B,,,394.00M,21.81B,31.09B,,537.00M,184.00M,721.00M,1.544B,2.265B,,,1.857B,,1.857B,,,,4.805B,8.195B,,8.195B,845.00M,845.00M,489.00M,,,417.00M,9.946B,14.75B,,106.00M,16.32B,,,,-85.00M,16.34B,,AOR,Restated
2011-04,1.382B,1.046B,2.428B,3.822B,,3.822B,365.00M,263.00M,1.067B,1.695B,567.00M,605.00M,,9.117B,0.00,137.00M,1.489B,3.888B,303.00M,5.817B,-3.306B,2.511B,9.537B,2.777B,12.31B,6.12B,,,362.00M,21.31B,30.42B,,511.00M,50.00M,561.00M,1.534B,2.095B,,,1.723B,,1.723B,,,,4.714B,8.112B,,8.112B,716.00M,716.00M,480.00M,,,434.00M,9.742B,14.46B,,107.00M,16.08B,,,,-224.00M,15.97B,,AOR,Restated
2011-01,1.283B,2.184B,3.467B,3.472B,,3.472B,384.00M,262.00M,1.036B,1.682B,637.00M,728.00M,,9.986B,,,,,,5.793B,-3.286B,2.507B,9.49B,2.796B,12.29B,5.578B,,,240.00M,20.61B,30.60B,,486.00M,136.00M,622.00M,2.118B,2.74B,,,3.674B,,3.674B,,,,6.414B,7.084B,,7.084B,757.00M,757.00M,524.00M,,,460.00M,8.825B,15.24B,,107.00M,15.48B,,,,-225.00M,15.36B,,AOR,Restated
2010-10,1.256B,2.288B,3.544B,3.453B,,3.453B,341.00M,299.00M,995.00M,1.635B,581.00M,681.00M,,9.894B,,,,,,5.586B,-3.128B,2.458B,8.624B,2.573B,11.20B,5.448B,,,314.00M,19.42B,29.31B,,438.00M,163.00M,601.00M,707.00M,1.308B,,,3.417B,,3.417B,,,1.17B,5.895B,7.148B,,7.148B,640.00M,640.00M,507.00M,,,296.00M,8.591B,14.49B,,108.00M,15.11B,,,,-397.00M,14.82B,,AOR,Restated
2010-07,1.364B,2.553B,3.917B,3.23B,,3.23B,338.00M,282.00M,957.00M,1.577B,715.00M,558.00M,,9.997B,,,,,,5.429B,-3.009B,2.42B,8.395B,2.51B,10.90B,5.057B,,,281.00M,18.66B,28.66B,,410.00M,197.00M,607.00M,1.576B,2.183B,,,3.428B,,3.428B,,,,5.611B,7.08B,,7.08B,676.00M,676.00M,481.00M,,,211.00M,8.448B,14.06B,,108.00M,14.85B,,,,-353.00M,14.60B,,AOR,Restated
2010-04,1.40B,2.375B,3.775B,3.335B,,3.335B,316.00M,269.00M,896.00M,1.481B,704.00M,544.00M,,9.839B,0.00,137.00M,1.427B,3.525B,269.00M,5.358B,-2.937B,2.421B,8.391B,2.559B,10.95B,4.632B,,,248.00M,18.25B,28.09B,,420.00M,235.00M,655.00M,890.00M,1.545B,,,2.575B,,2.575B,,,,5.121B,6.944B,,6.944B,684.00M,684.00M,516.00M,,,196.00M,8.34B,13.46B,,110.00M,14.83B,,,,-307.00M,14.63B,,AOR,Restated
2010-01,1.463B,829.00M,2.292B,3.131B,,3.131B,331.00M,271.00M,866.00M,1.468B,538.00M,550.00M,,7.979B,,,,,,5.255B,-2.878B,2.377B,8.23B,2.289B,10.52B,4.02B,,,273.00M,17.19B,25.17B,,399.00M,237.00M,636.00M,1.728B,2.364B,,,1.43B,,1.43B,,,,3.794B,5.996B,,5.996B,620.00M,620.00M,364.00M,,,74.00M,7.054B,10.85B,,111.00M,14.41B,,,,-201.00M,14.32B,,AOR,Restated
2009-10,826.00M,716.00M,1.542B,3.232B,,3.232B,323.00M,270.00M,881.00M,1.474B,499.00M,565.00M,,7.312B,,,,,,5.151B,-2.781B,2.37B,8.232B,2.364B,10.60B,3.751B,,,255.00M,16.97B,24.28B,,396.00M,119.00M,515.00M,1.635B,2.15B,,,1.128B,,1.128B,,,,3.278B,6.368B,,6.368B,581.00M,581.00M,360.00M,,,89.00M,7.398B,10.68B,,111.00M,13.75B,,,,-253.00M,13.61B,,AOR,Restated
2009-07,1.022B,522.00M,1.544B,3.113B,,3.113B,346.00M,262.00M,884.00M,1.492B,535.00M,600.00M,,7.284B,,,,,,5.057B,-2.724B,2.333B,8.226B,2.408B,10.63B,3.037B,,,286.00M,16.29B,23.57B,,373.00M,123.00M,496.00M,1.978B,2.474B,,,658.00M,,658.00M,,,,3.132B,6.307B,,6.307B,547.00M,547.00M,351.00M,,,93.00M,7.298B,10.43B,,111.00M,13.24B,,,,-210.00M,13.14B,,AOR,Restated
2009-04,1.271B,405.00M,1.676B,3.123B,,3.123B,321.00M,251.00M,854.00M,1.426B,622.00M,605.00M,,7.452B,0.00,124.00M,1.296B,3.144B,323.00M,4.887B,-2.608B,2.279B,8.195B,2.477B,10.67B,2.769B,,,416.00M,16.14B,23.59B,,382.00M,130.00M,512.00M,2.113B,2.625B,,,522.00M,,522.00M,,,,3.147B,6.253B,,6.253B,590.00M,590.00M,329.00M,,,87.00M,7.259B,10.41B,,112.00M,13.27B,,,,-202.00M,13.18B,,AOR,Restated
