,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-12,333.60M,333.60M,277.41M,56.18M,65.62M,74.30M,,-59.14M,,,,,139.92M,-83.73M,,,,-59.14M,,-144.62M,279.14M,-423.77M,,,-423.77M,43.67M,-83.73M,,2002-12,-2.32,-2.126,-2.32,,2002-12,-2.32,-2.126,-2.32,,182.94M,,,2002-12,,
2002-09,330.73M,330.73M,256.23M,74.50M,74.32M,78.00M,,-137.62M,,,,,152.32M,-77.82M,,,,-137.62M,,-216.53M,-49.70M,-166.83M,,,-166.83M,37.51M,-77.82M,,2002-09,-0.91,-0.3308,-0.91,,2002-09,-0.91,-0.3308,-0.91,,183.06M,,,2002-09,,
2002-06,309.90M,309.90M,239.19M,70.70M,75.61M,72.37M,,-1.124M,,,,,147.98M,-77.28M,,,,-1.124M,,-79.26M,-28.54M,-50.73M,,,-50.73M,40.91M,-77.28M,,2002-06,-0.28,-0.2761,-0.28,,2002-06,-0.28,-0.2761,-0.28,,182.93M,,,2002-06,,
2002-03,248.01M,248.01M,217.55M,30.46M,75.05M,69.25M,,-5.555M,,,,,144.30M,-113.85M,,,,-5.555M,,-120.53M,-43.39M,-77.14M,,,-77.14M,37.60M,-113.85M,,2002-03,-0.42,-0.4005,-0.42,,2002-03,-0.42,-0.4005,-0.42,,182.33M,,,2002-03,,
2001-12,220.21M,220.21M,268.86M,-48.65M,70.96M,69.39M,,3.822M,,,,,140.35M,-189.00M,,,,3.822M,,-181.60M,-69.01M,-112.59M,,,-112.59M,37.62M,-189.00M,,2001-12,-0.64,-0.6532,-0.64,,2001-12,-0.64,-0.6532,-0.64,,179.29M,,,2001-12,,
2001-09,249.36M,249.36M,246.51M,2.843M,59.93M,64.67M,,-50.04M,,,,,124.60M,-121.75M,,,,-50.04M,,-167.52M,-64.12M,-103.40M,,,-103.40M,35.33M,-121.75M,,2001-09,-0.59,-0.4142,-0.59,,2001-09,-0.59,-0.4142,-0.59,,175.69M,,,2001-09,,
2001-06,365.82M,365.82M,311.26M,54.56M,65.13M,61.32M,,,,,,,126.45M,-71.89M,,,,,,-54.12M,-13.94M,-40.18M,,,-40.18M,35.33M,-71.89M,,2001-06,-0.23,-0.23,-0.23,,2001-06,-0.23,-0.23,-0.23,,174.54M,,,2001-06,,
2001-03,605.19M,605.19M,385.61M,219.58M,74.77M,71.20M,,,,,,,145.97M,73.61M,,,,,,77.09M,23.12M,53.96M,,,53.96M,30.39M,73.61M,,2001-03,0.31,0.31,0.31,,2001-03,0.30,0.30,0.30,,179.75M,,,2001-03,,
2000-12,821.65M,821.65M,469.71M,351.94M,96.48M,79.30M,,,,,,,175.77M,176.17M,,,,,,188.62M,56.59M,132.04M,,0.00,132.04M,26.33M,176.17M,,2000-12,0.76,0.76,0.76,,2000-12,0.73,0.73,0.73,,179.54M,,,2000-12,,
2000-09,859.48M,859.48M,457.98M,401.50M,95.15M,78.96M,,,,,,,174.11M,227.39M,,,,,,233.46M,70.04M,163.42M,,,163.42M,23.72M,227.39M,,2000-09,0.94,0.94,0.94,,2000-09,0.90,0.90,0.90,,181.94M,,,2000-09,,
2000-06,747.46M,747.46M,376.42M,371.04M,91.98M,73.64M,,,,,,-27.11M,165.62M,205.42M,,,,,,184.13M,55.24M,128.89M,,,128.89M,27.52M,205.42M,,2000-06,0.74,0.74,0.74,,2000-06,0.71,0.71,0.71,,181.70M,,,2000-06,,
2000-03,648.13M,648.13M,348.84M,299.29M,78.96M,69.02M,,,,,,,147.98M,151.31M,,,,,,155.85M,46.75M,109.09M,,,109.09M,24.29M,151.31M,,2000-03,0.63,0.63,0.63,,2000-03,0.60,0.60,0.60,,180.87M,,,2000-03,,
1999-12,548.50M,548.50M,287.90M,260.60M,72.10M,63.70M,,,,,,,157.60M,103.00M,,,,,,107.50M,32.30M,75.20M,,,75.20M,21.80M,103.00M,,1999-12,0.44,0.44,0.44,,1999-12,0.42,0.42,0.42,,179.12M,,,1999-12,,
1999-09,497.00M,497.00M,260.80M,236.20M,70.50M,60.30M,,,,,,,151.30M,84.90M,,,,,,89.60M,26.90M,62.70M,,,62.70M,20.51M,84.90M,,1999-09,0.37,0.37,0.37,,1999-09,0.35,0.35,0.35,,179.03M,,,1999-09,,
1999-06,400.90M,400.90M,236.94M,163.96M,59.39M,56.83M,,,,,,,116.22M,47.75M,,,,,,51.15M,15.34M,35.80M,,,35.80M,21.99M,47.75M,,1999-06,0.105,0.105,0.105,,1999-06,0.10,0.10,0.10,,356.12M,,,1999-06,,
1999-03,344.45M,344.45M,197.80M,146.65M,54.50M,47.70M,,3.80M,,,,,124.30M,22.35M,,,,3.80M,,25.70M,7.70M,18.00M,,,18.00M,22.10M,22.35M,,1999-03,0.055,0.0472,0.055,,1999-03,0.05,0.0425,0.05,,355.99M,,,1999-03,,
1998-12,316.17M,316.17M,133.26M,182.90M,49.35M,47.54M,,,,,,,173.30M,9.608M,,,,,,13.14M,1.317M,11.82M,,,11.82M,20.65M,9.608M,,1998-12,0.035,0.035,0.035,,1998-12,0.03,0.03,0.03,,346.69M,,,1998-12,,
1998-09,335.23M,335.23M,239.13M,96.10M,47.29M,49.57M,,,,,,,96.86M,-0.761M,,,,,,1.875M,0.60M,1.275M,,,1.275M,19.35M,-0.761M,,1998-09,0.005,0.005,0.005,,1998-09,0.005,0.005,0.005,,342.50M,,,1998-09,,
1998-06,406.24M,406.24M,246.46M,159.78M,57.55M,49.16M,,,,,,,106.71M,53.07M,,,,,,55.67M,16.31M,39.36M,,,39.36M,19.37M,53.07M,,1998-06,0.12,0.12,0.12,,1998-06,0.115,0.115,0.115,,342.53M,,,1998-06,,
