,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,801.00M,117.00M,-730.00M,,-613.00M,161.00M,,161.00M,161.00M,90.00M,,573.00M,,85.00M,,15.00M,-251.00M,-18.00M,,,,92.00M,-177.00M,920.00M,-72.00M,,-72.00M,,0.00,0.00,,-72.00M,-56.00M,,-56.00M,,-5.00M,-5.00M,,0.00,-61.00M,10.42B,787.00M,7.00M,11.22B,,-56.00M,0.00,-5.00M,91.00M,66.00M
2020-06,122.00M,55.00M,-528.00M,,-473.00M,157.00M,,157.00M,157.00M,108.00M,,0.00,-307.00M,83.00M,,19.00M,45.00M,693.00M,,,,-385.00M,353.00M,122.00M,-70.00M,,-70.00M,,0.00,1.112B,,1.042B,4.164B,,4.164B,,-13.00M,-13.00M,,-1.277B,2.874B,6.383B,4.038B,2.00M,10.42B,,4.164B,0.00,-13.00M,-701.00M,24.00M
2020-03,-699.00M,-33.00M,,,-33.00M,163.00M,,163.00M,163.00M,-97.00M,,589.00M,307.00M,11.00M,,14.00M,760.00M,-445.00M,,,,-1.212B,-897.00M,-380.00M,-80.00M,,-80.00M,,,1.813B,,1.733B,0.00,0.00,0.00,,-1.281B,-1.281B,,,-1.281B,6.332B,72.00M,-21.00M,6.383B,,0.00,0.00,-1.281B,762.00M,68.00M
2019-12,1.171B,54.00M,419.00M,,473.00M,162.00M,,162.00M,162.00M,83.00M,,,-745.00M,80.00M,,15.00M,119.00M,-16.00M,,,,-775.00M,-192.00M,1.077B,-87.00M,,-87.00M,,0.00,183.00M,,96.00M,0.00,,0.00,,-1.347B,-1.347B,,3.00M,-1.344B,6.485B,-171.00M,18.00M,6.332B,,0.00,0.00,-1.347B,88.00M,50.00M
2019-09,1.95B,-73.00M,49.00M,,-24.00M,159.00M,,159.00M,159.00M,-21.00M,,0.00,,83.00M,,15.00M,81.00M,337.00M,,,,-763.00M,-345.00M,1.851B,-82.00M,,-82.00M,,0.00,847.00M,,765.00M,-37.00M,,-37.00M,,-1.349B,-1.349B,,-3.00M,-1.389B,5.276B,1.227B,-18.00M,6.485B,,-37.00M,0.00,-1.349B,37.00M,70.00M
2019-06,979.00M,19.00M,-468.00M,,-449.00M,162.00M,,162.00M,162.00M,-29.00M,,0.00,451.00M,84.00M,,14.00M,-499.00M,85.00M,,,,955.00M,541.00M,1.787B,-88.00M,,-88.00M,,-9.00M,4.177B,,4.08B,-238.00M,25.00M,-213.00M,,-2.718B,-2.718B,,-8.00M,-2.939B,2.354B,2.928B,-6.00M,5.276B,,187.00M,-400.00M,-2.718B,133.00M,33.00M
2019-03,765.00M,0.00,,,0.00,158.00M,,158.00M,158.00M,89.00M,,0.00,-451.00M,78.00M,,14.00M,-24.00M,-669.00M,,,,150.00M,-543.00M,150.00M,-111.00M,,-111.00M,,,2.22B,,2.109B,250.00M,-25.00M,225.00M,,-2.773B,-2.773B,,,-2.548B,2.645B,-289.00M,-2.00M,2.354B,,250.00M,-25.00M,-2.773B,816.00M,68.00M
2018-12,646.00M,,,,,109.00M,,109.00M,109.00M,-124.00M,,,474.00M,105.00M,,6.00M,131.00M,0.00,-370.00M,,,52.00M,-187.00M,1.084B,-86.00M,,-86.00M,,-134.00M,629.00M,,409.00M,21.00M,,21.00M,,-1.861B,-1.861B,,1.00M,-1.839B,2.994B,-346.00M,-3.00M,2.645B,,21.00M,0.00,-1.861B,125.00M,64.00M
2018-09,1.767B,0.00,,,0.00,107.00M,,107.00M,107.00M,-5.00M,,,-31.00M,76.00M,,23.00M,-58.00M,373.00M,-324.00M,,,-10.00M,-19.00M,1.964B,-121.00M,,-121.00M,,0.00,164.00M,,43.00M,1.00M,,1.00M,,-2.205B,-2.205B,,0.00,-2.204B,3.208B,-197.00M,-17.00M,2.994B,,1.00M,0.00,-2.205B,59.00M,54.00M
2018-06,978.00M,,,,,107.00M,,107.00M,107.00M,-30.00M,,,-21.00M,79.00M,,13.00M,-296.00M,135.00M,697.00M,,,-45.00M,491.00M,1.65B,-104.00M,,-104.00M,,-139.00M,370.00M,,127.00M,3.00M,,3.00M,,-1.187B,-1.187B,,1.00M,-1.183B,2.645B,594.00M,-31.00M,3.208B,,3.00M,0.00,-1.187B,201.00M,27.00M
