,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,611.40M,-9.20M,647.80M,429.10M,218.70M,,,,0.00,25.50M,-25.50M,,0.00,218.70M,25.50M,-25.50M,28.50M,-25.50M,221.70M,76.80M,144.90M,,,-0.40M,0.10M,330.50M,83.30M,247.20M,,2018-03,,,1.233,1.41,,,,,,2018-03,102.57M,102.98M,0.36,,2018-03,AOR,Restated
2017-12,634.30M,-8.50M,668.90M,431.10M,237.80M,,,,0.00,25.30M,-25.30M,,0.00,237.80M,25.30M,-25.30M,-19.30M,-25.30M,193.20M,-359.20M,552.40M,,,-0.70M,0.00,297.80M,79.30M,218.50M,,2017-12,,,5.467,5.35,,,,,,2017-12,103.02M,103.41M,0.36,,2017-12,AOR,Restated
2017-09,633.60M,-11.10M,667.70M,433.90M,233.80M,,,,0.00,25.20M,-25.20M,,0.00,233.80M,25.20M,-25.20M,3.30M,-25.20M,211.90M,82.00M,129.90M,,,-0.60M,0.10M,319.00M,81.90M,237.10M,,2017-09,,,1.235,1.24,,,,,,2017-09,104.32M,104.68M,0.36,,2017-09,AOR,Restated
2017-06,629.40M,-12.80M,669.20M,429.90M,239.30M,,,,,25.00M,-25.00M,,0.00,239.30M,25.00M,-25.00M,17.00M,-25.00M,231.30M,96.60M,134.70M,,,-0.30M,,336.70M,80.40M,256.30M,,2017-06,,,1.189,1.27,,,,,,2017-06,105.47M,105.76M,0.33,,2017-06,AOR,Restated
2017-03,586.70M,-11.70M,621.20M,410.50M,210.70M,,,,,24.70M,-24.70M,,0.00,210.70M,24.70M,-24.70M,51.90M,-24.70M,237.90M,91.00M,146.90M,,,-0.30M,0.10M,341.90M,79.30M,262.60M,,2017-03,,,1.108,1.38,,,,,,2017-03,106.11M,106.33M,0.33,,2017-03,AOR,Restated
2016-12,576.00M,-13.20M,611.70M,400.80M,210.90M,,,,,24.50M,-24.50M,,0.00,210.90M,24.50M,-24.50M,-20.70M,-24.50M,165.70M,35.40M,130.30M,,,-0.70M,0.00,268.30M,78.10M,190.20M,,2016-12,,,1.392,1.21,,,,,,2016-12,106.84M,107.05M,0.33,,2016-12,AOR,Restated
2016-09,581.00M,-15.60M,620.10M,420.30M,199.80M,,,,,25.20M,-25.20M,,0.00,199.80M,25.20M,-25.20M,-16.30M,-25.20M,158.30M,37.30M,121.00M,,,-0.40M,0.10M,260.40M,76.90M,183.50M,,2016-09,,,1.261,1.12,,,,,,2016-09,107.62M,107.81M,0.33,,2016-09,AOR,Restated
2016-06,546.80M,-34.00M,602.50M,382.60M,219.90M,,,,,24.40M,-24.40M,,0.00,219.90M,24.40M,-24.40M,-21.70M,-24.40M,173.80M,53.30M,120.50M,,,-0.40M,,273.90M,75.70M,198.20M,,2016-06,,,1.274,1.12,,,,,,2016-06,107.72M,107.91M,0.33,,2016-06,AOR,Restated
2016-03,536.80M,,562.70M,374.80M,187.90M,,,,,23.60M,-23.60M,,0.00,187.90M,23.60M,-23.60M,0.60M,-23.60M,164.90M,56.80M,108.10M,,,-0.30M,0.10M,262.80M,74.30M,188.50M,,2016-03,,,1.021,1.00,,,,,,2016-03,108.06M,108.28M,0.33,,2016-03,AOR,Restated
2015-12,574.50M,,598.00M,379.10M,218.90M,,,,-7.60M,23.70M,-23.70M,,0.00,218.90M,23.70M,-23.70M,-8.50M,-23.70M,186.70M,46.70M,140.00M,,,-0.70M,0.00,284.30M,73.90M,210.40M,,2015-12,,,1.364,1.28,,,,,,2015-12,108.51M,108.72M,0.33,,2015-12,AOR,Restated
2015-09,607.30M,,631.90M,412.00M,219.90M,,,,,21.90M,-21.90M,,0.00,219.90M,21.90M,-21.90M,-26.10M,-21.90M,171.90M,40.00M,131.90M,,,-0.30M,0.10M,265.20M,71.40M,193.80M,,2015-09,,,1.410,1.20,,,,,,2015-09,109.69M,109.90M,0.33,,2015-09,AOR,Restated
2015-06,562.20M,,585.80M,399.00M,186.80M,,,,0.00,17.70M,-17.70M,,0.00,186.80M,17.70M,-17.70M,-6.70M,-17.70M,162.40M,50.20M,112.20M,,,-0.40M,,250.90M,70.80M,180.10M,,2015-06,,,1.076,1.01,,,,,,2015-06,110.33M,110.52M,0.33,,2015-06,AOR,Restated
2015-03,582.40M,,603.10M,415.30M,187.80M,,,,-9.60M,18.60M,-18.60M,,0.00,187.80M,18.60M,-18.60M,-17.60M,-18.60M,151.60M,50.40M,101.20M,,,-0.40M,0.10M,238.70M,68.50M,170.20M,,2015-03,,,1.038,0.91,,,,,,2015-03,110.31M,110.53M,0.33,,2015-03,AOR,Restated
2014-12,619.60M,,642.50M,428.60M,213.90M,,,,0.00,18.30M,-18.30M,,0.00,213.90M,18.30M,-18.30M,-25.40M,-18.30M,170.20M,28.50M,141.70M,,,-0.70M,0.00,255.80M,67.30M,188.50M,,2014-12,,,1.517,1.28,,,,,,2014-12,110.23M,110.50M,0.28,,2014-12,AOR,Restated
2014-09,652.10M,,677.50M,448.10M,229.40M,,,,0.00,17.90M,-17.90M,,0.00,229.40M,17.90M,-17.90M,-7.90M,-17.90M,203.60M,65.20M,138.40M,,,-0.30M,0.10M,286.50M,65.00M,221.50M,,2014-09,,,1.327,1.25,,,,,,2014-09,110.18M,110.44M,0.28,,2014-09,AOR,Restated
2014-06,625.90M,,649.70M,435.50M,214.20M,,,,-8.40M,17.90M,-17.90M,,0.00,214.20M,17.90M,-17.90M,11.20M,-17.90M,196.30M,66.10M,130.20M,,,-0.40M,,278.10M,63.90M,214.20M,,2014-06,,,1.199,1.18,,,,,,2014-06,110.16M,110.40M,0.28,,2014-06,AOR,Restated
2014-03,586.30M,,607.40M,417.50M,189.90M,,,,-36.50M,18.70M,-18.70M,,0.00,189.90M,18.70M,-18.70M,-28.20M,-18.70M,143.00M,49.00M,94.00M,,,-0.30M,0.10M,223.60M,61.90M,161.70M,,2014-03,,,1.049,0.85,,,,,,2014-03,110.09M,110.40M,0.28,,2014-03,AOR,Restated
2013-12,592.70M,,615.60M,419.50M,196.10M,,,,-5.40M,19.40M,-19.40M,,0.00,196.10M,19.40M,-19.40M,4.20M,-19.40M,180.90M,66.50M,114.40M,,,-0.60M,0.00,258.60M,58.30M,200.30M,,2013-12,,,1.033,1.03,,,,,,2013-12,110.02M,110.41M,0.215,,2013-12,AOR,Restated
2013-09,596.40M,,621.60M,421.30M,200.30M,,,,-2.40M,18.30M,-18.30M,,0.00,200.30M,18.30M,-18.30M,0.30M,-18.30M,182.30M,63.30M,119.00M,,,-0.60M,0.10M,257.80M,57.20M,200.60M,,2013-09,,,1.103,1.08,,,,,,2013-09,110.00M,110.37M,0.215,,2013-09,AOR,Restated
2013-06,557.20M,,579.30M,400.00M,179.30M,,,,-111.40M,19.20M,-19.20M,,0.00,179.30M,19.20M,-19.20M,-130.20M,-19.20M,29.90M,14.20M,15.70M,,,-0.30M,,103.80M,54.70M,49.10M,,2013-06,,,0.9297,0.14,,,,,,2013-06,109.97M,110.32M,0.215,,2013-06,AOR,Restated
2013-03,532.80M,,552.80M,389.90M,162.90M,,,,0.00,23.70M,-23.70M,,0.00,162.90M,23.70M,-23.70M,19.30M,-23.70M,158.50M,54.30M,104.20M,,,-0.40M,0.10M,235.30M,53.10M,182.20M,,2013-03,,,0.8593,0.94,,,,,,2013-03,109.91M,110.26M,0.215,,2013-03,AOR,Restated
2012-12,546.90M,,568.40M,394.80M,173.60M,,,,-2.10M,23.80M,-23.80M,,0.00,173.60M,23.80M,-23.80M,0.50M,-23.80M,150.30M,57.80M,92.50M,,,-0.70M,0.00,226.00M,51.90M,174.10M,,2012-12,,,0.8596,0.84,,,,,,2012-12,109.80M,110.14M,0.195,,2012-12,AOR,Restated
2012-09,554.60M,,577.40M,396.70M,180.70M,,,,0.00,24.10M,-24.10M,,0.00,180.70M,24.10M,-24.10M,8.00M,-24.10M,164.60M,73.90M,90.70M,,,-0.60M,0.10M,238.50M,49.80M,188.70M,,2012-09,,,0.7981,0.82,,,,,,2012-09,109.74M,110.13M,0.195,,2012-09,AOR,Restated
2012-06,525.10M,,545.30M,384.50M,160.80M,,,,37.90M,25.30M,-25.30M,,0.00,160.80M,25.30M,-25.30M,38.50M,-25.30M,174.00M,53.10M,120.90M,,,-0.50M,,248.00M,48.70M,199.30M,,2012-06,,,0.8820,1.10,,,,,,2012-06,109.69M,110.06M,0.195,,2012-06,AOR,Restated
2012-03,529.00M,,547.50M,389.70M,157.80M,,,,-12.90M,27.20M,-27.20M,,0.00,157.80M,27.20M,-27.20M,-3.10M,-27.20M,127.50M,52.20M,75.30M,,,-0.30M,0.10M,203.10M,48.40M,154.70M,,2012-03,,,0.7334,0.68,,,,,,2012-03,109.62M,110.00M,0.195,,2012-03,AOR,Restated
2011-12,455.90M,,530.30M,833.10M,-302.80M,,,,-1.20M,31.40M,-31.40M,,-427.60M,124.80M,31.40M,-31.40M,3.30M,-31.40M,96.70M,0.70M,96.00M,,,-0.30M,0.10M,175.20M,47.10M,128.10M,,2011-12,,,0.9117,0.88,,,,,,2011-12,109.58M,109.91M,0.00,,2011-12,AOR,Restated
2011-09,544.50M,,544.50M,231.10M,313.40M,109.30M,109.30M,,-3.30M,32.20M,-32.20M,-25.60M,131.60M,181.80M,32.20M,-32.20M,-5.80M,-32.20M,143.80M,43.70M,100.10M,,,-0.30M,,223.90M,47.90M,176.00M,,2011-09,,,0.9767,0.91,,0.00,,,,2011-09,109.52M,109.86M,0.00,,2011-09,AOR,Restated
2011-06,534.90M,,534.90M,189.50M,345.40M,148.30M,148.30M,,-10.30M,32.40M,-32.40M,,193.80M,151.60M,32.40M,-32.40M,-4.60M,-32.40M,114.60M,42.90M,71.70M,,,-0.90M,0.10M,192.50M,45.50M,147.00M,,2011-06,,,0.7066,0.65,,0.00,,,,2011-06,109.43M,109.81M,0.00,,2011-06,AOR,Restated
2011-03,488.60M,,488.60M,169.00M,319.60M,146.10M,146.10M,,5.20M,33.10M,-33.10M,,191.80M,127.80M,33.10M,-33.10M,5.20M,-33.10M,99.90M,35.80M,64.10M,,,-0.10M,1.40M,178.70M,45.70M,133.00M,,2011-03,,,0.5680,0.60,,0.00,,,,2011-03,104.27M,109.75M,0.00,,2011-03,AOR,Restated
2010-12,413.30M,,478.60M,754.00M,-275.40M,,,,-26.10M,35.60M,-35.60M,,-410.50M,135.10M,35.60M,-35.60M,-13.20M,-35.60M,86.30M,30.70M,55.60M,,,-1.00M,2.80M,168.00M,46.10M,121.90M,,2010-12,,,0.6745,0.51,,,,,,2010-12,102.20M,109.67M,0.00,,2010-12,AOR,Restated
2010-09,438.30M,,438.30M,188.90M,249.40M,87.30M,87.30M,,2.50M,36.20M,-36.20M,,133.40M,116.00M,36.20M,-36.20M,7.70M,-36.20M,87.50M,34.70M,52.80M,,,0.10M,2.70M,169.80M,46.10M,123.70M,,2010-09,,,0.4752,0.49,,0.00,,,,2010-09,102.08M,109.51M,0.00,,2010-09,AOR,Restated
2010-06,461.60M,,461.60M,193.80M,267.80M,93.70M,93.70M,,-32.90M,41.90M,-41.90M,,140.60M,127.20M,41.90M,-41.90M,-28.30M,-41.90M,57.00M,19.60M,37.40M,,,0.00,2.80M,145.80M,46.90M,98.90M,,2010-06,,,0.5661,0.35,,0.00,,,,2010-06,99.91M,100.37M,0.00,,2010-06,AOR,Restated
2010-03,436.30M,,436.30M,191.60M,244.70M,90.70M,90.70M,,-11.80M,44.40M,-44.40M,,136.50M,108.20M,44.40M,-44.40M,-5.40M,-44.40M,58.40M,24.20M,34.20M,,,1.10M,2.70M,148.60M,45.80M,102.80M,,2010-03,,,0.4200,0.34,,0.00,,,,2010-03,95.89M,96.46M,0.00,,2010-03,AOR,Restated
2009-12,406.80M,,406.80M,215.80M,191.00M,56.10M,56.10M,,2.60M,45.30M,-45.30M,,98.80M,92.20M,45.30M,-45.30M,6.00M,-45.30M,52.90M,17.70M,35.20M,,,-0.20M,2.70M,140.90M,42.70M,98.20M,,2009-12,,,0.3218,0.34,,0.00,,,,2009-12,95.19M,95.72M,0.00,,2009-12,AOR,Restated
2009-09,386.10M,,386.10M,162.20M,223.90M,95.40M,95.40M,,0.30M,41.20M,-41.20M,,140.00M,83.90M,41.20M,-41.20M,0.70M,-41.20M,43.40M,14.80M,28.60M,,,-0.40M,2.80M,129.20M,44.60M,84.60M,,2009-09,,,0.2784,0.27,,0.00,,,,2009-09,94.68M,95.24M,0.00,,2009-09,AOR,Restated
2009-06,341.30M,,341.30M,164.10M,177.20M,86.70M,86.70M,,8.90M,45.40M,-45.40M,,134.10M,43.10M,45.40M,-45.40M,10.90M,-45.40M,8.60M,1.50M,7.10M,,,-0.50M,0.10M,101.40M,47.40M,54.00M,,2009-06,,,-0.0099,0.07,,0.00,,,,2009-06,91.96M,99.41M,0.00,,2009-06,AOR,Restated
2009-03,346.00M,,346.00M,161.00M,185.00M,90.50M,90.50M,,-9.50M,41.80M,-41.80M,,137.40M,47.60M,41.80M,-41.80M,-8.50M,-41.80M,-2.70M,0.10M,-2.80M,,,0.10M,5.40M,86.00M,46.90M,39.10M,,2009-03,,,-0.0220,-0.09,,0.00,,,,2009-03,90.74M,90.74M,0.00,,2009-03,AOR,Restated
2008-12,423.80M,,423.80M,196.40M,227.40M,90.80M,90.80M,,-22.70M,36.20M,-36.20M,,136.20M,91.20M,36.20M,-36.20M,-18.50M,-36.20M,36.50M,-2.70M,39.20M,,,0.00,2.80M,118.10M,45.40M,72.70M,,2008-12,,,0.5642,0.40,,0.00,,,,2008-12,89.84M,97.43M,0.00,,2008-12,AOR,Restated
2008-09,491.50M,,491.50M,221.40M,270.10M,116.40M,116.40M,,-3.70M,35.50M,-35.50M,,159.10M,111.00M,35.50M,-35.50M,1.30M,-35.50M,76.80M,25.10M,51.70M,,,-0.10M,2.70M,155.00M,42.70M,112.30M,,2008-09,,,0.5782,0.55,,0.00,,,,2008-09,88.40M,98.92M,0.00,,2008-09,,Restated
2008-06,486.20M,,486.20M,226.40M,259.80M,115.00M,115.00M,,0.30M,27.70M,-27.70M,,155.20M,104.60M,27.70M,-27.70M,5.00M,-27.70M,81.90M,26.40M,55.50M,,,-0.10M,4.90M,149.80M,40.20M,109.60M,,2008-06,,,0.6374,0.64,,0.00,,,,2008-06,79.27M,99.15M,0.00,,2008-06,,Restated
2008-03,450.60M,,450.60M,206.50M,244.10M,120.40M,120.40M,,5.50M,39.50M,-39.50M,,160.70M,83.40M,39.50M,-39.50M,9.60M,-39.50M,53.50M,15.70M,37.80M,,,-0.10M,4.80M,133.30M,40.30M,93.00M,,2008-03,,,0.3790,0.43,,0.00,,,,2008-03,76.25M,97.48M,0.00,,2008-03,,Restated
2007-12,460.30M,,460.30M,-17.60M,477.90M,,326.80M,,6.80M,,,,369.20M,108.70M,,,11.00M,,81.30M,26.50M,54.70M,,,-0.10M,4.80M,166.70M,42.40M,124.30M,,2007-12,,,0.5996,0.66,,0.00,,,,2007-12,75.94M,118.73M,0.00,,2007-12,,Restated
2007-09,444.10M,,444.10M,262.90M,181.20M,,44.10M,,0.10M,,,,83.00M,98.20M,,,3.40M,,64.30M,17.50M,46.70M,,,-0.10M,4.90M,137.10M,38.90M,98.20M,,2007-09,,,0.5490,0.55,,0.00,,,,2007-09,75.94M,97.65M,0.00,,2007-09,,
2007-06,427.10M,,427.10M,138.70M,288.40M,,164.50M,,-0.20M,,,,205.30M,83.10M,,,2.60M,,44.10M,13.80M,30.20M,,,-0.10M,4.90M,123.90M,40.80M,83.10M,,2007-06,,,0.3318,0.33,,0.00,,,,2007-06,75.89M,90.73M,0.00,,2007-06,,
2007-03,411.30M,,411.30M,181.50M,229.80M,,119.30M,,-2.50M,,,,157.40M,72.40M,,,-1.40M,,31.60M,9.30M,22.20M,,,-0.10M,5.20M,110.50M,38.10M,72.40M,,2007-03,,,0.2433,0.22,,0.00,,,,2007-03,75.61M,90.34M,0.00,,2007-03,,
2006-12,442.40M,,442.40M,-122.40M,564.80M,,434.50M,,9.80M,,,,476.60M,88.20M,,,11.40M,,55.90M,15.20M,40.60M,,,-0.10M,4.90M,130.30M,42.10M,88.20M,,2006-12,,,0.3847,0.48,,0.00,,,,2006-12,74.90M,96.78M,0.00,,2006-12,,
2006-09,415.70M,,415.70M,265.60M,150.10M,,35.10M,,8.00M,,,,72.80M,77.30M,,,11.20M,,46.20M,14.70M,31.30M,,,-0.20M,4.90M,115.00M,37.70M,77.30M,,2006-09,,,0.2774,0.35,,0.00,,,,2006-09,75.18M,91.59M,0.00,,2006-09,,
2006-06,413.10M,,413.10M,247.80M,165.30M,,51.00M,,-6.30M,,,,87.80M,77.50M,,,-4.30M,,32.60M,8.50M,24.10M,,,,4.90M,114.30M,36.80M,77.50M,,2006-06,,,0.3225,0.26,,0.00,,,,2006-06,74.46M,92.55M,0.00,,2006-06,,
2006-03,388.40M,,388.40M,157.70M,230.70M,,106.60M,,-25.70M,,,24.40M,169.40M,61.30M,,,-25.20M,,19.90M,7.00M,12.90M,,,,4.90M,99.70M,38.40M,61.30M,,2006-03,,,0.3354,0.11,,0.00,,,,2006-03,73.93M,75.75M,0.00,,2006-03,,
2005-12,388.10M,,388.10M,-78.00M,466.10M,,385.90M,,3.80M,,,,418.30M,47.80M,,,6.00M,,10.80M,5.60M,5.20M,,,0.00,2.90M,80.20M,32.40M,47.80M,,2005-12,,,-0.0004,0.03,,0.00,,,,2005-12,75.12M,94.70M,0.00,,2005-12,,
2005-09,384.60M,,384.60M,257.20M,127.40M,,88.80M,,133.00M,,,,129.30M,-1.90M,,,134.30M,,92.90M,-19.80M,112.70M,,,,2.20M,38.70M,40.60M,-1.90M,,2005-09,,,0.3744,1.35,,0.00,,,,2005-09,81.80M,99.50M,0.00,,2005-09,,
2005-06,381.10M,,381.10M,194.90M,186.20M,,154.10M,,4.20M,,,,194.50M,-8.30M,,,5.70M,,-41.30M,1.60M,-25.10M,,,17.80M,2.20M,32.10M,40.40M,-8.30M,,2005-06,,,-0.3608,-0.33,,0.00,,,,2005-06,81.71M,81.71M,0.00,,2005-06,,
2005-03,198.20M,,198.20M,63.50M,134.70M,,95.60M,,3.30M,,,,109.90M,24.80M,,,1.30M,,13.70M,5.60M,8.10M,,,,2.20M,39.10M,14.30M,24.80M,,2005-03,,,0.0588,0.09,,0.00,,,,2005-03,63.50M,64.81M,0.00,,2005-03,,
2004-12,174.60M,,174.60M,42.20M,132.40M,,90.80M,,5.80M,,,,105.00M,27.40M,,,-4.40M,,11.60M,10.90M,0.70M,,,,2.10M,41.60M,14.20M,27.40M,,2004-12,,,-0.0752,-0.02,,0.00,,,,2004-12,63.04M,64.36M,0.00,,2004-12,,
2004-09,163.20M,,163.20M,45.80M,117.40M,,84.80M,,8.60M,,,,98.20M,19.20M,,,9.70M,,17.60M,6.50M,11.10M,,,,2.20M,32.60M,13.40M,19.20M,,2004-09,,,0.0535,0.14,,0.00,,,,2004-09,62.68M,63.96M,0.00,,2004-09,,
2004-06,153.90M,,153.90M,69.10M,84.80M,,52.20M,,1.70M,,,,65.30M,19.50M,,,4.90M,,13.50M,4.30M,9.20M,,,,2.20M,32.60M,13.10M,19.50M,,2004-06,,,0.0915,0.11,,0.00,,,,2004-06,62.66M,63.83M,0.00,,2004-06,,
2004-03,147.80M,,147.80M,58.40M,89.40M,,59.20M,,-2.70M,,,,72.00M,17.40M,,,-1.30M,,5.30M,1.90M,3.40M,,,,2.20M,30.20M,12.80M,17.40M,,2004-03,,,0.0477,0.02,,0.00,,,,2004-03,62.50M,63.81M,0.00,,2004-03,,
2003-12,148.50M,,148.50M,,,,,,2.00M,,,,504.10M,-6.80M,,,7.80M,,-10.60M,-5.40M,-5.20M,,0.00,,1.20M,9.40M,16.20M,-6.80M,,2003-12,0.00,,-0.1193,-0.11,,-0.01,-0.0003,,,2003-12,62.08M,62.08M,0.00,,2003-12,,
2003-09,146.30M,,146.30M,115.20M,31.10M,,,,2.00M,,,,16.20M,14.90M,,,2.70M,,6.00M,1.70M,4.30M,,,,3.30M,31.10M,16.20M,14.90M,,2003-09,,,-0.0032,0.02,,0.00,,,,2003-09,61.76M,63.14M,0.00,,2003-09,,
2003-06,146.30M,,146.30M,116.10M,30.20M,,,,1.50M,,,,16.00M,14.20M,,,-1.00M,,1.50M,2.00M,-0.50M,,,,,30.20M,16.00M,14.20M,,2003-06,,,-0.0446,-0.03,,0.00,,,,2003-06,61.65M,61.65M,0.00,,2003-06,,
2003-03,140.20M,,140.20M,67.00M,73.20M,,50.50M,,1.30M,,,,66.40M,6.80M,,,8.30M,,3.60M,-1.10M,4.70M,,8.90M,,,22.70M,15.90M,6.80M,,2003-03,0.00,,0.0673,0.22,,0.14,0.1416,,,2003-03,61.43M,62.86M,0.00,,2003-03,,
2002-12,144.20M,,144.20M,,,,,,2.30M,,,,472.90M,13.90M,,,20.00M,,22.20M,1.80M,20.40M,,,,0.00,30.00M,16.10M,13.90M,,2002-12,,,0.2953,0.33,,0.00,,,,2002-12,60.98M,62.63M,0.00,,2002-12,,
2002-09,138.90M,,138.90M,116.90M,22.00M,,,,6.50M,,,,15.80M,6.20M,,,15.60M,,10.30M,-0.30M,10.60M,,,,0.10M,22.00M,15.80M,6.20M,,2002-09,,,0.1055,0.17,,0.00,,,,2002-09,60.48M,62.45M,0.00,,2002-09,,
2002-06,139.20M,,139.20M,110.10M,29.10M,,,,0.10M,,,,14.60M,14.50M,,,11.80M,,15.80M,1.30M,14.50M,,,,,29.10M,14.60M,14.50M,,2002-06,,-0.0449,0.2785,0.24,,-0.04,,-0.0449,,2002-06,60.10M,62.33M,0.00,,2002-06,,
2002-03,143.90M,,143.90M,66.20M,77.70M,,49.40M,,8.80M,,,,64.30M,13.40M,,,13.70M,,15.80M,4.10M,11.70M,,,,,28.30M,14.90M,13.40M,,2002-03,,,0.0910,0.20,,0.00,,,,2002-03,59.78M,61.84M,0.00,,2002-03,,
2001-12,151.40M,,151.40M,,,,,,16.90M,,,,468.50M,20.40M,,,20.70M,,15.50M,4.40M,11.10M,,0.00,,,34.80M,14.40M,20.40M,,2001-12,0.00,,-0.0247,0.20,,,-0.0001,,,2001-12,56.37M,57.98M,0.00,,2001-12,,
