,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2014-06,161.00M,,,,,0.00,370.00M,69.00M,,266.00M,336.00M,-161.00M,-34.00M,-306.00M,,,-7.00M,-172.00M,694.00M,-1.269B,,-1.269B,0.00,-11.00M,-18.00M,31.00M,-1.267B,-52.00M,1.107B,1.055B,71.00M,,71.00M,0.00,0.00,-349.00M,-2.00M,-351.00M,-11.00M,764.00M,228.00M,191.00M,419.00M,71.00M,1.107B,-52.00M,0.00,,
2014-03,385.00M,,,,,-159.00M,378.00M,232.00M,,-34.00M,-183.00M,163.00M,,-2.00M,,,-27.00M,-49.00M,753.00M,-1.12B,,-1.12B,0.00,140.00M,1.00M,60.00M,-919.00M,542.00M,45.00M,587.00M,0.00,0.00,0.00,-125.00M,-125.00M,-349.00M,-4.00M,-353.00M,-31.00M,78.00M,316.00M,-88.00M,228.00M,0.00,1.195B,-608.00M,-125.00M,,
2013-12,435.00M,,,,,-4.00M,286.00M,136.00M,-48.00M,-2.00M,-196.00M,34.00M,77.00M,205.00M,,,-440.00M,-320.00M,483.00M,-1.11B,,-1.11B,,144.00M,1.00M,-163.00M,-1.11B,1.169B,-218.00M,951.00M,72.00M,,72.00M,,,-326.00M,-5.00M,-331.00M,-36.00M,656.00M,287.00M,29.00M,316.00M,72.00M,1.60B,-649.00M,,,
2013-09,575.00M,,,,,-93.00M,375.00M,206.00M,48.00M,-72.00M,6.00M,-53.00M,134.00M,34.00M,,,-1.00M,120.00M,1.159B,-1.018B,,-1.018B,,455.00M,5.00M,95.00M,-463.00M,556.00M,40.00M,596.00M,62.00M,,62.00M,0.00,0.00,-326.00M,-4.00M,-330.00M,-927.00M,-599.00M,190.00M,97.00M,287.00M,62.00M,585.00M,11.00M,0.00,,
2013-06,208.00M,,,,,0.00,363.00M,129.00M,,20.00M,216.00M,-143.00M,-88.00M,-81.00M,,,115.00M,19.00M,739.00M,-1.033B,,-1.033B,,-13.00M,-3.00M,26.00M,-1.023B,627.00M,102.00M,729.00M,71.00M,,71.00M,0.00,0.00,-326.00M,-4.00M,-330.00M,-31.00M,439.00M,35.00M,155.00M,190.00M,71.00M,1.10B,-371.00M,0.00,,
2013-03,502.00M,,,,,-25.00M,366.00M,266.00M,,-32.00M,-124.00M,133.00M,,-135.00M,,,101.00M,-25.00M,1.052B,-904.00M,,-904.00M,,0.00,-20.00M,62.00M,-862.00M,280.00M,-409.00M,-129.00M,73.00M,,73.00M,0.00,0.00,-324.00M,-4.00M,-328.00M,-19.00M,-403.00M,248.00M,-213.00M,35.00M,73.00M,1.25B,-1.379B,0.00,,
2012-12,-652.00M,,,,,,363.00M,-323.00M,1.645B,-73.00M,-79.00M,-2.00M,-13.00M,142.00M,,,-252.00M,-204.00M,675.00M,-1.261B,,-1.261B,,,-29.00M,119.00M,-1.056B,-638.00M,1.431B,793.00M,68.00M,,68.00M,,,-303.00M,-4.00M,-307.00M,-6.00M,548.00M,81.00M,167.00M,248.00M,68.00M,998.00M,-205.00M,,,
2012-09,215.00M,,,,,,376.00M,77.00M,444.00M,-23.00M,8.00M,-40.00M,-2.00M,126.00M,,,-117.00M,-25.00M,1.064B,-924.00M,,-924.00M,,,-8.00M,12.00M,-920.00M,181.00M,-149.00M,32.00M,58.00M,,58.00M,,,-303.00M,-4.00M,-307.00M,-8.00M,-225.00M,162.00M,-81.00M,81.00M,58.00M,1.05B,-1.018B,,,
2012-06,265.00M,,,,,,351.00M,127.00M,,4.00M,36.00M,-24.00M,-107.00M,-155.00M,,,278.00M,28.00M,775.00M,-979.00M,,-979.00M,,,6.00M,55.00M,-918.00M,-64.00M,473.00M,409.00M,70.00M,,70.00M,,,-302.00M,-4.00M,-306.00M,-1.00M,172.00M,133.00M,29.00M,162.00M,70.00M,0.00,409.00M,,,
2012-03,501.00M,,,,,,353.00M,214.00M,,-72.00M,327.00M,99.00M,37.00M,-186.00M,,,350.00M,627.00M,1.623B,-981.00M,,-981.00M,,,-5.00M,40.00M,-946.00M,346.00M,-757.00M,-411.00M,69.00M,,69.00M,,,-301.00M,-4.00M,-305.00M,1.00M,-646.00M,102.00M,31.00M,133.00M,69.00M,450.00M,-861.00M,,,
2011-12,207.00M,,,,,,337.00M,116.00M,228.00M,-47.00M,-162.00M,-23.00M,34.00M,-9.00M,,,-96.00M,-256.00M,585.00M,-1.036B,,-1.036B,,,-12.00M,91.00M,-957.00M,-488.00M,1.031B,543.00M,1.00M,0.00,1.00M,,,-281.00M,-5.00M,-286.00M,4.00M,262.00M,212.00M,-110.00M,102.00M,1.00M,504.00M,-563.00M,0.00,,
2011-09,396.00M,,,,,,324.00M,189.00M,55.00M,-35.00M,251.00M,-131.00M,-53.00M,41.00M,,,74.00M,182.00M,1.111B,-981.00M,,-981.00M,,,-10.00M,162.00M,-829.00M,1.149B,-1.003B,146.00M,5.00M,0.00,5.00M,,,-280.00M,-4.00M,-284.00M,-17.00M,-150.00M,80.00M,132.00M,212.00M,5.00M,1.185B,-36.00M,0.00,,
2011-06,340.00M,,,,,,309.00M,227.00M,,-79.00M,-16.00M,-150.00M,-54.00M,-233.00M,,,31.00M,-422.00M,375.00M,-829.00M,,-829.00M,,,-25.00M,71.00M,-783.00M,-36.00M,939.00M,903.00M,15.00M,-327.00M,-312.00M,,,-283.00M,-4.00M,-287.00M,-4.00M,300.00M,188.00M,-108.00M,80.00M,15.00M,0.00,-36.00M,-327.00M,,
2011-03,483.00M,,,,,,318.00M,227.00M,,-46.00M,292.00M,119.00M,54.00M,-428.00M,,,-107.00M,-70.00M,912.00M,-806.00M,,-806.00M,,,-20.00M,74.00M,-752.00M,1.058B,-538.00M,520.00M,17.00M,-274.00M,-257.00M,,,-285.00M,-4.00M,-289.00M,-8.00M,-34.00M,62.00M,126.00M,188.00M,17.00M,1.06B,-2.00M,-274.00M,,
2010-12,303.00M,113.00M,,,250.00M,-11.00M,312.00M,-128.00M,31.00M,-28.00M,-420.00M,58.00M,-135.00M,66.00M,,,-107.00M,-538.00M,-59.00M,-913.00M,,-913.00M,,0.00,495.00M,-388.00M,-806.00M,-538.00M,1.286B,748.00M,8.00M,0.00,8.00M,,,-266.00M,-5.00M,-271.00M,-4.00M,481.00M,446.00M,-384.00M,62.00M,8.00M,631.00M,-1.078B,0.00,,
2010-09,579.00M,-113.00M,,,0.00,-27.00M,317.00M,520.00M,0.00,-237.00M,48.00M,-114.00M,-25.00M,-441.00M,,,-142.00M,-674.00M,478.00M,-855.00M,,-855.00M,,0.00,392.00M,27.00M,-436.00M,547.00M,100.00M,647.00M,18.00M,-400.00M,-382.00M,,,-266.00M,-4.00M,-270.00M,-2.00M,-7.00M,411.00M,35.00M,446.00M,18.00M,550.00M,-3.00M,-400.00M,,
2010-06,1.943B,-2.354B,,,-250.00M,-2.771B,309.00M,-37.00M,163.00M,-385.00M,186.00M,-122.00M,39.00M,661.00M,,,-230.00M,534.00M,-244.00M,-750.00M,,-750.00M,,3.454B,-898.00M,26.00M,1.832B,-411.00M,-295.00M,-706.00M,21.00M,-309.00M,-288.00M,,,-269.00M,-4.00M,-273.00M,5.00M,-1.262B,85.00M,326.00M,411.00M,21.00M,0.00,-411.00M,-309.00M,,
2010-03,,,,,,455.00M,320.00M,-173.00M,,189.00M,126.00M,213.00M,260.00M,-1.00M,,,261.00M,859.00M,1.65B,-904.00M,,-904.00M,,737.00M,-26.00M,22.00M,-171.00M,0.00,-1.00B,-1.00B,27.00M,-191.00M,-164.00M,,,-275.00M,-4.00M,-279.00M,-1.00M,-1.444B,50.00M,35.00M,85.00M,27.00M,0.00,,-191.00M,,
2009-12,-4.00M,0.00,,,0.00,0.00,359.00M,-152.00M,0.00,752.00M,-346.00M,31.00M,-167.00M,242.00M,,,89.00M,-151.00M,804.00M,-953.00M,,-953.00M,,0.00,-40.00M,42.00M,-951.00M,-313.00M,646.00M,333.00M,75.00M,0.00,75.00M,,,-262.00M,-5.00M,-267.00M,3.00M,144.00M,53.00M,-3.00M,50.00M,75.00M,0.00,-313.00M,0.00,,
2009-09,598.00M,0.00,,,0.00,0.00,320.00M,105.00M,0.00,-128.00M,181.00M,-81.00M,-54.00M,93.00M,,,46.00M,185.00M,1.08B,-1.096B,,-1.096B,,0.00,-3.00M,143.00M,-956.00M,499.00M,-430.00M,69.00M,67.00M,0.00,67.00M,,,-261.00M,-4.00M,-265.00M,-8.00M,-137.00M,66.00M,-13.00M,53.00M,67.00M,500.00M,950.00M,0.00,,
2009-06,458.00M,0.00,45.00M,,,45.00M,315.00M,-82.00M,0.00,-60.00M,528.00M,-231.00M,-48.00M,-531.00M,,,27.00M,-255.00M,421.00M,-951.00M,,-951.00M,,0.00,-33.00M,70.00M,-914.00M,1.066B,-540.00M,526.00M,167.00M,0.00,167.00M,,,-259.00M,-4.00M,-263.00M,-18.00M,412.00M,147.00M,-81.00M,66.00M,167.00M,1.195B,-669.00M,0.00,,
2009-03,252.00M,0.00,-45.00M,,,-45.00M,325.00M,-365.00M,455.00M,93.00M,95.00M,271.00M,35.00M,-41.00M,,,406.00M,766.00M,1.481B,-837.00M,,-837.00M,,0.00,0.00,-37.00M,-874.00M,-4.00M,-411.00M,-415.00M,147.00M,0.00,147.00M,,,-257.00M,-4.00M,-261.00M,-2.00M,-531.00M,71.00M,76.00M,147.00M,147.00M,,-415.00M,0.00,,
2008-12,352.00M,,-177.00M,,,-177.00M,303.00M,-82.00M,-62.00M,126.00M,-409.00M,128.00M,222.00M,76.00M,,,772.00M,789.00M,1.249B,-1.081B,,-1.081B,0.00,337.00M,-360.00M,-65.00M,-1.169B,507.00M,-422.00M,85.00M,62.00M,,62.00M,,,-230.00M,-5.00M,-235.00M,-11.00M,-99.00M,90.00M,-19.00M,71.00M,62.00M,765.00M,-953.00M,,,
2008-09,512.00M,,177.00M,,,177.00M,312.00M,29.00M,0.00,-29.00M,35.00M,-268.00M,216.00M,-127.00M,,,34.00M,-110.00M,891.00M,-857.00M,,-857.00M,343.00M,-337.00M,-32.00M,233.00M,-650.00M,-36.00M,-26.00M,-62.00M,58.00M,,58.00M,,,-229.00M,-4.00M,-233.00M,-5.00M,-242.00M,91.00M,-1.00M,90.00M,58.00M,-26.00M,-36.00M,,,
2008-06,306.00M,,-18.00M,,,-18.00M,282.00M,377.00M,0.00,75.00M,340.00M,-172.00M,-399.00M,110.00M,,,-916.00M,-1.037B,-15.00M,-919.00M,,-919.00M,,,12.00M,-46.00M,-953.00M,1.045B,102.00M,1.147B,62.00M,,62.00M,,,-229.00M,-8.00M,-237.00M,2.00M,974.00M,85.00M,6.00M,91.00M,62.00M,1.902B,-755.00M,,,
2008-03,680.00M,,18.00M,,,18.00M,294.00M,-55.00M,62.00M,2.00M,-188.00M,196.00M,183.00M,-504.00M,,,-137.00M,-450.00M,551.00M,-697.00M,,-697.00M,,,43.00M,-64.00M,-718.00M,-480.00M,619.00M,139.00M,58.00M,,58.00M,,,-228.00M,,-228.00M,-4.00M,-35.00M,287.00M,-202.00M,85.00M,58.00M,649.00M,-510.00M,,,
2007-12,299.00M,,,,,-529.00M,289.00M,385.00M,,-124.00M,-472.00M,67.00M,,441.00M,,,-2.885B,-2.849B,-2.529B,-735.00M,12.00M,-723.00M,,171.00M,-8.00M,-62.00M,-622.00M,,,3.169B,33.00M,-5.00M,28.00M,,,,,-227.00M,-3.00M,2.967B,471.00M,-184.00M,287.00M,33.00M,,,-5.00M,,
2007-09,2.317B,,,,,-3.746B,322.00M,-1.562B,,323.00M,648.00M,-206.00M,,-515.00M,,,2.729B,2.656B,310.00M,-881.00M,323.00M,-558.00M,,13.00B,-15.00M,57.00M,12.49B,,,-6.599B,77.00M,-5.646B,-5.569B,,,,,-207.00M,5.00M,-12.37B,43.00M,428.00M,471.00M,77.00M,,,-5.646B,,
2007-06,-530.00M,,,,,276.00M,464.00M,-313.00M,,692.00M,287.00M,-200.00M,,15.00M,,,72.00M,174.00M,763.00M,-1.309B,16.00M,-1.293B,,445.00M,-47.00M,17.00M,-878.00M,,,380.00M,30.00M,-117.00M,-87.00M,,,,,-248.00M,5.00M,50.00M,108.00M,-65.00M,43.00M,30.00M,,,-117.00M,,
2007-03,453.00M,,,,,47.00M,458.00M,205.00M,,7.00M,-169.00M,391.00M,,-131.00M,,,-51.00M,40.00M,1.21B,-1.047B,,-1.047B,,257.00M,,-6.00M,-796.00M,,,-302.00M,86.00M,,86.00M,,,,,-249.00M,17.00M,-448.00M,142.00M,-34.00M,108.00M,86.00M,,,,,
2006-12,31.00M,,,,,70.00M,443.00M,93.00M,,386.00M,-358.00M,146.00M,,130.00M,,,-422.00M,-504.00M,519.00M,-1.178B,373.00M,-805.00M,,0.00,-86.00M,177.00M,-714.00M,,,951.00M,44.00M,,-496.00M,,,,,-243.00M,-3.00M,209.00M,128.00M,14.00M,142.00M,44.00M,,,,,
2006-09,654.00M,,,,,-173.00M,434.00M,175.00M,,43.00M,78.00M,-236.00M,,228.00M,,,294.00M,364.00M,1.497B,-943.00M,0.00,-943.00M,,0.00,37.00M,78.00M,-828.00M,,,-445.00M,63.00M,,63.00M,,,,,-244.00M,2.00M,-624.00M,83.00M,45.00M,128.00M,63.00M,,,,,
2006-06,161.00M,,,,,13.00M,448.00M,55.00M,,-94.00M,552.00M,-169.00M,,-225.00M,,,264.00M,422.00M,1.005B,-1.008B,20.00M,-988.00M,,0.00,-37.00M,59.00M,-966.00M,,,-152.00M,369.00M,,369.00M,,,,,-243.00M,-3.00M,-29.00M,73.00M,10.00M,83.00M,369.00M,,,,,
2006-03,534.00M,,,,,-69.00M,414.00M,187.00M,,7.00M,412.00M,262.00M,,-659.00M,,,-104.00M,-89.00M,984.00M,-923.00M,,-923.00M,,-91.00M,,28.00M,-986.00M,,,176.00M,3.00M,,3.00M,,,,,-240.00M,-10.00M,-71.00M,146.00M,-73.00M,73.00M,3.00M,,,,,
2005-12,257.00M,,,,,-141.00M,395.00M,115.00M,,,-826.00M,-5.00M,,484.00M,-23.00M,-80.00M,-51.00M,-501.00M,125.00M,-940.00M,15.00M,-925.00M,,0.00,-774.00M,832.00M,-867.00M,,,-112.00M,9.00M,0.00,9.00M,,,,,-233.00M,-13.00M,-349.00M,1.237B,-1.091B,146.00M,9.00M,,,0.00,399.00M,1.007B
2005-09,15.00M,,,,,502.00M,392.00M,-166.00M,,120.00M,-136.00M,-284.00M,,366.00M,-3.00M,-243.00M,565.00M,265.00M,1.128B,-832.00M,0.00,-832.00M,,-235.00M,-51.00M,180.00M,-938.00M,,,826.00M,410.00M,0.00,410.00M,,,,,-232.00M,-1.00M,1.003B,44.00M,1.193B,1.237B,410.00M,,,0.00,-125.00M,-497.00M
