,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2009-12,52.76M,,-3.694M,6.647M,,-4.212M,13.45M,7.013M,20.46M,20.46M,-7.95M,,,,11.71M,15.60M,11.34M,,-37.49M,27.07M,,2.836M,19.35M,92.12M,,-48.20M,,-18.07M,,0.579M,,-32.13M,-48.30M,,-20.55M,1.368M,-19.18M,,0.00,0.00,,-9.868M,4.95M,2.848M,-21.26M,,419.24M,22.57M,5.334M,447.14M,,,-29.54M,-20.55M,0.00,33.83M,11.55M,,AOR,Restated
2009-09,70.02M,,,-2.703M,,-0.934M,14.16M,7.124M,21.28M,21.28M,10.28M,,,,5.482M,-1.485M,-9.828M,,43.55M,-24.80M,,0.476M,7.905M,114.04M,,-29.42M,,-29.42M,,-0.169M,,0.127M,-29.46M,,-16.98M,2.353M,-14.63M,,-0.389M,-0.389M,,-9.845M,1.557M,0.356M,-22.95M,,357.00M,61.64M,0.608M,419.24M,,,2.353M,-16.98M,-0.389M,29.44M,3.549M,,AOR,Restated
2009-06,58.16M,,0.379M,-3.993M,,-1.163M,14.79M,7.143M,21.94M,21.94M,10.71M,,,,5.017M,0.068M,-9.715M,,15.45M,-1.228M,0.842M,2.737M,8.151M,102.80M,,-36.48M,,-36.48M,,-0.169M,,30.88M,-5.766M,,-17.54M,-4.245M,-21.79M,,0.00,0.00,,-6.322M,1.451M,0.83M,-25.83M,,280.24M,71.21M,5.546M,357.00M,,,-4.806M,-16.98M,0.00,42.78M,14.80M,,AOR,Restated
2009-03,62.58M,,-0.379M,-2.705M,,-0.139M,14.52M,7.151M,21.67M,21.67M,10.11M,,,,2.707M,-7.98M,-2.348M,,8.633M,-1.466M,-0.842M,-0.936M,-4.939M,91.98M,,-21.28M,,-21.28M,,-0.241M,,0.907M,-20.62M,,-16.42M,31.43M,15.02M,,0.00,0.00,,-6.309M,2.071M,0.936M,11.71M,,198.00M,83.08M,-0.838M,280.24M,,,32.00M,-16.98M,0.00,,,,AOR,Restated
2008-12,44.24M,,6.428M,6.66M,,6.402M,,,19.39M,19.39M,5.75M,3.962M,,,13.96M,38.77M,10.06M,8.95M,-9.871M,-1.354M,,-14.75M,31.80M,114.04M,,-54.53M,,-39.08M,,0.637M,1.263M,-18.23M,-55.24M,,-11.10M,-14.45M,-25.56M,,-0.403M,-0.403M,,-6.303M,2.221M,0.752M,-29.29M,,175.69M,29.51M,-7.199M,198.00M,,,0.00,86.20M,-0.403M,,,,AOR,Restated
2008-09,48.99M,,5.946M,-2.443M,,4.807M,,,20.37M,20.37M,3.697M,0.788M,,,3.215M,9.456M,-1.903M,-7.139M,9.555M,0.00,,-0.047M,9.922M,91.78M,,-26.98M,,-26.96M,,-383.45M,,4.382M,-406.05M,,239.83M,2.082M,241.92M,,0.00,0.00,,-6.186M,4.483M,-3.594M,236.62M,,255.93M,-77.64M,-2.60M,175.69M,,,250.00M,-8.084M,0.00,,,,,Restated
2008-06,45.76M,,-5.946M,-4.532M,,-6.459M,,,16.44M,16.44M,3.605M,6.71M,,,1.206M,-25.19M,-2.165M,0.598M,45.96M,,-20.94M,2.084M,0.355M,67.62M,,-10.52M,,-10.37M,,-10.18M,-1.263M,12.91M,-9.056M,,-16.91M,-99.38M,-8.129M,-2.761M,,-2.761M,,-5.318M,6.02M,-1.087M,-11.28M,,208.06M,47.29M,0.581M,255.93M,,-2.761M,,-116.29M,,,,,,Restated
2008-03,56.19M,,,,,-2.821M,,,15.21M,15.21M,2.103M,,,,5.492M,3.436M,-3.549M,-2.409M,-30.47M,,20.94M,-1.395M,-13.45M,62.72M,,-6.283M,,-6.283M,,9.62M,1.263M,-0.416M,4.184M,,,,-108.16M,2.761M,,2.761M,,-5.307M,,1.872M,-108.83M,,249.81M,-41.93M,0.18M,208.06M,,2.761M,,,,,,,,
2007-12,31.68M,,,,,2.711M,,,13.57M,13.57M,-4.765M,,,,2.073M,27.67M,8.002M,1.586M,2.436M,,0.155M,4.298M,44.15M,89.42M,,-12.64M,0.00,-12.64M,,1.002M,,-1.214M,-12.85M,,,,-10.50M,5.702M,0.00,5.702M,,-5.282M,,2.172M,-7.904M,,178.49M,68.66M,2.662M,249.81M,,5.702M,,,0.00,,,,,
2007-09,51.72M,,,,,-6.126M,,,14.06M,14.06M,8.842M,,,,-0.321M,-24.06M,-6.91M,2.983M,33.67M,,4.941M,5.329M,15.95M,84.12M,,-10.84M,7.213M,-3.627M,,-0.313M,,0.303M,-3.637M,,,,-8.152M,1.867M,-0.246M,1.621M,,-5.273M,,0.47M,-11.33M,,106.89M,69.15M,2.449M,178.49M,,1.867M,,,-0.246M,,,,,
2007-06,40.53M,,,,,0.104M,,,14.42M,14.42M,8.346M,,,,3.276M,-12.69M,5.326M,-1.291M,-0.299M,,-7.867M,-4.316M,-21.14M,45.54M,,-14.10M,,-14.10M,,-0.719M,,0.331M,-14.49M,,,,-32.26M,2.055M,,2.055M,,-4.607M,,1.202M,-33.61M,,107.74M,-2.565M,1.714M,106.89M,,2.055M,,,,,,,,
2007-03,45.10M,,,,,-0.799M,,,14.61M,14.61M,4.096M,,,,3.59M,2.183M,-20.18M,-2.217M,-30.56M,,14.55M,-0.78M,-37.00M,29.60M,,-11.29M,,-11.29M,,-0.181M,,-0.068M,-11.54M,,,,-26.46M,6.445M,,6.445M,,-4.584M,,3.837M,-20.77M,,110.48M,-2.71M,-0.028M,107.74M,,6.445M,,,,,,,,
2006-12,23.91M,,,,,-2.422M,,,13.58M,13.58M,-5.109M,,,,15.20M,17.06M,9.557M,-0.349M,2.123M,,2.383M,1.214M,31.99M,77.15M,,-14.40M,,-14.40M,,0.177M,,-1.113M,-15.33M,,,,-48.17M,2.528M,,2.528M,,-4.571M,,1.155M,-49.05M,,95.81M,12.77M,1.897M,110.48M,,2.528M,,,,,,,,
2006-09,38.66M,,,,,3.584M,,,13.22M,13.22M,7.073M,,,,-0.506M,-11.72M,10.26M,3.781M,20.14M,,1.217M,-4.991M,18.68M,80.72M,,-12.01M,,-12.01M,,-329.11M,-0.10M,0.946M,-340.28M,,,,245.47M,3.521M,,3.521M,,-4.546M,,-0.291M,244.15M,,110.19M,-15.41M,1.036M,95.81M,,3.521M,,,,,,,,
2006-06,36.41M,,,,,-0.717M,,,12.44M,12.44M,3.542M,,,,2.998M,-19.53M,-9.025M,-1.756M,1.998M,,-8.371M,-2.984M,-39.67M,15.00M,,-10.63M,,-10.63M,,-8.149M,0.10M,-0.264M,-18.95M,,,,-12.98M,3.849M,,3.849M,,-3.837M,,1.839M,-11.13M,,123.04M,-15.08M,2.224M,110.19M,,3.849M,,,,,,,,
2006-03,39.95M,,,,,-2.976M,,,12.48M,12.48M,3.519M,,,,2.109M,-0.082M,-23.85M,1.344M,-28.45M,,5.922M,3.606M,-41.51M,13.57M,,-10.56M,,-10.56M,,-0.385M,,-0.016M,-10.96M,,,,-6.571M,2.297M,,2.297M,,-3.914M,,1.876M,-6.312M,,126.68M,-3.697M,0.06M,123.04M,,2.297M,,,,,,,,
2005-12,16.23M,,,,,14.92M,,,10.74M,10.74M,-2.779M,,,,,9.571M,1.793M,-2.477M,33.68M,,-25.38M,2.605M,19.79M,58.90M,,-9.48M,3.803M,-5.677M,,-83.54M,,5.937M,-83.28M,,,,-4.344M,0.702M,,0.702M,,-3.861M,,-0.56M,-8.063M,,159.80M,-32.44M,-0.674M,126.68M,,0.702M,,,,,,,,
2005-09,34.60M,,,,,6.669M,,,11.31M,11.31M,-0.952M,,,,,4.382M,-0.332M,1.736M,9.839M,,2.524M,-2.605M,15.54M,67.17M,,-9.508M,8.593M,-0.915M,,1.241M,0.187M,-5.535M,-5.022M,,,,-9.109M,5.566M,,5.566M,,-3.846M,,-0.434M,-7.823M,,109.46M,54.32M,-3.989M,159.80M,,5.566M,,,,,,,,
2005-06,34.38M,,,,,2.798M,,,11.22M,11.22M,2.003M,,,,,-20.62M,-2.324M,-0.702M,6.41M,,-0.282M,,-17.52M,32.88M,,-10.80M,2.35M,-8.448M,,-0.68M,-0.187M,-2.065M,-11.38M,,,,-20.45M,8.06M,,8.06M,,-3.81M,,0.261M,-15.94M,,101.90M,5.564M,1.997M,109.46M,,8.06M,,,,,,,,
2005-03,37.70M,,,,,1.194M,,,10.90M,10.90M,4.118M,,,,,-21.78M,-8.952M,0.484M,-10.86M,,18.35M,,-22.75M,31.16M,,-7.951M,,-7.951M,,-0.561M,,3.08M,-5.432M,,,,-68.18M,2.839M,,2.839M,,-3.798M,,-0.261M,-69.40M,,145.54M,-43.67M,0.035M,101.90M,,2.839M,,,,,,,,
2004-12,11.93M,,,,,-4.118M,,,10.20M,10.20M,-0.346M,,,,,36.00M,6.403M,-3.469M,-5.515M,,-0.284M,-0.166M,32.97M,50.64M,,-11.58M,0.219M,-11.36M,,-5.492M,,8.279M,-8.577M,,,,-44.75M,7.748M,,7.748M,,-3.744M,,-4.951M,-45.70M,,145.44M,-3.633M,3.733M,145.54M,,7.748M,,,,,,,,
2004-09,27.40M,,,,,-0.281M,,,10.24M,10.24M,3.60M,,,,,8.879M,5.924M,1.912M,8.049M,,1.878M,0.166M,26.81M,67.77M,,-10.37M,0.215M,-10.16M,,0.789M,1.273M,-4.933M,-13.03M,,,,-31.48M,6.125M,,6.125M,,-3.708M,,-0.071M,-29.13M,,119.56M,25.61M,0.273M,145.44M,,6.125M,,,,,,,,
2004-06,19.57M,,,,,9.615M,,,9.667M,9.667M,3.51M,,,,,-8.408M,6.692M,0.038M,11.55M,,-2.724M,,7.146M,49.51M,,-7.225M,0.00,-7.225M,,-192.16M,-1.273M,-0.978M,-201.64M,,,,209.24M,2.146M,,2.146M,,-3.285M,,-3.369M,204.73M,,66.67M,52.60M,0.296M,119.56M,,2.146M,,,,,,,,
2004-03,29.91M,,,,,-10.23M,,,8.984M,8.984M,6.099M,,,,,6.254M,-14.14M,0.233M,-1.013M,,5.023M,,-3.646M,31.11M,,-6.396M,0.916M,-5.48M,,-3.00M,,1.92M,-6.56M,,,,-32.64M,2.614M,,2.614M,,-3.268M,,-0.222M,-33.52M,,75.63M,-8.968M,,66.67M,,2.614M,,,,,,,,
2003-12,15.87M,,,,,7.34M,,,7.924M,7.924M,2.37M,,,,,-6.30M,11.00M,-1.106M,5.542M,,-2.183M,,6.95M,40.45M,,-8.20M,,-8.20M,,-110.85M,,-0.763M,-119.81M,,,,78.19M,5.522M,,5.522M,,-3.237M,,-2.127M,78.35M,,76.70M,-1.011M,-0.051M,75.63M,,5.522M,,,,,,,,
2003-09,19.52M,,,,,-6.211M,,,7.412M,7.412M,4.275M,,,,,0.734M,8.001M,-0.922M,-0.101M,,2.62M,,10.33M,35.33M,,-8.382M,,-8.382M,,0.00,,0.304M,-8.078M,,,,-0.903M,1.886M,,1.886M,,-3.223M,,-3.191M,-5.431M,,54.01M,21.82M,0.864M,76.70M,,1.886M,,,,,,,,
2003-06,24.63M,,,,,-11.77M,,,7.38M,7.38M,1.927M,,,,,-4.478M,0.416M,1.61M,-6.26M,,1.398M,,-7.314M,14.85M,,-7.885M,,-7.885M,,0.00,,1.256M,-6.629M,,,,-21.34M,2.931M,,2.931M,,-3.04M,,0.00,-21.45M,,67.24M,-13.23M,,54.01M,,2.931M,,,,,,,,
2003-03,20.95M,,,,,-7.84M,,,7.508M,7.508M,3.918M,,,,,3.754M,-2.906M,0.927M,-5.586M,,7.955M,,4.144M,28.68M,,-6.207M,,-6.207M,,-3.424M,,1.499M,-8.132M,,,,-28.66M,2.301M,,2.301M,,-2.995M,,-0.251M,-29.60M,,76.30M,-9.06M,,67.24M,,2.301M,,,,,,,,
2002-12,15.54M,,,,,2.287M,,,6.571M,6.571M,-0.293M,,,,,2.572M,6.335M,-1.028M,0.864M,,8.191M,,16.93M,41.04M,,-7.86M,1.249M,-6.611M,,7.747M,,-6.074M,-4.938M,,,,-33.39M,0.91M,,0.91M,,-2.991M,,-0.476M,-35.95M,,76.15M,0.154M,,76.30M,,0.91M,,,,,,,,
2002-09,17.58M,,,,,-4.623M,,,7.334M,7.334M,7.628M,,,,,3.636M,7.575M,-2.323M,-11.26M,,0.933M,,-1.443M,26.47M,,-10.61M,0.13M,-10.48M,,-0.033M,-1.69M,5.12M,-7.084M,,,,-16.51M,0.493M,,0.493M,,-2.985M,,0.475M,-18.52M,,75.28M,0.863M,,76.15M,,0.493M,,,,,,,,
2002-06,18.65M,,,,,-9.603M,,,7.503M,7.503M,3.781M,,,,,-5.905M,4.432M,2.409M,1.455M,,4.286M,,6.677M,27.01M,,-10.16M,0.006M,-10.16M,,0.00,1.69M,-1.178M,-9.646M,,,,1.31M,6.204M,,6.204M,,-2.97M,,-0.475M,4.069M,,53.85M,21.43M,,75.28M,,6.204M,,,,,,,,
2002-03,14.92M,,,,,-1.069M,,,6.482M,6.482M,6.701M,,,,,5.573M,-1.571M,0.548M,-10.04M,,-2.054M,,-7.541M,19.50M,,-10.10M,0.075M,-10.03M,,-7.714M,,1.041M,-16.70M,,,,-1.707M,3.261M,,3.261M,,-2.942M,,,-1.388M,,52.45M,1.406M,,53.85M,,3.261M,,,,,,,,
2001-12,6.113M,,,,,10.14M,,,8.194M,8.194M,5.599M,,,,,4.168M,-3.004M,-2.082M,-0.51M,,-3.561M,,-4.989M,25.06M,,-143.44M,0.181M,-143.26M,,230.58M,-12.30M,-81.26M,-6.234M,,,,0.169M,0.607M,,0.607M,,-2.933M,,-0.969M,-3.126M,,36.75M,15.70M,,52.45M,,0.607M,,,,,,,,
2001-09,15.25M,,,,,-1.486M,,,7.299M,7.299M,-0.265M,,,,,-4.958M,-7.925M,1.42M,-0.009M,,8.457M,,-3.015M,17.78M,,-6.359M,0.00,-6.359M,,-230.58M,101.64M,-119.57M,-254.87M,,,,266.92M,1.218M,,1.218M,,-2.924M,,-8.632M,256.58M,,17.26M,19.50M,,36.75M,,1.218M,,,,,,,,
2001-06,13.48M,,,,,-1.108M,,,6.109M,6.109M,1.36M,,,,,-3.961M,-0.076M,-0.637M,-22.76M,,-2.10M,,-29.54M,-9.697M,,-8.215M,1.84M,-6.375M,,,-100.64M,2.46M,-104.56M,,,,111.68M,3.78M,,3.78M,,-2.719M,,,112.74M,,18.77M,-1.519M,,17.26M,,3.78M,,,,,,,,
2001-03,12.15M,,,,,-1.257M,,,6.241M,6.241M,0.601M,,,,,-20.77M,-3.539M,-0.862M,11.05M,,4.894M,,-9.225M,8.507M,,-7.749M,0.509M,-7.24M,,,0.997M,-5.252M,-11.50M,,,,-0.675M,3.563M,,3.563M,,-2.699M,,,0.189M,,21.57M,-2.799M,,18.77M,,3.563M,,,,,,,,
2000-12,10.69M,,,,,0.054M,,,6.99M,6.99M,1.331M,,,,,1.322M,7.488M,,-2.519M,0.17M,4.281M,,10.74M,29.80M,,-11.72M,-0.863M,-12.58M,,,0.995M,7.822M,-3.761M,,,,-22.72M,2.914M,-0.39M,2.524M,,-2.673M,,,-22.87M,,18.40M,3.17M,,21.57M,,2.914M,,,-0.39M,,,,,
2000-09,-1.236M,,,,,13.38M,,,4.975M,4.975M,-6.771M,,,,,0.677M,6.13M,,8.392M,-0.004M,2.255M,,17.45M,27.80M,,-4.425M,-0.001M,-4.426M,,,2.87M,-4.608M,-6.164M,,,,-26.46M,1.552M,-4.219M,-2.667M,,-2.679M,,,-31.81M,,28.58M,-10.17M,,18.40M,,1.552M,,,-4.219M,,,,,
2000-06,12.38M,,,,,-0.47M,,,5.892M,5.892M,1.001M,,,,,-1.709M,8.53M,,5.014M,-0.092M,-8.901M,,2.842M,21.64M,,-5.148M,0.864M,-4.284M,,,-1.856M,-0.501M,-6.641M,,,,1.885M,1.591M,-1.941M,-0.35M,,-2.674M,,,-1.139M,,14.72M,13.86M,,28.58M,,1.591M,,,-1.941M,,,,,
2000-03,11.73M,,,,,-0.862M,,,5.597M,5.597M,0.372M,,,,,-1.213M,-5.038M,,9.49M,-0.692M,4.128M,,6.675M,23.51M,,-5.358M,,-5.358M,,,-1.00M,-4.267M,-10.62M,,,,-2.695M,1.408M,-13.93M,-12.53M,,-2.718M,,,-17.94M,,19.76M,-5.05M,,14.72M,,1.408M,,,-13.93M,,,,,
1999-12,11.20M,,,,,-0.10M,,,5.00M,5.00M,3.00M,,,,-0.20M,5.20M,-0.40M,,-0.60M,3.30M,-0.20M,,7.30M,26.20M,,-60.40M,,-60.40M,,,,-0.60M,-63.00M,,,,40.10M,1.20M,-1.20M,0.00,,-2.70M,,,37.40M,,19.10M,0.60M,,19.80M,,1.20M,,,-1.20M,,,,,
1999-09,11.40M,,,,,-1.30M,,,4.80M,4.80M,-0.50M,,,,-0.10M,-2.20M,3.10M,,5.80M,-0.40M,2.50M,,8.80M,23.10M,,-14.00M,-16.80M,-30.80M,,,,21.30M,-9.50M,,,,-7.20M,1.00M,-3.50M,-2.50M,,-2.80M,,,-12.50M,,0.00,1.10M,,19.10M,,1.00M,,,-3.50M,,,,,
1999-06,10.40M,,,,,-1.80M,,,5.00M,5.00M,-0.40M,,,,0.10M,-3.40M,-3.20M,,-4.10M,-1.90M,-1.50M,,-14.10M,-0.80M,,-8.10M,13.80M,5.70M,,,,-6.90M,-1.20M,,,,3.00M,1.90M,-2.70M,-0.80M,,-2.30M,,-0.10M,-0.20M,,20.20M,-2.20M,,0.00,,1.90M,,,-2.70M,,,,,
1999-03,12.40M,,,,,-9.10M,,,4.50M,4.50M,-0.20M,,,,,3.10M,-5.10M,,3.40M,-2.20M,8.70M,,7.90M,15.50M,,-5.40M,3.00M,-2.40M,,,,-0.80M,-3.20M,,,,-7.00M,2.60M,-1.70M,0.90M,,-2.30M,,0.10M,-8.30M,,16.20M,4.00M,,20.20M,,2.60M,,,-1.70M,,,,,
1998-12,8.70M,,,,,2.60M,,,4.00M,4.00M,-0.90M,,,,-0.20M,0.90M,4.10M,,2.80M,0.10M,2.10M,,10.00M,24.20M,,-8.60M,,-8.60M,,,,1.80M,-6.80M,,,,-10.70M,1.30M,-1.90M,-0.60M,,-2.30M,,,-13.60M,,0.00,3.80M,,16.20M,,1.30M,,,-1.90M,,,,,
1998-09,7.80M,,,,,-1.20M,,,4.20M,4.20M,0.50M,,,,0.20M,9.70M,0.60M,,-5.70M,1.50M,3.90M,,10.00M,21.50M,,-21.40M,,-21.40M,,,,2.90M,-18.50M,,,,0.00,0.50M,-3.90M,-3.40M,,-2.30M,,-0.10M,-5.80M,,0.00,-2.80M,,0.00,,0.50M,,,-3.90M,,,,,
1998-06,7.90M,,,,,-1.90M,,,4.20M,4.20M,0.60M,,,,-0.20M,-19.60M,3.90M,,-3.20M,0.40M,3.00M,,-15.50M,-4.90M,,-6.40M,,-6.40M,,,,2.40M,-4.00M,,,,10.00M,1.30M,-1.40M,-0.10M,,-2.40M,,0.20M,7.70M,,0.00,-1.20M,,0.00,,1.30M,,,-1.40M,,,,,
1998-03,5.90M,,,,,-1.10M,,,4.10M,4.10M,-0.30M,,,,0.10M,-6.50M,-6.50M,,12.20M,0.40M,1.00M,,0.60M,9.30M,,-6.80M,,-6.80M,,,,-6.30M,-13.10M,,,,10.00M,0.70M,-3.10M,-2.40M,,-2.30M,,-0.10M,5.20M,,14.90M,1.40M,,0.00,,0.70M,,,-3.10M,,,,,
1997-12,5.60M,,,,,-1.60M,,,3.80M,3.80M,1.90M,,,,,10.30M,-3.50M,,-1.40M,-0.10M,-2.60M,,2.70M,12.40M,,-3.20M,,-3.20M,,,,0.90M,-2.30M,,,,0.00,0.10M,-0.60M,-0.50M,,-2.40M,,0.10M,-2.80M,,0.00,7.30M,,0.00,,0.10M,,,-0.60M,,,,,
1997-09,6.40M,,,,,-1.30M,,,3.50M,3.50M,0.70M,,,,,-9.90M,0.00,,3.00M,1.10M,0.10M,,-5.70M,3.60M,,-3.30M,,-3.30M,,,,-30.90M,-34.20M,,,,32.00M,0.50M,0.00,0.50M,,-2.30M,,-0.10M,30.10M,,0.00,-0.50M,,0.00,,0.50M,,,0.00,,,,,
1997-06,7.30M,,,,,-1.50M,,,3.50M,3.50M,0.00,,,,-0.20M,-1.60M,1.50M,,0.20M,-1.00M,-3.10M,,-4.00M,5.10M,,-2.30M,,-2.30M,,,,-8.70M,-11.00M,,,,,0.20M,-2.40M,-2.20M,,-2.20M,,0.10M,-4.30M,,0.00,-10.20M,,0.00,,0.20M,,,-2.40M,,,,,
1997-03,5.20M,,,,,-1.50M,,,3.40M,3.40M,0.10M,,,,0.20M,-6.70M,-5.10M,,-2.90M,0.20M,3.60M,,-10.90M,-3.50M,,-1.10M,,-1.10M,,,,1.40M,0.30M,,,,,0.90M,,0.90M,,-2.10M,,-0.10M,-1.30M,,22.90M,-4.50M,,0.00,,0.90M,,,,,,,,
1996-12,6.00M,,,,,-1.20M,,,3.30M,3.30M,0.50M,,,,,12.10M,-3.20M,,2.30M,0.00,-2.70M,,8.50M,17.10M,,-3.10M,,-3.00M,,,,-4.00M,-7.00M,,,,0.00,0.00,-1.70M,-1.70M,,-2.10M,,,-3.80M,,0.00,6.30M,,0.00,,0.00,,,-1.70M,,,,,
1996-09,5.20M,,,,,-0.80M,,,3.40M,3.40M,-0.60M,,,,0.10M,-2.40M,1.30M,,1.40M,0.00,2.70M,,3.00M,10.30M,,-1.50M,,-1.50M,,,,1.20M,-0.30M,,,,0.00,0.20M,-1.30M,-1.10M,,-2.20M,,,-3.30M,,0.00,6.70M,,0.00,,0.20M,,,-1.30M,,,,,
1996-06,6.20M,,,,,-1.30M,,,3.50M,3.50M,0.10M,,,,-0.20M,3.60M,-1.10M,,1.30M,0.40M,-0.30M,,3.90M,12.20M,,-1.40M,,-1.40M,,,,1.50M,0.10M,,,,-10.00M,0.60M,,0.60M,,-2.20M,,0.10M,-11.50M,,0.00,0.80M,,0.00,,0.60M,,,,,,,,
1996-03,3.80M,,,,,-1.30M,,,3.40M,3.40M,-0.30M,,,,0.10M,-10.50M,-4.40M,,1.40M,,1.90M,,-11.60M,-5.90M,,-1.10M,,-1.10M,,,,1.80M,0.70M,,,,5.00M,0.10M,,0.10M,,-2.10M,,-0.10M,2.90M,,11.40M,-2.30M,,0.00,,0.10M,,,,,,,,
1995-12,1.80M,,,,,-1.20M,,,3.20M,3.20M,-0.90M,,,,0.50M,0.50M,4.40M,,11.50M,0.20M,0.00,,16.60M,20.00M,,-3.20M,,-2.80M,,,,0.50M,-2.30M,,,,-15.00M,0.10M,-0.60M,-0.50M,,-2.10M,,2.70M,-14.90M,,0.00,2.80M,,0.00,,0.10M,,,-0.60M,,,,,
1995-09,1.60M,,,,,-0.80M,,,3.50M,3.50M,-0.20M,,,,-0.20M,6.80M,5.20M,,-1.90M,-2.10M,2.10M,,10.10M,14.00M,,-4.90M,,-4.90M,,,,2.30M,-2.60M,,,,-4.80M,0.70M,-0.50M,0.20M,,-2.20M,,-2.70M,-9.50M,,0.00,1.90M,,0.00,,0.70M,,,-0.50M,,,,,
1995-06,5.70M,,,,,-2.40M,,,3.20M,3.20M,0.60M,,,,0.00,-8.40M,1.40M,,2.40M,-2.40M,1.80M,,-5.20M,1.90M,,-6.60M,,-6.60M,,,,2.40M,-4.20M,,,,3.80M,0.40M,,0.40M,,-2.20M,,0.10M,2.10M,,0.00,-0.20M,,0.00,,0.40M,,,,,,,,
1995-03,1.10M,,,,,-2.50M,,,3.20M,3.20M,0.30M,,,,0.10M,1.10M,2.80M,,1.80M,2.20M,1.00M,,8.90M,11.10M,,-5.00M,,-5.00M,,,,2.20M,-2.80M,,,,-4.00M,0.20M,,0.20M,,-2.10M,,-0.10M,-6.00M,,4.70M,2.30M,,0.00,,0.20M,,,,,,,,
1994-12,-2.40M,,,,,-3.30M,,,2.80M,2.80M,-1.10M,,,,,6.70M,6.90M,,-4.50M,1.00M,0.80M,,10.90M,6.90M,,-6.90M,,-6.90M,,,-3.00M,3.50M,-6.40M,,,,0.50M,0.00,-0.50M,-0.50M,,-2.20M,,0.20M,-2.00M,,0.00,-1.50M,,0.00,,0.00,,,-0.50M,,,,,
1994-09,-0.30M,,,,,-0.40M,,,2.60M,2.60M,-0.40M,,,,-0.10M,2.50M,-3.30M,,10.20M,-0.40M,0.10M,,9.10M,10.50M,,-8.40M,,-8.40M,,,0.00,2.20M,-6.20M,,,,-1.80M,0.20M,-0.10M,0.10M,,-2.10M,,-0.10M,-3.90M,,0.00,0.40M,,0.00,,0.20M,,,-0.10M,,,,,
1994-06,6.40M,,,,,-2.20M,,,3.20M,3.20M,0.30M,,,,0.00,-8.20M,-3.30M,,2.40M,0.60M,-0.30M,,-8.80M,-1.10M,,-7.30M,,-7.30M,,,1.00M,3.00M,-3.30M,,,,16.30M,2.00M,-12.10M,-10.10M,,-2.20M,,,4.00M,,0.00,-0.40M,,0.00,,2.00M,,,-12.10M,,,,,
1994-03,2.40M,,,,,-1.40M,,,3.10M,3.10M,-2.10M,,,,0.10M,-3.10M,-2.30M,,-1.90M,-1.20M,5.60M,,-2.90M,-0.80M,,-5.80M,,-5.80M,,,2.00M,1.60M,-2.20M,,,,8.00M,0.10M,-2.40M,-2.30M,,-2.20M,,,3.50M,,5.60M,0.50M,,0.00,,0.10M,,,-2.40M,,,,,
1993-12,7.20M,,,,,-15.40M,,,0.80M,0.80M,6.50M,,,,3.00M,6.30M,-3.30M,,-3.70M,0.90M,0.00,,0.20M,2.30M,,-7.20M,,-7.20M,,,0.10M,10.50M,3.40M,,,,,0.10M,-1.00M,-0.90M,,-2.20M,,,-1.10M,,0.00,4.60M,,0.00,,0.10M,,,-1.00M,,,,,
1993-09,9.70M,,,,,1.90M,,,3.30M,3.30M,0.80M,,,,-2.50M,5.30M,-0.30M,,0.10M,0.30M,-6.80M,,-1.40M,11.80M,,-8.30M,,-8.30M,,,3.00M,0.10M,-5.20M,,,,,0.20M,-5.40M,-5.20M,,-2.20M,,,-7.40M,,0.00,-0.80M,,0.00,,0.20M,,,-5.40M,,,,,
1993-06,6.50M,,,,,-2.20M,,,3.30M,3.30M,0.00,,,,2.60M,-9.60M,-3.50M,,3.00M,0.80M,-2.30M,,-11.60M,-1.40M,,-4.60M,,-4.60M,,,2.00M,-0.30M,-2.90M,,,,,2.30M,-2.40M,-0.10M,,-2.10M,,,-2.20M,,0.00,-6.50M,,0.00,,2.30M,,,-2.40M,,,,,
