,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.842B,1.842B,1.005B,837.00M,187.00M,269.00M,456.00M,40.00M,,24.00M,-24.00M,,496.00M,341.00M,24.00M,-24.00M,15.00M,-24.00M,332.00M,71.00M,261.00M,,,-2.00M,259.00M,259.00M,409.00M,53.00M,356.00M,,2.06,,,2.06,2.06,,2.03,,,2.03,2.03,,126.22M,128.14M,1.11,,AOR,
2020-09,1.916B,1.916B,996.00M,920.00M,179.00M,238.00M,417.00M,32.00M,,25.00M,-25.00M,,449.00M,471.00M,25.00M,-25.00M,80.00M,-25.00M,526.00M,109.00M,417.00M,,,-2.00M,415.00M,415.00M,602.00M,51.00M,551.00M,,3.28,,,3.28,3.28,,3.22,,,3.22,3.22,,126.35M,128.73M,1.11,,AOR,
2020-06,1.983B,1.983B,1.054B,929.00M,214.00M,279.00M,493.00M,42.00M,,25.00M,-23.00M,,548.00M,381.00M,25.00M,-23.00M,37.00M,-23.00M,395.00M,85.00M,310.00M,,,,310.00M,310.00M,467.00M,47.00M,420.00M,,2.45,,,2.45,2.45,,2.41,,,2.41,2.41,,126.39M,128.98M,1.06,,AOR,
2020-03,1.783B,1.783B,951.00M,832.00M,184.00M,269.00M,453.00M,39.00M,,24.00M,-24.00M,,492.00M,340.00M,24.00M,-24.00M,-19.00M,-24.00M,297.00M,56.00M,241.00M,,,,241.00M,241.00M,366.00M,45.00M,321.00M,,1.92,,,1.92,1.92,,1.89,,,1.89,1.89,,125.66M,127.33M,1.06,,AOR,
2019-12,1.449B,1.449B,810.00M,639.00M,140.00M,210.00M,350.00M,34.00M,,25.00M,-25.00M,,384.00M,255.00M,25.00M,-25.00M,5.00M,-25.00M,235.00M,50.00M,185.00M,,,0.00,185.00M,185.00M,304.00M,44.00M,260.00M,,1.48,,,1.48,1.48,,1.46,,,1.46,1.46,,125.44M,126.88M,1.06,,AOR,Restated
2019-09,1.506B,1.506B,843.00M,663.00M,137.00M,211.00M,348.00M,30.00M,,25.00M,-25.00M,,378.00M,285.00M,25.00M,-25.00M,-2.00M,-25.00M,258.00M,55.00M,203.00M,,,0.00,203.00M,203.00M,327.00M,44.00M,283.00M,,1.61,,,1.61,1.61,,1.59,,,1.59,1.59,,125.82M,127.46M,1.06,,AOR,Restated
2019-06,1.627B,1.627B,893.00M,734.00M,167.00M,217.00M,384.00M,38.00M,,25.00M,-22.00M,,439.00M,295.00M,25.00M,-22.00M,19.00M,-22.00M,292.00M,51.00M,241.00M,,,,241.00M,241.00M,364.00M,47.00M,317.00M,,1.91,0.00,,1.91,1.91,,1.88,0.00,,1.88,1.88,,126.66M,128.51M,0.96,,AOR,Restated
2019-03,1.551B,1.551B,878.00M,673.00M,161.00M,216.00M,377.00M,34.00M,,24.00M,-24.00M,,411.00M,262.00M,24.00M,-24.00M,2.00M,-24.00M,240.00M,53.00M,187.00M,,,,187.00M,187.00M,309.00M,45.00M,264.00M,,1.46,,,1.46,1.46,,1.44,,,1.44,1.44,,128.40M,130.27M,0.96,,AOR,Restated
2018-12,1.473B,1.473B,830.00M,643.00M,145.00M,211.00M,356.00M,32.00M,,24.00M,-24.00M,,388.00M,255.00M,24.00M,-24.00M,-7.00M,-24.00M,224.00M,42.00M,182.00M,,,,182.00M,182.00M,292.00M,44.00M,248.00M,,1.42,,,1.42,1.42,,1.40,,,1.40,1.40,,128.07M,130.09M,0.96,,AOR,Restated
2018-09,1.563B,1.563B,885.00M,678.00M,139.00M,212.00M,351.00M,32.00M,,24.00M,-24.00M,,383.00M,295.00M,24.00M,-24.00M,-3.00M,-24.00M,268.00M,58.00M,210.00M,,,,210.00M,210.00M,336.00M,44.00M,292.00M,,1.65,,,1.65,1.65,,1.62,,,1.62,1.62,,127.80M,129.95M,0.96,,AOR,Restated
