,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,732.00M,732.00M,616.00M,,616.00M,178.00M,10.00M,453.00M,,609.00M,146.00M,,,2.103B,,,,,3.862B,,3.862B,-2.319B,1.543B,1.803B,1.049B,2.852B,357.00M,4.752B,6.855B,,1.377B,,0.00,1.377B,,1.377B,,,,300.00M,300.00M,61.00M,361.00M,,1.738B,2.483B,313.00M,2.796B,128.00M,128.00M,,196.00M,813.00M,3.737B,5.475B,,131.00M,1.302B,1.176B,850.00M,,,-575.00M,1.184B,,AOR,
2020-09,860.00M,860.00M,685.00M,,685.00M,161.00M,9.00M,396.00M,,534.00M,65.00M,,,2.144B,,,,,3.727B,,3.727B,-2.27B,1.457B,1.793B,1.051B,2.844B,332.00M,4.633B,6.777B,,1.395B,,57.00M,1.452B,,1.452B,,,,,,64.00M,64.00M,,1.516B,2.781B,268.00M,3.049B,104.00M,104.00M,,196.00M,797.00M,3.95B,5.466B,,159.00M,3.84B,1.146B,3.407B,,,-623.00M,1.115B,,AOR,
2020-06,871.00M,871.00M,648.00M,,648.00M,140.00M,7.00M,340.00M,,454.00M,47.00M,,,2.02B,0.00,145.00M,642.00M,2.387B,291.00M,153.00M,3.618B,-2.224B,1.394B,1.577B,894.00M,2.471B,328.00M,4.193B,6.213B,,575.00M,146.00M,25.00M,746.00M,320.00M,1.066B,,,,,,64.00M,64.00M,,1.418B,2.78B,278.00M,3.058B,62.00M,62.00M,,,767.00M,3.887B,5.305B,,159.00M,3.567B,1.137B,3.315B,,,-640.00M,908.00M,,AOR,
2020-03,496.00M,496.00M,726.00M,,726.00M,123.00M,7.00M,362.00M,,457.00M,71.00M,,,1.75B,,,,,3.547B,,3.547B,-2.203B,1.344B,1.568B,896.00M,2.464B,292.00M,4.10B,5.85B,,1.091B,,0.00,1.091B,,1.091B,,188.00M,450.00M,,638.00M,65.00M,703.00M,,1.794B,2.288B,277.00M,2.565B,66.00M,66.00M,,,730.00M,3.361B,5.155B,,159.00M,3.398B,1.111B,3.317B,,,-656.00M,695.00M,,AOR,
2019-12,168.00M,168.00M,544.00M,,544.00M,127.00M,7.00M,415.00M,,514.00M,77.00M,,,1.303B,,,,,3.54B,,3.54B,-2.185B,1.355B,1.588B,905.00M,2.493B,308.00M,4.156B,5.459B,,945.00M,,0.00,945.00M,,945.00M,,,,507.00M,507.00M,61.00M,568.00M,,1.513B,2.288B,282.00M,2.57B,76.00M,76.00M,,,745.00M,3.391B,4.904B,,159.00M,3.292B,1.062B,3.357B,,,-601.00M,555.00M,,AOR,Restated
2019-09,150.00M,150.00M,556.00M,,556.00M,124.00M,6.00M,410.00M,,504.00M,56.00M,,,1.266B,,,,,3.502B,,3.502B,-2.156B,1.346B,1.585B,907.00M,2.492B,293.00M,4.131B,5.397B,,941.00M,,11.00M,952.00M,,952.00M,,,,449.00M,449.00M,57.00M,506.00M,,1.458B,2.287B,290.00M,2.577B,68.00M,68.00M,,,744.00M,3.389B,4.847B,,159.00M,3.241B,1.043B,3.278B,,,-615.00M,550.00M,,AOR,Restated
2019-06,111.00M,111.00M,631.00M,,631.00M,125.00M,6.00M,411.00M,,512.00M,51.00M,,,1.305B,0.00,138.00M,596.00M,2.319B,,131.00M,3.184B,-2.15B,1.034B,1.591B,912.00M,2.503B,274.00M,3.811B,5.116B,,507.00M,139.00M,9.00M,655.00M,231.00M,886.00M,,,,396.00M,396.00M,0.00,396.00M,,1.44B,2.287B,0.00,2.287B,50.00M,50.00M,,,780.00M,3.117B,4.557B,,159.00M,3.15B,1.046B,3.194B,,,-602.00M,559.00M,,AOR,Restated
2019-03,178.00M,178.00M,587.00M,,587.00M,136.00M,6.00M,445.00M,,556.00M,72.00M,,,1.393B,,,,,,,3.125B,-2.125B,1.00B,1.589B,915.00M,2.504B,265.00M,3.769B,5.162B,,940.00M,,,940.00M,,940.00M,,,,,321.00M,,321.00M,,1.261B,2.286B,,2.286B,60.00M,60.00M,,,774.00M,3.12B,4.381B,,159.00M,3.004B,1.033B,2.851B,,,-564.00M,781.00M,,AOR,Restated
2018-12,162.00M,162.00M,528.00M,,528.00M,135.00M,7.00M,467.00M,,578.00M,97.00M,,,1.365B,,,,,,,3.101B,-2.109B,992.00M,1.586B,919.00M,2.505B,211.00M,3.708B,5.073B,,951.00M,,,951.00M,,951.00M,,,,,235.00M,,235.00M,,1.186B,2.285B,,2.285B,71.00M,71.00M,,,789.00M,3.145B,4.331B,,159.00M,2.94B,1.014B,2.794B,,,-577.00M,742.00M,,AOR,Restated
2018-09,162.00M,162.00M,568.00M,,568.00M,135.00M,7.00M,408.00M,,519.00M,68.00M,,,1.317B,,,,,,,3.072B,-2.084B,988.00M,1.602B,925.00M,2.527B,226.00M,3.741B,5.058B,,947.00M,,8.00M,955.00M,,955.00M,,,,,280.00M,,280.00M,,1.235B,2.285B,,2.285B,68.00M,68.00M,,,793.00M,3.146B,4.381B,,159.00M,2.883B,984.00M,2.802B,,,-547.00M,677.00M,,AOR,Restated
2018-06,131.00M,131.00M,600.00M,,600.00M,129.00M,9.00M,395.00M,,506.00M,74.00M,,,1.311B,0.00,131.00M,574.00M,2.275B,,77.00M,3.057B,-2.061B,996.00M,1.602B,929.00M,2.531B,222.00M,3.749B,5.06B,,507.00M,129.00M,0.00,636.00M,211.00M,847.00M,,,,,199.00M,,199.00M,,1.20B,2.284B,,2.284B,72.00M,72.00M,283.00M,,443.00M,3.134B,4.334B,,159.00M,2.797B,975.00M,2.658B,,,-547.00M,726.00M,,AOR,Restated
2018-03,1.174B,1.174B,595.00M,,595.00M,114.00M,5.00M,415.00M,,508.00M,96.00M,,,2.373B,,,,,,,2.988B,-2.055B,933.00M,1.20B,718.00M,1.918B,220.00M,3.071B,5.444B,,947.00M,,,947.00M,,947.00M,,,,,1.066B,,1.066B,,2.013B,1.789B,,1.789B,27.00M,27.00M,292.00M,,438.00M,2.594B,4.607B,,159.00M,2.704B,956.00M,2.457B,,,-525.00M,837.00M,,AOR,Restated
2017-12,489.00M,489.00M,536.00M,,536.00M,115.00M,6.00M,399.00M,,494.00M,161.00M,,,1.68B,,,,,,,2.966B,-2.031B,935.00M,1.202B,720.00M,1.922B,221.00M,3.078B,4.758B,,885.00M,,,885.00M,,885.00M,,,,,495.00M,,495.00M,,1.38B,1.788B,,1.788B,39.00M,39.00M,307.00M,,437.00M,2.618B,3.998B,,159.00M,2.649B,941.00M,2.465B,,,-524.00M,760.00M,,AOR,Restated
2017-09,468.00M,468.00M,531.00M,,531.00M,115.00M,5.00M,368.00M,,462.00M,59.00M,,,1.52B,,,,,,,2.949B,-2.015B,934.00M,1.203B,720.00M,1.923B,223.00M,3.08B,4.60B,,912.00M,,51.00M,963.00M,,963.00M,,,,,413.00M,,413.00M,,1.376B,1.787B,,1.787B,62.00M,62.00M,,,783.00M,2.632B,4.008B,,159.00M,2.524B,922.00M,2.489B,,,-524.00M,592.00M,,AOR,Restated
2017-06,418.00M,418.00M,565.00M,,565.00M,119.00M,3.00M,363.00M,,459.00M,72.00M,,,1.514B,0.00,116.00M,524.00M,2.162B,,130.00M,2.932B,-2.001B,931.00M,1.196B,722.00M,1.918B,210.00M,3.059B,4.573B,,501.00M,116.00M,,617.00M,226.00M,843.00M,,403.00M,,401.00M,804.00M,,804.00M,,1.809B,1.391B,,1.391B,61.00M,61.00M,298.00M,,430.00M,2.222B,4.031B,,159.00M,2.44B,928.00M,2.442B,,,-543.00M,542.00M,,AOR,Restated
2017-03,431.00M,431.00M,568.00M,,568.00M,108.00M,3.00M,425.00M,,510.00M,,,94.00M,1.603B,,,,,,,2.875B,-1.972B,903.00M,1.193B,725.00M,1.918B,205.00M,3.026B,4.629B,,948.00M,,0.00,948.00M,,948.00M,,,,,1.05B,,1.05B,,1.998B,1.39B,,1.39B,49.00M,49.00M,,,788.00M,2.227B,4.225B,,159.00M,2.351B,912.00M,2.453B,,,-565.00M,404.00M,,AOR,Restated
2016-12,414.00M,414.00M,514.00M,,514.00M,110.00M,3.00M,414.00M,,501.00M,,,120.00M,1.549B,,,,,,,2.887B,-1.983B,904.00M,1.19B,727.00M,1.917B,198.00M,3.019B,4.568B,,878.00M,,0.00,878.00M,,878.00M,,,,,1.159B,,1.159B,,2.037B,1.39B,,1.39B,77.00M,77.00M,,,794.00M,2.261B,4.298B,,159.00M,2.284B,895.00M,2.489B,,,-579.00M,270.00M,,AOR,Restated
2016-09,408.00M,408.00M,494.00M,,494.00M,114.00M,3.00M,374.00M,,465.00M,,,49.00M,1.416B,,,,,,,2.861B,-1.944B,917.00M,1.196B,733.00M,1.929B,204.00M,3.05B,4.466B,,874.00M,,30.00M,904.00M,,904.00M,,,,,618.00M,,618.00M,,1.522B,1.789B,,1.789B,83.00M,83.00M,,,783.00M,2.655B,4.177B,,159.00M,2.238B,881.00M,2.422B,,,-567.00M,289.00M,,AOR,Restated
