,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-10,63.00M,63.00M,784.00M,,784.00M,350.00M,546.00M,896.00M,,173.00M,1.916B,,,,,,,4.603B,-2.827B,1.776B,1.669B,548.00M,2.217B,,,,287.00M,4.28B,6.196B,,677.00M,,,677.00M,550.00M,1.227B,1.121B,,,,1.121B,,1.121B,,,91.00M,2.439B,1.635B,,1.635B,,,,,,1.051B,2.686B,5.125B,,20.00M,8.078B,285.00M,6.804B,,,-508.00M,1.071B,,,Restated
2008-07,81.00M,81.00M,570.00M,,570.00M,320.00M,509.00M,829.00M,,172.00M,1.693B,0.00,63.00M,1.103B,3.415B,,185.00M,4.766B,-2.827B,1.939B,1.998B,605.00M,2.603B,,,,239.00M,4.781B,6.474B,,655.00M,81.00M,9.00M,745.00M,655.00M,1.40B,,661.00M,21.00M,300.00M,982.00M,,982.00M,,,21.00M,2.403B,1.633B,,1.633B,,,,,,1.119B,2.753B,5.156B,,20.00M,7.909B,337.00M,6.812B,,,-136.00M,1.318B,,,Restated
2008-04,50.00M,50.00M,655.00M,,655.00M,272.00M,394.00M,666.00M,,239.00M,1.61B,,,,,,,4.659B,-2.767B,1.892B,2.009B,615.00M,2.624B,,,,381.00M,4.897B,6.507B,,593.00M,,,593.00M,613.00M,1.206B,349.00M,,,,349.00M,,349.00M,,,108.00M,1.663B,1.767B,,1.767B,399.00M,399.00M,,,,782.00M,2.948B,4.611B,,20.00M,7.90B,327.00M,6.37B,258.00M,-239.00M,19.00M,1.896B,,,Restated
2008-01,95.00M,95.00M,813.00M,,813.00M,264.00M,471.00M,735.00M,,235.00M,1.878B,,,,,,,4.697B,-2.767B,1.93B,1.933B,633.00M,2.566B,,,,502.00M,4.998B,6.876B,,619.00M,,,619.00M,610.00M,1.229B,976.00M,,,,976.00M,,976.00M,,,155.00M,2.36B,1.78B,,1.78B,380.00M,380.00M,,,,761.00M,2.921B,5.281B,,20.00M,7.451B,337.00M,6.172B,200.00M,-241.00M,-41.00M,1.595B,,,
2007-10,77.00M,77.00M,862.00M,,862.00M,330.00M,587.00M,917.00M,,162.00M,2.018B,,,,,,,4.831B,-2.767B,2.064B,1.965B,633.00M,2.598B,,,,378.00M,5.04B,7.058B,,805.00M,,,805.00M,681.00M,1.486B,1.041B,,,,1.041B,,1.041B,,,85.00M,2.612B,1.773B,,1.773B,360.00M,360.00M,,,,808.00M,2.941B,5.553B,,20.00M,7.261B,322.00M,6.066B,223.00M,-255.00M,-32.00M,1.505B,,,
2007-07,71.00M,71.00M,581.00M,,581.00M,289.00M,486.00M,775.00M,97.00M,54.00M,1.578B,0.00,66.00M,1.152B,3.40B,,191.00M,4.809B,-2.767B,2.042B,1.872B,615.00M,2.487B,,,8.00M,330.00M,4.867B,6.445B,,694.00M,,,694.00M,664.00M,1.358B,595.00M,,,,595.00M,,595.00M,,,77.00M,2.03B,2.074B,,2.074B,354.00M,354.00M,,,,692.00M,3.12B,5.15B,,20.00M,7.082B,331.00M,6.015B,129.00M,-254.00M,-125.00M,1.295B,,,Restated
2007-04,274.00M,274.00M,575.00M,,575.00M,238.00M,442.00M,680.00M,,165.00M,1.694B,,,,,,,4.521B,-2.543B,1.978B,1.849B,617.00M,2.466B,,,,616.00M,5.06B,6.754B,,592.00M,,,592.00M,802.00M,1.394B,493.00M,,,,493.00M,,493.00M,,,77.00M,1.964B,2.123B,,2.123B,508.00M,508.00M,,,,542.00M,3.173B,5.137B,,20.00M,7.099B,334.00M,5.884B,108.00M,-60.00M,48.00M,1.617B,,,
2007-01,483.00M,483.00M,747.00M,,747.00M,260.00M,470.00M,730.00M,,190.00M,2.15B,,,,,,,4.486B,-2.543B,1.943B,1.772B,600.00M,2.372B,,,,620.00M,4.935B,7.085B,,651.00M,,,651.00M,1.026B,1.677B,745.00M,,,,745.00M,,745.00M,,,77.00M,2.499B,2.111B,,2.111B,479.00M,479.00M,,,,541.00M,3.131B,5.63B,,20.00M,6.96B,333.00M,5.849B,49.00M,-58.00M,-9.00M,1.455B,,,
2006-10,230.00M,230.00M,802.00M,,802.00M,305.00M,554.00M,859.00M,,201.00M,2.092B,,,,,,,4.482B,-2.543B,1.939B,1.767B,595.00M,2.362B,,,,631.00M,4.932B,7.024B,,741.00M,,,741.00M,1.071B,1.812B,747.00M,,,,747.00M,,747.00M,,,78.00M,2.637B,2.116B,,2.116B,473.00M,473.00M,,,,530.00M,3.119B,5.756B,,20.00M,6.752B,319.00M,5.813B,,,-10.00M,1.268B,,,
2006-07,657.00M,657.00M,494.00M,,494.00M,252.00M,476.00M,728.00M,,233.00M,2.112B,0.00,56.00M,1.052B,3.144B,,245.00M,4.497B,-2.543B,1.954B,1.765B,596.00M,2.361B,,,,1.318B,5.633B,7.745B,,691.00M,,,691.00M,941.00M,1.632B,1.097B,,,,1.097B,,1.097B,,,152.00M,2.881B,2.116B,,2.116B,419.00M,419.00M,,,,561.00M,3.096B,5.977B,,20.00M,6.539B,352.00M,5.147B,86.00M,-82.00M,4.00M,1.768B,,,
2006-04,530.00M,530.00M,579.00M,,579.00M,218.00M,432.00M,650.00M,,163.00M,1.922B,,,,,,,4.468B,-2.524B,1.944B,1.997B,1.088B,3.085B,,,,301.00M,5.33B,7.252B,,546.00M,,,546.00M,963.00M,1.509B,1.043B,,,,1.043B,,1.043B,,,74.00M,2.626B,1.904B,,1.904B,,,,,,942.00M,2.846B,5.472B,,20.00M,6.569B,344.00M,4.973B,,,-180.00M,1.78B,,,
2006-01,267.00M,267.00M,719.00M,,719.00M,254.00M,501.00M,755.00M,,173.00M,1.914B,,,,,,,4.464B,-2.524B,1.94B,,3.011B,3.011B,,,,281.00M,5.232B,7.146B,,679.00M,,,679.00M,863.00M,1.542B,687.00M,,,,687.00M,,687.00M,,,74.00M,2.303B,2.219B,,2.219B,356.00M,356.00M,,,,647.00M,3.222B,5.525B,,20.00M,6.477B,341.00M,4.996B,,,-221.00M,1.621B,,,
2005-10,45.00M,45.00M,788.00M,,788.00M,304.00M,590.00M,894.00M,,183.00M,1.91B,,,,,,,4.481B,-2.524B,1.957B,,3.006B,3.006B,,,,291.00M,5.254B,7.164B,,757.00M,,,757.00M,856.00M,1.613B,751.00M,,,,751.00M,,751.00M,,,74.00M,2.438B,2.225B,,2.225B,349.00M,349.00M,,,,639.00M,3.213B,5.651B,,20.00M,6.297B,289.00M,4.861B,,,-232.00M,1.513B,,,
2005-07,40.00M,40.00M,509.00M,,509.00M,297.00M,498.00M,782.00M,114.00M,67.00M,1.512B,0.00,69.00M,1.062B,3.172B,,208.00M,4.511B,-2.524B,1.987B,,3.009B,3.009B,,,6.00M,262.00M,5.264B,6.776B,,624.00M,,,624.00M,857.00M,1.481B,451.00M,,,,451.00M,,451.00M,,,70.00M,2.002B,2.542B,,2.542B,342.00M,342.00M,,,,620.00M,3.504B,5.506B,,20.00M,6.069B,236.00M,4.832B,,,-223.00M,1.27B,,,
2005-04,32.00M,32.00M,539.00M,,539.00M,244.00M,462.00M,706.00M,,142.00M,1.419B,,,,,,,4.258B,-2.347B,1.911B,,3.153B,3.153B,,,,330.00M,5.394B,6.813B,,518.00M,,,518.00M,865.00M,1.383B,447.00M,,,,447.00M,,447.00M,,,70.00M,1.90B,2.541B,,2.541B,339.00M,339.00M,,,,665.00M,3.545B,5.445B,,20.00M,6.043B,234.00M,4.823B,,,-106.00M,1.368B,,,
2005-01,51.00M,51.00M,718.00M,,718.00M,265.00M,497.00M,762.00M,,143.00M,1.674B,,,,,,,4.264B,-2.347B,1.917B,,3.156B,3.156B,,,,327.00M,5.40B,7.074B,,651.00M,,,651.00M,922.00M,1.573B,576.00M,,,,576.00M,,576.00M,,,70.00M,2.219B,2.552B,,2.552B,,,,,,964.00M,3.516B,5.735B,,20.00M,5.967B,230.00M,4.78B,,,-98.00M,1.339B,,,
2004-10,44.00M,44.00M,773.00M,,773.00M,317.00M,561.00M,878.00M,,174.00M,1.869B,,,,,,,4.263B,-2.347B,1.916B,,3.103B,3.103B,,,,340.00M,5.359B,7.228B,,728.00M,,,728.00M,912.00M,1.64B,892.00M,,,,892.00M,,892.00M,,,70.00M,2.602B,2.565B,,2.565B,324.00M,324.00M,,,,620.00M,3.509B,6.111B,,20.00M,5.802B,228.00M,4.809B,,,-124.00M,1.117B,,,
2004-07,32.00M,32.00M,490.00M,,490.00M,292.00M,497.00M,782.00M,117.00M,47.00M,1.468B,0.00,70.00M,1.009B,2.977B,,192.00M,4.248B,-2.347B,1.901B,,2.995B,2.995B,,,,298.00M,5.194B,6.662B,,607.00M,,,607.00M,844.00M,1.451B,810.00M,,,,810.00M,,810.00M,,,65.00M,2.326B,2.543B,,2.543B,332.00M,332.00M,,,,587.00M,3.462B,5.788B,,20.00M,5.642B,264.00M,4.848B,,,-204.00M,874.00M,,,
2004-04,28.00M,28.00M,481.00M,,481.00M,,,686.00M,,145.00M,1.34B,,,,,,,4.003B,-2.169B,1.834B,,2.996B,2.996B,,,,273.00M,5.103B,6.443B,,501.00M,,,501.00M,551.00M,1.052B,769.00M,,,,769.00M,,769.00M,,,366.00M,2.187B,2.543B,,2.543B,262.00M,262.00M,,,,575.00M,3.38B,5.567B,,20.00M,5.648B,263.00M,4.839B,,,-216.00M,876.00M,,,
2004-01,41.00M,41.00M,644.00M,,644.00M,,,715.00M,,141.00M,1.541B,,,,,,,4.04B,-2.169B,1.871B,,3.081B,3.081B,,,,303.00M,5.255B,6.796B,,619.00M,,,619.00M,910.00M,1.529B,908.00M,,,,908.00M,,908.00M,,,65.00M,2.502B,2.566B,,2.566B,,,,,,860.00M,3.426B,5.928B,,20.00M,5.571B,264.00M,4.835B,,,-152.00M,868.00M,,,
2003-10,39.00M,39.00M,663.00M,,663.00M,273.00M,529.00M,802.00M,,151.00M,1.655B,,,,,,,4.015B,-2.169B,1.846B,,2.937B,2.937B,,,,305.00M,5.088B,6.743B,,656.00M,,,656.00M,874.00M,1.53B,1.168B,,,,1.168B,,1.168B,,,65.00M,2.763B,2.556B,,2.556B,250.00M,250.00M,,,,559.00M,3.365B,6.128B,,20.00M,5.40B,261.00M,4.829B,,,-237.00M,615.00M,,,
2003-07,32.00M,32.00M,413.00M,,413.00M,,,709.00M,,136.00M,1.29B,0.00,66.00M,974.00M,2.827B,,145.00M,4.012B,-2.169B,1.843B,,2.821B,2.821B,,,,251.00M,4.915B,6.205B,,620.00M,,,620.00M,602.00M,1.222B,1.279B,,,,1.279B,,1.279B,,,282.00M,2.783B,2.249B,,2.249B,,,,,,786.00M,3.035B,5.818B,,20.00M,5.254B,298.00M,4.869B,,,-316.00M,387.00M,,,
2003-04,27.00M,27.00M,511.00M,,511.00M,206.00M,402.00M,608.00M,,124.00M,1.27B,,,,,,,3.719B,-1.949B,1.77B,,2.781B,2.781B,,,,294.00M,4.845B,6.115B,,514.00M,,,514.00M,671.00M,1.185B,1.261B,,,,1.261B,,1.261B,,,348.00M,2.794B,2.273B,,2.273B,,,,,,696.00M,2.969B,5.763B,,20.00M,5.245B,296.00M,4.86B,,,-349.00M,352.00M,,,
2003-01,37.00M,37.00M,649.00M,,649.00M,213.00M,444.00M,657.00M,,141.00M,1.484B,,,,,,,3.706B,-1.949B,1.757B,,2.748B,2.748B,,,,298.00M,4.803B,6.287B,,625.00M,,,625.00M,987.00M,1.612B,1.357B,,,,1.357B,,1.357B,,,65.00M,3.034B,2.27B,,2.27B,,,,,,744.00M,3.014B,6.048B,,20.00M,5.181B,298.00M,4.865B,,,-395.00M,239.00M,,,
2002-10,41.00M,41.00M,661.00M,,661.00M,245.00M,500.00M,745.00M,,130.00M,1.577B,,,,,,,3.685B,-1.949B,1.736B,1.66B,962.00M,2.622B,,,,315.00M,4.673B,6.25B,,679.00M,,,679.00M,911.00M,1.59B,2.047B,,,,2.047B,,2.047B,,,65.00M,3.702B,1.86B,,1.86B,,,,,,685.00M,2.545B,6.247B,,20.00M,5.014B,298.00M,4.871B,,,-458.00M,3.00M,,,
2002-07,21.00M,21.00M,417.00M,,417.00M,,,638.00M,,123.00M,1.199B,0.00,53.00M,868.00M,2.482B,,230.00M,3.633B,-1.949B,1.684B,,2.503B,2.503B,,,,335.00M,4.522B,5.721B,,681.00M,,,681.00M,503.00M,1.184B,1.196B,,,,1.196B,,1.196B,,,298.00M,2.678B,2.449B,,2.449B,,,,,,708.00M,3.157B,5.835B,,20.00M,4.918B,320.00M,4.891B,,,-481.00M,-114.00M,,,
2002-04,27.00M,27.00M,432.00M,,432.00M,,,532.00M,,142.00M,1.133B,,,,,,,1.595B,,1.595B,,2.44B,2.44B,,,,621.00M,4.656B,5.789B,,461.00M,,,461.00M,543.00M,1.004B,1.164B,,,,1.164B,,1.164B,,,322.00M,2.49B,2.43B,,2.43B,,,,,,789.00M,3.219B,5.709B,,20.00M,4.927B,326.00M,4.897B,,,-296.00M,80.00M,,,
2002-01,32.00M,32.00M,642.00M,,642.00M,188.00M,380.00M,568.00M,,196.00M,1.438B,,,,,,,1.586B,,1.586B,,2.408B,2.408B,,,,617.00M,4.611B,6.049B,,583.00M,,,583.00M,545.00M,1.128B,1.456B,,,,1.456B,,1.456B,,,304.00M,2.888B,2.354B,,2.354B,,,,,,811.00M,3.165B,6.053B,,20.00M,4.896B,324.00M,4.903B,,,-341.00M,-4.00M,,,
2001-10,35.00M,35.00M,697.00M,,697.00M,233.00M,419.00M,652.00M,,192.00M,1.576B,,,,,,,3.343B,-1.74B,1.603B,,2.44B,2.44B,,,,625.00M,4.668B,6.244B,,627.00M,,,627.00M,580.00M,1.207B,1.295B,,,,1.295B,,1.295B,,,318.00M,2.82B,2.757B,,2.757B,,,,,,815.00M,3.572B,6.392B,,20.00M,4.758B,320.00M,4.908B,,,-338.00M,-148.00M,,,
2001-07,24.00M,24.00M,442.00M,,442.00M,,,597.00M,,158.00M,1.221B,,,,,,,1.637B,,1.637B,,2.451B,2.451B,,,,618.00M,4.706B,5.927B,,582.00M,,,582.00M,450.00M,1.032B,1.806B,,,,1.806B,,1.806B,,,282.00M,3.12B,2.243B,,2.243B,,,,,,811.00M,3.054B,6.174B,,20.00M,4.651B,314.00M,4.908B,,,-324.00M,-247.00M,,,
2001-04,21.00M,21.00M,397.00M,,397.00M,157.00M,302.00M,459.00M,,153.00M,1.03B,,,,3.194B,,,3.194B,-1.652B,1.542B,,1.66B,1.66B,,,,600.00M,3.802B,4.832B,,378.00M,,,378.00M,429.00M,807.00M,892.00M,,,,892.00M,,892.00M,235.00M,235.00M,92.00M,2.026B,2.239B,,2.239B,444.00M,444.00M,,,,342.00M,3.025B,5.051B,,20.00M,4.691B,313.00M,4.921B,,,-322.00M,-219.00M,,,
2001-01,38.00M,38.00M,,,549.00M,,,494.00M,,148.00M,1.229B,,,,,,,3.242B,-1.672B,1.57B,,1.704B,1.704B,,,,591.00M,3.865B,5.094B,,469.00M,,,469.00M,,469.00M,,,,,1.433B,,1.433B,,,830.00M,2.732B,1.742B,,1.742B,279.00M,279.00M,,,,532.00M,2.553B,5.285B,,20.00M,4.661B,310.00M,4.903B,-279.00M,,-279.00M,-191.00M,,,
2000-10,25.00M,25.00M,,,609.00M,,,595.00M,,157.00M,1.386B,,,,,,,3.246B,-1.672B,1.574B,,1.678B,1.678B,,,,596.00M,3.848B,5.234B,,482.00M,,,482.00M,,482.00M,,,,,1.741B,,1.741B,,,860.00M,3.083B,1.216B,,1.216B,277.00M,277.00M,,,,530.00M,2.023B,5.106B,,20.00M,4.482B,365.00M,4.42B,-319.00M,,-319.00M,128.00M,,,
2000-07,27.00M,27.00M,443.00M,,443.00M,,,571.00M,,127.00M,1.168B,,,,,,,3.296B,-1.652B,1.644B,,1.767B,1.767B,,,,617.00M,4.028B,5.196B,,509.00M,,,509.00M,,509.00M,,,,,1.873B,,1.873B,,,650.00M,3.032B,1.218B,,1.218B,285.00M,285.00M,,,,524.00M,2.027B,5.059B,,20.00M,4.373B,344.00M,4.373B,-227.00M,,-227.00M,137.00M,,,
2000-04,34.00M,34.00M,,,470.00M,,,560.00M,,122.00M,1.186B,,,,,,,3.289B,-1.667B,1.622B,,1.772B,1.772B,,,,615.00M,4.009B,5.195B,,351.00M,,,351.00M,,351.00M,,,,,1.887B,,1.887B,,,745.00M,2.983B,1.27B,,1.27B,249.00M,249.00M,,,,530.00M,2.049B,5.032B,,20.00M,4.409B,318.00M,4.348B,-236.00M,,-236.00M,163.00M,,,
2000-01,92.00M,92.00M,,,638.00M,,,583.00M,,126.00M,1.439B,,,,,,,3.247B,-1.569B,1.678B,,1.844B,1.844B,,,,603.00M,4.125B,5.564B,,446.00M,,,446.00M,,446.00M,,,,,1.874B,,1.874B,,,829.00M,3.149B,1.336B,,1.336B,260.00M,260.00M,,,,554.00M,2.15B,5.299B,,20.00M,4.365B,326.00M,4.266B,-180.00M,,-180.00M,265.00M,,,
1999-10,34.00M,34.00M,,,683.00M,,,690.00M,,140.00M,1.547B,,,,,,,3.247B,-1.534B,1.713B,,1.888B,1.888B,,,,594.00M,4.195B,5.742B,,495.00M,,,495.00M,,495.00M,,,,,2.031B,,2.031B,,,847.00M,3.373B,1.328B,,1.328B,263.00M,263.00M,,,,550.00M,2.141B,5.514B,,20.00M,4.18B,339.00M,4.156B,-155.00M,,-155.00M,228.00M,,,
1999-07,6.00M,6.00M,541.00M,,541.00M,,,615.00M,,132.00M,1.294B,,,,,,,3.217B,-1.491B,1.726B,,1.91B,1.91B,,,,592.00M,4.228B,5.522B,,511.00M,,,511.00M,,511.00M,,,,,1.987B,,1.987B,,,648.00M,3.146B,1.33B,,1.33B,263.00M,263.00M,,,,548.00M,2.141B,5.287B,,20.00M,4.041B,382.00M,4.058B,-150.00M,,-150.00M,235.00M,,,
1999-04,24.00M,24.00M,,,530.00M,,,587.00M,,230.00M,1.371B,,,,,,,3.284B,-1.541B,1.743B,,1.988B,1.988B,,,,601.00M,4.332B,5.703B,,403.00M,,,403.00M,,403.00M,,,,,1.859B,,1.859B,,,772.00M,3.034B,1.338B,,1.338B,251.00M,251.00M,,,,581.00M,2.17B,5.204B,,20.00M,4.06B,379.00M,3.82B,-140.00M,,-140.00M,499.00M,,,
1999-01,30.00M,30.00M,,,705.00M,,,621.00M,,217.00M,1.573B,,,,,,,3.238B,-1.519B,1.719B,,2.001B,2.001B,,,,581.00M,4.301B,5.874B,,468.00M,,,468.00M,,468.00M,,,,,1.721B,,1.721B,,,835.00M,3.024B,1.338B,,1.338B,245.00M,245.00M,,,,576.00M,2.159B,5.183B,,20.00M,3.996B,386.00M,3.541B,-170.00M,,-170.00M,691.00M,,,
1998-10,19.00M,19.00M,,,816.00M,,,658.00M,,202.00M,1.695B,,,,,,,3.217B,-1.51B,1.707B,,2.022B,2.022B,,,,571.00M,4.30B,5.995B,,544.00M,,,544.00M,,544.00M,,,,,1.332B,,1.332B,,,962.00M,2.838B,1.488B,,1.488B,246.00M,246.00M,,,,571.00M,2.305B,5.143B,,,3.876B,,,,,,852.00M,,,
1998-07,16.00M,16.00M,,,656.00M,,,564.00M,,204.00M,1.44B,,,,,,,3.16B,-1.437B,1.723B,,1.904B,1.904B,,,,566.00M,4.193B,5.633B,,506.00M,,,506.00M,,506.00M,,,,,1.401B,,1.401B,,,896.00M,2.803B,1.169B,,1.169B,246.00M,246.00M,,,4.00M,537.00M,1.952B,4.755B,,,3.706B,,,,,,874.00M,,,
1998-04,46.00M,46.00M,,,759.00M,,,542.00M,,234.00M,1.581B,,,,,,,3.537B,-1.593B,1.944B,,1.985B,1.985B,,,,541.00M,4.47B,6.051B,,388.00M,,,388.00M,,388.00M,,,,,1.635B,,1.635B,,,1.104B,3.127B,1.191B,,1.191B,242.00M,242.00M,,,,555.00M,1.988B,5.115B,,,3.618B,,,,,,936.00M,,,
1998-01,99.00M,99.00M,,,910.00M,,,722.00M,,174.00M,1.905B,,,,,,,4.411B,-1.962B,2.449B,,2.124B,2.124B,,,,529.00M,5.102B,7.007B,,522.00M,,,522.00M,,522.00M,,,,,2.112B,,2.112B,,,804.00M,3.438B,1.263B,,1.263B,254.00M,254.00M,,,,568.00M,2.085B,5.523B,,,3.955B,,,,,,1.484B,,,
1997-10,56.00M,56.00M,,,924.00M,,,826.00M,,158.00M,1.964B,,,,,,,4.479B,-1.947B,2.532B,,1.785B,1.785B,,,,539.00M,4.856B,6.82B,,541.00M,,,541.00M,,541.00M,,,,,1.767B,,1.767B,,,968.00M,3.276B,1.152B,,1.152B,246.00M,246.00M,,,,641.00M,2.039B,5.315B,,,3.751B,,,,,,1.505B,,,
1997-07,17.00M,17.00M,,,523.00M,,,598.00M,,150.00M,1.288B,,,,,,,3.562B,-1.518B,2.044B,,1.71B,1.71B,,,,1.154B,4.908B,6.196B,,485.00M,,,485.00M,,485.00M,,,,,1.506B,,1.506B,,,778.00M,2.769B,1.151B,,1.151B,214.00M,214.00M,,,83.00M,559.00M,1.924B,4.693B,,,3.571B,,,,,,1.42B,,,
1997-04,11.00M,11.00M,,,746.00M,,,650.00M,,210.00M,1.617B,,,,,,,4.51B,-1.876B,2.634B,,1.912B,1.912B,,,,536.00M,5.082B,6.699B,,460.00M,,,460.00M,,460.00M,,,,,1.755B,,1.755B,,,1.049B,3.264B,934.00M,,934.00M,271.00M,271.00M,,,,678.00M,1.883B,5.147B,,,3.468B,,,,,,1.552B,,,
1997-01,31.00M,31.00M,,,930.00M,,,695.00M,,219.00M,1.875B,,,,,,,4.523B,-1.856B,2.667B,,1.932B,1.932B,,,,531.00M,5.13B,7.005B,,511.00M,,,511.00M,,511.00M,,,,,1.791B,,1.791B,,,1.137B,3.439B,938.00M,,938.00M,266.00M,266.00M,,,,674.00M,1.878B,5.317B,,,3.40B,,,,,,1.688B,,,
1996-10,52.00M,52.00M,,,888.00M,,,852.00M,,218.00M,2.01B,,,,,,,4.55B,-1.833B,2.717B,,1.967B,1.967B,,,,521.00M,5.205B,7.215B,,552.00M,,,552.00M,,552.00M,,,,,1.832B,,1.832B,,,1.206B,3.59B,1.041B,,1.041B,269.00M,269.00M,,,,667.00M,1.977B,5.567B,,,3.213B,,,,,,1.648B,,,
1996-07,34.00M,34.00M,,,618.00M,,,739.00M,,227.00M,1.618B,,,,,,,4.49B,-1.809B,2.681B,,1.808B,1.808B,,,,525.00M,5.014B,6.632B,,568.00M,,,568.00M,,568.00M,,,,,865.00M,,865.00M,,,796.00M,2.229B,744.00M,,744.00M,274.00M,274.00M,,,90.00M,553.00M,1.571B,3.80B,,,3.211B,,,,,,2.742B,,,
1996-04,57.00M,57.00M,,,660.00M,,,718.00M,,142.00M,1.577B,,,,,,,4.405B,-1.787B,2.618B,,1.81B,1.81B,,,,489.00M,4.917B,6.494B,,407.00M,,,407.00M,,407.00M,,,,,893.00M,,893.00M,,,846.00M,2.146B,750.00M,,750.00M,230.00M,230.00M,,,,627.00M,1.607B,3.753B,,,3.127B,,,,,,2.741B,,,
1996-01,56.00M,56.00M,,,806.00M,,,743.00M,,147.00M,1.752B,,,,,,,4.315B,-1.738B,2.577B,,1.798B,1.798B,,,,449.00M,4.824B,6.576B,,575.00M,,,575.00M,,575.00M,,,,,497.00M,,497.00M,,,869.00M,1.941B,1.05B,,1.05B,239.00M,239.00M,,,,613.00M,1.902B,3.843B,,,3.068B,,,,,,2.733B,,,
1995-10,69.00M,69.00M,,,855.00M,,,900.00M,,145.00M,1.969B,,,,,,,4.315B,-1.72B,2.595B,,1.808B,1.808B,,,,431.00M,4.834B,6.803B,,578.00M,,,578.00M,,578.00M,,,,,1.083B,,1.083B,,,853.00M,2.514B,852.00M,,852.00M,241.00M,241.00M,,,,612.00M,1.705B,4.219B,,,2.897B,,,,,,2.584B,,,
1995-07,53.00M,53.00M,,,631.00M,,,755.00M,,142.00M,1.581B,,,,,,,4.254B,-1.67B,2.584B,,1.715B,1.715B,,,,435.00M,4.734B,6.315B,,556.00M,,,556.00M,,556.00M,,,,,865.00M,,865.00M,,,743.00M,2.164B,857.00M,,857.00M,235.00M,235.00M,,,106.00M,485.00M,1.577B,3.741B,,,2.755B,,,,,,2.468B,,,
1995-04,134.00M,134.00M,,,676.00M,,,697.00M,,177.00M,1.684B,,,,,,,4.158B,-1.638B,2.52B,,1.732B,1.732B,,,,437.00M,4.689B,6.373B,,409.00M,,,409.00M,,409.00M,,,,,1.116B,,1.116B,,,754.00M,2.279B,867.00M,,867.00M,231.00M,231.00M,,,,595.00M,1.693B,3.972B,,,2.69B,,,,,,2.401B,,,
1995-01,89.00M,89.00M,,,788.00M,,,751.00M,,182.00M,1.81B,,,,,,,4.058B,-1.579B,2.479B,,721.00M,721.00M,,,,399.00M,3.599B,5.409B,,441.00M,,,441.00M,,441.00M,,,,,432.00M,,432.00M,,,837.00M,1.71B,563.00M,,563.00M,225.00M,225.00M,,,,595.00M,1.383B,3.093B,,,2.64B,,,,,,2.316B,,,
1994-10,88.00M,88.00M,,,783.00M,,,888.00M,,171.00M,1.93B,,,,,,,3.987B,-1.525B,2.462B,,681.00M,681.00M,,,,456.00M,3.599B,5.529B,,491.00M,,,491.00M,,491.00M,,,,,644.00M,,644.00M,,,866.00M,2.001B,574.00M,,574.00M,217.00M,217.00M,,,,582.00M,1.373B,3.374B,,,2.487B,,,,,,2.155B,,,
1994-07,94.00M,94.00M,,,578.00M,,,786.00M,,143.00M,1.601B,,,,,,,3.848B,-1.447B,2.401B,,582.00M,582.00M,,,,408.00M,3.391B,4.992B,,473.00M,,,473.00M,,473.00M,,,,,434.00M,,434.00M,,,758.00M,1.665B,560.00M,,560.00M,211.00M,211.00M,,,121.00M,446.00M,1.217B,2.882B,,,2.359B,,,,,,1.989B,,,
1994-04,86.00M,86.00M,,,615.00M,,,750.00M,,149.00M,1.60B,,,,,,,3.646B,-1.320B,2.326B,,599.00M,599.00M,,,,413.00M,3.338B,4.938B,,361.00M,,,361.00M,,361.00M,,,,,474.00M,,474.00M,,,630.00M,1.465B,564.00M,,564.00M,196.00M,196.00M,,,,731.00M,1.491B,2.956B,,,2.288B,,,,,,1.982B,,,
